@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R7,9'

@attribute Viscera_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.422,11
0.383,11
0.2955,11
0.303,8
0.368,10
0.0825,7
0.1325,8
0.222,11
0.171,11
0.2925,13
0.3725,11
0.2485,9
0.4215,12
0.037,7
0.071,7
0.09,8
0.135,9
0.171,9
0.2365,9
0.2975,10
0.182,10
0.0275,7
0.071,8
0.117,8
0.2305,9
0.2635,7
0.037,10
0.181,11
0.3565,18
0.1175,11
0.0915,8
0.104,7
0.143,6
0.2075,6
0.313,11
0.2095,9
0.347,9
0.1455,8
0.159,10
0.249,9
0.1595,8
0.2625,9
0.29,11
0.0365,7
0.0715,8
