@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1-2,9'

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.725,13
I,0.355,6
I,0.36,7
I,0.38,7
I,0.465,9
I,0.47,8
I,0.485,7
I,0.52,9
I,0.525,9
M,0.565,10
I,0.57,9
I,0.575,9
I,0.6,8
F,0.6,10
M,0.6,9
M,0.605,8
M,0.61,10
M,0.615,10
F,0.62,11
I,0.62,11
M,0.625,11
I,0.625,9
M,0.63,11
M,0.645,14
F,0.645,12
F,0.655,11
F,0.67,10
M,0.71,11
F,0.73,11
M,0.75,12
M,0.77,12
I,0.455,6
M,0.605,10
M,0.65,11
F,0.685,9
F,0.695,10
M,0.73,11
I,0.485,7
M,0.615,11
M,0.625,9
M,0.665,12
F,0.67,12
I,0.32,6
I,0.36,7
I,0.375,7
M,0.47,10
M,0.515,9
M,0.5,9
F,0.545,9
M,0.58,8
F,0.58,7
F,0.72,12
F,0.73,10
I,0.37,10
M,0.62,13
I,0.385,7
F,0.5,10
I,0.4,7
M,0.32,6
F,0.44,8
M,0.46,12
F,0.49,10
I,0.405,10
F,0.29,5
F,0.55,27
F,0.475,7
M,0.655,11
F,0.635,14
F,0.62,14
M,0.455,11
M,0.59,15
F,0.515,9
F,0.72,17
F,0.61,20
F,0.645,13
F,0.43,8
I,0.525,11
F,0.45,12
I,0.47,11
M,0.33,10
F,0.53,17
F,0.505,12
F,0.465,18
M,0.26,6
I,0.565,14
M,0.515,23
F,0.55,14
M,0.395,9
F,0.49,13
F,0.475,11
I,0.415,6
M,0.48,7
F,0.6,9
M,0.63,10
I,0.44,6
I,0.475,8
M,0.525,8
M,0.53,6
M,0.575,7
F,0.595,9
F,0.63,9
F,0.69,13
M,0.77,10
I,0.515,9
M,0.625,11
M,0.65,9
M,0.67,11
F,0.675,13
I,0.395,8
M,0.515,7
I,0.525,8
I,0.55,10
I,0.55,9
I,0.56,10
M,0.59,9
F,0.615,10
M,0.64,11
I,0.24,5
I,0.375,5
F,0.525,9
F,0.54,9
F,0.59,10
M,0.6,9
M,0.625,8
M,0.74,11
I,0.435,7
I,0.5,9
I,0.51,8
F,0.535,8
F,0.575,8
F,0.6,10
F,0.6,9
F,0.605,13
M,0.635,11
F,0.65,12
F,0.66,13
I,0.67,9
M,0.735,12
M,0.485,8
I,0.5,7
I,0.595,8
F,0.67,11
I,0.39,7
I,0.39,8
I,0.44,9
I,0.45,8
M,0.57,10
F,0.58,10
F,0.68,11
F,0.53,9
M,0.58,10
M,0.595,11
M,0.6,8
I,0.3,5
I,0.37,5
F,0.685,10
M,0.535,11
M,0.51,10
F,0.665,21
F,0.64,13
F,0.64,18
I,0.345,8
F,0.69,19
M,0.595,11
M,0.48,14
M,0.46,12
F,0.59,11
F,0.605,15
F,0.51,12
M,0.645,17
I,0.41,10
I,0.45,12
I,0.39,8
F,0.585,12
F,0.51,13
I,0.44,11
M,0.455,12
I,0.44,16
M,0.605,18
I,0.35,9
I,0.21,4
I,0.4,7
I,0.44,7
M,0.535,10
F,0.62,10
F,0.66,9
I,0.24,4
I,0.26,4
I,0.33,6
I,0.425,8
I,0.475,9
I,0.515,9
I,0.535,9
I,0.575,9
I,0.58,10
M,0.6,8
M,0.625,9
F,0.66,12
I,0.395,5
I,0.495,8
M,0.515,8
M,0.545,7
I,0.435,6
I,0.515,9
I,0.52,8
I,0.535,10
F,0.585,10
F,0.65,10
F,0.665,11
M,0.675,11
F,0.705,10
M,0.51,9
F,0.575,10
I,0.385,6
I,0.435,8
M,0.575,9
M,0.67,10
I,0.355,7
I,0.38,6
I,0.46,8
M,0.475,8
M,0.565,9
M,0.57,10
F,0.545,10
M,0.535,11
M,0.335,6
M,0.57,14
F,0.57,9
F,0.645,15
F,0.61,15
I,0.38,7
M,0.495,12
F,0.595,13
F,0.53,12
I,0.315,5
M,0.69,11
M,0.695,10
I,0.295,6
M,0.485,8
M,0.665,8
I,0.315,6
I,0.36,6
M,0.625,8
M,0.66,11
I,0.44,8
M,0.51,7
I,0.56,11
F,0.58,10
M,0.59,9
M,0.625,10
M,0.515,8
I,0.37,6
I,0.395,7
I,0.48,7
M,0.59,8
M,0.635,9
F,0.65,9
M,0.68,11
I,0.3,4
I,0.585,10
F,0.6,11
F,0.645,10
M,0.67,11
I,0.435,6
M,0.475,8
M,0.385,8
