@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R7,9'

@attribute Viscera_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.0515,9
0.125,13
0.0575,8
0.083,6
0.2175,9
0.254,11
0.0185,4
0.3575,9
0.407,11
0.385,11
0.102,7
0.084,7
0.1505,8
0.1165,8
0.242,9
0.2835,10
0.401,11
0.037,7
0.1045,8
0.119,8
0.2235,11
0.2875,10
0.2375,11
0.3525,12
0.118,7
0.262,10
0.0185,6
0.027,5
0.055,6
0.1855,9
0.15,9
0.1495,9
0.256,10
0.257,11
0.2735,11
0.1055,7
0.199,7
0.156,10
0.2315,9
0.0285,5
0.099,8
0.207,9
0.24,11
0.318,11
0.478,13
0.0875,9
0.2825,12
0.043,8
0.395,10
0.38,12
0.083,14
0.0755,7
0.205,8
0.204,9
0.056,6
0.087,9
0.0405,9
0.3375,16
0.196,12
0.1775,11
0.043,10
0.1025,13
0.2295,15
0.215,14
0.157,13
0.3735,9
0.031,4
0.1925,6
0.283,10
0.3735,11
0.018,5
0.1265,10
0.2545,9
0.274,8
0.167,10
0.1365,11
0.169,12
0.331,10
0.1055,8
0.1645,11
0.308,11
0.189,9
0.1605,11
0.226,11
0.3255,13
0.0695,7
0.0885,10
0.172,8
