@relation abalone

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.255,9
I,0.415,9
F,0.45,9
M,0.48,9
M,0.47,9
M,0.455,9
F,0.49,9
F,0.44,9
I,0.45,9
I,0.375,9
I,0.36,9
F,0.36,9
M,0.455,9
I,0.3,9
I,0.46,9
F,0.54,9
M,0.46,9
M,0.43,9
F,0.46,9
M,0.47,9
M,0.4,9
M,0.355,9
I,0.43,9
I,0.355,9
M,0.455,9
I,0.355,9
I,0.345,9
F,0.475,9
F,0.38,9
M,0.395,9
M,0.32,9
F,0.48,9
I,0.395,9
I,0.4,9
M,0.545,9
F,0.49,9
F,0.525,9
I,0.46,9
F,0.45,9
M,0.535,9
I,0.425,9
M,0.34,9
F,0.44,9
M,0.325,9
I,0.44,9
F,0.395,9
I,0.445,9
I,0.38,9
M,0.45,9
F,0.525,9
M,0.29,9
F,0.43,9
F,0.29,9
I,0.29,9
M,0.365,9
F,0.365,9
I,0.42,9
F,0.49,9
F,0.26,9
F,0.475,9
I,0.47,9
F,0.46,9
F,0.405,9
M,0.51,9
I,0.4,9
M,0.5,9
I,0.425,9
F,0.325,9
M,0.495,9
F,0.325,9
M,0.495,9
F,0.465,9
I,0.425,9
M,0.44,9
I,0.39,9
M,0.34,9
M,0.5,9
M,0.455,9
F,0.455,9
I,0.44,9
M,0.225,9
M,0.425,9
M,0.355,9
F,0.285,9
F,0.445,9
I,0.34,9
F,0.3,9
M,0.41,9
M,0.47,9
F,0.42,9
F,0.465,9
F,0.47,9
M,0.29,9
M,0.45,9
I,0.395,9
M,0.47,9
M,0.45,9
M,0.41,9
F,0.49,9
M,0.35,9
F,0.255,9
M,0.46,9
F,0.385,9
M,0.475,9
M,0.37,9
M,0.4,9
F,0.52,9
M,0.37,9
I,0.27,9
M,0.455,9
F,0.44,9
M,0.45,9
I,0.445,9
M,0.435,9
I,0.39,9
I,0.4,9
F,0.43,9
M,0.52,9
M,0.39,9
F,0.43,9
F,0.5,9
I,0.32,9
F,0.37,9
I,0.355,9
F,0.44,9
I,0.425,9
M,0.48,9
F,0.495,9
I,0.395,9
M,0.49,9
I,0.395,9
M,0.485,9
F,0.455,9
I,0.405,9
M,0.405,9
M,0.445,9
F,0.41,9
F,0.5,9
F,0.475,9
F,0.485,9
F,0.455,9
M,0.295,9
I,0.365,9
I,0.415,9
M,0.525,9
M,0.3,9
F,0.4,9
F,0.55,9
F,0.4,9
I,0.445,9
F,0.485,9
F,0.52,9
F,0.49,9
M,0.425,9
M,0.445,9
M,0.405,9
I,0.24,9
I,0.375,9
I,0.355,9
I,0.375,9
M,0.48,9
I,0.295,9
M,0.455,9
F,0.465,9
M,0.47,9
I,0.35,9
M,0.49,9
M,0.525,9
M,0.505,9
M,0.375,9
M,0.47,9
F,0.525,9
I,0.33,9
F,0.515,9
M,0.47,9
M,0.465,9
I,0.485,9
M,0.44,9
M,0.5,9
F,0.475,9
M,0.41,9
I,0.425,9
M,0.435,9
F,0.505,9
I,0.4,9
F,0.495,9
I,0.425,9
M,0.51,9
M,0.49,9
F,0.45,9
M,0.51,9
F,0.44,9
F,0.395,9
F,0.5,9
I,0.36,9
M,0.38,9
M,0.51,9
F,0.365,9
M,0.45,9
F,0.395,9
F,0.475,9
M,0.475,9
I,0.365,9
M,0.29,9
I,0.34,9
M,0.505,9
F,0.48,9
M,0.475,9
I,0.455,9
M,0.435,9
M,0.33,9
M,0.38,9
M,0.34,9
M,0.47,9
F,0.5,9
M,0.515,9
M,0.49,9
F,0.515,9
I,0.36,9
F,0.41,9
F,0.48,9
F,0.43,9
I,0.5,9
F,0.57,9
M,0.47,9
I,0.4,9
F,0.4,9
F,0.485,9
M,0.465,9
F,0.42,9
M,0.475,9
I,0.395,9
F,0.415,9
I,0.445,9
F,0.45,9
M,0.445,9
M,0.35,9
M,0.47,9
I,0.42,9
M,0.415,9
M,0.405,9
I,0.465,9
F,0.5,9
F,0.37,9
F,0.44,9
M,0.48,9
F,0.465,9
M,0.46,9
F,0.495,9
F,0.5,9
F,0.42,9
F,0.51,9
F,0.465,9
I,0.395,9
M,0.355,9
M,0.24,9
M,0.445,9
F,0.47,9
I,0.4,9
F,0.47,9
M,0.49,9
I,0.35,9
F,0.41,9
M,0.37,9
M,0.455,9
I,0.375,9
I,0.465,9
I,0.41,9
M,0.455,9
M,0.385,9
I,0.45,9
I,0.355,9
M,0.49,9
F,0.39,9
I,0.43,9
I,0.37,9
F,0.465,9
I,0.31,9
I,0.365,9
I,0.39,9
M,0.425,9
M,0.46,9
I,0.435,9
I,0.47,9
M,0.47,9
F,0.435,9
I,0.385,9
F,0.485,9
F,0.43,9
M,0.48,9
M,0.5,9
I,0.4,9
M,0.455,9
M,0.525,9
F,0.435,9
F,0.35,9
F,0.445,9
M,0.34,9
M,0.45,9
M,0.38,9
M,0.49,9
M,0.465,9
M,0.47,9
F,0.505,9
M,0.5,9
F,0.5,9
I,0.36,9
I,0.45,9
I,0.39,9
M,0.475,9
F,0.355,9
I,0.4,9
F,0.5,9
M,0.395,9
M,0.565,9
M,0.485,9
F,0.34,9
M,0.51,9
I,0.205,9
F,0.45,9
M,0.425,9
F,0.515,9
I,0.345,9
M,0.445,9
F,0.44,9
F,0.44,9
F,0.345,9
F,0.43,9
M,0.42,9
F,0.495,9
M,0.305,9
F,0.495,9
F,0.425,9
F,0.43,9
M,0.475,9
F,0.445,9
F,0.425,9
F,0.475,9
M,0.495,9
M,0.45,9
F,0.48,9
F,0.42,9
I,0.335,9
I,0.365,9
M,0.36,9
I,0.35,9
M,0.35,9
I,0.385,9
F,0.35,9
M,0.475,9
F,0.47,9
M,0.435,9
F,0.43,9
F,0.41,9
M,0.51,9
M,0.465,9
F,0.325,9
I,0.33,9
F,0.395,9
M,0.27,9
M,0.5,9
M,0.375,9
M,0.515,9
F,0.5,9
M,0.37,9
F,0.465,9
M,0.44,9
M,0.48,9
F,0.51,9
M,0.42,9
I,0.265,9
F,0.51,9
M,0.43,9
M,0.37,9
F,0.49,9
F,0.535,9
I,0.37,9
M,0.47,9
F,0.355,9
M,0.35,9
I,0.42,9
M,0.57,9
F,0.46,9
I,0.4,9
F,0.485,9
F,0.53,9
F,0.515,9
I,0.32,9
M,0.315,9
M,0.3,9
F,0.425,9
M,0.485,9
I,0.355,9
F,0.445,9
M,0.47,9
F,0.52,9
F,0.505,9
F,0.51,9
I,0.255,9
F,0.525,9
I,0.365,9
I,0.36,9
F,0.49,9
I,0.485,9
F,0.46,9
M,0.5,9
I,0.4,9
F,0.39,9
F,0.455,9
F,0.445,9
F,0.485,9
M,0.51,9
M,0.305,9
F,0.565,9
I,0.405,9
F,0.36,9
I,0.355,9
F,0.49,9
M,0.455,9
M,0.46,9
M,0.41,9
I,0.45,9
M,0.425,9
M,0.37,9
F,0.475,9
M,0.5,9
I,0.425,9
I,0.435,9
M,0.39,9
M,0.285,9
I,0.445,9
M,0.485,9
M,0.375,9
I,0.37,9
F,0.475,9
I,0.435,9
I,0.45,9
I,0.28,9
M,0.525,9
I,0.4,9
F,0.42,9
F,0.45,9
I,0.375,9
M,0.305,9
M,0.47,9
F,0.485,9
I,0.455,9
F,0.43,9
M,0.435,9
I,0.425,9
I,0.42,9
I,0.305,9
F,0.33,10
I,0.375,10
F,0.585,10
I,0.425,10
F,0.455,10
M,0.435,10
F,0.58,10
F,0.4,10
M,0.5,10
I,0.305,10
F,0.525,10
F,0.48,10
M,0.305,10
F,0.415,10
F,0.55,10
M,0.515,10
F,0.475,10
F,0.475,10
F,0.35,10
M,0.51,10
F,0.29,10
M,0.42,10
F,0.36,10
F,0.51,10
I,0.365,10
M,0.48,10
M,0.505,10
I,0.425,10
M,0.455,10
M,0.38,10
F,0.405,10
F,0.315,10
M,0.47,10
F,0.435,10
M,0.545,10
I,0.425,10
I,0.415,10
M,0.55,10
M,0.425,10
M,0.475,10
F,0.325,10
M,0.46,10
F,0.465,10
M,0.54,10
F,0.28,10
F,0.57,10
I,0.295,10
M,0.42,10
M,0.565,10
M,0.455,10
F,0.36,10
M,0.525,10
M,0.48,10
F,0.445,10
F,0.48,10
F,0.435,10
F,0.32,10
M,0.6,10
F,0.465,10
F,0.51,10
M,0.425,10
M,0.48,10
I,0.43,10
M,0.255,10
M,0.53,10
F,0.4,10
F,0.53,10
M,0.45,10
M,0.57,10
F,0.505,10
M,0.235,10
M,0.45,10
M,0.25,10
M,0.36,10
F,0.51,10
F,0.41,10
M,0.495,10
I,0.425,10
F,0.48,10
M,0.35,10
F,0.45,10
F,0.485,10
I,0.445,10
M,0.485,10
F,0.425,10
I,0.48,10
F,0.495,10
I,0.375,10
M,0.5,10
M,0.47,10
I,0.37,10
F,0.495,10
F,0.515,10
M,0.45,10
M,0.45,10
M,0.26,10
F,0.52,10
M,0.4,10
M,0.56,10
M,0.515,10
M,0.46,10
M,0.47,10
M,0.46,10
F,0.475,10
I,0.43,10
F,0.375,10
M,0.45,10
M,0.49,10
M,0.275,10
M,0.49,10
M,0.52,10
F,0.42,10
F,0.435,10
M,0.52,10
F,0.57,10
M,0.5,10
M,0.49,10
F,0.5,10
M,0.365,10
F,0.535,10
F,0.435,10
M,0.46,10
I,0.45,10
F,0.415,10
F,0.525,10
F,0.46,10
M,0.49,10
M,0.525,10
M,0.505,10
F,0.53,10
M,0.42,10
I,0.385,10
F,0.47,10
F,0.455,10
I,0.4,10
M,0.45,10
F,0.415,10
F,0.42,10
I,0.52,10
F,0.45,10
F,0.51,10
F,0.505,10
I,0.45,10
M,0.565,10
F,0.505,10
M,0.46,10
M,0.405,10
M,0.465,10
F,0.51,10
M,0.485,10
F,0.41,10
M,0.375,10
F,0.49,10
M,0.53,10
F,0.535,10
F,0.51,10
M,0.525,10
F,0.38,10
F,0.405,10
M,0.44,10
F,0.465,10
I,0.26,10
M,0.46,10
F,0.475,10
F,0.265,10
F,0.52,10
I,0.45,10
I,0.45,10
M,0.47,10
M,0.45,10
F,0.52,10
F,0.485,10
M,0.49,10
M,0.445,10
M,0.445,10
M,0.47,10
F,0.46,10
F,0.535,10
M,0.51,10
F,0.385,10
M,0.505,10
M,0.535,10
F,0.585,10
F,0.48,10
I,0.405,10
M,0.225,10
M,0.525,10
M,0.28,10
I,0.415,10
I,0.415,10
M,0.43,10
F,0.51,10
F,0.46,10
M,0.475,10
F,0.49,10
F,0.525,10
I,0.45,10
I,0.385,10
M,0.57,10
M,0.49,10
F,0.535,10
F,0.45,10
I,0.4,10
F,0.515,10
M,0.355,10
F,0.545,10
F,0.51,10
M,0.475,10
M,0.58,10
M,0.525,10
M,0.48,10
F,0.5,10
M,0.51,10
M,0.505,10
F,0.48,10
F,0.5,10
M,0.495,10
M,0.475,10
F,0.455,10
F,0.47,10
I,0.43,10
M,0.475,10
M,0.465,10
M,0.46,10
M,0.45,10
I,0.435,10
F,0.35,10
M,0.425,10
I,0.375,10
F,0.53,10
I,0.445,10
M,0.43,10
F,0.48,10
F,0.375,10
F,0.5,10
I,0.425,10
F,0.365,10
F,0.325,10
F,0.55,10
F,0.475,10
F,0.525,10
M,0.43,10
F,0.375,10
I,0.3,10
M,0.505,10
M,0.43,10
F,0.405,10
F,0.395,10
M,0.55,10
M,0.48,10
M,0.49,10
M,0.52,10
F,0.485,10
M,0.475,10
I,0.29,10
F,0.315,10
M,0.475,10
M,0.4,10
F,0.29,10
M,0.57,10
M,0.44,10
F,0.515,10
I,0.435,10
I,0.41,10
M,0.35,10
I,0.37,10
F,0.475,10
M,0.455,10
I,0.53,10
M,0.455,10
I,0.425,10
M,0.34,10
F,0.37,10
M,0.44,10
F,0.5,10
I,0.44,10
F,0.5,10
F,0.305,10
I,0.43,10
M,0.475,10
M,0.495,10
M,0.4,10
M,0.44,10
F,0.475,10
F,0.48,10
F,0.415,10
M,0.44,10
M,0.49,10
M,0.48,10
M,0.475,10
F,0.425,10
I,0.35,10
I,0.275,10
F,0.5,10
F,0.475,10
F,0.58,10
M,0.46,10
F,0.465,10
F,0.48,10
F,0.49,10
I,0.47,10
I,0.46,10
M,0.325,10
M,0.525,10
M,0.405,10
I,0.475,10
F,0.495,10
F,0.545,10
F,0.445,10
F,0.48,10
M,0.255,10
I,0.43,10
M,0.465,10
M,0.37,10
F,0.385,10
F,0.355,10
F,0.48,10
M,0.355,10
M,0.475,10
F,0.45,10
F,0.56,10
I,0.425,10
F,0.455,10
M,0.5,10
M,0.38,10
M,0.485,10
F,0.34,10
M,0.47,10
I,0.475,10
F,0.53,10
F,0.46,10
M,0.345,10
M,0.46,10
F,0.5,10
M,0.5,10
M,0.435,10
F,0.45,10
M,0.52,10
M,0.455,10
M,0.44,10
M,0.36,10
M,0.495,10
F,0.335,10
M,0.265,10
F,0.525,10
M,0.515,10
F,0.36,10
M,0.5,10
M,0.51,10
I,0.45,10
F,0.43,10
F,0.465,10
M,0.355,10
F,0.48,10
M,0.435,10
M,0.295,10
M,0.47,10
I,0.475,10
F,0.5,10
I,0.42,10
M,0.515,10
M,0.365,10
F,0.375,10
M,0.525,10
F,0.5,10
M,0.435,10
M,0.525,10
F,0.36,10
M,0.45,10
M,0.355,10
I,0.46,10
F,0.55,10
F,0.42,10
M,0.385,10
F,0.38,10
M,0.515,10
M,0.48,10
F,0.505,10
M,0.465,10
I,0.475,10
F,0.5,10
I,0.38,10
F,0.36,10
M,0.505,10
M,0.49,10
M,0.475,10
M,0.335,10
M,0.45,10
M,0.46,10
I,0.27,10
F,0.535,10
M,0.42,10
I,0.425,10
F,0.4,10
F,0.53,10
M,0.415,10
F,0.34,10
I,0.46,10
M,0.485,10
M,0.44,10
M,0.5,10
I,0.46,10
M,0.455,10
M,0.375,10
M,0.505,10
M,0.42,10
M,0.49,10
F,0.55,10
M,0.37,10
M,0.48,10
M,0.435,10
F,0.525,10
M,0.565,10
M,0.465,10
F,0.5,10
F,0.475,10
F,0.47,10
M,0.515,10
F,0.475,10
I,0.325,10
M,0.485,10
M,0.505,10
M,0.48,10
F,0.525,10
M,0.53,10
M,0.51,10
F,0.39,10
M,0.46,10
F,0.54,10
I,0.365,10
M,0.475,10
F,0.335,10
M,0.38,10
F,0.465,10
M,0.48,10
F,0.33,10
M,0.51,10
M,0.365,10
F,0.515,10
F,0.44,10
F,0.495,10
M,0.285,10
F,0.31,10
I,0.385,10
M,0.395,10
M,0.545,10
M,0.475,10
F,0.425,10
M,0.495,10
M,0.54,10
M,0.495,10
F,0.41,10
M,0.365,10
M,0.47,10
F,0.47,10
M,0.48,10
M,0.37,10
I,0.31,10
I,0.475,10
F,0.48,10
M,0.47,10
I,0.34,10
M,0.525,10
F,0.43,10
M,0.43,10
M,0.405,10
M,0.53,10
F,0.495,10
M,0.45,10
M,0.405,10
F,0.385,10
F,0.305,10
M,0.47,10
F,0.46,10
F,0.55,10
F,0.53,10
F,0.5,10
M,0.55,10
F,0.51,10
I,0.425,10
I,0.36,10
I,0.4,10
M,0.48,10
F,0.44,10
M,0.48,10
I,0.365,10
M,0.5,10
I,0.375,10
F,0.5,10
M,0.495,10
M,0.46,10
M,0.51,10
M,0.47,10
F,0.465,10
F,0.4,10
M,0.505,10
M,0.505,10
F,0.45,10
M,0.265,10
M,0.455,10
F,0.42,10
F,0.46,10
I,0.49,10
F,0.415,10
M,0.52,10
F,0.395,10
M,0.38,10
I,0.405,10
M,0.51,10
F,0.485,10
M,0.475,10
F,0.475,10
M,0.53,10
M,0.405,10
F,0.555,10
F,0.45,10
M,0.46,10
I,0.45,10
M,0.39,10
M,0.545,10
F,0.515,10
I,0.49,10
F,0.495,10
M,0.415,10
F,0.45,10
F,0.44,10
F,0.405,10
M,0.43,10
F,0.375,10
M,0.6,10
I,0.405,10
F,0.47,10
I,0.47,10
M,0.455,10
F,0.445,10
M,0.5,10
I,0.435,10
M,0.44,10
I,0.42,10
F,0.56,10
M,0.44,10
F,0.505,10
M,0.455,10
I,0.44,10
F,0.445,10
F,0.485,10
M,0.375,10
F,0.51,10
M,0.315,10
F,0.4,10
M,0.535,10
M,0.475,10
F,0.57,10
M,0.515,10
I,0.45,10
I,0.325,10
M,0.55,10
M,0.495,10
M,0.43,10
M,0.425,10
M,0.475,10
F,0.435,10
F,0.52,10
F,0.48,10
F,0.44,10
I,0.275,10
M,0.435,10
M,0.515,10
I,0.43,10
F,0.455,10
M,0.435,10
M,0.485,8
M,0.5,8
I,0.28,8
F,0.4,8
M,0.415,8
M,0.36,8
M,0.355,8
I,0.285,8
M,0.365,8
I,0.31,8
M,0.435,8
F,0.46,8
I,0.4,8
F,0.365,8
I,0.435,8
I,0.48,8
F,0.33,8
M,0.355,8
F,0.38,8
I,0.29,8
I,0.38,8
I,0.42,8
I,0.39,8
M,0.49,8
F,0.375,8
I,0.325,8
M,0.39,8
M,0.44,8
F,0.445,8
I,0.375,8
I,0.28,8
I,0.325,8
I,0.285,8
I,0.365,8
M,0.485,8
I,0.43,8
I,0.355,8
M,0.305,8
I,0.34,8
M,0.4,8
I,0.355,8
F,0.435,8
M,0.385,8
F,0.365,8
I,0.355,8
I,0.44,8
I,0.43,8
M,0.45,8
I,0.35,8
F,0.5,8
M,0.48,8
M,0.35,8
I,0.365,8
F,0.46,8
I,0.415,8
I,0.405,8
M,0.43,8
M,0.47,8
I,0.24,8
I,0.315,8
M,0.51,8
I,0.385,8
I,0.405,8
I,0.375,8
F,0.35,8
F,0.42,8
F,0.445,8
I,0.365,8
I,0.415,8
M,0.47,8
I,0.39,8
M,0.45,8
M,0.515,8
M,0.455,8
I,0.23,8
M,0.425,8
M,0.415,8
I,0.255,8
I,0.325,8
I,0.315,8
I,0.4,8
M,0.475,8
I,0.425,8
F,0.425,8
M,0.42,8
F,0.355,8
I,0.375,8
I,0.195,8
F,0.425,8
