@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Height numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.605,0.49,0.155,1.153,0.503,15
M,0.59,0.5,0.165,1.1045,0.4565,15
I,0.48,0.39,0.145,0.5825,0.2315,15
F,0.61,0.495,0.19,1.213,0.464,15
F,0.605,0.475,0.145,1.0185,0.4695,15
M,0.635,0.51,0.21,1.598,0.6535,15
F,0.525,0.425,0.145,0.7995,0.3345,15
F,0.595,0.48,0.2,0.975,0.358,15
F,0.62,0.47,0.14,1.0325,0.3605,15
M,0.645,0.495,0.185,1.4935,0.5265,15
M,0.695,0.515,0.175,1.5165,0.578,15
M,0.42,0.325,0.115,0.2885,0.1,15
M,0.64,0.49,0.14,1.194,0.4445,15
I,0.45,0.35,0.145,0.525,0.2085,15
M,0.6,0.495,0.165,1.2415,0.485,15
M,0.48,0.365,0.12,0.6015,0.312,7
F,0.485,0.365,0.15,0.9145,0.4145,7
I,0.445,0.345,0.105,0.409,0.1675,7
I,0.365,0.275,0.135,0.24,0.108,7
M,0.47,0.36,0.105,0.544,0.27,7
I,0.39,0.3,0.09,0.252,0.1065,7
M,0.545,0.39,0.135,0.7835,0.4225,7
I,0.405,0.3,0.11,0.32,0.172,7
I,0.39,0.29,0.09,0.2625,0.117,7
M,0.29,0.23,0.075,0.1165,0.043,7
I,0.465,0.37,0.11,0.445,0.1635,7
I,0.265,0.2,0.065,0.0975,0.04,7
I,0.46,0.345,0.105,0.449,0.196,7
I,0.43,0.325,0.09,0.425,0.217,7
M,0.505,0.385,0.13,0.6435,0.3135,7
I,0.375,0.28,0.085,0.2145,0.0855,7
I,0.35,0.25,0.1,0.4015,0.1725,7
I,0.405,0.305,0.1,0.271,0.0965,7
I,0.33,0.23,0.08,0.14,0.0565,7
M,0.42,0.345,0.105,0.43,0.175,7
M,0.62,0.46,0.17,1.127,0.535,7
I,0.425,0.325,0.115,0.3685,0.162,7
F,0.375,0.29,0.08,0.282,0.1405,7
I,0.43,0.32,0.1,0.3465,0.1635,7
I,0.45,0.335,0.105,0.362,0.1575,7
I,0.38,0.285,0.09,0.2305,0.1005,7
I,0.455,0.355,0.125,0.5325,0.225,7
F,0.46,0.375,0.12,0.4605,0.1775,7
I,0.43,0.34,0.11,0.3645,0.159,7
I,0.395,0.31,0.085,0.317,0.153,7
I,0.445,0.335,0.1,0.4895,0.2745,7
F,0.55,0.425,0.14,0.952,0.4895,7
I,0.405,0.305,0.09,0.2825,0.114,7
I,0.33,0.255,0.08,0.205,0.0895,7
M,0.405,0.31,0.1,0.385,0.173,7
I,0.435,0.335,0.11,0.334,0.1355,7
F,0.455,0.35,0.12,0.4555,0.1945,7
I,0.36,0.3,0.085,0.27,0.1185,7
I,0.34,0.265,0.07,0.185,0.0625,7
I,0.41,0.33,0.105,0.335,0.1525,7
I,0.44,0.345,0.12,0.365,0.1655,7
F,0.58,0.435,0.15,0.839,0.3485,7
F,0.575,0.46,0.145,0.9945,0.466,7
M,0.265,0.2,0.065,0.084,0.034,7
I,0.46,0.36,0.105,0.466,0.2225,7
F,0.475,0.38,0.14,0.689,0.3165,7
M,0.47,0.37,0.13,0.5225,0.201,7
I,0.375,0.28,0.08,0.2165,0.0935,7
I,0.465,0.355,0.105,0.442,0.2085,7
F,0.555,0.425,0.14,0.963,0.44,7
I,0.435,0.325,0.1,0.366,0.174,7
F,0.465,0.355,0.115,0.4705,0.1955,7
I,0.395,0.29,0.095,0.319,0.138,7
I,0.475,0.355,0.115,0.5195,0.279,7
I,0.385,0.3,0.095,0.302,0.152,7
I,0.415,0.325,0.1,0.313,0.139,7
M,0.57,0.46,0.17,0.9035,0.4075,7
I,0.505,0.38,0.12,0.594,0.2595,7
I,0.51,0.395,0.13,0.6025,0.281,7
M,0.35,0.265,0.09,0.2255,0.0995,7
M,0.53,0.405,0.125,0.6515,0.2715,7
I,0.44,0.34,0.1,0.407,0.209,7
M,0.5,0.385,0.135,0.6425,0.3195,7
I,0.39,0.315,0.09,0.3095,0.147,7
M,0.31,0.245,0.095,0.15,0.0525,7
F,0.52,0.46,0.15,1.019,0.523,7
I,0.425,0.32,0.1,0.3055,0.126,7
I,0.435,0.335,0.1,0.3245,0.135,7
F,0.495,0.38,0.12,0.573,0.2655,7
M,0.46,0.345,0.11,0.4595,0.235,7
I,0.345,0.27,0.11,0.2135,0.082,7
I,0.475,0.35,0.115,0.498,0.2375,7
I,0.415,0.305,0.12,0.336,0.165,7
F,0.375,0.27,0.135,0.597,0.272,7
I,0.405,0.25,0.09,0.2875,0.128,7
F,0.425,0.35,0.1,0.4425,0.175,7
I,0.37,0.275,0.1,0.2295,0.0885,7
I,0.32,0.23,0.06,0.129,0.0615,7
F,0.485,0.37,0.115,0.4785,0.1995,7
I,0.33,0.26,0.08,0.19,0.0765,7
I,0.36,0.26,0.09,0.1785,0.0645,7
M,0.205,0.155,0.045,0.0425,0.017,7
I,0.42,0.32,0.11,0.3625,0.174,7
M,0.49,0.465,0.125,0.5225,0.235,7
I,0.445,0.325,0.1,0.378,0.1795,7
I,0.38,0.285,0.095,0.243,0.0895,7
I,0.46,0.365,0.115,0.511,0.2365,7
I,0.345,0.265,0.1,0.2455,0.111,7
I,0.425,0.325,0.105,0.3975,0.1815,7
I,0.415,0.325,0.1,0.3335,0.1445,7
I,0.365,0.27,0.085,0.2225,0.0935,7
M,0.28,0.21,0.08,0.1085,0.041,7
I,0.39,0.3,0.095,0.3265,0.1665,7
I,0.39,0.285,0.1,0.281,0.1275,7
F,0.37,0.295,0.1,0.2685,0.1165,7
I,0.46,0.36,0.1,0.4635,0.2325,7
I,0.435,0.335,0.1,0.3295,0.129,7
I,0.435,0.325,0.12,0.346,0.159,7
I,0.45,0.35,0.135,0.494,0.2205,7
I,0.37,0.29,0.09,0.2445,0.089,7
I,0.435,0.315,0.11,0.3685,0.1615,7
I,0.325,0.25,0.08,0.1735,0.0765,7
I,0.39,0.29,0.1,0.2845,0.1255,7
M,0.485,0.385,0.105,0.556,0.296,7
M,0.43,0.335,0.12,0.397,0.1985,7
M,0.545,0.42,0.145,0.778,0.3745,7
I,0.275,0.2,0.075,0.086,0.0305,7
I,0.37,0.27,0.09,0.1855,0.07,7
M,0.27,0.195,0.07,0.106,0.0465,7
I,0.35,0.265,0.08,0.2,0.09,7
I,0.45,0.335,0.11,0.4195,0.181,7
M,0.5,0.375,0.145,0.6215,0.274,7
I,0.355,0.27,0.1,0.2255,0.11,7
I,0.445,0.345,0.12,0.4035,0.169,7
I,0.43,0.325,0.1,0.3645,0.1575,7
I,0.415,0.33,0.1,0.3905,0.1925,7
M,0.475,0.36,0.1,0.4285,0.1965,7
F,0.305,0.225,0.07,0.1485,0.0585,7
I,0.425,0.31,0.09,0.301,0.1385,7
I,0.41,0.335,0.11,0.33,0.157,7
I,0.475,0.365,0.115,0.459,0.2175,7
I,0.475,0.35,0.12,0.4905,0.2035,7
M,0.52,0.39,0.12,0.6435,0.2885,7
I,0.36,0.285,0.105,0.2415,0.0915,7
M,0.38,0.235,0.1,0.258,0.1055,7
I,0.465,0.355,0.11,0.474,0.23,7
I,0.385,0.28,0.095,0.257,0.119,7
I,0.515,0.385,0.125,0.572,0.237,7
M,0.325,0.24,0.085,0.173,0.0795,7
I,0.435,0.33,0.11,0.38,0.1515,7
F,0.35,0.265,0.09,0.1855,0.0745,7
M,0.295,0.215,0.075,0.129,0.05,7
I,0.47,0.355,0.115,0.4155,0.167,7
I,0.52,0.39,0.13,0.5545,0.2355,7
M,0.335,0.25,0.09,0.181,0.0755,7
M,0.585,0.465,0.16,0.9555,0.4595,7
F,0.72,0.525,0.18,1.445,0.631,7
I,0.365,0.275,0.09,0.2345,0.108,7
I,0.4,0.3,0.09,0.2815,0.1185,7
I,0.36,0.275,0.075,0.2205,0.0985,7
I,0.375,0.27,0.085,0.218,0.0945,7
M,0.31,0.225,0.08,0.1345,0.054,7
I,0.355,0.28,0.085,0.2905,0.095,7
M,0.32,0.24,0.085,0.17,0.0655,7
F,0.585,0.45,0.15,0.938,0.467,7
I,0.44,0.325,0.09,0.35,0.148,7
M,0.615,0.45,0.15,1.198,0.707,7
F,0.475,0.38,0.135,0.486,0.1735,7
I,0.375,0.275,0.095,0.2295,0.095,7
M,0.45,0.345,0.105,0.4115,0.18,7
M,0.335,0.265,0.105,0.222,0.0935,7
I,0.44,0.34,0.1,0.379,0.1725,7
F,0.58,0.46,0.15,1.1155,0.5575,7
I,0.3,0.22,0.09,0.1425,0.057,7
I,0.37,0.275,0.1,0.22,0.094,7
I,0.33,0.25,0.095,0.2085,0.102,7
M,0.235,0.17,0.055,0.0515,0.018,7
I,0.465,0.37,0.115,0.534,0.261,7
M,0.465,0.36,0.11,0.4955,0.2665,7
I,0.265,0.195,0.055,0.084,0.0365,7
F,0.305,0.23,0.08,0.156,0.0675,7
I,0.4,0.31,0.1,0.127,0.106,7
I,0.41,0.305,0.1,0.2645,0.1,7
I,0.365,0.27,0.085,0.205,0.078,7
I,0.37,0.275,0.09,0.2065,0.096,7
F,0.325,0.26,0.09,0.1915,0.085,7
I,0.335,0.25,0.075,0.1825,0.0705,7
I,0.485,0.37,0.1,0.513,0.219,7
I,0.38,0.3,0.1,0.286,0.1305,7
I,0.275,0.2,0.065,0.1165,0.0565,7
F,0.38,0.32,0.115,0.6475,0.323,7
I,0.475,0.385,0.11,0.5735,0.311,7
I,0.36,0.265,0.095,0.2315,0.105,7
I,0.535,0.4,0.13,0.657,0.2835,7
I,0.405,0.305,0.1,0.268,0.1145,7
I,0.355,0.275,0.09,0.251,0.097,7
F,0.43,0.34,0.12,0.391,0.1555,7
M,0.435,0.335,0.11,0.4385,0.2075,7
I,0.425,0.34,0.1,0.3515,0.1625,7
F,0.435,0.325,0.115,0.3915,0.154,7
I,0.505,0.385,0.12,0.6005,0.239,7
F,0.505,0.39,0.125,0.5445,0.246,7
I,0.425,0.315,0.095,0.3675,0.1865,7
M,0.54,0.41,0.13,0.56,0.2375,7
I,0.41,0.305,0.09,0.3535,0.157,7
F,0.53,0.395,0.145,0.775,0.308,7
I,0.46,0.35,0.11,0.4675,0.2125,7
M,0.555,0.4,0.13,0.7075,0.332,7
I,0.44,0.33,0.11,0.3705,0.1545,7
I,0.395,0.29,0.095,0.3,0.158,7
I,0.385,0.295,0.085,0.2535,0.103,7
I,0.36,0.265,0.09,0.2055,0.096,7
I,0.45,0.335,0.115,0.3935,0.195,7
M,0.415,0.3,0.1,0.3355,0.1545,7
I,0.425,0.325,0.11,0.3335,0.173,7
I,0.355,0.27,0.075,0.204,0.3045,7
I,0.415,0.325,0.1,0.4665,0.2285,7
I,0.365,0.28,0.09,0.196,0.0865,7
I,0.51,0.405,0.135,0.769,0.3655,7
M,0.35,0.265,0.11,0.2965,0.1365,7
I,0.38,0.28,0.095,0.2885,0.165,7
I,0.41,0.315,0.095,0.2805,0.114,7
I,0.495,0.33,0.1,0.44,0.177,7
I,0.5,0.375,0.125,0.5695,0.259,7
I,0.465,0.345,0.11,0.4415,0.1755,7
I,0.43,0.32,0.1,0.3855,0.192,7
I,0.44,0.335,0.11,0.3885,0.175,7
F,0.375,0.295,0.11,0.3005,0.1255,7
I,0.525,0.4,0.14,0.654,0.305,7
I,0.46,0.345,0.12,0.4155,0.198,7
I,0.38,0.29,0.085,0.2285,0.088,7
I,0.33,0.25,0.105,0.1715,0.0655,7
I,0.5,0.37,0.115,0.5745,0.306,7
M,0.515,0.41,0.14,0.7355,0.3065,7
M,0.455,0.375,0.125,0.484,0.2155,7
I,0.435,0.335,0.11,0.411,0.2025,7
I,0.53,0.42,0.12,0.5965,0.2555,7
M,0.495,0.4,0.135,0.61,0.272,7
I,0.365,0.265,0.135,0.2215,0.105,7
I,0.435,0.345,0.12,0.3215,0.13,7
M,0.51,0.405,0.125,0.6925,0.327,7
I,0.385,0.3,0.1,0.2895,0.1215,7
M,0.545,0.42,0.12,0.7865,0.403,7
I,0.32,0.255,0.1,0.1755,0.073,7
F,0.4,0.305,0.16,0.368,0.173,7
I,0.365,0.265,0.085,0.213,0.0945,7
I,0.4,0.305,0.1,0.3415,0.176,7
I,0.485,0.37,0.115,0.637,0.38,7
M,0.425,0.33,0.08,0.361,0.134,7
I,0.365,0.27,0.085,0.196,0.0825,7
I,0.45,0.36,0.13,0.478,0.191,7
I,0.375,0.3,0.075,0.144,0.059,7
I,0.315,0.24,0.085,0.1715,0.071,7
M,0.545,0.43,0.155,0.8035,0.409,7
F,0.61,0.485,0.18,1.2795,0.5735,7
I,0.435,0.335,0.095,0.298,0.109,7
I,0.475,0.375,0.115,0.5205,0.233,7
I,0.36,0.265,0.075,0.1845,0.083,7
F,0.49,0.37,0.105,0.5265,0.249,7
M,0.425,0.325,0.095,0.3785,0.1705,7
I,0.36,0.27,0.085,0.196,0.0905,7
I,0.375,0.285,0.08,0.226,0.0975,7
M,0.425,0.325,0.1,0.3295,0.1365,7
M,0.445,0.32,0.12,0.414,0.199,7
I,0.315,0.235,0.07,0.149,0.058,7
M,0.575,0.45,0.155,0.948,0.429,7
M,0.39,0.28,0.125,0.564,0.3035,7
I,0.39,0.29,0.1,0.2225,0.095,7
I,0.415,0.335,0.1,0.358,0.169,7
I,0.33,0.26,0.085,0.1965,0.0915,7
I,0.34,0.25,0.07,0.2225,0.104,7
I,0.505,0.39,0.185,0.6125,0.267,7
I,0.495,0.38,0.12,0.512,0.233,7
I,0.475,0.365,0.105,0.4175,0.1645,7
M,0.535,0.405,0.14,0.7315,0.336,7
M,0.5,0.4,0.125,0.6725,0.336,7
I,0.37,0.28,0.095,0.2655,0.122,7
F,0.51,0.375,0.11,0.5805,0.2865,7
F,0.505,0.4,0.125,0.583,0.246,7
I,0.39,0.295,0.1,0.279,0.1155,7
I,0.32,0.235,0.09,0.183,0.098,7
I,0.37,0.28,0.095,0.2865,0.1505,7
I,0.375,0.28,0.085,0.3155,0.187,7
M,0.63,0.51,0.17,1.1885,0.4915,7
I,0.42,0.3,0.105,0.316,0.1255,7
M,0.505,0.4,0.15,0.775,0.3445,7
I,0.515,0.4,0.125,0.5625,0.25,7
F,0.46,0.375,0.12,0.4915,0.2205,7
I,0.36,0.275,0.095,0.217,0.084,7
M,0.505,0.4,0.135,0.723,0.377,7
I,0.465,0.37,0.1,0.5055,0.234,7
M,0.385,0.295,0.095,0.335,0.147,7
I,0.35,0.26,0.09,0.1765,0.072,7
I,0.41,0.335,0.105,0.3305,0.1405,7
I,0.435,0.345,0.12,0.4475,0.221,7
M,0.365,0.295,0.08,0.2555,0.097,7
I,0.485,0.375,0.13,0.6025,0.2935,7
I,0.315,0.23,0.09,0.1285,0.043,7
I,0.375,0.29,0.085,0.2385,0.118,7
I,0.335,0.245,0.09,0.2015,0.096,7
I,0.275,0.2,0.065,0.1035,0.0475,7
I,0.39,0.31,0.085,0.344,0.181,7
M,0.33,0.255,0.095,0.1875,0.0735,7
I,0.395,0.295,0.1,0.293,0.14,7
I,0.325,0.25,0.08,0.176,0.0595,7
I,0.355,0.255,0.08,0.187,0.078,7
I,0.46,0.345,0.11,0.3755,0.1525,7
I,0.435,0.345,0.115,0.418,0.222,7
I,0.375,0.275,0.085,0.22,0.109,7
M,0.35,0.265,0.09,0.197,0.073,7
I,0.35,0.235,0.08,0.17,0.0725,7
I,0.45,0.33,0.105,0.3715,0.1865,7
I,0.405,0.3,0.085,0.3035,0.15,7
I,0.405,0.3,0.12,0.324,0.1265,7
I,0.36,0.265,0.085,0.1865,0.0675,7
I,0.38,0.275,0.095,0.1375,0.086,7
I,0.48,0.335,0.125,0.524,0.246,7
I,0.39,0.3,0.1,0.2665,0.1105,7
M,0.52,0.395,0.125,0.8115,0.4035,7
M,0.515,0.39,0.155,0.7125,0.3695,7
I,0.375,0.285,0.09,0.257,0.1045,7
I,0.37,0.28,0.09,0.218,0.0995,7
M,0.565,0.415,0.125,0.667,0.302,7
M,0.48,0.37,0.135,0.6315,0.3445,7
I,0.4,0.29,0.1,0.258,0.104,7
I,0.41,0.3,0.1,0.282,0.1255,7
I,0.405,0.29,0.09,0.2825,0.112,7
M,0.59,0.465,0.14,1.046,0.4695,7
I,0.395,0.31,0.095,0.313,0.131,7
I,0.515,0.38,0.12,0.625,0.3265,7
I,0.305,0.245,0.075,0.156,0.0675,7
I,0.485,0.385,0.13,0.568,0.2505,7
I,0.47,0.355,0.145,0.4485,0.156,7
I,0.28,0.205,0.055,0.1135,0.045,7
M,0.4,0.32,0.095,0.303,0.1335,7
F,0.435,0.35,0.105,0.4195,0.194,7
M,0.56,0.45,0.14,0.9,0.472,7
I,0.465,0.365,0.115,0.467,0.2315,7
M,0.525,0.415,0.135,0.7945,0.394,7
I,0.425,0.315,0.08,0.303,0.131,7
M,0.285,0.21,0.075,0.1185,0.055,7
I,0.385,0.3,0.125,0.343,0.1705,7
I,0.31,0.235,0.075,0.1515,0.056,7
I,0.46,0.355,0.11,0.4255,0.2015,7
I,0.455,0.335,0.135,0.501,0.274,7
I,0.44,0.355,0.12,0.495,0.231,7
I,0.285,0.225,0.07,0.1005,0.0425,7
I,0.48,0.36,0.125,0.542,0.2795,7
I,0.51,0.375,0.1,0.5785,0.238,7
M,0.55,0.405,0.15,0.9235,0.412,7
I,0.335,0.25,0.075,0.186,0.0945,7
I,0.445,0.35,0.13,0.4195,0.1695,7
I,0.52,0.38,0.115,0.6645,0.3285,7
I,0.495,0.38,0.13,0.5125,0.2185,7
M,0.535,0.405,0.14,0.818,0.402,7
F,0.39,0.29,0.125,0.3055,0.121,7
I,0.35,0.26,0.095,0.211,0.086,7
I,0.475,0.365,0.1,0.1315,0.2025,7
I,0.335,0.26,0.09,0.1965,0.0875,7
I,0.44,0.33,0.11,0.38,0.197,7
I,0.42,0.305,0.1,0.3415,0.1645,7
I,0.46,0.35,0.115,0.4155,0.18,7
I,0.355,0.28,0.11,0.2235,0.0815,7
I,0.385,0.29,0.09,0.232,0.0855,7
I,0.36,0.25,0.115,0.465,0.21,7
I,0.5,0.375,0.14,0.5495,0.248,7
I,0.455,0.35,0.105,0.4445,0.213,7
I,0.28,0.2,0.065,0.0895,0.036,7
I,0.33,0.225,0.075,0.187,0.0945,7
I,0.415,0.32,0.115,0.3045,0.1215,7
M,0.44,0.325,0.115,0.39,0.163,7
M,0.415,0.315,0.115,0.3895,0.2015,9
M,0.575,0.47,0.15,0.9785,0.4505,9
F,0.605,0.49,0.15,1.1345,0.5265,9
I,0.335,0.24,0.095,0.17,0.062,9
M,0.505,0.41,0.125,0.642,0.289,9
F,0.605,0.455,0.145,0.9775,0.468,9
F,0.605,0.47,0.155,0.974,0.393,9
M,0.5,0.405,0.14,0.6155,0.241,9
I,0.535,0.45,0.135,0.728,0.2845,9
F,0.445,0.325,0.125,0.455,0.1785,9
M,0.345,0.27,0.09,0.195,0.078,9
M,0.63,0.49,0.15,1.1955,0.5845,9
M,0.645,0.515,0.16,1.1845,0.506,9
M,0.63,0.455,0.15,1.1315,0.481,9
F,0.635,0.505,0.17,1.2635,0.512,9
M,0.5,0.4,0.125,0.5975,0.27,9
I,0.535,0.42,0.145,0.6885,0.273,9
F,0.575,0.435,0.155,0.8975,0.4115,9
I,0.485,0.345,0.16,0.869,0.3085,9
I,0.545,0.43,0.14,0.687,0.2615,9
M,0.65,0.51,0.155,1.407,0.7215,9
M,0.64,0.485,0.16,1.006,0.456,9
F,0.675,0.525,0.17,1.711,0.8365,9
M,0.385,0.3,0.095,0.24,0.0885,9
M,0.61,0.485,0.145,1.3305,0.783,9
M,0.6,0.475,0.155,1.1385,0.502,9
M,0.625,0.515,0.17,1.331,0.5725,9
M,0.585,0.46,0.145,0.9335,0.478,9
I,0.53,0.43,0.13,0.7045,0.346,9
M,0.625,0.48,0.16,1.1415,0.5795,9
M,0.605,0.475,0.175,1.2525,0.5575,9
F,0.555,0.405,0.12,0.913,0.4585,9
F,0.595,0.465,0.15,1.0765,0.491,9
M,0.605,0.475,0.14,1.1175,0.555,9
M,0.58,0.46,0.15,1.0165,0.491,9
M,0.44,0.355,0.125,0.4775,0.132,9
M,0.62,0.485,0.165,1.1325,0.5235,9
I,0.575,0.455,0.16,0.9895,0.495,9
F,0.47,0.365,0.12,0.543,0.2295,9
F,0.675,0.525,0.155,1.4785,0.628,9
F,0.465,0.35,0.115,0.421,0.1565,9
I,0.475,0.34,0.105,0.4535,0.203,9
F,0.625,0.49,0.11,1.136,0.5265,9
F,0.615,0.475,0.17,1.055,0.543,9
I,0.385,0.29,0.09,0.2615,0.111,9
F,0.635,0.495,0.175,1.211,0.707,9
F,0.575,0.445,0.14,0.941,0.3845,9
I,0.525,0.4,0.14,0.601,0.2625,9
I,0.625,0.485,0.15,1.044,0.438,9
I,0.54,0.43,0.14,0.8195,0.3935,9
I,0.47,0.36,0.13,0.5225,0.198,9
F,0.64,0.505,0.175,1.3185,0.6185,9
I,0.56,0.455,0.145,0.974,0.547,9
F,0.525,0.425,0.16,0.8355,0.3545,9
M,0.59,0.47,0.155,1.1735,0.6245,9
M,0.57,0.455,0.15,0.952,0.3895,9
M,0.6,0.465,0.2,1.259,0.6405,9
M,0.59,0.47,0.145,0.9235,0.4545,9
M,0.725,0.57,0.19,2.3305,1.253,9
M,0.65,0.51,0.16,1.3835,0.6385,9
M,0.7,0.565,0.18,1.751,0.895,9
F,0.51,0.39,0.135,0.6335,0.231,9
F,0.57,0.44,0.19,1.018,0.447,9
F,0.585,0.46,0.165,1.058,0.486,9
I,0.54,0.425,0.14,0.742,0.32,9
M,0.39,0.3,0.09,0.3055,0.143,9
M,0.61,0.365,0.155,1.0765,0.488,9
M,0.59,0.5,0.15,1.142,0.485,9
M,0.67,0.525,0.195,1.4405,0.6595,9
F,0.575,0.465,0.14,0.958,0.442,9
I,0.54,0.43,0.17,0.836,0.3725,9
F,0.515,0.395,0.135,0.516,0.2015,9
F,0.445,0.33,0.105,0.4525,0.18,9
F,0.64,0.515,0.205,1.5335,0.6635,9
M,0.625,0.47,0.175,1.179,0.605,9
I,0.42,0.325,0.125,0.3915,0.1575,9
M,0.615,0.53,0.17,1.12,0.5775,9
M,0.615,0.475,0.19,1.4335,0.7315,9
M,0.6,0.45,0.145,0.877,0.4325,9
F,0.44,0.35,0.125,0.4035,0.175,9
F,0.625,0.485,0.175,1.3745,0.7335,9
F,0.56,0.43,0.15,0.8825,0.3465,9
F,0.58,0.45,0.17,0.9705,0.4615,9
F,0.62,0.475,0.16,1.3245,0.6865,9
F,0.66,0.505,0.19,1.4045,0.6255,9
I,0.53,0.43,0.16,0.7245,0.321,9
F,0.645,0.5,0.15,1.159,0.4675,9
M,0.555,0.445,0.13,0.8625,0.4225,9
F,0.37,0.29,0.115,0.25,0.111,9
I,0.54,0.42,0.14,0.6275,0.2505,9
M,0.6,0.475,0.205,1.176,0.5255,9
M,0.51,0.38,0.135,0.681,0.3435,9
I,0.565,0.435,0.145,0.8445,0.3975,9
F,0.58,0.45,0.195,0.8265,0.4035,9
M,0.5,0.365,0.13,0.5945,0.309,9
F,0.485,0.365,0.12,0.5885,0.27,9
F,0.49,0.375,0.15,0.5755,0.22,9
F,0.555,0.43,0.14,0.7545,0.3525,9
I,0.47,0.345,0.14,0.4615,0.229,9
F,0.485,0.39,0.1,0.5565,0.2215,9
M,0.725,0.55,0.2,1.51,0.8735,9
M,0.595,0.475,0.14,0.944,0.3625,9
M,0.62,0.46,0.16,0.9505,0.4915,9
