@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1-6,9'

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Height numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.45,0.335,0.105,0.447,0.2335,7
M,0.475,0.37,0.125,0.537,0.222,9
F,0.53,0.425,0.15,0.8495,0.328,8
F,0.535,0.4,0.135,0.8215,0.3935,8
F,0.55,0.43,0.14,0.8105,0.368,9
F,0.565,0.4,0.13,0.6975,0.3075,8
M,0.57,0.445,0.14,1.0635,0.5265,8
M,0.58,0.455,0.15,1.012,0.4985,10
M,0.595,0.455,0.15,1.044,0.518,9
M,0.64,0.505,0.155,1.4025,0.705,10
M,0.645,0.5,0.175,1.3385,0.633,11
M,0.65,0.525,0.185,1.622,0.6645,10
F,0.675,0.57,0.225,1.587,0.739,10
F,0.715,0.525,0.185,1.56,0.6655,11
I,0.225,0.165,0.055,0.059,0.027,4
I,0.285,0.22,0.065,0.096,0.0405,5
I,0.3,0.22,0.08,0.1255,0.055,6
I,0.385,0.29,0.08,0.2485,0.122,7
I,0.445,0.34,0.145,0.434,0.1945,7
I,0.475,0.35,0.1,0.4545,0.2165,7
M,0.575,0.445,0.145,0.847,0.415,9
M,0.615,0.46,0.17,1.0565,0.4815,10
M,0.64,0.515,0.165,1.369,0.632,10
M,0.655,0.515,0.16,1.31,0.553,11
I,0.665,0.5,0.17,1.2975,0.6035,9
F,0.7,0.525,0.19,1.6465,0.8545,9
F,0.72,0.55,0.2,1.9965,0.9035,10
M,0.72,0.565,0.145,1.187,0.691,8
I,0.25,0.185,0.065,0.0685,0.0295,5
I,0.31,0.225,0.07,0.1055,0.435,5
I,0.315,0.23,0.07,0.1145,0.046,5
I,0.43,0.315,0.095,0.378,0.175,8
I,0.455,0.33,0.1,0.372,0.358,8
I,0.515,0.4,0.135,0.6965,0.32,9
I,0.545,0.435,0.135,0.7715,0.372,8
M,0.565,0.445,0.15,0.796,0.3635,8
F,0.58,0.445,0.15,0.858,0.4,8
I,0.605,0.435,0.13,0.9025,0.432,11
F,0.615,0.475,0.155,1.004,0.4475,10
I,0.63,0.475,0.145,1.0605,0.5165,10
F,0.635,0.5,0.165,1.4595,0.705,9
M,0.675,0.545,0.185,1.7375,0.876,13
F,0.73,0.58,0.19,1.7375,0.6785,11
F,0.475,0.365,0.115,0.566,0.281,7
M,0.505,0.385,0.105,0.5525,0.239,9
M,0.52,0.4,0.125,0.559,0.254,8
F,0.59,0.46,0.145,0.9905,0.453,8
F,0.605,0.515,0.17,1.289,0.6,9
I,0.615,0.475,0.13,0.8425,0.353,8
M,0.705,0.56,0.165,1.675,0.797,10
I,0.305,0.225,0.09,0.1465,0.063,6
I,0.355,0.26,0.09,0.1985,0.0715,7
I,0.425,0.325,0.11,0.317,0.135,8
I,0.46,0.35,0.11,0.4,0.176,7
I,0.475,0.36,0.125,0.4905,0.205,8
I,0.495,0.4,0.105,0.602,0.2505,8
I,0.54,0.425,0.13,0.7205,0.2955,10
I,0.545,0.4,0.13,0.686,0.3285,9
I,0.545,0.42,0.125,0.717,0.358,8
I,0.55,0.425,0.15,0.639,0.269,9
I,0.555,0.435,0.14,0.765,0.3945,8
I,0.555,0.46,0.145,0.9005,0.3845,11
F,0.575,0.465,0.195,0.9965,0.417,8
F,0.58,0.435,0.15,0.834,0.428,8
F,0.585,0.445,0.14,0.913,0.4305,10
F,0.61,0.475,0.16,1.1155,0.3835,10
F,0.625,0.485,0.175,1.362,0.6765,10
F,0.63,0.5,0.18,1.1965,0.514,8
I,0.635,0.5,0.165,1.489,0.715,13
F,0.645,0.51,0.19,1.363,0.573,10
F,0.665,0.505,0.16,1.2915,0.631,11
F,0.71,0.57,0.195,1.9805,0.9925,12
M,0.72,0.55,0.205,2.125,1.1455,13
M,0.465,0.36,0.115,0.5795,0.295,7
M,0.5,0.37,0.15,1.0615,0.494,9
M,0.515,0.35,0.155,0.9225,0.4185,9
M,0.525,0.365,0.17,0.9605,0.438,10
M,0.525,0.38,0.125,0.65,0.303,7
F,0.535,0.425,0.135,0.771,0.3765,8
I,0.575,0.45,0.13,0.8145,0.403,10
F,0.58,0.43,0.17,1.48,0.6535,10
M,0.6,0.465,0.165,1.038,0.4975,9
M,0.635,0.495,0.195,1.172,0.445,11
I,0.31,0.215,0.075,0.1275,0.0565,7
I,0.365,0.27,0.085,0.197,0.0815,6
I,0.365,0.275,0.085,0.223,0.098,7
I,0.415,0.31,0.09,0.2815,0.1245,6
F,0.51,0.4,0.12,0.7005,0.347,10
I,0.515,0.42,0.15,0.6725,0.2555,10
I,0.52,0.415,0.14,0.6375,0.308,9
I,0.525,0.405,0.145,0.6965,0.3045,8
I,0.55,0.435,0.14,0.7995,0.295,10
M,0.575,0.45,0.155,0.9765,0.495,9
M,0.575,0.435,0.135,0.992,0.432,10
I,0.58,0.44,0.145,0.7905,0.3525,10
F,0.61,0.46,0.155,0.957,0.4255,8
F,0.625,0.445,0.16,1.09,0.46,11
F,0.635,0.52,0.165,1.3405,0.5065,11
M,0.7,0.55,0.175,1.4405,0.6565,12
I,0.135,0.13,0.04,0.029,0.0125,4
I,0.285,0.215,0.06,0.0935,0.031,6
I,0.29,0.21,0.07,0.1115,0.048,5
I,0.325,0.25,0.07,0.1745,0.0875,7
I,0.47,0.375,0.105,0.441,0.167,10
I,0.51,0.455,0.135,0.6855,0.2875,9
M,0.58,0.46,0.16,1.063,0.513,9
M,0.59,0.465,0.165,1.115,0.5165,10
M,0.66,0.515,0.195,1.5655,0.7345,9
I,0.42,0.315,0.115,0.355,0.1895,6
F,0.5,0.38,0.14,0.6355,0.277,8
F,0.535,0.42,0.13,0.699,0.3125,8
M,0.685,0.55,0.2,1.7725,0.813,11
M,0.5,0.39,0.145,0.651,0.273,11
M,0.5,0.38,0.155,0.66,0.2655,19
F,0.49,0.385,0.125,0.5395,0.2175,11
M,0.585,0.48,0.185,1.04,0.434,10
F,0.675,0.55,0.18,1.6885,0.562,15
I,0.475,0.36,0.11,0.4555,0.177,9
F,0.435,0.35,0.12,0.4585,0.192,11
M,0.565,0.425,0.1,0.7145,0.3055,12
F,0.56,0.425,0.125,0.932,0.361,9
I,0.32,0.24,0.075,0.1735,0.076,7
M,0.47,0.37,0.105,0.4665,0.2025,10
F,0.745,0.585,0.19,1.966,0.8435,18
M,0.61,0.5,0.165,1.2715,0.4915,12
I,0.38,0.28,0.085,0.2735,0.115,6
M,0.575,0.45,0.185,0.925,0.342,12
F,0.58,0.45,0.235,1.071,0.3,14
I,0.43,0.325,0.11,0.3675,0.1355,13
I,0.27,0.19,0.08,0.081,0.0265,6
F,0.68,0.55,0.2,1.596,0.525,21
M,0.57,0.405,0.16,0.9245,0.3445,19
F,0.595,0.495,0.235,1.366,0.5065,13
F,0.625,0.525,0.195,1.352,0.4505,13
M,0.37,0.28,0.095,0.2225,0.0805,7
F,0.46,0.36,0.115,0.4755,0.2105,8
I,0.355,0.28,0.1,0.2275,0.0935,11
M,0.55,0.46,0.175,0.869,0.3155,10
M,0.655,0.525,0.185,1.259,0.487,20
I,0.42,0.33,0.1,0.352,0.1635,9
F,0.385,0.305,0.105,0.3315,0.1365,7
F,0.38,0.3,0.09,0.3215,0.1545,9
F,0.52,0.415,0.145,0.8045,0.3325,10
I,0.415,0.325,0.1,0.385,0.167,7
F,0.55,0.415,0.135,0.775,0.302,23
I,0.31,0.24,0.09,0.1455,0.0605,7
F,0.545,0.44,0.175,0.7745,0.2985,11
I,0.61,0.475,0.17,1.0385,0.4435,14
I,0.5,0.385,0.155,0.762,0.3795,14
I,0.44,0.355,0.165,0.435,0.159,16
F,0.58,0.46,0.185,1.017,0.3515,10
M,0.35,0.255,0.085,0.2145,0.1,13
I,0.52,0.38,0.14,0.525,0.1775,11
M,0.5,0.355,0.14,0.528,0.2125,9
F,0.37,0.285,0.105,0.27,0.1125,9
F,0.585,0.47,0.17,1.099,0.3975,20
F,0.615,0.47,0.175,1.2985,0.5135,14
M,0.46,0.36,0.135,0.6105,0.1955,14
F,0.63,0.51,0.185,1.235,0.5115,11
M,0.4,0.305,0.13,0.2935,0.096,9
I,0.31,0.24,0.105,0.2885,0.118,6
M,0.5,0.4,0.13,0.7715,0.37,8
M,0.525,0.425,0.19,0.872,0.4625,9
M,0.59,0.455,0.16,1.09,0.5,9
M,0.66,0.535,0.2,1.791,0.733,15
F,0.7,0.525,0.19,1.6015,0.707,10
F,0.73,0.57,0.165,2.0165,1.0685,10
I,0.205,0.15,0.065,0.04,0.02,4
I,0.23,0.18,0.05,0.064,0.0215,5
I,0.28,0.21,0.055,0.106,0.0415,5
I,0.45,0.35,0.12,0.468,0.2005,8
I,0.46,0.345,0.115,0.4215,0.1895,6
M,0.465,0.34,0.105,0.486,0.231,9
I,0.5,0.38,0.11,0.494,0.218,7
M,0.515,0.395,0.12,0.646,0.285,9
F,0.57,0.435,0.14,0.8585,0.3905,8
F,0.615,0.5,0.165,1.327,0.6,10
M,0.615,0.47,0.155,1.2,0.5085,8
M,0.645,0.49,0.16,1.251,0.5355,9
F,0.65,0.5,0.185,1.4415,0.741,9
I,0.355,0.285,0.095,0.2275,0.0955,6
I,0.44,0.335,0.115,0.4215,0.173,7
I,0.485,0.375,0.13,0.5535,0.266,8
F,0.585,0.435,0.14,0.6955,0.3085,8
M,0.595,0.46,0.14,0.852,0.4215,9
M,0.615,0.475,0.175,1.103,0.4635,10
F,0.65,0.49,0.155,1.122,0.545,9
I,0.19,0.14,0.03,0.0315,0.0125,3
I,0.45,0.335,0.095,0.3505,0.1615,7
I,0.455,0.34,0.115,0.486,0.261,8
I,0.525,0.385,0.13,0.607,0.2355,8
F,0.545,0.44,0.15,0.9475,0.366,8
M,0.6,0.51,0.185,1.285,0.6095,9
M,0.625,0.49,0.165,1.205,0.5175,10
I,0.325,0.24,0.075,0.1525,0.072,6
I,0.52,0.395,0.145,0.77,0.424,7
F,0.645,0.49,0.16,1.1665,0.4935,9
I,0.445,0.31,0.09,0.336,0.1555,7
I,0.51,0.4,0.145,0.5775,0.231,9
I,0.53,0.38,0.125,0.616,0.292,8
M,0.58,0.445,0.15,0.9525,0.4315,11
F,0.62,0.475,0.15,0.9545,0.455,9
F,0.63,0.48,0.165,1.2615,0.5505,10
M,0.63,0.53,0.18,1.2795,0.618,9
M,0.64,0.575,0.175,1.4585,0.625,11
M,0.65,0.52,0.195,1.676,0.693,15
F,0.67,0.525,0.19,1.527,0.5755,12
M,0.67,0.54,0.175,1.482,0.739,10
M,0.685,0.505,0.19,1.533,0.667,10
M,0.72,0.58,0.19,2.0885,0.9955,13
F,0.505,0.38,0.13,0.693,0.391,8
I,0.535,0.4,0.135,0.775,0.368,8
F,0.75,0.615,0.205,2.2635,0.821,12
I,0.255,0.185,0.065,0.074,0.0305,4
I,0.395,0.3,0.09,0.253,0.1155,6
I,0.435,0.335,0.105,0.3535,0.156,7
I,0.5,0.38,0.135,0.5285,0.226,8
I,0.59,0.47,0.145,0.974,0.453,8
F,0.655,0.49,0.16,1.204,0.5455,9
F,0.68,0.52,0.185,1.494,0.615,11
M,0.685,0.51,0.165,1.545,0.686,10
I,0.425,0.31,0.095,0.3075,0.139,7
M,0.575,0.48,0.15,0.9465,0.4355,9
I,0.18,0.135,0.08,0.033,0.0145,5
F,0.55,0.44,0.125,0.765,0.33,9
M,0.525,0.405,0.16,0.792,0.316,13
M,0.45,0.355,0.12,0.3955,0.147,9
F,0.49,0.38,0.13,0.539,0.229,12
M,0.72,0.575,0.23,2.2695,0.8835,16
F,0.585,0.46,0.17,1.0835,0.3745,14
F,0.57,0.495,0.16,1.0915,0.452,14
F,0.64,0.505,0.19,1.2355,0.4435,14
M,0.64,0.525,0.2,1.3765,0.44,16
M,0.57,0.455,0.15,0.96,0.387,11
M,0.635,0.48,0.19,1.467,0.5825,15
F,0.435,0.35,0.125,0.459,0.197,9
I,0.43,0.35,0.105,0.366,0.1705,6
F,0.595,0.465,0.145,1.107,0.402,12
M,0.52,0.425,0.155,0.7735,0.297,17
M,0.485,0.385,0.125,0.4775,0.2,12
M,0.565,0.44,0.155,0.868,0.348,11
M,0.53,0.405,0.13,0.738,0.2845,9
F,0.66,0.525,0.19,1.67,0.6525,11
F,0.62,0.485,0.165,1.166,0.483,13
M,0.345,0.265,0.09,0.163,0.0615,10
I,0.55,0.415,0.135,0.8095,0.2985,12
I,0.635,0.48,0.2,1.3655,0.6255,16
F,0.385,0.305,0.125,0.314,0.146,10
F,0.51,0.34,0.18,0.7005,0.312,11
I,0.495,0.38,0.145,0.515,0.175,13
F,0.48,0.38,0.145,0.59,0.232,12
I,0.445,0.345,0.13,0.4075,0.1365,11
I,0.61,0.48,0.165,1.097,0.4215,13
M,0.54,0.405,0.155,0.9715,0.3225,19
F,0.475,0.375,0.125,0.588,0.237,10
F,0.46,0.35,0.115,0.44,0.19,8
M,0.53,0.43,0.135,0.879,0.28,10
I,0.34,0.25,0.075,0.1765,0.0785,7
I,0.48,0.355,0.115,0.5785,0.25,8
I,0.43,0.335,0.105,0.378,0.188,6
I,0.5,0.385,0.11,0.596,0.3015,8
F,0.525,0.44,0.125,0.7115,0.3205,7
M,0.615,0.505,0.19,1.403,0.6715,8
F,0.64,0.48,0.195,1.1435,0.4915,9
I,0.4,0.31,0.115,0.314,0.1545,6
I,0.4,0.315,0.09,0.33,0.151,6
I,0.46,0.34,0.09,0.384,0.1795,8
F,0.495,0.37,0.12,0.594,0.28,7
F,0.575,0.475,0.16,0.895,0.3605,9
F,0.6,0.485,0.145,0.776,0.3545,9
F,0.625,0.5,0.175,1.273,0.564,9
I,0.42,0.325,0.11,0.325,0.1245,7
F,0.59,0.465,0.17,1.0425,0.4635,10
I,0.485,0.365,0.125,0.426,0.163,8
I,0.525,0.405,0.125,0.657,0.2985,10
F,0.545,0.41,0.125,0.654,0.2945,10
I,0.63,0.49,0.17,1.217,0.5515,11
F,0.63,0.505,0.195,1.306,0.516,9
M,0.78,0.6,0.21,2.548,1.1945,11
I,0.5,0.395,0.145,0.7865,0.332,8
M,0.625,0.48,0.18,1.223,0.565,10
I,0.4,0.315,0.1,0.3225,0.143,6
I,0.43,0.33,0.095,0.32,0.118,7
I,0.525,0.4,0.14,0.6055,0.2605,9
F,0.56,0.43,0.145,0.898,0.3895,9
M,0.62,0.48,0.155,1.2555,0.527,11
M,0.625,0.495,0.155,1.177,0.5055,9
F,0.655,0.52,0.175,1.472,0.6275,13
M,0.675,0.54,0.175,1.5545,0.6645,12
F,0.695,0.535,0.175,1.361,0.5465,10
M,0.68,0.52,0.175,1.543,0.7525,11
F,0.615,0.475,0.145,0.9525,0.3915,9
F,0.655,0.5,0.18,1.4155,0.508,18
F,0.49,0.385,0.16,0.656,0.2455,9
M,0.545,0.44,0.165,0.744,0.2875,15
F,0.45,0.36,0.11,0.447,0.203,12
F,0.455,0.375,0.125,0.458,0.1985,10
I,0.56,0.445,0.165,1.0285,0.4535,11
I,0.525,0.4,0.14,0.6955,0.2405,10
F,0.65,0.515,0.215,1.498,0.564,16
I,0.235,0.18,0.06,0.058,0.022,6
F,0.525,0.4,0.115,0.6295,0.2555,11
F,0.555,0.44,0.155,1.016,0.4935,10
I,0.295,0.22,0.07,0.1365,0.0575,6
I,0.4,0.295,0.095,0.252,0.1105,6
F,0.525,0.41,0.115,0.7745,0.416,7
M,0.6,0.465,0.155,1.262,0.6245,10
I,0.455,0.35,0.135,0.5365,0.2855,7
M,0.61,0.49,0.16,1.146,0.597,8
F,0.68,0.55,0.175,1.473,0.713,11
M,0.6,0.46,0.155,0.6655,0.285,11
F,0.69,0.535,0.185,1.826,0.797,11
F,0.63,0.515,0.16,1.336,0.553,11
I,0.485,0.375,0.11,0.464,0.2015,8
I,0.55,0.435,0.125,0.741,0.348,9
M,0.6,0.47,0.13,1.0105,0.423,9
M,0.67,0.525,0.18,1.4915,0.728,9
F,0.675,0.51,0.15,1.1965,0.475,11
F,0.715,0.565,0.18,1.79,0.844,9
I,0.48,0.35,0.1,0.519,0.2365,7
I,0.46,0.365,0.11,0.4495,0.1755,8
I,0.5,0.385,0.12,0.516,0.197,8
M,0.695,0.53,0.21,1.51,0.664,10
M,0.475,0.37,0.11,0.4895,0.2185,8
F,0.585,0.475,0.165,1.053,0.458,11
M,0.55,0.43,0.13,0.8395,0.3155,10
