@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-6,8-9'

@attribute Length numeric
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.52,0.395,0.6445,0.3155,0.186,11
0.535,0.42,0.6885,0.273,0.237,9
0.55,0.445,0.783,0.3045,0.265,11
0.57,0.47,0.871,0.385,0.2315,10
0.6,0.45,0.8665,0.3695,0.255,12
0.64,0.5,1.2015,0.559,0.3355,9
0.625,0.48,1.3235,0.6075,0.355,9
0.54,0.41,0.56,0.2375,0.175,7
0.34,0.255,0.204,0.097,0.05,6
0.5,0.385,0.551,0.2245,0.206,11
0.545,0.405,0.98,0.2585,0.38,18
0.62,0.485,1.511,0.5095,0.51,17
0.635,0.505,1.3035,0.501,0.41,17
0.6,0.48,1.1345,0.4535,0.335,10
0.41,0.325,0.3745,0.158,0.125,12
0.61,0.48,1.2955,0.5215,0.365,12
0.695,0.53,1.477,0.6375,0.43,14
0.69,0.54,1.5715,0.6935,0.47,15
0.61,0.495,1.213,0.464,0.365,15
0.505,0.385,0.655,0.3185,0.185,9
0.655,0.5,1.1705,0.5405,0.285,12
0.41,0.31,0.3595,0.1415,0.115,11
0.6,0.445,1.057,0.383,0.355,16
0.44,0.35,0.451,0.171,0.184,16
0.375,0.28,0.2565,0.1165,0.0725,12
0.54,0.435,0.97,0.4285,0.264,17
0.47,0.375,0.468,0.1665,0.17,10
0.435,0.34,0.407,0.1685,0.13,10
0.475,0.35,0.487,0.194,0.125,13
0.515,0.4,0.955,0.341,0.26,13
0.545,0.41,0.873,0.3035,0.31,18
0.365,0.285,0.2205,0.0855,0.07,9
0.455,0.345,0.5795,0.1685,0.215,13
0.37,0.28,0.224,0.0815,0.075,8
0.415,0.31,0.3595,0.167,0.0915,6
0.61,0.47,1.0325,0.497,0.2785,9
0.63,0.475,1.172,0.536,0.316,11
0.25,0.18,0.0805,0.0345,0.0215,4
0.64,0.5,1.4545,0.642,0.354,9
0.665,0.52,1.6885,0.7295,0.4265,11
0.72,0.565,1.787,0.718,0.529,11
0.47,0.355,0.4485,0.156,0.123,7
0.47,0.355,0.4155,0.167,0.139,7
0.475,0.42,0.7095,0.35,0.1845,8
0.53,0.42,0.627,0.2905,0.183,8
0.585,0.45,0.9835,0.4845,0.22,9
0.61,0.47,1.214,0.5315,0.325,10
0.72,0.545,1.7185,0.7925,0.468,11
0.36,0.265,0.2055,0.096,0.0585,7
0.45,0.35,0.514,0.253,0.14,8
0.505,0.39,0.5585,0.2575,0.1535,8
0.6,0.475,1.157,0.522,0.36,11
0.625,0.475,1.3335,0.605,0.319,10
0.625,0.49,1.1835,0.517,0.39,11
0.715,0.52,1.6,0.708,0.445,12
0.51,0.375,0.5805,0.2865,0.148,7
0.655,0.505,1.27,0.6035,0.335,10
0.27,0.205,0.084,0.03,0.029,6
0.295,0.22,0.1285,0.0585,0.0365,5
0.37,0.275,0.257,0.1015,0.0825,6
0.53,0.42,0.6765,0.256,0.208,9
0.545,0.41,0.737,0.349,0.212,9
0.55,0.4,0.717,0.3315,0.221,9
0.6,0.5,1.122,0.5095,0.309,10
0.625,0.485,1.15,0.5255,0.3315,11
0.67,0.54,1.217,0.532,0.3315,11
0.36,0.25,0.465,0.21,0.128,7
0.485,0.365,0.9145,0.4145,0.273,7
0.51,0.375,0.8415,0.3845,0.255,10
0.625,0.47,1.124,0.556,0.287,9
0.285,0.205,0.106,0.039,0.034,5
0.475,0.36,0.452,0.191,0.13,8
0.575,0.46,0.927,0.333,0.2985,9
0.62,0.5,1.107,0.4895,0.343,11
0.675,0.54,1.593,0.686,0.45,11
0.695,0.58,1.8995,0.675,0.5295,13
0.425,0.305,0.359,0.173,0.0975,9
0.61,0.49,1.137,0.4605,0.344,12
0.35,0.26,0.221,0.0985,0.07,8
0.68,0.52,1.541,0.5985,0.4575,10
0.71,0.555,1.47,0.5375,0.431,12
0.46,0.365,0.4485,0.165,0.17,14
0.425,0.35,0.4425,0.175,0.175,7
0.52,0.425,0.79,0.372,0.19,8
0.53,0.41,0.8255,0.375,0.245,9
0.37,0.275,0.2045,0.096,0.08,6
0.445,0.37,0.515,0.2495,0.159,9
0.335,0.255,0.1785,0.071,0.055,9
0.655,0.515,1.373,0.443,0.49,16
0.56,0.46,0.97,0.342,0.355,12
0.565,0.43,0.8545,0.321,0.275,11
0.375,0.28,0.2225,0.0875,0.08,10
0.475,0.4,0.541,0.186,0.21,13
0.54,0.44,1.0905,0.391,0.355,15
0.55,0.45,1.0985,0.3765,0.4,14
0.465,0.39,0.6355,0.1815,0.225,13
0.61,0.5,1.438,0.5185,0.3345,9
0.27,0.205,0.118,0.059,0.0305,4
0.58,0.435,0.8915,0.363,0.2515,6
0.645,0.525,1.37,0.6135,0.34,10
0.67,0.52,1.8065,0.758,0.5055,11
0.245,0.175,0.0785,0.04,0.02,5
0.52,0.395,0.5815,0.2565,0.17,10
0.585,0.465,0.98,0.4315,0.247,9
0.66,0.485,1.2275,0.61,0.3,8
0.54,0.415,0.702,0.322,0.19,10
0.55,0.445,0.672,0.288,0.21,11
0.575,0.45,0.9585,0.447,0.275,12
0.695,0.56,1.7715,0.8195,0.437,10
0.5,0.36,0.439,0.1875,0.1305,8
0.56,0.45,0.9355,0.425,0.2725,11
0.63,0.485,1.2435,0.5175,0.37,11
0.57,0.45,0.9645,0.531,0.209,9
0.58,0.425,0.83,0.379,0.2575,11
0.63,0.505,1.105,0.492,0.325,11
0.655,0.5,1.359,0.642,0.405,13
0.39,0.31,0.344,0.181,0.079,7
0.475,0.365,0.499,0.232,0.156,10
0.56,0.43,0.8675,0.4,0.229,8
