@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3,6-9'

@attribute Diameter numeric
@attribute Shucked_weight numeric
@attribute Viscera_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.35,0.206,0.099,0.13,6
0.42,0.3125,0.138,0.1895,10
0.45,0.556,0.214,0.2575,10
0.45,0.486,0.1815,0.253,9
0.45,0.385,0.246,0.265,9
0.47,0.498,0.242,0.267,9
0.495,0.5115,0.308,0.2885,9
0.505,0.6075,0.3025,0.353,9
0.56,0.735,0.381,0.4525,11
0.535,0.889,0.313,0.42,10
0.505,1.026,0.4255,0.4505,12
0.625,1.1965,0.513,0.6785,11
0.375,0.196,0.1045,0.15,6
0.205,0.077,0.032,0.0435,5
0.245,0.096,0.0405,0.048,7
0.25,0.0775,0.033,0.055,6
0.28,0.1025,0.042,0.0655,5
0.3,0.1665,0.0575,0.089,7
0.295,0.115,0.0625,0.085,8
0.29,0.1205,0.0605,0.0765,5
0.34,0.2115,0.083,0.12,9
0.365,0.206,0.1045,0.141,8
0.395,0.248,0.103,0.171,8
0.4,0.369,0.1385,0.164,9
0.415,0.3595,0.135,0.225,8
0.43,0.413,0.1905,0.248,9
0.425,0.3325,0.1545,0.215,9
0.425,0.3715,0.185,0.236,9
0.435,0.382,0.183,0.2705,10
0.48,0.511,0.2095,0.306,9
0.465,0.4115,0.196,0.2255,10
0.475,0.508,0.272,0.309,10
0.46,0.494,0.197,0.275,10
0.47,0.4465,0.2195,0.34,10
0.5,0.4845,0.228,0.295,10
0.505,0.6025,0.295,0.315,11
0.505,0.4785,0.274,0.349,11
0.59,0.77,0.378,0.435,11
0.535,0.7305,0.3595,0.46,13
0.555,1.0465,0.383,0.528,11
0.32,0.141,0.063,0.073,5
0.34,0.2385,0.0745,0.1075,6
0.43,0.346,0.1415,0.189,9
0.43,0.453,0.161,0.22,8
0.445,0.504,0.207,0.249,8
0.435,0.475,0.2165,0.2095,9
0.48,0.6605,0.2425,0.31,11
0.515,0.6635,0.3345,0.4025,9
0.505,0.589,0.351,0.345,10
0.565,1.017,0.363,0.494,12
0.17,0.019,0.011,0.013,5
0.355,0.2015,0.081,0.13,7
0.39,0.238,0.1265,0.185,8
0.415,0.3525,0.1635,0.2875,8
0.43,0.245,0.1455,0.2135,10
0.4,0.2835,0.162,0.175,7
0.375,0.2375,0.1155,0.1725,8
0.425,0.339,0.176,0.21,8
0.47,0.3745,0.2175,0.355,10
0.445,0.4005,0.198,0.239,9
0.47,0.449,0.2345,0.2945,9
0.485,0.4935,0.256,0.315,12
0.48,0.464,0.2225,0.3,9
0.47,0.643,0.2055,0.3145,12
0.505,0.4615,0.266,0.3,9
0.49,0.5385,0.2665,0.38,9
0.505,0.519,0.2615,0.335,10
0.52,0.606,0.32,0.395,12
0.505,0.6255,0.311,0.308,12
0.52,0.7185,0.293,0.32,11
0.545,0.6435,0.4565,0.265,11
0.565,0.7735,0.4825,0.575,11
0.355,0.3485,0.215,0.2825,8
0.455,0.5045,0.238,0.315,10
0.515,0.5595,0.293,0.4375,11
0.26,0.0815,0.0335,0.06,6
0.34,0.203,0.08,0.1465,9
0.43,0.2615,0.1405,0.25,9
0.455,0.382,0.171,0.235,9
0.47,0.4655,0.1955,0.264,11
0.475,0.386,0.2195,0.3105,10
0.465,0.466,0.2885,0.298,11
0.495,0.5815,0.3195,0.3225,12
0.52,0.53,0.223,0.348,9
0.535,0.6615,0.2145,0.4075,10
0.545,0.6645,0.3835,0.4505,13
0.21,0.053,0.0265,0.03,6
0.25,0.0695,0.044,0.0495,6
0.395,0.288,0.1315,0.185,12
0.44,0.356,0.1905,0.2385,11
0.41,0.342,0.184,0.253,9
0.515,0.5255,0.252,0.3925,14
0.305,0.173,0.0705,0.105,7
0.305,0.162,0.091,0.11,9
0.3,0.1545,0.0685,0.095,7
0.29,0.1175,0.0565,0.085,9
0.355,0.2165,0.0995,0.125,9
0.325,0.1405,0.0765,0.11,9
0.355,0.1805,0.1035,0.1505,10
0.495,0.643,0.3285,0.725,17
0.115,0.0055,0.003,0.005,4
0.465,0.3245,0.2,0.23,10
0.47,0.462,0.2475,0.445,14
0.42,0.358,0.165,0.445,21
0.385,0.2,0.1225,0.26,14
0.47,0.3215,0.1985,0.315,11
0.22,0.0565,0.0285,0.042,6
0.35,0.1965,0.1325,0.175,10
0.46,0.3395,0.2005,0.2,8
0.45,0.3305,0.1845,0.295,14
0.48,0.4125,0.2735,0.415,13
0.32,0.152,0.0915,0.125,11
0.395,0.216,0.1385,0.24,12
0.45,0.2745,0.2185,0.345,14
0.475,0.511,0.2675,0.32,18
0.455,0.399,0.257,0.265,11
0.375,0.2145,0.164,0.195,13
0.35,0.143,0.1005,0.125,13
0.395,0.213,0.0925,0.215,14
0.325,0.111,0.0735,0.095,8
0.305,0.12,0.082,0.1,10
0.395,0.2465,0.1645,0.2,13
0.425,0.3345,0.209,0.24,15
0.43,0.313,0.1715,0.263,13
0.4,0.3035,0.189,0.2175,11
0.475,0.3815,0.184,0.27,19
0.47,0.392,0.2035,0.29,15
0.595,0.8045,0.423,0.66,16
0.325,0.1405,0.051,0.106,12
0.245,0.0525,0.034,0.048,7
0.305,0.094,0.0785,0.0955,9
0.385,0.289,0.151,0.18,10
0.255,0.081,0.034,0.07,9
0.5,0.529,0.2485,0.485,18
0.485,0.4255,0.232,0.38,11
0.4,0.215,0.2065,0.17,15
0.26,0.0625,0.05,0.07,9
0.21,0.044,0.0265,0.033,5
0.365,0.2505,0.0975,0.1625,10
0.45,0.387,0.15,0.2625,11
0.49,0.482,0.2015,0.361,10
0.5,0.6235,0.2835,0.35,8
0.49,0.6675,0.259,0.33,10
0.55,0.8715,0.2655,0.4395,9
0.17,0.024,0.013,0.016,4
0.22,0.066,0.024,0.03,5
0.335,0.175,0.0835,0.111,7
0.405,0.4055,0.2275,0.215,8
0.445,0.504,0.185,0.2505,9
0.46,0.6025,0.274,0.29,8
0.375,0.279,0.115,0.13,8
0.42,0.294,0.144,0.1755,8
0.49,1.005,0.419,0.491,10
0.51,0.6575,0.262,0.375,10
0.465,0.537,0.188,0.176,8
0.55,0.693,0.306,0.4405,13
0.53,0.83,0.398,0.405,11
0.175,0.0275,0.008,0.02,4
0.26,0.074,0.0315,0.06,5
0.275,0.095,0.0545,0.066,7
0.305,0.0965,0.061,0.091,7
0.325,0.1295,0.0635,0.1,8
0.36,0.182,0.0765,0.14,9
0.345,0.187,0.087,0.11,8
0.355,0.279,0.088,0.1325,7
0.365,0.1895,0.0925,0.2305,8
0.365,0.252,0.126,0.1615,10
0.435,0.329,0.103,0.251,11
0.435,0.4115,0.2325,0.23,9
0.425,0.3645,0.185,0.2705,9
0.42,0.2895,0.1345,0.22,9
0.475,0.4925,0.217,0.278,10
0.45,0.4325,0.155,0.24,9
0.5,0.5445,0.2165,0.295,10
0.525,0.4935,0.2565,0.465,10
0.225,0.0945,0.0395,0.0425,7
0.35,0.213,0.107,0.1115,7
0.42,0.38,0.1805,0.21,9
0.47,0.6245,0.233,0.2595,9
0.49,0.5015,0.289,0.319,8
0.55,0.637,0.325,0.435,10
0.465,0.456,0.199,0.255,8
0.435,0.34,0.194,0.244,8
0.475,0.4675,0.207,0.259,10
0.465,0.465,0.2345,0.315,11
0.49,0.5865,0.2385,0.2915,11
0.515,0.545,0.2305,0.29,9
0.475,0.5935,0.3365,0.3745,10
0.495,0.531,0.281,0.3525,11
0.5,0.593,0.3045,0.352,8
0.485,0.5935,0.2315,0.293,12
0.355,0.465,0.2015,0.2505,8
0.485,0.597,0.3035,0.33,9
0.505,0.6205,0.2965,0.326,10
0.325,0.136,0.065,0.115,8
0.33,0.177,0.095,0.15,7
0.445,0.325,0.1405,0.237,10
0.45,0.4925,0.262,0.335,11
0.475,0.371,0.167,0.3075,11
0.495,0.495,0.295,0.4695,10
0.27,0.3045,0.046,0.0595,7
0.38,0.197,0.1065,0.1545,10
0.43,0.302,0.1575,0.235,11
0.325,0.1815,0.081,0.1175,7
0.42,0.44,0.1965,0.2315,8
0.36,0.2165,0.1105,0.19,8
0.15,0.021,0.007,0.0065,4
0.42,0.336,0.2405,0.245,13
0.53,0.6755,0.4065,0.6855,12
0.375,0.232,0.142,0.13,11
0.35,0.1575,0.089,0.12,9
0.36,0.237,0.127,0.13,6
0.435,0.354,0.2045,0.31,20
0.235,0.056,0.0315,0.05,7
0.485,0.531,0.3075,0.37,11
0.32,0.1645,0.106,0.119,10
0.435,0.377,0.1585,0.29,15
0.24,0.0725,0.039,0.05,6
0.415,0.26,0.1575,0.22,12
0.54,0.533,0.353,0.555,24
0.485,0.4325,0.27,0.405,16
0.435,0.3235,0.183,0.22,16
0.355,0.21,0.122,0.135,9
0.525,0.6025,0.4005,0.42,15
0.525,0.5415,0.309,0.58,16
0.33,0.1315,0.085,0.112,14
0.3,0.1385,0.0735,0.085,6
0.535,0.734,0.4505,0.335,13
0.45,0.357,0.202,0.385,13
0.315,0.147,0.05,0.09,7
0.465,0.432,0.2025,0.337,9
0.47,0.539,0.279,0.28,8
0.475,0.5195,0.223,0.292,11
0.51,0.567,0.307,0.409,10
0.24,0.065,0.0305,0.045,6
0.28,0.1255,0.0645,0.0645,6
0.37,0.234,0.11,0.14,7
0.37,0.349,0.1155,0.135,8
0.4,0.256,0.1325,0.145,9
0.395,0.4035,0.166,0.2,7
0.485,0.5235,0.2505,0.2825,9
0.315,0.116,0.0585,0.0765,6
0.44,0.4645,0.201,0.27,8
0.415,0.3695,0.17,0.1955,8
0.41,0.4475,0.196,0.268,8
0.47,0.605,0.258,0.271,9
0.355,0.2385,0.0835,0.15,9
0.42,0.4315,0.1915,0.223,8
0.465,0.3425,0.1795,0.2425,10
0.485,0.631,0.2235,0.302,9
0.515,0.75,0.1805,0.369,12
0.555,1.2395,0.3645,0.6195,12
0.125,0.0095,0.008,0.009,4
0.37,0.2385,0.1235,0.126,8
0.475,0.7315,0.305,0.3285,9
0.345,0.1525,0.0615,0.125,8
0.465,0.4235,0.199,0.28,8
0.47,0.434,0.184,0.287,10
0.495,0.4525,0.273,0.317,9
0.51,0.6445,0.296,0.425,12
0.51,0.5605,0.3045,0.358,11
0.4,0.3445,0.157,0.185,7
0.475,0.476,0.2325,0.283,9
0.395,0.2025,0.101,0.148,8
0.4,0.3065,0.1365,0.22,10
0.45,0.364,0.1505,0.26,10
0.48,0.4985,0.315,0.33,10
0.355,0.2725,0.097,0.1395,8
0.35,0.1625,0.097,0.145,11
0.475,0.4155,0.3385,0.49,14
0.43,0.289,0.1745,0.195,10
0.44,0.4315,0.263,0.255,9
0.4,0.2955,0.184,0.185,16
0.43,0.3315,0.166,0.1775,12
0.48,0.413,0.228,0.36,16
0.44,0.312,0.169,0.3,17
0.175,0.0215,0.0175,0.0215,5
0.39,0.2595,0.18,0.19,11
0.44,0.348,0.168,0.375,20
0.365,0.202,0.1445,0.19,16
0.32,0.2055,0.0935,0.105,8
0.33,0.163,0.1005,0.119,6
0.35,0.2205,0.0945,0.1405,7
0.455,0.444,0.205,0.275,8
0.375,0.2505,0.1345,0.1525,8
0.2,0.037,0.0225,0.03,6
0.46,0.4025,0.208,0.275,8
0.305,0.1,0.0655,0.085,7
0.43,0.3395,0.1355,0.2095,8
0.465,0.581,0.2215,0.3095,9
0.475,0.5995,0.2815,0.37,11
0.49,0.7465,0.4105,0.3855,11
0.545,0.8825,0.4385,0.506,10
0.59,0.7755,0.4225,0.48,11
0.525,0.586,0.278,0.3865,9
0.265,0.073,0.0365,0.077,7
0.35,0.215,0.0745,0.15,9
0.495,0.52,0.19,0.32,9
0.505,0.5725,0.281,0.43,11
0.215,0.063,0.0215,0.03,6
0.38,0.269,0.1265,0.1535,9
