@relation abalone

@attribute Sex {M,F,I}
@attribute Height numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.1,0.094,7
I,0.095,0.086,7
F,0.12,0.1945,7
I,0.115,0.38,7
M,0.09,0.0995,7
M,0.095,0.1335,7
I,0.1,0.209,7
I,0.135,0.2205,7
I,0.095,0.122,7
M,0.13,0.201,7
I,0.09,0.096,7
I,0.105,0.1645,7
M,0.145,0.274,7
F,0.12,0.1775,7
M,0.07,0.0465,7
I,0.135,0.3655,7
M,0.1,0.173,7
I,0.1,0.111,7
I,0.08,0.0935,7
M,0.1,0.1055,7
F,0.14,0.4895,7
I,0.1,0.139,7
F,0.14,0.44,7
F,0.115,0.1955,7
M,0.15,0.3445,7
I,0.1,0.1,7
I,0.105,0.1525,7
I,0.12,0.169,7
I,0.09,0.089,7
M,0.12,0.199,7
I,0.11,0.218,7
I,0.11,0.1635,7
I,0.09,0.072,7
M,0.125,0.2155,7
I,0.07,0.0425,7
I,0.11,0.175,7
I,0.1,0.1155,7
I,0.11,0.172,7
I,0.115,0.173,7
F,0.1,0.1165,7
M,0.14,0.336,7
F,0.145,0.308,7
I,0.1,0.1925,7
I,0.085,0.088,7
I,0.09,0.155,7
I,0.11,0.1525,7
M,0.15,0.707,7
I,0.11,0.159,7
F,0.12,0.1555,7
I,0.085,0.15,7
I,0.09,0.1065,7
I,0.13,0.1695,7
I,0.105,0.1815,7
I,0.085,0.181,7
F,0.08,0.1405,7
I,0.105,0.196,7
I,0.1,0.234,7
M,0.105,0.18,7
I,0.145,0.424,7
I,0.055,0.045,7
I,0.1,0.2365,7
I,0.09,0.098,7
M,0.125,0.303,7
I,0.115,0.233,7
I,0.08,0.0725,7
I,0.08,0.09,7
I,0.115,0.2175,7
I,0.095,0.0875,7
M,0.13,0.332,7
I,0.125,0.1705,7
I,0.085,0.187,7
I,0.12,0.165,7
I,0.12,0.2555,7
I,0.095,0.131,7
I,0.085,0.0675,7
I,0.095,0.084,7
I,0.09,0.0875,7
I,0.075,0.0785,7
I,0.12,0.239,7
I,0.105,0.2225,7
I,0.075,0.0565,7
I,0.11,0.2125,7
I,0.115,0.261,7
M,0.11,0.2665,7
I,0.085,0.071,7
I,0.095,0.165,7
M,0.125,0.336,7
M,0.16,0.4595,7
M,0.135,0.394,7
F,0.115,0.1995,7
F,0.11,0.178,7
I,0.1,0.2165,7
I,0.08,0.0765,7
I,0.09,0.1045,7
I,0.085,0.0945,7
I,0.11,0.1515,7
I,0.075,0.0675,7
M,0.12,0.403,7
M,0.13,0.2375,7
I,0.075,0.3045,7
M,0.095,0.0805,7
I,0.095,0.114,7
I,0.075,0.0985,7
I,0.11,0.176,7
I,0.1,0.1635,7
I,0.07,0.058,7
I,0.085,0.1185,7
I,0.1,0.1795,7
I,0.09,0.0865,7
I,0.105,0.0655,7
M,0.095,0.0525,7
M,0.135,0.272,7
I,0.09,0.0605,7
I,0.115,0.1215,7
I,0.08,0.0595,7
I,0.09,0.0995,7
I,0.115,0.162,7
I,0.12,0.2035,7
I,0.11,0.1615,7
I,0.185,0.267,7
I,0.095,0.1865,7
I,0.1,0.135,7
I,0.12,0.1655,7
I,0.085,0.098,7
I,0.105,0.0915,7
M,0.12,0.1985,7
I,0.08,0.0565,7
I,0.075,0.0705,7
I,0.11,0.0815,7
I,0.09,0.0645,7
M,0.125,0.2715,7
I,0.08,0.078,7
I,0.11,0.2025,7
I,0.1,0.219,7
I,0.1,0.1645,7
I,0.08,0.0765,7
F,0.1,0.175,7
F,0.12,0.2205,7
I,0.075,0.059,7
I,0.085,0.0855,7
I,0.12,0.198,7
I,0.11,0.1245,7
I,0.095,0.102,7
I,0.065,0.036,7
I,0.09,0.1555,7
M,0.1,0.1545,7
I,0.11,0.1545,7
I,0.06,0.0615,7
I,0.1,0.1145,7
I,0.095,0.105,7
I,0.085,0.0825,7
M,0.105,0.175,7
I,0.125,0.259,7
F,0.07,0.0585,7
I,0.09,0.147,7
I,0.1,0.1725,7
I,0.1,0.174,7
I,0.1,0.2025,7
I,0.115,0.3285,7
I,0.075,0.056,7
I,0.12,0.3265,7
I,0.12,0.159,7
M,0.08,0.041,7
I,0.09,0.0405,7
I,0.105,0.1405,7
I,0.1,0.14,7
F,0.11,0.1255,7
F,0.15,0.467,7
M,0.1,0.1965,7
I,0.09,0.217,7
M,0.135,0.3195,7
I,0.115,0.195,7
I,0.11,0.2015,7
I,0.095,0.1665,7
M,0.125,0.3035,7
I,0.1,0.095,7
M,0.125,0.235,7
I,0.09,0.1185,7
I,0.105,0.156,7
I,0.095,0.158,7
F,0.125,0.121,7
I,0.115,0.222,7
M,0.095,0.0735,7
M,0.105,0.27,7
I,0.1,0.1255,7
I,0.09,0.043,7
I,0.11,0.181,7
F,0.135,0.272,7
F,0.14,0.3165,7
I,0.09,0.157,7
F,0.12,0.28,7
I,0.125,0.2795,7
I,0.09,0.096,7
I,0.12,0.221,7
M,0.14,0.472,7
I,0.095,0.086,7
M,0.11,0.2075,7
I,0.065,0.0475,7
I,0.135,0.274,7
I,0.085,0.0935,7
I,0.1,0.1275,7
M,0.08,0.054,7
I,0.1,0.238,7
M,0.135,0.4225,7
I,0.1,0.167,7
M,0.095,0.1705,7
F,0.105,0.1365,7
M,0.08,0.134,7
F,0.125,0.3205,7
I,0.09,0.096,7
I,0.07,0.0625,7
I,0.105,0.1675,7
I,0.125,0.237,7
M,0.17,0.4915,7
M,0.085,0.0795,7
I,0.13,0.2185,7
I,0.1,0.1575,7
M,0.115,0.163,7
I,0.14,0.305,7
M,0.12,0.2885,7
F,0.115,0.1565,9
I,0.125,0.2445,9
F,0.115,0.1405,9
F,0.17,0.6,9
M,0.14,0.4615,9
M,0.105,0.231,9
M,0.18,0.618,9
I,0.165,0.3455,9
F,0.12,0.4585,9
M,0.115,0.1115,9
F,0.165,0.2675,9
M,0.13,0.3435,9
F,0.175,0.4735,9
M,0.15,0.4355,9
M,0.13,0.1605,9
M,0.155,0.46,9
I,0.125,0.245,9
F,0.14,0.4355,9
M,0.125,0.132,9
I,0.13,0.419,9
F,0.11,0.5265,9
M,0.09,0.109,9
F,0.165,0.611,9
M,0.16,0.506,9
I,0.125,0.1905,9
M,0.13,0.3495,9
F,0.15,0.333,9
M,0.155,0.502,9
M,0.15,0.6055,9
M,0.145,0.4025,9
I,0.14,0.308,9
M,0.16,0.415,9
M,0.165,0.621,9
F,0.18,0.8715,9
M,0.175,0.6075,9
I,0.135,0.3325,9
F,0.16,0.2455,9
M,0.165,0.4135,9
F,0.14,0.475,9
F,0.16,0.342,9
F,0.15,0.3235,9
M,0.13,0.226,9
F,0.125,0.1785,9
I,0.08,0.057,9
F,0.155,0.544,9
F,0.195,1.0715,9
F,0.18,0.5775,9
I,0.125,0.2615,9
I,0.11,0.28,9
I,0.125,0.334,9
M,0.11,0.2,9
I,0.14,0.2505,9
M,0.15,0.5335,9
F,0.15,0.531,9
M,0.165,0.5235,9
I,0.14,0.2925,9
F,0.125,0.295,9
F,0.165,0.668,9
F,0.135,0.318,9
M,0.095,0.081,9
I,0.125,0.1535,9
M,0.155,0.497,9
M,0.15,0.4625,9
M,0.175,0.3805,9
F,0.115,0.191,9
M,0.16,0.4955,9
M,0.15,0.5415,9
I,0.135,0.3795,9
F,0.12,0.1655,9
F,0.17,0.365,9
M,0.165,0.667,9
M,0.14,0.349,9
M,0.15,0.491,9
F,0.155,0.545,9
F,0.16,0.5455,9
M,0.105,0.13,9
M,0.09,0.143,9
F,0.115,0.29,9
I,0.125,0.348,9
M,0.17,0.619,9
M,0.14,0.3625,9
F,0.16,0.417,9
I,0.15,0.345,9
F,0.2,0.713,9
M,0.08,0.08,9
I,0.115,0.162,9
F,0.105,0.136,9
I,0.16,0.45,9
M,0.155,0.3605,9
I,0.095,0.1075,9
I,0.105,0.1575,9
I,0.125,0.245,9
F,0.15,0.559,9
F,0.185,0.741,9
F,0.15,0.3535,9
F,0.135,0.1715,9
F,0.15,0.435,9
F,0.1,0.071,9
F,0.15,0.491,9
F,0.155,0.52,9
I,0.08,0.0485,9
F,0.155,0.2395,9
M,0.12,0.147,9
I,0.13,0.2945,9
F,0.16,0.5715,9
I,0.145,0.4675,9
I,0.11,0.182,9
I,0.14,0.161,9
I,0.125,0.369,9
I,0.135,0.3305,9
M,0.16,0.6665,9
I,0.105,0.22,9
I,0.08,0.1485,9
M,0.14,0.241,9
M,0.15,0.545,9
I,0.14,0.256,9
M,0.155,0.282,9
I,0.16,0.3085,9
M,0.11,0.305,9
M,0.145,0.783,9
F,0.14,0.3845,9
I,0.145,0.3095,9
I,0.12,0.21,9
M,0.185,0.586,9
F,0.135,0.2565,9
F,0.145,0.3545,9
F,0.2,0.6435,9
M,0.155,0.63,9
F,0.16,0.2475,9
M,0.125,0.222,9
F,0.12,0.382,9
I,0.115,0.1515,9
M,0.1,0.1705,9
M,0.16,0.4005,9
M,0.15,0.481,9
F,0.14,0.38,9
M,0.195,0.6595,9
I,0.085,0.0745,9
M,0.125,0.186,9
I,0.13,0.3905,9
M,0.115,0.3415,9
I,0.135,0.2845,9
F,0.105,0.18,9
M,0.16,0.3365,9
M,0.14,0.496,9
F,0.15,0.3465,9
F,0.17,0.5945,9
F,0.16,0.4935,9
F,0.14,0.2565,9
F,0.015,0.5115,9
M,0.135,0.4245,9
F,0.155,0.5105,9
M,0.16,0.513,9
M,0.205,0.5255,9
M,0.125,0.27,9
M,0.16,0.631,9
M,0.15,0.3475,9
F,0.175,0.4815,9
M,0.15,0.4605,9
M,0.145,0.415,9
F,0.18,0.502,9
F,0.12,0.177,9
F,0.12,0.27,9
M,0.125,0.383,9
M,0.125,0.2495,9
I,0.14,0.229,9
M,0.135,0.295,9
F,0.19,0.8545,9
I,0.145,0.3485,9
M,0.155,0.477,9
M,0.175,0.5575,9
M,0.15,0.5695,9
I,0.125,0.1575,9
M,0.175,0.605,9
M,0.09,0.134,9
M,0.16,0.4255,9
F,0.195,0.4035,9
M,0.15,0.4505,9
F,0.1,0.2215,9
M,0.145,0.216,9
M,0.19,0.4625,9
I,0.12,0.215,9
I,0.13,0.222,9
F,0.215,1.1565,9
M,0.13,0.2655,9
F,0.15,0.5265,9
F,0.09,0.1545,9
I,0.12,0.3045,9
F,0.16,0.452,9
M,0.16,0.3935,9
M,0.15,0.595,9
I,0.105,0.1425,9
M,0.145,0.4345,9
I,0.14,0.2585,9
I,0.135,0.2945,9
F,0.175,0.4865,9
M,0.15,0.603,9
F,0.155,0.385,9
I,0.145,0.239,9
I,0.12,0.151,9
M,0.12,0.3325,9
I,0.115,0.1885,9
M,0.155,0.572,9
F,0.165,0.4035,9
F,0.155,0.3485,9
M,0.14,0.4215,9
M,0.135,0.3775,9
M,0.15,0.485,9
M,0.14,0.407,9
M,0.155,0.6245,9
M,0.13,0.2845,9
I,0.12,0.2205,9
F,0.09,0.1575,9
I,0.11,0.2525,9
M,0.13,0.3725,9
F,0.165,0.647,9
F,0.15,0.504,9
F,0.18,0.5185,9
F,0.12,0.2295,9
I,0.14,0.2615,9
M,0.1,0.1175,9
M,0.175,0.409,9
M,0.17,0.53,9
I,0.15,0.4495,9
I,0.08,0.2165,9
F,0.16,0.493,9
M,0.145,0.3345,9
I,0.095,0.062,9
M,0.12,0.193,9
I,0.125,0.201,9
M,0.175,0.4805,9
F,0.155,0.4775,9
F,0.18,0.7755,9
I,0.14,0.3285,9
M,0.18,0.6315,9
M,0.09,0.094,9
I,0.125,0.229,9
F,0.17,0.532,9
F,0.165,0.705,9
F,0.205,0.8265,9
M,0.12,0.142,9
M,0.15,0.587,9
M,0.165,0.4545,9
F,0.15,0.4675,9
M,0.16,0.672,9
M,0.125,0.269,9
F,0.135,0.1805,9
F,0.135,0.231,9
I,0.135,0.3195,9
F,0.135,0.313,9
F,0.125,0.197,9
F,0.165,0.486,9
M,0.145,0.3665,9
M,0.15,0.413,9
F,0.15,0.575,9
M,0.155,0.569,9
M,0.12,0.285,9
M,0.125,0.2375,9
I,0.14,0.326,9
M,0.175,0.5805,9
M,0.175,0.615,9
I,0.15,0.581,9
I,0.17,0.3725,9
F,0.175,0.643,9
M,0.19,0.605,9
M,0.155,0.505,9
F,0.2,0.5845,9
I,0.125,0.244,9
I,0.11,0.177,9
F,0.16,0.4525,9
F,0.14,0.186,9
M,0.145,0.464,9
F,0.155,0.615,9
I,0.17,0.3475,9
F,0.16,0.3605,9
I,0.08,0.052,9
M,0.095,0.121,9
I,0.125,0.437,9
F,0.14,0.6005,9
I,0.135,0.328,9
I,0.1,0.1895,9
F,0.18,0.653,9
I,0.125,0.179,9
M,0.16,0.5685,9
F,0.16,0.3545,9
M,0.205,0.8145,9
F,0.16,0.6895,9
F,0.13,0.335,9
F,0.125,0.361,9
I,0.15,0.481,9
M,0.165,0.586,9
M,0.12,0.273,9
M,0.17,0.4615,9
F,0.13,0.2205,9
M,0.16,0.5355,9
F,0.175,0.463,9
M,0.18,0.5985,9
F,0.145,0.3895,9
F,0.155,0.484,9
I,0.135,0.2705,9
F,0.135,0.4055,9
F,0.135,0.545,9
F,0.205,0.6635,9
I,0.13,0.3535,9
M,0.12,0.1175,9
M,0.135,0.354,9
M,0.17,0.642,9
F,0.105,0.2035,9
F,0.145,0.468,9
F,0.15,0.393,9
F,0.095,0.1455,9
F,0.13,0.1975,9
M,0.125,0.2165,9
I,0.11,0.182,9
F,0.135,0.2015,9
F,0.165,0.573,9
M,0.12,0.3355,9
I,0.12,0.2165,9
I,0.13,0.198,9
I,0.14,0.3595,9
M,0.14,0.3385,9
I,0.175,0.304,9
M,0.14,0.401,9
M,0.17,0.408,9
M,0.13,0.4455,9
M,0.17,0.5775,9
M,0.16,0.4915,9
M,0.16,0.456,9
M,0.13,0.4225,9
I,0.115,0.2435,9
F,0.15,0.377,9
M,0.195,0.945,9
F,0.15,0.613,9
F,0.15,0.3645,9
M,0.155,0.488,9
M,0.145,0.4985,9
I,0.125,0.229,9
M,0.16,0.49,9
F,0.195,0.4915,9
I,0.11,0.094,9
I,0.13,0.346,9
M,0.155,0.6185,9
I,0.135,0.2875,9
F,0.16,0.432,9
F,0.15,0.4615,9
I,0.14,0.2375,9
I,0.105,0.138,9
I,0.12,0.1425,9
F,0.195,0.62,9
I,0.12,0.2715,9
F,0.205,0.6075,9
M,0.14,0.555,9
M,0.115,0.2015,9
M,0.105,0.239,9
F,0.165,0.511,9
I,0.145,0.379,9
I,0.09,0.111,9
I,0.145,0.3975,9
M,0.18,0.4405,9
M,0.095,0.0885,9
F,0.21,0.508,9
M,0.125,0.29,9
I,0.17,0.6035,9
F,0.14,0.442,9
M,0.155,0.45,9
M,0.145,0.478,9
M,0.145,0.52,9
M,0.17,0.715,9
M,0.095,0.096,9
M,0.11,0.173,9
F,0.17,0.543,9
M,0.19,0.8115,9
I,0.12,0.222,9
M,0.165,0.498,9
F,0.165,0.587,9
M,0.135,0.382,9
I,0.145,0.273,9
I,0.16,0.321,9
M,0.12,0.3755,9
M,0.15,0.494,9
M,0.165,0.4915,9
M,0.15,0.5845,9
M,0.155,0.7215,9
F,0.175,0.65,9
M,0.14,0.486,9
M,0.15,0.326,9
F,0.105,0.216,9
F,0.135,0.35,9
I,0.09,0.2005,9
F,0.11,0.1695,9
M,0.17,0.4645,9
F,0.16,0.414,9
I,0.11,0.109,9
F,0.175,0.564,9
F,0.105,0.163,9
M,0.165,0.6355,9
F,0.175,0.7365,9
F,0.17,0.5385,9
I,0.12,0.235,9
M,0.11,0.3415,9
F,0.175,0.7335,9
I,0.125,0.2595,9
M,0.155,0.419,9
M,0.15,0.2185,9
M,0.125,0.191,9
M,0.17,0.549,9
F,0.16,0.3875,9
F,0.125,0.2965,9
F,0.105,0.1125,9
I,0.13,0.247,9
F,0.19,0.6415,9
F,0.17,0.4615,9
F,0.2,0.6075,9
M,0.15,0.4315,9
M,0.1,0.066,9
M,0.09,0.078,9
M,0.12,0.434,9
I,0.1,0.1245,9
F,0.145,0.334,9
I,0.12,0.271,9
F,0.175,0.464,9
M,0.195,0.7345,9
I,0.13,0.354,9
M,0.13,0.318,9
M,0.16,0.343,9
F,0.14,0.4775,9
M,0.15,0.4975,9
F,0.15,0.325,9
F,0.16,0.6865,9
F,0.125,0.33,9
M,0.12,0.392,9
M,0.155,0.4555,9
M,0.14,0.4095,9
I,0.1,0.1635,9
F,0.17,0.512,9
M,0.135,0.509,9
I,0.14,0.53,9
F,0.13,0.2635,9
F,0.14,0.368,9
M,0.18,0.1915,9
F,0.19,0.6255,9
M,0.16,0.6385,9
F,0.13,0.368,9
F,0.175,0.447,9
F,0.17,0.4995,9
F,0.175,0.646,9
F,0.15,0.4475,9
I,0.12,0.2115,9
F,0.165,0.58,9
F,0.155,0.4315,9
F,0.135,0.397,9
F,0.145,0.4845,9
F,0.135,0.393,9
M,0.13,0.152,9
M,0.1,0.146,9
F,0.16,0.3675,9
M,0.12,0.3315,9
M,0.105,0.172,9
F,0.105,0.1865,9
F,0.155,0.5885,9
I,0.145,0.2895,9
M,0.1,0.124,9
F,0.145,0.375,9
F,0.125,0.1695,9
M,0.13,0.2735,9
I,0.125,0.287,9
F,0.17,0.565,9
I,0.115,0.0935,9
M,0.09,0.048,9
F,0.155,0.4115,9
M,0.19,0.7155,9
I,0.135,0.3715,9
F,0.16,0.4005,9
M,0.11,0.3185,9
I,0.105,0.203,9
M,0.155,0.307,9
M,0.19,0.7315,9
F,0.195,0.516,9
I,0.12,0.1765,9
M,0.075,0.0475,9
I,0.145,0.248,9
F,0.165,0.491,9
F,0.115,0.256,9
F,0.17,0.7945,9
I,0.135,0.32,9
M,0.18,0.728,9
F,0.08,0.0625,9
I,0.11,0.124,9
I,0.115,0.1515,9
M,0.1,0.1755,9
F,0.14,0.347,9
M,0.17,0.4955,9
M,0.19,0.6425,9
M,0.13,0.423,9
M,0.155,0.4185,9
F,0.165,0.5985,9
F,0.125,0.3355,9
F,0.16,0.5815,9
M,0.16,0.449,9
M,0.125,0.346,9
M,0.15,0.4565,9
M,0.125,0.3595,9
M,0.185,0.6095,9
I,0.16,0.495,9
M,0.085,0.0855,9
I,0.17,0.4,9
F,0.165,0.433,9
F,0.155,0.447,9
M,0.18,0.457,9
M,0.16,0.6575,9
M,0.13,0.309,9
I,0.125,0.1815,9
M,0.155,0.5055,9
M,0.16,0.421,9
I,0.135,0.2895,9
F,0.14,0.3895,9
M,0.13,0.096,9
M,0.14,0.192,9
M,0.09,0.0745,9
I,0.13,0.3285,9
M,0.16,0.5,9
M,0.095,0.0795,9
F,0.15,0.22,9
I,0.13,0.3905,9
I,0.11,0.213,9
F,0.165,0.4525,9
I,0.11,0.1685,9
F,0.18,0.3575,9
F,0.16,0.591,9
M,0.145,0.3885,9
I,0.135,0.2985,9
F,0.185,0.469,9
M,0.13,0.2505,9
F,0.17,0.8365,9
M,0.17,0.597,9
F,0.11,0.151,9
M,0.175,0.5815,9
F,0.14,0.368,9
I,0.135,0.1515,9
F,0.16,0.2745,9
F,0.18,0.4015,9
F,0.15,0.4795,9
M,0.17,0.5225,9
M,0.155,0.495,9
I,0.125,0.436,9
I,0.105,0.1605,9
F,0.16,0.538,9
I,0.14,0.3205,9
F,0.145,0.297,9
F,0.155,0.393,9
F,0.15,0.4755,9
F,0.175,0.5415,9
M,0.18,0.7115,9
F,0.155,0.624,9
I,0.135,0.3315,9
F,0.125,0.175,9
F,0.135,0.4735,9
I,0.125,0.3005,9
M,0.105,0.1575,9
M,0.15,0.62,9
M,0.135,0.546,9
F,0.15,0.5425,9
M,0.15,0.518,9
M,0.14,0.462,9
I,0.125,0.2385,9
I,0.145,0.547,9
M,0.105,0.4515,9
M,0.145,0.3525,9
I,0.14,0.3935,9
F,0.175,0.6185,9
I,0.125,0.303,9
M,0.14,0.2125,9
M,0.175,0.6035,9
F,0.185,0.8045,9
I,0.145,0.1935,9
M,0.19,1.253,9
F,0.165,0.477,9
I,0.15,0.269,9
M,0.18,0.895,9
I,0.085,0.071,9
M,0.125,0.1885,9
M,0.145,0.4325,9
F,0.15,0.455,9
F,0.16,0.702,9
M,0.15,0.556,9
F,0.18,0.844,9
M,0.155,0.4535,9
I,0.14,0.2605,9
I,0.075,0.071,9
I,0.125,0.2365,9
M,0.095,0.0665,9
M,0.12,0.293,9
F,0.145,0.3915,9
M,0.13,0.586,9
M,0.14,0.33,9
F,0.13,0.3115,9
M,0.13,0.2975,9
M,0.125,0.289,9
F,0.14,0.4655,9
I,0.125,0.2815,9
I,0.145,0.231,9
M,0.165,0.4525,9
I,0.135,0.2645,9
M,0.2,0.8735,9
F,0.19,0.447,9
M,0.165,0.54,9
M,0.15,0.4335,9
M,0.15,0.476,9
F,0.14,0.3525,9
M,0.135,0.302,9
M,0.175,0.446,9
M,0.15,0.269,9
M,0.155,0.428,9
I,0.155,0.31,9
I,0.105,0.2175,9
I,0.12,0.2805,9
I,0.135,0.445,9
I,0.13,0.215,9
M,0.165,0.4975,9
I,0.14,0.32,9
M,0.155,0.5625,10
F,0.16,0.3835,10
M,0.17,0.657,10
M,0.135,0.1665,10
M,0.145,0.375,10
M,0.165,0.375,10
F,0.17,0.528,10
M,0.165,0.4335,10
M,0.15,0.2535,10
M,0.155,0.7055,10
F,0.15,0.3875,10
I,0.145,0.3525,10
M,0.185,0.526,10
F,0.145,0.1995,10
M,0.165,0.686,10
M,0.13,0.3155,10
I,0.15,0.4145,10
M,0.16,0.3305,10
M,0.175,0.5405,10
M,0.175,0.677,10
I,0.145,0.428,10
M,0.155,0.288,10
F,0.14,0.221,10
I,0.15,0.2555,10
I,0.145,0.4675,10
M,0.175,0.8445,10
F,0.125,0.186,10
F,0.15,0.381,10
F,0.105,0.099,10
F,0.175,0.59,10
M,0.165,0.667,10
F,0.17,0.4635,10
I,0.15,0.449,10
I,0.15,0.5495,10
I,0.15,0.3525,10
M,0.2,0.95,10
M,0.085,0.077,10
