@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3,5-6,9'

@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.42,0.6665,0.3125,10
0.45,1.068,0.556,10
0.45,0.9615,0.486,9
0.45,0.93,0.385,9
0.47,1.052,0.498,9
0.495,1.1565,0.5115,9
0.505,1.3645,0.6075,9
0.56,1.652,0.735,11
0.535,1.6755,0.889,10
0.505,1.978,1.026,12
0.625,2.505,1.1965,11
0.375,0.4645,0.196,6
0.205,0.1595,0.077,5
0.245,0.2015,0.096,7
0.25,0.179,0.0775,6
0.28,0.228,0.1025,5
0.3,0.3265,0.1665,7
0.295,0.2725,0.115,8
0.29,0.2675,0.1205,5
0.34,0.438,0.2115,9
0.365,0.4785,0.206,8
0.395,0.551,0.248,8
0.4,0.6965,0.369,9
0.415,0.5765,0.3595,8
0.43,0.8745,0.413,9
0.425,0.7305,0.3325,9
0.425,0.8205,0.3715,9
0.435,0.873,0.382,10
0.48,1.078,0.511,9
0.465,0.98,0.4115,10
0.475,1.1315,0.508,10
0.46,1,0.494,10
0.47,1.128,0.4465,10
0.5,1.054,0.4845,10
0.505,1.272,0.6025,11
0.505,1.16,0.4785,11
0.59,1.662,0.77,11
0.535,1.6445,0.7305,13
0.555,2.141,1.0465,11
0.32,0.2905,0.141,5
0.34,0.4405,0.2385,6
0.43,0.7045,0.346,9
0.43,0.8745,0.453,8
0.445,0.9875,0.504,8
0.435,0.953,0.475,9
0.48,1.271,0.6605,11
0.515,1.5335,0.6635,9
0.505,1.374,0.589,10
0.565,2.1055,1.017,12
0.17,0.0475,0.019,5
0.355,0.4255,0.2015,7
0.39,0.5705,0.238,8
0.415,0.845,0.3525,8
0.43,0.6255,0.245,10
0.4,0.657,0.2835,7
0.375,0.543,0.2375,8
0.425,0.7665,0.339,8
0.47,0.985,0.3745,10
0.445,0.839,0.4005,9
0.47,1.022,0.449,9
0.485,1.154,0.4935,12
0.48,1.0405,0.464,9
0.47,1.1955,0.643,12
0.505,1.0915,0.4615,9
0.49,1.2615,0.5385,9
0.505,1.1605,0.519,10
0.52,1.3725,0.606,12
0.505,1.2585,0.6255,12
0.52,1.3735,0.7185,11
0.545,1.58,0.6435,11
0.565,1.938,0.7735,11
0.355,0.8795,0.3485,8
0.455,1.1155,0.5045,10
0.515,1.3405,0.5595,11
0.26,0.1885,0.0815,6
0.34,0.4535,0.203,9
0.43,0.687,0.2615,9
0.455,0.837,0.382,9
0.47,0.97,0.4655,11
0.475,0.99,0.386,10
0.465,1.133,0.466,11
0.495,1.255,0.5815,12
0.52,1.1445,0.53,9
0.535,1.3845,0.6615,10
0.545,1.5715,0.6645,13
0.21,0.1195,0.053,6
0.25,0.1695,0.0695,6
0.395,0.5915,0.288,12
0.44,0.8395,0.356,11
0.41,0.8215,0.342,9
0.515,1.3485,0.5255,14
0.305,0.368,0.173,7
0.305,0.379,0.162,9
0.3,0.3355,0.1545,7
0.29,0.276,0.1175,9
0.355,0.452,0.2165,9
0.325,0.3455,0.1405,9
0.355,0.4415,0.1805,10
0.495,1.806,0.643,17
0.115,0.0145,0.0055,4
0.465,0.799,0.3245,10
0.47,1.283,0.462,14
0.42,1.0595,0.358,21
0.385,0.6335,0.2,14
0.47,0.927,0.3215,11
0.22,0.1365,0.0565,6
0.35,0.5725,0.1965,10
0.46,0.7875,0.3395,8
0.45,0.903,0.3305,14
0.48,1.229,0.4125,13
0.32,0.3785,0.152,11
0.395,0.6185,0.216,12
0.45,0.893,0.2745,14
0.475,1.162,0.511,18
0.455,0.94,0.399,11
0.375,0.5795,0.2145,13
0.35,0.384,0.143,13
0.395,0.5545,0.213,14
0.325,0.306,0.111,8
0.305,0.3605,0.12,10
0.395,0.592,0.2465,13
0.425,0.7995,0.3345,15
0.43,0.8025,0.313,13
0.4,0.764,0.3035,11
0.475,0.9455,0.3815,19
0.47,1.031,0.392,15
0.595,1.969,0.8045,16
0.325,0.3285,0.1405,12
0.245,0.15,0.0525,7
0.305,0.28,0.094,9
0.385,0.6695,0.289,10
0.255,0.213,0.081,9
0.5,1.312,0.529,18
0.485,1.087,0.4255,11
0.4,0.6245,0.215,15
0.26,0.2,0.0625,9
0.21,0.109,0.044,5
0.365,0.53,0.2505,10
0.45,0.8795,0.387,11
0.49,1.185,0.482,10
0.5,1.332,0.6235,8
0.49,1.33,0.6675,10
0.55,1.659,0.8715,9
0.17,0.0565,0.024,4
0.22,0.1315,0.066,5
0.335,0.3885,0.175,7
0.405,0.889,0.4055,8
0.445,0.995,0.504,9
0.46,1.235,0.6025,8
0.375,0.5445,0.279,8
0.42,0.636,0.294,8
0.49,1.9875,1.005,10
0.51,1.3415,0.6575,10
0.465,1.027,0.537,8
0.55,1.523,0.693,13
0.53,1.7315,0.83,11
0.175,0.0635,0.0275,4
0.26,0.1795,0.074,5
0.275,0.2295,0.095,7
0.305,0.271,0.0965,7
0.325,0.314,0.1295,8
0.36,0.4235,0.182,9
0.345,0.415,0.187,8
0.355,0.5195,0.279,7
0.365,0.4475,0.1895,8
0.365,0.5585,0.252,10
0.435,0.72,0.329,11
0.435,0.8975,0.4115,9
0.425,0.844,0.3645,9
0.42,0.6735,0.2895,9
0.475,1.0305,0.4925,10
0.45,0.877,0.4325,9
0.5,1.096,0.5445,10
0.525,1.3135,0.4935,10
0.225,0.187,0.0945,7
0.35,0.4445,0.213,7
0.42,0.8035,0.38,9
0.47,1.1735,0.6245,9
0.49,1.144,0.5015,8
0.55,1.52,0.637,10
0.465,0.9505,0.456,8
0.435,0.804,0.34,8
0.475,0.9745,0.4675,10
0.465,1.0475,0.465,11
0.49,1.1545,0.5865,11
0.515,1.1215,0.545,9
0.475,1.3585,0.5935,10
0.495,1.2075,0.531,11
0.5,1.29,0.593,8
0.485,1.151,0.5935,12
0.355,0.981,0.465,8
0.485,1.281,0.597,9
0.505,1.2905,0.6205,10
0.325,0.335,0.136,8
0.33,0.44,0.177,7
0.445,0.737,0.325,10
0.45,1.1275,0.4925,11
0.475,0.907,0.371,11
0.495,1.31,0.495,10
0.27,0.204,0.3045,7
0.38,0.474,0.197,10
0.43,0.728,0.302,11
0.325,0.3975,0.1815,7
0.42,0.8755,0.44,8
0.36,0.547,0.2165,8
0.15,0.046,0.021,4
0.42,0.8465,0.336,13
0.53,1.8745,0.6755,12
0.375,0.513,0.232,11
0.35,0.397,0.1575,9
0.36,0.4965,0.237,6
0.435,1.032,0.354,20
0.235,0.1515,0.056,7
0.485,1.271,0.531,11
0.32,0.4135,0.1645,10
0.435,0.858,0.377,15
0.24,0.161,0.0725,6
0.415,0.6445,0.26,12
0.54,1.6195,0.533,24
0.485,1.145,0.4325,16
0.435,0.8085,0.3235,16
0.355,0.5085,0.21,9
0.525,1.6935,0.6025,15
0.525,1.71,0.5415,16
0.33,0.34,0.1315,14
0.3,0.3085,0.1385,6
0.535,1.65,0.734,13
0.45,1.2225,0.357,13
0.315,0.3095,0.147,7
0.465,1.0315,0.432,9
0.47,1.1685,0.539,8
0.475,1.089,0.5195,11
0.51,1.3715,0.567,10
0.24,0.152,0.065,6
0.28,0.2565,0.1255,6
0.37,0.5055,0.234,7
0.37,0.643,0.349,8
0.4,0.569,0.256,9
0.395,0.8115,0.4035,7
0.485,1.1325,0.5235,9
0.315,0.2675,0.116,6
0.44,0.985,0.4645,8
0.415,0.7615,0.3695,8
0.41,0.939,0.4475,8
0.47,1.179,0.605,9
0.355,0.494,0.2385,9
0.42,0.8875,0.4315,8
0.465,0.7955,0.3425,10
0.485,1.2135,0.631,9
0.515,1.3745,0.75,12
0.555,2.333,1.2395,12
0.125,0.028,0.0095,4
0.37,0.514,0.2385,8
0.475,1.4335,0.7315,9
0.345,0.3685,0.1525,8
0.465,0.9895,0.4235,8
0.47,0.9365,0.434,10
0.495,1.0835,0.4525,9
0.51,1.4865,0.6445,12
0.51,1.278,0.5605,11
0.4,0.775,0.3445,7
0.475,1.0375,0.476,9
0.395,0.475,0.2025,8
0.4,0.705,0.3065,10
0.45,0.795,0.364,10
0.48,1.2205,0.4985,10
0.355,0.5315,0.2725,8
0.35,0.416,0.1625,11
0.475,1.423,0.4155,14
0.43,0.717,0.289,10
0.44,0.9705,0.4315,9
0.4,0.7365,0.2955,16
0.43,0.813,0.3315,12
0.48,1.064,0.413,16
0.44,0.8605,0.312,17
0.175,0.0645,0.0215,5
0.39,0.6555,0.2595,11
0.44,0.991,0.348,20
0.365,0.6175,0.202,16
0.32,0.409,0.2055,8
0.33,0.4095,0.163,6
0.35,0.494,0.2205,7
0.455,0.9795,0.444,8
0.375,0.562,0.2505,8
0.2,0.096,0.037,6
0.46,0.926,0.4025,8
0.305,0.2645,0.1,7
0.43,0.7005,0.3395,8
0.465,1.1815,0.581,9
0.475,1.337,0.5995,11
0.49,1.7015,0.7465,11
0.545,1.9125,0.8825,10
0.59,1.7495,0.7755,11
0.525,1.3455,0.586,9
0.265,0.197,0.073,7
0.35,0.4725,0.215,9
0.495,1.0805,0.52,9
0.505,1.357,0.5725,11
0.215,0.124,0.063,6
0.38,0.577,0.269,9
