@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1-2,9'

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.615,10
M,0.64,15
M,0.64,10
M,0.645,10
F,0.695,11
F,0.75,14
I,0.37,6
I,0.4,6
I,0.405,8
I,0.425,6
I,0.47,9
M,0.475,8
M,0.485,6
I,0.515,8
F,0.56,9
F,0.605,9
F,0.62,8
F,0.63,10
F,0.665,10
M,0.75,11
I,0.3,6
I,0.35,5
I,0.385,8
I,0.45,8
I,0.5,8
M,0.525,9
M,0.54,10
I,0.55,12
I,0.575,10
I,0.575,9
I,0.595,8
F,0.6,9
F,0.605,11
F,0.61,10
F,0.61,12
M,0.615,9
F,0.62,12
M,0.635,12
M,0.645,10
M,0.655,10
F,0.675,10
M,0.485,9
M,0.625,11
M,0.645,9
I,0.24,4
I,0.41,7
I,0.42,11
I,0.435,8
I,0.495,8
I,0.52,10
I,0.545,10
M,0.555,7
I,0.565,9
F,0.575,9
M,0.575,9
F,0.58,10
M,0.595,10
M,0.62,9
F,0.635,11
F,0.655,11
M,0.7,13
M,0.72,11
I,0.28,7
I,0.405,7
I,0.425,7
M,0.45,8
F,0.53,9
F,0.53,9
M,0.565,9
I,0.385,8
M,0.485,8
I,0.55,11
M,0.61,8
F,0.71,10
M,0.595,14
F,0.375,7
M,0.47,8
F,0.52,10
M,0.44,9
F,0.57,16
I,0.46,9
F,0.64,12
F,0.61,9
I,0.215,6
I,0.26,5
I,0.37,11
M,0.42,7
M,0.66,18
M,0.59,13
M,0.43,8
F,0.62,13
F,0.545,13
M,0.635,15
M,0.525,10
F,0.495,10
F,0.58,10
I,0.495,8
I,0.4,10
F,0.665,17
M,0.61,23
F,0.515,12
M,0.7,18
M,0.635,11
M,0.18,3
F,0.405,12
F,0.36,10
M,0.155,5
I,0.5,9
F,0.41,10
I,0.335,9
M,0.475,9
F,0.445,11
F,0.35,7
I,0.25,5
I,0.355,8
M,0.505,12
M,0.465,8
I,0.46,7
I,0.505,7
F,0.53,6
M,0.54,9
F,0.585,8
F,0.55,8
F,0.57,9
M,0.645,9
F,0.65,10
M,0.68,11
I,0.21,4
I,0.345,6
I,0.375,8
I,0.485,8
I,0.505,9
I,0.525,9
I,0.55,10
I,0.585,10
M,0.6,11
M,0.61,10
M,0.64,10
M,0.65,12
F,0.66,9
F,0.705,9
I,0.45,7
M,0.59,9
F,0.625,9
I,0.31,6
I,0.37,7
I,0.46,9
F,0.465,8
I,0.5,8
F,0.615,11
F,0.625,11
M,0.645,12
F,0.655,11
M,0.68,11
M,0.555,9
M,0.64,11
M,0.73,14
I,0.42,6
I,0.46,8
I,0.475,9
I,0.515,7
M,0.59,9
F,0.635,9
M,0.655,11
F,0.66,10
M,0.665,10
F,0.73,14
F,0.755,11
M,0.545,11
I,0.375,7
I,0.38,7
F,0.62,9
F,0.645,13
F,0.7,24
F,0.655,10
F,0.505,15
F,0.61,12
I,0.325,5
F,0.49,9
F,0.385,6
F,0.665,15
M,0.63,16
M,0.52,8
M,0.485,13
F,0.655,14
I,0.3,5
M,0.465,11
F,0.655,18
M,0.535,15
F,0.605,14
F,0.565,12
F,0.45,9
F,0.505,17
F,0.535,16
I,0.49,13
I,0.475,8
F,0.58,19
M,0.41,9
I,0.54,10
M,0.28,5
I,0.31,6
M,0.575,10
M,0.62,13
I,0.35,6
I,0.395,7
M,0.74,13
F,0.465,7
F,0.555,8
M,0.6,9
F,0.625,11
F,0.625,10
F,0.715,10
I,0.4,6
F,0.505,8
I,0.52,8
M,0.6,12
F,0.7,11
I,0.215,3
I,0.335,6
I,0.35,7
I,0.365,7
I,0.5,9
F,0.585,9
F,0.6,10
F,0.655,8
F,0.64,12
M,0.66,10
I,0.285,7
I,0.44,8
I,0.465,9
M,0.53,9
M,0.535,7
I,0.55,10
M,0.62,10
F,0.625,14
M,0.65,10
M,0.65,11
F,0.66,10
F,0.725,11
F,0.38,7
M,0.515,9
F,0.635,9
F,0.695,13
I,0.485,8
I,0.52,10
I,0.535,9
F,0.555,10
I,0.565,9
F,0.65,10
F,0.665,14
I,0.305,6
I,0.525,8
I,0.17,4
F,0.375,7
M,0.55,12
F,0.485,11
I,0.33,5
F,0.5,13
M,0.76,14
F,0.615,17
F,0.565,10
M,0.445,15
M,0.395,12
F,0.5,20
I,0.58,14
F,0.525,13
F,0.53,13
I,0.49,9
F,0.515,12
I,0.375,6
I,0.475,7
I,0.375,6
F,0.555,9
F,0.585,11
M,0.625,10
M,0.72,11
I,0.575,10
M,0.62,11
M,0.625,9
F,0.645,9
I,0.545,8
I,0.595,10
M,0.48,8
F,0.56,9
F,0.605,10
M,0.555,8
I,0.57,10
I,0.44,6
I,0.39,7
I,0.405,7
