@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R2,6,8-9'

@attribute Length numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.395,0.138,0.082,7
0.47,0.266,0.169,8
0.505,0.3415,0.239,8
0.55,0.362,0.2765,10
0.575,0.442,0.2705,9
0.59,0.455,0.33,12
0.625,0.5895,0.381,11
0.66,0.755,0.4,10
0.32,0.07,0.0425,5
0.345,0.111,0.065,7
0.385,0.124,0.07,6
0.475,0.3245,0.127,6
0.495,0.3035,0.1495,8
0.5,0.2835,0.135,8
0.5,0.336,0.1825,7
0.505,0.289,0.155,9
0.51,0.347,0.1885,8
0.53,0.325,0.205,8
0.595,0.4515,0.155,11
0.595,0.621,0.274,9
0.66,0.6425,0.5175,9
0.765,1.007,0.6205,12
0.195,0.018,0.011,3
0.245,0.03,0.0215,4
0.28,0.0415,0.034,5
0.405,0.172,0.093,7
0.43,0.1985,0.1035,7
0.45,0.241,0.12,6
0.51,0.3465,0.182,8
0.525,0.325,0.17,8
0.525,0.3755,0.201,9
0.565,0.5795,0.206,8
0.57,0.412,0.22,8
0.575,0.549,0.228,9
0.63,0.589,0.287,8
0.63,0.5635,0.3425,10
0.645,0.6465,0.3735,10
0.65,0.565,0.294,11
0.69,0.7355,0.3865,12
0.755,0.8295,0.595,10
0.33,0.102,0.052,7
0.385,0.111,0.0745,9
0.42,0.168,0.082,6
0.48,0.244,0.165,9
0.5,0.259,0.157,7
0.52,0.3005,0.1905,9
0.53,0.3905,0.167,9
0.535,0.335,0.2075,9
0.57,0.3815,0.245,8
0.575,0.4415,0.22,10
0.585,0.522,0.335,10
0.59,0.5985,0.31,9
0.6,0.565,0.27,10
0.615,0.4795,0.3,10
0.62,0.596,0.354,10
0.63,0.5065,0.3365,12
0.635,0.405,0.31,10
0.705,1.1075,0.512,10
0.475,0.2175,0.1165,7
0.515,0.497,0.2185,8
0.55,0.375,0.1945,8
0.58,0.65,0.3055,9
0.59,0.613,0.2515,9
0.595,0.452,0.288,9
0.62,0.462,0.25,10
0.63,0.52,0.276,9
0.645,0.6405,0.43,11
0.645,0.55,0.335,11
0.67,0.651,0.345,10
0.74,0.9115,0.446,10
0.37,0.097,0.065,6
0.39,0.095,0.073,7
0.41,0.141,0.075,8
0.415,0.139,0.0965,7
0.465,0.1825,0.12,8
0.475,0.2825,0.19,8
0.475,0.1965,0.112,7
0.5,0.2375,0.169,9
0.515,0.213,0.1275,10
0.53,0.3745,0.249,11
0.54,0.3935,0.2295,9
0.56,0.349,0.2,8
0.575,0.4605,0.36,8
0.61,0.5735,0.355,7
0.62,0.6685,0.335,12
0.62,0.6285,0.309,12
0.625,0.4645,0.354,9
0.63,0.6565,0.3035,10
0.64,0.5475,0.3685,10
0.645,0.5645,0.386,12
0.645,0.5815,0.315,9
0.66,0.7685,0.3925,14
0.665,0.6145,0.3665,11
0.67,0.5235,0.4275,13
0.7,0.8445,0.54,10
0.71,0.9215,0.566,11
0.72,0.919,0.485,10
0.74,0.9655,0.482,12
0.535,0.4955,0.304,8
0.545,0.4235,0.228,8
0.6,0.6195,0.3285,11
0.675,0.6775,0.389,10
0.185,0.0105,0.009,5
0.41,0.1405,0.105,7
0.445,0.1525,0.1185,8
0.465,0.1635,0.166,7
0.47,0.196,0.135,8
0.495,0.205,0.1505,8
0.5,0.28,0.15,9
0.515,0.253,0.14,8
0.54,0.2525,0.19,8
0.555,0.341,0.214,8
0.56,0.3455,0.279,9
0.565,0.302,0.185,7
0.565,0.3755,0.25,10
0.57,0.4275,0.238,13
0.575,0.3795,0.27,10
0.575,0.45,0.225,10
0.575,0.3375,0.239,11
0.58,0.3365,0.2485,9
0.605,0.482,0.352,10
0.605,0.334,0.3,9
0.61,0.566,0.294,11
0.615,0.564,0.3885,10
0.62,0.44,0.285,11
0.64,0.508,0.34,10
0.64,0.477,0.34,9
0.65,0.531,0.3985,10
0.655,0.5855,0.394,10
0.21,0.017,0.015,5
0.29,0.056,0.03,6
0.35,0.0725,0.0495,7
0.36,0.1065,0.062,6
0.43,0.1675,0.105,8
0.6,0.37,0.2425,10
0.455,0.332,0.1335,8
0.46,0.235,0.116,7
0.49,0.271,0.139,8
0.585,0.4145,0.356,11
0.62,0.493,0.2725,9
0.705,0.747,0.488,10
0.53,0.2995,0.245,10
0.425,0.134,0.125,7
0.665,0.7535,0.885,27
0.385,0.147,0.09,7
0.55,0.368,0.265,10
0.69,0.732,0.57,19
0.55,0.377,0.29,9
0.19,0.0155,0.01,6
0.445,0.193,0.13,9
0.645,0.5265,0.455,15
0.65,0.5195,0.44,13
0.42,0.175,0.135,8
0.625,0.5115,0.665,16
0.555,0.2735,0.275,13
0.6,0.4995,0.38,13
0.645,0.639,0.36,11
0.72,0.8955,0.62,13
0.52,0.3735,0.25,14
0.67,0.519,0.37,13
0.485,0.25,0.185,8
0.475,0.2525,0.185,10
0.52,0.385,0.23,10
0.53,0.3275,0.22,12
0.45,0.2035,0.149,9
0.585,0.391,0.25,17
0.435,0.1555,0.135,12
0.44,0.165,0.132,11
0.625,0.404,0.35,14
0.555,0.309,0.3,15
0.5,0.275,0.18,11
0.51,0.3025,0.235,16
0.59,0.38,0.28,12
0.39,0.11,0.08,8
0.49,0.242,0.1835,15
0.415,0.2285,0.114,7
0.415,0.1405,0.095,6
0.42,0.1745,0.0945,8
0.54,0.392,0.2235,9
0.37,0.108,0.07,6
0.38,0.115,0.07,6
0.46,0.2025,0.1165,6
0.48,0.243,0.135,8
0.62,0.545,0.345,10
0.62,0.6865,0.3275,9
0.635,0.617,0.37,11
0.475,0.2025,0.123,7
0.5,0.294,0.1605,8
0.545,0.368,0.18,9
0.565,0.3495,0.213,9
0.595,0.4915,0.3345,9
0.605,0.4505,0.293,10
0.625,0.484,0.3095,9
0.625,0.4645,0.327,10
0.65,0.7215,0.335,9
0.37,0.096,0.058,7
0.385,0.1215,0.068,8
0.405,0.416,0.0995,8
0.405,0.138,0.0765,6
0.43,0.159,0.105,7
0.48,0.2535,0.172,11
0.66,0.6525,0.422,11
0.5,0.2235,0.16,8
0.665,0.831,0.371,11
0.72,0.723,0.4945,12
0.735,1.1705,0.5315,10
0.315,0.051,0.0405,4
0.335,0.0875,0.056,7
0.425,0.15,0.115,8
0.505,0.245,0.2,9
0.575,0.495,0.246,9
0.575,0.498,0.23,8
0.605,0.425,0.3,10
0.61,0.516,0.2915,11
0.67,0.715,0.387,9
0.69,0.9815,0.341,13
0.745,0.954,0.495,12
0.51,0.508,0.343,9
0.535,0.548,0.337,13
0.56,0.509,0.1975,9
0.64,0.456,0.2835,9
0.455,0.138,0.135,9
0.47,0.2265,0.162,8
0.52,0.2775,0.196,11
0.52,0.3155,0.186,11
0.535,0.273,0.237,9
0.55,0.3045,0.265,11
0.57,0.385,0.2315,10
0.6,0.3695,0.255,12
0.64,0.559,0.3355,9
0.625,0.6075,0.355,9
0.54,0.2375,0.175,7
0.34,0.097,0.05,6
0.5,0.2245,0.206,11
0.545,0.2585,0.38,18
0.62,0.5095,0.51,17
0.635,0.501,0.41,17
0.6,0.4535,0.335,10
0.41,0.158,0.125,12
0.61,0.5215,0.365,12
0.695,0.6375,0.43,14
0.69,0.6935,0.47,15
0.61,0.464,0.365,15
0.505,0.3185,0.185,9
0.655,0.5405,0.285,12
0.41,0.1415,0.115,11
0.6,0.383,0.355,16
0.44,0.171,0.184,16
0.375,0.1165,0.0725,12
0.54,0.4285,0.264,17
0.47,0.1665,0.17,10
0.435,0.1685,0.13,10
0.475,0.194,0.125,13
0.515,0.341,0.26,13
0.545,0.3035,0.31,18
0.365,0.0855,0.07,9
0.455,0.1685,0.215,13
0.37,0.0815,0.075,8
0.415,0.167,0.0915,6
0.61,0.497,0.2785,9
0.63,0.536,0.316,11
0.25,0.0345,0.0215,4
0.64,0.642,0.354,9
0.665,0.7295,0.4265,11
0.72,0.718,0.529,11
0.47,0.156,0.123,7
0.47,0.167,0.139,7
0.475,0.35,0.1845,8
0.53,0.2905,0.183,8
0.585,0.4845,0.22,9
0.61,0.5315,0.325,10
0.72,0.7925,0.468,11
0.36,0.096,0.0585,7
0.45,0.253,0.14,8
0.505,0.2575,0.1535,8
0.6,0.522,0.36,11
0.625,0.605,0.319,10
0.625,0.517,0.39,11
0.715,0.708,0.445,12
0.51,0.2865,0.148,7
0.655,0.6035,0.335,10
0.27,0.03,0.029,6
0.295,0.0585,0.0365,5
0.37,0.1015,0.0825,6
0.53,0.256,0.208,9
0.545,0.349,0.212,9
0.55,0.3315,0.221,9
0.6,0.5095,0.309,10
0.625,0.5255,0.3315,11
0.67,0.532,0.3315,11
0.36,0.21,0.128,7
0.485,0.4145,0.273,7
0.51,0.3845,0.255,10
0.625,0.556,0.287,9
0.285,0.039,0.034,5
0.475,0.191,0.13,8
0.575,0.333,0.2985,9
0.62,0.4895,0.343,11
0.675,0.686,0.45,11
0.695,0.675,0.5295,13
0.425,0.173,0.0975,9
0.61,0.4605,0.344,12
0.35,0.0985,0.07,8
0.68,0.5985,0.4575,10
0.71,0.5375,0.431,12
0.46,0.165,0.17,14
0.425,0.175,0.175,7
0.52,0.372,0.19,8
0.53,0.375,0.245,9
0.37,0.096,0.08,6
0.445,0.2495,0.159,9
0.335,0.071,0.055,9
0.655,0.443,0.49,16
0.56,0.342,0.355,12
0.565,0.321,0.275,11
0.375,0.0875,0.08,10
0.475,0.186,0.21,13
0.54,0.391,0.355,15
0.55,0.3765,0.4,14
0.465,0.1815,0.225,13
0.61,0.5185,0.3345,9
0.27,0.059,0.0305,4
0.58,0.363,0.2515,6
0.645,0.6135,0.34,10
0.67,0.758,0.5055,11
0.245,0.04,0.02,5
0.52,0.2565,0.17,10
0.585,0.4315,0.247,9
0.66,0.61,0.3,8
0.54,0.322,0.19,10
0.55,0.288,0.21,11
0.575,0.447,0.275,12
0.695,0.8195,0.437,10
0.5,0.1875,0.1305,8
0.56,0.425,0.2725,11
0.63,0.5175,0.37,11
0.57,0.531,0.209,9
0.58,0.379,0.2575,11
0.63,0.492,0.325,11
0.655,0.642,0.405,13
0.39,0.181,0.079,7
0.475,0.232,0.156,10
0.56,0.4,0.229,8
