@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R4,7,9'

@attribute Height numeric
@attribute Viscera_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.125,0.15,7
0.115,0.1135,8
0.14,0.1285,9
0.12,0.1395,8
0.125,0.127,8
0.165,0.197,9
0.16,0.2495,9
0.175,0.3725,10
0.19,0.418,12
0.17,0.236,9
0.185,0.38,12
0.075,0.036,6
0.11,0.0535,6
0.1,0.061,5
0.11,0.045,7
0.105,0.089,9
0.105,0.0755,8
0.1,0.0855,8
0.12,0.0885,8
0.1,0.0835,8
0.13,0.11,8
0.12,0.1435,7
0.14,0.165,9
0.145,0.2195,10
0.155,0.273,10
0.16,0.234,10
0.155,0.1885,11
0.16,0.2215,12
0.16,0.2685,10
0.175,0.256,11
0.175,0.2725,9
0.175,0.3585,11
0.17,0.349,10
0.19,0.3865,10
0.17,0.389,13
0.11,0.096,8
0.12,0.0835,6
0.135,0.1565,9
0.14,0.1775,9
0.165,0.2465,8
0.2,0.1985,9
0.165,0.235,9
0.175,0.268,10
0.14,0.2435,8
0.19,0.388,10
0.185,0.3255,12
0.17,0.3265,11
0.24,0.413,13
0.075,0.0315,6
0.075,0.0365,7
0.095,0.0665,7
0.12,0.0815,9
0.125,0.0985,8
0.13,0.1285,7
0.145,0.1595,9
0.12,0.147,9
0.15,0.1735,10
0.155,0.1705,9
0.125,0.188,9
0.17,0.2225,8
0.18,0.2455,10
0.165,0.241,9
0.145,0.1905,8
0.155,0.228,10
0.16,0.2395,10
0.165,0.2435,11
0.16,0.246,11
0.165,0.2615,11
0.15,0.2865,9
0.175,0.271,11
0.19,0.3715,14
0.19,0.2905,12
0.195,0.3805,11
0.155,0.339,10
0.215,0.4475,11
0.19,0.5195,11
0.205,0.421,12
0.195,0.6415,12
0.105,0.0865,6
0.15,0.232,10
0.19,0.3685,11
0.175,0.3775,9
0.185,0.4015,10
0.21,0.409,11
0.13,0.178,7
0.145,0.2825,11
0.17,0.3005,9
0.18,0.29,12
0.205,0.2465,12
0.07,0.0255,6
0.085,0.034,7
0.085,0.05,7
0.135,0.1525,10
0.14,0.145,9
0.135,0.1575,9
0.16,0.1855,9
0.12,0.1475,8
0.15,0.207,7
0.215,0.4825,12
0.18,0.1965,10
0.1,0.0505,10
0.17,0.2555,13
0.09,0.0495,7
0.125,0.126,10
0.1,0.071,7
0.08,0.0385,6
0.115,0.113,8
0.135,0.0845,12
0.14,0.115,10
0.105,0.0705,10
0.075,0.0235,5
0.18,0.205,27
0.135,0.07,7
0.2,0.3765,11
0.175,0.261,14
0.23,0.245,14
0.13,0.1275,11
0.155,0.1485,15
0.135,0.127,9
0.175,0.3415,17
0.21,0.2205,20
0.2,0.2565,13
0.11,0.0955,8
0.15,0.161,11
0.115,0.117,12
0.135,0.1465,11
0.09,0.041,10
0.17,0.152,17
0.145,0.19,12
0.13,0.103,18
0.065,0.027,6
0.155,0.168,14
0.16,0.156,23
0.17,0.1645,14
0.105,0.065,9
0.145,0.1295,13
0.145,0.118,11
0.09,0.0835,6
0.135,0.1015,7
0.135,0.191,9
0.185,0.3125,10
0.115,0.111,6
0.105,0.1115,8
0.125,0.1705,8
0.14,0.1415,6
0.155,0.206,7
0.155,0.269,9
0.145,0.266,9
0.205,0.429,13
0.215,0.482,10
0.125,0.1175,9
0.185,0.3005,11
0.125,0.283,9
0.2,0.2985,11
0.19,0.3685,13
0.1,0.0535,8
0.14,0.137,7
0.13,0.1285,8
0.145,0.171,10
0.155,0.1805,9
0.14,0.139,10
0.145,0.173,9
0.15,0.201,10
0.155,0.211,11
0.05,0.016,5
0.095,0.042,5
0.135,0.18,9
0.15,0.1875,9
0.15,0.2055,10
0.175,0.256,9
0.13,0.2045,8
0.19,0.5115,11
0.095,0.058,7
0.13,0.104,9
0.125,0.13,8
0.125,0.199,8
0.15,0.18,8
0.17,0.2435,10
0.15,0.2225,9
0.17,0.2715,13
0.16,0.282,11
0.2,0.367,12
0.16,0.319,13
0.175,0.322,9
0.205,0.474,12
0.155,0.2285,8
0.115,0.112,7
0.165,0.207,8
0.17,0.3395,11
0.1,0.059,7
0.09,0.034,8
0.105,0.074,9
0.125,0.07,8
0.145,0.2235,10
0.155,0.1685,10
0.195,0.3855,11
0.115,0.1375,9
0.125,0.2075,10
0.145,0.182,11
0.18,0.315,8
0.065,0.026,5
0.1,0.0505,5
0.17,0.3525,10
0.125,0.1505,11
0.14,0.151,10
0.175,0.3025,21
0.19,0.281,13
0.175,0.271,18
0.1,0.058,8
0.205,0.4395,19
0.165,0.28,11
0.135,0.1395,14
0.11,0.082,12
0.155,0.235,11
0.145,0.225,15
0.12,0.122,12
0.19,0.278,17
0.115,0.0515,10
0.125,0.0865,12
0.105,0.038,8
0.185,0.1785,12
0.13,0.1355,13
0.115,0.082,11
0.125,0.1065,12
0.135,0.0905,16
0.16,0.332,18
0.11,0.059,9
0.055,0.0065,4
0.1,0.059,7
0.11,0.079,7
0.16,0.1515,10
0.18,0.274,10
0.175,0.2805,9
0.06,0.0005,4
0.07,0.019,4
0.085,0.026,6
0.11,0.092,8
0.125,0.1105,9
0.135,0.1215,9
0.13,0.1225,9
0.125,0.1715,9
0.14,0.1845,10
0.15,0.183,8
0.16,0.2145,9
0.155,0.288,12
0.09,0.0625,5
0.115,0.1145,8
0.14,0.1325,8
0.155,0.144,7
0.1,0.0835,6
0.13,0.134,9
0.14,0.1405,8
0.155,0.148,10
0.145,0.2145,10
0.175,0.3155,10
0.195,0.3615,11
0.17,0.318,11
0.17,0.394,10
0.135,0.142,9
0.19,0.377,10
0.1,0.061,6
0.11,0.076,8
0.12,0.2185,9
0.175,0.379,10
0.1,0.042,7
0.095,0.0485,6
0.1,0.0875,8
0.12,0.0905,8
0.14,0.1605,9
0.145,0.1955,10
0.175,0.1775,10
0.15,0.187,11
0.075,0.04,6
0.155,0.1895,14
0.155,0.261,9
0.225,0.4055,15
0.17,0.2385,15
0.1,0.056,7
0.135,0.1425,12
0.18,0.192,13
0.165,0.1975,12
0.08,0.045,5
0.195,0.38,11
0.205,0.4665,10
0.065,0.028,6
0.12,0.1345,8
0.165,0.302,8
0,0.0285,6
0.09,0.039,6
0.175,0.2265,8
0.19,0.285,11
0.11,0.1195,8
0.125,0.155,7
0.155,0.178,11
0.155,0.249,10
0.16,0.214,9
0.175,0.258,10
0.12,0.1365,8
0.08,0.056,6
0.085,0.0505,7
0.125,0.1095,7
0.155,0.2135,8
0.18,0.2695,9
0.16,0.3315,9
0.185,0.364,11
0.05,0.0225,4
0.17,0.2395,10
0.17,0.267,11
0.19,0.2385,10
0.19,0.2935,11
0.095,0.075,6
0.14,0.1045,8
0.1,0.068,8
