@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3,6,8-9'

@attribute Diameter numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.44,0.366,0.295,11
0.26,0.0775,0.0765,10
0.265,0.069,0.0695,8
0.255,0.08,0.063,9
0.2,0.0475,0.03,7
0.375,0.2185,0.155,12
0.405,0.2795,0.26,17
0.435,0.292,0.255,10
0.42,0.255,0.2885,11
0.405,0.2665,0.285,12
0.365,0.229,0.172,9
0.4,0.27,0.166,9
0.45,0.4735,0.265,10
0.475,0.4545,0.3095,9
0.52,0.629,0.345,10
0.505,0.4525,0.406,14
0.595,1.1465,0.897,17
0.14,0.0165,0.0135,6
0.175,0.025,0.021,5
0.18,0.031,0.02,4
0.23,0.065,0.0385,5
0.22,0.062,0.037,5
0.235,0.0585,0.0425,6
0.29,0.1045,0.067,6
0.315,0.157,0.09,6
0.355,0.225,0.1465,7
0.435,0.3735,0.2195,8
0.455,0.54,0.27,8
0.49,0.5265,0.295,9
0.475,0.4755,0.349,10
0.525,0.684,0.3745,10
0.46,0.6895,0.1825,9
0.13,0.012,0.0095,4
0.32,0.194,0.087,6
0.3,0.1255,0.1035,7
0.33,0.1545,0.12,7
0.33,0.1865,0.0975,7
0.33,0.16,0.102,6
0.41,0.434,0.19,9
0.415,0.43,0.205,8
0.455,0.4245,0.26,9
0.46,0.478,0.235,9
0.47,0.611,0.292,9
0.48,0.5635,0.281,8
0.48,0.528,0.305,10
0.525,0.629,0.34,8
0.56,0.885,0.4375,10
0.565,0.896,0.5,11
0.63,1.488,0.586,11
0.215,0.044,0.038,5
0.255,0.0925,0.055,6
0.275,0.11,0.0775,6
0.305,0.1135,0.0945,8
0.335,0.157,0.17,7
0.355,0.167,0.115,8
0.38,0.2945,0.1565,9
0.42,0.302,0.2065,9
0.41,0.2585,0.196,9
0.42,0.4725,0.192,10
0.42,0.3205,0.229,9
0.405,0.2965,0.2,9
0.425,0.3485,0.225,9
0.45,0.4215,0.225,8
0.44,0.347,0.202,10
0.435,0.383,0.275,9
0.46,0.5825,0.274,10
0.445,0.328,0.23,9
0.49,0.419,0.315,10
0.48,0.446,0.3,9
0.51,0.5715,0.39,10
0.495,0.497,0.315,12
0.51,0.556,0.345,11
0.53,0.63,0.3725,11
0.505,0.4375,0.3745,10
0.6,0.697,0.595,11
0.29,0.112,0.0815,7
0.315,0.2015,0.103,9
0.32,0.2435,0.1025,8
0.335,0.274,0.1065,7
0.39,0.2945,0.198,8
0.485,0.4535,0.2765,11
0.515,0.7035,0.415,10
0.5,0.702,0.3195,9
0.54,0.695,0.444,11
0.525,0.9165,0.461,12
0.555,0.73,0.595,11
0.285,0.1275,0.077,7
0.3,0.129,0.0955,8
0.335,0.181,0.1345,7
0.425,0.3265,0.2645,10
0.42,0.31,0.231,9
0.44,0.435,0.27,9
0.44,0.3595,0.215,9
0.45,0.3345,0.21,8
0.435,0.4,0.25,9
0.45,0.428,0.265,10
0.46,0.419,0.26,11
0.46,0.427,0.3,8
0.48,0.4735,0.24,8
0.465,0.436,0.26,9
0.49,0.5805,0.305,10
0.495,0.615,0.335,9
0.525,0.6635,0.353,11
0.52,0.711,0.3,11
0.54,0.74,0.465,11
0.565,0.7775,0.438,11
0.535,0.6805,0.512,15
0.525,0.631,0.435,7
0.63,1.3485,0.578,12
0.32,0.199,0.117,7
0.325,0.4005,0.211,8
0.345,0.207,0.1215,8
0.415,0.567,0.403,10
0.455,0.4805,0.29,9
0.495,0.5815,0.3185,9
0.475,0.4895,0.31,8
0.545,0.6075,0.4645,13
0.27,0.095,0.07,6
0.335,0.135,0.098,7
0.33,0.1515,0.11,7
0.415,0.285,0.245,10
0.405,0.2715,0.1875,9
0.45,0.3375,0.23,6
0.45,0.4035,0.225,9
0.485,0.425,0.335,12
0.51,0.7815,0.4675,12
0.49,0.6525,0.3385,11
0.515,0.5115,0.436,12
0.535,0.929,0.4395,10
0.325,0.159,0.095,7
0.365,0.268,0.1365,8
0.385,0.21,0.1535,10
0.19,0.04,0.025,5
0.215,0.072,0.033,5
0.255,0.072,0.057,8
0.295,0.14,0.082,7
0.305,0.165,0.0805,7
0.32,0.152,0.12,8
0.35,0.2075,0.135,8
0.38,0.3165,0.1955,7
0.35,0.2735,0.158,8
0.47,0.492,0.3375,10
0.57,0.735,0.6585,17
0.455,0.391,0.31,10
0.31,0.1305,0.115,8
0.2,0.0545,0.035,5
0.565,0.785,0.49,11
0.305,0.1395,0.095,5
0.5,0.4805,0.355,13
0.43,0.317,0.355,13
0.4,0.2345,0.35,6
0.375,0.2385,0.19,13
0.28,0.0815,0.08,7
0.435,0.422,0.33,15
0.465,0.3905,0.4,17
0.36,0.2105,0.165,10
0.46,0.4125,0.38,14
0.495,0.8005,0.53,14
0.465,0.506,0.295,13
0.405,0.3725,0.17,9
0.36,0.2825,0.17,8
0.49,0.422,0.285,11
0.345,0.1515,0.115,9
0.55,0.472,0.4,21
0.565,0.638,0.565,17
0.43,0.376,0.2515,16
0.47,0.4515,0.4,13
0.545,0.487,0.48,15
0.29,0.11,0.069,10
0.5,0.371,0.36,8
0.235,0.0415,0.04,11
0.515,0.54,0.555,16
0.5,0.5485,0.49,16
0.355,0.2025,0.145,13
0.38,0.2295,0.18,12
0.325,0.142,0.105,9
0.49,0.517,0.31,14
0.485,0.5915,0.38,18
0.4,0.2745,0.21,12
0.415,0.275,0.275,14
0.325,0.163,0.113,7
0.36,0.174,0.225,12
0.4,0.2015,0.25,15
0.255,0.0745,0.0525,6
0.46,0.48,0.325,11
0.35,0.2235,0.118,6
0.385,0.311,0.136,7
0.375,0.274,0.1485,7
0.415,0.394,0.202,7
0.445,0.41,0.2425,8
0.48,0.564,0.264,8
0.49,0.477,0.3185,9
0.5,0.6735,0.3775,12
0.32,0.1635,0.09,7
0.34,0.209,0.103,7
0.38,0.2935,0.15,8
0.395,0.2465,0.167,8
0.45,0.467,0.225,7
0.47,0.413,0.249,8
0.465,0.5415,0.265,8
0.475,0.543,0.2345,9
0.45,0.707,0.2505,7
0.47,0.5885,0.246,9
0.55,0.8735,0.5085,9
0.245,0.1005,0.053,6
0.255,0.078,0.058,7
0.3,0.1705,0.081,7
0.305,0.1145,0.085,7
0.38,0.2645,0.165,9
0.475,0.4625,0.275,10
0.475,0.452,0.265,10
0.52,0.6185,0.365,9
0.195,0.0285,0.021,4
0.27,0.12,0.056,8
0.285,0.119,0.0675,6
0.365,0.2365,0.123,7
0.4,0.4515,0.1985,9
0.45,0.539,0.307,10
0.515,0.8485,0.331,11
0.565,0.8465,0.3875,11
0.25,0.075,0.0455,6
0.4,0.2255,0.17,8
0.365,0.25,0.15,8
0.425,0.2695,0.21,8
0.45,0.393,0.2895,9
0.47,0.492,0.265,10
0.49,0.456,0.233,10
0.52,0.6,0.367,11
0.485,0.4785,0.355,10
0.55,0.938,0.44,11
0.475,0.409,0.322,9
0.47,0.4505,0.276,9
0.505,0.695,0.395,11
0.51,0.6345,0.364,12
0.52,0.557,0.385,11
0.17,0.019,0.017,4
0.4,0.2655,0.184,9
0.415,0.3355,0.1345,9
0.43,0.2635,0.221,8
0.325,0.1605,0.103,8
0.32,0.1215,0.094,7
0.405,0.436,0.1455,10
0.49,0.4625,0.3105,10
0.39,0.2215,0.185,9
0.36,0.188,0.19,10
0.425,0.2885,0.48,20
0.44,0.279,0.3,10
0.2,0.0565,0.035,7
0.44,0.404,0.29,11
0.335,0.1865,0.16,11
0.25,0.057,0.06,9
0.34,0.149,0.125,10
0.505,0.4835,0.4,12
0.485,0.4525,0.42,13
0.525,0.6265,0.395,14
0.55,0.694,0.44,13
0.52,0.58,0.37,12
0.485,0.5035,0.33,14
0.475,0.414,0.305,13
0.5,0.4905,0.345,14
0.45,0.3345,0.22,14
0.26,0.0745,0.0655,9
0.555,0.4715,0.52,19
0.285,0.105,0.07,8
0.255,0.0615,0.057,8
0.13,0.009,0.009,5
0.375,0.1955,0.1945,12
0.395,0.2145,0.2495,18
0.395,0.3325,0.185,9
0.48,0.4945,0.371,8
0.265,0.073,0.06,5
0.27,0.0915,0.063,6
0.35,0.21,0.131,8
0.39,0.2555,0.146,8
0.58,0.8045,0.4375,9
0.44,0.4165,0.23,8
0.44,0.3945,0.225,8
0.5,0.554,0.32,11
0.265,0.0775,0.056,6
0.355,0.1415,0.12,8
0.455,0.349,0.285,8
0.52,0.689,0.432,11
0.515,0.6025,0.325,10
0.46,0.423,0.365,10
0.49,0.7045,0.3045,11
0.5,0.643,0.37,9
0.525,0.95,0.4305,10
0.565,0.87,0.5675,13
0.32,0.1495,0.1,8
0.35,0.1905,0.1355,9
0.45,0.4675,0.217,9
0.49,0.4305,0.35,10
0.45,0.517,0.2935,10
0.31,0.2735,0.184,9
0.375,0.45,0.2475,9
0.5,0.694,0.3235,11
0.465,0.3345,0.2695,9
0.42,0.3285,0.2255,9
0.42,0.442,0.2875,13
0.48,0.5285,0.306,12
0.49,0.407,0.354,12
0.365,0.318,0.1325,8
0.385,0.2855,0.175,10
0.445,0.4225,0.24,9
0.54,0.5565,0.4285,11
0.535,0.6175,0.453,14
0.45,0.322,0.37,12
0.465,0.3575,0.19,14
0.395,0.285,0.285,19
0.4,0.191,0.17,9
0.41,0.274,0.25,12
0.225,0.048,0.05,9
0.225,0.071,0.045,9
0.47,0.292,0.35,16
0.27,0.0835,0.07,6
0.39,0.2415,0.26,19
0.41,0.2845,0.225,10
0.46,0.4335,0.33,13
0.35,0.1955,0.155,8
0.38,0.2745,0.18,12
0.55,0.7735,0.655,10
0.275,0.0745,0.07,10
0.175,0.0205,0.019,6
0.55,0.8225,0.515,11
0.575,1.0745,0.585,10
0.3,0.1655,0.082,6
0.315,0.199,0.097,8
0.33,0.1925,0.1025,7
0.135,0.011,0.01,4
0.31,0.181,0.083,6
0.39,0.293,0.1555,8
0.475,0.62,0.245,9
0.28,0.0865,0.0605,7
0.27,0.1005,0.0655,6
0.495,0.5805,0.355,9
0.485,0.5075,0.36,10
0.465,0.375,0.278,10
0.385,0.343,0.19,8
0.445,0.516,0.3,10
0.5,0.684,0.39,12
0.375,0.2275,0.1765,8
0.525,0.6205,0.657,11
0.55,0.727,0.445,11
0.25,0.0835,0.041,6
0.455,0.4255,0.2845,11
0.475,0.5255,0.308,9
0.485,0.531,0.296,10
