@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-7,9'

@attribute Length numeric
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Viscera_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.56,0.425,0.932,0.361,0.213,9
0.32,0.24,0.1735,0.076,0.0355,7
0.47,0.37,0.4665,0.2025,0.1015,10
0.745,0.585,1.966,0.8435,0.437,18
0.61,0.5,1.2715,0.4915,0.185,12
0.38,0.28,0.2735,0.115,0.061,6
0.575,0.45,0.925,0.342,0.197,12
0.58,0.45,1.071,0.3,0.206,14
0.43,0.325,0.3675,0.1355,0.0935,13
0.27,0.19,0.081,0.0265,0.0195,6
0.68,0.55,1.596,0.525,0.4075,21
0.57,0.405,0.9245,0.3445,0.2185,19
0.595,0.495,1.366,0.5065,0.219,13
0.625,0.525,1.352,0.4505,0.2445,13
0.37,0.28,0.2225,0.0805,0.051,7
0.46,0.36,0.4755,0.2105,0.105,8
0.355,0.28,0.2275,0.0935,0.0455,11
0.55,0.46,0.869,0.3155,0.1825,10
0.655,0.525,1.259,0.487,0.2215,20
0.42,0.33,0.352,0.1635,0.089,9
0.385,0.305,0.3315,0.1365,0.0745,7
0.38,0.3,0.3215,0.1545,0.075,9
0.52,0.415,0.8045,0.3325,0.1725,10
0.415,0.325,0.385,0.167,0.08,7
0.55,0.415,0.775,0.302,0.179,23
0.31,0.24,0.1455,0.0605,0.0315,7
0.545,0.44,0.7745,0.2985,0.1875,11
0.61,0.475,1.0385,0.4435,0.241,14
0.5,0.385,0.762,0.3795,0.161,14
0.44,0.355,0.435,0.159,0.105,16
0.58,0.46,1.017,0.3515,0.2,10
0.35,0.255,0.2145,0.1,0.0465,13
0.52,0.38,0.525,0.1775,0.115,11
0.5,0.355,0.528,0.2125,0.149,9
0.37,0.285,0.27,0.1125,0.0585,9
0.585,0.47,1.099,0.3975,0.2325,20
0.615,0.47,1.2985,0.5135,0.343,14
0.46,0.36,0.6105,0.1955,0.107,14
0.63,0.51,1.235,0.5115,0.349,11
0.4,0.305,0.2935,0.096,0.0675,9
0.31,0.24,0.2885,0.118,0.065,6
0.5,0.4,0.7715,0.37,0.16,8
0.525,0.425,0.872,0.4625,0.1725,9
0.59,0.455,1.09,0.5,0.2215,9
0.66,0.535,1.791,0.733,0.318,15
0.7,0.525,1.6015,0.707,0.365,10
0.73,0.57,2.0165,1.0685,0.418,10
0.205,0.15,0.04,0.02,0.011,4
0.23,0.18,0.064,0.0215,0.0135,5
0.28,0.21,0.106,0.0415,0.0265,5
0.45,0.35,0.468,0.2005,0.1065,8
0.46,0.345,0.4215,0.1895,0.102,6
0.465,0.34,0.486,0.231,0.1035,9
0.5,0.38,0.494,0.218,0.09,7
0.515,0.395,0.646,0.285,0.1365,9
0.57,0.435,0.8585,0.3905,0.196,8
0.615,0.5,1.327,0.6,0.3015,10
0.615,0.47,1.2,0.5085,0.32,8
0.645,0.49,1.251,0.5355,0.3345,9
0.65,0.5,1.4415,0.741,0.2955,9
0.355,0.285,0.2275,0.0955,0.0475,6
0.44,0.335,0.4215,0.173,0.0765,7
0.485,0.375,0.5535,0.266,0.112,8
0.585,0.435,0.6955,0.3085,0.129,8
0.595,0.46,0.852,0.4215,0.2255,9
0.615,0.475,1.103,0.4635,0.3095,10
0.65,0.49,1.122,0.545,0.228,9
0.19,0.14,0.0315,0.0125,0.005,3
0.45,0.335,0.3505,0.1615,0.0625,7
0.455,0.34,0.486,0.261,0.0655,8
0.525,0.385,0.607,0.2355,0.125,8
0.545,0.44,0.9475,0.366,0.239,8
0.6,0.51,1.285,0.6095,0.2745,9
0.625,0.49,1.205,0.5175,0.3105,10
0.325,0.24,0.1525,0.072,0.0645,6
0.52,0.395,0.77,0.424,0.142,7
0.645,0.49,1.1665,0.4935,0.3155,9
0.445,0.31,0.336,0.1555,0.09,7
0.51,0.4,0.5775,0.231,0.143,9
0.53,0.38,0.616,0.292,0.113,8
0.58,0.445,0.9525,0.4315,0.1945,11
0.62,0.475,0.9545,0.455,0.1865,9
0.63,0.48,1.2615,0.5505,0.277,10
0.63,0.53,1.2795,0.618,0.256,9
0.64,0.575,1.4585,0.625,0.266,11
0.65,0.52,1.676,0.693,0.44,15
0.67,0.525,1.527,0.5755,0.353,12
0.67,0.54,1.482,0.739,0.2925,10
0.685,0.505,1.533,0.667,0.4055,10
0.72,0.58,2.0885,0.9955,0.478,13
0.505,0.38,0.693,0.391,0.1195,8
0.535,0.4,0.775,0.368,0.208,8
0.75,0.615,2.2635,0.821,0.423,12
0.255,0.185,0.074,0.0305,0.0165,4
0.395,0.3,0.253,0.1155,0.05,6
0.435,0.335,0.3535,0.156,0.05,7
0.5,0.38,0.5285,0.226,0.123,8
0.59,0.47,0.974,0.453,0.236,8
0.655,0.49,1.204,0.5455,0.2615,9
0.68,0.52,1.494,0.615,0.3935,11
0.685,0.51,1.545,0.686,0.3775,10
0.425,0.31,0.3075,0.139,0.0745,7
0.575,0.48,0.9465,0.4355,0.2605,9
0.18,0.135,0.033,0.0145,0.007,5
0.55,0.44,0.765,0.33,0.2125,9
0.525,0.405,0.792,0.316,0.1455,13
0.45,0.355,0.3955,0.147,0.0765,9
0.49,0.38,0.539,0.229,0.1355,12
0.72,0.575,2.2695,0.8835,0.3985,16
0.585,0.46,1.0835,0.3745,0.326,14
0.57,0.495,1.0915,0.452,0.275,14
0.64,0.505,1.2355,0.4435,0.3105,14
0.64,0.525,1.3765,0.44,0.3075,16
0.57,0.455,0.96,0.387,0.2385,11
0.635,0.48,1.467,0.5825,0.303,15
0.435,0.35,0.459,0.197,0.1145,9
0.43,0.35,0.366,0.1705,0.0855,6
0.595,0.465,1.107,0.402,0.2415,12
0.52,0.425,0.7735,0.297,0.123,17
0.485,0.385,0.4775,0.2,0.0785,12
0.565,0.44,0.868,0.348,0.217,11
0.53,0.405,0.738,0.2845,0.17,9
0.66,0.525,1.67,0.6525,0.4875,11
0.62,0.485,1.166,0.483,0.238,13
0.345,0.265,0.163,0.0615,0.037,10
0.55,0.415,0.8095,0.2985,0.2015,12
0.635,0.48,1.3655,0.6255,0.2595,16
0.385,0.305,0.314,0.146,0.0555,10
0.51,0.34,0.7005,0.312,0.165,11
0.495,0.38,0.515,0.175,0.098,13
0.48,0.38,0.59,0.232,0.141,12
0.445,0.345,0.4075,0.1365,0.0645,11
0.61,0.48,1.097,0.4215,0.264,13
0.54,0.405,0.9715,0.3225,0.194,19
0.475,0.375,0.588,0.237,0.1715,10
0.46,0.35,0.44,0.19,0.1025,8
0.53,0.43,0.879,0.28,0.2165,10
0.34,0.25,0.1765,0.0785,0.0405,7
0.48,0.355,0.5785,0.25,0.106,8
0.43,0.335,0.378,0.188,0.0785,6
0.5,0.385,0.596,0.3015,0.104,8
0.525,0.44,0.7115,0.3205,0.159,7
0.615,0.505,1.403,0.6715,0.2925,8
0.64,0.48,1.1435,0.4915,0.2345,9
0.4,0.31,0.314,0.1545,0.0595,6
0.4,0.315,0.33,0.151,0.068,6
0.46,0.34,0.384,0.1795,0.068,8
0.495,0.37,0.594,0.28,0.11,7
0.575,0.475,0.895,0.3605,0.221,9
0.6,0.485,0.776,0.3545,0.1585,9
0.625,0.5,1.273,0.564,0.302,9
0.42,0.325,0.325,0.1245,0.0755,7
0.59,0.465,1.0425,0.4635,0.24,10
0.485,0.365,0.426,0.163,0.0965,8
0.525,0.405,0.657,0.2985,0.1505,10
0.545,0.41,0.654,0.2945,0.1315,10
0.63,0.49,1.217,0.5515,0.212,11
0.63,0.505,1.306,0.516,0.3305,9
0.78,0.6,2.548,1.1945,0.5745,11
0.5,0.395,0.7865,0.332,0.1815,8
0.625,0.48,1.223,0.565,0.2975,10
0.4,0.315,0.3225,0.143,0.0735,6
0.43,0.33,0.32,0.118,0.065,7
0.525,0.4,0.6055,0.2605,0.108,9
0.56,0.43,0.898,0.3895,0.2325,9
0.62,0.48,1.2555,0.527,0.374,11
0.625,0.495,1.177,0.5055,0.278,9
0.655,0.52,1.472,0.6275,0.27,13
0.675,0.54,1.5545,0.6645,0.278,12
0.695,0.535,1.361,0.5465,0.2815,10
0.68,0.52,1.543,0.7525,0.351,11
0.615,0.475,0.9525,0.3915,0.195,9
0.655,0.5,1.4155,0.508,0.314,18
0.49,0.385,0.656,0.2455,0.171,9
0.545,0.44,0.744,0.2875,0.204,15
0.45,0.36,0.447,0.203,0.082,12
0.455,0.375,0.458,0.1985,0.111,10
0.56,0.445,1.0285,0.4535,0.253,11
0.525,0.4,0.6955,0.2405,0.16,10
0.65,0.515,1.498,0.564,0.323,16
0.235,0.18,0.058,0.022,0.0145,6
0.525,0.4,0.6295,0.2555,0.144,11
0.555,0.44,1.016,0.4935,0.1855,10
0.295,0.22,0.1365,0.0575,0.0295,6
0.4,0.295,0.252,0.1105,0.0575,6
0.525,0.41,0.7745,0.416,0.163,7
0.6,0.465,1.262,0.6245,0.2455,10
0.455,0.35,0.5365,0.2855,0.0855,7
0.61,0.49,1.146,0.597,0.246,8
0.68,0.55,1.473,0.713,0.282,11
0.6,0.46,0.6655,0.285,0.149,11
0.69,0.535,1.826,0.797,0.409,11
0.63,0.515,1.336,0.553,0.3205,11
0.485,0.375,0.464,0.2015,0.09,8
0.55,0.435,0.741,0.348,0.1585,9
0.6,0.47,1.0105,0.423,0.219,9
0.67,0.525,1.4915,0.728,0.343,9
0.675,0.51,1.1965,0.475,0.304,11
0.715,0.565,1.79,0.844,0.3535,9
0.48,0.35,0.519,0.2365,0.1275,7
0.46,0.365,0.4495,0.1755,0.102,8
0.5,0.385,0.516,0.197,0.1305,8
0.695,0.53,1.51,0.664,0.4095,10
0.475,0.37,0.4895,0.2185,0.107,8
0.585,0.475,1.053,0.458,0.217,11
0.55,0.43,0.8395,0.3155,0.1955,10
