@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.585,9
F,0.58,9
F,0.57,9
I,0.5,9
M,0.575,9
M,0.575,9
I,0.585,9
I,0.44,9
F,0.6,9
I,0.57,9
F,0.505,9
M,0.58,9
F,0.65,9
I,0.5,9
F,0.62,9
M,0.58,9
M,0.505,9
F,0.64,9
M,0.59,9
F,0.6,9
F,0.655,9
I,0.48,9
I,0.465,9
F,0.635,9
I,0.61,9
M,0.46,9
F,0.59,9
I,0.5,9
F,0.53,9
F,0.615,9
M,0.595,9
F,0.57,9
I,0.53,9
I,0.42,9
I,0.555,9
I,0.53,9
M,0.605,9
F,0.545,9
F,0.645,9
M,0.56,9
I,0.405,9
F,0.595,9
M,0.685,9
I,0.455,9
I,0.43,9
M,0.53,9
M,0.595,9
F,0.52,9
M,0.58,9
F,0.725,9
I,0.515,9
M,0.585,9
M,0.645,9
I,0.605,9
F,0.44,9
M,0.585,9
M,0.425,9
I,0.36,9
M,0.61,9
F,0.545,9
I,0.455,9
M,0.7,9
F,0.55,9
I,0.465,9
M,0.43,9
M,0.56,9
I,0.52,9
F,0.62,9
F,0.605,9
M,0.61,9
I,0.555,9
F,0.635,9
M,0.51,9
F,0.575,9
M,0.61,9
F,0.605,9
F,0.585,9
M,0.625,9
M,0.565,9
F,0.645,9
M,0.645,9
I,0.41,9
M,0.655,9
F,0.55,9
I,0.335,9
M,0.61,9
M,0.47,9
F,0.72,9
M,0.545,9
M,0.44,9
I,0.51,9
I,0.53,9
I,0.46,9
M,0.525,9
M,0.66,9
M,0.61,9
I,0.54,9
M,0.595,9
M,0.615,9
M,0.605,9
M,0.63,9
I,0.485,9
M,0.5,9
M,0.67,9
F,0.47,9
M,0.57,9
F,0.615,9
M,0.65,9
M,0.59,9
M,0.725,9
I,0.515,9
M,0.575,9
F,0.405,9
F,0.555,9
I,0.525,9
M,0.645,9
M,0.425,9
M,0.62,9
I,0.575,9
I,0.54,9
F,0.625,9
M,0.59,9
M,0.585,9
M,0.515,9
F,0.545,9
F,0.525,9
I,0.5,9
F,0.65,9
F,0.58,9
M,0.595,9
I,0.6,9
F,0.575,9
M,0.45,9
I,0.455,9
F,0.545,9
F,0.64,9
F,0.49,9
F,0.56,9
M,0.44,9
I,0.44,9
M,0.625,9
F,0.62,9
F,0.605,9
M,0.65,9
F,0.585,9
F,0.64,9
M,0.615,9
I,0.53,9
M,0.5,9
F,0.595,9
F,0.51,9
F,0.49,9
I,0.475,9
F,0.56,9
M,0.605,9
F,0.605,9
I,0.535,9
M,0.5,9
F,0.555,9
F,0.67,9
I,0.42,9
M,0.575,9
F,0.475,9
I,0.455,9
M,0.65,9
M,0.63,9
M,0.63,9
F,0.67,9
F,0.645,9
M,0.5,9
F,0.56,9
M,0.615,9
I,0.555,9
I,0.56,9
F,0.53,9
I,0.58,9
M,0.385,9
I,0.53,9
F,0.655,9
M,0.44,9
M,0.61,9
I,0.485,9
F,0.625,9
I,0.475,9
M,0.625,9
F,0.57,9
F,0.55,9
M,0.355,9
F,0.66,9
I,0.54,9
M,0.515,9
M,0.385,9
F,0.565,9
I,0.53,9
F,0.56,9
M,0.525,9
I,0.52,9
F,0.625,9
M,0.57,9
I,0.565,9
F,0.37,9
I,0.545,9
F,0.45,9
M,0.425,9
I,0.48,9
I,0.56,9
F,0.605,9
F,0.69,9
M,0.575,9
F,0.56,9
M,0.505,9
M,0.59,9
F,0.615,9
F,0.635,9
M,0.67,9
F,0.445,9
M,0.605,9
F,0.51,9
M,0.425,9
M,0.505,9
F,0.555,9
M,0.525,9
M,0.5,9
F,0.565,9
M,0.535,9
F,0.495,9
I,0.575,9
F,0.54,9
M,0.61,9
M,0.615,9
M,0.62,9
I,0.53,9
M,0.63,9
M,0.485,9
M,0.67,9
F,0.595,9
I,0.54,9
I,0.445,9
M,0.345,9
F,0.55,9
I,0.56,9
I,0.53,9
F,0.56,9
M,0.65,9
M,0.62,9
F,0.64,9
F,0.635,9
M,0.625,9
F,0.645,9
I,0.44,9
F,0.635,9
F,0.575,9
M,0.6,9
I,0.575,9
M,0.525,9
F,0.56,9
F,0.625,9
I,0.56,9
M,0.58,9
M,0.6,9
I,0.62,9
I,0.53,9
I,0.58,9
F,0.575,9
M,0.53,9
M,0.575,9
M,0.39,9
I,0.485,9
M,0.54,9
M,0.645,9
F,0.54,9
M,0.595,9
M,0.58,9
F,0.505,9
I,0.535,9
I,0.5,9
M,0.575,9
M,0.555,9
M,0.6,9
F,0.55,9
M,0.555,9
M,0.53,9
I,0.365,9
M,0.47,9
M,0.565,9
I,0.49,9
I,0.545,9
F,0.675,9
M,0.625,9
F,0.55,9
I,0.5,9
I,0.435,9
F,0.45,9
M,0.555,9
F,0.64,9
M,0.62,9
M,0.645,9
M,0.54,9
M,0.645,9
I,0.525,9
I,0.59,9
M,0.475,9
I,0.525,9
M,0.625,9
M,0.515,9
F,0.65,9
F,0.615,9
M,0.59,9
M,0.575,9
F,0.55,9
M,0.5,9
I,0.515,9
M,0.46,9
F,0.585,9
F,0.565,9
I,0.28,9
M,0.5,9
F,0.585,9
I,0.48,9
M,0.57,9
I,0.385,9
M,0.465,9
F,0.625,9
I,0.535,9
F,0.57,9
M,0.495,9
M,0.66,9
F,0.65,9
M,0.55,9
F,0.38,9
M,0.515,9
F,0.62,9
I,0.365,9
F,0.7,9
M,0.57,9
I,0.465,9
I,0.475,9
M,0.625,9
F,0.485,9
I,0.54,9
M,0.525,9
F,0.33,9
M,0.725,9
I,0.53,9
M,0.51,9
F,0.595,9
F,0.625,9
M,0.455,9
I,0.485,9
M,0.585,9
I,0.29,9
I,0.55,9
F,0.595,9
M,0.6,9
M,0.505,9
F,0.625,9
M,0.58,9
M,0.57,9
I,0.42,9
F,0.62,9
M,0.465,9
F,0.445,9
I,0.54,9
F,0.63,9
I,0.57,9
I,0.44,9
M,0.38,9
I,0.535,9
M,0.65,9
I,0.59,9
F,0.545,9
F,0.43,9
F,0.62,9
F,0.665,9
I,0.455,9
I,0.4,9
M,0.59,9
F,0.605,9
M,0.59,9
I,0.59,10
F,0.635,10
M,0.485,10
I,0.55,10
F,0.625,10
M,0.625,10
F,0.49,10
I,0.38,10
F,0.71,10
F,0.65,10
F,0.44,10
I,0.58,10
M,0.58,10
M,0.61,10
M,0.585,10
F,0.67,10
F,0.6,10
M,0.36,10
F,0.615,10
M,0.615,10
M,0.63,10
F,0.57,10
F,0.605,10
I,0.62,10
M,0.66,10
M,0.705,10
M,0.61,10
M,0.625,10
M,0.55,10
F,0.485,10
F,0.695,10
F,0.345,10
M,0.625,10
M,0.545,10
F,0.66,10
F,0.41,10
M,0.6,10
F,0.38,10
F,0.48,10
M,0.58,10
M,0.635,10
F,0.42,10
F,0.665,10
M,0.67,10
M,0.59,10
M,0.53,10
M,0.33,10
F,0.35,10
F,0.58,10
M,0.34,10
I,0.605,10
F,0.625,10
I,0.54,10
I,0.53,10
F,0.49,10
M,0.6,10
M,0.685,10
M,0.565,10
M,0.375,10
F,0.4,10
F,0.66,10
M,0.585,10
I,0.55,10
M,0.615,10
M,0.55,10
M,0.755,10
M,0.595,10
M,0.66,10
M,0.595,10
I,0.36,10
M,0.59,10
M,0.66,10
F,0.645,10
F,0.72,10
F,0.58,10
M,0.64,10
M,0.47,10
M,0.575,10
M,0.585,10
M,0.51,10
F,0.655,10
M,0.69,10
F,0.615,10
I,0.395,10
M,0.525,10
M,0.465,10
F,0.71,10
M,0.485,10
M,0.67,10
F,0.675,10
F,0.645,10
F,0.555,10
F,0.46,10
F,0.625,10
F,0.665,10
F,0.6,10
M,0.645,10
F,0.575,10
F,0.63,10
F,0.655,10
F,0.54,10
M,0.54,10
F,0.64,10
M,0.485,10
F,0.6,10
F,0.58,10
F,0.62,10
M,0.55,10
M,0.67,10
M,0.685,10
I,0.475,10
M,0.54,10
M,0.625,10
M,0.61,10
F,0.515,10
M,0.72,10
F,0.38,10
I,0.4,10
M,0.685,10
I,0.575,10
I,0.55,10
I,0.54,10
M,0.54,10
F,0.535,10
F,0.615,10
I,0.52,10
M,0.61,10
M,0.555,10
M,0.605,10
F,0.475,10
F,0.695,10
F,0.615,10
F,0.42,10
F,0.47,10
M,0.575,10
I,0.59,10
I,0.35,10
M,0.595,10
M,0.66,10
F,0.395,10
I,0.54,10
I,0.57,10
M,0.55,10
F,0.6,10
F,0.63,10
M,0.67,10
M,0.29,10
M,0.645,10
I,0.55,10
F,0.63,10
M,0.595,10
F,0.62,10
M,0.695,10
F,0.73,10
F,0.675,10
M,0.53,10
M,0.62,10
M,0.595,10
F,0.47,10
M,0.57,10
F,0.37,10
M,0.68,10
F,0.63,10
I,0.65,10
M,0.4,10
M,0.505,10
M,0.615,10
F,0.455,10
I,0.49,10
M,0.635,10
M,0.55,10
I,0.355,10
I,0.475,10
F,0.625,10
F,0.535,10
M,0.63,10
F,0.625,10
F,0.535,10
I,0.515,10
F,0.455,10
F,0.65,10
M,0.58,10
F,0.625,10
M,0.34,10
F,0.545,10
I,0.605,10
F,0.63,10
M,0.555,10
M,0.7,10
M,0.57,10
F,0.705,10
M,0.615,10
M,0.45,10
M,0.535,10
M,0.615,10
M,0.715,10
M,0.6,10
M,0.475,10
F,0.525,10
M,0.665,10
F,0.5,10
M,0.66,10
M,0.59,10
I,0.52,10
I,0.495,10
F,0.44,10
F,0.52,10
M,0.545,10
I,0.545,10
F,0.68,10
F,0.585,10
F,0.595,10
M,0.57,10
F,0.605,10
M,0.64,10
M,0.64,10
I,0.535,10
M,0.56,10
F,0.5,10
F,0.505,10
M,0.55,10
F,0.65,10
M,0.62,10
F,0.61,10
M,0.63,10
M,0.46,10
M,0.63,10
F,0.66,10
F,0.4,10
M,0.59,10
M,0.635,10
F,0.65,10
F,0.54,10
M,0.675,10
M,0.635,10
M,0.61,10
F,0.72,10
M,0.655,10
M,0.585,10
M,0.635,10
M,0.515,10
M,0.62,10
F,0.705,10
F,0.575,10
M,0.66,10
F,0.63,10
F,0.525,10
F,0.545,10
M,0.575,10
I,0.53,10
M,0.7,10
F,0.415,10
M,0.58,10
M,0.615,10
M,0.535,10
I,0.55,10
M,0.61,10
M,0.65,10
M,0.66,10
F,0.655,10
M,0.575,10
F,0.545,10
F,0.69,10
M,0.69,10
F,0.67,10
M,0.57,10
F,0.6,10
I,0.485,10
M,0.37,10
I,0.52,10
F,0.585,10
M,0.345,10
F,0.635,10
M,0.595,10
M,0.46,10
M,0.475,10
F,0.47,10
F,0.65,10
M,0.625,10
M,0.66,10
F,0.625,10
F,0.605,10
F,0.635,10
M,0.61,10
F,0.505,10
I,0.565,10
M,0.6,10
F,0.665,10
F,0.66,10
M,0.575,10
F,0.565,10
M,0.715,10
F,0.67,10
M,0.575,10
F,0.625,10
I,0.725,10
F,0.47,10
I,0.47,10
M,0.56,10
I,0.575,10
M,0.415,10
F,0.645,10
M,0.54,10
M,0.465,10
I,0.575,10
I,0.56,10
F,0.545,10
F,0.55,10
F,0.58,10
F,0.62,10
F,0.615,10
I,0.55,10
F,0.615,10
M,0.695,10
F,0.595,10
M,0.445,10
I,0.425,10
M,0.645,10
M,0.61,10
F,0.385,10
I,0.515,10
M,0.585,10
M,0.62,10
M,0.62,10
F,0.64,10
M,0.555,10
F,0.635,10
F,0.56,10
F,0.52,10
M,0.35,10
F,0.41,10
M,0.615,10
F,0.55,10
M,0.6,10
F,0.62,10
F,0.425,10
M,0.515,10
M,0.57,10
M,0.62,10
M,0.35,10
F,0.645,10
M,0.625,10
M,0.735,10
M,0.59,10
F,0.595,10
I,0.575,10
M,0.635,10
M,0.6,10
F,0.375,10
I,0.585,10
M,0.66,10
M,0.5,10
M,0.525,10
F,0.57,10
I,0.54,10
M,0.655,10
F,0.72,10
M,0.6,10
M,0.605,10
M,0.66,10
F,0.475,10
M,0.45,10
M,0.7,10
M,0.45,10
F,0.56,10
M,0.585,10
I,0.575,10
M,0.585,10
M,0.625,10
F,0.53,10
M,0.37,10
M,0.53,10
F,0.49,10
M,0.62,10
F,0.635,10
M,0.64,10
M,0.7,10
M,0.63,10
F,0.53,10
M,0.57,10
M,0.465,10
I,0.575,10
M,0.425,10
M,0.635,10
I,0.595,10
M,0.53,10
I,0.61,10
I,0.47,10
M,0.46,10
M,0.44,10
M,0.625,10
M,0.52,10
M,0.655,10
I,0.455,10
F,0.565,10
M,0.595,10
F,0.595,10
M,0.56,10
F,0.545,10
I,0.63,10
I,0.555,10
F,0.59,10
F,0.515,10
M,0.715,10
M,0.44,10
M,0.715,10
M,0.685,10
M,0.53,10
M,0.645,10
F,0.66,10
F,0.58,10
M,0.625,10
I,0.545,10
I,0.515,10
M,0.59,10
M,0.605,10
M,0.705,10
I,0.52,10
F,0.665,10
F,0.645,10
F,0.515,10
F,0.6,10
F,0.655,10
I,0.465,10
M,0.64,10
I,0.545,10
M,0.605,10
M,0.58,10
M,0.56,10
M,0.65,10
M,0.595,10
F,0.695,10
F,0.615,10
M,0.65,10
M,0.515,10
F,0.62,10
F,0.55,10
M,0.585,10
M,0.485,10
M,0.62,10
I,0.47,10
F,0.575,10
M,0.625,10
F,0.6,10
F,0.72,10
F,0.645,10
M,0.64,10
M,0.685,10
F,0.595,10
M,0.605,10
I,0.58,10
F,0.455,10
F,0.645,10
M,0.51,10
I,0.56,10
F,0.465,10
M,0.615,10
F,0.415,10
M,0.56,10
M,0.47,10
M,0.495,10
I,0.57,10
M,0.625,10
F,0.55,10
F,0.62,10
F,0.61,10
M,0.4,10
M,0.475,10
F,0.565,10
I,0.515,10
M,0.6,10
F,0.675,10
F,0.715,10
F,0.64,10
M,0.63,10
M,0.6,10
M,0.575,10
M,0.68,10
M,0.475,10
F,0.555,10
M,0.58,10
M,0.55,10
I,0.575,10
M,0.64,10
M,0.61,10
I,0.55,10
F,0.64,10
I,0.55,10
I,0.54,10
F,0.665,10
M,0.655,10
M,0.57,10
M,0.46,10
I,0.68,10
M,0.55,10
M,0.72,10
M,0.625,10
I,0.525,10
F,0.61,10
F,0.645,10
F,0.615,10
F,0.52,10
M,0.58,10
I,0.5,10
F,0.51,10
M,0.63,10
M,0.53,10
F,0.52,10
F,0.575,10
M,0.595,10
F,0.695,10
M,0.52,10
F,0.61,10
F,0.57,10
M,0.595,10
F,0.6,10
I,0.57,10
F,0.385,10
M,0.645,10
M,0.625,10
M,0.635,10
F,0.525,10
F,0.59,10
F,0.62,10
I,0.6,10
M,0.645,10
M,0.74,10
F,0.57,10
I,0.525,10
F,0.65,10
F,0.575,10
I,0.435,10
F,0.625,10
I,0.51,10
F,0.7,10
M,0.615,10
F,0.705,10
F,0.63,10
F,0.495,10
F,0.575,10
I,0.64,10
M,0.615,10
M,0.64,10
M,0.645,10
I,0.415,10
F,0.36,10
M,0.55,10
F,0.585,10
F,0.66,10
M,0.345,10
M,0.49,10
F,0.595,10
F,0.51,10
M,0.65,10
M,0.605,10
F,0.645,10
M,0.585,10
I,0.415,10
M,0.625,10
F,0.525,10
I,0.595,10
F,0.605,10
F,0.455,10
M,0.625,10
M,0.58,10
F,0.565,10
M,0.6,10
M,0.58,10
M,0.46,10
M,0.635,10
F,0.45,10
I,0.595,8
M,0.58,8
F,0.505,8
F,0.43,8
I,0.375,8
F,0.44,8
I,0.325,8
I,0.455,8
M,0.56,8
M,0.585,8
F,0.575,8
I,0.375,8
M,0.61,8
I,0.5,8
I,0.5,8
I,0.555,8
I,0.45,8
I,0.49,8
M,0.475,8
I,0.43,8
I,0.44,8
I,0.425,8
M,0.47,8
I,0.535,8
F,0.57,8
I,0.485,8
M,0.52,8
I,0.425,8
I,0.39,8
I,0.41,8
M,0.355,8
I,0.575,8
I,0.47,8
I,0.515,8
I,0.51,8
F,0.52,8
F,0.645,8
F,0.59,8
I,0.545,8
I,0.485,8
I,0.585,8
I,0.46,8
I,0.55,8
F,0.555,8
I,0.52,8
M,0.48,8
I,0.525,8
F,0.55,8
I,0.46,8
I,0.43,8
M,0.51,8
F,0.46,8
M,0.565,8
I,0.475,8
F,0.645,8
F,0.57,8
F,0.57,8
F,0.505,8
F,0.53,8
F,0.46,8
M,0.555,8
I,0.43,8
I,0.315,8
I,0.315,8
I,0.42,8
M,0.42,8
M,0.61,8
I,0.46,8
M,0.44,8
M,0.525,8
M,0.49,8
M,0.57,8
F,0.625,8
F,0.56,8
I,0.41,8
M,0.42,8
I,0.56,8
I,0.555,8
I,0.385,8
I,0.385,8
M,0.535,8
M,0.46,8
F,0.55,8
I,0.52,8
F,0.47,8
M,0.585,8
F,0.595,8
M,0.56,8
F,0.6,8
M,0.415,8
