@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,8-9'

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.575,2.012,0.471,12
I,0.315,0.3,0.1,8
M,0.325,0.4305,0.1155,8
M,0.43,0.7845,0.245,10
I,0.465,0.936,0.2435,9
M,0.465,0.885,0.274,10
F,0.455,0.8755,0.225,8
M,0.505,1.221,0.34,12
F,0.525,1.711,0.475,9
I,0.375,0.589,0.1405,8
M,0.405,0.818,0.189,7
F,0.425,0.782,0.1965,8
M,0.435,1.057,0.31,9
M,0.475,1.1255,0.26,10
M,0.475,1.3405,0.337,10
I,0.28,0.198,0.058,5
I,0.28,0.2145,0.072,7
I,0.315,0.3245,0.088,8
I,0.385,0.587,0.174,8
I,0.375,0.494,0.1545,8
I,0.375,0.614,0.161,8
I,0.4,0.597,0.16,8
M,0.405,0.8315,0.2525,10
M,0.46,1.049,0.305,10
M,0.5,1.142,0.345,9
M,0.45,1.34,0.3605,10
F,0.485,1.167,0.34,10
M,0.51,1.1885,0.348,7
F,0.51,1.3805,0.325,10
I,0.33,0.449,0.097,6
F,0.44,1.007,0.2925,9
F,0.43,1.5245,0.41,11
F,0.51,1.2235,0.354,9
F,0.525,1.3695,0.363,11
M,0.545,1.6135,0.3685,11
I,0.285,0.237,0.08,8
I,0.445,0.9175,0.24,9
F,0.495,1.089,0.384,11
M,0.5,1.154,0.387,9
F,0.485,1.1335,0.3015,11
F,0.555,1.666,0.455,11
I,0.17,0.057,0.016,5
M,0.395,0.5805,0.188,11
I,0.34,0.379,0.101,7
M,0.46,1.206,0.323,10
M,0.515,1.1735,0.316,11
M,0.505,1.532,0.3815,11
M,0.45,1.047,0.315,14
F,0.41,0.6765,0.22,9
I,0.195,0.102,0.034,8
M,0.515,1.3315,0.405,13
I,0.215,0.116,0.04,8
M,0.305,0.2775,0.1,9
I,0.35,0.375,0.115,9
M,0.535,1.383,0.485,14
M,0.435,0.906,0.295,13
I,0.375,0.533,0.185,8
F,0.35,0.4195,0.13,7
F,0.435,0.8775,0.29,13
M,0.45,0.81,0.22,11
F,0.57,1.522,0.405,13
F,0.575,1.555,0.52,15
M,0.2,0.099,0.03,5
M,0.2,0.084,0.03,7
F,0.37,0.5885,0.1595,15
M,0.32,0.3005,0.104,11
M,0.215,0.106,0.035,5
I,0.445,1.178,0.315,20
M,0.315,0.306,0.09,9
M,0.375,0.721,0.22,14
M,0.515,1.4605,0.41,19
M,0.46,1.0165,0.265,9
M,0.55,1.9045,0.5,13
I,0.27,0.219,0.065,6
I,0.3,0.279,0.075,8
F,0.44,0.8815,0.2155,8
F,0.47,1.0745,0.29,8
I,0.345,0.4015,0.109,6
M,0.505,1.469,0.38,9
M,0.52,1.492,0.355,11
M,0.525,1.6615,0.43,10
F,0.525,1.492,0.42,12
I,0.265,0.2775,0.08,9
I,0.435,0.4265,0.1205,8
I,0.35,0.498,0.14,7
I,0.425,0.8725,0.2425,10
F,0.47,1.0805,0.3205,9
F,0.48,1.043,0.31,10
M,0.495,1.304,0.371,14
M,0.46,0.9505,0.228,9
F,0.5,1.2645,0.315,9
M,0.53,1.5955,0.48,10
I,0.22,0.1195,0.035,5
I,0.335,0.4425,0.135,9
I,0.39,0.511,0.1745,9
I,0.425,0.781,0.215,9
F,0.44,0.964,0.2575,10
F,0.46,1.0455,0.3085,10
F,0.52,1.281,0.3825,10
M,0.525,1.4275,0.4355,13
F,0.54,1.46,0.4165,9
F,0.53,1.4985,0.425,9
M,0.55,1.4385,0.462,11
M,0.505,1.167,0.345,10
F,0.525,1.37,0.407,12
I,0.205,0.101,0.034,5
M,0.425,0.702,0.22,9
M,0.46,0.86,0.275,10
M,0.45,0.8275,0.2445,8
M,0.5,1.2425,0.335,10
F,0.51,1.129,0.342,10
F,0.56,1.4575,0.44,11
M,0.58,2.381,0.488,12
I,0.155,0.0495,0.014,3
M,0.37,0.655,0.185,10
I,0.235,0.1385,0.05,5
F,0.39,0.6355,0.195,15
F,0.34,0.3975,0.135,8
M,0.45,0.8615,0.365,16
M,0.355,0.478,0.155,10
I,0.105,0.0145,0.005,4
M,0.18,0.0635,0.02,4
M,0.42,0.8695,0.25,14
M,0.41,0.8005,0.25,13
M,0.51,1.5945,0.4505,10
M,0.6,2.003,0.5755,10
M,0.6,2.2385,0.621,12
F,0.465,1.011,0.255,8
M,0.48,1.181,0.225,10
F,0.525,1.382,0.37,9
F,0.58,1.658,0.4715,10
I,0.245,0.1445,0.0505,6
I,0.365,0.651,0.18,8
F,0.5,1.2565,0.35,10
M,0.51,1.403,0.4545,11
I,0.3,0.318,0.0935,6
M,0.45,0.7805,0.216,8
I,0.43,0.772,0.2615,8
M,0.51,1.218,0.3,11
M,0.45,0.997,0.251,11
F,0.495,1.2355,0.347,10
M,0.605,2.0505,0.355,11
F,0.45,0.887,0.249,11
