@relation page-blocks

@attribute Height numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute Mean_tr numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
8,1304,20.375,2.79,179,1
9,387,4.778,2.98,59,1
74,13542,2.473,127,58,1
9,234,2.889,2.35,34,1
11,319,2.636,3.1,42,1
10,220,2.2,6.5,20,1
5,180,7.2,1.52,25,1
9,2358,29.111,1.38,356,1
1,12,12,3.5,2,1
8,96,1.5,2.1,20,1
7,91,1.857,1.33,21,1
10,160,1.6,2.19,21,1
7,399,8.143,1.47,87,1
8,192,3,1.7,23,1
8,400,6.25,1.93,84,1
11,781,6.455,6.19,84,1
9,738,9.111,2.8,96,1
11,1111,9.182,2.68,137,1
11,2981,24.636,1.39,378,1
7,490,10,1.4,93,1
13,4186,24.769,4.62,340,1
9,1494,18.444,1.88,217,1
26,9828,14.538,3.46,650,1
7,189,3.857,1.44,34,1
5,40,1.6,1.55,11,1
9,171,2.111,8.62,13,1
7,217,4.429,1.51,45,1
9,2331,28.778,1.31,336,1
7,182,3.714,1.53,36,1
7,1225,25,1.21,188,1
7,231,4.714,2.23,40,1
8,144,2.25,2.16,32,1
4,80,5,1.41,22,1
10,4990,49.9,1.27,575,1
9,162,2,1.67,27,1
7,77,1.571,1.75,16,1
8,192,3,1.9,42,1
8,608,9.5,2.73,106,1
6,240,6.667,1.27,59,1
5,45,1.8,1.43,14,1
7,77,1.571,2,14,1
1,22,22,1.17,6,1
6,240,6.667,1.26,42,1
1,89,89,1.07,14,1
8,208,3.25,1.85,39,1
7,98,2,1.61,18,1
11,2992,24.727,1.47,348,1
5,135,5.4,1.71,21,1
13,390,2.308,3.23,43,1
6,42,1.167,1.75,12,1
7,238,4.857,1.36,50,1
7,91,1.857,6,12,1
25,8500,13.6,16.57,444,1
8,96,1.5,1.56,25,1
12,1416,9.833,1.99,189,1
25,3825,6.12,2.08,470,1
11,88,0.727,7.75,8,1
11,1067,8.818,2.04,139,1
9,2934,36.222,1.3,385,1
13,1079,6.385,3.5,115,1
1,22,22,2.6,5,1
1,27,27,4,4,1
8,640,10,1.48,85,1
6,624,17.333,1.32,111,1
13,6331,37.462,2.1,745,1
7,238,4.857,1.81,53,1
12,132,0.917,12.29,7,1
11,99,0.818,9.2,5,1
13,585,3.462,6.61,38,1
9,972,12,1.69,142,1
8,992,15.5,2.6,163,1
10,410,4.1,1.61,70,1
10,80,0.8,9.2,5,1
8,576,9,2.25,102,1
11,781,6.455,5.54,65,1
6,540,15,1.55,104,1
5,70,2.8,1.52,21,1
11,286,2.364,1.79,42,1
11,2871,23.727,1.93,361,1
8,144,2.25,2.38,13,1
13,5317,31.462,3.03,547,1
6,1956,54.333,1.29,323,1
14,5838,29.786,4.48,467,1
10,2710,27.1,1.47,318,1
3,12,1.333,11,1,1
8,128,2,2.68,19,1
8,256,4,1.4,42,1
6,576,16,2.44,73,1
5,490,19.6,2.14,78,1
8,616,9.625,1.47,97,1
9,2160,26.667,1.26,306,1
7,56,1.143,1.07,14,1
7,133,2.714,1.71,31,1
5,375,15,1.18,82,1
9,333,4.111,1.27,60,1
9,162,2,7,14,1
8,160,2.5,2.76,29,1
6,66,1.833,1.33,15,1
10,120,1.2,4.71,14,1
5,490,19.6,1.82,85,1
11,1771,14.636,3.05,191,1
8,24,0.375,2.75,4,1
9,135,1.667,1.6,15,1
6,156,4.333,2.36,28,1
8,368,5.75,2.23,48,1
11,1353,11.182,1.95,173,1
7,784,16,1.25,106,1
5,20,0.8,10,1,1
11,1815,15,3.38,190,1
17,1666,5.765,14.88,104,1
11,165,1.364,2.19,27,1
10,800,8,3.93,56,1
9,972,12,2.27,141,1
5,15,0.6,2.67,3,1
9,171,2.111,2.63,19,1
9,504,6.222,1.24,80,1
14,5628,28.714,4.75,473,1
13,1378,8.154,2.37,178,1
10,3300,33,1.44,518,1
8,112,1.75,2.04,23,1
9,108,1.333,1.69,26,1
9,657,8.111,2.55,77,1
5,140,5.6,1.77,26,1
14,2170,11.071,2.76,238,1
5,95,3.8,1.32,28,1
8,248,3.875,2.16,49,1
9,4680,57.778,1.37,276,1
10,5080,50.8,1.36,372,1
9,162,2,2.63,19,1
13,1755,10.385,5.5,157,1
7,203,4.143,1.4,52,1
8,208,3.25,1.79,43,1
11,220,1.818,8.47,15,1
7,266,5.429,1.55,53,1
7,210,4.286,1.54,48,1
4,96,6,2.04,27,1
15,1005,4.467,3.59,82,1
14,4760,24.286,4.6,356,1
8,120,1.875,2,26,1
7,56,1.143,1.78,9,1
8,112,1.75,2.56,18,1
7,98,2,1.45,22,1
22,1562,3.227,10.99,71,1
9,1521,18.778,2.3,220,1
8,208,3.25,2.5,20,1
10,160,1.6,2.08,26,1
9,162,2,7.13,15,1
8,32,0.5,2.71,7,1
7,1106,22.571,1.6,146,1
8,880,13.75,1.66,122,1
5,95,3.8,1.33,15,1
8,736,11.5,1.75,151,1
13,2938,17.385,3.12,243,1
7,210,4.286,1.43,44,1
12,1080,7.5,1.92,103,1
9,2142,26.444,1.26,285,1
17,357,1.235,16.63,8,1
10,490,4.9,2.97,86,1
8,400,6.25,2.3,44,1
9,162,2,2.78,23,1
10,90,0.9,1.72,18,1
6,90,2.5,2,12,1
9,1062,13.111,2.41,164,1
10,150,1.5,2.24,21,1
5,135,5.4,2.12,26,1
8,136,2.125,2.47,19,1
12,732,5.083,1.77,104,1
8,192,3,2.65,23,1
10,320,3.2,1.69,58,1
14,4872,24.857,1.56,526,1
14,70,0.357,6.2,5,1
8,96,1.5,1.8,20,1
3,21,2.333,13,1,1
13,2613,15.462,4.45,235,1
9,441,5.444,3.05,86,1
7,217,4.429,1.25,48,1
13,2964,17.538,3.02,235,1
11,99,0.818,9,6,1
1,74,74,1.08,13,1
8,1728,27,1.33,203,1
9,414,5.111,2.01,75,1
8,32,0.5,2.17,6,1
8,80,1.25,1.71,21,1
7,266,5.429,1.32,50,1
20,600,1.5,13.68,19,1
9,738,9.111,2,93,1
7,35,0.714,29,1,1
8,64,1,1.56,9,1
11,1034,8.545,2.18,122,1
16,192,0.75,7.21,14,1
11,924,7.636,1.74,155,1
17,6494,22.471,5.46,431,1
12,168,1.167,2.31,26,1
11,1771,14.636,2.71,217,1
9,108,1.333,1.85,26,1
7,637,13,1.46,71,1
8,96,1.5,2,20,1
9,1818,22.444,1.3,122,1
9,369,4.556,2.88,57,1
8,360,5.625,1.89,70,1
8,368,5.75,1.79,70,1
9,441,5.444,1.36,86,1
8,1240,19.375,2.78,202,1
9,180,2.222,1.68,28,1
9,972,12,1.73,125,1
9,1188,14.667,1.34,149,1
8,720,11.25,1.54,97,1
7,119,2.429,1.54,24,1
7,35,0.714,2.25,4,1
8,152,2.375,1.93,30,1
9,108,1.333,4.79,14,1
6,108,3,2.04,26,1
7,168,3.429,1.61,28,1
6,108,3,4.43,7,1
11,451,3.727,2.92,52,1
7,77,1.571,1.56,18,1
10,980,9.8,2.74,160,1
10,5110,51.1,1.28,534,1
6,600,16.667,1.71,120,1
9,153,1.889,2.13,24,1
9,1107,13.667,2.82,153,1
10,310,3.1,2.08,49,1
9,450,5.556,2.67,54,1
16,4944,19.313,5.38,351,1
8,872,13.625,1.39,125,1
7,70,1.429,1.5,14,1
9,999,12.333,1.49,126,1
17,1802,6.235,14.53,115,1
7,133,2.714,1.35,26,1
9,162,2,2.31,29,1
7,378,7.714,3.42,55,1
2,38,9.5,3.5,2,1
6,42,1.167,1.4,10,1
9,720,8.889,1.8,122,1
8,40,0.625,6.5,2,1
7,119,2.429,2.64,25,1
8,552,8.625,1.38,82,1
11,88,0.727,5.89,9,1
12,1176,8.167,2.23,129,1
11,946,7.818,1.91,140,1
4,40,2.5,3,4,1
9,306,3.778,1.56,63,1
9,855,10.556,2.1,116,1
12,3684,25.583,2.41,444,1
6,372,10.333,1.36,64,1
10,350,3.5,2.23,66,1
8,72,1.125,1.73,15,1
9,270,3.333,1.4,52,1
6,48,1.333,2.44,9,1
28,7868,10.036,4.72,530,1
16,3280,12.813,5.36,245,1
8,496,7.75,1.43,74,1
5,130,5.2,1.89,36,1
7,133,2.714,1.83,29,1
8,96,1.5,2.57,14,1
6,132,3.667,2.89,9,1
9,207,2.556,2.42,33,1
8,152,2.375,1.76,37,1
8,112,1.75,3.57,7,1
8,352,5.5,2.95,58,1
7,56,1.143,1.85,13,1
7,735,15,1.39,67,1
5,55,2.2,2.75,12,1
6,1122,31.167,1.26,168,1
11,121,1,5.5,10,1
7,63,1.286,2.2,10,1
8,152,2.375,1.97,31,1
5,470,18.8,1.91,77,1
5,60,2.4,1.38,21,1
33,5280,4.848,6.34,182,1
8,496,7.75,1.91,80,1
13,4199,24.846,2.4,449,1
26,4420,6.538,1.54,542,1
11,1837,15.182,2.86,238,1
10,250,2.5,1.89,45,1
7,126,2.571,1.57,23,1
9,2079,25.667,1.49,274,1
8,40,0.625,3.5,4,1
24,8088,14.042,18.29,418,1
9,2088,25.778,1.76,326,1
7,126,2.571,2.14,7,1
8,128,2,2.54,26,1
9,324,4,2.93,56,1
13,6474,38.308,2.28,799,1
14,798,4.071,11.88,48,1
8,296,4.625,1.86,42,1
5,195,7.8,3.54,24,1
10,990,9.9,2.64,166,1
8,824,12.875,2.71,129,1
6,684,19,1.76,108,1
8,1256,19.625,2.55,220,1
24,6720,11.667,7.76,389,1
15,165,0.733,10.38,8,1
8,272,4.25,1.84,56,1
41,2747,1.634,33.67,36,1
7,105,2.143,1.64,22,1
8,1712,26.75,2.9,248,1
7,217,4.429,2.31,39,1
8,184,2.875,2,32,1
7,42,0.857,1.9,10,1
8,360,5.625,9.32,19,1
6,120,3.333,1.38,32,1
8,152,2.375,3,22,1
7,70,1.429,2.08,13,1
11,2871,23.727,1.75,381,1
7,49,1,2,8,1
9,198,2.444,1.61,28,1
11,1925,15.909,1.98,205,1
9,774,9.556,2.22,105,1
9,288,3.556,1.7,60,1
10,230,2.3,2.22,36,1
8,560,8.75,1.68,93,1
9,684,8.444,2.2,118,1
10,2710,27.1,1.37,380,1
24,6720,11.667,7.66,400,1
7,245,5,2.2,55,1
7,35,0.714,1.13,8,1
7,1183,24.143,1.28,154,1
8,1728,27,3.18,222,1
8,80,1.25,3.22,9,1
8,544,8.5,1.91,96,1
6,426,11.833,1.57,89,1
7,287,5.857,1.58,62,1
8,664,10.375,2.58,104,1
8,256,4,1.8,50,1
14,2842,14.5,4.36,236,1
6,234,6.5,2.1,52,1
10,330,3.3,1.83,53,1
8,112,1.75,3,10,1
9,369,4.556,3.28,57,1
8,72,1.125,1.93,15,1
8,208,3.25,1.37,38,1
10,1160,11.6,1.6,178,1
9,324,4,2.82,61,1
9,180,2.222,1.51,35,1
6,192,5.333,1.67,42,1
7,266,5.429,1.4,43,1
9,891,11,2.52,164,1
6,222,6.167,2.23,39,1
9,108,1.333,1.64,28,1
7,217,4.429,1.58,43,1
9,180,2.222,1.74,35,1
7,147,3,1.48,31,1
8,32,0.5,8,1,1
7,245,5,1.55,49,1
9,333,4.111,2.05,62,1
8,824,12.875,1.17,100,1
9,333,4.111,3.49,57,1
10,1260,12.6,3.16,185,1
7,77,1.571,1.36,14,1
7,259,5.286,1.34,47,1
1,9,9,9,1,1
16,1792,7,2.72,201,1
6,606,16.833,1.98,120,1
11,1056,8.727,4.32,81,1
10,180,1.8,2.5,22,1
7,875,17.857,1.4,168,1
25,4675,7.48,7.42,306,1
14,154,0.786,8.1,10,1
4,16,1,8,1,1
9,801,9.889,2.18,110,1
11,352,2.909,2.27,52,1
5,140,5.6,1.39,31,1
11,2563,21.182,1.8,349,1
8,1056,16.5,2.1,181,1
6,168,4.667,1.47,17,1
8,1128,17.625,2.45,206,1
6,102,2.833,1.15,26,1
5,30,1.2,1.63,8,1
11,1133,9.364,1.44,123,1
7,245,5,1.21,38,1
11,1111,9.182,1.71,164,1
8,4088,63.875,1.31,261,1
11,2992,24.727,1.82,428,1
16,6288,24.563,5.13,418,1
7,294,6,1.33,52,1
7,140,2.857,2.71,24,1
8,248,3.875,1.45,51,1
7,91,1.857,1.63,16,1
6,276,7.667,2.12,41,1
5,25,1,10,1,1
5,35,1.4,2.11,9,1
11,121,1,4.73,11,1
8,232,3.625,1.93,41,1
9,3087,38.111,1.24,401,1
11,132,1.091,4.38,13,1
1,40,40,1.07,15,1
7,154,3.143,1.6,15,1
7,112,2.286,1.56,18,1
10,2720,27.2,1.49,348,1
27,7209,9.889,4.36,599,1
4,76,4.75,1.78,18,1
8,176,2.75,2.6,20,1
6,102,2.833,2,14,1
10,380,3.8,1.48,50,1
7,189,3.857,2.58,12,1
10,830,8.3,2.02,121,1
8,48,0.75,1.88,8,1
8,104,1.625,1.96,24,1
12,804,5.583,2.84,99,1
9,387,4.778,1.68,63,1
10,260,2.6,2.2,35,1
10,1570,15.7,1.65,222,1
11,737,6.091,2.96,67,1
8,128,2,1.52,29,1
7,126,2.571,1.36,28,1
7,119,2.429,1.82,17,1
7,1351,27.571,1.37,203,1
10,1250,12.5,1.39,170,1
7,49,1,1.71,7,1
10,2710,27.1,1.29,351,1
6,810,22.5,1.37,124,1
9,1161,14.333,1.41,139,1
7,147,3,1.35,31,1
11,253,2.091,8.22,18,1
9,684,8.444,2.18,114,1
8,608,9.5,1.88,75,1
9,909,11.222,1.71,136,1
10,670,6.7,2.17,90,1
7,1491,30.429,1.25,237,1
9,306,3.778,2.06,53,1
8,176,2.75,1.78,37,1
5,135,5.4,3.08,13,1
16,704,2.75,2.39,111,1
9,2412,29.778,6.3,178,1
9,351,4.333,1.49,61,1
7,357,7.286,1.35,75,1
5,30,1.2,3.67,3,1
8,560,8.75,1.66,115,1
10,480,4.8,2.37,67,1
6,534,14.833,1.61,99,1
6,576,16,1.61,71,1
7,84,1.714,1.75,12,1
9,1656,20.444,1.46,242,1
12,1548,10.75,2.51,187,1
11,242,2,1.86,36,1
7,672,13.714,1.54,118,1
8,72,1.125,1.86,14,1
10,2720,27.2,1.98,319,1
5,70,2.8,2.28,18,1
11,286,2.364,2.02,42,1
25,7350,11.76,7.72,448,1
6,24,0.667,4,4,1
7,1064,21.714,1.27,179,1
8,1216,19,2,164,1
8,872,13.625,1.25,76,1
5,35,1.4,3.83,6,1
12,1404,9.75,1.6,176,1
10,980,9.8,2.1,175,1
8,1720,26.875,2.94,243,1
19,2470,6.842,1.93,267,1
8,384,6,2.03,75,1
6,84,2.333,3.07,14,1
12,828,5.75,3.48,95,1
7,399,8.143,2.7,61,1
7,595,12.143,1.3,88,1
24,2880,5,21.36,125,1
12,1260,8.75,2.91,160,1
8,136,2.125,2,24,1
12,5964,41.417,2.44,658,1
77,19789,3.338,72.47,127,1
10,380,3.8,1.37,52,1
9,891,11,1.92,177,1
9,3069,37.889,1.35,165,1
9,1575,19.444,1.26,222,1
1,7,7,7,1,1
7,91,1.857,2.25,8,1
9,171,2.111,2.31,29,1
9,1125,13.889,1.69,140,1
11,220,1.818,8.93,14,1
8,40,0.625,2.38,8,1
9,387,4.778,3.15,59,1
8,64,1,2.33,12,1
1,47,47,1.14,14,1
7,28,0.571,2.2,5,1
10,430,4.3,1.8,61,1
9,4590,56.667,1.28,533,1
15,915,4.067,1.87,121,1
8,56,0.875,2.67,9,1
11,3311,27.364,2.22,458,1
8,216,3.375,2.14,44,1
7,245,5,1.32,50,1
5,60,2.4,3,12,1
22,1562,3.227,10.13,75,1
14,476,2.429,3.09,43,1
10,280,2.8,2.13,45,1
9,423,5.222,1.53,77,1
8,64,1,2.54,13,1
8,144,2.25,2.17,24,1
24,11232,19.5,7.69,689,1
8,56,0.875,2.1,10,1
8,368,5.75,1.85,78,1
5,475,19,1.73,70,1
23,3151,5.957,16.64,162,1
8,1536,24,1.57,203,1
38,15580,10.789,2.4,1651,1
10,800,8,2.02,122,1
6,60,1.667,1.5,16,1
10,130,1.3,1.76,17,1
9,1755,21.667,1.53,144,1
8,552,8.625,1.91,90,1
10,540,5.4,3.14,65,1
10,1890,18.9,2.34,213,1
9,288,3.556,1.79,53,1
9,1098,13.556,2.57,145,1
7,266,5.429,1.55,58,1
9,774,9.556,2.13,109,1
13,2834,16.769,1.78,344,1
10,410,4.1,2.15,68,1
11,121,1,2.24,21,1
9,1458,18,2.69,138,1
8,112,1.75,3,19,1
7,2422,49.429,1.17,329,1
