@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,11'

@attribute Height numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
10,190,1.9,1
10,70,0.7,1
5,35,1.4,1
8,608,9.5,1
10,320,3.2,1
7,56,1.143,1
7,49,1,1
7,14,0.286,1
10,720,7.2,1
10,1500,15,1
9,126,1.556,1
10,230,2.3,1
4,40,2.5,1
7,140,2.857,1
10,1450,14.5,1
6,54,1.5,1
9,378,4.667,1
8,256,4,1
9,360,4.444,1
11,1199,9.909,1
8,320,5,1
10,570,5.7,1
7,140,2.857,1
5,10,0.4,1
6,156,4.333,1
8,72,1.125,1
8,360,5.625,1
10,160,1.6,1
10,740,7.4,1
8,240,3.75,1
10,200,2,1
10,350,3.5,1
11,704,5.818,1
10,330,3.3,1
7,35,0.714,1
5,70,2.8,1
6,72,2,1
5,100,4,1
8,48,0.75,1
8,96,1.5,1
7,140,2.857,1
6,60,1.667,1
7,287,5.857,1
8,144,2.25,1
8,104,1.625,1
9,36,0.444,1
11,2871,23.727,1
11,1925,15.909,1
8,400,6.25,1
7,126,2.571,1
8,264,4.125,1
9,378,4.667,1
8,40,0.625,1
8,120,1.875,1
8,56,0.875,1
11,2871,23.727,1
8,192,3,1
8,304,4.75,1
10,200,2,1
6,24,0.667,1
7,217,4.429,1
10,450,4.5,1
10,780,7.8,1
11,1232,10.182,1
10,250,2.5,1
8,192,3,1
7,252,5.143,1
8,344,5.375,1
86,5762,0.779,5
27,2862,3.926,1
24,6720,11.667,1
9,657,8.111,1
10,1840,18.4,1
7,91,1.857,1
8,1200,18.75,1
2,38,9.5,1
8,872,13.625,1
13,2938,17.385,1
7,700,14.286,1
7,441,9,1
6,24,0.667,1
9,963,11.889,1
6,486,13.5,1
8,1568,24.5,1
1,277,277,2
32,11200,10.938,5
9,4815,59.444,1
8,552,8.625,1
10,5350,53.5,1
8,1864,29.125,1
6,450,12.5,1
31,3255,3.387,5
7,707,14.429,1
8,1720,26.875,1
9,2250,27.778,1
9,4815,59.444,1
5,375,15,1
7,987,20.143,1
13,1794,10.615,1
25,7350,11.76,1
8,688,10.75,1
8,808,12.625,1
9,756,9.333,1
10,5110,51.1,1
8,120,1.875,1
28,1708,2.179,5
7,700,14.286,1
8,992,15.5,1
9,1332,16.444,1
9,4815,59.444,1
7,1526,31.143,1
9,1620,20,1
13,494,2.923,1
8,800,12.5,1
2,1076,269,2
9,4428,54.667,1
9,2556,31.556,1
7,1001,20.429,1
7,98,2,1
9,4392,54.222,1
6,78,2.167,1
6,78,2.167,1
9,1674,20.667,1
14,812,4.143,1
13,494,2.923,1
24,6720,11.667,1
25,7300,11.68,1
3,1500,166.67,2
6,186,5.167,1
7,980,20,1
9,2376,29.333,1
9,2790,34.444,1
9,918,11.333,1
7,784,16,1
2,1072,268,2
10,170,1.7,1
1,22,22,2
1,10,10,2
53,53,0.019,4
14,70,0.357,1
10,480,4.8,1
37,37,0.027,2
31,31,0.032,4
1,11,11,2
1,29,29,2
83,26062,3.783,5
1,18,18,2
10,2590,25.9,1
24,3000,5.208,1
14,5194,26.5,1
10,190,1.9,1
13,4186,24.769,1
26,4420,6.538,1
8,1240,19.375,1
11,11,0.091,4
25,4225,6.76,2
10,170,1.7,1
13,2613,15.462,1
1,28,28,2
178,24920,0.787,3
20,20,0.05,4
9,153,1.889,1
12,3984,27.667,1
31,31,0.032,4
10,1510,15.1,1
13,5629,33.308,1
11,682,5.636,1
11,1815,15,1
14,3976,20.286,1
9,1440,17.778,1
7,1071,21.857,1
9,1260,15.556,1
166,78352,2.843,3
9,171,2.111,1
11,264,2.182,1
16,5504,21.5,1
11,220,1.818,1
16,3280,12.813,1
7,560,11.429,1
3,12,1.333,1
11,1771,14.636,1
10,2560,25.6,1
11,242,2,1
12,264,1.833,1
11,3322,27.455,1
187,26367,0.754,3
23,2875,5.435,1
16,6016,23.5,1
12,120,0.833,1
8,832,13,1
8,1256,19.625,1
4,68,4.25,1
77,19789,3.338,1
17,323,1.118,1
9,1512,18.667,1
4,72,4.5,1
18,396,1.222,1
9,1449,17.889,1
9,828,10.222,1
8,1216,19,1
17,187,0.647,1
5,590,23.6,1
7,770,15.714,1
8,1664,26,1
5,460,18.4,1
8,1936,30.25,1
197,39006,1.005,5
7,469,9.571,1
9,522,6.444,1
10,3300,33,1
4,372,23.25,1
13,3692,21.846,1
10,2880,28.8,1
5,480,19.2,1
5,480,19.2,1
5,485,19.4,1
6,234,6.5,1
7,217,4.429,1
9,999,12.333,1
1,40,40,1
8,176,2.75,1
5,100,4,1
1,91,91,1
6,186,5.167,1
7,182,3.714,1
5,30,1.2,1
105,210,0.019,4
7,126,2.571,1
8,192,3,1
71,2414,0.479,1
5,75,3,1
8,312,4.875,1
5,30,1.2,1
5,65,2.6,1
5,195,7.8,1
14,5768,29.429,1
1,85,85,2
11,3927,32.455,1
7,399,8.143,1
9,1152,14.222,1
8,1464,22.875,1
7,63,1.286,1
7,294,6,1
6,1578,43.833,1
7,2422,49.429,1
7,2401,49,1
7,2422,49.429,1
28,2296,2.929,1
17,5797,20.059,2
14,2170,11.071,1
1,126,126,2
6,78,2.167,1
12,396,2.75,1
11,121,1,1
11,121,1,1
9,9,0.111,4
10,1650,16.5,1
11,1848,15.273,1
11,1309,10.818,1
2,124,31,2
1,20,20,2
1,87,87,2
1,279,279,2
