@relation page-blocks

@attribute Area numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
4602,27.231,0.38,398,1
711,8.778,0.323,105,1
3451,11.941,0.925,225,1
4806,59.333,0.131,479,1
88,0.727,0.705,7,1
2620,26.2,0.179,344,1
136,2.125,0.346,19,1
14,0.286,0.643,4,1
294,6,0.262,43,1
81,1,0.358,13,1
1070,10.7,0.273,161,1
198,5.5,0.303,41,1
288,4.5,0.323,50,1
306,3.778,0.32,63,1
670,6.7,0.3,94,1
4450,7.12,0.49,276,1
255,10.2,0.314,49,1
308,6.286,0.169,33,1
357,7.286,0.325,70,1
374,3.091,0.324,49,1
826,16.857,0.386,141,1
35,0.714,0.514,2,1
423,5.222,0.385,65,1
1098,13.556,0.378,152,1
40,1.6,0.6,11,1
860,8.6,0.423,149,1
3556,18.143,0.377,284,1
333,4.111,0.39,64,1
195,7.8,0.395,21,1
2640,21.818,0.27,348,1
102,2.833,0.294,26,1
264,1.833,0.58,20,1
470,18.8,0.277,80,1
54,1.5,0.352,12,1
108,1.333,0.426,29,1
2547,31.444,0.186,389,1
162,2,0.519,11,1
40,0.625,0.425,11,1
28,0.571,0.321,3,1
171,2.111,0.667,15,1
876,6.083,0.259,108,1
144,2.25,0.403,36,1
2871,23.727,0.251,361,1
400,4,0.295,57,1
396,1.222,0.366,10,1
230,2.3,0.343,42,1
5499,32.538,0.188,632,1
120,1.875,0.558,23,1
135,1.667,0.244,21,1
189,3.857,0.28,40,1
351,4.333,0.293,50,1
568,8.875,0.238,92,1
1474,3.045,0.221,112,1
484,4,0.308,74,1
656,10.25,0.288,95,1
819,16.714,0.186,121,1
2710,27.1,0.176,342,1
6474,38.308,0.281,799,1
396,4.889,0.24,67,1
891,11,0.288,132,1
133,2.714,0.406,32,1
78,2.167,0.295,15,1
2710,27.1,0.199,381,1
328,5.125,0.293,67,1
77,1.571,0.247,14,1
2502,30.889,0.258,398,1
324,4,0.549,54,1
216,3.375,0.435,44,1
6331,37.462,0.247,745,1
486,13.5,0.282,102,1
2296,2.929,0.271,70,1
198,5.5,0.268,38,1
240,6.667,0.296,52,1
242,2,0.417,25,1
12,1.333,0.667,1,1
3024,21,0.416,265,1
176,2.75,0.295,20,1
836,6.909,0.254,102,1
424,6.625,0.337,87,1
738,9.111,0.309,118,1
864,6,0.623,80,1
260,2.6,0.3,49,1
441,9,0.338,83,1
266,5.429,0.353,46,1
280,5.714,0.336,64,1
2560,25.6,0.363,327,1
520,5.2,0.294,72,1
56,0.875,0.5,9,1
3252,22.583,0.248,433,1
189,3.857,0.259,34,1
3861,22.846,0.409,318,1
1416,9.833,0.35,166,1
1260,12.6,0.456,202,1
288,4.5,0.427,62,1
4599,56.778,0.164,530,1
2466,30.444,0.158,298,1
49,1,0.327,8,1
96,1.5,0.438,20,1
1467,18.111,0.264,130,1
147,3,0.279,27,1
900,9,0.501,115,1
315,12.6,0.368,58,1
2016,14,0.255,245,1
392,8,0.227,71,1
7300,11.68,0.472,459,1
1416,9.833,0.309,181,1
4968,34.5,0.313,675,1
90,0.9,0.222,16,1
2240,35,0.191,333,1
738,9.111,0.247,87,1
88,0.727,0.705,8,1
162,4.5,0.154,9,1
108,3,0.343,21,1
1850,18.5,0.36,237,1
1098,13.556,0.339,145,1
2680,26.8,0.494,220,1
160,2.5,0.425,30,1
112,2.286,0.25,14,1
814,6.727,0.267,98,1
120,1.2,0.367,28,1
287,5.857,0.261,57,1
2710,27.1,0.197,386,1
469,9.571,0.258,71,1
190,1.9,0.6,12,1
91,1.857,0.286,16,1
558,139.5,0.075,40,1
455,9.286,0.407,85,1
136,2.125,0.265,21,1
414,5.111,0.29,55,1
2871,23.727,0.233,381,1
1242,15.333,0.155,144,1
3300,33,0.225,518,1
1392,21.75,0.161,172,1
1379,28.143,0.072,66,1
7868,10.036,0.318,530,1
4784,7.077,0.773,219,1
1449,29.571,0.249,279,1
105,2.143,0.181,7,1
90,1.111,0.344,15,1
495,6.111,0.299,77,1
176,2.75,0.392,27,1
490,4.9,0.196,76,1
296,4.625,0.375,69,1
56,1.143,0.268,14,1
72,1.125,0.375,16,1
104,1.625,0.442,23,1
249,249,0.173,42,1
423,5.222,0.362,76,1
4824,59.556,0.091,320,1
2992,24.727,0.26,428,1
42,1.167,0.405,9,1
64,1,0.219,9,1
209,1.727,0.378,41,1
980,9.8,0.463,167,1
340,3.4,0.388,63,1
248,3.875,0.347,48,1
312,4.875,0.423,72,1
176,2.75,0.398,34,1
256,4,0.402,3,1
261,3.222,0.287,49,1
77,1.571,0.364,19,1
1701,34.714,0.219,230,1
112,2.286,0.321,14,1
306,8.5,0.454,57,1
1848,15.273,0.234,279,1
220,2.2,0.491,29,1
378,7.714,0.267,71,1
217,4.429,0.304,50,1
290,11.6,0.2,41,1
352,2.909,0.301,56,1
369,4.556,0.425,58,1
963,11.889,0.357,141,1
945,11.667,0.236,117,1
850,8.5,0.333,124,1
135,1.667,0.378,21,1
78,2.167,0.436,15,1
380,0.95,0.495,15,1
384,6,0.31,62,1
1256,19.625,0.446,220,1
300,3,0.427,46,1
4224,7.333,0.496,267,1
608,9.5,0.475,106,1
1199,9.909,0.234,146,1
324,4,0.577,62,1
63,1.286,0.349,12,1
864,2.667,0.264,53,1
42,1.167,0.31,7,1
160,1.6,0.425,9,1
30,1.2,0.433,8,1
72,1.125,0.431,15,1
2754,34,0.213,424,1
378,7.714,0.304,91,1
1370,13.7,0.191,187,1
470,4.7,0.338,69,1
78,2.167,0.333,19,1
248,3.875,0.298,51,1
77,1.571,0.221,14,1
144,2.25,0.472,27,1
144,1.778,0.174,19,1
112,1.75,0.429,20,1
168,3.429,0.232,32,1
441,9,0.288,79,1
270,7.5,0.422,66,1
448,7,0.424,91,1
1870,6.471,0.175,224,1
328,5.125,0.378,77,1
693,8.556,0.486,128,1
30,1.2,0.433,8,1
195,7.8,0.492,39,1
360,5.625,0.367,70,1
120,1.875,0.475,22,1
329,6.714,0.271,40,1
1590,15.9,0.377,192,1
65,65,0.2,12,1
4256,66.5,0.192,636,1
5976,41.5,0.307,752,1
4537,26.846,0.38,395,1
135,1.667,0.178,15,1
576,4,0.252,85,1
80,1.25,0.325,17,1
240,3.75,0.296,34,1
800,8,0.553,87,1
576,7.111,0.465,104,1
480,4.8,0.3,67,1
378,7.714,0.235,58,1
875,17.857,0.29,160,1
790,7.9,0.244,108,1
5304,31.385,0.281,579,1
56,1.143,0.429,13,1
208,3.25,0.399,43,1
198,2.444,0.318,26,1
342,4.222,0.313,49,1
2720,27.2,0.211,401,1
408,11.333,0.172,56,1
72,4.5,0.25,7,1
1298,10.727,0.459,124,1
2116,4,0.145,212,1
384,6,0.221,62,1
999,12.333,0.184,115,1
80,1.25,0.375,16,1
75,3,0.093,5,1
119,2.429,0.395,26,1
77,1.571,0.351,17,1
24,0.667,0.667,2,1
780,1.95,0.232,53,1
184,2.875,0.288,36,1
830,8.3,0.208,120,1
497,10.143,0.394,105,1
180,1.8,0.6,15,1
2090,17.273,0.239,237,1
570,15.833,0.226,89,1
64,1,0.234,10,1
798,4.071,0.727,49,1
30,1.2,0.333,4,1
5280,4.848,0.219,182,1
240,3.75,0.433,49,1
190,1.9,0.542,14,1
70,2.8,0.386,16,1
490,19.6,0.341,78,1
384,6,0.396,75,1
7350,11.76,0.471,448,1
2618,13.357,0.265,300,1
2736,42.75,0.163,317,1
80,1.25,0.4,16,1
872,13.625,0.219,119,1
150,1.5,0.273,29,1
261,3.222,0.307,41,1
972,12,0.329,141,1
1458,18,0.254,138,1
90,2.5,0.244,10,1
42,0.857,0.476,11,1
72,1.125,0.278,7,1
532,2.714,0.227,41,1
120,3.333,0.317,25,1
1100,9.091,0.473,158,1
1472,5.75,0.245,100,1
319,2.636,0.298,43,1
243,3,0.358,47,1
264,7.333,0.265,57,1
96,0.667,0.448,10,1
96,0.667,0.51,7,1
301,6.143,0.246,56,1
7300,11.68,0.479,461,1
126,2.571,0.206,12,1
20,0.8,0.4,1,1
1212,8.417,0.292,178,1
1008,7,0.42,89,1
512,8,0.252,79,1
2013,16.636,0.481,208,1
1197,14.778,0.236,150,1
208,3.25,0.375,44,1
84,2.333,0.512,14,1
4908,34.083,0.302,515,1
77,1.571,0.377,18,1
3000,5.208,0.915,129,1
2720,27.2,0.191,348,1
70,1.429,0.286,15,1
900,11.111,0.247,121,1
65,2.6,0.308,11,1
176,11,0.267,26,1
4020,17.867,0.413,326,1
456,7.125,0.309,78,1
140,2.857,0.35,31,1
210,8.4,0.257,37,1
136,2.125,0.228,25,1
530,5.3,0.34,99,1
210,2.1,0.457,33,1
117,1.444,0.53,19,1
310,3.1,0.329,49,1
147,3,0.354,32,1
4077,50.333,0.08,269,1
208,3.25,0.25,38,1
2360,23.6,0.183,330,1
2170,11.071,0.303,238,1
4576,9.455,0.203,585,1
66,1.833,0.333,13,1
192,5.333,0.417,38,1
4590,56.667,0.171,618,1
1550,15.5,0.326,181,1
104,1.625,0.471,27,1
1629,20.111,0.375,211,1
161,3.286,0.093,11,1
12,0.333,0.583,1,1
504,10.286,0.405,110,1
287,5.857,0.328,66,1
1071,21.857,0.467,182,1
342,4.222,0.211,32,1
161,3.286,0.373,35,1
1530,18.889,0.371,218,1
333,4.111,0.532,55,1
192,3,0.375,40,1
3160,31.6,0.366,422,1
5208,26.571,0.378,395,1
161,3.286,0.298,33,1
192,5.333,0.286,39,1
4815,59.444,0.184,596,1
264,7.333,0.447,56,1
930,9.3,0.268,140,1
980,9.8,0.376,175,1
872,13.625,0.109,76,1
55,2.2,0.345,13,1
1008,20.571,0.092,75,1
343,7,0.297,49,1
304,4.75,0.25,55,1
174,4.833,0.339,39,1
852,5.917,0.608,87,1
98,2,0.49,19,1
1562,3.227,0.499,71,1
7275,11.64,0.456,455,1
49,1,0.327,7,1
1775,2.84,0.234,187,1
432,6.75,0.183,59,1
190,1.9,0.326,39,1
1864,29.125,0.262,309,1
77,1.571,0.299,19,1
1280,12.8,0.355,202,1
60,3.75,0.267,4,1
190,1.9,0.605,13,1
280,5.714,0.336,60,1
65,2.6,0.554,12,1
675,8.333,0.256,79,1
609,12.429,0.365,116,1
392,6.125,0.441,91,1
12375,19.8,0.464,784,1
1395,17.222,0.366,201,1
424,6.625,0.38,86,1
1000,10,0.41,146,1
168,1.167,0.357,26,1
91,1.857,0.297,16,1
828,10.222,0.286,123,1
532,2.714,0.244,44,1
558,15.5,0.276,101,1
408,1.412,0.426,37,1
180,1.8,0.311,29,1
48,1.333,0.417,7,1
220,2.2,0.332,34,1
336,5.25,0.259,50,1
189,3.857,0.344,33,1
60,0.6,0.333,8,1
119,2.429,0.387,17,1
192,3,0.318,23,1
600,9.375,0.375,110,1
60,2.4,0.483,21,1
504,10.286,0.236,70,1
36,0.444,0.444,2,1
609,12.429,0.232,111,1
700,14.286,0.294,123,1
456,12.667,0.353,108,1
3132,21.75,0.223,364,1
64,1,0.438,6,1
60,2.4,0.267,9,1
632,9.875,0.316,111,1
40,2.5,0.6,6,1
6160,31.429,0.158,632,1
1107,13.667,0.346,173,1
112,1.75,0.42,23,1
273,5.571,0.253,52,1
840,8.4,0.279,142,1
396,4.889,0.465,55,1
161,3.286,0.342,38,1
1034,2.136,0.319,155,1
777,15.857,0.254,131,1
184,2.875,0.375,33,1
732,5.083,0.251,104,1
729,9,0.337,125,1
5838,29.786,0.359,467,1
2120,21.2,0.24,274,1
522,6.444,0.351,80,1
96,0.667,0.302,10,1
1620,20,0.343,225,1
24,0.667,0.583,4,1
50,50,0.2,9,1
98,2,0.214,19,1
1015,40.6,0.239,187,1
154,3.143,0.156,15,1
12996,9,0.275,275,1
140,2.857,0.407,29,1
855,10.556,0.284,127,1
2610,26.1,0.264,390,1
495,6.111,0.255,91,1
860,8.6,0.145,103,1
2882,23.818,0.238,373,1
333,4.111,0.396,65,1
558,6.889,0.348,87,1
320,3.2,0.306,58,1
12,1.333,0.75,1,1
657,8.111,0.376,94,1
1351,27.571,0.206,203,1
234,2.889,0.299,42,1
245,5,0.245,44,1
2430,30,0.111,213,1
1629,20.111,0.361,213,1
275,2.273,0.298,40,1
2720,27.2,0.279,382,1
35,1.4,0.4,6,1
1512,18.667,0.315,221,1
280,4.375,0.396,59,1
45,1.8,0.267,7,1
374,3.091,0.364,49,1
240,3.75,0.363,38,1
170,1.7,0.224,16,1
1359,16.778,0.139,162,1
704,2.75,0.376,111,1
133,2.714,0.662,17,1
348,9.667,0.276,82,1
1729,10.231,0.36,127,1
168,2.625,0.411,31,1
68,4.25,0.309,6,1
91,1.857,0.275,19,1
215,8.6,0.265,43,1
155,6.2,0.355,37,1
606,16.833,0.393,120,1
568,8.875,0.329,102,1
56,1.143,0.161,5,1
91,1.857,0.429,19,1
1015,20.714,0.207,140,1
360,5.625,0.297,57,1
240,6.667,0.221,37,1
2852,5.391,0.941,156,1
60,60,0.2,11,1
12,1.333,0.833,1,1
336,5.25,0.39,54,1
70,0.7,0.329,13,1
2690,26.9,0.306,160,1
637,13,0.334,121,1
873,10.778,0.455,174,1
1242,15.333,0.271,180,1
8,0.5,0.875,1,1
315,6.429,0.254,57,1
120,1.2,0.367,26,1
602,12.286,0.244,116,1
530,5.3,0.215,79,1
576,16,0.274,100,1
5100,51,0.163,612,1
496,7.75,0.214,74,1
640,6.4,0.189,57,1
300,3,0.367,48,1
72,0.889,0.722,4,1
828,5.75,0.332,98,1
2673,22.091,0.117,223,1
470,18.8,0.183,53,1
287,5.857,0.226,44,1
4806,59.333,0.163,585,1
357,7.286,0.207,65,1
1494,18.444,0.392,190,1
19789,3.338,0.465,127,1
4550,26.923,0.381,386,1
207,2.556,0.304,39,1
54,0.667,0.37,8,1
128,2,0.211,19,1
112,1.75,0.384,25,1
224,4.571,0.232,40,1
620,6.2,0.265,75,1
189,2.333,0.519,30,1
2610,26.1,0.183,321,1
408,6.375,0.306,64,1
4280,66.875,0.171,575,1
128,2,0.43,25,1
54,0.667,0.5,2,1
91,91,0.352,31,1
4020,27.917,0.4,348,1
136,2.125,0.36,25,1
41,41,0.39,15,1
5392,21.063,0.369,387,1
210,5.833,0.533,42,1
161,3.286,0.329,38,1
80,1.25,0.35,16,1
679,13.857,0.196,79,1
145,5.8,0.276,25,1
2981,24.636,0.177,353,1
200,3.125,0.3,27,1
287,5.857,0.307,58,1
462,3.818,0.335,69,1
1548,19.111,0.353,225,1
180,1.8,0.294,27,1
440,4.4,0.35,81,1
5350,53.5,0.113,447,1
275,2.273,0.335,36,1
288,4.5,0.458,64,1
217,4.429,0.267,27,1
91,1.857,0.286,19,1
1620,20,0.374,212,1
140,2.857,0.336,21,1
4572,56.444,0.16,563,1
216,3.375,0.208,31,1
8626,5.974,0.304,370,1
77,1.571,0.143,7,1
560,8.75,0.388,98,1
121,1,0.455,10,1
253,2.091,0.415,30,1
200,2,0.385,36,1
140,2.857,0.357,27,1
410,4.1,0.276,70,1
208,3.25,0.264,38,1
77,1.571,0.312,18,1
63,1.286,0.349,13,1
1216,19,0.199,191,1
238,4.857,0.265,45,1
423,5.222,0.274,48,1
42,0.857,0.286,7,1
380,3.8,0.195,50,1
1440,5.625,0.197,204,1
790,7.9,0.385,143,1
387,4.778,0.388,55,1
2600,26,0.282,412,1
98,2,0.378,19,1
40,40,0.4,15,1
1998,24.667,0.202,266,1
230,2.3,0.317,31,1
78,2.167,0.359,21,1
64,1,0.516,14,1
1488,10.333,0.3,228,1
747,9.222,0.284,111,1
104,1.625,0.49,22,1
286,2.364,0.262,42,1
1840,18.4,0.325,232,1
91,1.857,0.198,8,1
48,0.75,0.542,2,1
28,1.75,0.286,1,1
240,6.667,0.313,59,1
2709,33.444,0.178,371,1
88,1.375,0.443,24,1
290,2.9,0.221,18,1
63,0.778,0.349,10,1
64,1,0.469,11,1
66,1.833,0.348,15,1
990,8.182,0.47,101,1
171,2.111,0.386,30,1
475,19,0.255,70,1
2695,22.273,0.252,365,1
650,6.5,0.445,112,1
5382,31.846,0.357,623,1
4524,26.769,0.195,537,1
2444,14.462,0.188,275,1
400,6.25,0.36,73,1
5698,29.071,0.353,443,1
441,5.444,0.265,86,1
472,7.375,0.464,80,1
161,3.286,0.323,31,1
300,8.333,0.24,41,1
114,3.167,0.307,22,1
50,2,0.56,12,1
3178,16.214,0.237,226,1
96,1.5,0.427,19,1
1404,9.75,0.251,190,1
616,5.091,0.386,77,1
999,12.333,0.218,128,1
440,4.4,0.393,55,1
168,2.625,0.417,36,1
96,1.5,0.427,25,1
231,1.909,0.468,15,1
208,3.25,0.37,32,1
1666,5.765,0.929,104,1
104,1.625,0.587,13,1
490,4.9,0.529,86,1
161,3.286,0.273,30,1
147,3,0.327,34,1
616,3.143,0.398,98,1
868,4.429,0.433,63,1
109,109,0.183,19,1
480,7.5,0.335,87,1
40,0.625,0.525,7,1
1001,5.923,0.258,85,1
5110,51.1,0.158,596,1
804,5.583,0.35,99,1
128,2,0.398,19,1
996,6.917,0.301,151,1
80,1.25,0.438,18,1
486,6,0.191,75,1
927,11.444,0.164,125,1
375,15,0.259,82,1
40,1.6,0.35,3,1
370,3.7,0.327,66,1
323,1.118,0.362,2,1
369,4.556,0.374,61,1
42,1.167,0.333,6,1
25,1,0.52,6,1
12,0.333,0.667,1,1
4680,57.778,0.081,276,1
891,11,0.312,129,1
336,5.25,0.423,60,1
190,7.6,0.316,29,1
7024,27.438,0.384,530,1
266,5.429,0.327,63,1
10,0.4,0.7,1,1
1352,8,0.246,82,1
252,3.111,0.258,43,1
360,4.444,0.356,56,1
423,5.222,0.31,56,1
56,0.875,0.339,14,1
5110,51.1,0.141,532,1
168,2.625,0.232,30,1
328,5.125,0.363,73,1
1246,25.429,0.242,213,1
1521,18.778,0.343,200,1
25,1,0.36,3,1
336,6.857,0.292,64,1
2176,34,0.197,310,1
290,2.9,0.383,45,1
55,2.2,0.364,15,1
144,2.25,0.354,31,1
330,3.3,0.294,53,1
80,1.25,0.313,13,1
48,3,0.292,10,1
1899,23.444,0.219,282,1
804,5.583,0.376,101,1
4815,59.444,0.165,573,1
763,15.571,0.283,112,1
105,2.143,0.438,20,1
2710,27.1,0.173,318,1
2145,17.727,0.358,256,1
1629,20.111,0.35,216,1
215,8.6,0.33,61,1
320,5,0.409,59,1
342,4.222,0.371,68,1
72,1.125,0.431,15,1
49,1,0.388,10,1
440,17.6,0.364,96,1
119,2.429,0.353,27,1
112,2.286,0.464,16,1
48,0.75,0.313,8,1
935,7.727,0.268,145,1
315,6.429,0.483,62,1
207,2.556,0.324,41,1
987,20.143,0.163,139,1
56,1.143,0.286,9,1
639,7.889,0.352,114,1
80,0.8,0.6,8,1
189,3.857,0.164,12,1
112,2.286,0.241,14,1
435,1.933,0.524,55,1
351,4.333,0.308,64,1
98,2,0.378,19,1
245,5,0.269,50,1
1617,13.364,0.257,264,1
15,0.6,0.6,2,1
2050,20.5,0.381,257,1
91,1.857,0.275,11,1
490,4.9,0.52,86,1
344,5.375,0.349,53,1
627,5.182,0.295,75,1
88,0.727,0.25,9,1
296,4.625,0.264,42,1
48,0.75,0.333,9,1
171,2.111,0.392,29,1
28,0.571,0.25,3,1
99,0.818,0.465,12,1
4815,59.444,0.088,310,1
266,5.429,0.301,55,1
552,8.625,0.279,103,1
621,7.667,0.209,94,1
120,1.875,0.417,23,1
48,1.333,0.313,14,1
56,1.143,0.321,13,1
4788,6.107,0.258,621,1
294,8.167,0.286,61,1
364,7.429,0.266,80,1
2862,3.926,0.261,137,1
250,2.5,0.332,44,1
140,5.6,0.307,31,1
6640,25.938,0.389,499,1
64,1,0.5,11,1
209,1.727,0.306,26,1
250,2.5,0.392,39,1
45,1.8,0.333,8,1
972,12,0.222,125,1
1712,26.75,0.421,248,1
161,3.286,0.447,37,1
70,1.429,0.343,18,1
3684,25.583,0.29,444,1
3168,39.111,0.205,486,1
1225,25,0.337,221,1
736,11.5,0.359,151,1
1260,8.75,0.37,160,1
150,1.5,0.36,26,1
35,0.714,0.257,4,1
804,5.583,0.403,88,1
160,2.5,0.5,29,1
55,2.2,0.6,12,1
96,1.5,0.396,20,1
84,1.714,0.405,21,1
240,1.667,0.546,16,1
98,2,0.245,13,1
472,7.375,0.186,59,1
1768,10.462,0.415,160,1
990,12.222,0.311,148,1
301,6.143,0.243,21,1
294,6,0.143,33,1
294,6,0.293,33,1
144,1.778,0.222,24,1
720,8.889,0.333,119,1
216,3.375,0.218,22,1
9982,10.387,0.689,408,1
96,1.5,0.531,18,1
190,7.6,0.426,57,1
184,2.875,0.239,25,1
450,5.556,0.22,75,1
378,4.667,0.325,72,1
108,1.333,0.426,28,1
182,3.714,0.192,23,1
24,0.667,0.625,3,1
117,1.444,0.368,16,1
120,3.333,0.175,14,1
315,6.429,0.2,33,1
153,1.889,0.523,11,1
3184,49.75,0.279,521,1
264,4.125,0.314,39,1
19832,4.418,0.088,1134,1
154,1.273,0.442,28,1
819,10.111,0.161,71,1
243,3,0.346,45,1
189,2.333,0.354,25,1
186,5.167,0.199,20,1
1632,5.647,0.366,116,1
115,4.6,0.452,29,1
2142,10.929,0.38,183,1
275,2.273,0.36,47,1
927,11.444,0.369,134,1
270,2.7,0.63,28,1
168,4.667,0.143,14,1
1611,19.889,0.341,229,1
2349,29,0.183,302,1
108,3,0.491,26,1
2401,49,0.213,352,1
375,15,0.269,83,1
981,12.111,0.219,127,1
396,4.889,0.341,53,1
987,20.143,0.16,135,1
2001,3.783,0.286,242,1
119,2.429,0.269,21,1
882,10.889,0.185,103,1
119,2.429,0.412,19,1
504,7.875,0.333,106,1
80,3.2,0.425,25,1
1105,6.538,0.327,131,1
1647,20.333,0.327,239,1
351,4.333,0.259,61,1
60,1.667,0.433,14,1
352,2.909,0.335,52,1
91,1.857,0.363,17,1
70,0.357,0.443,5,1
861,17.571,0.265,137,1
99,1.222,0.283,18,1
495,4.091,0.267,66,1
518,10.571,0.16,74,1
441,5.444,0.587,83,1
885,35.4,0.226,117,1
368,5.75,0.318,56,1
876,24.333,0.325,156,1
5629,33.308,0.375,438,1
294,8.167,0.241,50,1
329,6.714,0.322,61,1
280,5.714,0.186,23,1
81,9,0.481,22,1
77,1.571,0.286,17,1
3132,21.75,0.207,358,1
4572,56.444,0.188,579,1
171,2.111,0.655,13,1
369,4.556,0.201,57,1
280,5.714,0.232,47,1
49,49,0.286,2,1
112,1.75,0.438,22,1
414,5.111,0.297,74,1
88,0.727,0.375,8,1
639,7.889,0.39,102,1
297,3.667,0.33,54,1
2510,25.1,0.151,293,1
2655,32.778,0.2,354,1
99,0.818,0.465,5,1
855,10.556,0.285,116,1
264,4.125,0.326,43,1
96,1.5,0.479,20,1
870,8.7,0.344,132,1
133,2.714,0.346,26,1
77,1.571,0.403,21,1
900,11.111,0.463,143,1
217,4.429,0.461,41,1
84,1.714,0.393,14,1
530,5.3,0.306,88,1
2875,4.6,0.296,333,1
340,3.4,0.297,59,1
580,5.8,0.402,83,1
1220,12.2,0.273,164,1
189,2.333,0.529,30,1
432,1.333,0.454,34,1
147,3,0.34,37,1
4080,7.083,0.924,237,1
150,4.167,0.273,35,1
3707,30.636,0.179,318,1
1029,21,0.215,173,1
2241,27.667,0.346,306,1
909,11.222,0.256,136,1
343,7,0.3,77,1
1000,10,0.444,168,1
1298,10.727,0.29,189,1
60,1.667,0.333,13,1
245,5,0.31,49,1
4080,63.75,0.144,444,1
828,10.222,0.365,137,1
2508,20.727,0.282,239,1
2067,12.231,0.412,177,1
130,1.3,0.385,25,1
20,0.8,0.7,2,1
196,4,0.306,38,1
1111,9.182,0.267,173,1
304,4.75,0.349,55,1
306,3.778,0.31,59,1
98,2,0.388,23,1
1184,18.5,0.208,198,1
312,4.875,0.282,44,1
112,1.75,0.482,16,1
22,5.5,0.409,1,1
133,2.714,0.361,32,1
55,2.2,0.436,14,1
750,7.5,0.451,119,1
352,5.5,0.284,70,1
324,4,0.491,48,1
516,3.583,0.357,68,1
154,3.143,0.396,33,1
2280,22.8,0.26,316,1
175,3.571,0.303,35,1
963,11.889,0.191,135,1
