@relation page-blocks

@attribute Area numeric
@attribute Eccen numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
522,6.444,79,1
294,6,58,1
416,6.5,77,1
249,249,42,1
384,6,63,1
328,5.125,67,1
126,2.571,23,1
84,1.714,18,1
90,1.111,8,1
156,1.083,26,1
320,5,69,1
184,2.875,30,1
70,0.7,12,1
747,9.222,91,1
390,3.9,55,1
342,9.5,63,1
882,10.889,156,1
324,9,53,1
424,6.625,99,1
160,6.4,47,1
494,2.923,39,1
352,2.909,52,1
168,4.667,17,1
784,16,106,1
180,2.222,26,1
1464,10.167,166,1
56,1.143,9,1
530,5.3,89,1
480,4.8,67,1
2552,39.875,353,1
488,7.625,77,1
1183,24.143,154,1
234,2.889,34,1
132,1.091,16,1
119,2.429,21,1
340,3.4,61,1
384,6,66,1
504,6.222,88,1
2142,26.444,285,1
288,3.556,35,1
225,2.778,32,1
195,7.8,39,1
2184,34.125,369,1
3069,37.889,165,1
594,4.909,77,1
480,19.2,87,1
96,1.5,16,1
1673,34.143,177,1
224,3.5,40,1
504,7.875,106,1
360,5.625,57,1
351,4.333,61,1
171,2.111,14,1
180,2.222,31,1
8640,11.852,613,1
2710,27.1,358,1
264,4.125,62,1
42,0.857,9,1
264,4.125,58,1
96,1.5,25,1
112,2.286,18,1
970,9.7,152,1
570,5.7,79,1
104,1.625,20,1
1323,27,237,1
1773,21.889,278,1
675,8.333,79,1
2277,18.818,332,1
2709,33.444,371,1
176,2.75,36,1
3784,31.273,358,1
440,4.4,66,1
88,0.727,11,1
580,5.8,83,1
576,7.111,84,1
248,3.875,48,1
909,11.222,150,1
5392,21.063,387,1
180,1.8,37,1
150,6,43,1
20,0.8,1,1
12,1.333,1,1
195,7.8,32,1
84,2.333,18,1
384,1.5,32,1
180,1.8,23,1
1696,6.625,218,1
48,0.75,11,1
459,5.667,58,1
25,1,7,1
140,2.857,30,1
4450,7.12,276,1
1360,21.25,236,1
333,4.111,64,1
56,0.875,9,1
1197,24.429,154,1
245,5,56,1
49,1,7,1
180,2.222,32,1
1310,13.1,206,1
133,2.714,27,1
147,3,32,1
162,4.5,9,1
864,6,110,1
5317,31.462,556,1
640,6.4,84,1
963,11.889,166,1
4524,26.769,543,1
660,6.6,95,1
84,1.714,19,1
800,8,122,1
198,5.5,38,1
432,5.333,69,1
115,4.6,16,1
352,2.909,56,1
819,10.111,125,1
121,1,10,1
280,5.714,61,1
112,1.75,20,1
315,3.889,52,1
392,8,71,1
40,0.625,8,1
472,7.375,63,1
154,3.143,31,1
2620,26.2,399,1
972,12,165,1
560,8.75,112,1
130,5.2,36,1
189,3.857,12,1
5392,21.063,377,1
90,1.111,18,1
28,0.571,1,1
301,6.143,64,1
1141,23.286,185,1
413,8.429,76,1
30,1.2,6,1
171,2.111,31,1
91,1.857,10,1
264,7.333,57,1
423,5.222,65,1
324,4,33,1
322,6.571,78,1
182,3.714,36,1
203,4.143,39,1
590,5.9,80,1
1562,3.227,72,1
78,2.167,15,1
70,2.8,14,1
990,8.182,127,1
88,0.727,8,1
145,5.8,36,1
96,1.5,18,1
1211,24.714,187,1
80,1.25,16,1
4815,59.444,470,1
4788,6.107,621,1
6256,24.438,477,1
140,2.857,33,1
96,1.5,20,1
1815,15,190,1
570,5.7,94,1
3980,39.8,557,1
110,1.1,12,1
875,17.857,168,1
351,4.333,64,1
288,4.5,60,1
160,2.5,28,1
270,3.333,44,1
2620,26.2,432,1
930,9.3,140,1
132,1.091,15,1
1494,18.444,190,1
168,2.625,34,1
60,2.4,21,1
320,3.2,59,1
656,10.25,105,1
200,3.125,27,1
63,1.286,10,1
248,3.875,44,1
176,2.75,27,1
790,7.9,108,1
7300,11.68,454,1
810,22.5,124,1
875,17.857,160,1
1416,9.833,184,1
112,2.286,11,1
250,2.5,39,1
216,6,55,1
2992,24.727,423,1
180,1.8,11,1
78,2.167,17,1
40,1.6,9,1
384,1.5,32,1
344,5.375,57,1
72,2,13,1
322,6.571,38,1
660,5.455,91,1
96,1.5,22,1
5090,50.9,401,1
63,1.286,11,1
536,8.375,82,1
2844,8.778,229,1
744,11.625,111,1
294,6,33,1
1728,27,222,1
444,3.083,47,1
1034,8.545,122,1
5018,29.692,657,1
224,4.571,40,1
80,0.8,6,1
160,6.4,51,1
1380,9.583,203,1
344,5.375,81,1
3471,20.538,286,1
310,3.1,28,1
675,8.333,90,1
830,8.3,120,1
301,6.143,52,1
774,9.556,109,1
472,7.375,80,1
963,11.889,152,1
1755,10.385,157,1
184,2.875,40,1
1008,20.571,75,1
98,2,19,1
1080,16.875,54,1
880,8.8,101,1
4488,7.792,267,1
2886,17.077,221,1
2380,23.8,295,1
245,5,42,1
248,3.875,50,1
88,0.727,1,1
854,17.429,139,1
35,1.4,9,1
19789,3.338,127,1
49,1,8,1
468,5.778,73,1
396,4.889,64,1
1010,10.1,153,1
315,12.6,58,1
108,1.333,28,1
90,22.5,6,1
371,7.571,22,1
460,18.4,96,1
909,11.222,146,1
2401,49,352,1
360,4.444,62,1
180,2.222,28,1
2200,34.375,351,1
420,4.2,70,1
510,5.1,68,1
56,0.875,11,1
1746,21.556,215,1
32,0.5,6,1
84,1.714,14,1
5040,50.4,590,1
99,1.222,17,1
5340,53.4,548,1
40,0.4,1,1
7275,11.64,455,1
414,5.111,63,1
153,1.889,13,1
2337,6.474,1,1
280,4.375,56,1
35,1.4,11,1
102,2.833,22,1
656,10.25,126,1
900,9,115,1
150,4.167,35,1
190,1.9,35,1
112,1.75,29,1
162,2,27,1
140,2.857,31,1
40,40,3,1
729,9,117,1
494,2.923,42,1
2160,26.667,336,1
4590,56.667,513,1
140,2.857,27,1
256,4,47,1
168,3.429,32,1
5130,22.8,495,1
133,2.714,29,1
1440,22.5,230,1
441,9,77,1
176,11,26,1
315,6.429,62,1
1350,16.667,183,1
30,1.2,4,1
432,6.75,69,1
3024,9.333,241,1
1533,31.286,207,1
1208,18.875,178,1
693,8.556,93,1
869,7.182,135,1
192,3,39,1
344,5.375,56,1
1521,18.778,220,1
1107,13.667,153,1
112,1.75,16,1
77,1.571,7,1
3840,26.667,431,1
494,2.923,43,1
424,6.625,89,1
1730,17.3,102,1
357,7.286,75,1
38,9.5,5,1
672,13.714,119,1
147,3,27,1
42,1.167,4,1
119,2.429,24,1
108,3,25,1
192,5.333,42,1
490,4.9,60,1
170,1.7,15,1
512,8,80,1
192,5.333,39,1
1001,5.923,124,1
150,1.5,24,1
200,2,30,1
70,0.7,12,1
184,2.875,25,1
98,2,22,1
399,8.143,87,1
96,1.5,20,1
864,13.5,182,1
1220,12.2,171,1
143,1.182,24,1
2610,26.1,321,1
245,5,55,1
528,3.667,58,1
238,4.857,53,1
847,17.286,149,1
328,5.125,64,1
35,1.4,6,1
1719,21.222,264,1
119,2.429,26,1
972,12,170,1
288,3.556,39,1
570,5.7,61,1
5499,32.538,632,1
470,4.7,70,1
2403,29.667,234,1
2590,13.214,289,1
220,2.2,27,1
384,6,75,1
1536,2.667,103,1
4815,59.444,654,1
144,4,26,1
990,8.182,158,1
360,4.444,49,1
324,4,61,1
144,1.778,26,1
1112,17.375,82,1
1352,8,82,1
808,12.625,139,1
640,6.4,116,1
744,11.625,125,1
72,2,9,1
180,2.222,35,1
568,8.875,95,1
1890,18.9,213,1
32,32,7,1
3420,0.95,403,1
441,5.444,87,1
208,3.25,39,1
544,8.5,97,1
136,2.125,25,1
5720,33.846,669,1
72,1.125,11,1
738,9.111,108,1
534,14.833,89,1
2760,5.217,149,1
252,1.286,15,1
864,6,92,1
856,13.375,136,1
42,1.167,11,1
234,2.889,30,1
351,4.333,50,1
3151,5.957,162,1
3184,49.75,521,1
250,10,57,1
861,17.571,95,1
56,1.143,13,1
70,1.429,18,1
120,1.2,14,1
2560,25.6,327,1
217,4.429,43,1
872,13.625,76,1
847,17.286,131,1
25,1,3,1
1500,15,183,1
147,3,28,1
56,1.143,14,1
144,2.25,23,1
280,5.714,44,1
1176,6,133,1
1422,4.389,115,1
154,3.143,33,1
429,2.538,27,1
594,4.909,91,1
946,7.818,126,1
744,11.625,121,1
2630,26.3,348,1
441,5.444,86,1
360,4.444,57,1
368,5.75,65,1
112,1.75,21,1
2981,24.636,417,1
272,4.25,48,1
423,5.222,86,1
135,5.4,26,1
2116,4,212,1
232,3.625,41,1
259,5.286,43,1
1440,14.4,205,1
552,8.625,39,1
852,5.917,81,1
1199,9.909,146,1
3036,5.739,139,1
136,2.125,21,1
224,4.571,44,1
60,1.667,6,1
14,0.286,1,1
72,1.125,15,1
88,1.375,21,1
108,1.333,28,1
451,3.727,52,1
440,4.4,55,1
132,1.091,13,1
208,3.25,43,1
738,9.111,124,1
320,5,62,1
510,5.1,67,1
1590,15.9,184,1
704,2.75,111,1
2620,26.2,377,1
441,5.444,73,1
1520,15.2,208,1
3330,10.278,228,1
195,7.8,49,1
585,7.222,96,1
7300,11.68,459,1
2563,21.182,349,1
528,3.667,67,1
264,4.125,47,1
210,2.1,33,1
112,1.75,22,1
306,8.5,61,1
91,1.857,11,1
980,9.8,167,1
4815,59.444,422,1
1044,12.889,190,1
1589,32.429,215,1
387,4.778,65,1
5733,33.923,463,1
104,1.625,21,1
48,0.75,10,1
1298,10.727,80,1
30,1.2,5,1
5852,29.857,707,1
42,1.167,4,1
765,9.444,127,1
456,12.667,108,1
160,1.6,12,1
632,9.875,112,1
1064,16.625,162,1
77,1.571,7,1
44,2.75,12,1
60,2.4,9,1
175,7,8,1
44,2.75,14,1
136,2.125,22,1
312,4.875,56,1
84,1.714,18,1
1830,18.3,293,1
3420,23.75,324,1
496,7.75,80,1
98,2,19,1
700,14.286,120,1
140,2.857,31,1
531,6.556,82,1
256,4,43,1
80,0.8,5,1
280,4.375,51,1
380,3.8,59,1
567,7,83,1
578,2,4,1
495,19.8,78,1
133,2.714,12,1
42,0.857,7,1
98,2,17,1
120,3.333,32,1
520,5.2,89,1
909,11.222,140,1
32,0.5,3,1
120,1.875,19,1
108,3,21,1
1920,30,264,1
1260,12.6,200,1
21,2.333,1,1
63,1.286,10,1
189,2.333,23,1
99,0.818,6,1
120,1.875,23,1
380,23.75,78,1
1818,22.444,122,1
1505,30.714,253,1
140,2.857,38,1
423,5.222,48,1
160,6.4,49,1
143,143,18,1
765,9.444,121,1
189,2.333,28,1
2412,29.778,351,1
918,11.333,137,1
2997,37,452,1
664,10.375,115,1
315,3.889,52,1
1431,17.667,184,1
98,2,23,1
1260,12.6,193,1
20,0.8,4,1
376,5.875,66,1
1701,34.714,227,1
112,1.75,9,1
130,5.2,27,1
49,49,2,1
576,16,76,1
84,2.333,14,1
333,4.111,55,1
576,16,79,1
64,4,15,1
455,9.286,95,1
63,0.778,6,1
5744,22.438,399,1
182,3.714,36,1
1494,18.444,195,1
184,2.875,32,1
208,3.25,44,1
153,1.889,13,1
306,3.778,47,1
665,13.571,114,1
64,1,14,1
230,2.3,31,1
105,2.143,17,1
2448,30.222,365,1
128,2,19,1
1548,19.111,202,1
2520,31.111,336,1
63,0.778,9,1
208,3.25,38,1
600,9.375,100,1
1056,16.5,163,1
126,2.571,28,1
144,1.778,14,1
1210,12.1,180,1
145,5.8,31,1
2484,17.25,292,1
730,7.3,108,1
427,8.714,77,1
322,6.571,12,1
36,2.25,9,1
774,9.556,126,1
77,1.571,17,1
91,1.857,16,1
200,2,23,1
276,1.917,16,1
624,9.75,113,1
2720,27.2,319,1
42,0.857,10,1
18,500,4,1
380,3.8,50,1
4990,49.9,575,1
119,2.429,19,1
1300,13,212,1
378,4.667,60,1
2850,28.5,315,1
1176,8.167,135,1
864,6,113,1
152,2.375,31,1
760,11.875,120,1
1148,23.429,202,1
2720,42.5,355,1
600,6,91,1
175,3.571,27,1
56,0.875,14,1
540,3.75,38,1
392,8,36,1
455,9.286,82,1
720,8.889,115,1
252,5.143,56,1
75,3,12,1
60,2.4,15,1
4806,59.333,661,1
432,1.333,34,1
1674,20.667,213,1
873,10.778,174,1
380,3.8,59,1
6233,11.783,420,1
294,8.167,32,1
2490,24.9,315,1
552,8.625,90,1
98,2,24,1
378,7.714,71,1
756,15.429,130,1
20,0.8,1,1
120,1.875,14,1
980,20,167,1
88,0.727,10,1
35,0.714,1,1
91,1.857,18,1
252,5.143,52,1
784,12.25,156,1
245,5,52,1
340,3.4,56,1
330,3.3,43,1
152,2.375,31,1
230,2.3,42,1
14,0.286,4,1
196,4,39,1
60,2.4,12,1
72,4.5,7,1
584,9.125,92,1
3737,2.73,432,1
248,3.875,55,1
1980,24.444,316,1
306,3.778,57,1
396,4.889,74,1
152,2.375,30,1
192,3,35,1
4806,59.333,607,1
1232,19.25,190,1
230,2.3,30,1
200,2,12,1
119,2.429,27,1
288,3.556,46,1
140,2.857,29,1
420,8.571,80,1
80,1.25,18,1
4480,22.857,355,1
3087,38.111,401,1
63,1.286,12,1
664,10.375,90,1
198,5.5,41,1
288,4.5,65,1
168,2.625,27,1
117,1.444,17,1
161,3.286,38,1
216,6,56,1
294,6,33,1
63,1.286,11,1
153,1.889,21,1
304,4.75,55,1
679,13.857,79,1
814,6.727,98,1
300,3,56,1
63,1.286,14,1
275,2.273,40,1
287,5.857,64,1
126,2.571,30,1
64,1,13,1
260,2.6,39,1
80,3.2,25,1
2691,33.222,274,1
828,10.222,123,1
56,0.875,3,1
4037,33.364,544,1
963,11.889,161,1
378,7.714,55,1
1550,15.5,181,1
423,5.222,62,1
65,2.6,12,1
800,12.5,124,1
1098,13.556,144,1
99,99,18,1
828,10.222,118,1
184,2.875,36,1
108,1.333,20,1
486,6,96,1
70,2.8,21,1
24,0.667,7,1
45,0.556,2,1
104,1.625,10,1
1925,15.909,205,1
77,1.571,17,1
252,3.111,43,1
156,4.333,36,1
1550,15.5,195,1
2992,24.727,348,1
270,2.7,28,1
121,1,13,1
42,1.167,10,1
1720,26.875,243,1
2808,4.875,338,1
322,6.571,51,1
689,4.077,61,1
5180,26.429,554,1
208,3.25,38,1
156,4.333,40,1
620,6.2,75,1
231,4.714,14,1
3384,41.778,569,1
329,6.714,54,1
1089,9,117,1
738,9.111,87,1
306,3.778,63,1
600,6,93,1
396,4.889,66,1
3252,22.583,433,1
40,1.6,14,1
144,2.25,30,1
77,1.571,21,1
408,1.412,39,1
102,2.833,27,1
60,2.4,13,1
80,0.8,16,1
1342,11.091,177,1
153,1.889,16,1
1246,25.429,213,1
77,1.571,18,1
2475,30.556,359,1
2979,36.778,308,1
486,6,96,1
550,4.545,74,1
640,10,113,1
288,4.5,39,1
693,5.727,83,1
68,4.25,6,1
246,6.833,46,1
4543,37.545,664,1
1449,17.889,164,1
288,3.556,41,1
217,4.429,45,1
414,5.111,76,1
832,13,129,1
250,2.5,39,1
91,1.857,17,1
1326,36.833,183,1
485,19.4,82,1
650,6.5,112,1
970,9.7,165,1
4300,43,559,1
120,1.2,28,1
490,19.6,78,1
217,4.429,48,1
1296,16,120,1
672,10.5,101,1
152,2.375,27,1
48,3,4,1
2120,21.2,274,1
7,7,1,1
6480,25.313,467,1
558,6.889,87,1
600,9.375,105,1
42,0.857,7,1
238,4.857,45,1
440,17.6,96,1
715,5.909,107,1
4224,7.333,267,1
63,1.286,10,1
407,3.364,75,1
91,1.857,19,1
1008,7,149,1
128,2,29,1
5894,30.071,466,1
3542,18.071,302,1
216,2.667,35,1
60,1.667,14,1
77,1.571,20,1
288,3.556,55,1
637,13,92,1
47,47,19,1
96,1.5,21,1
5110,51.1,385,1
935,7.727,145,1
481,2.846,44,1
288,3.556,57,1
1647,20.333,252,1
112,2.286,19,1
2250,27.778,314,1
32,0.5,1,1
200,2,30,1
1104,30.667,179,1
120,1.875,26,1
28,7,3,1
1274,26,204,1
1134,14,186,1
472,7.375,76,1
242,2,25,1
203,4.143,34,1
494,2.923,42,1
30,1.2,8,1
28,0.571,5,1
270,7.5,66,1
230,9.2,28,1
378,4.667,61,1
490,4.9,86,1
2934,36.222,385,1
408,11.333,56,1
1575,19.444,222,1
171,2.111,32,1
972,12,125,1
72,0.889,4,1
120,1.2,22,1
1430,14.3,218,1
1792,7,201,1
384,6,62,1
288,3.556,40,1
392,6.125,88,1
4176,51.556,505,1
259,5.286,43,1
1216,19,164,1
972,12,155,1
161,3.286,38,1
2004,13.917,234,1
91,1.857,8,1
98,2,16,1
88,0.727,8,1
147,3,34,1
9,9,1,1
287,5.857,62,1
630,6.3,83,1
77,1.571,20,1
180,2.222,20,1
2250,27.778,317,1
435,1.933,55,1
96,1.5,23,1
91,1.857,16,1
144,1.778,12,1
91,1.857,13,1
4450,7.12,266,1
2981,24.636,355,1
2403,29.667,307,1
812,4.143,46,1
376,5.875,68,1
77,1.571,21,1
4446,26.308,477,1
3458,20.462,286,1
48,1.333,11,1
70,2.8,21,1
2510,25.1,293,1
24,0.667,4,1
63,1.286,9,1
225,2.778,40,1
2761,22.818,334,1
891,11,177,1
336,6.857,77,1
561,4.636,80,1
424,6.625,76,1
98,2,20,1
1578,43.833,177,1
88,0.727,7,1
294,6,43,1
140,2.857,26,1
3212,26.545,371,1
25,1,4,1
306,3.778,68,1
602,12.286,116,1
729,9,117,1
112,1.75,22,1
1000,10,159,1
246,6.833,44,1
128,2,22,1
740,7.4,103,1
369,4.556,68,1
798,16.286,114,1
96,0.667,1,1
1122,9.273,163,1
3141,38.778,306,1
275,2.273,46,1
96,0.667,10,1
12,1.333,1,1
245,5,38,1
18,0.5,1,1
2596,21.455,316,1
231,1.909,17,1
260,16.25,29,1
40,1.6,11,1
29,29,8,1
590,5.9,88,1
110,1.1,26,1
4824,59.556,662,1
91,91,31,1
490,10,93,1
40,0.625,6,1
3392,13.25,222,1
306,3.778,45,1
42,0.857,10,1
72,0.889,4,1
120,1.875,28,1
576,16,73,1
1860,18.6,267,1
91,1.857,11,1
136,2.125,25,1
108,1.333,26,1
266,5.429,60,1
136,2.125,24,1
180,0.139,15,1
2097,25.889,274,1
152,2.375,30,1
1200,18.75,187,1
175,3.571,40,1
2710,27.1,351,1
294,6,67,1
95,3.8,4,1
161,3.286,41,1
64,1,9,1
90,2.5,13,1
9,9,1,1
264,7.333,40,1
2820,28.2,378,1
232,3.625,48,1
552,8.625,82,1
7024,27.438,530,1
1190,11.9,190,1
1260,12.6,185,1
282,7.833,31,1
312,4.875,72,1
80,5,22,1
8500,13.6,444,1
1010,10.1,154,1
350,3.5,65,1
182,3.714,29,1
90,2.5,12,1
1012,8.364,159,1
84,1.714,19,1
306,3.778,59,1
5460,27.857,441,1
2241,27.667,306,1
168,3.429,24,1
242,2,30,1
77,1.571,15,1
1298,10.727,168,1
217,4.429,39,1
198,5.5,46,1
4381,25.923,514,1
261,3.222,47,1
266,5.429,53,1
891,11,164,1
4248,7.375,268,1
423,5.222,64,1
210,2.1,23,1
1550,15.5,177,1
1309,10.818,204,1
1760,17.6,263,1
4815,59.444,432,1
64,1,11,1
1036,21.143,159,1
4596,31.917,485,1
324,4,51,1
324,4,62,1
140,2.857,24,1
1540,3.182,70,1
324,4,61,1
95,3.8,15,1
28,0.571,2,1
208,3.25,39,1
128,2,19,1
497,10.143,105,1
340,3.4,63,1
4806,59.333,585,1
330,2.727,41,1
4650,7.44,305,1
65,65,12,1
231,1.909,24,1
297,3.667,57,1
84,1.714,12,1
1720,26.875,220,1
15,1.667,2,1
405,5,75,1
35,0.714,6,1
30,1.2,8,1
145,5.8,25,1
96,1.5,18,1
56,0.875,10,1
11232,19.5,689,1
1416,9.833,181,1
1700,17,268,1
2710,27.1,318,1
343,7,71,1
297,3.667,46,1
1450,14.5,213,1
1107,13.667,143,1
300,3,45,1
41,41,15,1
98,2,21,1
1498,30.571,234,1
341,2.818,53,1
980,9.8,171,1
568,8.875,112,1
480,4.8,46,1
1440,17.778,196,1
90,3.6,22,1
384,6,81,1
357,7.286,65,1
220,1.818,15,1
96,1.5,25,1
504,10.286,110,1
660,6.6,93,1
2241,27.667,344,1
360,5.625,58,1
520,5.2,74,1
45,45,8,1
200,2,29,1
918,11.333,135,1
2620,26.2,344,1
2690,26.9,160,1
114,3.167,25,1
90,0.9,18,1
324,4,59,1
370,3.7,61,1
406,8.286,35,1
84,2.333,20,1
63,1.286,15,1
192,5.333,38,1
682,5.636,75,1
120,1.875,14,1
374,3.091,49,1
98,2,22,1
945,11.667,144,1
498,13.833,104,1
1016,15.875,161,1
320,5,59,1
200,2,36,1
312,2.167,43,1
828,10.222,129,1
96,1.5,15,1
96,1.5,21,1
3333,27.545,67,1
196,4,36,1
5629,33.308,438,1
585,3.462,38,1
294,8.167,61,1
999,12.333,128,1
128,2,25,1
207,2.556,28,1
350,3.5,12,1
582,16.167,87,1
6784,26.5,471,1
462,3.818,69,1
104,1.625,23,1
504,6.222,84,1
770,15.714,117,1
140,2.857,26,1
1503,18.556,197,1
570,15.833,104,1
1272,141.33,5,1
1435,29.286,124,1
549,6.778,73,1
152,2.375,35,1
456,28.5,98,1
1332,16.444,198,1
3168,39.111,486,1
189,2.333,24,1
248,3.875,46,1
182,3.714,41,1
304,4.75,55,1
121,1,21,1
72,1.125,12,1
110,4.4,27,1
576,7.111,104,1
133,2.714,22,1
1386,11.455,180,1
576,7.111,87,1
1001,8.273,123,1
1674,20.667,255,1
120,1.875,22,1
656,10.25,97,1
315,6.429,33,1
924,7.636,155,1
294,6,52,1
77,1.571,20,1
396,4.889,67,1
216,3.375,45,1
170,6.8,29,1
2448,30.222,342,1
744,5.167,110,1
2502,30.889,345,1
3601,21.308,407,1
6720,11.667,399,1
891,11,171,1
198,5.5,41,1
4602,27.231,398,1
230,2.3,34,1
140,2.857,35,1
560,8.75,110,1
434,8.857,91,1
6720,11.667,400,1
231,4.714,40,1
240,3.75,44,1
3192,22.167,397,1
114,3.167,22,1
1184,18.5,198,1
220,2.2,34,1
40,1.6,9,1
1359,16.778,236,1
190,1.9,15,1
88,1.375,24,1
774,21.5,112,1
124,7.75,33,1
216,3.375,45,1
512,8,102,1
189,2.333,35,1
40,0.625,9,1
234,6.5,39,1
1057,21.571,61,1
1107,13.667,159,1
1672,13.818,212,1
1012,63.25,93,1
4675,7.48,306,1
264,4.125,51,1
3107,18.385,343,1
10712,15.846,1142,1
128,2,23,1
9,1,1,1
2992,24.727,420,1
48,1.333,10,1
4875,28.846,521,1
424,6.625,86,1
189,2.333,27,1
28,0.571,3,1
56,1.143,7,1
1494,18.444,217,1
462,3.818,70,1
558,6.889,69,1
372,23.25,70,1
265,10.6,46,1
253,2.091,18,1
72,2,14,1
3692,21.846,405,1
340,3.4,59,1
63,1.286,13,1
2620,26.2,369,1
286,2.364,42,1
260,2.6,38,1
162,4.5,11,1
165,6.6,43,1
1705,14.091,210,1
610,6.1,94,1
5304,31.385,579,1
840,8.4,121,1
220,2.2,29,1
1000,10,146,1
1521,18.778,200,1
506,4.182,79,1
1917,23.667,276,1
972,12,137,1
130,1.3,6,1
245,5,47,1
1304,20.375,179,1
469,9.571,71,1
217,4.429,48,1
112,1.75,18,1
224,3.5,44,1
850,8.5,122,1
156,4.333,32,1
927,11.444,159,1
207,2.556,39,1
85,3.4,18,1
530,5.3,79,1
296,4.625,50,1
133,2.714,23,1
96,1.5,22,1
1562,3.227,71,1
360,5.625,54,1
774,9.556,105,1
686,14,100,1
2610,26.1,388,1
95,3.8,22,1
24,0.667,2,1
4815,59.444,555,1
96,1.5,18,1
224,3.5,40,1
979,8.091,61,1
1936,30.25,262,1
6016,23.5,401,1
536,8.375,91,1
322,6.571,78,1
360,0.9,9,1
88,0.727,9,1
4464,7.75,304,1
640,6.4,57,1
342,4.222,68,1
77,0.636,8,1
240,6.667,37,1
2322,28.667,313,1
525,10.714,64,1
70,1.429,15,1
328,5.125,77,1
161,3.286,38,1
936,11.556,137,1
144,2.25,23,1
2592,18,248,1
72,1.125,15,1
180,2.222,30,1
351,4.333,55,1
819,10.111,119,1
35,1.4,3,1
189,2.333,26,1
5908,30.143,624,1
64,1,3,1
1428,7.286,172,1
96,1.5,20,1
280,2.8,56,1
100,1,1,1
1064,21.714,179,1
1048,16.375,177,1
324,4,65,1
168,4.667,37,1
376,5.875,64,1
96,1.5,21,1
200,2,15,1
56,0.875,12,1
2050,20.5,257,1
1125,13.889,140,1
70,2.8,14,1
25,1,7,1
1188,14.667,146,1
2414,0.479,119,1
232,3.625,50,1
98,2,16,1
192,3,42,1
384,6,72,1
312,2.167,43,1
608,9.5,75,1
7350,11.76,448,1
176,2.75,32,1
2710,27.1,388,1
250,2.5,35,1
3732,25.917,443,1
98,2,18,1
3632,14.188,300,1
280,5.714,50,1
286,2.364,37,1
