@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,7,11'

@attribute Height numeric
@attribute Lenght numeric
@attribute Eccen numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
8,61,7.625,2.03,1
38,410,10.789,2.39,1
7,17,2.429,2.64,1
8,70,8.75,2.36,1
11,90,8.182,2.82,1
6,51,8.5,2.44,1
11,413,37.545,2.44,1
17,60,3.529,7.1,5
10,50,5,2.74,1
14,186,13.286,2.5,1
3,3,1,7,1
7,12,1.714,2.86,1
7,26,3.714,2.07,1
8,5,0.625,3.67,5
9,271,30.111,1.82,1
9,198,22,1.88,1
7,65,9.286,1.52,1
6,17,2.833,1.3,1
11,271,24.636,1.52,1
8,1,0.125,7,5
8,10,1.25,1.92,1
4,9,2.25,1.67,1
10,100,10,1.45,1
7,5,0.714,7,1
8,245,30.625,1.36,1
10,60,6,1.47,1
7,17,2.429,1.44,1
8,46,5.75,1.42,1
8,263,32.875,1.19,1
1,10,10,4,1
7,9,1.286,2.22,1
4,6,1.5,2,1
6,28,4.667,1.29,1
14,29,2.071,1.63,1
8,11,1.375,1.75,1
6,13,2.167,1.64,1
7,41,5.857,1.33,1
6,11,1.833,1.69,1
4,12,3,1.4,1
9,23,2.556,1.57,1
5,13,2.6,1.69,1
1,27,27,1.83,2
9,17,1.889,1.75,1
7,16,2.286,2,1
10,53,5.3,1.44,1
6,7,1.167,1.83,1
7,18,2.571,1.36,1
9,46,5.111,1.47,1
8,27,3.375,1.29,1
7,4,0.571,3,1
7,33,4.714,1.44,1
7,8,1.143,1.78,1
7,27,3.857,1.33,1
8,47,5.875,1.26,1
9,22,2.444,1.31,1
9,5,0.556,2.2,1
8,81,10.125,1.29,1
5,15,3,1.35,1
7,41,5.857,1.55,1
10,49,4.9,1.26,1
7,5,0.714,2.25,1
6,11,1.833,1.54,1
9,56,6.222,1.24,1
5,5,1,2.17,1
9,41,4.556,1.32,1
7,14,2,1.38,1
7,9,1.286,1.83,1
7,48,6.857,1.44,1
7,21,3,1.34,1
9,54,6,1.24,1
9,39,4.333,1.53,1
6,7,1.167,2.14,1
7,14,2,1.52,1
7,39,5.571,1.43,1
7,21,3,1.71,1
7,11,1.571,1.38,1
7,16,2.286,1.68,1
7,21,3,1.4,1
7,8,1.143,1.07,1
7,11,1.571,1.33,1
9,30,3.333,1.46,1
5,11,2.2,1.33,1
7,21,3,1.52,1
7,38,5.429,1.55,1
7,14,2,1.18,1
6,14,2.333,1.28,1
6,24,4,1.46,1
6,13,2.167,1.41,1
7,14,2,1.45,1
6,15,2.5,2,1
6,7,1.167,1.5,1
8,40,5,1.24,1
9,26,2.889,1.37,1
7,16,2.286,2.07,1
9,17,1.889,1.67,1
7,207,29.571,1.29,1
9,28,3.111,1.51,1
6,38,6.333,1.51,1
9,39,4.333,1.49,1
7,45,6.429,1.29,1
7,59,8.429,1.24,1
9,103,11.444,1.42,1
6,13,2.167,1.41,1
9,18,2,1.56,1
7,10,1.429,1.5,1
5,27,5.4,1.41,1
7,52,7.429,1.21,1
9,20,2.222,1.68,1
7,11,1.571,1.53,1
5,32,6.4,1.35,1
7,11,1.571,1.35,1
7,18,2.571,1.36,1
9,18,2,1.44,1
7,17,2.429,1.52,1
7,35,5,1.52,1
5,11,2.2,1.71,1
7,40,5.714,1.44,1
7,41,5.857,1.48,1
9,44,4.889,1.38,1
7,8,1.143,2.17,1
9,35,3.889,1.97,1
10,12,1.2,1.67,5
8,10,1.25,2.92,1
12,271,22.583,1.86,1
16,21,1.313,1.6,5
8,16,2,2.44,1
53,48,0.906,4.69,5
9,23,2.556,2.42,1
5,7,1.4,7,2
8,10,1.25,1.94,1
9,4,0.444,9,5
12,4,0.333,2,5
8,12,1.5,2.11,1
10,35,3.5,2.62,1
8,36,4.5,1.89,1
9,56,6.222,2.22,1
11,12,1.091,2.22,1
10,41,4.1,2.01,1
8,56,7,2.09,1
11,134,12.182,2.36,1
1,19,19,4.67,2
8,8,1,2.78,1
7,23,3.286,1.89,1
8,12,1.5,2.73,1
9,272,30.222,1.87,1
8,14,1.75,2.04,1
8,25,3.125,2.06,1
8,8,1,3.44,1
11,44,4,2.01,1
8,7,0.875,2.63,1
8,14,1.75,2,1
11,31,2.818,2.08,1
7,31,4.429,2.44,1
8,82,10.25,2.1,1
8,18,2.25,2.17,1
5,4,0.8,3.25,1
11,240,21.818,2.05,1
8,20,2.5,2.35,1
9,16,1.778,1.74,1
6,14,2.333,2.29,1
8,21,2.625,2.23,1
11,54,4.909,1.99,1
8,12,1.5,2,1
9,34,3.778,2.06,1
7,15,2.143,1.74,1
10,36,3.6,1.98,1
8,22,2.75,2.56,1
11,233,21.182,1.8,1
10,23,2.3,2.19,1
8,12,1.5,1.95,1
8,28,3.5,2.58,1
10,44,4.4,1.92,1
8,43,5.375,1.71,1
9,28,3.111,1.95,1
7,14,2,1.95,1
20,39,1.95,3.21,5
10,41,4.1,1.61,1
7,19,2.714,1.83,1
7,2,0.286,12,1
3,3,1,7,1
4,3,0.75,2.67,1
10,9,0.9,2.5,1
7,10,1.429,2.08,1
5,13,2.6,4.29,1
8,16,2,1.91,1
7,35,5,2.2,1
6,37,6.167,2.23,1
8,22,2.75,2.6,1
8,34,4.25,1.88,1
8,19,2.375,3,1
7,7,1,2.83,1
9,53,5.889,2.42,1
8,5,0.625,2.14,1
10,23,2.3,2.22,1
8,13,1.625,1.81,1
8,12,1.5,1.48,1
8,33,4.125,1.57,1
10,262,26.2,1.76,1
8,37,4.625,1.87,1
10,30,3,2.42,1
10,26,2.6,2.33,1
10,58,5.8,2.17,1
10,251,25.1,1.77,1
10,261,26.1,1.81,1
11,261,23.727,1.93,1
8,23,2.875,1.91,1
8,4,0.5,2.71,1
7,13,1.857,2.05,1
7,18,2.571,1.79,1
7,19,2.714,2.73,1
8,26,3.25,1.75,1
6,8,1.333,2.18,1
8,15,1.875,2.2,1
8,26,3.25,2.5,1
10,52,5.2,2,1
10,36,3.6,1.86,1
9,56,6.222,1.94,1
6,7,1.167,2.11,1
10,40,4,2.07,1
8,7,0.875,1.82,1
8,168,21,1.76,1
8,6,0.75,3,1
10,59,5.9,1.7,1
7,20,2.857,2.32,1
7,35,5,1.9,1
7,8,1.143,2.3,1
7,20,2.857,2.24,1
7,23,3.286,1.37,1
12,69,5.75,3.15,1
24,177,7.375,8.05,1
7,63,9,1.71,1
8,106,13.25,2.29,1
2,536,268,30.37,2
8,233,29.125,1.58,1
7,51,7.286,1.14,1
1,88,88,1,1
7,13,1.857,1.85,1
1,40,40,1.17,1
7,13,1.857,1.56,1
9,510,56.667,1.24,1
9,453,50.333,1.21,1
7,66,9.429,1.49,1
8,102,12.75,2.7,1
5,31,6.2,1.49,1
9,520,57.778,1.37,1
8,148,18.5,1.24,1
8,101,12.625,1.29,1
25,491,19.64,7.21,1
7,61,8.714,1.77,1
28,32,1.143,7.43,3
9,180,20,2.47,1
2,64,32,3.93,2
9,533,59.222,1.34,1
7,147,21,1.28,1
29,31,1.069,6.93,3
2,537,268.5,181.33,2
7,152,21.714,1.27,1
7,228,32.571,1.4,1
9,533,59.222,1.3,1
8,96,12,1.77,1
8,107,13.375,2.24,1
9,536,59.556,1.38,1
2,99,49.5,4.55,2
2,537,268.5,26.57,2
8,151,18.875,1.18,1
10,219,21.9,1.24,1
1,148,148,73,2
10,251,25.1,1.23,1
7,141,20.143,1.16,1
1,60,60,1.09,1
8,69,8.625,1.29,1
1,187,187,25.71,2
25,187,7.48,7.42,1
2,538,269,34.88,2
10,511,51.1,1.53,1
8,38,4.75,1.86,1
9,129,14.333,1.41,1
10,508,50.8,1.41,1
7,41,5.857,1.43,1
7,173,24.714,1.34,1
9,352,39.111,1.34,1
9,256,28.444,1.36,1
7,205,29.286,1.26,1
9,194,21.556,1.37,1
9,167,18.556,2.88,1
8,62,7.75,1.43,1
8,216,27,1.33,1
9,259,28.778,1.31,1
6,13,2.167,2.7,1
7,223,31.857,1.33,1
2,535,267.5,117.8,2
9,509,56.556,1.34,1
9,148,16.444,1.17,1
7,117,16.714,1.26,1
9,38,4.222,2.18,1
12,84,7,4.75,1
14,11,0.786,8.1,1
12,71,5.917,5.86,1
12,85,7.083,5.4,1
11,228,20.727,2.96,1
10,89,8.9,3.25,1
1,36,36,5.25,2
8,43,5.375,2.73,1
24,337,14.042,18.29,1
14,314,22.429,4.66,1
10,159,15.9,3.13,1
10,18,1.8,8.82,1
8,154,19.25,2.75,1
9,82,9.111,2.47,1
12,72,6,6.73,1
10,18,1.8,7.2,1
3,3,1,7,1
1,27,27,1.4,2
3,4,1.333,8,1
9,18,2,7.13,1
8,54,6.75,3.36,1
12,72,6,6.11,1
9,8,0.889,13,1
13,222,17.077,4.92,1
10,252,25.2,2.88,1
10,19,1.9,7.36,1
11,184,16.727,4.6,1
9,1,0.111,9,4
12,72,6,6.4,1
25,261,10.44,17.75,1
28,281,10.036,4.72,1
10,19,1.9,8.14,1
9,369,41,2.67,1
12,72,6,5.97,1
14,416,29.714,4.64,1
10,16,1.6,7.56,1
11,184,16.727,4.41,1
9,249,27.667,2.54,1
27,267,9.889,4.36,1
15,121,8.067,5.35,1
11,205,18.636,3.01,1
12,11,0.917,12.29,1
16,391,24.438,5.26,1
39,353,9.051,16.89,1
12,20,1.667,8.19,1
25,203,8.12,15.22,1
15,222,14.8,5.34,1
12,69,5.75,2.81,1
16,382,23.875,5.16,1
24,334,13.917,14.3,1
9,82,9.111,2.86,1
11,94,8.545,3.12,1
10,248,24.8,2.6,1
8,13,1.625,5.91,1
10,238,23.8,2.85,1
10,279,27.9,2.7,1
9,80,8.889,1.8,1
8,184,23,1.64,1
59,84,1.424,148.36,1
6,184,30.667,1.54,1
8,76,9.5,1.88,1
8,113,14.125,1.41,1
6,47,7.833,1.61,1
4,25,6.25,1.33,1
7,162,23.143,1.49,1
17,22,1.294,4.5,1
10,189,18.9,2.34,1
8,231,28.875,1.65,1
5,17,3.4,2.91,1
7,223,31.857,1.4,1
9,100,11.111,1.83,1
4,44,11,1.81,1
5,107,21.4,1.43,1
74,183,2.473,127,1
14,192,13.714,2.28,1
14,284,20.286,2.24,1
7,61,8.714,1.47,1
5,94,18.8,1.63,1
6,95,15.833,1.97,1
5,94,18.8,1.91,1
7,19,2.714,1.65,1
6,93,15.5,1.52,1
16,24,1.5,5.28,1
12,91,7.583,2.46,1
6,96,16,1.51,1
91,285,3.132,113.89,5
65,50,0.769,245.83,3
8,1,0.125,8,4
8,48,6,2.03,1
5,2,0.4,8,1
2,47,23.5,1.14,1
1,22,22,1.17,1
6,82,13.667,1.31,1
7,2,0.286,9,4
67,296,4.418,1.54,1
6,18,3,1.76,1
16,106,6.625,1.49,1
7,28,4,1.56,1
7,65,9.286,2.18,1
6,85,14.167,1.42,1
5,28,5.6,1.39,1
7,22,3.143,1.36,1
7,40,5.714,1.25,1
6,40,6.667,1.43,1
6,8,1.333,2.86,1
7,34,4.857,1.48,1
1,12,12,4,2
10,94,9.4,1.78,1
1,277,277,137.5,2
7,41,5.857,1.32,1
2,100,50,11.5,2
9,1,0.111,9,4
9,134,14.889,1.65,1
1,71,71,2.31,2
8,346,43.25,1.31,1
6,135,22.5,1.37,1
7,135,19.286,1.43,1
7,91,13,1.24,1
5,63,12.6,1.47,1
4,10,2.5,3,1
1,10,10,10,2
8,22,2.75,2.59,1
6,4,0.667,5,1
10,121,12.1,2.47,1
2,21,10.5,6.33,2
11,90,8.182,2.41,1
11,104,9.455,2.97,1
14,84,6,2.31,1
10,41,4.1,2.79,1
36,5,0.139,7.87,1
11,12,1.091,4.13,1
1,70,70,22,2
10,47,4.7,2.97,1
