@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,5,11'

@attribute Height numeric
@attribute P_black numeric
@attribute Class {1,2,3,4,5}

@data
6,0.458,1
7,0.378,1
6,0.324,1
9,0.227,1
7,0.304,1
9,0.222,1
7,0.249,1
5,0.3,1
7,0.353,1
10,0.222,1
8,0.313,1
7,0.079,1
7,0.218,1
7,0.229,1
7,0.365,1
9,0.279,1
9,0.27,1
5,0.442,1
7,0.268,1
7,0.286,1
7,0.286,1
7,0.214,1
7,0.342,1
7,0.327,1
6,0.369,1
5,0.543,1
7,0.286,1
7,0.244,1
10,0.182,1
7,0.364,1
6,0.317,1
8,0.284,1
7,0.311,1
7,0.377,1
6,0.333,1
7,0.354,1
7,0.259,1
7,0.299,1
7,0.338,1
9,0.263,1
9,0.291,1
5,0.321,1
7,0.169,1
6,0.289,1
7,0.282,1
9,0.257,1
9,0.211,1
8,0.207,1
9,0.249,1
7,0.314,1
9,0.255,1
9,0.198,1
9,0.235,1
7,0.447,1
7,0.304,1
8,0.288,1
7,0.306,1
8,0.382,1
6,0.524,1
8,0.406,1
8,0.45,1
6,0.542,1
8,0.385,1
8,0.443,1
8,0.458,1
10,0.473,1
8,0.529,1
8,0.401,1
6,0.49,1
10,0.382,1
17,0.209,5
8,0.368,1
8,0.337,1
53,0.157,5
8,1,4
6,0.528,1
11,0.388,1
10,0.344,1
8,0.411,1
6,0.537,1
10,0.239,1
8,0.435,1
9,0.32,1
8,0.427,1
8,0.515,1
9,0.382,1
11,0.186,1
8,0.469,1
8,0.435,1
10,0.392,1
11,0.283,1
8,0.411,1
11,0.252,1
8,0.429,1
10,0.338,1
5,0.6,1
10,0.189,1
11,0.352,1
9,0.342,1
9,0.491,1
10,0.319,1
8,0.282,1
8,0.433,1
10,0.328,1
8,0.406,1
10,0.4,1
8,0.413,1
12,0.207,1
8,0.391,1
10,0.375,1
10,0.3,1
10,0.357,1
5,0.457,1
8,0.314,1
10,0.306,1
7,0.482,1
7,0.592,1
7,0.714,1
10,0.292,1
10,0.252,1
9,0.278,1
10,0.27,1
4,0.6,1
7,0.421,1
10,0.268,1
6,0.37,1
9,0.312,1
8,0.375,1
9,0.344,1
11,0.234,1
8,0.35,1
10,0.326,1
7,0.457,1
5,0.7,1
6,0.519,1
8,0.361,1
8,0.297,1
10,0.444,1
10,0.303,1
8,0.296,1
10,0.32,1
10,0.311,1
11,0.25,1
10,0.342,1
7,0.486,1
5,0.557,1
6,0.375,1
5,0.54,1
8,0.375,1
8,0.396,1
7,0.464,1
6,0.483,1
7,0.355,1
8,0.438,1
8,0.356,1
9,0.444,1
11,0.251,1
11,0.21,1
8,0.378,1
7,0.468,1
8,0.436,1
9,0.325,1
8,0.525,1
8,0.425,1
8,0.518,1
11,0.231,1
8,0.385,1
8,0.339,1
10,0.375,1
6,0.5,1
7,0.396,1
10,0.296,1
10,0.255,1
11,0.217,1
10,0.332,1
8,0.328,1
7,0.409,1
8,0.326,1
86,0.164,5
27,0.261,1
24,0.449,1
9,0.376,1
10,0.325,1
7,0.286,1
8,0.158,1
2,0.184,1
8,0.109,1
13,0.258,1
7,0.283,1
7,0.288,1
6,0.417,1
9,0.357,1
6,0.282,1
8,0.142,1
1,1,2
32,0.142,5
9,0.146,1
8,0.234,1
10,0.113,1
8,0.151,1
6,0.356,1
31,0.224,5
7,0.501,1
8,0.404,1
9,0.305,1
9,0.106,1
5,0.269,1
7,0.16,1
13,0.232,1
25,0.471,1
8,0.494,1
8,0.29,1
9,0.329,1
10,0.141,1
8,0.292,1
28,0.172,5
7,0.279,1
8,0.427,1
9,0.198,1
9,0.192,1
7,0.142,1
9,0.16,1
13,0.334,1
8,0.245,1
2,0.518,2
9,0.209,1
9,0.137,1
7,0.105,1
7,0.327,1
9,0.074,1
6,0.359,1
6,0.295,1
9,0.16,1
14,0.683,1
13,0.312,1
24,0.452,1
25,0.45,1
3,0.373,2
6,0.301,1
7,0.131,1
9,0.197,1
9,0.17,1
9,0.18,1
7,0.168,1
2,0.586,2
10,0.318,1
1,0.818,2
1,0.8,2
53,1,4
14,0.443,1
10,0.579,1
37,1,2
31,1,4
1,0.909,2
1,0.931,2
83,0.298,5
1,0.5,2
10,0.351,1
24,0.915,1
14,0.38,1
10,0.605,1
13,0.375,1
26,0.188,1
8,0.452,1
11,1,4
25,0.215,2
10,0.506,1
13,0.4,1
1,0.536,2
178,0.574,3
20,1,4
9,0.608,1
12,0.402,1
31,1,4
10,0.381,1
13,0.375,1
11,0.353,1
11,0.354,1
14,0.365,1
9,0.36,1
7,0.467,1
9,0.38,1
166,0.359,3
9,0.667,1
11,0.53,1
16,0.385,1
11,0.564,1
16,0.401,1
7,0.5,1
3,0.917,1
11,0.333,1
10,0.371,1
11,0.603,1
12,0.542,1
11,0.379,1
187,0.415,3
23,0.953,1
16,0.371,1
12,0.675,1
8,0.575,1
8,0.446,1
4,0.191,1
77,0.465,1
17,0.362,1
9,0.268,1
4,0.181,1
18,0.366,1
9,0.273,1
9,0.287,1
8,0.27,1
17,0.326,1
5,0.154,1
7,0.174,1
8,0.194,1
5,0.287,1
8,0.232,1
197,0.273,5
7,0.258,1
9,0.351,1
10,0.207,1
4,0.312,1
13,0.205,1
10,0.191,1
5,0.342,1
5,0.404,1
5,0.334,1
6,0.342,1
7,0.382,1
9,0.209,1
1,0.4,1
8,0.438,1
5,0.17,1
1,0.352,1
6,0.199,1
7,0.302,1
5,0.233,1
105,0.529,4
7,0.262,1
8,0.203,1
71,0.094,1
5,0.093,1
8,0.205,1
5,0.433,1
5,0.292,1
5,0.338,1
14,0.179,1
1,0.882,2
11,0.215,1
7,0.321,1
9,0.219,1
8,0.185,1
7,0.349,1
7,0.262,1
6,0.124,1
7,0.159,1
7,0.213,1
7,0.185,1
28,0.271,1
17,0.935,2
14,0.303,1
1,0.992,2
6,0.538,1
12,0.391,1
11,0.455,1
11,0.438,1
9,1,4
10,0.258,1
11,0.234,1
11,0.268,1
2,0.452,2
1,0.85,2
1,0.92,2
1,0.964,2
