@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,11'

@attribute Height numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
7,182,3.714,1
9,180,2.222,1
9,576,7.111,1
11,561,4.636,1
11,660,5.455,1
8,96,1.5,1
10,260,2.6,1
10,180,1.8,1
11,2343,19.364,1
11,1056,8.727,1
10,610,6.1,1
10,520,5.2,1
10,370,3.7,1
8,64,1,1
8,96,1.5,1
8,216,3.375,1
8,416,6.5,1
10,180,1.8,1
8,512,8,1
6,126,3.5,2
8,240,3.75,1
6,72,2,1
11,1694,14,1
10,70,0.7,1
10,100,1,1
10,300,3,1
7,140,2.857,1
8,32,0.5,1
8,312,4.875,1
5,70,2.8,1
10,390,3.9,1
10,610,6.1,1
10,310,3.1,1
8,160,2.5,1
8,96,1.5,1
10,290,2.9,1
8,248,3.875,1
8,96,1.5,1
10,280,2.8,1
8,120,1.875,1
6,156,4.333,1
8,568,8.875,1
10,160,1.6,1
7,175,3.571,1
8,128,2,1
5,20,0.8,1
8,112,1.75,1
8,160,2.5,1
8,272,4.25,1
8,240,3.75,1
8,72,1.125,1
9,801,9.889,1
8,128,2,1
8,96,1.5,1
10,2620,26.2,1
7,98,2,1
10,530,5.3,1
8,640,10,1
9,261,3.222,1
11,2882,23.818,1
8,104,1.625,1
9,162,2,1
8,200,3.125,1
6,42,1.167,1
8,344,5.375,1
7,112,2.286,1
10,370,3.7,1
10,410,4.1,1
7,315,6.429,1
8,128,2,1
7,98,2,1
7,126,2.571,1
8,232,3.625,1
8,368,5.75,1
7,21,0.429,1
7,112,2.286,1
6,192,5.333,1
9,1188,14.667,1
7,91,1.857,1
9,2412,29.778,1
6,72,2,1
9,4185,51.667,1
1,89,89,1
6,72,2,1
9,3087,38.111,1
9,4572,56.444,1
9,4662,57.556,1
30,1800,2,5
8,880,13.75,1
9,2448,30.222,1
9,2475,30.556,1
14,4172,21.286,1
8,664,10.375,1
8,2200,34.375,1
9,4572,56.444,1
8,2192,34.25,1
10,4990,49.9,1
8,496,7.75,1
9,981,12.111,1
8,664,10.375,1
9,3141,38.778,1
25,12350,19.76,1
28,896,1.143,3
8,2392,37.375,1
8,664,10.375,1
1,214,214,2
9,2520,31.111,1
7,413,8.429,1
7,434,8.857,1
10,3180,31.8,1
9,945,11.667,1
2,1076,269,2
10,1760,17.6,1
10,3090,30.9,1
10,5110,51.1,1
13,4875,28.846,1
8,120,1.875,1
8,120,1.875,1
8,912,14.25,1
13,494,2.923,1
24,4248,7.375,1
9,738,9.111,1
9,1494,18.444,1
25,4650,7.44,1
9,1629,20.111,1
9,1548,19.111,1
9,3177,39.222,1
9,1296,16,1
9,891,11,1
2,1074,268.5,2
9,1476,18.222,1
8,2184,34.125,1
8,792,12.375,1
8,1720,26.875,1
9,4113,50.778,1
7,1176,24,1
9,2934,36.222,1
6,786,21.833,1
1,104,104,1
54,54,0.019,4
10,550,5.5,1
10,1620,16.2,1
1,11,11,2
10,180,1.8,1
11,2035,16.818,1
13,4446,26.308,1
6,78,2.167,1
1,379,379,2
10,500,5,1
10,800,8,1
11,3025,25,1
7,252,5.143,1
1,15,15,2
8,1128,17.625,1
24,8064,14,1
7,7,0.143,2
132,72204,4.144,3
1,32,32,1
10,1550,15.5,1
1,39,39,2
24,2976,5.167,1
10,190,1.9,1
15,6285,27.933,1
54,19278,6.611,5
9,747,9.222,1
10,10,0.1,4
17,1802,6.235,1
17,4522,15.647,1
9,153,1.889,1
1,193,193,2
8,400,6.25,1
10,1540,15.4,1
10,2400,24,1
14,5866,29.929,1
9,171,2.111,1
14,4466,22.786,1
6,324,9,1
9,9,0.111,4
1,32,32,2
11,4763,39.364,1
14,5880,30,1
24,4752,8.25,1
9,2250,27.778,1
24,4080,7.083,1
10,190,1.9,1
17,5950,20.588,1
12,3192,22.167,1
16,2896,11.313,1
7,553,11.286,1
10,1550,15.5,1
9,702,8.667,1
11,770,6.364,1
12,852,5.917,1
24,7416,12.875,1
16,5392,21.063,1
16,3392,13.25,1
3,1272,141.33,1
186,87234,2.522,3
9,1395,17.222,1
23,3151,5.957,1
11,957,7.909,1
9,1395,17.222,1
1,14,14,2
15,2310,10.267,1
12,2592,18,1
17,6851,23.706,1
11,4158,34.364,1
9,1350,16.667,1
8,104,1.625,1
7,560,11.429,1
8,1048,16.375,1
8,1648,25.75,1
8,1848,28.875,1
4,76,4.75,1
17,374,1.294,1
7,945,19.286,1
8,936,14.625,1
6,126,3.5,4
4,124,7.75,1
6,558,15.5,1
1,18,18,1
10,3230,32.3,1
8,2384,37.25,1
10,3190,31.9,1
6,576,16,1
6,576,16,1
6,582,16.167,1
10,3030,30.3,1
4,276,17.25,1
32,32,0.031,4
9,342,4.222,1
9,1440,17.778,1
8,960,15,1
1,35,35,1
7,217,4.429,1
1,63,63,2
7,735,15,1
7,371,7.571,1
9,675,8.333,1
8,552,8.625,1
1,47,47,1
6,234,6.5,1
8,136,2.125,1
8,1440,22.5,1
7,280,5.714,1
7,672,13.714,1
7,756,15.429,1
1,184,184,2
3,1650,183.33,2
10,180,1.8,1
11,242,2,1
10,230,2.3,1
3,1389,154.33,2
9,162,2,1
1,8,8,2
13,2834,16.769,1
5,25,1,1
8,872,13.625,1
9,2799,34.556,1
2,104,26,2
158,26386,1.057,5
9,1629,20.111,1
7,301,6.143,1
11,528,4.364,5
9,2079,25.667,1
7,595,12.143,1
1,172,172,2
7,665,13.571,1
7,602,12.286,1
7,420,8.571,1
8,720,11.25,1
5,95,3.8,1
7,861,17.571,1
5,445,17.8,1
5,60,2.4,1
8,224,3.5,1
10,100,1,1
1,138,138,2
9,261,3.222,1
2,50,12.5,2
2,48,12,2
11,121,1,1
1,159,159,2
1,199,199,2
60,3420,0.95,1
11,1716,14.182,1
11,132,1.091,1
