@relation page-blocks

@attribute Height numeric
@attribute Blackpix numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
31,6881,7519,1
9,120,347,1
11,244,622,1
25,3448,6676,1
8,189,713,1
7,259,790,1
11,847,2103,1
4,116,284,1
9,395,869,1
16,2150,3279,1
23,2739,2875,1
10,805,3194,1
9,192,614,1
7,24,80,1
9,172,311,1
26,3696,4241,1
8,58,165,1
8,264,624,1
7,60,197,1
9,28,81,1
11,1612,3623,1
9,799,2841,1
10,48,112,1
9,165,320,1
7,34,80,1
7,38,84,1
9,111,327,1
7,35,88,1
8,117,511,1
6,77,131,1
8,51,106,1
6,53,168,1
7,42,79,1
24,4329,4670,1
9,64,151,1
10,451,781,1
13,253,452,1
7,12,12,1
5,62,90,1
8,45,184,1
7,46,140,1
8,67,178,1
7,23,76,1
8,187,383,1
7,129,385,1
11,60,122,1
22,326,1354,1
11,286,557,1
8,428,1369,1
7,140,437,1
17,174,300,1
8,81,151,1
11,868,1928,1
1,36,95,1
8,137,325,1
10,114,259,1
24,2670,2800,1
5,18,50,1
8,140,377,1
5,88,144,1
7,81,178,1
9,479,953,1
7,17,48,1
6,19,33,1
9,62,197,1
6,21,95,1
8,118,336,1
5,162,403,1
11,824,2222,1
9,366,910,1
7,32,83,1
8,349,1144,1
24,2746,2877,1
6,59,152,1
8,70,257,1
8,151,383,1
11,158,414,1
9,310,1152,1
8,49,111,1
1,14,32,1
10,100,279,1
16,2582,4480,1
13,422,948,1
9,190,812,1
10,297,509,1
6,24,84,1
7,20,44,1
12,879,1957,1
1,36,177,1
9,136,395,1
11,707,1833,1
7,27,71,1
11,188,414,1
10,199,577,1
9,518,1098,1
7,18,44,1
8,42,92,1
7,53,124,1
6,64,173,1
9,249,632,1
6,114,238,1
8,84,247,1
9,240,831,1
9,256,439,1
6,56,334,1
9,432,1103,1
7,49,111,1
8,34,78,1
5,40,79,1
7,29,47,1
7,268,797,1
12,357,935,1
8,446,1643,1
9,686,2484,1
7,188,584,1
9,410,787,1
10,170,225,1
7,27,56,1
12,1636,3254,1
9,319,1288,1
12,86,97,1
9,326,1478,1
8,445,1765,1
10,223,640,1
8,57,127,1
6,169,417,1
9,329,1339,1
13,1459,3983,1
11,75,230,1
8,41,84,1
8,60,120,1
7,455,1591,1
7,89,302,1
9,736,3073,1
33,1400,3627,1
7,46,133,1
9,83,180,1
10,499,1703,1
9,354,1322,1
8,63,120,1
14,40,153,1
6,44,116,1
6,94,155,1
9,100,305,1
7,11,43,1
3,8,8,1
8,98,326,1
6,137,409,1
9,401,1350,1
5,86,375,1
11,157,205,1
11,148,211,1
7,29,77,1
12,518,738,1
9,22,61,1
9,405,1000,1
7,27,43,1
10,245,524,1
10,62,146,1
7,14,42,1
7,15,31,1
11,127,194,1
10,689,1771,1
5,158,344,1
10,354,1559,1
5,30,44,1
9,183,306,1
7,320,1036,1
8,129,443,1
9,259,847,1
12,159,228,1
7,9,13,1
11,371,959,1
11,250,822,1
13,165,463,1
7,254,643,1
9,222,935,1
16,2196,4157,1
9,437,1097,1
8,411,1497,1
8,44,96,1
10,147,337,1
8,126,492,1
7,60,139,1
14,938,2777,1
15,1136,2594,1
6,13,28,1
8,140,384,1
7,216,414,1
7,38,83,1
7,7,13,1
8,32,99,1
7,228,1110,1
9,225,573,1
6,22,109,1
9,42,92,1
10,410,846,1
8,47,124,1
11,393,700,1
11,65,99,1
10,327,791,1
9,80,169,1
10,121,285,1
8,24,56,1
19,207,208,1
7,121,245,1
9,138,312,1
22,823,1356,1
3,7,7,1
10,82,207,1
8,38,89,1
8,138,419,1
11,185,359,1
8,27,53,1
9,290,759,1
4,199,373,1
9,199,531,1
11,152,286,1
9,737,1622,1
8,186,502,1
3,7,7,1
9,24,73,1
11,65,106,1
9,238,832,1
11,217,511,1
8,26,57,1
8,86,202,1
1,13,22,1
9,100,238,1
5,14,37,1
12,1584,3568,1
7,21,52,1
11,281,708,1
12,531,745,1
6,56,157,1
5,65,160,1
11,518,982,1
9,243,851,1
8,50,111,1
7,125,325,1
6,29,56,1
9,248,598,1
13,155,477,1
9,120,323,1
9,208,575,1
8,98,179,1
8,74,186,1
9,116,216,1
6,46,76,1
10,353,714,1
10,130,188,1
5,10,16,1
7,82,328,1
9,290,854,1
7,34,98,1
2,12,32,1
12,334,798,1
10,220,348,1
10,289,481,1
9,110,286,1
10,1239,2508,1
8,177,492,1
9,116,294,1
6,38,106,1
9,235,1156,1
5,10,29,1
24,348,875,1
7,32,75,1
13,1906,3176,1
11,668,1830,1
13,593,1425,1
8,128,338,1
10,114,204,1
8,42,124,1
8,103,232,1
23,166,574,1
10,46,46,1
7,187,813,1
8,56,86,1
28,2502,4339,1
8,222,597,1
7,9,12,1
11,358,800,1
9,216,561,1
8,23,49,1
9,254,676,1
10,245,602,1
9,262,633,1
10,115,294,1
9,135,268,1
9,643,1142,1
10,159,358,1
8,39,109,1
10,52,110,1
7,85,189,1
8,61,87,1
9,177,304,1
5,9,14,1
8,50,129,1
9,684,2717,1
6,19,47,1
9,566,2323,1
8,152,416,1
8,58,189,1
9,171,356,1
10,1508,3318,1
9,182,690,1
6,53,152,1
7,30,94,1
8,12,32,1
16,2145,4103,1
8,70,161,1
12,942,2125,1
10,736,1811,1
9,423,1517,1
7,8,27,1
9,402,783,1
13,351,430,1
8,46,111,1
7,228,777,1
9,99,141,1
5,16,44,1
7,81,459,1
10,270,462,1
10,82,224,1
14,439,1054,1
7,23,40,1
9,125,262,1
6,62,161,1
38,4341,10849,1
7,66,194,1
25,930,1722,1
7,29,29,1
3,8,8,1
10,86,131,1
11,451,943,1
9,151,351,1
7,40,152,1
9,77,230,1
7,202,490,1
6,169,461,1
9,92,136,1
10,31,77,1
10,112,429,1
10,108,245,1
10,731,1584,1
6,55,146,1
9,258,912,1
2,9,21,1
9,225,615,1
5,16,35,1
11,714,1674,1
14,31,36,1
7,44,97,1
9,46,110,1
5,7,17,1
8,197,467,1
22,808,1290,1
6,324,743,1
10,45,105,1
10,107,261,1
13,421,992,1
8,154,316,1
7,27,42,1
10,510,931,1
12,225,518,1
6,43,84,1
8,37,91,1
13,1919,3514,1
8,52,85,1
9,177,705,1
10,30,102,1
15,2167,3342,1
10,98,226,1
5,13,25,1
8,99,219,1
9,90,199,1
9,163,388,1
9,236,676,1
7,29,73,1
7,116,311,1
10,236,406,1
9,524,1026,1
10,84,233,1
8,234,790,1
12,1773,4374,1
8,38,93,1
7,20,42,1
10,57,172,1
10,109,252,1
3,7,7,1
8,242,641,1
9,401,1091,1
11,48,72,1
6,125,459,1
8,14,24,1
7,362,904,1
7,99,287,1
4,25,60,1
8,97,204,1
8,46,90,1
8,144,485,1
8,99,246,1
6,107,215,1
11,829,2171,1
10,508,1765,1
5,41,97,1
7,15,39,1
8,424,840,1
9,347,1351,1
7,110,224,1
26,3464,7010,1
10,575,1186,1
9,101,140,1
9,926,3167,1
9,99,311,1
10,410,807,1
5,29,60,1
9,522,1058,1
6,207,477,1
6,146,438,1
7,64,186,1
8,113,275,1
1,9,9,1
11,383,932,1
7,109,263,1
8,25,64,1
6,84,312,1
6,202,435,1
9,515,1213,1
11,57,89,1
8,59,165,1
13,255,572,1
7,27,56,1
7,92,459,1
8,380,973,1
8,211,578,1
8,54,132,1
10,297,668,1
5,26,75,1
9,25,118,1
10,684,2215,1
7,49,106,1
28,1016,2163,1
9,131,471,1
1,14,49,1
9,433,859,1
9,197,371,1
7,25,75,1
8,450,1183,1
7,62,238,1
11,465,711,1
10,60,186,1
14,1956,3224,1
10,444,1206,1
9,313,1195,1
7,69,183,1
7,182,476,1
9,96,141,1
10,234,753,1
13,1076,2340,1
6,27,74,1
10,132,304,1
9,74,113,1
10,744,2545,1
5,66,159,1
26,3424,7118,1
4,12,38,1
11,90,188,1
14,1848,3093,1
8,194,697,1
5,8,8,1
6,44,126,1
8,510,1763,1
8,15,43,1
8,62,134,1
8,16,43,1
7,56,153,1
11,45,75,1
9,607,1896,1
9,687,2164,1
9,111,264,1
20,160,183,1
9,56,205,1
10,167,341,1
8,731,2984,1
7,45,47,1
7,118,418,1
11,170,362,1
6,171,467,1
9,781,1659,1
24,2953,3131,1
7,54,125,1
9,188,487,1
11,107,252,1
1,25,25,1
10,156,434,1
9,371,820,1
9,262,542,1
8,180,412,1
9,500,1775,1
11,22,88,1
7,23,40,1
11,151,213,1
8,160,334,1
9,39,159,1
10,120,256,1
8,495,957,1
7,30,84,1
8,81,208,1
17,117,123,1
6,137,453,1
11,73,134,1
1,36,40,1
10,128,234,1
10,67,147,1
12,18,49,1
8,190,422,1
14,2142,3315,1
8,25,74,1
9,525,2003,1
9,279,760,1
20,188,271,1
10,101,301,1
12,281,1002,1
8,106,372,1
4,47,108,1
7,33,128,1
6,98,233,1
8,80,158,1
10,97,156,1
8,65,152,1
7,64,183,1
9,273,682,1
11,90,177,1
24,975,2048,1
11,211,401,1
7,42,97,1
9,249,606,1
13,34,35,1
9,128,346,1
6,27,69,1
6,53,149,1
8,781,1846,1
10,108,261,1
9,52,106,1
8,144,291,1
7,147,712,1
9,250,630,1
8,190,686,1
10,186,581,1
11,267,578,1
9,136,361,1
10,498,973,1
9,266,683,1
5,24,101,1
7,104,341,1
25,2792,6872,1
6,215,438,1
37,1053,2596,1
17,4167,4522,1
8,259,552,1
10,305,585,1
10,506,1742,1
9,42,43,1
10,115,155,1
8,270,527,1
6,10,12,1
8,308,887,1
8,55,114,1
11,258,627,1
24,3604,3905,1
8,27,71,1
2,11,15,1
8,629,1362,1
8,253,1153,1
8,112,290,1
7,12,43,1
7,46,98,1
7,45,126,1
12,436,895,1
8,124,293,1
5,55,151,1
9,292,594,1
8,107,280,1
8,103,230,1
7,22,70,1
10,510,2202,1
7,89,289,1
5,21,31,1
77,9981,15523,1
11,176,420,1
15,976,1626,1
9,243,704,1
8,219,425,1
9,51,130,1
6,40,113,1
8,177,270,1
8,118,348,1
8,149,531,1
11,49,82,1
10,63,132,1
7,86,252,1
6,135,455,1
7,45,109,1
8,16,112,1
8,258,501,1
6,17,35,1
7,33,110,1
7,264,1053,1
10,701,3352,1
27,910,2087,1
7,79,171,1
19,703,821,1
11,46,81,1
10,60,181,1
12,169,407,1
4,7,7,1
9,82,192,1
11,241,532,1
11,931,1611,1
9,36,103,1
10,251,639,1
7,48,107,1
8,30,118,1
8,50,117,1
7,29,77,1
6,23,47,1
17,159,286,1
13,332,945,1
8,63,100,1
38,2623,5593,1
10,65,170,1
9,440,1659,1
7,83,430,1
10,275,574,1
7,15,38,1
12,155,392,1
7,24,76,1
8,211,382,1
10,83,135,1
9,626,1347,1
5,12,28,1
9,172,304,1
15,2170,3309,1
12,1602,2626,1
25,4304,4611,1
11,99,250,1
7,36,79,1
8,85,194,1
10,540,1942,1
7,121,287,1
24,7238,7729,1
7,53,179,1
7,61,230,1
8,289,529,1
8,49,104,1
10,536,1086,1
7,147,500,1
9,61,153,1
9,184,302,1
10,108,147,1
6,122,370,1
6,60,222,1
24,5296,10359,1
9,268,1363,1
8,48,112,1
8,38,97,1
7,70,159,1
12,872,1898,1
6,27,66,1
9,187,693,1
10,55,80,1
6,16,24,1
13,98,407,1
10,128,242,1
10,883,1807,1
10,97,146,1
7,50,124,1
12,142,225,1
10,267,724,1
11,273,663,1
3,39,75,1
13,1732,2682,1
9,240,448,1
9,823,1727,1
5,60,132,1
8,44,83,1
10,80,162,1
10,44,120,1
5,8,8,1
14,75,165,1
14,1453,2147,1
6,38,118,1
7,9,29,1
13,591,1086,1
7,47,86,1
6,238,456,1
10,52,53,1
17,120,152,1
5,28,60,1
7,204,426,1
4,21,38,1
7,61,247,1
22,123,251,1
8,304,592,1
9,209,570,1
9,468,1558,1
7,80,203,1
12,70,283,1
7,24,80,1
9,659,1868,1
1,16,41,1
9,114,261,1
7,279,1254,1
8,62,112,1
9,190,397,1
8,117,260,1
15,776,1381,1
8,142,329,1
9,35,89,1
5,43,115,1
8,159,291,1
8,230,960,1
10,840,1730,1
6,160,438,1
9,22,38,1
23,2684,2852,1
9,192,742,1
7,449,932,1
6,10,17,1
7,84,174,1
8,19,54,1
7,171,738,1
8,251,814,1
10,606,2448,1
7,21,55,1
10,537,1550,1
10,32,84,1
6,71,173,1
8,54,192,1
10,23,69,1
8,230,712,1
6,93,186,1
9,145,309,1
9,355,765,1
11,95,240,1
11,68,151,1
9,564,1284,1
7,96,334,1
8,37,67,1
10,246,670,1
8,77,171,1
8,31,117,1
8,88,317,1
9,249,554,1
9,31,71,1
9,786,2887,1
15,893,1552,1
8,87,208,1
8,47,179,1
6,37,105,1
8,146,319,1
7,33,85,1
12,46,48,1
10,412,800,1
9,165,347,1
10,87,268,1
7,73,200,1
6,24,55,1
11,106,315,1
10,162,360,1
12,1075,2448,1
9,483,1020,1
14,472,1430,1
7,96,241,1
7,132,523,1
13,1571,2990,1
6,62,131,1
5,67,142,1
8,69,187,1
6,64,166,1
9,118,216,1
11,662,1711,1
6,11,39,1
10,832,2763,1
10,103,156,1
8,162,397,1
10,116,166,1
9,111,319,1
8,80,290,1
8,105,231,1
7,52,138,1
9,434,918,1
9,124,246,1
7,25,53,1
4,8,8,1
7,61,193,1
9,84,237,1
8,57,160,1
13,552,741,1
9,397,820,1
8,210,388,1
10,83,193,1
7,37,89,1
6,42,64,1
10,114,170,1
6,15,19,1
8,137,469,1
4,8,19,1
9,262,440,1
9,570,1260,1
11,610,1647,1
9,70,80,1
7,222,521,1
11,39,108,1
9,528,1029,1
9,63,131,1
7,53,147,1
10,364,786,1
12,520,1132,1
6,55,171,1
10,133,332,1
9,195,743,1
8,61,116,1
8,57,176,1
60,1574,2843,1
9,474,1852,1
11,46,68,1
10,156,481,1
7,99,223,1
9,371,769,1
9,924,3457,1
7,28,85,1
7,102,220,1
12,447,1293,1
8,168,370,1
8,106,246,1
7,63,244,1
7,48,141,1
9,102,232,1
9,53,96,1
9,152,514,1
25,3459,6663,1
20,181,456,1
9,199,400,1
8,202,767,1
10,47,130,1
7,134,344,1
7,13,29,1
9,136,288,1
6,15,42,1
10,85,191,1
8,112,258,1
7,28,70,1
4,15,36,1
4,11,25,1
9,98,271,1
7,22,56,1
8,111,292,1
9,105,225,1
25,3283,6670,1
6,21,56,1
7,18,52,1
25,5748,11777,1
7,21,54,1
9,425,1530,1
9,512,1745,1
9,98,303,1
7,24,60,1
6,357,830,1
9,69,263,1
10,71,160,1
9,712,1774,1
12,146,222,1
11,81,210,1
7,32,107,1
6,25,54,1
14,975,3857,1
9,61,185,1
8,56,152,1
11,428,839,1
5,13,36,1
8,60,116,1
7,15,87,1
9,784,3043,1
10,173,554,1
7,67,167,1
10,75,171,1
7,27,71,1
7,178,618,1
5,81,188,1
10,276,872,1
19,909,2164,1
4,8,11,1
6,162,422,1
8,59,157,1
5,19,35,1
13,441,1060,1
5,13,30,1
8,119,309,1
7,94,240,1
6,261,428,1
8,115,309,1
7,54,133,1
7,188,321,1
9,130,369,1
6,135,385,1
9,51,118,1
9,172,380,1
6,22,66,1
7,26,90,1
9,441,1624,1
8,126,340,1
7,20,51,1
10,58,159,1
9,166,500,1
9,629,2918,1
8,151,366,1
6,23,75,1
8,128,283,1
9,615,1198,1
6,103,197,1
9,18,49,1
7,74,230,1
12,307,644,1
8,54,109,1
4,184,337,1
8,47,149,1
11,385,1219,1
10,143,308,1
7,36,72,1
7,57,130,1
10,72,155,1
8,68,144,1
4,56,139,1
9,213,544,1
6,31,44,1
8,252,1001,1
5,7,30,1
7,90,233,1
7,354,688,1
9,247,783,1
8,60,133,1
7,53,161,1
8,189,654,1
7,22,56,1
12,19,96,1
6,20,48,1
7,34,78,1
9,81,223,1
7,18,61,1
10,103,277,1
10,118,273,1
8,57,119,1
10,361,697,1
10,66,142,1
12,451,1507,1
9,232,524,1
9,179,300,1
10,95,256,1
11,738,1849,1
13,1034,4191,1
1,16,45,1
11,724,1572,1
7,31,76,1
8,52,136,1
24,7164,7740,1
14,307,733,1
6,22,53,1
9,126,426,1
11,127,473,1
7,125,249,1
6,156,447,1
7,136,422,1
2,16,48,1
7,94,272,1
7,26,84,1
9,231,621,1
10,144,267,1
16,2546,4204,1
12,60,161,1
12,1595,3474,1
5,147,353,1
5,37,115,1
8,78,200,1
8,38,84,1
12,538,743,1
2,12,70,1
12,164,208,1
16,265,524,1
9,563,1008,1
7,52,211,1
19,69,100,1
7,41,110,1
11,230,502,1
10,333,910,1
6,86,190,1
9,30,103,1
10,543,2028,1
10,37,108,1
9,30,113,1
8,19,32,1
7,17,31,1
5,7,26,1
11,381,873,1
7,79,196,1
8,131,341,1
9,67,253,1
8,78,197,1
7,73,190,1
10,145,223,1
9,60,143,1
1,7,35,1
15,1661,2940,1
9,99,315,1
10,291,1162,1
10,68,126,1
22,760,1302,1
8,42,89,1
25,5290,10437,1
11,82,223,1
8,224,1002,1
10,189,517,1
11,64,87,1
9,236,569,1
9,156,355,1
8,191,432,1
8,329,758,1
14,1424,2681,1
11,51,88,1
6,38,110,1
8,407,1236,1
9,160,793,1
14,984,3307,1
14,2188,3535,1
7,70,233,1
8,65,145,1
5,17,32,1
8,91,273,1
8,104,240,1
9,132,360,1
9,208,401,1
7,144,316,1
11,511,1824,1
7,83,176,1
5,54,176,1
8,264,672,1
12,197,674,1
9,182,367,1
9,186,546,1
7,213,498,1
18,228,453,1
7,34,107,1
6,123,261,1
10,134,230,1
6,356,711,1
8,73,168,1
22,928,2539,1
7,44,135,1
10,58,62,1
12,381,1290,1
