@relation page-blocks

@attribute Eccen numeric
@attribute Blackpix numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
2.857,56,140,1
1.333,22,35,1
0.857,14,42,1
3,90,219,1
2.667,116,216,1
28.714,2248,3554,1
51.1,822,3238,1
3.5,91,174,1
22.583,773,1857,1
4.778,106,234,1
11.76,3459,6663,1
3.25,49,162,1
1,28,64,1
2.3,85,191,1
5.5,160,334,1
20.444,341,1091,1
2.909,106,315,1
54.667,583,2397,1
33,684,2215,1
6.3,116,389,1
3.625,79,181,1
2,28,74,1
11.615,593,1425,1
41.417,1773,4374,1
1.571,29,77,1
3.333,82,192,1
13.1,575,1107,1
31.111,415,1724,1
18,7,18,1
9.667,348,753,1
5.4,74,135,1
15.5,813,1919,1
3,99,253,1
15.5,133,397,1
1.875,50,111,1
5.333,118,296,1
1.412,174,323,1
6.462,382,644,1
8.111,196,412,1
22.364,944,2071,1
1.143,15,38,1
24.636,829,2171,1
1.75,58,108,1
20.429,105,527,1
2.5,65,145,1
1.2,17,38,1
1.857,19,77,1
1.857,18,77,1
3.222,108,252,1
5.5,146,334,1
1.8,92,157,1
3.667,77,230,1
9.75,152,465,1
2.875,53,184,1
2,54,127,1
11.889,209,811,1
22.429,1664,3168,1
16.167,164,462,1
0.667,10,14,1
1.143,20,56,1
3.4,109,290,1
13.571,197,653,1
2.625,35,128,1
1.75,16,112,1
7.92,4304,4611,1
12.5,388,703,1
1.778,55,107,1
8.714,103,339,1
9.455,451,943,1
2.333,61,153,1
0.556,11,39,1
2.714,54,125,1
3,37,100,1
2.9,64,166,1
1.2,66,105,1
3.091,121,326,1
6.4,69,158,1
3.583,160,409,1
2.727,154,272,1
1.2,7,30,1
9.455,420,854,1
35,246,1042,1
1.5,16,43,1
3.5,89,223,1
5.889,151,384,1
0.75,101,160,1
0.667,13,24,1
13.667,397,994,1
6.429,63,244,1
13.5,301,750,1
17.182,361,1275,1
177,36,177,1
4.333,91,244,1
3.571,62,106,1
1.75,28,88,1
2.3,57,156,1
9.286,98,363,1
19.333,879,1957,1
5.75,125,225,1
8.6,364,786,1
11,47,108,1
11,411,807,1
1.5,41,84,1
4.111,172,311,1
0.917,49,132,1
25.6,951,1995,1
2,71,90,1
7.875,129,350,1
1,22,61,1
2.286,28,112,1
17.25,496,1736,1
1.2,9,30,1
30.143,380,965,1
20.667,712,1315,1
16.857,319,718,1
14.111,199,821,1
19.8,5748,11777,1
6,85,214,1
7.44,2253,4379,1
4,133,313,1
1.429,22,70,1
27.1,675,1908,1
9.5,9,38,1
1.75,8,16,1
3.125,74,146,1
3.143,24,80,1
3,46,98,1
4.077,351,430,1
15.667,162,402,1
0.625,21,40,1
19.5,5296,10359,1
20.286,938,2777,1
14.429,354,688,1
1.375,42,85,1
1.857,22,78,1
10,118,348,1
7.222,130,460,1
1.727,121,200,1
11,47,137,1
263,40,263,1
35.4,200,441,1
9.909,281,743,1
10.556,244,618,1
6.107,1235,4369,1
12,335,627,1
2.714,38,84,1
2.714,38,89,1
11,168,664,1
26.545,1096,2445,1
11.667,316,821,1
21.846,758,2040,1
1.75,38,99,1
9.833,438,1028,1
4.2,35,83,1
7,109,252,1
1.333,31,44,1
3.556,95,256,1
2.3,60,181,1
2,101,168,1
1.3,14,89,1
20.286,1453,2147,1
10.111,169,599,1
9.333,168,708,1
23.727,668,1830,1
4.182,143,425,1
24.636,527,1752,1
13.625,390,836,1
1.833,21,47,1
12.222,308,621,1
1.571,29,73,1
9.222,216,561,1
15.222,290,854,1
4.833,59,152,1
9.625,143,450,1
26,732,1916,1
5.545,197,493,1
2.857,69,137,1
4.111,71,235,1
5.625,283,1109,1
2.125,47,136,1
24.2,630,1401,1
4.125,98,210,1
4.071,570,750,1
2.833,30,88,1
0.583,18,49,1
1.625,44,96,1
1.5,37,66,1
2,58,159,1
23.727,698,1505,1
0.667,10,12,1
27.1,724,1892,1
3.25,81,208,1
0.571,9,19,1
31.556,361,1537,1
1.5,46,90,1
25.667,407,1324,1
7.375,152,416,1
2.5,24,32,1
1,15,44,1
3.5,69,187,1
11.833,575,1293,1
9.182,293,947,1
10.5,246,852,1
10.111,247,783,1
7.889,188,487,1
2.714,37,88,1
4.875,88,233,1
14.833,162,422,1
1.4,44,126,1
4.75,39,135,1
10.714,472,1430,1
0.917,86,97,1
5.5,150,330,1
10.826,4409,5488,1
10.333,192,614,1
2.857,47,99,1
21.222,564,1284,1
1.625,51,97,1
2,42,124,1
1.222,25,77,1
37.25,576,1886,1
5.182,170,362,1
11.852,2774,4845,1
7.75,108,312,1
1.182,50,112,1
1.167,14,31,1
26.2,499,1575,1
4.75,76,222,1
24.727,840,2036,1
5,118,206,1
59.333,671,2491,1
5.125,87,202,1
1,13,30,1
4.143,58,136,1
1.857,25,69,1
2.364,75,230,1
45,16,45,1
1.545,60,122,1
15.273,432,1337,1
5.2,140,442,1
7.273,433,776,1
1.125,20,36,1
27.1,679,2044,1
15.5,510,931,1
1.143,24,54,1
29.125,488,1562,1
26.5,2514,3820,1
1.875,52,117,1
1.778,23,72,1
8.875,135,398,1
17.571,228,539,1
1.125,28,53,1
7.375,97,326,1
3.5,118,250,1
2.2,25,55,1
4.625,99,294,1
59.556,743,2904,1
4.636,165,462,1
0.778,23,59,1
0.857,19,41,1
5.143,103,217,1
11.68,3448,6676,1
26.75,720,1382,1
11.778,356,619,1
5,116,258,1
8.7,299,784,1
0.8,12,20,1
4.5,39,160,1
25.1,705,1776,1
2.636,130,244,1
16.778,251,769,1
16.667,205,493,1
6,55,92,1
32.3,641,2183,1
1,52,97,1
11.9,464,964,1
5.286,78,179,1
5.75,116,345,1
1.818,124,202,1
2.3,66,142,1
26,15,73,1
2,107,143,1
6.286,67,226,1
6.5,289,592,1
2.923,165,463,1
10.4,54,141,1
15,213,434,1
6.571,98,310,1
1.2,22,47,1
8.125,140,377,1
6.556,185,440,1
6.75,106,322,1
10.818,351,887,1
4.857,110,224,1
6,152,355,1
12.429,222,521,1
3,42,69,1
4.429,68,154,1
9,127,437,1
22.8,592,1390,1
31.5,367,941,1
3.417,142,364,1
1.857,26,84,1
16.727,979,1789,1
10.222,242,698,1
1.125,31,69,1
2.73,1053,2596,1
5.3,156,434,1
9.286,144,386,1
1.7,54,90,1
15.4,527,1022,1
1.091,39,108,1
1.375,28,76,1
3.5,179,397,1
0.5,8,11,1
10.286,119,328,1
3.375,94,208,1
3.818,155,383,1
2.846,147,449,1
2.429,39,87,1
5.167,2683,2859,1
4.8,159,356,1
5.957,2695,2943,1
0.857,23,40,1
59.444,786,2887,1
10.571,83,430,1
8.75,466,903,1
50.4,701,3352,1
1.875,55,109,1
3.125,48,182,1
3.2,45,74,1
12,261,428,1
1.333,44,108,1
1.1,30,102,1
1.111,35,80,1
14,142,337,1
3.818,135,351,1
16.625,289,878,1
27.889,423,1517,1
1.4,20,35,1
2.7,170,225,1
2.333,13,13,1
3.9,111,213,1
13.857,143,537,1
5.75,117,301,1
0.632,69,100,1
5,121,245,1
3.889,186,271,1
0.875,23,56,1
0.833,81,94,1
11.071,658,1386,1
15.833,119,380,1
1.5,42,96,1
29.214,984,3307,1
12.375,278,762,1
13.333,358,928,1
22.786,1654,2577,1
2.625,73,154,1
6.222,106,304,1
5,111,214,1
38.111,499,2091,1
3.714,49,169,1
5.2,166,417,1
1.833,150,221,1
3.353,406,1166,1
16.667,231,497,1
2.3,73,205,1
2.84,416,1328,1
14.412,3801,4152,1
3,27,70,1
2.167,22,63,1
13.375,329,736,1
18.385,742,1912,1
20.538,1392,2299,1
18.4,598,1152,1
3.2,34,80,1
20,128,653,1
1.857,30,76,1
7,292,740,1
3.778,69,231,1
7.818,268,723,1
23.8,840,1730,1
30.111,692,1651,1
0.4,7,7,1
1.875,31,82,1
36.889,476,2128,1
3.571,61,129,1
6.1,177,401,1
20.091,607,1323,1
1.833,22,53,1
74,14,74,1
1.125,33,72,1
6.2,37,151,1
12.8,455,961,1
1.4,13,26,1
22.385,1080,2371,1
0.875,29,56,1
18.9,498,973,1
1,28,52,1
1,44,141,1
11.429,202,538,1
74.143,265,1431,1
6.4,121,256,1
3.25,132,228,1
32.455,845,3232,1
1,8,8,1
3.286,45,126,1
13.556,366,910,1
4.125,115,234,1
3.222,61,232,1
2.667,47,127,1
11.111,222,573,1
1,59,72,1
2.273,92,256,1
2.714,45,110,1
6.818,223,560,1
1.25,23,65,1
56.444,587,2425,1
3.286,72,161,1
14.357,1050,1804,1
10.111,132,360,1
16.714,152,694,1
12.667,279,760,1
15.462,1046,1887,1
8.333,119,214,1
8.6,280,726,1
7.429,97,349,1
6.222,173,356,1
56.667,686,2484,1
14.5,1028,1904,1
2,31,77,1
1,47,99,1
3.583,151,408,1
2.833,32,70,1
3.5,956,1758,1
14.286,288,594,1
4.667,145,309,1
1.857,25,75,1
23.727,662,1711,1
15.5,424,840,1
4.5,177,270,1
9.75,353,891,1
3.8,20,74,1
31.273,1686,2694,1
31.9,764,2149,1
5.739,2885,3036,1
6.429,80,223,1
41,16,41,1
5.5,318,618,1
5.857,61,230,1
1.5,38,95,1
24.727,504,1781,1
16,160,793,1
1.2,13,27,1
1.4,19,35,1
10,444,924,1
2,61,116,1
3,14,48,1
31.167,211,663,1
1.429,20,62,1
14.636,589,1152,1
0.667,19,96,1
6.5,80,219,1
1.125,31,65,1
8,91,278,1
9.444,236,569,1
0.9,31,77,1
16.25,374,911,1
8.111,247,556,1
7.444,282,496,1
1.143,27,56,1
7.286,115,280,1
6.538,833,4017,1
1.4,17,32,1
4.875,118,300,1
1.9,118,163,1
16.818,600,1681,1
15.182,681,1470,1
12.2,359,840,1
10,262,476,1
1.364,58,147,1
9.6,401,851,1
59.444,926,3167,1
7.6,245,524,1
1.333,44,95,1
22.438,2158,3747,1
1.25,28,61,1
19.111,546,1237,1
1.75,49,86,1
3.889,82,291,1
4.893,1016,2163,1
1,20,42,1
11.889,316,632,1
14.188,1490,2654,1
3.556,96,248,1
1.75,36,105,1
22.583,805,1818,1
5,146,319,1
30.071,2236,3424,1
1.917,159,228,1
1.833,26,63,1
3.5,133,290,1
24.938,2357,3685,1
5.6,45,133,1
9.2,64,192,1
1.857,39,86,1
59.444,510,2262,1
7.625,101,392,1
31.857,320,1036,1
1.143,20,44,1
17.6,319,972,1
5.75,128,338,1
2.909,121,270,1
1,10,14,1
3.8,74,209,1
1,7,7,1
19.2,158,344,1
36.778,661,2056,1
2.833,33,102,1
0.875,23,56,1
4,135,351,1
21.143,191,845,1
3.4,143,308,1
1.833,164,208,1
1.818,37,165,1
26.667,386,1307,1
1,53,105,1
57.556,449,2001,1
2,23,47,1
1.6,17,39,1
6.1,297,509,1
8.75,208,510,1
1.9,108,147,1
9.667,461,1053,1
15.5,542,1051,1
4.556,138,312,1
36.571,242,1081,1
9.286,129,385,1
1.75,30,62,1
4.714,80,203,1
12.875,117,511,1
9.111,269,619,1
2.333,100,181,1
1.875,51,111,1
3.714,60,143,1
4,42,110,1
6.375,125,260,1
0.769,39,105,1
9.111,230,494,1
8.6,57,169,1
2,88,132,1
3.783,572,1342,1
8.444,248,598,1
2.5,83,193,1
8.75,259,552,1
6.4,66,159,1
1.2,44,120,1
9.889,2610,4860,1
8.444,245,544,1
9.222,262,542,1
8.429,94,272,1
9.375,137,397,1
1,16,43,1
143,19,143,1
2.889,80,192,1
5.125,69,217,1
11.444,225,615,1
7.333,118,214,1
6.091,198,508,1
31.071,2164,3478,1
7,422,1054,1
9,283,654,1
4.418,1748,5649,1
6.6,214,515,1
2.875,66,173,1
10.7,292,790,1
0.667,49,89,1
1.75,25,74,1
28.625,308,887,1
9.8,454,926,1
9.556,233,501,1
7.8,67,142,1
3.556,87,225,1
9.111,186,546,1
16.714,1256,2077,1
1.8,97,146,1
3.714,64,182,1
6.25,211,382,1
15.429,274,610,1
0.889,19,72,1
1,23,49,1
2.333,46,143,1
7.857,144,316,1
3.6,95,256,1
1.909,95,157,1
6.222,165,347,1
2,102,153,1
5,134,382,1
5.625,2953,3131,1
2.6,92,200,1
2.571,34,111,1
1,22,59,1
28.2,540,1977,1
8,277,485,1
3.6,62,90,1
28.143,99,450,1
9,7,9,1
1.833,24,63,1
1.857,27,76,1
3.1,200,240,1
2.429,51,89,1
6.4,65,160,1
3.455,137,356,1
1.286,21,60,1
1,16,49,1
1.923,114,221,1
1.7,97,156,1
63.75,586,2166,1
6.667,223,444,1
7.889,225,573,1
8.75,217,471,1
8.444,241,556,1
31.917,1409,2771,1
9.25,244,500,1
24.5,205,384,1
18.4,132,278,1
22,515,1213,1
1.143,9,29,1
37.545,1619,3662,1
4.389,365,876,1
2.5,42,98,1
31.667,866,1961,1
1.875,35,97,1
6.625,157,382,1
10.059,606,1226,1
24.143,197,929,1
1.125,27,49,1
1.333,9,9,1
0.667,14,24,1
27.667,674,1655,1
9.556,305,546,1
9.833,495,1102,1
2.167,42,72,1
0.7,22,60,1
0.8,9,9,1
20.462,1375,2003,1
3,63,120,1
2.375,56,152,1
24.727,824,2222,1
60,12,60,1
2.429,27,106,1
3.875,87,208,1
2,97,136,1
1.3,30,104,1
2.6,36,52,1
4.333,45,136,1
6.636,217,678,1
4.444,174,357,1
30.125,230,960,1
22.571,264,1053,1
20.429,113,529,1
30.625,389,1088,1
18.444,585,1120,1
28.667,303,936,1
3,53,95,1
2,49,111,1
59.333,644,2419,1
1.571,31,74,1
22.444,158,462,1
15,302,761,1
1.286,23,44,1
0.857,17,39,1
8.167,94,155,1
1.857,34,82,1
4.3,197,404,1
30.889,645,1997,1
5.429,76,199,1
3.25,78,197,1
33.222,607,1896,1
2.571,35,123,1
4.111,179,300,1
0.727,39,41,1
4.429,64,186,1
20.556,663,1303,1
7.375,145,366,1
1.1,47,110,1
2.111,51,126,1
4.556,187,366,1
3.75,85,180,1
3.3,129,324,1
12.889,354,919,1
15.1,291,1162,1
2.909,93,176,1
4.556,157,355,1
2.333,48,84,1
25.2,950,1953,1
3.4,33,73,1
1.333,24,48,1
3.5,98,111,1
6.444,183,349,1
2,18,50,1
21.429,1106,2550,1
9.5,155,310,1
3.714,81,178,1
5.857,63,217,1
5.333,111,319,1
2.667,228,453,1
0.727,53,88,1
12.625,234,790,1
7,169,446,1
6.667,71,175,1
1.368,894,1801,1
5,125,317,1
5,83,204,1
4.818,131,283,1
2.286,49,96,1
3.9,120,281,1
22.583,843,2241,1
3.375,58,165,1
3.8,117,240,1
1.571,27,67,1
1.235,133,219,1
16,114,385,1
23.375,232,1118,1
19.429,171,738,1
17.538,783,2791,1
0.8,8,8,1
1.571,28,73,1
23.727,738,1849,1
0.6,26,60,1
1.091,66,108,1
23.75,118,372,1
3,41,71,1
1,12,43,1
18.6,163,465,1
4.111,127,269,1
1.778,30,103,1
13.5,169,593,1
4.111,100,231,1
1.6,15,19,1
1,8,8,1
1.5,44,83,1
0.818,54,81,1
4.143,54,165,1
0.818,40,71,1
0.8,42,70,1
4.667,89,228,1
2.333,74,170,1
7.556,205,483,1
7.44,2121,4035,1
7.083,486,626,1
13.7,261,949,1
2.222,65,126,1
1.167,15,23,1
1.333,11,11,1
4.25,98,195,1
2.182,81,210,1
18.444,576,1121,1
1.875,62,104,1
8.556,337,672,1
1.857,36,91,1
14.222,252,858,1
11.444,152,715,1
2.222,66,162,1
15,378,878,1
3,12,38,1
11.75,56,139,1
0.857,72,123,1
6.7,195,435,1
1.125,26,57,1
0.556,32,40,1
1.8,103,156,1
2.273,76,173,1
10.071,549,1323,1
1.167,22,42,1
3.5,116,240,1
23,349,1144,1
22.471,2355,3680,1
26.769,881,3363,1
5.8,58,129,1
2.714,46,133,1
16.778,349,1279,1
7.714,108,332,1
14.286,206,443,1
2.857,65,140,1
1.889,69,144,1
26.667,559,1542,1
1.818,127,194,1
2.625,47,155,1
2.4,12,35,1
2.75,265,524,1
8.333,249,632,1
3.1,102,295,1
1.222,28,93,1
4.5,127,323,1
10.75,340,650,1
4.5,117,288,1
21.455,920,2084,1
0.75,28,39,1
1.75,50,112,1
2.167,34,59,1
33.308,2109,3404,1
2.857,53,140,1
21.889,485,1240,1
1.444,28,54,1
5.8,58,140,1
9.375,254,522,1
9.182,265,909,1
0.571,9,28,1
2.2,68,128,1
3.667,107,243,1
7.083,3768,4068,1
8.417,354,960,1
1.25,30,68,1
19.6,155,345,1
8.625,154,379,1
1.9,57,172,1
3.338,9204,9689,1
3.375,45,184,1
2.286,38,112,1
0.75,26,31,1
167,32,167,1
6.429,152,310,1
6.571,134,250,1
1,15,61,1
22.667,715,1922,1
12,212,678,1
5.857,75,254,1
1.857,34,89,1
10.889,433,859,1
6.2,55,151,1
10.857,160,457,1
2.222,63,131,1
21.063,1956,3225,1
1.143,20,45,1
0.727,64,87,1
7.75,52,117,1
20.444,354,1322,1
3.4,101,301,1
1.929,181,268,1
2.571,59,126,1
7,102,220,1
6.143,74,285,1
6.444,106,277,1
3,128,234,1
23,240,529,1
4.875,975,2048,1
27.1,454,1659,1
9.111,236,699,1
