@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4,9-11'

@attribute Eccen numeric
@attribute Blackand numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
1,36,8,1
2.857,92,24,1
4.429,146,40,1
7.333,182,40,1
4.167,150,34,1
3.7,169,41,1
3.286,135,30,1
6.667,175,52,1
3.286,151,38,1
0.714,31,6,1
1.571,73,19,1
5.889,323,78,1
1.778,103,20,1
2.286,112,18,1
1,46,10,1
2.571,117,24,1
1.429,49,16,1
2.375,149,31,1
1.667,33,9,1
3.333,116,32,1
0.8,15,4,1
1.2,27,8,1
1.25,80,14,1
4,229,62,1
1.125,64,15,1
2.9,248,48,1
2,111,25,1
2.5,160,33,1
0.5,28,3,1
6,473,93,1
1.125,53,13,1
2.9,242,45,1
17.625,1102,227,1
13,13,2,2
0.4,36,8,1
2.167,72,17,1
1.8,111,22,1
2.222,162,30,1
2.727,198,41,1
0.889,685,54,5
0.923,619,45,5
5.9,407,88,1
0.148,81,16,4
4.222,299,68,1
4.091,363,66,1
4.75,29,4,2
4.625,223,50,1
3.125,146,40,1
1.875,104,25,1
24.727,2039,423,1
0.111,9,1,1
5.1,429,83,1
2,87,20,1
3,157,35,1
3.6,90,18,1
1.125,69,12,1
1.4,31,6,1
24.636,2171,417,1
1.889,144,28,1
2.222,131,33,1
3.25,208,38,1
4.5,266,62,1
2.25,129,23,1
3.4,253,61,1
3.273,313,54,1
6.636,678,107,1
3.375,216,43,1
8.273,598,123,1
4.875,291,55,1
3,235,48,1
3.25,208,35,1
5.3,471,88,1
5.444,341,74,1
5.625,282,70,1
2.5,147,35,1
4.125,229,50,1
1.5,89,20,1
4.714,213,40,1
6.25,397,84,1
4.75,293,75,1
2.364,230,42,1
1.111,71,15,1
2.273,223,40,1
3,219,42,1
1.125,72,13,1
3.625,158,40,1
36.833,711,183,1
8.167,155,32,1
4.556,256,65,1
7,15,1,2
0.541,143,23,5
2.333,84,14,1
1.194,283,59,5
1.75,111,18,1
4.857,202,53,1
2.857,137,38,1
20.091,1323,312,1
5,189,44,1
2.857,139,30,1
2.5,64,13,1
3.8,76,22,1
4.1,392,68,1
0.9,84,20,1
1.5,150,24,1
2.857,126,24,1
2,106,23,1
1.125,53,11,1
2.625,154,31,1
1,25,6,1
4.125,210,51,1
11.5,672,151,1
1.875,109,22,1
1.5,86,22,1
3,132,23,1
1,52,6,1
4.6,314,79,1
26,1916,412,1
2.375,148,35,1
26.2,1841,391,1
4.25,264,56,1
2.7,224,53,1
2.5,157,32,1
2.75,144,34,1
8.75,407,93,1
3.333,192,44,1
4.375,257,56,1
3,161,43,1
4.125,186,47,1
24.2,1401,303,1
1.75,99,22,1
1.5,83,21,1
1,73,15,1
2.857,130,29,1
0.75,44,9,1
0.9,77,18,1
0.5,25,6,1
10.286,426,110,1
3,69,19,1
9.3,729,140,1
1.111,80,18,1
4.5,225,50,1
3.5,55,12,1
5,292,68,1
1.714,80,19,1
1.333,35,9,1
12.25,685,122,1
56.556,2297,448,1
6.2,151,36,1
268,571,13,2
1.75,16,1,1
43,2307,486,1
2.167,63,14,1
4.385,741,48,1
2.923,484,42,1
7.333,4094,267,1
1,7,1,1
11.222,742,140,1
267.5,673,24,2
59.333,2005,351,1
156.67,545,21,2
50.8,2593,527,1
263,263,39,1
7.375,412,65,1
13.714,664,119,1
268.5,574,11,2
7.75,435,59,1
12.111,759,127,1
59.444,3257,596,1
31,851,181,1
22.143,666,132,1
24.333,1060,150,1
2.6,47,10,1
8.714,412,77,1
25.1,1423,293,1
29.111,1015,176,1
145,145,4,2
8,945,82,1
1.143,667,64,1
2,77,10,1
2,76,14,1
2.143,97,28,1
13.833,410,104,1
51,2763,612,1
11.708,6088,397,1
1.107,666,59,3
59.333,3208,607,1
20.429,529,77,1
35,1042,175,1
19.111,1131,202,1
45,45,8,1
59.444,3312,555,1
1.103,668,61,3
15,301,67,1
1.857,76,21,1
2.8,57,5,1
34,2222,424,1
1.857,78,11,1
31,31,6,1
2.103,762,120,5
13.667,719,159,1
40,40,7,1
1.857,77,7,1
19.429,738,142,1
268,737,25,2
5.714,198,47,1
22,22,1,2
1,72,8,1
3.7,267,27,1
8,575,87,1
6.455,515,65,1
1.929,268,25,1
1.118,5908,1028,3
24.286,2480,360,1
1.333,80,7,1
26.667,1975,431,1
136,136,4,2
34.25,341,29,1
4.125,2282,108,1
0.071,14,1,4
1.8,162,17,1
8.5,530,97,1
15.4,1022,207,1
6.542,3609,186,1
31.071,3478,472,1
14.3,1108,218,1
22.929,2675,345,1
22.286,1082,218,1
1.9,160,16,1
9.25,582,108,1
40,40,3,1
25.643,3093,405,1
1.8,140,10,1
22.273,2063,344,1
10.929,1378,183,1
22.818,2052,334,1
1,8,1,1
0.111,9,1,4
0.04,25,1,4
0.889,55,4,1
10,1178,139,1
28,2157,380,1
26.846,3029,395,1
1.889,136,11,1
32.7,2508,450,1
1.9,163,14,1
8.909,781,134,1
24.286,2682,356,1
0.083,12,1,4
28.214,3636,423,1
2.111,149,13,1
26.875,1362,220,1
15,15,4,2
0.9,62,2,1
8.143,318,61,1
1.818,200,15,1
9.2,1552,164,1
22.471,3680,431,1
10.385,1462,157,1
2,205,18,1
9.667,753,147,1
24.938,3685,441,1
7.364,619,109,1
25.313,3863,467,1
22,4157,418,1
1.333,12,1,1
15.188,2756,278,1
19,1198,214,1
1.857,90,9,1
8.8,588,124,1
26.8,1581,180,1
34.667,213,19,1
21.667,412,96,1
31.286,946,207,1
13.889,676,140,1
34.143,797,177,1
10.278,1193,228,1
6.857,206,60,1
10.826,5488,270,1
18.778,942,217,1
4.667,99,26,1
3.182,9871,257,1
25,1501,283,1
32.5,2248,463,1
20.444,1322,242,1
7.143,259,64,1
13.917,1507,234,1
19,374,70,1
16,426,88,1
15.833,438,82,1
15.833,532,89,1
0.027,37,1,4
7.8,161,21,1
0.012,475,10,4
9.375,397,100,1
23.429,962,202,1
10.333,614,122,1
33,33,11,1
11,137,33,1
3.556,206,39,1
42,42,15,1
56,1100,7,2
4.857,218,40,1
10,492,85,1
28.5,1703,315,1
8.714,285,72,1
8.4,176,37,1
2,72,15,1
22,306,3,2
30,3727,593,1
22.7,2202,311,1
1.8,157,23,1
22.833,2687,416,1
17.25,1736,292,1
20.417,2342,353,1
2.3,205,31,1
34,34,15,2
22.571,1053,198,1
22,22,5,1
35.667,1597,339,1
67,67,1,2
2.625,139,6,1
5.455,3627,835,1
3.25,228,33,1
7.286,1013,172,1
2.1,196,33,1
8.7,665,146,1
5.909,473,77,1
0.571,26,2,1
