@relation page-blocks

@attribute Height numeric
@attribute P_black numeric
@attribute Class {1,2,3,4,5}

@data
4,0.417,1
7,0.295,1
8,0.205,1
11,0.25,1
7,0.408,1
11,0.317,1
8,0.266,1
6,0.451,1
9,0.304,1
8,0.292,1
5,0.433,1
6,0.253,1
10,0.091,1
10,0.487,1
7,0.333,1
7,0.482,1
7,0.662,1
8,0.438,1
6,0.262,1
13,0.171,1
18,0.163,1
8,0.451,1
10,0.337,1
12,0.353,1
5,0.35,1
8,0.443,1
11,0.602,1
10,0.362,1
8,0.409,1
6,0.188,1
10,0.147,1
9,0.35,1
9,0.102,1
12,0.538,1
9,0.583,1
11,0.261,1
9,0.188,1
11,0.356,1
6,0.357,1
11,0.319,1
8,0.277,1
8,0.236,1
8,0.215,1
9,0.272,1
9,0.27,1
8,0.458,1
7,0.42,1
7,0.464,1
9,0.455,1
9,0.328,1
6,0.293,1
11,0.511,1
8,0.385,1
9,0.344,1
8,0.357,1
1,0.203,1
10,0.367,1
6,0.197,1
7,0.188,1
14,0.244,1
8,0.393,1
11,0.455,1
7,0.313,1
9,0.347,1
7,0.286,1
5,0.322,1
10,0.319,1
25,0.837,1
9,0.202,1
7,0.196,1
12,0.255,1
9,0.194,1
5,0.5,1
7,0.235,1
3,0.375,1
9,0.444,1
9,0.568,1
9,0.378,1
10,0.144,1
8,0.403,1
9,0.285,1
10,0.306,1
9,0.163,1
7,0.286,1
9,0.16,1
8,0.355,1
12,0.283,1
23,0.293,1
8,0.159,1
9,0.132,1
10,0.456,1
10,0.367,1
8,0.458,1
8,0.464,1
10,0.3,1
6,0.282,1
22,0.536,1
10,0.344,1
6,0.217,1
12,0.403,1
8,0.267,1
5,0.443,1
9,0.298,1
10,0.6,1
8,0.417,1
5,0.226,1
9,0.165,1
7,0.294,1
9,0.356,1
10,0.443,1
9,0.131,1
9,0.356,1
8,0.382,1
9,0.463,1
9,0.564,1
8,0.417,1
8,0.21,1
5,0.431,1
8,0.348,1
5,0.296,1
8,0.228,1
13,0.361,1
7,0.27,1
9,0.211,1
11,0.266,1
8,0.375,1
10,0.297,1
3,0.778,1
22,0.499,1
8,0.4,1
5,0.249,1
9,0.323,1
10,0.204,1
9,0.628,1
8,0.625,1
6,0.456,1
6,0.327,1
7,0.31,1
9,0.191,1
10,0.491,1
5,0.356,1
9,0.362,1
8,0.199,1
3,0.889,1
16,0.376,1
9,0.155,1
9,0.096,1
14,0.169,1
12,0.41,1
1,0.192,1
11,0.471,1
9,0.169,1
8,0.252,1
7,0.351,1
8,0.458,1
15,0.414,1
20,0.495,1
14,0.279,1
7,0.286,1
24,0.931,1
11,0.236,1
7,0.5,1
19,0.588,1
10,0.356,1
7,0.221,1
8,0.311,1
10,0.263,1
10,0.198,1
7,0.257,1
8,0.232,1
8,0.17,1
7,0.096,1
5,0.536,1
8,0.238,1
9,0.158,1
9,0.343,1
14,0.354,1
9,0.286,1
10,0.3,1
9,0.187,1
8,0.228,1
8,0.234,1
7,0.319,1
9,0.444,1
7,0.445,1
9,0.26,1
10,0.264,1
5,0.21,1
16,0.526,1
9,0.174,1
7,0.365,1
10,0.382,1
9,0.346,1
7,0.247,1
7,0.297,1
8,0.516,1
3,0.889,1
10,0.491,1
7,0.295,1
10,0.494,1
11,0.468,1
6,0.333,1
10,0.307,1
5,0.333,1
10,0.16,1
10,0.392,1
8,0.31,1
8,0.406,1
5,0.467,1
7,0.429,1
8,0.36,1
7,0.286,1
6,0.288,1
10,0.295,1
6,0.301,1
1,0.379,1
8,0.242,1
9,0.219,1
7,0.171,1
16,0.341,1
10,0.187,1
8,0.349,1
6,0.292,1
10,0.269,1
7,0.416,1
8,0.37,1
13,0.322,1
12,0.208,1
9,0.386,1
5,0.314,1
11,0.297,1
24,0.907,1
12,0.2,1
11,0.268,1
9,0.483,1
10,0.57,1
8,0.358,1
7,0.273,1
7,0.268,1
8,0.304,1
10,0.314,1
8,0.393,1
9,0.601,1
7,0.304,1
8,0.467,1
10,0.261,1
6,0.131,1
7,0.214,1
10,0.344,1
7,0.22,1
6,0.238,1
7,0.377,1
12,0.357,1
9,0.42,1
18,0.264,1
5,0.433,1
5,0.333,1
3,0.75,1
9,0.288,1
10,0.151,1
10,0.3,1
8,0.163,1
6,0.5,1
10,0.354,1
10,0.2,1
10,0.347,1
10,0.179,1
12,0.257,1
7,0.254,1
17,0.363,1
10,0.248,1
8,0.403,1
5,0.4,1
6,0.315,1
8,0.348,1
10,0.3,1
6,0.346,1
11,0.33,1
8,0.406,1
7,0.238,1
7,0.329,1
12,0.372,1
10,0.34,1
11,0.446,1
5,0.303,1
8,0.445,1
16,0.369,1
10,0.183,1
9,0.367,1
10,0.463,1
10,0.482,1
10,0.22,1
6,0.217,1
7,0.4,1
8,0.42,1
7,0.4,1
10,0.366,1
5,0.307,1
10,0.324,1
9,0.137,1
11,0.295,1
12,0.266,1
7,0.357,1
9,0.348,1
10,0.268,1
5,0.457,1
6,0.329,1
10,0.297,1
8,0.34,1
7,0.381,1
8,0.427,1
8,0.417,1
15,0.345,1
7,0.321,1
8,0.315,1
12,0.56,1
7,0.307,1
17,0.373,1
8,0.403,1
4,0.298,1
8,0.384,1
18,0.198,1
7,0.299,1
11,0.261,1
8,0.297,1
6,0.333,1
8,0.423,1
6,0.254,1
6,0.286,1
8,0.347,1
7,0.377,1
8,0.345,1
10,0.339,1
8,0.398,1
8,0.516,1
7,0.364,1
9,0.259,1
8,0.16,1
8,0.174,1
8,0.265,1
5,0.169,1
14,0.159,1
10,0.344,1
13,0.492,1
7,0.269,1
9,0.324,1
8,0.494,1
8,0.431,1
6,0.452,1
11,0.727,1
17,0.4,1
10,0.277,1
13,0.245,1
7,0.312,1
8,0.431,1
7,0.353,1
8,0.414,1
10,0.306,1
9,0.35,1
17,0.426,1
12,0.37,1
6,0.314,1
6,0.175,1
16,0.385,1
9,0.389,1
9,0.196,1
8,0.466,1
9,0.385,1
9,0.517,1
11,0.336,1
9,0.461,1
7,0.354,1
12,0.43,1
7,0.238,1
10,0.197,1
24,0.945,1
17,0.321,1
9,0.292,1
8,0.402,1
8,0.663,1
9,0.371,1
10,0.6,1
8,0.453,1
10,0.429,1
8,0.438,1
12,0.411,1
6,0.262,1
11,0.545,1
8,0.357,1
8,0.256,1
10,0.379,1
9,0.202,1
1,0.2,1
8,0.458,1
5,0.406,1
10,0.153,1
24,0.894,1
7,0.328,1
11,0.168,1
8,0.253,1
8,0.393,1
10,0.279,1
7,0.286,1
11,0.468,1
7,0.215,1
1,0.286,1
7,0.364,1
8,0.418,1
7,0.253,1
7,0.514,1
7,0.156,1
9,0.278,1
7,0.301,1
15,0.431,1
11,0.307,1
7,0.349,1
7,0.338,1
10,0.221,1
8,0.269,1
9,0.37,1
5,0.4,1
5,0.247,1
9,0.292,1
8,0.336,1
10,0.225,1
77,0.478,1
10,0.338,1
9,0.249,1
8,0.271,1
5,0.554,1
7,0.28,1
7,0.548,1
9,0.16,1
7,0.242,1
8,0.411,1
10,0.35,1
5,0.547,1
14,0.227,1
10,0.427,1
9,0.33,1
10,0.273,1
7,0.398,1
9,0.407,1
9,0.327,1
9,0.339,1
8,0.37,1
10,0.477,1
9,0.371,1
11,0.253,1
1,0.8,1
8,0.303,1
8,0.427,1
6,0.269,1
6,0.129,1
8,0.211,1
7,0.375,1
5,0.246,1
11,0.257,1
8,0.38,1
7,0.109,1
8,0.404,1
6,0.36,1
8,0.164,1
8,0.215,1
23,0.941,1
6,0.444,1
10,0.511,1
13,0.745,1
14,0.359,1
10,0.311,1
7,0.405,1
6,0.296,1
9,0.378,1
8,0.188,1
13,0.314,1
1,0.226,1
8,0.344,1
11,0.176,1
7,0.286,1
12,0.293,1
11,0.705,1
9,0.358,1
8,0.461,1
1,0.13,1
17,0.314,1
15,0.252,1
11,0.277,1
7,0.346,1
7,0.227,1
10,0.29,1
8,0.421,1
12,0.256,1
7,0.214,1
7,0.362,1
10,0.379,1
11,0.298,1
7,0.322,1
9,0.179,1
10,0.308,1
8,0.417,1
8,0.559,1
10,0.392,1
9,0.091,1
10,0.232,1
7,0.392,1
7,0.325,1
8,0.411,1
8,0.327,1
10,0.115,1
10,0.203,1
7,0.396,1
11,0.245,1
20,0.489,1
8,0.232,1
7,0.239,1
9,0.243,1
10,0.367,1
14,0.14,1
6,0.333,1
14,0.259,1
7,0.371,1
7,0.393,1
6,0.274,1
8,0.427,1
7,0.319,1
7,0.357,1
8,0.321,1
11,0.283,1
10,0.267,1
10,0.279,1
8,0.236,1
9,0.344,1
33,0.236,1
9,0.296,1
7,0.081,1
9,0.285,1
7,0.357,1
10,0.327,1
4,0.667,1
9,0.3,1
11,0.484,1
4,0.173,1
7,0.248,1
9,0.183,1
9,0.216,1
6,0.34,1
11,0.349,1
12,0.507,1
9,0.46,1
9,0.357,1
8,0.428,1
8,0.469,1
6,0.646,1
5,0.7,1
7,0.371,1
8,0.261,1
8,0.344,1
10,0.273,1
12,0.29,1
9,0.399,1
9,0.374,1
8,0.283,1
11,0.177,1
9,0.341,1
10,0.303,1
6,0.372,1
6,0.475,1
7,0.25,1
10,0.403,1
12,0.4,1
12,0.481,1
9,0.335,1
9,0.218,1
8,0.183,1
8,0.406,1
11,0.585,1
7,0.273,1
8,0.396,1
12,0.325,1
9,0.329,1
6,0.556,1
7,0.296,1
7,0.281,1
5,0.412,1
6,0.454,1
6,0.49,1
5,0.4,1
13,0.381,1
11,0.383,1
8,0.207,1
8,0.322,1
7,0.264,1
6,0.356,1
7,0.286,1
8,0.471,1
9,0.365,1
9,0.37,1
17,0.921,1
24,0.926,1
5,0.241,1
9,0.366,1
10,0.131,1
7,0.127,1
9,0.307,1
6,0.257,1
8,0.368,1
7,0.357,1
9,0.506,1
12,0.448,1
7,0.462,1
7,0.336,1
10,0.553,1
11,0.345,1
10,0.317,1
13,0.247,1
5,0.4,1
8,0.325,1
7,0.357,1
7,0.321,1
8,0.349,1
16,0.373,1
14,0.398,1
10,0.375,1
7,0.264,1
11,0.273,1
9,0.245,1
9,0.234,1
9,0.171,1
8,0.217,1
10,0.133,1
5,0.371,1
6,0.333,1
7,0.414,1
10,0.318,1
2,0.075,1
12,0.35,1
8,0.375,1
9,0.447,1
10,0.381,1
9,0.354,1
8,0.381,1
10,0.203,1
7,0.452,1
9,0.274,1
7,0.26,1
7,0.089,1
9,0.274,1
1,0.405,1
9,0.165,1
10,0.55,1
8,0.171,1
7,0.497,1
9,0.157,1
20,0.5,1
6,0.364,1
9,0.088,1
10,0.314,1
7,0.268,1
11,0.267,1
9,0.256,1
8,0.393,1
9,0.376,1
7,0.299,1
7,0.462,1
6,0.542,1
6,0.348,1
8,0.325,1
9,0.259,1
8,0.388,1
9,0.369,1
8,0.266,1
8,0.2,1
7,0.248,1
8,0.221,1
8,0.396,1
5,0.234,1
5,0.4,1
8,0.389,1
5,0.36,1
14,0.399,1
9,0.343,1
9,0.186,1
8,0.434,1
10,0.35,1
11,0.283,1
8,0.358,1
22,0.487,1
8,0.389,1
9,0.39,1
1,0.175,1
28,0.368,1
25,0.479,1
9,0.298,1
9,0.392,1
8,0.482,1
4,0.5,1
11,0.443,1
5,0.8,1
8,0.309,1
11,0.465,1
10,0.456,1
10,0.426,1
7,0.302,1
11,0.579,1
8,0.396,1
8,0.207,1
12,0.333,1
8,0.194,1
9,0.58,1
4,0.421,1
4,0.503,1
8,0.423,1
7,0.243,1
10,0.294,1
11,0.564,1
9,0.448,1
7,0.279,1
7,0.458,1
9,0.444,1
9,0.388,1
7,0.349,1
11,0.266,1
6,0.275,1
38,0.279,1
9,0.378,1
6,0.316,1
7,0.207,1
8,0.184,1
25,0.449,1
8,0.458,1
9,0.417,1
6,0.319,1
5,0.4,1
9,0.196,1
9,0.519,1
9,0.252,1
9,0.163,1
11,0.269,1
8,0.234,1
9,0.428,1
8,0.25,1
7,0.231,1
5,0.4,1
8,0.482,1
8,0.394,1
11,0.178,1
8,0.45,1
9,0.222,1
6,0.571,1
8,0.384,1
9,0.321,1
7,0.17,1
8,0.221,1
8,0.479,1
6,0.571,1
8,0.447,1
6,0.309,1
8,0.463,1
10,0.19,1
10,0.522,1
9,0.373,1
9,0.333,1
8,0.324,1
8,0.318,1
41,0.441,1
4,0.286,1
8,0.361,1
7,0.483,1
8,0.458,1
8,0.463,1
10,0.486,1
7,0.219,1
6,0.296,1
14,0.175,1
8,0.279,1
6,0.149,1
10,0.442,1
8,0.385,1
7,0.297,1
7,0.188,1
9,0.536,1
9,0.335,1
9,0.383,1
8,0.458,1
8,0.293,1
7,0.321,1
9,0.392,1
7,0.308,1
8,0.357,1
10,0.336,1
6,0.239,1
8,0.446,1
7,0.411,1
24,0.474,1
8,0.398,1
7,0.321,1
11,0.27,1
8,0.166,1
11,0.361,1
1,0.186,1
8,0.267,1
9,0.258,1
7,0.252,1
9,0.312,1
5,0.4,1
5,0.492,1
7,0.333,1
10,0.141,1
11,0.367,1
22,0.516,1
7,0.327,1
11,0.43,1
4,0.25,1
13,0.351,1
8,0.06,1
10,0.308,1
8,0.464,1
19,0.238,1
9,0.072,1
7,0.448,1
6,0.317,1
10,0.433,1
9,0.429,1
11,0.398,1
12,0.35,1
11,0.36,1
36,0.656,1
7,0.473,1
8,0.477,1
12,0.183,1
10,0.34,1
6,0.244,1
8,0.314,1
10,0.097,1
8,0.402,1
10,0.514,1
9,0.455,1
9,0.269,1
11,0.334,1
9,0.337,1
8,0.43,1
8,0.406,1
8,0.237,1
5,0.208,1
10,0.3,1
8,0.357,1
12,0.289,1
6,0.297,1
7,0.381,1
10,0.381,1
11,0.579,1
7,0.271,1
8,0.07,1
9,0.358,1
8,0.353,1
9,0.529,1
9,0.378,1
24,0.908,1
10,0.281,1
5,0.554,1
12,0.635,1
9,0.346,1
7,0.329,1
8,0.334,1
7,0.281,1
7,0.412,1
7,0.434,1
8,0.375,1
24,0.508,1
10,0.308,1
9,0.66,1
9,0.194,1
5,0.2,1
5,0.56,1
9,0.55,1
5,0.455,1
8,0.418,1
5,0.317,1
8,0.361,1
9,0.247,1
5,0.433,1
8,0.363,1
9,0.316,1
7,0.342,1
11,0.386,1
7,0.27,1
8,0.326,1
7,0.302,1
7,0.245,1
8,0.375,1
10,0.207,1
7,0.292,1
9,0.254,1
12,0.276,1
5,0.316,1
27,0.293,1
8,0.269,1
7,0.306,1
7,0.461,1
10,0.25,1
8,0.207,1
87,0.406,1
7,0.5,1
10,0.279,1
10,0.645,1
9,0.374,1
9,0.343,1
9,0.53,1
8,0.402,1
12,0.297,1
8,0.433,1
8,0.363,1
8,0.481,1
8,0.323,1
79,0.319,1
9,0.204,1
23,0.278,1
12,0.278,1
8,0.25,1
25,0.49,1
6,0.313,1
8,0.316,1
11,0.25,1
9,0.198,1
10,0.311,1
10,0.278,1
7,0.324,1
9,0.381,1
8,0.398,1
10,0.294,1
11,0.297,1
7,0.369,1
9,0.169,1
5,0.4,1
5,0.429,1
8,0.389,1
9,0.299,1
1,0.2,1
7,0.329,1
10,0.308,1
24,0.208,1
7,0.319,1
9,0.165,1
8,0.406,1
8,0.382,1
8,0.188,1
5,0.307,1
7,0.286,1
12,0.271,1
9,0.206,1
5,0.278,1
8,0.448,1
5,0.174,1
9,0.237,1
25,0.462,1
8,0.235,1
10,0.378,1
9,0.185,1
13,0.314,1
7,0.293,1
7,0.452,1
9,0.289,1
4,0.34,1
9,0.306,1
9,0.178,1
8,0.343,1
8,0.24,1
9,0.126,1
9,0.301,1
7,0.268,1
7,0.476,1
11,0.287,1
9,0.372,1
7,0.327,1
18,0.454,1
13,0.185,1
10,0.351,1
17,0.208,1
19,0.208,1
6,0.226,1
8,0.5,1
8,0.242,1
12,0.307,1
11,0.378,1
5,0.267,1
9,0.222,1
11,0.254,1
7,0.306,1
8,0.357,1
6,0.295,1
9,0.306,1
6,0.257,1
2,0.583,1
10,0.329,1
10,0.46,1
9,0.174,1
8,0.371,1
5,0.211,1
10,0.09,1
7,0.327,1
9,0.301,1
12,0.225,1
8,0.375,1
7,0.404,1
8,0.288,1
9,0.177,1
1,0.169,1
5,0.304,1
7,0.299,1
17,0.344,1
6,0.274,1
10,0.302,1
8,0.332,1
16,0.305,1
7,0.257,1
10,0.259,1
2,0.063,1
5,0.523,1
10,0.314,1
10,0.56,1
7,0.238,1
11,0.577,1
9,0.222,1
11,0.174,1
7,0.298,1
9,0.128,1
8,0.323,1
7,0.266,1
7,0.25,1
13,0.285,1
8,0.477,1
7,0.198,1
12,0.334,1
8,0.458,1
7,0.453,1
5,0.563,1
11,0.461,1
3,0.778,1
7,0.109,1
10,0.357,1
9,0.389,1
5,0.483,1
7,0.266,1
10,0.535,1
14,0.342,1
8,0.378,1
8,0.375,1
7,0.265,1
5,0.344,1
5,0.45,1
7,0.365,1
10,0.33,1
12,0.301,1
9,0.391,1
10,0.397,1
5,0.436,1
1,0.189,1
8,0.359,1
5,0.33,1
9,0.304,1
6,0.104,1
9,0.404,1
7,0.538,1
9,0.184,1
12,0.221,1
5,0.7,1
9,0.252,1
7,0.357,1
10,0.621,1
8,0.309,1
5,0.121,1
10,0.326,1
7,0.286,1
9,0.235,1
9,0.154,1
11,0.257,1
9,0.372,1
10,0.385,1
5,0.457,1
7,0.311,1
8,0.405,1
8,0.124,1
7,0.16,1
9,0.379,1
9,0.211,1
13,0.293,1
11,0.397,1
8,0.375,1
10,0.278,1
9,0.468,1
10,0.35,1
14,0.307,1
7,0.229,1
4,0.146,1
6,0.417,1
6,0.335,1
10,0.425,1
9,0.358,1
9,0.202,1
8,0.325,1
11,0.408,1
9,0.322,1
11,0.306,1
6,0.5,1
7,0.072,1
8,0.31,1
8,0.429,1
10,0.191,1
10,0.333,1
10,0.294,1
8,0.401,1
8,0.379,1
7,0.114,1
10,0.329,1
7,0.464,1
14,0.268,1
10,0.313,1
11,0.321,1
8,0.222,1
9,0.139,1
7,0.269,1
6,0.343,1
13,0.401,1
8,0.361,1
8,0.482,1
12,0.318,1
7,0.301,1
9,0.214,1
8,0.381,1
9,0.205,1
9,0.36,1
6,0.333,1
24,0.474,1
9,0.371,1
8,0.375,1
7,0.461,1
10,0.333,1
9,0.075,1
9,0.395,1
7,0.347,1
9,0.297,1
4,0.479,1
8,0.355,1
1,0.318,1
9,0.364,1
16,0.389,1
8,0.255,1
12,0.248,1
10,0.329,1
13,0.198,1
9,0.667,1
8,0.407,1
8,0.37,1
3,0.889,1
25,0.475,1
7,0.212,1
10,0.371,1
8,0.321,1
10,0.191,1
9,0.225,1
9,0.399,1
7,0.397,1
7,0.307,1
8,0.33,1
12,0.214,1
11,0.455,1
8,0.128,1
5,0.675,1
13,0.234,1
10,0.563,1
5,0.376,1
6,0.308,1
8,0.433,1
6,0.583,1
7,0.317,1
13,0.312,1
10,0.257,1
11,0.26,1
6,0.667,1
5,0.6,1
9,0.322,1
8,0.433,1
10,0.402,1
11,0.624,1
7,0.412,1
8,0.388,1
3,0.778,1
1,0.133,1
9,0.191,1
7,0.259,1
13,0.436,1
6,0.56,1
9,0.425,1
9,0.33,1
7,0.056,1
11,0.221,1
10,0.542,1
9,0.109,1
10,0.667,1
10,0.385,1
9,0.506,1
25,0.486,1
5,0.262,1
8,0.312,1
10,0.379,1
7,0.309,1
5,0.224,1
9,0.396,1
10,0.277,1
9,0.373,1
8,0.293,1
7,0.147,1
5,0.239,1
10,0.282,1
6,0.324,1
7,0.272,1
16,0.39,1
9,0.292,1
7,0.265,1
7,0.248,1
9,0.146,1
9,0.376,1
8,0.211,1
8,0.3,1
7,0.339,1
11,0.355,1
9,0.348,1
9,0.087,1
8,0.406,1
9,0.349,1
8,0.425,1
8,0.399,1
10,0.273,1
10,0.3,1
11,0.29,1
11,0.37,1
8,0.477,1
24,0.898,1
6,0.248,1
9,0.24,1
16,0.4,1
5,0.367,1
8,0.541,1
15,0.503,1
8,0.173,1
9,0.284,1
9,0.299,1
8,0.35,1
9,0.191,1
7,0.097,1
11,0.351,1
5,0.4,1
7,0.241,1
7,0.215,1
8,0.182,1
8,0.408,1
8,0.354,1
8,0.25,1
6,0.311,1
7,0.33,1
10,0.295,1
8,0.218,1
8,0.351,1
9,0.123,1
9,0.31,1
9,0.29,1
7,0.119,1
13,0.306,1
7,0.407,1
7,0.325,1
10,0.551,1
11,0.246,1
12,0.302,1
7,0.217,1
9,0.299,1
7,0.207,1
8,0.092,1
9,0.339,1
9,0.274,1
9,0.264,1
3,0.667,1
8,0.384,1
23,0.286,1
10,0.273,1
8,0.143,1
6,0.52,1
7,0.306,1
9,0.392,1
10,0.333,1
10,0.451,1
6,0.154,1
39,0.557,1
7,0.316,1
7,0.293,1
9,0.329,1
9,0.175,1
9,0.343,1
4,0.432,1
10,0.487,1
5,0.183,1
11,0.239,1
9,0.486,1
11,0.473,1
9,0.239,1
9,0.183,1
9,0.654,1
9,0.339,1
5,0.456,1
6,0.315,1
7,0.203,1
9,0.156,1
7,0.374,1
9,0.336,1
8,0.259,1
7,0.296,1
9,0.417,1
5,0.313,1
5,0.425,1
7,0.405,1
8,0.345,1
9,0.357,1
7,0.351,1
7,0.304,1
26,0.229,1
9,0.467,1
9,0.219,1
8,0.204,1
7,0.337,1
11,0.251,1
5,0.55,1
7,0.5,1
7,0.338,1
11,0.303,1
9,0.274,1
11,0.323,1
9,0.198,1
8,0.282,1
5,0.44,1
9,0.38,1
11,0.258,1
8,0.469,1
12,0.253,1
9,0.5,1
1,0.591,1
6,0.346,1
7,0.333,1
12,0.302,1
5,0.471,1
9,0.231,1
5,0.36,1
10,0.338,1
9,0.188,1
7,0.281,1
11,0.335,1
11,0.281,1
1,0.2,1
7,0.156,1
10,0.377,1
7,0.143,1
10,0.4,1
9,0.395,1
5,0.28,1
8,0.293,1
5,0.406,1
4,0.3,1
5,0.7,1
6,0.303,1
9,0.492,1
7,0.155,1
7,0.073,1
7,0.337,1
9,0.386,1
6,0.5,1
7,0.305,1
9,0.706,1
8,0.23,1
10,0.168,1
7,0.33,1
16,0.381,1
11,0.257,1
10,0.329,1
8,0.367,1
9,0.352,1
7,0.242,1
10,0.223,1
10,0.331,1
11,0.293,1
9,0.348,1
12,0.628,1
7,0.269,1
12,0.324,1
9,0.271,1
9,0.366,1
10,0.602,1
10,0.273,1
11,0.284,1
13,0.231,1
6,0.306,1
7,0.343,1
7,0.274,1
8,0.39,1
9,0.407,1
10,0.356,1
8,0.392,1
9,0.275,1
12,0.256,1
9,0.289,1
7,0.286,1
9,0.449,1
9,0.287,1
7,0.429,1
9,0.276,1
6,0.198,1
7,0.25,1
9,0.308,1
8,0.31,1
9,0.358,1
10,0.342,1
7,0.304,1
7,0.184,1
9,0.3,1
8,0.297,1
28,0.351,1
5,0.361,1
11,0.343,1
8,0.5,1
7,0.371,1
10,0.466,1
1,0.39,1
9,0.329,1
9,0.161,1
8,0.37,1
1,1,1
13,0.357,1
8,0.282,1
8,0.363,1
7,0.21,1
7,0.16,1
11,0.274,1
7,0.374,1
3,0.381,1
9,0.302,1
13,0.216,1
10,0.345,1
10,0.128,1
9,0.222,1
9,0.125,1
7,0.336,1
9,0.176,1
8,0.5,1
8,0.403,1
9,0.258,1
10,0.336,1
8,0.337,1
5,0.419,1
2,0.167,1
8,0.373,1
5,0.36,1
8,0.277,1
9,0.458,1
10,0.317,1
9,0.247,1
8,0.174,1
9,0.403,1
7,0.357,1
9,0.339,1
8,0.239,1
10,0.2,1
10,0.356,1
7,0.27,1
8,0.246,1
7,0.245,1
10,0.306,1
8,0.49,1
1,0.192,1
7,0.567,1
7,0.461,1
7,0.341,1
7,0.257,1
8,0.309,1
11,0.455,1
1,0.2,1
7,0.15,1
9,0.444,1
10,0.278,1
8,0.375,1
10,0.193,1
8,0.279,1
7,0.202,1
9,0.543,1
6,0.259,1
10,0.313,1
8,0.405,1
10,0.294,1
9,0.465,1
10,0.356,1
9,0.258,1
8,0.371,1
7,0.286,1
11,0.371,1
