@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,8,10-11'

@attribute Height numeric
@attribute Blackpix numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
13,1820,799,1
12,1605,658,1
9,223,81,1
9,395,164,1
25,851,333,1
7,340,181,1
5,55,26,1
8,244,114,1
5,60,29,1
13,1395,543,1
10,486,180,1
10,384,154,1
18,365,115,1
9,205,88,1
7,144,69,1
8,210,91,1
7,12,5,5
4,8,4,5
7,24,15,1
8,84,56,1
6,7,4,5
6,8,2,5
10,540,381,1
2,50,1,2
11,511,348,1
8,203,144,1
7,60,35,1
7,98,64,1
6,211,168,1
6,25,13,1
5,31,21,1
5,10,4,1
7,76,52,1
5,17,11,1
6,56,41,1
6,23,11,1
6,55,46,1
7,64,50,1
6,37,26,1
9,24,15,1
5,34,26,1
7,79,53,1
5,19,13,1
6,28,21,1
7,20,9,1
6,84,61,1
6,20,13,1
9,46,34,1
5,15,11,1
8,33,28,1
7,55,36,1
7,28,18,1
7,13,7,1
7,89,58,1
8,19,11,1
7,70,39,1
7,36,23,1
1,8,3,1
9,76,60,1
8,49,39,1
7,23,17,1
5,14,12,1
7,9,8,1
7,16,7,1
10,116,83,1
7,57,31,1
7,30,19,1
7,81,53,1
10,71,52,1
7,27,12,1
7,35,20,1
7,31,20,1
7,43,29,1
7,53,35,1
6,28,21,1
4,19,14,1
4,13,8,1
5,33,18,1
5,33,15,1
9,64,45,1
5,28,15,1
6,27,18,1
6,34,21,1
7,39,22,1
7,63,42,1
7,43,26,1
5,37,28,1
9,28,18,1
6,49,35,1
6,39,35,1
7,9,1,1
5,18,14,1
7,57,43,1
10,111,58,1
7,35,19,1
7,27,11,1
7,51,27,1
7,110,47,1
8,41,25,1
14,27,15,5
8,88,36,1
55,375,88,5
12,799,410,1
8,31,15,1
9,185,82,1
9,60,27,1
10,149,70,1
8,132,65,1
2,47,1,2
1,82,6,2
3,118,10,2
10,96,39,1
5,9,2,5
9,153,76,1
11,90,46,1
11,279,132,1
1,80,2,2
11,95,43,1
8,57,22,1
8,32,16,1
8,37,17,1
8,102,50,1
8,70,40,1
8,58,32,1
11,297,138,1
8,18,6,1
11,99,47,1
8,63,22,1
8,140,61,1
8,43,21,1
8,51,19,1
10,173,80,1
8,32,11,1
9,75,39,1
8,51,19,1
11,738,368,1
11,117,63,1
6,110,55,1
11,150,84,1
6,27,8,1
11,197,89,1
8,56,32,1
10,163,81,1
11,778,428,1
8,90,50,1
8,23,14,1
11,119,66,1
8,45,24,1
10,20,8,1
11,170,91,1
8,49,25,1
8,72,39,1
11,102,46,1
6,26,14,1
10,140,80,1
7,83,43,1
9,233,136,1
5,25,12,1
10,128,77,1
11,668,381,1
6,14,5,5
10,41,29,1
2,7,1,1
8,99,40,1
4,7,1,1
8,27,16,1
8,113,65,1
8,63,30,1
8,64,32,1
5,31,14,1
8,28,16,1
11,188,91,1
10,46,21,1
6,27,11,1
4,55,27,1
10,172,81,1
10,124,60,1
10,40,22,1
6,53,26,1
7,61,26,1
10,94,56,1
10,114,60,1
6,45,22,1
8,16,6,1
8,38,23,1
6,16,4,1
8,42,21,1
8,86,43,1
8,147,76,1
8,87,38,1
9,134,73,1
10,68,29,1
8,65,37,1
5,68,36,1
8,50,23,1
8,62,38,1
10,88,52,1
10,335,197,1
8,144,73,1
7,23,14,1
8,301,182,1
10,154,81,1
7,60,31,1
10,508,274,1
8,58,36,1
6,47,24,1
8,86,48,1
8,47,25,1
10,121,62,1
8,45,29,1
8,95,69,1
10,285,178,1
101,1398,691,5
9,342,134,1
7,18,7,1
10,492,401,1
8,142,116,1
8,117,100,1
7,18,8,1
9,474,389,1
2,693,59,2
5,8,3,1
5,8,1,1
25,3315,455,1
9,663,238,1
9,585,190,1
5,9,1,1
9,861,579,1
9,425,310,1
10,506,372,1
24,5296,689,1
7,197,120,1
8,816,636,1
7,67,45,1
9,390,298,1
9,658,505,1
25,5290,678,1
8,350,129,1
9,290,203,1
24,5363,679,1
9,588,213,1
9,522,200,1
9,861,654,1
9,270,213,1
7,236,174,1
7,228,188,1
7,87,74,1
9,189,162,1
8,183,155,1
1,15,14,1
1,11,6,2
13,141,39,1
8,162,89,1
9,240,142,1
9,308,148,1
9,674,344,1
8,343,261,1
8,232,168,1
10,173,120,1
7,80,57,1
9,297,212,1
8,273,221,1
3,597,27,2
25,3496,461,1
9,611,211,1
2,7,5,1
7,99,63,1
9,482,371,1
9,390,276,1
8,173,138,1
25,930,110,1
24,2296,304,1
8,208,69,1
9,370,124,1
2,577,26,2
7,30,17,1
9,222,165,1
6,29,17,1
9,1035,751,1
6,27,15,1
7,24,13,1
1,36,35,1
10,684,534,1
9,512,370,1
8,534,230,1
2,33,1,2
8,216,180,1
6,137,102,1
7,197,154,1
8,247,195,1
2,7,6,1
11,131,38,1
1,25,1,4
1,13,1,2
14,111,12,1
58,59,1,4
11,530,80,1
10,242,128,1
11,787,386,1
3,9,1,1
1,7,1,1
13,34,1,1
13,351,61,1
12,252,38,1
168,19430,1488,3
10,122,15,1
14,2236,466,1
14,495,98,1
11,582,191,1
24,2894,155,1
187,23025,786,3
10,297,108,1
9,80,11,1
14,1971,395,1
10,94,11,1
14,1315,294,1
13,1732,386,1
9,102,14,1
8,187,65,1
14,2142,425,1
14,1791,398,1
10,103,16,1
11,681,238,1
11,1096,371,1
1,175,36,2
1,8,1,2
10,849,195,1
8,219,80,1
13,1749,398,1
8,205,65,1
18,18,1,4
27,27,1,4
17,1548,104,1
1,53,16,2
13,684,156,1
14,1050,217,1
14,2094,467,1
9,82,13,1
28,3270,718,1
9,88,10,1
13,1392,286,1
11,954,213,1
7,10,1,2
9,388,151,1
11,539,77,1
16,767,137,1
8,270,97,1
16,2546,482,1
17,2273,455,1
16,1992,387,1
11,153,19,1
4,8,1,4
11,1612,564,1
8,365,119,1
6,155,63,1
8,277,72,1
7,72,12,1
10,1325,220,1
9,645,398,1
7,88,17,1
8,500,179,1
7,142,100,1
5,200,117,1
17,120,14,1
6,105,67,1
7,196,112,1
3,1152,13,2
84,84,1,4
9,711,452,1
9,485,278,1
17,147,25,1
10,594,397,1
5,110,79,1
7,129,78,1
10,744,518,1
9,525,375,1
6,150,98,1
6,135,67,1
6,164,89,1
7,143,95,1
9,166,108,1
6,183,61,1
5,150,78,1
63,1681,9,3
7,115,56,1
7,56,36,1
1,36,35,1
8,42,21,1
9,251,122,1
7,21,12,1
8,143,97,1
7,12,7,1
7,12,7,1
8,58,38,1
6,22,10,1
7,49,34,1
7,60,44,1
8,162,111,1
5,50,33,1
20,181,53,1
1,281,2,2
13,881,537,1
10,38,16,1
1,46,11,2
14,975,632,1
14,984,551,1
1,188,5,2
7,21,8,1
9,607,385,1
8,91,59,1
8,152,120,1
7,301,213,1
7,82,64,1
6,416,323,1
8,499,355,1
7,404,339,1
9,103,40,1
9,22,6,1
11,611,123,1
2,21,1,2
14,422,174,1
38,2238,657,1
1,70,1,2
1,14,1,2
9,349,236,1
8,61,30,1
22,928,585,1
