@relation page-blocks

@attribute Height numeric
@attribute Lenght numeric
@attribute Mean_tr numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
9,41,1.91,65,1
7,175,1.21,188,1
5,8,1.89,9,1
14,314,4.66,357,1
14,435,4.58,472,1
5,4,3.25,4,1
7,144,1.24,75,1
5,3,4.5,2,1
6,7,1.86,7,1
8,126,2.87,165,1
8,6,1.8,10,1
11,23,3.5,30,1
6,15,1.92,13,1
8,6,3,6,1
14,12,9.25,12,1
13,222,4.92,221,1
8,203,1.27,191,1
11,367,1.64,544,1
10,268,5.88,180,1
10,279,2.7,389,1
9,80,2.04,119,1
8,43,3.4,50,1
10,38,2.83,59,1
10,227,1.64,311,1
17,24,4.79,34,1
8,141,1.84,227,1
7,25,1.81,42,1
10,17,6.83,12,1
8,11,1.4,20,1
11,288,2.04,386,1
11,74,1.97,102,1
8,6,1.78,9,1
7,71,1.87,105,1
5,9,1.43,14,1
7,16,2.07,14,1
8,26,2.44,36,1
9,23,1.51,41,1
9,271,1.93,358,1
8,69,1.94,104,1
8,27,2.05,43,1
9,64,2.58,104,1
9,250,2.18,314,1
9,52,1.38,69,1
9,82,2.13,111,1
7,51,1.35,75,1
9,91,1.86,71,1
8,83,1.98,120,1
8,7,1.55,11,1
5,39,2.46,39,1
7,14,1.88,17,1
8,12,3.67,12,1
8,33,2,47,1
9,37,2.22,50,1
10,28,1.78,49,1
11,207,1.84,332,1
11,87,1.89,128,1
5,7,5,3,1
9,107,1.34,156,1
7,105,1.39,67,1
9,84,1.83,119,1
7,11,1.29,14,1
7,24,1.48,31,1
7,46,2.58,38,1
8,13,1.76,21,1
1,88,1,17,1
24,107,16.91,138,1
24,334,14.3,501,1
4,10,3,4,1
9,87,2.37,147,1
7,53,1.29,86,1
7,101,3.19,111,1
7,35,2.2,55,1
6,13,2.7,10,1
14,186,2.5,319,1
11,9,5.75,8,1
8,22,2.59,27,1
6,49,1.42,50,1
9,36,3.51,51,1
9,43,2.73,55,1
7,40,1.28,50,1
9,42,1.15,65,1
7,14,1.45,22,1
10,511,1.53,385,1
8,7,1.82,11,1
11,245,1.86,365,1
7,173,1.34,187,1
9,34,2.38,47,1
11,261,1.87,354,1
8,80,1.75,127,1
9,331,1.29,452,1
10,15,1.61,23,1
5,32,1.41,46,1
9,181,2.9,211,1
8,46,1.79,70,1
18,22,14.5,10,1
1,35,1.07,14,1
6,12,2.22,9,1
8,64,1.93,102,1
6,2,7,1,1
6,4,1.86,7,1
6,10,1.86,14,1
10,511,1.43,575,1
7,114,1.77,114,1
8,25,1.36,42,1
11,104,2.56,164,1
8,193,2.51,246,1
12,261,1.81,358,1
8,39,1.36,47,1
7,62,1.28,64,1
6,40,1.26,42,1
12,274,1.65,416,1
7,25,1.51,35,1
9,89,2.18,110,1
10,33,1.83,53,1
10,83,2.02,121,1
4,65,2.66,29,1
7,10,1.33,18,1
7,13,1.57,21,1
8,41,1.63,73,1
10,22,3.72,29,1
8,16,1.86,29,1
9,45,2.77,62,1
12,28,3.07,29,1
11,271,1.39,378,1
9,33,1.81,54,1
10,16,1.85,26,1
17,245,12.97,293,1
9,36,2.93,56,1
8,23,2.03,33,1
12,72,6.4,83,1
5,88,1.67,96,1
9,68,2.33,88,1
7,54,1.42,71,1
9,181,1.66,213,1
12,116,2.62,176,1
5,19,1.33,15,1
9,12,1.71,28,1
6,14,1.64,14,1
10,20,2.14,36,1
8,90,1.54,97,1
10,79,2.13,143,1
12,175,4.28,198,1
8,25,1.6,35,1
9,32,2.1,41,1
7,5,7,1,1
6,100,1.68,123,1
9,172,1.28,202,1
38,342,12.99,275,1
9,43,1.78,65,1
7,38,1.38,63,1
11,118,1.99,189,1
8,74,3.11,108,1
12,43,2.71,68,1
6,96,2.43,83,1
3,3,8,1,1
8,70,2.31,112,1
5,7,1.45,11,1
15,11,10.38,8,1
7,17,1.44,27,1
9,314,1.25,352,1
7,18,1.15,26,1
10,42,2.22,60,1
10,17,7.82,11,1
8,99,1.39,114,1
10,13,2.41,17,1
10,30,2.14,50,1
11,34,2.78,49,1
25,291,7.29,455,1
8,15,2.29,14,1
8,43,1.81,62,1
7,41,1.58,62,1
24,125,21.29,129,1
10,398,2.44,557,1
7,65,1.52,95,1
7,17,1.73,11,1
1,29,1.13,8,1
11,147,2.2,235,1
10,35,2.62,45,1
12,71,5.95,87,1
11,12,2.22,27,1
7,117,1.26,121,1
8,16,1.42,19,1
9,169,2.61,200,1
9,508,1.31,640,1
9,56,1.24,80,1
5,4,9,1,1
5,42,1.46,37,1
7,40,1.43,61,1
9,14,2.06,17,1
6,50,2,49,1
7,25,2.14,29,1
7,75,1.52,91,1
8,11,2,21,1
8,72,1.25,91,1
11,37,2.01,75,1
10,22,2.15,34,1
6,7,1.38,8,1
7,51,1.14,65,1
9,535,1.36,676,1
6,131,1.38,60,1
9,19,7.57,14,1
16,389,5.35,424,1
8,155,1.64,276,1
11,7,36,1,1
9,285,2.42,358,1
9,82,2.33,123,1
9,103,2.75,129,1
9,34,2.06,53,1
7,243,1.62,230,1
10,30,2.29,48,1
8,10,2.21,14,1
6,50,1.31,49,1
9,275,1.39,359,1
8,19,1.75,32,1
8,17,2.11,27,1
8,13,2.1,20,1
21,13,2.3,20,1
10,22,1.79,39,1
2,52,2.5,6,1
7,305,1.21,191,1
10,33,1.66,68,1
12,67,3.68,88,1
7,17,1.56,27,1
9,122,2.54,144,1
7,13,1.63,16,1
10,18,1.96,27,1
8,24,2.21,28,1
8,79,2.12,112,1
11,25,1.96,46,1
10,15,1.88,24,1
8,215,2.86,220,1
10,183,1.67,293,1
9,26,1.74,39,1
9,83,2.05,122,1
6,96,1.51,100,1
6,59,1.27,75,1
6,95,1.64,104,1
59,84,148.36,22,1
8,12,1.61,28,1
9,93,1.57,122,1
5,28,1.3,33,1
5,63,2,58,1
22,69,10.59,74,1
9,19,8.62,13,1
8,242,1.45,228,1
10,100,2.53,172,1
8,27,1.29,45,1
6,14,1.28,18,1
10,173,1.52,102,1
11,183,4.66,208,1
14,319,4.54,364,1
11,9,3.83,12,1
7,9,2,12,1
7,48,1.61,56,1
9,50,2.69,83,1
8,20,2.45,33,1
11,57,1.87,91,1
11,5,12,3,1
7,51,1.66,70,1
8,4,1.5,8,1
9,19,7.6,15,1
6,95,1.78,82,1
8,132,1.84,178,1
9,85,1.82,127,1
8,32,1.81,57,1
8,192,1.57,203,1
14,420,4.92,449,1
9,15,1.6,15,1
7,133,1.75,112,1
5,19,2.18,22,1
12,13,2.35,26,1
13,136,4.58,160,1
1,42,1.07,15,1
7,35,2.57,47,1
8,21,1.97,37,1
16,382,5.16,444,1
8,132,2.1,181,1
7,4,3,3,1
9,47,2.03,64,1
8,60,1.85,87,1
9,42,2.75,59,1
9,299,1.31,274,1
8,150,1.32,187,1
10,262,1.79,421,1
12,8,15.2,5,1
9,42,2.34,56,1
7,17,1.5,18,1
6,90,1.55,104,1
14,326,4.4,377,1
11,49,4.3,43,1
6,13,1.41,17,1
6,32,1.41,39,1
7,34,1.48,44,1
7,207,1.29,279,1
9,18,2.31,29,1
5,20,2.35,23,1
8,6,13,2,1
10,271,1.38,386,1
10,66,2.25,95,1
5,63,1.47,45,1
7,35,2.47,45,1
9,8,1.78,9,1
5,6,1.63,8,1
8,126,1.45,146,1
6,17,1.39,18,1
11,13,2.22,27,1
7,12,1.9,10,1
4,6,1.63,8,1
16,183,4.81,251,1
10,79,1.25,103,1
6,6,1.44,9,1
8,13,2.28,18,1
7,24,1.38,34,1
7,2,7,1,1
9,123,2.3,159,1
8,109,1.39,125,1
10,41,1.87,71,1
11,90,4.6,101,1
10,510,1.47,564,1
9,38,2.25,32,1
10,174,2.02,239,1
7,51,1.49,77,1
7,23,1.89,38,1
25,294,7.72,448,1
7,42,1.46,67,1
11,156,1.52,253,1
10,83,2.1,105,1
7,16,1.75,20,1
9,181,2.99,201,1
10,19,8.29,14,1
7,7,2.14,7,1
5,20,1.58,31,1
9,45,1.4,75,1
8,10,1.88,16,1
10,9,2.25,12,1
12,37,3.87,47,1
8,26,2.16,38,1
11,24,10,14,1
15,356,5.29,410,1
19,455,33.48,21,1
9,33,2.24,50,1
10,34,1.86,51,1
8,510,1.32,444,1
8,45,9.32,19,1
7,4,9,1,1
16,106,1.49,218,1
9,71,2.16,87,1
9,151,1.17,162,1
8,82,2.51,109,1
5,81,1.3,97,1
8,23,1.89,45,1
9,535,1.29,469,1
8,75,1.37,100,1
7,5,4.25,4,1
6,187,1.26,168,1
24,280,7.62,399,1
13,30,3.23,43,1
7,12,2.38,8,1
7,16,2,14,1
22,208,1.59,585,1
6,41,1.2,46,1
8,15,2.2,25,1
8,12,1.68,22,1
10,325,1.51,463,1
9,13,2.69,16,1
25,186,7.16,310,1
10,12,2.2,10,1
7,20,2.35,26,1
6,7,3.6,5,1
8,9,1.63,16,1
9,148,1.17,167,1
8,7,2.45,11,1
7,4,1.75,4,1
10,17,7.58,12,1
9,82,2.11,115,1
11,22,2.37,30,1
5,11,1.67,15,1
9,99,2.52,171,1
7,91,1.46,71,1
11,251,2.93,334,1
6,20,1.29,24,1
9,81,1.97,125,1
11,72,6.35,83,1
1,70,1.08,13,1
7,20,1.85,27,1
6,18,1.76,21,1
8,60,3.01,69,1
5,39,2.09,32,1
6,32,1.37,41,1
9,17,6.31,13,1
4,16,1.67,15,1
11,8,7.88,8,1
8,35,2.14,58,1
7,34,2.34,47,1
7,14,1.48,21,1
7,123,1.26,95,1
25,198,15.94,270,1
10,262,1.8,399,1
6,20,1.38,32,1
8,83,2.42,108,1
10,30,2.14,42,1
6,20,1.52,25,1
9,138,1.34,144,1
8,22,2.27,37,1
8,40,1.24,55,1
9,195,1.53,144,1
10,13,1.61,23,1
14,395,4.7,423,1
9,9,1.38,16,1
9,26,1.88,48,1
10,30,1.9,52,1
8,71,1.85,95,1
9,109,1.67,129,1
10,51,2.12,81,1
12,168,2.1,245,1
8,42,1.85,67,1
7,56,1.65,78,1
9,43,2.25,65,1
9,268,1.29,341,1
13,25,10.86,7,1
7,27,2.58,12,1
5,11,1.46,13,1
10,35,2.24,51,1
9,49,1.6,73,1
4,9,1.67,9,1
11,57,2.95,73,1
7,70,1.9,96,1
8,16,2.44,25,1
5,43,1.35,37,1
8,4,5,3,1
4,96,2.56,72,1
8,24,1.7,23,1
8,14,2.27,22,1
7,45,2.22,54,1
10,430,2.7,559,1
9,33,2.53,40,1
28,82,8.9,70,1
7,63,1.61,79,1
8,75,2.37,105,1
7,75,1.28,64,1
13,409,2.23,637,1
8,82,1.99,95,1
10,318,1.18,344,1
10,28,2.33,45,1
11,22,1.86,36,1
8,55,1.39,77,1
7,7,1.67,9,1
11,115,1.79,188,1
11,20,8.93,14,1
17,110,1.46,224,1
8,26,1.45,38,1
5,21,1.46,24,1
8,24,1.95,43,1
8,25,1.81,42,1
10,271,1.42,381,1
22,71,10.99,71,1
7,42,1.33,52,1
8,46,1.85,53,1
7,21,1.35,37,1
8,59,2.74,80,1
10,20,8.13,15,1
1,99,1.06,18,1
9,16,1.48,27,1
10,23,2.19,26,1
24,186,7.55,304,1
10,18,9.4,10,1
16,181,5.1,227,1
11,302,2.81,448,1
10,137,1.4,187,1
14,284,2.24,419,1
8,12,2.14,21,1
6,41,1.3,44,1
8,242,1.72,262,1
11,64,2,88,1
7,8,2.86,7,1
9,34,1.81,57,1
5,4,3,3,1
12,8,7,7,1
12,56,2.02,85,1
9,103,1.42,159,1
8,19,1.97,30,1
13,38,3.62,39,1
7,91,1.24,92,1
16,405,5.3,467,1
7,18,1.36,28,1
8,69,2.16,106,1
11,8,10.67,6,1
12,335,4.61,348,1
11,119,1.72,204,1
14,192,2.28,275,1
12,271,1.98,391,1
8,45,1.89,70,1
9,23,1.35,34,1
17,11,9.75,8,1
8,6,2.75,8,1
12,404,2.82,573,1
8,84,1.94,125,1
8,43,1.71,69,1
10,215,1.2,239,1
7,33,1.57,54,1
9,109,1.58,151,1
5,51,1.63,49,1
11,261,2.01,368,1
7,30,1.38,50,1
7,21,1.4,35,1
6,96,1.69,88,1
10,46,1.85,79,1
13,348,1.64,537,1
11,63,3.08,93,1
11,84,1.74,155,1
7,11,1.57,7,1
14,359,4.56,405,1
9,30,1.51,51,1
9,9,1.63,8,1
25,471,7.8,678,1
8,99,1.66,167,1
10,31,1.66,59,1
10,171,1.78,121,1
12,320,2.06,431,1
8,7,2.36,11,1
8,8,2.36,14,1
10,535,1.36,447,1
5,11,1.7,10,1
14,34,3.09,43,1
8,3,2.2,5,1
12,23,8.21,14,1
8,22,1.94,36,1
9,18,7.83,12,1
9,23,1.63,41,1
7,11,2.57,7,1
9,172,1.31,202,1
10,53,1.44,79,1
9,12,1.64,28,1
4,96,2.19,73,1
5,9,1.71,7,1
7,17,2.64,25,1
8,43,1.69,81,1
7,148,1.2,159,1
11,11,2.24,21,1
9,52,1.71,101,1
6,97,1.71,80,1
8,46,1.97,65,1
10,37,2,61,1
12,142,3.04,189,1
8,35,1.88,59,1
10,10,3.17,18,1
9,36,3.36,59,1
8,62,2.12,85,1
6,28,1.47,17,1
10,7,1.83,12,1
9,240,1.26,306,1
10,73,1.84,108,1
7,38,1.32,50,1
8,12,2.1,20,1
10,31,2.08,49,1
8,70,2.36,110,1
7,9,21,1,1
6,15,2.2,10,1
9,20,1.91,33,1
13,409,3.03,547,1
10,16,2.14,28,1
13,342,2.15,477,1
10,86,1.21,103,1
8,13,1.76,25,1
10,288,1.5,365,1
7,17,2.71,17,1
7,48,1.53,64,1
10,272,1.49,348,1
8,30,1.53,38,1
7,192,1.36,135,1
12,307,2.41,444,1
6,10,2.07,14,1
6,44,1.23,57,1
9,111,1.49,126,1
8,117,1.45,130,1
9,510,1.22,561,1
8,77,1.47,97,1
6,17,2.56,18,1
10,61,3.13,95,1
10,27,2.02,49,1
9,155,2.44,198,1
16,92,3.61,100,1
10,37,3.2,41,1
8,240,1.34,279,1
10,32,1.83,59,1
9,48,1.42,69,1
7,12,1.55,20,1
7,346,1.17,329,1
9,54,1.48,96,1
10,41,1.98,55,1
7,19,1.42,31,1
11,189,1.41,256,1
9,88,1.59,131,1
8,13,1.65,23,1
10,6,2.5,8,1
9,11,1.29,17,1
7,41,1.36,44,1
8,80,1.72,111,1
1,31,1.17,6,1
5,30,2.44,36,1
1,10,4,2,1
9,39,1.53,55,1
11,98,2.8,122,1
11,29,2.22,46,1
12,42,2.71,66,1
10,69,1.85,103,1
6,9,2,10,1
5,43,1.42,69,1
10,105,1.7,145,1
7,34,1.81,53,1
5,5,18,1,1
9,54,1.24,75,1
11,32,2,45,1
8,26,1.79,43,1
7,13,1.43,21,1
7,218,1.26,171,1
7,16,2.57,14,1
8,271,1.82,375,1
11,101,1.61,165,1
8,7,6,3,1
8,42,2.37,60,1
7,158,1.33,198,1
9,22,2.42,26,1
15,356,5.32,400,1
7,47,2.31,54,1
8,14,3.38,16,1
7,41,1.32,57,1
7,57,2.7,61,1
5,13,1.42,12,1
8,14,1.55,29,1
8,8,4.67,6,1
11,11,4.23,13,1
8,47,2.18,56,1
15,67,3.59,82,1
4,4,8,1,1
6,172,1.73,175,1
9,73,2.55,77,1
10,8,4,8,1
8,12,1.48,25,1
67,296,1.54,1134,1
6,4,4.67,3,1
14,38,2.95,44,1
1,123,1.05,19,1
6,15,3.23,13,1
8,67,2.31,91,1
7,22,1.85,33,1
24,170,17.04,223,1
9,84,2.08,120,1
7,42,1.27,33,1
6,13,2,7,1
33,180,1.68,835,1
9,171,1.35,138,1
5,2,7,1,1
9,77,1.87,93,1
8,71,2.06,112,1
15,222,5.34,258,1
10,18,8.4,10,1
7,55,2.09,69,1
7,155,1.46,132,1
11,118,6.63,80,1
7,61,1.78,77,1
13,67,6.6,57,1
8,43,2.1,61,1
8,64,3.85,72,1
5,6,3.67,3,1
10,147,1.29,191,1
10,67,2.17,90,1
10,40,2.07,57,1
9,21,1.57,35,1
22,72,8.64,86,1
7,23,1.71,35,1
6,263,1.11,177,1
8,57,2.91,68,1
9,36,3.16,58,1
1,7,7,1,1
11,7,5.75,8,1
3,3,7,1,1
4,137,3.28,29,1
7,21,1.34,32,1
10,12,1.69,26,1
8,54,1.74,87,1
8,208,1.65,196,1
9,535,1.31,432,1
8,33,1.9,52,1
10,33,1.82,51,1
7,11,1.21,19,1
8,21,13.5,6,1
8,36,2.05,60,1
6,28,1.77,35,1
9,32,2.23,47,1
10,303,1.32,410,1
5,30,1.71,14,1
5,27,3.08,13,1
7,41,1.52,58,1
6,17,2.29,14,1
7,80,1.39,41,1
8,28,2.48,40,1
10,33,2.47,43,1
7,13,1.61,18,1
8,26,2.5,20,1
5,33,1.44,43,1
11,86,3.1,126,1
10,271,1.47,318,1
10,22,2.34,29,1
9,78,3.33,98,1
7,17,3.18,17,1
1,12,1.75,4,1
17,23,10.43,14,1
8,3,3,4,1
6,12,1.5,18,1
5,4,2.33,3,1
8,59,2.41,63,1
10,330,1.61,425,1
7,41,1.97,62,1
12,122,2.3,166,1
24,186,7.4,305,1
9,518,1.25,360,1
8,83,2.15,123,1
10,177,1.77,261,1
9,511,1.38,751,1
10,4,1.75,8,1
7,14,1.56,16,1
11,433,4.65,460,1
9,5,10.67,3,1
9,83,3.3,84,1
9,43,3.15,59,1
8,32,34.33,3,1
10,261,1.49,321,1
11,337,2.2,296,1
11,101,2.76,160,1
10,75,2.28,141,1
20,39,3.42,53,1
9,181,2.76,213,1
5,44,2.52,21,1
8,54,3.36,69,1
7,315,1.13,110,1
77,257,72.47,127,1
9,194,1.4,238,1
7,11,1.47,19,1
7,85,1.3,88,1
39,353,16.89,454,1
7,41,1.48,62,1
9,19,2.63,19,1
11,71,2.41,120,1
8,12,2.18,17,1
4,14,1.67,9,1
15,294,5.28,330,1
8,44,1.43,70,1
6,39,1.66,32,1
6,27,1.11,35,1
8,114,1.45,73,1
11,43,2.47,64,1
9,17,6.4,15,1
9,59,3.22,81,1
10,8,5,8,1
8,41,1.66,64,1
11,118,2.71,167,1
9,99,2.65,155,1
10,252,2.88,330,1
10,319,1.67,458,1
7,29,1.4,52,1
8,23,1.91,34,1
7,7,1.44,9,1
8,69,1.91,90,1
7,26,1.53,36,1
11,82,1.97,108,1
9,52,1.84,73,1
9,23,2.92,12,1
14,340,5.07,360,1
24,281,7.95,397,1
7,14,1.94,17,1
5,39,2.06,31,1
7,5,1.13,8,1
6,10,1.5,16,1
11,22,8.05,19,1
11,12,4.13,16,1
9,37,2.08,71,1
22,71,11.25,72,1
8,17,2.86,22,1
7,150,1.36,138,1
6,13,2.63,16,1
9,38,1.87,68,1
9,18,7.64,11,1
7,4,5,3,1
7,20,1.48,31,1
7,13,1.73,15,1
9,151,1.4,178,1
7,30,1.77,35,1
8,19,2,27,1
7,34,1.31,54,1
10,36,1.98,58,1
8,46,1.42,74,1
7,14,1.94,16,1
8,275,1.31,351,1
10,20,8.82,11,1
9,220,1.44,316,1
8,8,1.56,9,1
8,41,1.92,60,1
13,498,2.28,799,1
8,195,1.24,221,1
10,20,2.13,30,1
7,54,1.39,69,1
10,18,1.93,29,1
9,535,1.4,561,1
12,69,2.81,98,1
6,97,1.82,85,1
9,333,1.57,452,1
8,4,2.17,6,1
10,35,1.88,58,1
10,20,3.48,23,1
7,10,1.82,11,1
7,123,1.66,137,1
9,59,2.26,82,1
8,45,1.9,42,1
8,298,1.18,278,1
10,25,1.91,35,1
9,102,1.3,151,1
9,36,3.02,62,1
4,11,1.36,14,1
8,25,1.98,41,1
7,18,1.35,26,1
10,38,3.12,52,1
7,23,1.39,38,1
8,14,1.73,22,1
8,42,2.18,56,1
9,535,1.35,555,1
