@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R2,4,9,11'

@attribute Lenght numeric
@attribute Eccen numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
31,3.1,295,1
18,2.571,109,1
63,6.3,501,1
14,2,98,1
22,2.75,160,1
53,7.571,215,1
14,2.8,65,1
27,5.4,135,1
22,2.75,176,1
119,11.9,791,1
34,3.4,272,1
157,15.7,887,1
9,1.125,57,1
45,4.5,323,1
262,23.818,1951,1
132,12,639,1
9,1.125,36,1
28,3.5,223,1
18,2.25,66,1
119,14.875,876,1
33,4.125,179,1
22,2.2,171,1
225,17.308,2612,1
185,7.4,4395,1
291,11.64,6963,1
82,10.25,468,1
510,56.667,2484,1
12,1.714,66,1
35,35,35,1
280,35,1589,1
80,11.429,262,1
60,60,60,1
82,10.25,494,1
4,0.8,12,1
180,20,1230,1
123,15.375,738,1
536,268,598,2
240,26.667,1307,1
519,74.143,1431,1
197,28.143,450,1
214,26.75,1382,1
103,11.444,765,1
508,63.5,1599,1
495,19.8,11777,1
170,18.889,1172,1
152,19,823,1
535,66.875,2566,1
534,59.333,2491,1
138,15.333,890,1
537,268.5,703,2
284,31.556,1537,1
105,3.387,1485,5
38,2.714,449,1
102,11.333,822,1
250,27.778,1659,1
535,59.444,2887,1
186,7.75,4413,1
181,20.111,1260,1
103,11.444,801,1
186,23.25,1208,1
63,63,63,2
29,5.8,138,1
109,109,109,1
86,8.6,548,1
314,34.889,1659,1
175,21.875,1235,1
198,28.286,498,1
57,4.071,750,1
14,1.75,99,1
40,5,279,1
13,1.857,91,1
69,34.5,70,1
14,2,89,1
98,24.5,384,1
171,19,884,1
60,60,60,1
218,27.25,1001,1
317,31.7,1535,1
72,9,424,1
92,13.143,459,1
363,40.333,1738,1
57,4.071,759,1
61,2.033,884,5
99,24.75,373,1
107,11.889,626,1
315,45,546,1
120,13.333,812,1
510,63.75,2166,1
511,51.1,2701,1
163,18.111,978,1
13,2.6,50,1
98,19.6,345,1
32,1.103,639,3
535,66.875,2984,1
332,36.889,2128,1
71,10.143,376,1
69,9.857,364,1
1,0.026,38,4
20,1.818,82,1
413,413,413,2
67,7.444,496,1
3,1,7,1
14,1.556,109,1
15,2.143,102,1
67,5.154,450,1
40,3.333,284,1
10,1,69,1
331,27.583,2125,1
257,21.417,1898,1
16,8,17,2
12,12,12,2
14,14,14,2
83,9.222,543,1
1,0.143,7,4
90,8.182,711,1
80,7.273,776,1
357,6.611,12626,5
82,9.111,619,1
71,5.917,738,1
9,1,43,1
126,15.75,969,1
326,23.286,2689,1
269,19.214,2353,1
246,22.364,2071,1
106,35.333,108,2
19,19,19,2
203,11.941,3448,1
121,15.125,949,1
18,2,145,1
17,1.7,129,1
30,30,30,2
82,9.111,589,1
166,6.917,3905,1
3,1,8,1
272,22.667,2448,1
183,13.071,1745,1
135,0.804,20513,3
315,3.795,15523,5
185,16.818,1796,1
118,10.727,963,1
123,17.571,828,1
272,34,1846,1
3,1,9,1
20,2.222,141,1
82,9.111,494,1
471,2.707,35499,3
23,1.917,228,1
184,7.077,4241,1
1,0.021,47,4
72,6.545,743,1
1,0.063,16,4
195,17.727,1676,1
22,1.833,222,1
82,9.111,606,1
198,8.609,4548,1
83,9.222,683,1
71,6.455,732,1
294,19.6,2872,1
183,11.438,2305,1
45,45,45,2
410,25.625,3731,1
271,3.519,15523,1
13,1.857,81,1
63,5.727,557,1
24,1.412,300,1
171,10.059,1226,1
73,8.111,412,1
51,10.2,212,1
48,8,278,1
141,14.1,910,1
229,28.625,887,1
58,11.6,216,1
36,7.2,142,1
145,20.714,668,1
91,13,341,1
130,6.842,1606,1
104,17.333,538,1
111,15.857,686,1
71,11.833,408,1
210,26.25,811,1
72,10.286,328,1
12,0.75,160,1
1,0.009,117,4
94,15.667,493,1
93,18.6,465,1
96,16,435,1
285,31.667,1961,1
97,16.167,409,1
94,15.667,402,1
242,18.615,1932,1
284,28.4,2013,1
96,19.2,344,1
96,16,417,1
96,24,337,1
39,7.8,128,1
20,20,20,2
151,16.778,769,1
92,13.143,584,1
127,14.111,776,1
40,40,40,1
8,1.143,42,1
88,9.778,575,1
102,11.333,514,1
21,3.5,93,1
102,102,102,2
62,8.857,418,1
56,11.2,132,1
128,25.6,489,2
72,8,320,1
90,5.625,1109,1
158,22.571,610,1
75,10.714,373,1
54,6.75,337,1
138,15.333,756,1
104,17.333,161,1
65,9.286,421,1
19,3.8,87,1
14,2,92,1
37,4.625,200,1
15,2.143,64,1
186,5.167,4382,1
20,0.909,251,1
117,9.75,1002,1
23,2.091,186,1
325,162.5,349,2
44,3.385,407,1
67,1.634,1452,1
342,9,6053,1
65,8.125,472,1
105,0.89,1296,5
161,161,161,2
309,38.625,1593,1
268,29.778,1288,1
8,1.6,36,1
70,10,476,1
74,10.571,430,1
19,0.95,271,1
41,5.125,202,1
10,1.429,52,1
153,6.12,2338,1
342,19,5522,2
1,0.1,10,4
137,12.455,982,1
64,5.818,393,1
147,13.364,982,1
16,16,16,2
