@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,7,10-11'

@attribute Height numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute Mean_tr numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
10,200,2,3.48,23,1
14,266,1.357,30,1,5
5,60,2.4,4,2,5
9,2448,30.222,1.86,365,1
4,20,1.25,2.33,3,5
8,232,3.625,2.07,43,1
11,2981,24.636,1.49,353,1
8,56,0.875,2,11,1
10,150,1.5,1.61,23,1
10,600,6,1.44,85,1
10,1790,17.9,1.41,254,1
10,2710,27.1,1.38,386,1
8,72,1.125,4.5,2,5
10,510,5.1,1.29,87,1
8,2168,33.875,1.29,364,1
11,2079,17.182,1.41,256,1
10,1730,17.3,1.52,102,1
9,1575,19.444,1.35,221,1
8,568,8.875,1.31,59,1
8,232,3.625,1.6,30,1
6,120,3.333,1.5,14,1
5,90,3.6,1.62,21,1
8,1008,15.75,1.27,149,1
8,792,12.375,1.39,114,1
804,8844,0.014,15.64,108,4
5,60,2.4,1.46,13,1
7,98,2,1.56,16,1
9,1422,17.556,1.45,212,1
1,41,41,12.67,3,2
6,36,1,3.67,3,1
6,42,1.167,1.89,9,1
6,42,1.167,1.86,7,1
1,12,12,1.75,4,1
9,207,2.556,1.82,28,1
6,84,2.333,1.64,14,1
4,56,3.5,1.67,9,1
7,287,5.857,1.48,44,1
7,56,1.143,1.62,13,1
6,354,9.833,1.27,75,1
9,72,0.889,1.27,15,1
8,184,2.875,1.7,30,1
7,343,7,1.54,71,1
7,203,4.143,1.48,42,1
7,77,1.571,1.5,16,1
7,112,2.286,1.38,21,1
5,25,1,1.57,7,1
7,609,12.429,1.27,111,1
7,63,1.286,1.54,13,1
9,441,5.444,1.46,70,1
8,40,0.625,1.67,9,1
8,184,2.875,1.76,25,1
7,210,4.286,1.64,39,1
6,108,3,1.32,25,1
7,105,2.143,1.46,24,1
6,150,4.167,1.17,35,1
9,441,5.444,1.51,72,1
8,456,7.125,1.45,84,1
7,56,1.143,2,10,1
7,133,2.714,1.77,30,1
10,2620,26.2,1.32,377,1
7,112,2.286,1.41,27,1
7,280,5.714,1.47,64,1
7,63,1.286,1.4,15,1
7,399,8.143,1.3,84,1
7,91,1.857,1.61,18,1
7,63,1.286,2,12,1
7,245,5,1.48,50,1
7,140,2.857,1.61,33,1
7,161,3.286,1.59,29,1
8,312,4.875,1.21,58,1
7,133,2.714,1.77,26,1
8,160,2.5,1.38,24,1
9,261,3.222,1.53,49,1
7,231,4.714,1.57,54,1
7,154,3.143,1.23,31,1
9,648,8,1.61,97,1
7,252,5.143,1.36,56,1
7,210,4.286,1.54,46,1
7,224,4.571,1.53,40,1
7,28,0.571,3.67,3,1
7,357,7.286,1.66,70,1
7,154,3.143,1.32,38,1
6,84,2.333,1.2,20,1
8,128,2,1.42,19,1
7,42,0.857,1.4,10,1
7,168,3.429,1.38,24,1
6,162,4.5,1.11,35,1
7,147,3,1.46,26,1
6,156,4.333,1.41,32,1
8,240,3.75,1.35,43,1
7,161,3.286,1.29,35,1
9,819,10.111,1.37,123,1
5,160,6.4,1.41,46,1
6,78,2.167,1.65,17,1
5,35,1.4,1.75,8,1
7,455,9.286,1.57,82,1
5,215,8.6,1.45,55,1
7,252,5.143,1.27,52,1
7,126,2.571,1.55,29,1
8,48,0.75,1.64,11,1
5,25,1,1.75,4,1
7,70,1.429,1.28,18,1
9,963,11.889,1.34,156,1
9,450,5.556,1.32,75,1
8,328,5.125,1.43,67,1
6,42,1.167,1.38,8,1
9,1656,20.444,1.36,251,1
5,55,2.2,1.57,14,1
7,56,1.143,1.38,13,1
7,147,3,1.35,31,1
6,60,1.667,1.93,14,1
8,72,1.125,2.09,11,1
5,35,1.4,2.11,9,1
8,344,5.375,1.69,81,1
13,65,0.385,8,1,5
11,462,3.818,1.93,70,1
10,230,2.3,2.44,34,1
8,240,3.75,2.12,49,1
11,627,5.182,2.47,75,1
11,352,2.909,1.89,56,1
11,374,3.091,2.47,49,1
2,18,4.5,10,1,2
11,209,1.727,1.93,41,1
19,247,0.684,1.51,35,1
8,48,0.75,3,8,1
8,112,1.75,1.96,26,1
25,225,0.36,2.47,17,5
9,108,1.333,2.33,18,1
8,280,4.375,2.02,53,1
8,336,5.25,1.88,74,1
11,429,3.545,2.47,55,1
8,152,2.375,1.74,31,1
10,270,2.7,2.02,49,1
10,320,3.2,2.1,51,1
8,96,1.5,1.86,22,1
8,272,4.25,2.1,48,1
11,572,4.727,2.05,78,1
11,957,7.909,1.89,128,1
8,392,6.125,1.81,88,1
8,120,1.875,2.91,23,1
7,329,6.714,2.31,54,1
1,47,47,47,1,2
8,168,2.625,1.67,36,1
9,2160,26.667,1.66,336,1
9,315,3.889,2,52,1
8,112,1.75,2.6,20,1
8,256,4,2.47,38,1
8,304,4.75,2.65,46,1
8,280,4.375,2.39,49,1
10,200,2,2.14,36,1
9,468,5.778,2.4,70,1
11,143,1.182,2.08,24,1
11,132,1.091,3,13,1
8,112,1.75,2.27,22,1
11,275,2.273,2.56,36,1
12,3252,22.583,1.93,390,1
8,112,1.75,2.04,23,1
10,190,1.9,1.69,35,1
9,486,6,1.98,96,1
8,96,1.5,2.38,16,1
8,56,0.875,2.18,11,1
8,96,1.5,1.86,21,1
8,128,2,2.04,27,1
11,1342,11.091,1.94,177,1
8,176,2.75,2.3,30,1
8,80,1.25,1.88,17,1
8,96,1.5,2.56,16,1
11,363,3,2.1,48,1
6,42,1.167,2.1,10,1
11,297,2.455,2.43,37,1
6,876,24.333,1.83,156,1
7,49,1,3.25,4,1
7,42,0.857,1.89,9,1
10,130,1.3,1.61,23,1
10,510,5.1,1.66,86,1
10,370,3.7,1.83,66,1
10,110,1.1,2.5,18,1
6,78,2.167,2.27,15,1
6,102,2.833,2.56,18,1
34,918,0.794,3.09,65,5
8,256,4,2.1,48,1
16,464,1.813,2.58,26,5
10,1030,10.3,1.77,146,1
10,80,0.8,1.56,16,1
9,18,0.222,11,1,4
8,96,1.5,2.83,18,1
8,128,2,1.8,30,1
7,28,0.571,2.33,6,1
5,65,2.6,3,12,1
10,390,3.9,2.79,48,1
10,70,0.7,2.78,9,1
11,1397,11.545,2.23,166,1
8,112,1.75,2.23,22,1
8,152,2.375,2.16,32,1
10,180,1.8,1.96,27,1
8,192,3,1.56,39,1
5,35,1.4,2.5,8,1
10,300,3,2.14,50,1
8,160,2.5,2.25,28,1
8,200,3.125,1.84,44,1
10,300,3,1.79,56,1
8,320,5,1.75,68,1
9,126,1.556,2.47,17,1
10,410,4.1,1.93,59,1
8,72,1.125,1.63,16,1
10,2620,26.2,1.8,399,1
10,290,2.9,1.83,46,1
8,144,2.25,2.24,25,1
8,80,1.25,1.53,17,1
10,340,3.4,1.84,56,1
8,200,3.125,1.89,44,1
8,320,5,1.68,69,1
10,400,4,1.9,62,1
10,540,5.4,1.94,85,1
8,128,2,1.91,23,1
7,84,1.714,2.36,14,1
8,152,2.375,1.97,30,1
8,192,3,2.21,28,1
10,390,3.9,1.69,71,1
10,730,7.3,1.84,108,1
7,266,5.429,2.04,46,1
8,72,1.125,2.33,12,1
7,28,0.571,5,3,1
9,414,5.111,1.72,76,1
5,75,3,2.05,20,1
8,192,3,1.8,40,1
8,504,7.875,1.58,106,1
10,140,1.4,1.91,23,1
8,264,4.125,1.9,52,1
8,56,0.875,1.36,14,1
7,77,1.571,1.75,20,1
8,184,2.875,1.51,39,1
8,200,3.125,1.73,41,1
10,220,2.2,1.74,35,1
22,1474,3.045,2.91,112,1
13,494,2.923,3.6,43,1
9,1611,19.889,2.4,229,1
2,1072,268,180.33,3,2
2,1072,268,24,24,2
5,65,2.6,10,1,1
8,1160,18.125,1.24,146,1
5,25,1,3,3,1
8,672,10.5,1.4,110,1
9,1332,16.444,1.37,189,1
9,4815,59.444,1.29,469,1
32,3392,3.313,4.56,147,5
8,600,9.375,3.02,84,1
10,1850,18.5,2.81,237,1
9,2205,27.222,1.39,254,1
9,963,11.889,1.36,135,1
8,2048,32,1.26,200,1
7,2135,43.571,1.21,191,1
1,257,257,257,1,2
7,1512,30.857,3.11,223,1
9,1683,20.778,3.03,233,1
9,4815,59.444,1.36,613,1
9,4815,59.444,1.36,676,1
9,1665,20.556,2.83,227,1
2,196,49,9.4,10,2
9,1359,16.778,1.4,178,1
9,4824,59.556,1.38,320,1
9,1953,24.111,1.4,235,1
10,3360,33.6,1.32,415,1
9,4815,59.444,1.38,573,1
24,6768,11.75,7.8,384,1
9,972,12,2.45,137,1
1,143,143,1.06,18,1
9,1143,14.111,1.28,155,1
8,1624,25.375,1.27,191,1
1,26,26,26,1,2
7,1036,21.143,1.2,159,1
31,1147,1.194,2.07,105,5
9,1647,20.333,2.25,239,1
8,120,1.875,1.86,21,1
10,1370,13.7,1.4,187,1
10,5110,51.1,1.35,596,1
25,4650,7.44,7.39,305,1
7,1505,30.714,3.2,253,1
9,1665,20.556,3.13,222,1
5,155,6.2,1.91,34,1
1,167,167,1.03,31,1
9,918,11.333,1.29,137,1
9,1746,21.556,1.4,238,1
6,480,13.333,1.51,112,1
7,1057,21.571,1.33,61,1
2,1074,268.5,24.88,24,2
13,1352,8,3.44,78,1
6,84,2.333,1.57,21,1
7,91,1.857,2.6,10,1
7,98,2,1.94,16,1
9,963,11.889,2.08,152,1
7,1197,24.429,1.25,154,1
1,16,16,16,1,2
5,50,2,7,2,1
7,525,10.714,5.51,63,1
11,2090,17.273,2.11,237,1
1,14,14,3,3,2
1,104,104,50.5,2,2
7,490,10,3.23,81,1
10,1550,15.5,2.8,181,1
10,100,1,50,1,1
3,9,1,7,1,1
9,558,6.889,3.26,69,1
11,2013,16.636,4.66,208,1
10,190,1.9,8.23,13,1
8,504,7.875,2.41,91,1
13,5200,30.769,4.52,418,1
9,126,1.556,6.17,12,1
12,4020,27.917,4.61,348,1
13,2067,12.231,4.81,177,1
17,4165,14.412,12.97,293,1
12,2100,14.583,4.28,198,1
8,8,0.125,8,1,4
1,159,159,77.5,2,2
25,4225,6.76,1.58,586,1
12,852,5.917,6.77,79,1
12,4596,31.917,2.91,485,1
9,747,9.222,2.94,89,1
10,1550,15.5,2.78,195,1
7,315,6.429,2.45,62,1
10,190,1.9,6.94,16,1
10,200,2,8.82,11,1
9,171,2.111,7.23,13,1
10,170,1.7,7.58,12,1
27,8640,11.852,4.53,613,1
9,747,9.222,2.93,85,1
1,63,63,2.31,16,2
16,6832,26.688,5.56,492,1
11,2178,18,2.9,288,1
1,42,42,1.6,5,2
83,27058,3.928,7.55,1025,5
72,6912,1.333,15.69,215,3
31,9982,10.387,16.87,408,1
3,12,1.333,11,1,1
16,5744,22.438,5.41,399,1
9,630,7.778,2.79,98,1
11,209,1.727,7.56,16,1
11,616,5.091,3.09,77,1
16,6784,26.5,5.34,471,1
23,2760,5.217,17.44,149,1
10,2560,25.6,2.84,327,1
12,264,1.833,8.35,17,1
12,240,1.667,9,14,1
82,25748,3.829,10.84,703,1
11,2596,21.455,2.91,316,1
5,10,0.4,9,1,4
24,3240,5.625,18.69,158,1
12,264,1.833,7.5,20,1
16,7024,27.438,5.09,530,1
9,2070,25.556,2.63,314,1
8,104,1.625,7.1,10,1
8,384,6,1.68,81,1
10,3160,31.6,2.74,422,1
8,1360,21.25,1.6,236,1
10,3980,39.8,2.44,557,1
8,1296,20.25,3.12,85,1
8,872,13.625,2.47,158,1
8,8,0.125,8,1,1
6,1302,36.167,1.52,214,1
7,1680,34.286,1.64,221,1
5,350,14,1.4,45,1
5,1015,40.6,1.3,187,1
18,2844,8.778,2.46,229,1
17,187,0.647,9.75,8,1
5,170,6.8,1.26,19,1
5,230,9.2,1.43,28,1
7,1344,27.429,1.36,135,1
7,1477,30.143,1.7,223,1
19,3819,10.579,2.07,439,1
10,580,5.8,2.81,83,1
5,470,18.8,1.62,53,1
4,380,23.75,1.51,78,1
6,576,16,1.51,102,1
136,136,0.007,135,1,4
6,576,16,1.58,100,1
16,1472,5.75,3.61,100,1
64,4672,1.141,72.38,26,3
63,4158,1.048,44.37,46,3
4,432,27,56,6,2
11,627,5.182,2.95,73,1
9,1899,23.444,1.48,282,1
7,84,1.714,2.38,8,1
1,76,76,36.5,2,2
6,42,1.167,2.33,6,1
6,54,1.5,2,8,1
3,24,2.667,1.33,6,1
9,396,4.889,2.47,66,1
5,60,2.4,1.71,7,1
5,290,11.6,1.18,22,1
1,45,45,1.07,15,1
7,826,16.857,2.26,141,1
7,238,4.857,1.43,42,1
6,78,2.167,1.53,15,1
5,30,1.2,2,6,1
5,55,2.2,1.7,10,1
7,105,2.143,1.5,14,1
8,336,5.25,1.74,50,1
5,90,3.6,1.45,20,1
9,1188,14.667,1.54,146,1
11,6072,50.182,4955,1,2
1,16,16,15,1,2
11,4037,33.364,1.64,544,1
14,5908,30.143,1.7,624,1
13,4043,23.923,1.63,537,1
1,17,17,17,1,2
10,200,2,1.9,29,1
1,8,8,8,1,2
1,17,17,17,1,2
9,1233,15.222,1.7,171,1
6,576,16,1.38,99,1
8,2552,39.875,1.26,353,1
7,455,9.286,1.38,71,1
7,644,13.143,1.88,106,1
1,106,106,1.02,45,2
20,320,0.8,26.67,6,1
28,1260,1.607,7.86,59,1
9,342,4.222,2.25,32,1
12,1380,9.583,1.74,203,1
11,55,0.455,12,3,1
11,3333,27.545,7.49,67,1
10,100,1,3.17,18,1
38,2622,1.816,4.27,292,1
14,1974,10.071,2.29,240,1
7,7,0.143,7,1,4
10,110,1.1,4.5,12,1
11,132,1.091,4.33,15,1
9,405,5,1.68,74,1
