@relation page-blocks

@attribute Lenght numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
30,219,1
11,132,1
16,124,1
19,121,1
8,64,1
21,177,1
12,60,1
112,1576,1
49,247,1
121,1063,1
114,591,1
19,165,1
46,240,1
13,45,1
50,431,1
20,149,1
48,214,1
16,45,1
13,59,1
64,812,1
91,646,1
343,1661,1
291,6796,1
6,22,1
24,110,1
102,796,1
18,123,1
333,6057,1
123,580,1
5,25,1
11,76,1
359,3093,1
13,63,1
161,1347,1
93,749,1
47,320,1
61,427,1
62,435,1
66,417,1
218,2090,1
7,44,1
13,69,1
110,1128,1
41,217,1
164,962,1
85,592,1
19,152,1
22,176,1
155,1195,1
64,485,1
37,300,1
8,87,1
19,156,1
19,117,1
203,3448,1
534,3524,1
53,388,1
19,76,1
80,538,1
81,710,1
7,42,1
118,879,1
49,303,1
43,276,1
88,341,1
38,244,1
85,569,1
98,734,1
44,375,1
42,273,1
16,72,1
340,7872,1
5,13,1
25,151,1
20,83,1
17,108,1
65,527,1
119,1002,1
84,779,1
508,2425,1
12,54,1
157,887,1
193,1099,1
93,537,1
11,71,1
8,40,1
59,407,1
22,184,1
27,216,1
80,575,1
306,2222,1
15,147,1
369,3176,1
130,1082,1
205,1451,1
11,72,1
80,597,1
55,316,1
24,112,1
102,820,1
7,54,1
27,188,1
18,139,1
9,61,1
198,4670,1
42,217,1
26,102,1
108,831,1
45,263,1
4,16,1
8,48,1
12,83,1
7,36,1
7,61,1
72,426,1
70,476,1
17,81,1
349,3029,1
135,712,1
21,132,1
102,862,1
12,47,1
234,2077,1
83,624,1
43,414,1
22,160,1
101,701,1
19,81,1
24,216,1
11,47,1
138,890,1
14,74,1
38,448,1
70,492,1
215,997,1
14,89,1
37,311,1
364,2865,1
73,469,1
167,1470,1
33,196,1
13,90,1
535,2566,1
216,1290,1
10,71,1
82,643,1
245,9871,1
20,140,1
44,274,1
8,48,1
31,185,1
46,207,1
41,355,1
390,3727,1
42,42,1
49,341,1
67,723,1
17,124,1
336,7729,1
35,253,1
39,245,1
24,101,1
15,111,1
38,299,1
23,161,1
59,283,1
18,152,1
34,273,1
9,54,1
31,191,1
82,566,1
65,472,1
44,363,1
21,119,1
21,166,1
534,2005,1
182,1292,1
74,74,1
8,70,1
5,29,1
271,1556,1
97,409,1
58,487,1
11,50,1
9,57,1
349,1422,1
16,95,1
7,31,1
252,2062,1
10,48,1
183,1745,1
30,161,1
2,7,1
262,1781,1
15,111,1
21,113,1
389,1591,1
85,574,1
532,3073,1
108,792,1
31,182,1
26,230,1
46,242,1
13,52,1
9,32,1
19,62,1
183,1248,1
25,204,1
16,118,1
125,1285,1
52,491,1
12,74,1
24,120,1
74,354,1
83,561,1
9,9,1
202,462,1
38,356,1
414,3514,1
41,310,1
16,100,1
189,932,1
19,115,1
10,52,1
54,234,1
231,1003,1
96,458,1
5,18,1
22,139,1
46,291,1
18,127,1
9,71,1
246,2071,1
33,213,1
13,61,1
108,844,1
7,35,1
8,80,1
96,704,1
41,397,1
92,861,1
57,410,1
41,256,1
292,6967,1
96,344,1
249,249,1
11,49,1
331,1570,1
41,230,1
26,312,1
535,3167,1
21,168,1
123,695,1
353,2013,1
131,1115,1
218,1001,1
32,184,1
523,1277,1
9,45,1
29,240,1
45,375,1
8,96,1
60,296,1
54,230,1
6,10,1
30,142,1
99,436,1
10,79,1
29,152,1
19,106,1
243,817,1
83,811,1
4,9,1
13,47,1
40,290,1
117,997,1
14,89,1
44,226,1
43,211,1
108,610,1
30,150,1
535,3646,1
47,295,1
13,66,1
13,54,1
7,31,1
26,136,1
29,159,1
474,2740,1
113,686,1
288,1584,1
18,111,1
19,21,1
96,664,1
20,73,1
344,3146,1
163,805,1
86,400,1
116,640,1
46,425,1
26,245,1
31,200,1
233,1239,1
165,1147,1
64,585,1
88,532,1
5,28,1
258,1672,1
32,355,1
520,1441,1
321,2675,1
26,269,1
198,1318,1
80,262,1
10,46,1
7,48,1
7,23,1
29,163,1
5,40,1
27,189,1
29,113,1
100,874,1
107,790,1
21,126,1
15,105,1
17,140,1
2,12,1
60,60,1
116,1060,1
82,699,1
40,331,1
344,2307,1
53,384,1
4,14,1
266,2003,1
181,2198,1
275,1775,1
533,3853,1
49,186,1
25,175,1
18,117,1
20,123,1
5,15,1
43,371,1
16,132,1
19,110,1
93,284,1
8,50,1
76,556,1
11,88,1
11,93,1
50,434,1
43,243,1
52,73,1
8,96,1
386,3301,1
26,162,1
12,67,1
47,227,1
227,2667,1
175,1235,1
161,1152,1
34,224,1
200,200,1
7,737,1
35,249,1
13,119,1
72,793,1
168,1054,1
26,182,1
148,740,1
96,533,1
79,586,1
162,769,1
22,203,1
82,468,1
82,690,1
50,336,1
64,567,1
57,759,1
152,1047,1
19,171,1
180,1196,1
300,2594,1
49,471,1
7,53,1
251,1423,1
34,195,1
28,166,1
55,346,1
12,72,1
14,82,1
185,1193,1
8,56,1
44,374,1
26,203,1
122,1290,1
19,103,1
15,67,1
148,858,1
82,527,1
97,537,1
147,1343,1
219,1317,1
41,301,1
16,114,1
8,39,1
43,409,1
217,1934,1
13,91,1
12,104,1
185,1572,1
12,120,1
245,1042,1
201,825,1
13,153,1
79,616,1
11,75,1
9,36,1
71,476,1
75,325,1
251,1559,1
508,1599,1
7,33,1
7,23,1
262,1841,1
242,792,1
90,434,1
25,113,1
20,122,1
226,2852,1
7,42,1
37,235,1
29,190,1
70,512,1
207,1117,1
29,171,1
186,4410,1
53,325,1
23,211,1
4,26,1
45,282,1
205,822,1
23,162,1
47,47,1
58,342,1
344,3643,1
185,1687,1
490,1425,1
28,177,1
12,85,1
101,531,1
38,484,1
86,501,1
80,565,1
66,427,1
45,85,1
15,87,1
12,80,1
12,89,1
16,119,1
268,1654,1
17,73,1
16,118,1
106,755,1
83,465,1
132,3036,1
488,1508,1
18,124,1
8,43,1
104,538,1
4,24,1
402,3554,1
7,77,1
98,677,1
7,32,1
28,184,1
89,691,1
16,60,1
73,285,1
11,66,1
82,492,1
150,1020,1
40,211,1
38,260,1
22,132,1
8,49,1
119,887,1
10,42,1
51,325,1
137,982,1
39,298,1
146,932,1
17,70,1
49,318,1
34,180,1
11,99,1
37,315,1
216,883,1
80,646,1
4,31,1
31,186,1
233,1441,1
37,179,1
95,618,1
155,1386,1
7,34,1
48,435,1
43,234,1
20,103,1
101,987,1
18,144,1
38,240,1
15,69,1
109,414,1
71,487,1
7,37,1
23,90,1
155,1008,1
22,286,1
19,155,1
19,153,1
90,245,1
53,414,1
16,121,1
28,135,1
243,2756,1
33,276,1
53,215,1
92,672,1
13,98,1
327,2508,1
12,88,1
101,742,1
534,3208,1
24,192,1
60,60,1
21,105,1
105,301,1
106,592,1
10,56,1
11,76,1
34,250,1
35,217,1
510,2763,1
51,212,1
412,3869,1
12,96,1
53,430,1
118,118,1
13,101,1
12,72,1
13,52,1
42,302,1
80,687,1
4,28,1
35,251,1
403,3568,1
156,1082,1
22,213,1
323,2183,1
40,315,1
16,123,1
48,414,1
305,2003,1
65,473,1
20,200,1
57,750,1
19,132,1
158,610,1
19,170,1
295,1483,1
318,1625,1
54,331,1
15,26,1
28,114,1
21,181,1
348,3262,1
62,491,1
311,2914,1
248,1807,1
279,304,1
56,157,1
19,74,1
23,217,1
80,670,1
62,532,1
76,650,1
11,48,1
43,241,1
264,1455,1
64,518,1
104,891,1
222,1421,1
296,5649,1
126,1049,1
215,1362,1
18,128,1
7,30,1
63,557,1
53,434,1
6,33,1
436,3623,1
232,1633,1
7,53,1
13,38,1
292,6670,1
96,385,1
34,178,1
148,850,1
21,134,1
33,250,1
118,800,1
53,287,1
6,32,1
71,1368,1
71,1317,1
96,402,1
7,49,1
81,656,1
33,245,1
57,396,1
97,419,1
16,119,1
71,1306,1
91,520,1
96,337,1
419,3535,1
12,95,1
272,2448,1
170,1172,1
95,374,1
23,151,1
15,97,1
23,243,1
18,125,1
17,34,1
121,1086,1
82,455,1
267,2299,1
41,309,1
84,753,1
47,264,1
80,475,1
279,1916,1
251,1776,1
54,321,1
44,371,1
409,3200,1
79,332,1
45,284,1
50,259,1
22,215,1
22,128,1
251,2052,1
41,274,1
7,44,1
32,157,1
92,790,1
143,529,1
40,191,1
281,4339,1
81,453,1
64,559,1
90,781,1
51,346,1
31,221,1
16,74,1
107,843,1
9,69,1
36,142,1
13,97,1
81,414,1
73,518,1
261,1771,1
20,156,1
38,233,1
110,621,1
40,317,1
18,108,1
389,3544,1
12,129,1
23,123,1
52,358,1
17,151,1
43,348,1
272,1236,1
25,173,1
8,62,1
271,1784,1
13,82,1
510,2166,1
41,228,1
99,366,1
13,78,1
199,915,1
132,909,1
36,229,1
160,2054,1
170,4017,1
320,1975,1
93,738,1
28,178,1
101,783,1
24,114,1
20,90,1
222,2425,1
228,2765,1
13,79,1
166,3905,1
14,98,1
508,2593,1
60,364,1
24,109,1
6,19,1
18,120,1
24,157,1
30,272,1
6,47,1
120,718,1
23,191,1
32,185,1
123,828,1
5,25,1
76,607,1
418,3625,1
159,1213,1
12,108,1
13,85,1
14,88,1
9,76,1
40,246,1
26,194,1
23,186,1
65,386,1
57,382,1
6,30,1
59,419,1
31,32,1
11,81,1
31,215,1
342,1702,1
21,172,1
34,90,1
243,898,1
153,2338,1
45,238,1
9,57,1
40,351,1
356,3279,1
32,180,1
9,61,1
42,336,1
79,604,1
16,128,1
12,102,1
23,144,1
39,219,1
97,849,1
90,531,1
15,77,1
231,1324,1
38,194,1
13,103,1
28,153,1
29,140,1
26,186,1
38,199,1
105,518,1
125,657,1
5,29,1
9,41,1
17,82,1
20,126,1
16,112,1
271,1857,1
6,36,1
94,493,1
256,1995,1
27,291,1
38,132,1
16,86,1
8,93,1
186,4433,1
10,89,1
79,621,1
60,439,1
14,105,1
118,1102,1
24,111,1
23,105,1
4,25,1
24,196,1
70,1290,1
23,136,1
410,3731,1
81,668,1
125,2875,1
42,42,1
10,62,1
29,166,1
14,94,1
109,832,1
18,107,1
108,897,1
12,83,1
22,215,1
424,709,1
22,118,1
21,168,1
93,709,1
302,2670,1
49,49,1
378,5737,1
8,52,1
21,116,1
534,2771,1
27,159,1
34,259,1
38,307,1
32,229,1
5,40,1
280,6134,1
37,321,1
48,356,1
7,47,1
11,74,1
16,78,1
25,147,1
249,1725,1
183,2305,1
38,357,1
2,9,1
11,77,1
25,175,1
25,156,1
8,96,1
126,1068,1
271,1724,1
39,145,1
95,519,1
13,89,1
99,99,1
271,1908,1
34,308,1
35,240,1
192,889,1
37,273,1
4,19,1
18,55,1
15,117,1
83,554,1
99,762,1
104,846,1
3,17,1
11,74,1
45,261,1
6,23,1
18,107,1
10,65,1
320,2621,1
32,252,1
4,11,1
15,109,1
114,446,1
15,71,1
13,71,1
19,110,1
25,162,1
13,45,1
96,1161,1
271,2084,1
16,114,1
21,108,1
26,121,1
23,119,1
37,477,1
174,1002,1
17,102,1
37,169,1
26,120,1
151,746,1
50,206,1
50,233,1
106,1005,1
23,169,1
75,533,1
46,320,1
228,875,1
19,38,1
26,150,1
6,39,1
101,2596,1
7,7,1
52,336,1
95,726,1
26,213,1
40,273,1
12,84,1
25,200,1
29,192,1
130,1113,1
8,70,1
35,35,1
43,250,1
47,369,1
38,188,1
35,225,1
274,2687,1
17,89,1
97,753,1
32,176,1
10,50,1
198,1213,1
18,153,1
11,55,1
271,1942,1
18,124,1
14,77,1
272,1868,1
14,92,1
315,546,1
37,304,1
12,90,1
66,618,1
19,159,1
116,1053,1
71,489,1
55,327,1
15,93,1
22,162,1
98,832,1
357,3232,1
10,52,1
16,86,1
14,96,1
112,523,1
175,902,1
251,1517,1
468,10359,1
8,57,1
71,770,1
72,812,1
66,515,1
20,95,1
10,64,1
40,348,1
41,341,1
270,1204,1
263,1041,1
13,66,1
76,603,1
47,47,1
14,66,1
96,678,1
97,807,1
510,2465,1
71,738,1
262,1254,1
8,88,1
59,436,1
38,222,1
4,11,1
151,1162,1
41,306,1
45,331,1
40,333,1
84,664,1
96,467,1
19,126,1
8,49,1
10,10,1
147,809,1
8,61,1
14,72,1
16,142,1
39,456,1
18,144,1
17,84,1
43,169,1
505,2847,1
18,57,1
12,12,1
154,1008,1
7,42,1
275,1928,1
126,1086,1
12,108,1
41,244,1
73,556,1
105,852,1
31,216,1
55,284,1
16,87,1
82,603,1
17,82,1
22,154,1
9,42,1
75,560,1
303,892,1
26,124,1
12,72,1
33,229,1
11,60,1
121,1182,1
23,149,1
96,718,1
163,948,1
323,2340,1
9,43,1
8,75,1
84,708,1
43,438,1
197,1479,1
125,676,1
31,72,1
104,945,1
11,74,1
7,49,1
18,121,1
6,49,1
18,73,1
404,3267,1
81,676,1
518,2001,1
148,743,1
19,163,1
152,823,1
176,1026,1
16,110,1
20,140,1
151,758,1
6,28,1
337,3291,1
266,2130,1
60,404,1
54,558,1
82,473,1
8,54,1
21,109,1
67,499,1
124,2852,1
346,1712,1
71,645,1
81,395,1
129,437,1
67,543,1
356,3940,1
471,10437,1
251,1293,1
83,603,1
34,272,1
83,543,1
16,86,1
25,71,1
68,530,1
83,602,1
20,131,1
15,130,1
11,68,1
271,15523,1
34,264,1
30,215,1
59,426,1
337,3276,1
41,217,1
12,115,1
37,299,1
118,1028,1
4,27,1
121,514,1
157,3609,1
23,152,1
11,42,1
23,218,1
11,55,1
33,285,1
28,122,1
47,139,1
25,209,1
98,818,1
42,369,1
284,1537,1
13,89,1
38,250,1
13,72,1
86,546,1
26,525,1
22,160,1
172,936,1
302,1763,1
389,4481,1
95,438,1
17,111,1
81,602,1
185,975,1
181,1567,1
56,347,1
34,294,1
24,176,1
85,845,1
26,157,1
100,497,1
20,171,1
31,151,1
8,50,1
89,89,1
5,28,1
155,978,1
137,2943,1
180,1198,1
123,1276,1
73,678,1
21,98,1
6,11,1
232,1957,1
35,210,1
40,40,1
284,2471,1
14,88,1
30,199,1
29,158,1
25,231,1
244,1758,1
56,325,1
123,814,1
213,1503,1
21,77,1
69,377,1
8,39,1
30,99,1
409,2966,1
248,1622,1
123,1092,1
134,820,1
22,208,1
294,2872,1
8,27,1
64,433,1
12,38,1
417,3262,1
6,29,1
69,1287,1
10,54,1
358,2782,1
118,293,1
131,1123,1
64,569,1
60,372,1
68,380,1
56,132,1
103,562,1
50,173,1
10,48,1
268,1288,1
16,96,1
187,4408,1
29,232,1
75,367,1
24,111,1
7,53,1
151,769,1
13,104,1
29,129,1
173,1042,1
14,161,1
62,480,1
209,1384,1
27,217,1
43,256,1
6,12,1
219,1060,1
372,3050,1
16,69,1
55,400,1
46,326,1
32,667,1
80,557,1
262,1945,1
116,984,1
19,110,1
20,201,1
21,138,1
80,492,1
31,151,1
95,380,1
332,2128,1
17,144,1
19,147,1
19,145,1
533,2841,1
180,847,1
36,288,1
4,17,1
96,426,1
70,407,1
33,195,1
67,257,1
22,222,1
284,2777,1
48,284,1
17,131,1
262,1587,1
23,161,1
292,2445,1
410,3254,1
8,55,1
59,450,1
55,289,1
18,115,1
33,33,1
96,493,1
30,144,1
7,47,1
20,141,1
26,129,1
14,77,1
268,1536,1
19,83,1
162,1213,1
84,641,1
21,97,1
369,2122,1
58,216,1
123,887,1
98,765,1
91,744,1
10,105,1
99,373,1
145,1050,1
69,218,1
100,970,1
16,80,1
20,145,1
178,990,1
49,204,1
10,70,1
50,308,1
11,53,1
13,45,1
43,407,1
27,268,1
25,134,1
12,100,1
49,460,1
98,1666,1
471,10409,1
75,546,1
45,290,1
51,436,1
19,166,1
6,36,1
16,65,1
94,486,1
17,137,1
24,186,1
150,753,1
84,598,1
36,218,1
36,214,1
37,223,1
18,164,1
18,127,1
16,127,1
24,183,1
23,115,1
40,272,1
77,701,1
242,1111,1
15,89,1
213,1821,1
41,208,1
11,109,1
101,947,1
42,318,1
128,594,1
172,1131,1
193,1451,1
3,7,1
109,109,1
25,154,1
7,28,1
8,43,1
96,371,1
40,292,1
98,926,1
49,359,1
6,12,1
64,485,1
21,161,1
53,477,1
17,87,1
101,856,1
14,83,1
83,678,1
135,761,1
9,31,1
33,171,1
24,110,1
12,108,1
150,878,1
42,352,1
18,132,1
218,1141,1
53,481,1
190,957,1
205,2622,1
31,283,1
22,80,1
375,2531,1
53,344,1
292,1896,1
183,1693,1
8,21,1
12,36,1
23,161,1
33,261,1
413,3662,1
39,329,1
28,147,1
20,118,1
47,327,1
29,204,1
80,632,1
166,1120,1
3,16,1
16,100,1
63,350,1
150,879,1
4,24,1
100,477,1
22,62,1
59,465,1
307,2842,1
12,97,1
57,437,1
18,136,1
31,182,1
11,77,1
510,2717,1
94,678,1
213,1635,1
36,272,1
34,186,1
64,618,1
509,2297,1
43,296,1
138,1251,1
52,391,1
32,199,1
340,2480,1
13,86,1
83,753,1
29,232,1
8,80,1
104,104,1
41,284,1
21,142,1
310,2211,1
170,4075,1
25,193,1
24,330,1
16,107,1
7,49,1
88,575,1
189,941,1
17,136,1
20,309,1
22,138,1
36,173,1
7,24,1
9,59,1
242,1932,1
261,1860,1
4,9,1
44,396,1
21,162,1
153,1168,1
97,820,1
509,1736,1
13,91,1
8,56,1
63,415,1
20,122,1
79,620,1
17,82,1
7,43,1
77,450,1
20,106,1
23,152,1
8,42,1
99,736,1
7,49,1
19,90,1
119,726,1
410,3474,1
94,698,1
67,394,1
101,815,1
6,42,1
13,78,1
424,4879,1
9,52,1
14,84,1
398,2113,1
123,208,1
23,178,1
41,223,1
12,96,1
79,619,1
7,30,1
12,77,1
49,424,1
20,169,1
291,2371,1
37,180,1
8,88,1
82,650,1
21,170,1
20,162,1
59,467,1
22,171,1
100,443,1
39,200,1
7,7,1
41,207,1
88,588,1
177,4082,1
412,7118,1
536,3924,1
47,127,1
64,467,1
2,8,1
24,156,1
47,401,1
16,103,1
18,79,1
4,19,1
42,248,1
231,1052,1
3,24,1
118,1061,1
136,738,1
107,658,1
14,95,1
10,102,1
127,776,1
59,412,1
21,181,1
25,156,1
12,85,1
29,422,1
511,2339,1
4,24,1
79,535,1
17,76,1
41,325,1
44,374,1
78,586,1
176,972,1
86,650,1
23,207,1
5,40,1
14,96,1
18,106,1
59,366,1
98,584,1
108,593,1
34,223,1
193,1280,1
170,1206,1
12,87,1
64,530,1
39,128,1
249,1584,1
57,741,1
133,878,1
4,20,1
99,729,1
240,1971,1
9,72,1
40,320,1
43,280,1
342,2810,1
47,330,1
8,25,1
8,88,1
8,54,1
96,354,1
92,584,1
26,114,1
186,4413,1
16,95,1
256,1027,1
100,846,1
36,300,1
30,358,1
31,295,1
43,356,1
100,702,1
28,268,1
31,176,1
19,149,1
8,64,1
92,759,1
134,1145,1
71,334,1
29,185,1
36,307,1
82,682,1
259,1745,1
9,80,1
45,344,1
158,437,1
17,61,1
32,238,1
66,420,1
109,443,1
36,304,1
241,960,1
95,95,1
96,385,1
36,247,1
94,700,1
37,449,1
53,384,1
32,286,1
119,876,1
17,80,1
89,319,1
198,4611,1
164,959,1
23,184,1
17,129,1
114,372,1
6,24,1
118,1035,1
498,4453,1
71,334,1
36,301,1
8,38,1
82,513,1
13,61,1
25,123,1
181,1201,1
535,3052,1
26,182,1
98,1054,1
4,16,1
32,32,1
4,24,1
44,335,1
82,501,1
18,124,1
13,77,1
20,140,1
14,99,1
40,149,1
31,184,1
77,995,1
50,214,1
207,1178,1
53,282,1
298,1886,1
36,256,1
43,319,1
18,116,1
83,561,1
117,1000,1
122,634,1
416,3594,1
7,35,1
262,1657,1
487,3988,1
17,79,1
80,348,1
23,141,1
60,444,1
22,185,1
504,3352,1
5,33,1
95,653,1
65,627,1
80,500,1
107,659,1
25,202,1
65,421,1
34,253,1
175,983,1
34,264,1
19,88,1
17,104,1
19,271,1
38,472,1
18,134,1
245,2063,1
94,693,1
93,697,1
42,362,1
30,204,1
346,1828,1
12,38,1
155,1020,1
9,47,1
25,124,1
13,75,1
37,259,1
9,77,1
339,2596,1
96,417,1
91,633,1
82,589,1
38,183,1
63,389,1
198,4548,1
346,1607,1
118,1086,1
29,233,1
108,750,1
41,187,1
63,566,1
5,36,1
9,73,1
18,123,1
70,471,1
44,214,1
43,293,1
282,1977,1
203,4713,1
19,149,1
9,71,1
269,1335,1
19,146,1
40,358,1
272,1767,1
240,1674,1
11,56,1
26,254,1
4,17,1
19,84,1
21,125,1
9,76,1
98,844,1
132,823,1
4,24,1
10,26,1
170,1577,1
23,153,1
209,4976,1
299,1896,1
21,83,1
14,75,1
32,350,1
76,524,1
52,417,1
97,313,1
130,1005,1
82,691,1
8,43,1
45,363,1
31,154,1
40,310,1
22,283,1
41,285,1
41,320,1
48,276,1
107,2523,1
123,738,1
31,146,1
238,1730,1
13,77,1
36,300,1
261,1686,1
22,176,1
29,136,1
3,21,1
8,88,1
25,106,1
83,513,1
13,153,1
52,141,1
54,445,1
12,108,1
76,544,1
26,136,1
508,3224,1
30,282,1
69,456,1
27,84,1
272,2036,1
20,100,1
262,1715,1
45,260,1
391,4219,1
4,10,1
10,74,1
14,94,1
15,75,1
6,60,1
30,213,1
83,634,1
354,2750,1
103,511,1
56,310,1
9,65,1
23,173,1
18,140,1
10,53,1
276,2102,1
8,64,1
154,984,1
18,80,1
48,278,1
161,755,1
191,1532,1
9,47,1
14,65,1
4,28,1
263,1550,1
18,129,1
15,120,1
257,9689,1
25,193,1
99,807,1
60,60,1
227,2654,1
44,330,1
535,2984,1
44,214,1
7,56,1
4,36,1
22,191,1
8,44,1
18,142,1
283,1852,1
15,122,1
24,102,1
102,650,1
68,274,1
118,963,1
98,859,1
34,103,1
7,26,1
41,183,1
41,360,1
84,629,1
8,36,1
12,108,1
9,9,1
119,791,1
21,27,1
31,31,1
12,86,1
76,438,1
10,80,1
535,2323,1
28,89,1
59,312,1
85,700,1
24,127,1
11,65,1
43,248,1
15,97,1
262,2271,1
155,1065,1
34,202,1
46,314,1
212,1293,1
18,148,1
213,1112,1
23,126,1
22,152,1
508,3154,1
213,1093,1
162,266,1
38,210,1
498,3818,1
39,219,1
9,65,1
19,87,1
171,773,1
106,1368,1
88,88,1
64,276,1
28,112,1
88,431,1
292,6676,1
42,326,1
41,221,1
90,637,1
10,80,1
97,678,1
123,819,1
18,110,1
17,130,1
38,360,1
11,85,1
278,1485,1
47,779,1
341,935,1
13,89,1
89,89,1
12,69,1
61,471,1
54,360,1
279,851,1
37,269,1
56,304,1
19,101,1
511,3023,1
63,515,1
90,873,1
107,736,1
11,73,1
8,49,1
60,473,1
35,262,1
26,259,1
4,14,1
271,1803,1
9,60,1
111,686,1
17,89,1
84,627,1
8,61,1
153,1378,1
18,111,1
4,20,1
104,161,1
271,2239,1
124,2859,1
14,98,1
326,2689,1
14,92,1
76,432,1
11,113,1
25,133,1
151,1279,1
107,749,1
15,70,1
108,534,1
31,151,1
12,89,1
228,2791,1
14,61,1
180,3627,1
36,225,1
47,367,1
106,881,1
125,643,1
66,436,1
352,2193,1
293,1746,1
261,1343,1
10,54,1
96,405,1
9,43,1
104,943,1
17,90,1
102,514,1
81,465,1
12,66,1
27,109,1
43,408,1
261,2001,1
