@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R3-4,10-11'

@attribute Area numeric
@attribute Eccen numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
1536,10.667,179,1
4920,34.167,645,1
552,8.625,106,1
954,11.778,150,1
174,4.833,33,1
333,4.111,61,1
540,5.4,65,1
1562,3.227,72,1
215,8.6,43,1
3456,2.667,43,5
1050,10.5,145,1
1092,6.462,121,1
1480,23.125,199,1
534,14.833,99,1
1416,9.833,166,1
1260,8.75,160,1
330,3.3,51,1
2723,55.571,381,1
864,2.667,53,1
287,5.857,62,1
2710,27.1,362,1
2439,30.111,374,1
552,8.625,103,1
2176,34,311,1
432,6.75,82,1
200,3.125,40,1
3969,0.605,199,5
36,1,2,5
2720,27.2,368,1
104,0.615,15,5
2720,27.2,401,1
2720,27.2,399,1
496,7.75,69,1
144,4,27,1
2981,24.636,378,1
49,1,11,1
2710,27.1,409,1
49,1,9,1
56,1.143,9,1
35,1.4,6,1
729,9,91,1
260,10.4,40,1
190,7.6,57,1
150,4.167,36,1
790,7.9,103,1
287,5.857,43,1
240,6.667,42,1
136,2.125,21,1
102,2.833,24,1
78,2.167,14,1
15,0.6,2,1
63,1.286,13,1
1510,15.1,197,1
333,4.111,46,1
184,2.875,31,1
77,1.571,17,1
252,5.143,55,1
203,4.143,52,1
63,1.286,15,1
63,1.286,13,1
28,0.571,3,1
126,2.571,23,1
224,4.571,40,1
261,3.222,44,1
91,1.857,15,1
88,1.375,20,1
168,3.429,31,1
126,2.571,26,1
91,1.857,21,1
133,2.714,28,1
77,1.571,19,1
273,5.571,56,1
66,1.833,18,1
156,4.333,35,1
287,5.857,66,1
224,4.571,55,1
168,3.429,34,1
66,1.833,15,1
66,1.833,15,1
28,0.571,4,1
175,3.571,27,1
56,1.143,13,1
78,2.167,19,1
88,5.5,26,1
261,3.222,46,1
42,0.857,11,1
287,5.857,62,1
152,2.375,18,1
152,2.375,19,1
602,12.286,105,1
329,6.714,67,1
133,2.714,26,1
66,1.833,16,1
301,6.143,68,1
200,8,63,1
468,5.778,86,1
119,2.429,23,1
231,4.714,50,1
20,0.8,5,1
91,1.857,20,1
48,1.333,14,1
144,1.778,27,1
120,3.333,33,1
77,1.571,16,1
329,6.714,61,1
35,1.4,11,1
77,1.571,14,1
1809,22.333,216,1
30,0.833,6,1
351,4.333,55,1
126,2.571,25,1
54,0.667,4,5
275,2.273,40,1
120,1.2,22,1
104,1.625,22,1
351,4.333,50,1
3252,22.583,391,1
1034,8.545,143,1
60,0.6,10,1
32,0.5,8,1
250,2.5,47,1
248,3.875,49,1
48,0.75,6,1
36,0.444,3,1
300,3,46,1
424,6.625,67,1
96,1.5,20,1
3252,22.583,423,1
110,1.1,19,1
128,2,23,1
200,3.125,41,1
24,0.667,2,1
352,2.909,45,1
96,1.5,14,1
946,7.818,144,1
119,2.429,23,1
333,4.111,50,1
424,6.625,80,1
35,0.714,2,1
2035,16.818,310,1
80,1.25,14,1
423,5.222,80,1
120,1.875,26,1
261,3.222,45,1
171,2.111,30,1
272,4.25,57,1
234,2.889,40,1
210,2.1,33,1
56,0.875,8,1
280,2.8,41,1
64,1,12,1
552,8.625,104,1
168,2.625,29,1
63,0.778,13,1
64,1,12,1
208,3.25,43,1
1450,14.5,212,1
56,0.875,11,1
484,4,79,1
128,2,29,1
80,1.25,16,1
400,4,73,1
350,3.5,51,1
456,7.125,78,1
130,1.3,17,1
104,1.625,20,1
408,6.375,64,1
25,25,1,1
152,2.375,27,1
200,3.125,41,1
40,0.625,4,1
2312,0.5,213,5
171,2.111,19,1
340,3.4,54,1
180,2.222,27,1
117,1.444,16,1
40,2.5,5,1
819,10.111,71,1
15,0.6,1,1
50,2,12,1
2280,22.8,316,1
56,0.875,10,1
24,0.667,3,1
2620,26.2,421,1
184,2.875,33,1
160,2.5,30,1
112,1.75,20,1
184,2.875,40,1
112,1.75,25,1
70,2.8,18,1
2871,23.727,361,1
162,2,28,1
380,3.8,55,1
990,9.9,136,1
310,3.1,49,1
310,3.1,49,1
126,2.571,21,1
630,6.3,109,1
98,2,15,1
176,2.75,37,1
371,7.571,53,1
70,2.8,19,1
135,5.4,34,1
176,2.75,31,1
1190,11.9,178,1
340,3.4,57,1
1570,15.7,222,1
72,1.125,14,1
450,4.5,69,1
2882,23.818,391,1
1452,12,134,1
72,1.125,7,1
224,3.5,43,1
144,2.25,10,1
952,14.875,189,1
264,4.125,52,1
220,2.2,39,1
2925,17.308,226,1
4625,7.4,306,1
7275,11.64,462,1
656,10.25,99,1
4590,56.667,561,1
84,1.714,10,1
35,35,6,1
2240,35,333,1
560,11.429,41,1
60,60,12,1
656,10.25,109,1
20,0.8,3,1
1620,20,212,1
984,15.375,146,1
1072,268,19,2
2160,26.667,306,1
3633,74.143,215,1
1379,28.143,66,1
1712,26.75,248,1
927,11.444,129,1
4064,63.5,290,1
12375,19.8,784,1
1530,18.889,218,1
1216,19,191,1
4280,66.875,520,1
4806,59.333,507,1
1242,15.333,144,1
1074,268.5,30,2
2556,31.556,286,1
3255,3.387,161,5
532,2.714,41,1
918,11.333,128,1
2250,27.778,320,1
4815,59.444,561,1
4464,7.75,305,1
1629,20.111,216,1
927,11.444,134,1
1488,23.25,234,1
63,63,1,2
145,5.8,33,1
109,109,19,1
860,8.6,103,1
2826,34.889,352,1
1400,21.875,183,1
1386,28.286,62,1
798,4.071,48,1
112,1.75,12,1
320,5,62,1
91,1.857,18,1
138,34.5,10,1
98,2,16,1
392,24.5,96,1
1539,19,138,1
60,60,11,1
1744,27.25,195,1
3170,31.7,298,1
576,9,91,1
644,13.143,63,1
3267,40.333,326,1
798,4.071,49,1
1830,2.033,153,5
396,24.75,83,1
963,11.889,138,1
2205,45,110,1
1080,13.333,147,1
4080,63.75,444,1
5110,51.1,555,1
1467,18.111,170,1
65,2.6,7,1
490,19.6,85,1
928,1.103,64,3
4280,66.875,575,1
2988,36.889,393,1
497,10.143,84,1
483,9.857,71,1
38,0.026,1,4
220,1.818,19,1
413,413,1,2
603,7.444,75,1
9,1,1,1
126,1.556,12,1
105,2.143,12,1
871,5.154,57,1
480,3.333,29,1
100,1,2,1
3972,27.583,431,1
3084,21.417,291,1
32,8,3,2
12,12,1,2
14,14,2,2
747,9.222,84,1
7,0.143,1,4
990,8.182,101,1
880,7.273,87,1
19278,6.611,901,5
738,9.111,96,1
852,5.917,87,1
81,1,1,1
1008,15.75,165,1
4564,23.286,377,1
3766,19.214,276,1
2706,22.364,331,1
318,35.333,13,2
19,19,3,2
3451,11.941,225,1
968,15.125,134,1
162,2,14,1
170,1.7,12,1
30,30,5,2
738,9.111,99,1
3984,6.917,211,1
9,1,1,1
3264,22.667,393,1
2562,13.071,205,1
22680,0.804,296,3
26145,3.795,839,5
2035,16.818,220,1
1298,10.727,124,1
861,17.571,138,1
2176,34,289,1
9,1,1,1
180,2.222,12,1
738,9.111,84,1
81954,2.707,1756,3
276,1.917,21,1
4784,7.077,219,1
47,0.021,1,4
792,6.545,83,1
16,0.063,1,4
2145,17.727,256,1
264,1.833,19,1
738,9.111,100,1
4554,8.609,282,1
747,9.222,96,1
781,6.455,84,1
4410,19.6,330,1
2928,11.438,251,1
45,45,8,2
6560,25.625,450,1
20867,3.519,885,1
91,1.857,8,1
693,5.727,93,1
408,1.412,37,1
2907,10.059,250,1
657,8.111,77,1
255,10.2,49,1
288,8,58,1
1410,14.1,148,1
1832,28.625,196,1
290,11.6,41,1
180,7.2,25,1
1015,20.714,140,1
637,13,71,1
2470,6.842,267,1
624,17.333,111,1
777,15.857,131,1
426,11.833,89,1
1680,26.25,208,1
504,10.286,70,1
192,0.75,14,1
117,0.009,1,4
564,15.667,65,1
465,18.6,98,1
576,16,83,1
2565,31.667,358,1
582,16.167,80,1
564,15.667,66,1
3146,18.615,312,1
2840,28.4,402,1
480,19.2,74,1
576,16,81,1
384,24,72,1
195,7.8,24,1
20,20,5,2
1359,16.778,181,1
644,13.143,122,1
1143,14.111,154,1
40,40,15,1
56,1.143,11,1
792,9.778,131,1
918,11.333,96,1
126,3.5,19,1
102,102,4,2
434,8.857,81,1
280,11.2,26,1
640,25.6,3,2
648,8,82,1
1440,5.625,204,1
1106,22.571,146,1
525,10.714,91,1
432,6.75,53,1
1242,15.333,180,1
624,17.333,31,1
455,9.286,89,1
95,3.8,20,1
98,2,19,1
296,4.625,42,1
105,2.143,7,1
6696,5.167,292,1
440,0.909,23,1
1404,9.75,176,1
253,2.091,32,1
650,162.5,11,2
572,3.385,61,1
2747,1.634,36,1
12996,9,275,1
520,8.125,90,1
12390,0.89,193,5
161,161,65,2
2472,38.625,325,1
2412,29.778,258,1
40,1.6,8,1
490,10,96,1
518,10.571,74,1
380,0.95,15,1
328,5.125,37,1
70,1.429,6,1
3825,6.12,470,1
6156,19,120,2
10,0.1,1,4
1507,12.455,177,1
704,5.818,83,1
1617,13.364,235,1
16,16,1,2
