@relation page-blocks

@attribute Lenght numeric
@attribute Eccen numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
50,5.556,431,1
30,3.75,207,1
94,18.8,353,1
307,25.583,2842,1
243,34.714,898,1
12,2.4,60,1
14,1.75,86,1
67,6.091,622,1
6,0.857,32,1
35,3.889,263,1
12,1.5,90,1
163,18.111,805,1
16,1.778,138,1
40,4.444,357,1
16,3.2,80,1
39,7.8,170,1
8,1,64,1
10,1.111,80,1
215,30.714,1500,1
99,16.5,477,1
28,2.333,199,1
34,4.25,204,1
520,57.778,1441,1
12,1.714,44,1
14,2.333,76,1
32,3.556,232,1
53,5.3,471,1
72,6,697,1
47,2.043,808,1
50,7.143,259,1
13,2.167,45,1
16,2.286,107,1
34,6.8,103,1
25,3.125,134,1
177,17.7,1226,1
83,9.222,513,1
92,10.222,698,1
148,16.444,912,1
93,9.3,729,1
152,16.889,1047,1
17,2.833,82,1
535,59.444,3214,1
13,2.6,47,1
132,16.5,922,1
12,1.5,77,1
81,9,668,1
120,5.217,2760,1
96,16,467,1
144,20.571,387,1
356,23.733,3342,1
62,8.857,378,1
37,4.625,192,1
49,6.125,298,1
1,0.111,9,1
274,30.444,1431,1
98,10.889,628,1
104,13,724,1
11,2.2,55,1
98,14,417,1
69,8.625,426,1
21,1.235,219,1
19,2.111,115,1
82,9.111,415,1
9,1,59,1
23,2.875,153,1
17,2.833,61,1
7,0.875,53,1
121,17.286,514,1
14,2,92,1
28,5.6,133,1
162,16.2,1183,1
39,6.5,173,1
511,51.1,2772,1
18,2,132,1
151,11.615,1425,1
4,1.333,11,1
21,2.333,155,1
34,3.4,308,1
61,7.625,472,1
407,29.071,3273,1
65,5.909,473,1
283,31.444,1852,1
12,2,65,1
7,0.875,44,1
511,51.1,2114,1
14,2.333,84,1
234,16.714,2077,1
108,12,772,1
39,3.25,228,1
17,1.7,145,1
85,8.5,574,1
89,9.889,448,1
158,8.778,1190,1
190,17.273,955,1
535,59.444,3257,1
39,6.5,208,1
7,1.4,35,1
24,1.5,335,1
27,3.857,130,1
64,8,485,1
135,10.385,1462,1
62,6.2,407,1
38,2.714,260,1
47,5.222,349,1
52,5.778,305,1
79,7.9,530,1
161,14.636,1071,1
48,6,351,1
33,3.667,251,1
4,0.8,8,1
61,6.1,581,1
298,37.25,1886,1
19,3.8,89,1
9,1.286,54,1
36,3.6,256,1
32,3.2,255,1
190,23.75,957,1
25,2.5,209,1
25,2.778,113,1
43,4.778,276,1
7,1,49,1
14,1.273,151,1
47,4.7,328,1
71,5.917,743,1
18,2.571,124,1
58,4.462,452,1
133,5.542,3085,1
26,2.6,248,1
6,0.75,47,1
48,4,435,1
108,12,756,1
14,2,77,1
8,1,64,1
135,5.625,3131,1
14,1.75,111,1
7,0.583,84,1
109,13.625,443,1
174,19.333,1154,1
21,3,116,1
30,4.286,183,1
28,3.5,177,1
85,7.083,845,1
5,1,18,1
12,1.5,87,1
261,26.1,1860,1
405,25.313,3863,1
44,4.4,274,1
45,5.625,323,1
64,8,433,1
4,0.8,16,1
68,8.5,530,1
63,6.3,564,1
14,1.75,88,1
40,5,310,1
125,5.435,2875,1
145,14.5,1083,1
57,4.071,774,1
181,20.111,1201,1
190,23.75,943,1
344,31.273,2694,1
49,5.444,288,1
12,1.333,108,1
12,1.5,74,1
18,1.8,156,1
52,4.727,346,1
311,23.923,3069,1
14,1.75,79,1
29,3.625,151,1
73,6.083,518,1
19,3.167,89,1
64,8,467,1
5,0.833,26,1
211,30.143,965,1
9,1.5,39,1
46,5.111,355,1
82,2.929,895,1
78,8.667,625,1
510,51,2741,1
25,2.5,193,1
46,5.75,301,1
34,3.4,223,1
15,1.875,119,1
155,15.5,931,1
40,4.444,333,1
8,1.6,40,1
96,24,289,1
18,2.25,136,1
11,2.2,48,1
24,2.667,156,1
14,2,85,1
19,1.9,163,1
6,0.857,39,1
14,1.75,86,1
134,12.182,1145,1
4,0.5,21,1
6,0.857,23,1
7,7,7,1
279,27.9,1916,1
46,5.75,326,1
7,0.636,37,1
8,1.143,56,1
155,14.091,995,1
106,3.926,1368,1
96,4,1161,1
14,2.8,61,1
32,3.556,256,1
8,0.727,88,1
32,3.556,225,1
7,1,49,1
6,0.857,42,1
95,15.833,438,1
31,5.167,186,1
17,1.7,131,1
39,6.5,165,1
13,1.444,103,1
12,2,47,1
50,6.25,366,1
20,2.222,139,1
36,4,302,1
40,5,211,1
21,3,134,1
155,15.5,1244,1
27,3.857,189,1
14,2,81,1
8,0.8,80,1
108,12,792,1
43,3.909,356,1
27,3.375,165,1
24,2.182,192,1
216,30.857,1294,1
53,6.625,377,1
185,23.125,975,1
264,29.333,1455,1
17,2.125,133,1
25,2.778,211,1
12,1.714,68,1
54,4.909,464,1
282,28.2,1977,1
26,2.6,212,1
76,6.909,575,1
12,2.4,44,1
38,3.455,356,1
23,2.875,152,1
9,1.125,52,1
18,2.25,128,1
38,2.923,472,1
5,0.714,29,1
337,30.636,2402,1
19,2.375,123,1
468,19.5,10359,1
26,3.25,162,1
17,2.125,120,1
284,31.556,1165,1
13,1.857,84,1
98,9.8,832,1
29,4.143,192,1
131,13.1,1107,1
44,11,108,1
42,5.25,254,1
382,23.875,3670,1
7,1,47,1
12,1.5,92,1
60,6,473,1
185,18.5,1272,1
6,0.857,40,1
24,3.429,143,1
116,23.2,455,1
50,6.25,397,1
64,7.111,518,1
97,10.778,804,1
83,7.545,822,1
326,36.222,1882,1
17,1.889,99,1
24,2.667,216,1
31,6.2,151,1
107,11.889,829,1
60,6,357,1
440,31.429,3857,1
8,1.333,46,1
59,6.556,440,1
131,21.833,370,1
25,2.778,159,1
21,2.1,159,1
15,1.667,130,1
344,43,2307,1
23,4.6,90,1
107,13.375,736,1
22,2.2,135,1
23,2.3,205,1
90,8.182,800,1
292,29.2,1896,1
167,13.917,1507,1
29,3.625,205,1
6,0.857,42,1
31,7.75,117,1
26,3.714,114,1
279,139.5,304,1
93,9.3,738,1
508,50.8,1742,1
85,7.727,621,1
135,15,761,1
41,4.1,259,1
2,0.286,12,1
59,7.375,326,1
172,19.111,1050,1
93,23.25,284,1
291,22.385,2371,1
15,1.875,92,1
11,1.375,42,1
51,7.286,280,1
21,2.333,116,1
11,1,99,1
3,0.375,16,1
18,1.8,139,1
9,0.818,72,1
97,19.4,403,1
96,16,385,1
13,1.857,91,1
33,3.3,281,1
71,8.875,326,1
15,2.143,88,1
33,3.3,261,1
64,7.111,559,1
33,4.125,234,1
118,9.833,991,1
30,3,253,1
29,2.9,212,1
9,1.125,65,1
43,8.6,176,1
98,12.25,685,1
13,1.857,89,1
9,1,65,1
36,4,261,1
266,15.647,4522,1
134,14.889,820,1
20,3.333,117,1
122,13.556,1040,1
6,0.75,38,1
37,5.286,259,1
2,0.333,12,1
81,9,676,1
80,10,348,1
63,7,515,1
61,8.714,285,1
9,1.125,48,1
85,8.5,592,1
69,17.25,265,1
32,3.556,248,1
38,3.8,176,1
18,1.8,152,1
135,19.286,499,1
26,2.889,121,1
7,0.636,77,1
100,12.5,703,1
124,12.4,1009,1
9,9,9,1
19,1.727,198,1
18,2,142,1
9,1.8,45,1
256,28.444,1027,1
41,4.1,301,1
41,6.833,228,1
48,6,355,1
12,1.5,66,1
43,5.375,329,1
114,28.5,446,1
28,5.6,115,1
21,3,125,1
19,1.9,155,1
13,2.167,66,1
20,2,174,1
262,29.111,1015,1
215,26.875,1362,1
8,1,50,1
14,2.333,52,1
82,9.111,649,1
98,9.8,765,1
26,2.364,269,1
76,12.667,438,1
7,1.167,36,1
35,4.375,279,1
18,2.571,79,1
24,4.8,97,1
148,18.5,858,1
7,1.4,30,1
19,1.9,62,1
16,1.6,142,1
359,22.438,3747,1
51,5.1,429,1
20,2.857,120,1
223,31.857,1036,1
7,1,44,1
52,5.778,387,1
8,1.143,54,1
8,1.143,56,1
49,8.167,186,1
195,24.375,1506,1
18,3,100,1
27,5.4,67,1
284,23.667,2471,1
33,3,265,1
31,3.875,182,1
59,7.375,412,1
40,5.714,191,1
419,29.929,3535,1
386,29.692,3301,1
6,1,20,1
7,1.75,16,1
53,10.6,162,1
46,4.6,268,1
16,1.778,110,1
15,2.143,87,1
3,0.75,11,1
80,8,670,1
66,6.6,436,1
7,0.583,49,1
5,0.625,40,1
271,22.583,1999,1
46,5.111,345,1
16,2,77,1
101,11.222,783,1
26,2.167,312,1
50,7.143,336,1
47,11.75,139,1
6,0.75,41,1
68,11.333,274,1
94,18.8,375,1
47,5.875,337,1
16,2.286,112,1
24,1.412,289,1
11,1,106,1
14,2,83,1
26,3.714,166,1
13,1.625,95,1
37,2.846,449,1
22,1.294,152,1
29,2.9,248,1
68,7.556,483,1
26,3.714,157,1
10,1.25,74,1
17,2.125,82,1
8,0.727,88,1
51,5.1,415,1
25,3.125,146,1
30,4.286,210,1
37,5.286,247,1
116,16.571,640,1
323,24.846,2340,1
15,2.5,66,1
9,0.818,76,1
174,19.333,1156,1
20,2.222,162,1
9,1.286,39,1
110,12.222,621,1
177,177,177,1
91,10.111,633,1
32,4,249,1
46,5.75,345,1
506,50.6,2980,1
180,5.455,3627,1
34,3.4,253,1
35,5,204,1
18,3.6,90,1
32,2.909,287,1
51,7.286,311,1
25,3.125,176,1
13,1.444,103,1
58,5.8,518,1
78,7.8,668,1
85,12.143,517,1
7,1.167,40,1
188,14.462,1736,1
14,1.75,94,1
181,20.111,1077,1
31,4.429,185,1
30,3.75,161,1
275,30.556,1775,1
93,11.625,400,1
12,1,141,1
121,12.1,1063,1
16,1.6,123,1
87,8.7,665,1
33,4.714,195,1
19,2.714,125,1
23,2.3,205,1
99,12.375,762,1
21,2.333,147,1
29,3.625,158,1
158,22.571,1053,1
249,27.667,1725,1
27,2.7,217,1
22,3.143,80,1
5,0.556,28,1
170,21.25,1210,1
180,22.5,1198,1
303,30.3,2028,1
17,1.7,90,1
85,14.167,370,1
80,6.154,557,1
26,2.6,213,1
65,16.25,164,1
47,47,47,1
89,17.8,319,1
13,1.3,107,1
37,4.111,195,1
82,10.25,527,1
65,5,572,1
12,1.714,62,1
79,7.9,646,1
51,6.375,303,1
20,2.857,138,1
27,4.5,78,1
90,15,434,1
159,17.667,866,1
23,2.556,169,1
409,34.083,2966,1
69,3.136,1287,1
40,6.667,149,1
50,4.545,308,1
34,3.778,283,1
12,1.333,80,1
129,14.333,751,1
186,18.6,1434,1
201,14.357,1804,1
42,4.667,311,1
91,13,621,1
40,4.444,348,1
21,2.625,168,1
20,4,48,1
177,35.4,441,1
72,3.273,1356,1
33,5.5,197,1
140,15.556,953,1
83,8.3,714,1
17,2.429,88,1
8,0.727,88,1
75,10.714,398,1
115,4.6,1868,1
44,4.889,348,1
118,9.833,1039,1
10,1.667,56,1
510,56.667,2465,1
348,24.857,3293,1
14,2.333,78,1
6,0.857,12,1
11,1.571,74,1
18,2.571,106,1
100,12.5,690,1
8,1.6,38,1
4,1.333,9,1
23,2.091,211,1
42,4.667,342,1
125,8.929,1285,1
42,4.2,362,1
12,2.4,28,1
35,3.889,271,1
34,3.778,271,1
23,3.286,152,1
23,2.875,133,1
28,3.5,170,1
9,0.9,70,1
83,9.222,542,1
10,1.667,45,1
2,0.4,8,1
17,2.429,103,1
22,2.75,139,1
61,5.545,412,1
20,2.222,157,1
457,50.778,2590,1
421,30.071,3424,1
62,7.75,431,1
62,5.636,532,1
18,2.571,126,1
23,3.286,109,1
61,5.545,493,1
37,5.286,179,1
218,24.222,1141,1
35,5,221,1
508,56.444,3154,1
535,59.444,2136,1
281,31.222,2164,1
276,30.667,2102,1
30,5,150,1
169,18.778,1058,1
12,1.714,80,1
2,0.286,10,1
52,6.5,383,1
91,10.111,744,1
37,4.625,223,1
44,4.889,374,1
31,5.167,157,1
490,54.444,1425,1
8,1.333,44,1
153,21.857,1039,1
21,3,98,1
8,0.667,48,1
4,0.8,17,1
41,5.857,225,1
2,0.5,7,1
337,21.063,3276,1
70,3.182,1290,1
43,8.6,211,1
372,26.571,3050,1
7,0.7,69,1
8,1.143,43,1
97,16.167,496,1
272,24.727,2103,1
13,1.625,104,1
7,0.636,77,1
398,49.75,2113,1
73,8.111,285,1
14,1.75,75,1
11,1.833,64,1
6,0.857,42,1
46,4.6,278,1
8,0.889,57,1
8,1.6,40,1
18,2.571,90,1
15,2.143,79,1
27,5.4,134,1
118,16.857,718,1
11,1.571,67,1
332,27.667,2626,1
14,1.75,88,1
33,3.667,232,1
25,4.167,150,1
12,1.5,91,1
42,6,217,1
62,5.167,491,1
16,1.6,140,1
39,3.545,305,1
17,1.7,170,1
40,4.444,331,1
12,1.333,92,1
18,2.571,120,1
29,3.222,233,1
97,16.167,408,1
41,5.125,286,1
272,30.222,1303,1
34,2.429,405,1
85,7.727,843,1
16,2,124,1
20,2.222,157,1
4,0.5,28,1
109,12.111,764,1
76,8.444,650,1
4,1,15,1
21,2.625,155,1
73,9.125,469,1
83,10.375,575,1
14,1.75,96,1
24,2.667,196,1
55,6.875,284,1
12,1.5,78,1
24,3,183,1
11,1.375,73,1
40,5,294,1
262,26.2,1811,1
82,10.25,551,1
8,0.727,75,1
28,4.667,89,1
20,2.222,111,1
34,4.857,223,1
31,10.333,72,1
3,500,17,1
53,4.818,283,1
98,8.167,737,1
79,11.286,535,1
20,3.333,118,1
314,22.429,3168,1
532,59.111,3073,1
31,3.1,252,1
25,3.571,124,1
96,10.667,704,1
43,4.778,234,1
17,2.429,108,1
309,30.9,2257,1
37,4.625,294,1
48,6.857,219,1
7,1.167,33,1
165,16.5,1147,1
13,2.167,76,1
80,13.333,461,1
49,8.167,204,1
19,2.375,152,1
9,1.8,41,1
33,3.667,288,1
103,11.444,715,1
21,2.333,147,1
6,0.6,49,1
11,1.571,73,1
