@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1-2,7,10-11'

@attribute Height numeric
@attribute Lenght numeric
@attribute Mean_tr numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
7,21,1.41,34,1
7,23,1.21,33,1
7,15,1.57,21,1
8,27,1.31,39,1
8,4,2.4,5,1
7,38,1.4,43,1
6,33,1.39,38,1
7,13,1.79,19,1
7,26,1.23,40,1
5,5,1.29,7,1
9,48,1.42,83,1
9,32,1.5,46,1
6,7,1.38,8,1
8,21,1.3,30,1
7,19,1.5,22,1
7,7,2.13,8,1
6,21,1.33,33,1
6,16,2.38,8,1
7,17,1.82,17,1
5,18,1.64,22,1
7,30,1.43,44,1
7,11,1.36,14,1
7,16,1.93,14,1
9,20,1.51,35,1
7,4,1.75,4,1
7,43,1.33,66,1
7,7,1.36,11,1
9,28,1.47,43,1
6,19,1.59,22,1
7,11,1.6,20,1
9,43,1.68,63,1
6,13,1.37,19,1
10,49,1.35,60,1
6,11,1.53,17,1
7,14,2,17,1
10,251,1.37,327,1
7,24,1.61,28,1
7,11,1.47,17,1
5,14,1.69,16,1
7,56,1.45,86,1
6,11,1.57,14,1
9,5,1.83,6,1
9,22,1.62,26,1
7,11,1.52,21,1
7,7,2,8,1
5,8,1.83,12,1
5,9,1.88,8,1
7,26,1.66,41,1
6,14,1.79,14,1
6,33,1.46,41,1
6,68,1.15,91,1
7,9,1.73,11,1
7,25,1.41,41,1
8,8,2.5,6,1
7,13,1.37,19,1
9,41,1.3,57,1
9,202,1.3,122,1
6,17,1.15,26,1
7,11,1.21,14,1
7,23,1.45,33,1
5,3,3,3,1
7,13,1.32,19,1
7,19,1.35,26,1
1,65,3,14,2
8,9,1.53,17,1
22,22,1.79,29,5
8,1,7,1,4
29,48,5.06,32,5
9,27,1.69,48,1
8,12,2,20,1
7,16,2,25,1
21,4,3.71,7,5
19,47,3.89,18,5
11,15,2.19,27,1
8,9,1.93,15,1
8,9,2.3,10,1
9,116,1.86,190,1
8,12,1.95,22,1
10,36,2.24,59,1
6,8,3.1,10,1
1,17,17,1,2
8,7,1.92,12,1
8,29,2.1,50,1
9,36,2.37,54,1
6,4,5,3,1
8,10,2,17,1
8,49,1.9,91,1
7,12,2.17,18,1
9,27,1.85,47,1
8,50,2.31,74,1
8,6,1.58,12,1
7,38,2.44,45,1
5,4,7,2,1
8,12,2.3,20,1
11,272,2,420,1
8,14,2.17,23,1
11,24,2.08,39,1
8,16,2.67,21,1
10,30,1.96,47,1
8,16,2.2,25,1
10,50,1.94,69,1
6,36,1.91,56,1
8,22,2.03,35,1
10,41,1.94,66,1
10,7,1.77,13,1
8,12,2.11,19,1
11,126,2.11,180,1
9,41,2.26,61,1
7,35,2.38,42,1
8,4,4.67,3,1
10,26,1.59,49,1
8,9,1.86,14,1
8,37,1.93,60,1
8,26,2.18,39,1
10,52,1.96,81,1
6,39,1.77,52,1
11,146,1.83,209,1
8,42,2.07,61,1
7,15,1.83,23,1
9,114,1.86,150,1
10,61,2.16,82,1
7,109,1.93,112,1
67,30,2.26,150,5
5,12,3,12,1
10,55,1.98,82,1
10,144,1.8,205,1
11,54,2.19,74,1
8,43,1.93,69,1
10,62,2.19,75,1
34,25,2.06,106,5
8,33,1.6,62,1
6,8,3.22,9,1
9,33,2.47,43,1
9,25,2.55,29,1
8,35,2.09,57,1
10,36,2.28,58,1
10,79,1.79,108,1
8,19,1.94,31,1
8,39,1.83,72,1
10,23,2.2,30,1
10,19,1.59,39,1
8,24,1.85,27,1
8,12,1.9,20,1
8,12,2.19,21,1
8,31,2.02,46,1
10,26,2.09,44,1
8,23,2.09,33,1
8,39,2.05,56,1
8,12,2.16,19,1
5,8,3,9,1
6,4,3.5,4,1
8,9,2.08,13,1
9,56,1.97,88,1
8,13,1.96,24,1
8,13,1.76,25,1
5,7,3,8,1
8,5,2.38,8,1
11,97,2.04,139,1
9,40,1.6,62,1
8,21,1.94,36,1
9,33,2.02,53,1
8,14,1.88,25,1
10,23,2.3,37,1
7,9,3,9,1
8,25,2.22,27,1
7,25,2.26,27,1
7,6,1.67,9,1
5,23,1.79,29,1
8,12,2.05,20,1
8,18,1.65,31,1
9,123,2.21,173,1
9,165,2.54,197,1
3,9,2,4,1
9,304,1.32,419,1
6,82,1.39,97,1
9,532,1.29,572,1
6,13,1.54,13,1
4,12,3,4,1
5,98,2.14,78,1
24,280,7.66,400,1
8,73,2.75,92,1
7,214,2.95,234,1
9,306,1.4,378,1
8,174,1.3,172,1
9,267,1.35,234,1
7,256,1.36,178,1
1,249,1.02,42,1
9,534,1.34,585,1
1,200,1.04,25,1
13,37,3.52,44,1
9,182,2.95,210,1
9,108,2.27,141,1
6,29,1.92,38,1
10,535,1.32,671,1
7,215,3.35,246,1
9,83,2.49,113,1
9,102,1.27,132,1
8,61,1.31,77,1
7,219,1.26,222,1
8,198,1.31,260,1
13,228,3.02,235,1
13,37,3.59,41,1
24,178,8,258,1
1,186,9.06,17,2
9,207,1.29,255,1
9,103,1.22,125,1
8,343,1.2,294,1
1,62,61,1,2
25,178,7.9,276,1
24,84,8.69,110,1
8,215,2.94,243,1
9,191,2.14,264,1
6,32,1.67,42,1
9,510,1.44,241,1
11,511,1.42,671,1
2,537,82.57,7,2
9,175,1.26,222,1
3,537,71.13,8,2
14,227,3.34,226,1
9,111,1.7,128,1
2,537,16.68,40,2
9,536,1.34,456,1
2,279,1.05,40,1
8,158,1.33,97,1
25,178,7.95,266,1
9,112,1.59,135,1
9,124,2.85,144,1
9,186,3.24,220,1
6,32,1.41,39,1
9,99,1.4,120,1
7,14,1.79,19,1
9,510,1.27,618,1
6,81,1.26,109,1
7,71,1.43,67,1
9,510,1.28,533,1
13,227,3.11,215,1
9,102,2.43,135,1
1,74,1.08,13,1
9,535,1.23,617,1
10,504,1.19,590,1
7,375,1.21,200,1
153,158,46.95,302,3
83,277,6.86,603,5
83,149,28.77,167,3
39,1,39,1,4
1,180,88.5,2,2
13,80,5.57,81,1
11,41,2.92,52,1
10,31,6.67,30,1
42,1,42,1,4
13,9,3.36,14,1
7,7,22.5,2,1
11,179,2.88,226,1
4,9,22,1,2
12,71,6.64,81,1
14,402,4.75,473,1
14,385,4.83,412,1
10,9,58,1,1
3,3,8,1,1
1,34,1.71,7,2
11,184,4.72,195,1
11,344,4.71,358,1
9,18,7.77,13,1
28,171,1.99,621,1
10,155,2.88,177,1
9,86,2.85,107,1
8,162,3,188,1
12,285,4.33,324,1
3,3,8,1,1
9,16,6.67,12,1
9,161,2.87,218,1
14,203,4.36,236,1
14,390,4.44,441,1
8,95,2.95,120,1
9,20,8.07,14,1
11,152,2.88,212,1
10,10,52,1,1
9,152,2.77,187,1
14,254,4.72,284,1
23,132,20.76,139,1
13,213,4.65,214,1
13,133,4.9,127,1
13,1,13,1,4
6,72,4.08,64,1
1,7,7,1,1
9,154,2.93,192,1
12,409,2.88,515,1
1,28,2.17,6,2
16,415,5.17,499,1
24,170,15.9,237,1
16,341,5.23,394,1
10,59,2.98,80,1
12,22,9.65,17,1
17,398,5.3,408,1
16,227,4.97,300,1
11,20,8.47,15,1
12,284,2.87,386,1
16,424,5.16,488,1
12,72,6.12,90,1
16,417,5.29,481,1
14,2,15,1,4
11,22,9.44,16,1
9,1,9,1,4
9,281,1.73,398,1
9,358,2.36,525,1
7,19,4.89,18,1
10,269,5.15,160,1
9,162,2.69,138,1
9,163,2.82,137,1
7,5,29,1,1
87,116,104.95,39,1
11,30,4.16,37,1
17,21,16.63,8,1
17,23,6.56,25,1
9,166,1.88,217,1
7,231,1.71,246,1
17,24,4.46,39,1
7,227,1.6,215,1
3,5,4,2,1
7,97,1.68,79,1
7,213,1.5,234,1
7,98,1.53,114,1
79,159,51.4,78,1
13,323,2.4,449,1
6,94,1.32,79,1
6,97,1.55,87,1
6,96,1.73,103,1
6,96,2.44,79,1
6,96,2.3,80,1
5,82,2.11,70,1
9,331,1.57,421,1
10,282,1.43,378,1
6,96,1.61,71,1
6,96,1.45,86,1
9,9,13,2,1
7,119,1.5,158,1
1,41,1.07,15,1
1,42,1.06,16,1
7,59,2.33,82,1
7,125,1.59,160,1
8,129,1.46,164,1
7,76,1.38,116,1
6,50,1.76,41,1
1,47,1.05,19,1
7,30,1.33,43,1
9,261,1.42,302,1
23,92,1.44,212,1
7,21,1.35,31,1
6,59,1.38,61,1
6,45,1.73,66,1
5,27,1.71,21,1
8,69,1.43,83,1
5,24,1.32,31,1
7,28,1.36,39,1
5,7,1.83,6,1
38,227,7.09,370,1
19,12,7.67,9,1
10,22,2.09,34,1
10,23,1.76,34,1
12,311,1.64,443,1
13,377,1.59,548,1
10,20,2.52,23,1
14,348,1.56,526,1
8,79,1.8,111,1
8,59,1.49,59,1
8,302,1.43,356,1
6,106,1.14,72,1
7,346,1.23,341,1
7,135,1.09,99,1
8,342,1.4,317,1
1,8,8,1,2
1,95,95,1,2
10,82,2.05,120,1
11,11,5,13,1
10,31,1.98,44,1
8,1,8,1,4
10,12,4.71,14,1
38,52,3.49,256,1
14,187,2.31,300,1
11,11,5.5,10,1
10,170,1.66,268,1
10,115,1.48,187,1
7,41,1.36,45,1
