@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4-5,11'

@attribute Eccen numeric
@attribute P_black numeric
@attribute Class {1,2,3,4,5}

@data
5.625,0.492,1
20.118,0.916,2
6.7,0.291,1
3.6,0.356,1
0.143,1,4
1.091,0.432,1
0.143,1,4
28.875,0.872,2
18.3,0.267,1
13.364,0.257,1
15.833,0.3,1
