@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R2,9,11'

@attribute Lenght numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
535,3793,1
185,1142,1
98,128,2
151,679,1
536,1725,1
217,1339,1
336,2094,1
535,3063,1
282,5944,1
108,627,1
143,143,1
127,821,1
203,1246,1
26,26,2
148,845,1
37,637,5
183,1225,1
15,100,1
137,949,1
511,3194,1
186,4379,1
215,1495,1
185,1309,1
31,147,1
167,167,1
102,705,1
194,1207,1
80,461,1
151,459,1
537,704,2
104,864,1
14,76,1
13,84,1
14,81,1
107,632,1
171,724,1
16,16,2
10,37,1
75,476,1
190,955,1
14,14,2
104,104,2
70,476,1
155,995,1
10,53,1
3,7,1
62,371,1
183,1503,1
19,159,1
63,425,1
400,3168,1
14,119,1
335,2722,1
159,1296,1
245,4152,1
175,1625,1
1,8,4
159,159,2
169,4101,1
71,743,1
383,2771,1
83,542,1
155,1051,1
45,310,1
19,155,1
20,136,1
19,147,1
17,145,1
320,4845,1
83,554,1
63,63,2
427,4316,1
198,1683,1
42,42,2
326,18149,5
96,4025,3
322,7519,1
4,11,1
359,3747,1
70,536,1
19,200,1
56,431,1
424,3820,1
120,2760,1
256,1959,1
22,225,1
20,205,1
314,12923,1
236,2084,1
2,9,4
135,3131,1
22,221,1
439,5084,1
230,1800,1
13,85,1
48,346,1
316,2126,1
170,1210,1
398,2965,1
162,534,1
109,836,1
1,8,1
217,890,1
240,904,1
70,146,1
203,872,1
158,1190,1
11,121,1
34,101,1
46,185,1
192,518,1
211,965,1
201,2164,1
58,518,1
94,375,1
95,372,1
96,541,1
1,136,4
96,519,1
92,769,1
73,2077,3
66,2458,3
108,357,2
57,425,1
211,1343,1
12,51,1
76,76,2
7,31,1
9,43,1
8,21,1
44,315,1
12,28,1
58,75,1
45,45,1
118,718,1
34,238,1
13,54,1
6,26,1
11,46,1
15,60,1
42,254,1
18,90,1
132,698,1
552,4955,2
16,16,2
367,3108,1
422,3426,1
311,3069,1
17,17,2
20,182,1
8,8,2
17,17,2
137,854,1
96,448,1
319,1765,1
65,363,1
92,577,1
106,106,2
16,183,1
45,680,1
38,192,1
115,790,1
5,40,1
303,666,1
10,91,1
69,2201,1
141,1323,1
1,7,4
11,93,1
12,99,1
45,243,1
