@relation page-blocks

@attribute Height numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
7,1106,22.571,1
5,35,1.4,1
11,154,1.273,1
25,4650,7.44,1
7,28,0.571,1
8,104,1.625,1
5,470,18.8,1
10,830,8.3,1
7,49,1,1
13,1963,11.615,1
15,6285,27.933,1
6,78,2.167,1
9,324,4,1
8,128,2,1
9,153,1.889,1
8,80,1.25,1
6,60,1.667,1
8,536,8.375,1
8,856,13.375,1
9,333,4.111,1
8,576,9,1
9,1143,14.111,1
5,65,2.6,1
5,70,2.8,1
10,660,6.6,1
10,1310,13.1,1
11,209,1.727,1
6,558,15.5,1
6,90,2.5,1
14,3766,19.214,1
6,78,2.167,1
9,720,8.889,1
8,88,1.375,1
13,2951,17.462,1
9,1494,18.444,1
11,2882,23.818,1
6,144,4,1
10,310,3.1,1
8,560,8.75,1
9,738,9.111,1
10,230,2.3,1
5,580,23.2,1
9,297,3.667,1
8,1592,24.875,1
79,12561,2.013,1
13,494,2.923,1
7,945,19.286,1
10,190,1.9,1
7,1386,28.286,1
9,720,8.889,1
6,66,1.833,1
7,1099,22.429,1
12,1020,7.083,1
8,128,2,1
6,108,3,1
10,370,3.7,1
11,1298,10.727,1
8,64,1,1
8,664,10.375,1
8,512,8,1
12,2940,20.417,1
16,6224,24.313,1
7,287,5.857,1
9,216,2.667,1
1,36,36,1
8,64,1,1
12,528,3.667,1
8,96,1.5,1
6,576,16,1
10,190,1.9,1
9,1611,19.889,1
10,300,3,1
7,455,9.286,1
9,3384,41.778,1
5,375,15,1
11,132,1.091,1
10,760,7.6,1
9,252,3.111,1
7,455,9.286,1
7,448,9.143,1
9,504,6.222,1
10,1510,15.1,1
16,5744,22.438,1
8,1928,30.125,1
9,252,3.111,1
10,520,5.2,1
8,176,2.75,1
7,1435,29.286,1
8,96,1.5,1
13,2925,17.308,1
6,84,2.333,1
9,585,7.222,1
8,80,1.25,1
8,1296,20.25,1
8,344,5.375,1
10,800,8,1
7,280,5.714,1
14,3710,18.929,1
9,882,10.889,1
13,1755,10.385,1
8,432,6.75,1
16,384,1.5,1
5,40,1.6,1
7,322,6.571,1
8,96,1.5,1
9,288,3.556,1
13,3861,22.846,1
7,273,5.571,1
7,84,1.714,1
11,2145,17.727,1
10,480,4.8,1
9,387,4.778,1
9,153,1.889,1
10,480,4.8,1
10,1210,12.1,1
9,306,3.778,1
10,1300,13,1
7,56,1.143,1
14,154,0.786,1
6,120,3.333,1
9,162,2,1
8,120,1.875,1
9,954,11.778,1
8,984,15.375,1
9,828,10.222,1
10,60,0.6,1
9,747,9.222,1
10,3230,32.3,1
7,98,2,1
8,104,1.625,1
8,312,4.875,1
9,1521,18.778,1
7,196,4,1
10,320,3.2,1
7,189,3.857,1
25,6525,10.44,1
8,360,5.625,1
9,288,3.556,1
7,371,7.571,1
16,5504,21.5,1
13,2444,14.462,1
7,77,1.571,1
7,147,3,1
9,468,5.778,1
6,90,2.5,1
9,4815,59.444,1
10,180,1.8,1
7,1085,22.143,1
9,396,4.889,1
5,65,2.6,1
6,144,4,1
7,245,5,1
13,1976,11.692,1
7,42,0.857,1
8,560,8.75,1
6,72,2,1
7,77,1.571,1
7,189,3.857,1
9,4824,59.556,1
11,99,0.818,1
7,2723,55.571,1
22,4576,9.455,1
1,42,42,1
5,145,5.8,1
8,120,1.875,1
10,1310,13.1,1
5,315,12.6,1
6,234,6.5,1
11,220,1.818,1
6,42,1.167,1
10,370,3.7,1
8,472,7.375,1
7,42,0.857,1
8,1128,17.625,1
8,256,4,1
9,342,4.222,1
16,6640,25.938,1
10,820,8.2,1
6,414,11.5,1
10,160,1.6,1
8,1112,17.375,1
9,306,3.778,1
7,35,0.714,1
6,66,1.833,1
6,558,15.5,1
7,1792,36.571,1
6,144,4,1
5,30,1.2,1
11,693,5.727,1
10,2720,27.2,1
25,12350,19.76,1
7,98,2,1
7,91,1.857,1
12,1464,10.167,1
10,430,4.3,1
8,48,0.75,1
6,576,16,1
12,3420,23.75,1
9,1008,12.444,1
9,2259,27.889,1
7,70,1.429,1
4,24,1.5,1
6,240,6.667,1
9,288,3.556,1
20,380,0.95,1
9,45,0.556,1
10,460,4.6,1
8,568,8.875,1
5,160,6.4,1
7,147,3,1
7,28,0.571,1
7,357,7.286,1
10,2710,27.1,1
16,5632,22,1
10,1760,17.6,1
10,70,0.7,1
7,63,1.286,1
17,408,1.412,1
7,154,3.143,1
1,95,95,1
7,126,2.571,1
7,252,5.143,1
6,102,2.833,1
7,182,3.714,1
8,56,0.875,1
7,112,2.286,1
8,4080,63.75,1
12,120,0.833,1
10,150,1.5,1
11,451,3.727,1
7,238,4.857,1
9,729,9,1
8,216,3.375,1
6,564,15.667,1
8,104,1.625,1
14,4760,24.286,1
10,3980,39.8,1
9,3222,39.778,1
22,1562,3.227,1
10,630,6.3,1
8,1480,23.125,1
7,329,6.714,1
9,333,4.111,1
7,217,4.429,1
8,384,6,1
6,264,7.333,1
17,6766,23.412,1
4,44,2.75,1
8,192,3,1
8,120,1.875,1
8,152,2.375,1
10,250,2.5,1
7,1834,37.429,1
10,1160,11.6,1
24,4080,7.083,1
7,98,2,1
11,2123,17.545,1
7,182,3.714,1
20,320,0.8,1
7,105,2.143,1
10,2710,27.1,1
8,424,6.625,1
10,200,2,1
14,5866,29.929,1
7,182,3.714,1
5,45,1.8,1
5,230,9.2,1
11,2079,17.182,1
5,25,1,1
10,3030,30.3,1
7,392,8,1
9,261,3.222,1
3,168,18.667,1
14,5740,29.286,1
16,6528,25.5,1
8,72,1.125,1
9,135,1.667,1
4,12,0.75,1
7,427,8.714,1
9,162,2,1
5,60,2.4,1
8,664,10.375,1
14,5180,26.429,1
8,96,1.5,1
16,6560,25.625,1
9,1233,15.222,1
8,752,11.75,1
6,576,16,1
7,245,5,1
13,754,4.462,1
7,406,8.286,1
1,45,45,1
11,1144,9.455,1
9,1620,20,1
10,1550,15.5,1
7,518,10.571,1
8,112,1.75,1
11,440,3.636,1
10,380,3.8,1
10,1300,13,1
23,598,1.13,1
10,800,8,1
9,504,6.222,1
28,9324,11.893,1
7,287,5.857,1
8,208,3.25,1
7,98,2,1
9,963,11.889,1
8,552,8.625,1
3,9,1,1
5,90,3.6,1
8,32,0.5,1
7,231,4.714,1
2,28,7,1
10,830,8.3,1
8,176,2.75,1
8,200,3.125,1
9,765,9.444,1
11,495,4.091,1
14,3822,19.5,1
8,344,5.375,1
8,1728,27,1
13,494,2.923,1
7,287,5.857,1
7,644,13.143,1
24,4224,7.333,1
9,144,1.778,1
11,715,5.909,1
8,168,2.625,1
5,195,7.8,1
7,49,1,1
8,136,2.125,1
5,215,8.6,1
9,135,1.667,1
9,909,11.222,1
12,1236,8.583,1
8,288,4.5,1
11,1111,9.182,1
8,1008,15.75,1
6,486,13.5,1
14,252,1.286,1
8,656,10.25,1
7,105,2.143,1
9,999,12.333,1
7,700,14.286,1
7,56,1.143,1
10,100,1,1
5,80,3.2,1
11,1353,11.182,1
11,1078,8.909,1
6,300,8.333,1
10,1050,10.5,1
25,4650,7.44,1
8,368,5.75,1
7,70,1.429,1
9,270,3.333,1
9,297,3.667,1
11,1133,9.364,1
8,112,1.75,1
9,180,2.222,1
11,88,0.727,1
8,72,1.125,1
9,81,1,1
24,8064,14,1
8,496,7.75,1
1,70,70,1
5,60,2.4,1
6,24,0.667,1
6,132,3.667,1
6,72,2,1
9,981,12.111,1
10,400,4,1
9,369,4.556,1
9,198,2.444,1
9,891,11,1
8,192,3,1
9,144,1.778,1
7,1204,24.571,1
12,852,5.917,1
8,72,1.125,1
7,182,3.714,1
7,49,1,1
9,2331,28.778,1
7,84,1.714,1
8,120,1.875,1
6,102,2.833,1
7,287,5.857,1
8,80,1.25,1
9,288,3.556,1
13,1911,11.308,1
9,243,3,1
11,2024,16.727,1
10,100,1,1
12,1416,9.833,1
8,1216,19,1
14,5838,29.786,1
7,140,2.857,1
4,124,7.75,1
8,808,12.625,1
9,4176,51.556,1
6,222,6.167,1
6,534,14.833,1
22,1034,2.136,1
7,336,6.857,1
10,120,1.2,1
7,126,2.571,1
8,232,3.625,1
8,72,1.125,1
7,182,3.714,1
8,1080,16.875,1
38,1976,1.368,1
9,3177,39.222,1
10,330,3.3,1
10,370,3.7,1
24,4464,7.75,1
16,1472,5.75,1
7,259,5.286,1
12,132,0.917,1
9,1134,14,1
7,1512,30.857,1
11,2871,23.727,1
12,132,0.917,1
10,500,5,1
11,2013,16.636,1
10,2500,25,1
9,1170,14.444,1
10,840,8.4,1
6,120,3.333,1
8,200,3.125,1
12,864,6,1
24,11304,19.625,1
11,374,3.091,1
7,91,1.857,1
7,245,5,1
6,426,11.833,1
9,144,1.778,1
8,88,1.375,1
10,80,0.8,1
8,384,6,1
7,63,1.286,1
9,441,5.444,1
9,1107,13.667,1
9,819,10.111,1
9,360,4.444,1
10,330,3.3,1
10,580,5.8,1
8,304,4.75,1
9,387,4.778,1
23,3036,5.739,1
12,1704,11.833,1
2,42,10.5,1
5,25,1,1
10,2710,27.1,1
5,35,1.4,1
9,495,6.111,1
7,238,4.857,1
5,155,6.2,1
9,54,0.667,1
5,490,19.6,1
9,423,5.222,1
7,231,4.714,1
7,133,2.714,1
10,1570,15.7,1
9,162,2,1
9,918,11.333,1
14,4746,24.214,1
10,410,4.1,1
9,369,4.556,1
24,2568,4.458,1
25,4625,7.4,1
7,252,5.143,1
8,288,4.5,1
8,96,1.5,1
14,252,1.286,1
9,702,8.667,1
9,1386,17.111,1
7,203,4.143,1
9,423,5.222,1
25,12275,19.64,1
8,208,3.25,1
8,936,14.625,1
8,376,5.875,1
5,85,3.4,1
5,30,1.2,1
6,174,4.833,1
9,981,12.111,1
8,560,8.75,1
8,144,2.25,1
7,1701,34.714,1
8,184,2.875,1
7,182,3.714,1
14,5530,28.214,1
10,70,0.7,1
1,50,50,1
12,276,1.917,1
10,780,7.8,1
5,95,3.8,1
10,550,5.5,1
10,450,4.5,1
8,208,3.25,1
10,3360,33.6,1
9,2403,29.667,1
9,63,0.778,1
7,119,2.429,1
9,558,6.889,1
8,112,1.75,1
7,63,1.286,1
15,2310,10.267,1
7,210,4.286,1
8,32,0.5,1
13,481,2.846,1
8,1304,20.375,1
8,656,10.25,1
10,110,1.1,1
10,930,9.3,1
8,56,0.875,1
8,144,2.25,1
1,200,200,1
7,238,4.857,1
3,12,1.333,1
11,330,2.727,1
6,42,1.167,1
8,72,1.125,1
7,63,1.286,1
7,126,2.571,1
6,36,1,1
14,3556,18.143,1
12,6000,41.667,1
10,330,3.3,1
5,55,2.2,1
10,400,4,1
9,36,0.444,1
9,1359,16.778,1
5,65,2.6,1
12,276,1.917,1
10,5080,50.8,1
10,180,1.8,1
7,77,1.571,1
9,738,9.111,1
12,4920,34.167,1
8,136,2.125,1
10,2710,27.1,1
9,450,5.556,1
6,120,3.333,1
10,900,9,1
7,350,7.143,1
8,128,2,1
12,864,6,1
9,819,10.111,1
13,5317,31.462,1
12,4920,34.167,1
9,189,2.333,1
12,96,0.667,1
5,135,5.4,1
6,162,4.5,1
9,945,11.667,1
8,240,3.75,1
12,828,5.75,1
6,42,1.167,1
1,167,167,1
8,744,11.625,1
11,132,1.091,1
9,2250,27.778,1
10,3250,32.5,1
9,3267,40.333,1
4,276,17.25,1
7,329,6.714,1
11,1397,11.545,1
8,296,4.625,1
8,272,4.25,1
8,872,13.625,1
13,4797,28.385,1
7,147,3,1
7,91,1.857,1
7,175,3.571,1
10,180,1.8,1
12,96,0.667,1
7,119,2.429,1
9,945,11.667,1
8,328,5.125,1
6,54,1.5,1
8,256,4,1
11,462,3.818,1
8,152,2.375,1
7,28,0.571,1
8,344,5.375,1
6,48,1.333,1
10,1430,14.3,1
11,1078,8.909,1
8,2176,34,1
11,1111,9.182,1
15,1005,4.467,1
10,3090,30.9,1
12,2484,17.25,1
9,306,3.778,1
8,2200,34.375,1
8,248,3.875,1
9,333,4.111,1
10,1550,15.5,1
24,3984,6.917,1
6,186,5.167,1
8,40,0.625,1
11,979,8.091,1
11,242,2,1
9,297,3.667,1
10,180,1.8,1
8,856,13.375,1
8,72,1.125,1
8,344,5.375,1
7,224,4.571,1
8,288,4.5,1
12,1404,9.75,1
7,441,9,1
6,84,2.333,1
9,387,4.778,1
7,126,2.571,1
10,130,1.3,1
9,45,0.556,1
3,12,1.333,1
7,266,5.429,1
5,85,3.4,1
8,48,0.75,1
6,42,1.167,1
11,990,8.182,1
9,117,1.444,1
11,88,0.727,1
5,20,0.8,1
13,2834,16.769,1
9,4824,59.556,1
10,90,0.9,1
10,220,2.2,1
9,450,5.556,1
9,162,2,1
6,174,4.833,1
14,168,0.857,1
8,312,4.875,1
9,162,2,1
11,231,1.909,1
6,120,3.333,1
16,5872,22.938,1
8,424,6.625,1
9,189,2.333,1
10,2150,21.5,1
10,1000,10,1
7,140,2.857,1
7,385,7.857,1
11,352,2.909,1
8,48,0.75,1
9,1953,24.111,1
10,1830,18.3,1
8,384,6,1
7,217,4.429,1
13,2821,16.692,1
10,300,3,1
8,2168,33.875,1
5,145,5.8,1
6,84,2.333,1
3,12,1.333,1
9,108,1.333,1
7,441,9,1
11,275,2.273,1
9,171,2.111,1
8,168,2.625,1
8,312,4.875,1
8,120,1.875,1
17,408,1.412,1
8,568,8.875,1
14,5852,29.857,1
1,35,35,1
8,416,6.5,1
8,160,2.5,1
8,112,1.75,1
8,1296,20.25,1
7,462,9.429,1
9,891,11,1
8,1520,23.75,1
5,470,18.8,1
10,80,0.8,1
14,2604,13.286,1
7,1715,35,1
11,1606,13.273,1
7,21,0.429,1
7,91,1.857,1
11,660,5.455,1
7,77,1.571,1
3,42,4.667,1
8,880,13.75,1
10,360,3.6,1
9,297,3.667,1
4,28,1.75,1
14,4172,21.286,1
9,4077,50.333,1
6,432,12,1
7,770,15.714,1
8,336,5.25,1
8,80,1.25,1
31,9982,10.387,1
9,342,4.222,1
6,198,5.5,1
10,250,2.5,1
22,440,0.909,1
7,266,5.429,1
7,42,0.857,1
8,256,4,1
11,88,0.727,1
10,340,3.4,1
10,190,1.9,1
9,288,3.556,1
8,96,1.5,1
38,15580,10.789,1
8,168,2.625,1
11,572,4.727,1
8,240,3.75,1
9,333,4.111,1
8,912,14.25,1
8,56,0.875,1
10,1450,14.5,1
8,424,6.625,1
7,196,4,1
10,430,4.3,1
10,300,3,1
13,845,5,1
11,4543,37.545,1
10,90,0.9,1
8,64,1,1
11,5621,46.455,1
5,95,3.8,1
8,248,3.875,1
8,112,1.75,1
14,2688,13.714,1
9,4806,59.333,1
9,324,4,1
6,360,10,1
9,4572,56.444,1
13,1378,8.154,1
6,42,1.167,1
9,108,1.333,1
9,459,5.667,1
7,28,0.571,1
8,328,5.125,1
10,1370,13.7,1
4,24,1.5,1
9,180,2.222,1
9,738,9.111,1
2,94,23.5,1
7,56,1.143,1
21,2226,5.048,1
9,594,7.333,1
11,242,2,1
9,162,2,1
9,531,6.556,1
38,15580,10.789,1
9,90,1.111,1
5,130,5.2,1
12,1248,8.667,1
5,465,18.6,1
12,852,5.917,1
8,120,1.875,1
18,864,2.667,1
7,322,6.571,1
8,1960,30.625,1
7,84,1.714,1
8,56,0.875,1
8,168,2.625,1
8,1728,27,1
10,650,6.5,1
8,152,2.375,1
10,2720,27.2,1
9,1899,23.444,1
8,1472,23,1
8,896,14,1
10,640,6.4,1
9,729,9,1
16,6832,26.688,1
8,568,8.875,1
4,100,6.25,1
8,864,13.5,1
7,245,5,1
10,270,2.7,1
1,60,60,1
8,384,6,1
7,98,2,1
3,9,1,1
5,470,18.8,1
8,368,5.75,1
9,207,2.556,1
7,49,1,1
5,25,1,1
12,1224,8.5,1
8,24,0.375,1
9,4113,50.778,1
12,3264,22.667,1
9,315,3.889,1
5,180,7.2,1
13,5070,30,1
7,91,1.857,1
11,1551,12.818,1
9,2142,26.444,1
9,2691,33.222,1
8,120,1.875,1
8,168,2.625,1
11,1144,9.455,1
6,486,13.5,1
3,9,1,1
9,297,3.667,1
25,4450,7.12,1
9,2412,29.778,1
7,266,5.429,1
10,80,0.8,1
9,963,11.889,1
8,600,9.375,1
7,161,3.286,1
8,4256,66.5,1
7,112,2.286,1
10,190,1.9,1
9,396,4.889,1
9,738,9.111,1
11,671,5.545,1
13,4602,27.231,1
9,441,5.444,1
16,384,1.5,1
8,192,3,1
5,20,0.8,1
6,354,9.833,1
24,11232,19.5,1
8,280,4.375,1
8,64,1,1
4,24,1.5,1
9,414,5.111,1
8,680,10.625,1
8,784,12.25,1
17,1309,4.529,1
9,369,4.556,1
3,24,2.667,1
12,5964,41.417,1
11,77,0.636,1
4,48,3,1
11,2706,22.364,1
9,684,8.444,1
10,190,1.9,1
7,1561,31.857,1
7,112,2.286,1
9,1521,18.778,1
8,128,2,1
11,836,6.909,1
4,48,3,1
10,890,8.9,1
7,154,3.143,1
6,570,15.833,1
6,174,4.833,1
7,945,19.286,1
7,98,2,1
9,2430,30,1
2,104,26,1
14,1750,8.929,1
8,152,2.375,1
8,1672,26.125,1
5,115,4.6,1
9,738,9.111,1
6,192,5.333,1
11,660,5.455,1
7,273,5.571,1
8,264,4.125,1
7,210,4.286,1
8,72,1.125,1
11,2992,24.727,1
10,390,3.9,1
10,210,2.1,1
8,96,1.5,1
9,567,7,1
25,2950,4.72,1
6,576,16,1
10,760,7.6,1
9,2709,33.444,1
8,448,7,1
33,5940,5.455,1
9,720,8.889,1
8,344,5.375,1
14,1176,6,1
33,5280,4.848,1
8,96,1.5,1
11,1067,8.818,1
6,576,16,1
9,1539,19,1
9,1503,18.556,1
5,65,2.6,1
1,143,143,1
12,864,6,1
12,5976,41.5,1
24,4272,7.417,1
10,850,8.5,1
6,192,5.333,1
7,1477,30.143,1
9,1107,13.667,1
24,6720,11.667,1
9,4815,59.444,1
8,152,2.375,1
9,306,3.778,1
1,14,14,1
7,1225,25,1
7,1029,21,1
9,2799,34.556,1
5,70,2.8,1
10,980,9.8,1
10,260,2.6,1
9,936,11.556,1
8,136,2.125,1
12,3084,21.417,1
5,15,0.6,1
8,96,1.5,1
11,88,0.727,1
9,1107,13.667,1
7,35,0.714,1
10,190,1.9,1
8,128,2,1
1,77,77,1
8,552,8.625,1
10,2510,25.1,1
9,324,4,1
9,297,3.667,1
9,108,1.333,1
5,290,11.6,1
9,234,2.889,1
7,112,2.286,1
9,675,8.333,1
10,420,4.2,1
7,1673,34.143,1
9,927,11.444,1
9,72,0.889,1
6,636,17.667,1
5,90,3.6,1
11,88,0.727,1
8,144,2.25,1
7,133,2.714,1
7,126,2.571,1
7,140,2.857,1
13,4199,24.846,1
7,91,1.857,1
8,2768,43.25,1
24,2880,5,1
10,1000,10,1
13,1508,8.923,1
8,328,5.125,1
9,2736,33.778,1
10,120,1.2,1
9,648,8,1
7,819,16.714,1
7,147,3,1
8,632,9.875,1
8,312,4.875,1
10,630,6.3,1
10,3170,31.7,1
5,65,2.6,1
5,405,16.2,1
10,400,4,1
9,297,3.667,1
10,200,2,1
25,10250,16.4,1
11,2981,24.636,1
6,294,8.167,1
1,177,177,1
9,558,6.889,1
9,162,2,1
7,98,2,1
8,400,6.25,1
9,2556,31.556,1
9,2754,34,1
6,78,2.167,1
11,924,7.636,1
5,155,6.2,1
9,2889,35.667,1
9,2160,26.667,1
8,2552,39.875,1
12,312,2.167,1
6,576,16,1
8,496,7.75,1
7,28,0.571,1
5,25,1,1
9,1971,24.333,1
7,119,2.429,1
8,48,0.75,1
7,826,16.857,1
9,1665,20.556,1
9,144,1.778,1
10,5040,50.4,1
10,200,2,1
9,1809,22.333,1
14,5390,27.5,1
9,225,2.778,1
10,4130,41.3,1
26,9828,14.538,1
8,272,4.25,1
7,91,1.857,1
9,810,10,1
11,957,7.909,1
7,91,1.857,1
5,35,1.4,1
10,490,4.9,1
5,160,6.4,1
11,990,8.182,1
17,408,1.412,1
8,640,10,1
7,84,1.714,1
8,56,0.875,1
12,264,1.833,1
9,414,5.111,1
7,49,1,1
10,2510,25.1,1
11,847,7,1
9,234,2.889,1
7,441,9,1
8,104,1.625,1
1,65,65,1
10,180,1.8,1
9,1044,12.889,1
7,98,2,1
6,162,4.5,1
5,30,1.2,1
6,66,1.833,1
8,96,1.5,1
8,352,5.5,1
8,368,5.75,1
6,24,0.667,1
7,749,15.286,1
10,600,6,1
1,33,33,1
8,264,4.125,1
6,78,2.167,1
7,98,2,1
6,60,1.667,1
10,2790,27.9,1
7,63,1.286,1
7,602,12.286,1
9,216,2.667,1
7,105,2.143,1
10,660,6.6,1
7,98,2,1
9,2412,29.778,1
10,310,3.1,1
6,84,2.333,1
10,2720,27.2,1
11,363,3,1
1,45,45,1
10,540,5.4,1
5,50,2,1
11,396,3.273,1
10,180,1.8,1
14,3276,16.714,1
9,315,3.889,1
6,576,16,1
7,357,7.286,1
8,488,7.625,1
1,12,12,1
8,816,12.75,1
1,88,88,1
10,460,4.6,1
8,512,8,1
9,918,11.333,1
7,126,2.571,1
13,4043,23.923,1
8,264,4.125,1
9,4806,59.333,1
24,3192,5.542,1
5,65,2.6,1
7,245,5,1
10,830,8.3,1
8,464,7.25,1
8,104,1.625,1
7,56,1.143,1
10,2620,26.2,1
12,744,5.167,1
6,78,2.167,1
13,325,1.923,1
10,510,5.1,1
11,693,5.727,1
7,91,1.857,1
7,364,7.429,1
7,77,1.571,1
6,540,15,1
6,576,16,1
24,2376,4.125,1
7,133,2.714,1
9,855,10.556,1
6,72,2,1
8,40,0.625,1
12,1392,9.667,1
9,90,1.111,1
8,104,1.625,1
9,819,10.111,1
10,930,9.3,1
8,80,1.25,1
11,902,7.455,1
13,130,0.769,1
8,96,1.5,1
6,576,16,1
8,2176,34,1
5,85,3.4,1
7,833,17,1
8,72,1.125,1
10,400,4,1
10,1970,19.7,1
8,96,1.5,1
8,72,1.125,1
10,1550,15.5,1
8,368,5.75,1
6,120,3.333,1
24,4464,7.75,1
13,1040,6.154,1
13,2886,17.077,1
8,1040,16.25,1
9,171,2.111,1
10,1700,17,1
12,864,6,1
13,689,4.077,1
7,189,3.857,1
9,693,8.556,1
8,984,15.375,1
6,228,6.333,1
10,2710,27.1,1
10,790,7.9,1
5,55,2.2,1
12,492,3.417,1
7,161,3.286,1
10,5110,51.1,1
9,441,5.444,1
11,2035,16.818,1
8,144,2.25,1
22,1584,3.273,1
7,126,2.571,1
7,756,15.429,1
9,360,4.444,1
19,3819,10.579,1
9,981,12.111,1
6,570,15.833,1
8,152,2.375,1
8,608,9.5,1
7,140,2.857,1
13,1599,9.462,1
25,2100,3.36,1
7,91,1.857,1
9,4806,59.333,1
6,90,2.5,1
12,3252,22.583,1
11,187,1.545,1
5,55,2.2,1
8,336,5.25,1
7,98,2,1
12,4908,34.083,1
8,208,3.25,1
7,105,2.143,1
7,245,5,1
5,75,3,1
14,3038,15.5,1
9,333,4.111,1
7,231,4.714,1
9,909,11.222,1
4,16,1,1
6,78,2.167,1
9,1116,13.778,1
13,741,4.385,1
6,1302,36.167,1
7,203,4.143,1
8,280,4.375,1
8,208,3.25,1
8,552,8.625,1
1,10,10,1
9,162,2,1
5,210,8.4,1
9,1629,20.111,1
9,864,10.667,1
10,750,7.5,1
38,8626,5.974,1
9,594,7.333,1
5,260,10.4,1
8,296,4.625,1
10,60,0.6,1
8,1832,28.625,1
7,35,0.714,1
7,525,10.714,1
15,435,1.933,1
8,960,15,1
8,240,3.75,1
12,3252,22.583,1
8,360,5.625,1
12,480,3.333,1
9,4590,56.667,1
8,112,1.75,1
8,24,0.375,1
9,576,7.111,1
9,837,10.333,1
9,180,2.222,1
11,1716,14.182,1
7,112,2.286,1
5,35,1.4,1
11,385,3.182,1
9,117,1.444,1
8,240,3.75,1
8,200,3.125,1
8,472,7.375,1
11,594,4.909,1
22,572,1.182,1
14,4872,24.857,1
8,4064,63.5,1
6,72,2,1
11,946,7.818,1
8,1400,21.875,1
8,504,7.875,1
11,1705,14.091,1
10,90,0.9,1
9,513,6.333,1
9,585,7.222,1
5,65,2.6,1
8,552,8.625,1
11,770,6.364,1
9,2097,25.889,1
11,1078,8.909,1
6,624,17.333,1
6,570,15.833,1
12,1068,7.417,1
5,150,6,1
5,95,3.8,1
12,4848,33.667,1
7,217,4.429,1
8,264,4.125,1
13,3107,18.385,1
9,747,9.222,1
5,45,1.8,1
4,80,5,1
9,729,9,1
9,261,3.222,1
5,15,0.6,1
7,315,6.429,1
9,189,2.333,1
7,140,2.857,1
9,1476,18.222,1
9,387,4.778,1
7,1505,30.714,1
10,380,3.8,1
7,42,0.857,1
5,90,3.6,1
3,12,1.333,1
11,627,5.182,1
7,280,5.714,1
9,153,1.889,1
6,156,4.333,1
24,2016,3.5,1
7,427,8.714,1
14,616,3.143,1
11,1034,8.545,1
7,455,9.286,1
8,56,0.875,1
9,693,8.556,1
11,88,0.727,1
6,186,5.167,1
6,66,1.833,1
10,2680,26.8,1
7,70,1.429,1
10,410,4.1,1
7,1498,30.571,1
8,64,1,1
5,15,0.6,1
5,250,10,1
7,77,1.571,1
8,112,1.75,1
10,5090,50.9,1
7,119,2.429,1
5,35,1.4,1
10,650,6.5,1
5,90,3.6,1
6,354,9.833,1
6,102,2.833,1
8,96,1.5,1
6,282,7.833,1
9,4662,57.556,1
7,287,5.857,1
11,3212,26.545,1
7,350,7.143,1
8,96,1.5,1
11,319,2.636,1
7,77,1.571,1
9,171,2.111,1
7,154,3.143,1
8,64,1,1
10,1000,10,1
10,1210,12.1,1
7,77,1.571,1
10,1180,11.8,1
8,192,3,1
15,5340,23.733,1
9,2412,29.778,1
6,78,2.167,1
10,480,4.8,1
10,190,1.9,1
8,72,1.125,1
14,5908,30.143,1
11,2871,23.727,1
10,440,4.4,1
7,112,2.286,1
9,1665,20.556,1
9,4824,59.556,1
