@relation page-blocks

@attribute Eccen numeric
@attribute P_black numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
1.25,0.375,68,1
0.8,0.65,17,1
1.7,0.318,90,1
14.286,0.294,443,1
9.7,0.425,800,1
3.625,0.341,181,1
11.889,0.383,826,1
0.8,0.35,17,1
1.571,0.364,72,1
17.889,0.273,755,1
0.8,0.6,20,1
3.857,0.164,75,1
8.75,0.341,514,1
32.875,0.154,1156,1
32.625,0.218,1615,1
1.333,0.563,46,1
3,0.56,69,1
4.875,0.423,298,1
7,0.308,1054,1
4.625,0.334,246,1
11.444,0.383,765,1
1,0.52,25,1
4.5,0.465,255,1
13.714,0.271,462,1
1.714,0.476,68,1
2.4,0.267,197,1
9.3,0.268,729,1
59.444,0.165,3063,1
34.25,0.15,1277,1
1.333,0.917,11,1
2.429,0.269,107,1
36,0.222,36,1
2.375,0.388,101,1
10.111,0.302,783,1
2.714,0.278,88,1
0.875,0.304,53,1
1.857,0.374,89,1
16.667,0.342,493,1
3,0.286,125,1
27.2,0.187,1765,1
12.111,0.219,759,1
18.444,0.392,1120,1
4.556,0.507,366,1
22.273,0.252,2235,1
2.3,0.313,205,1
1.7,0.571,156,1
8.9,0.252,441,1
5,0.463,310,1
9.375,0.373,573,1
5.222,0.492,401,1
51.1,0.158,3194,1
1.5,0.479,96,1
2.222,0.461,180,1
1,0.361,28,1
3.083,0.41,332,1
2.6,0.4,65,1
2.333,0.302,116,1
1.5,0.427,92,1
2.667,0.264,453,1
5.375,0.445,296,1
1.556,0.587,119,1
14.714,0.295,498,1
1,0.388,99,1
3.583,0.293,408,1
10.375,0.437,575,1
1.833,0.538,225,1
3.8,0.195,209,1
3.182,0.335,225,1
19.5,0.373,2681,1
24.563,0.341,4103,1
4,0.49,99,1
2.571,0.27,104,1
4,0.308,396,1
7,0.331,798,1
2.4,0.383,53,1
2,0.603,215,1
1.4,0.486,32,1
43.25,0.144,1607,1
1.5,0.396,93,1
26.5,0.371,3820,1
9.444,0.302,621,1
10.25,0.412,527,1
36.833,0.268,711,1
59.556,0.126,2377,1
2.25,0.396,127,1
3.429,0.244,130,1
6.75,0.275,336,1
2,0.417,168,1
3.4,0.376,63,1
3.571,0.189,141,1
26.25,0.178,811,1
4.125,0.375,259,1
59.333,0.14,2491,1
5.25,0.423,329,1
3,0.333,279,1
0.857,0.381,42,1
2.25,0.472,144,1
8,0.241,355,1
0.667,0.37,49,1
4.875,0.282,233,1
5.111,0.242,238,1
7.8,0.338,176,1
7.44,0.456,4035,1
5.583,0.403,566,1
6,0.203,357,1
2,0.408,96,1
6.714,0.322,274,1
12.2,0.273,659,1
0.375,0.458,16,1
9.8,0.463,926,1
2.571,0.206,82,1
1.9,0.605,155,1
3.25,0.399,203,1
0.727,0.58,88,1
3.375,0.218,184,1
6.75,0.35,383,1
1,0.272,61,1
2.143,0.2,60,1
0.625,0.375,38,1
2.3,0.361,178,1
2.167,0.372,77,1
5,0.372,294,1
6,0.221,214,1
2.556,0.246,118,1
1.5,0.448,85,1
10.375,0.393,465,1
4.067,0.247,471,1
21.143,0.184,845,1
0.625,0.525,40,1
5.5,0.303,173,1
5.556,0.32,322,1
15.375,0.402,738,1
34.375,0.209,1621,1
2,0.632,209,1
1.1,0.373,110,1
1.8,0.572,156,1
1.5,0.458,64,1
1.8,0.294,159,1
1.571,0.351,67,1
31.429,0.158,3857,1
0.857,0.333,32,1
10.571,0.16,430,1
31.111,0.165,1724,1
1.167,0.405,35,1
3,0.444,107,1
11.889,0.217,811,1
3.3,0.282,277,1
1.3,0.231,104,1
29.286,0.109,822,1
8.154,0.306,948,1
9,0.332,710,1
6.1,0.333,582,1
26.2,0.29,2163,1
3.545,0.317,305,1
8,0.553,575,1
3.667,0.294,392,1
8.182,0.362,800,1
2.125,0.419,130,1
10.556,0.285,618,1
8.667,0.335,946,1
6.2,0.361,151,1
2.667,0.218,127,1
1.182,0.35,112,1
13.778,0.348,806,1
4.714,0.299,196,1
17.778,0.215,1152,1
1.5,0.427,96,1
3.182,0.445,9871,1
16.833,0.411,531,1
27.778,0.347,1659,1
20.571,0.092,387,1
4,0.531,304,1
7.333,0.496,4094,1
15.9,0.377,1213,1
10.143,0.394,476,1
15,0.298,416,1
1.1,0.273,102,1
1.5,0.417,77,1
6.4,0.413,159,1
13.273,0.238,932,1
2.111,0.292,130,1
14.444,0.448,1026,1
28.875,0.228,1052,1
59.444,0.191,3793,1
1.125,0.417,72,1
1.95,0.232,456,1
5.889,0.317,384,1
2.714,0.338,110,1
2,0.367,124,1
11.545,0.266,959,1
2.333,0.317,147,1
3.333,0.304,192,1
2.571,0.238,90,1
3.5,0.42,289,1
16.375,0.246,834,1
2.571,0.357,126,1
18,0.389,18,1
13.5,0.282,453,1
20.778,0.42,1323,1
14.429,0.501,688,1
1.4,0.314,126,1
0.111,1,9,1
1.714,0.25,44,1
1.9,0.568,147,1
5.818,0.25,420,1
1,0.918,47,1
0.556,0.467,25,1
19.2,0.323,402,1
3.385,0.171,407,1
3.75,0.233,200,1
7.083,0.476,626,1
13.375,0.363,628,1
5.739,0.95,3036,1
8.714,0.321,285,1
30.636,0.179,2402,1
2.167,0.308,78,1
3.25,0.389,208,1
31.462,0.277,3049,1
19.667,0.196,1195,1
4.222,0.444,307,1
24.111,0.168,1339,1
1.625,0.683,85,1
11.625,0.185,400,1
17.111,0.406,1008,1
5,0.482,206,1
28.5,0.383,3315,1
4.714,0.368,207,1
1.111,0.389,80,1
8.6,0.456,215,1
0.6,0.433,60,1
2.714,0.263,88,1
11.889,0.375,829,1
2.909,0.256,188,1
8.625,0.216,355,1
21,0.215,984,1
1.2,0.367,120,1
1.5,0.396,95,1
1.125,0.361,70,1
3.286,0.447,123,1
1.857,0.242,83,1
3.286,0.298,141,1
14.182,0.224,1219,1
33,0.364,33,1
1.571,0.351,67,1
11.708,0.468,6088,1
14.167,0.239,370,1
2.556,0.169,66,1
2.8,0.443,52,1
2,0.32,122,1
2,0.281,162,1
24.727,0.279,2039,1
15.833,0.3,519,1
2.714,0.451,129,1
5.75,0.4,613,1
10.778,0.317,753,1
10.818,0.261,1045,1
14,0.484,1081,1
1.444,0.564,101,1
13.444,0.356,890,1
22.875,0.288,972,1
1,0.327,49,1
1,0.438,64,1
4.667,0.327,99,1
5.208,0.915,2877,1
0.833,0.675,94,1
22.167,0.338,2130,1
4.111,0.3,231,1
1.167,0.5,42,1
3.333,0.27,215,1
17.182,0.174,1275,1
11,0.21,693,1
18,0.507,1981,1
3,0.583,11,1
3.3,0.342,306,1
37.462,0.247,3988,1
4.556,0.201,241,1
10.889,0.491,859,1
31.857,0.121,823,1
18.111,0.263,805,1
5,0.494,221,1
14.833,0.303,422,1
1.75,0.518,108,1
5.455,0.32,401,1
3.9,0.308,281,1
30,0.111,1204,1
2.727,0.467,272,1
3.3,0.182,186,1
2.25,0.389,134,1
6.474,0.089,208,1
16.444,0.146,743,1
5.542,0.907,3085,1
3.333,0.333,113,1
2.167,0.224,283,1
6.4,0.35,138,1
1,0.321,32,1
5.429,0.308,210,1
12.333,0.218,809,1
26.875,0.416,1389,1
15.833,0.209,380,1
0.875,0.375,56,1
8.875,0.289,326,1
4.778,0.388,343,1
5.636,0.218,481,1
6.917,0.301,811,1
10.182,0.217,578,1
1.917,0.576,228,1
10.036,0.318,4339,1
36.571,0.135,1081,1
22.385,0.285,2371,1
21.5,0.257,2378,1
15.75,0.469,969,1
22.583,0.248,1818,1
3,0.367,235,1
6.143,0.246,285,1
4.909,0.273,464,1
7.375,0.206,326,1
1,0.359,62,1
1.571,0.247,47,1
16.5,0.258,1147,1
4.2,0.355,362,1
16,0.318,331,1
3,0.363,213,1
1.714,0.476,64,1
3.222,0.31,179,1
2.286,0.241,71,1
1.625,0.587,87,1
1.286,0.302,53,1
21.455,0.354,2084,1
22.429,0.439,961,1
8.429,0.15,238,1
0.714,0.371,29,1
1.857,0.374,82,1
14.333,0.169,751,1
8,0.255,320,1
11.333,0.172,380,1
11.75,0.298,139,1
7.889,0.39,491,1
21.857,0.467,1039,1
30.714,0.548,1500,1
2.3,0.37,191,1
56.667,0.137,2918,1
1.429,0.3,54,1
2.667,0.333,21,1
2,0.316,89,1
29.778,0.465,1675,1
59.444,0.173,3214,1
36.167,0.25,890,1
13,0.419,997,1
1.286,0.429,42,1
7,0.393,15,1
2.923,0.314,473,1
41,0.39,41,1
1.167,0.262,39,1
13.778,0.367,787,1
2.5,0.375,116,1
3.25,0.264,129,1
1.333,0.667,8,1
10.556,0.284,726,1
21.9,0.153,1317,1
5.125,0.351,316,1
21.556,0.191,1207,1
9,0.348,676,1
9.111,0.374,639,1
1.333,0.406,4194,1
5.125,0.363,309,1
4.333,0.259,244,1
11.111,0.247,573,1
6.25,0.378,366,1
2.136,0.319,779,1
1,0.72,18,1
10.727,0.29,1036,1
13.571,0.268,618,1
19,0.278,507,1
23.778,0.23,1440,1
7,0.43,709,1
8.3,0.295,602,1
1.167,0.357,161,1
2.25,0.174,66,1
1.4,0.429,34,1
1.818,0.564,200,1
33.875,0.314,1775,1
4.429,0.461,215,1
2.857,0.464,140,1
3.111,0.25,194,1
3.8,0.187,176,1
1.2,0.233,30,1
7.48,0.486,4390,1
22,0.318,22,1
25.75,0.236,1307,1
5.714,0.311,263,1
20,0.343,1196,1
36.778,0.222,2056,1
2.625,0.417,161,1
24.636,0.168,1784,1
5.857,0.321,208,1
30.857,0.458,1294,1
3.519,0.478,15523,1
4,0.337,194,1
6,0.228,674,1
1.857,0.297,78,1
17.538,0.24,2765,1
1.9,0.326,146,1
22.5,0.213,1143,1
27.25,0.144,1001,1
10.111,0.233,646,1
5.923,0.298,701,1
3.222,0.318,233,1
13.364,0.257,1230,1
10.375,0.325,603,1
0.714,0.829,29,1
4.429,0.313,185,1
8.7,0.375,665,1
5.1,0.308,429,1
3,0.259,123,1
28.286,0.17,988,1
22.882,0.344,4481,1
3.125,0.285,176,1
27,0.339,932,1
1.889,0.307,151,1
2.5,0.5,160,1
2.25,0.417,36,1
6.111,0.251,400,1
11.778,0.373,619,1
7.75,0.363,459,1
1.8,0.306,111,1
27.364,0.308,2435,1
1,0.388,46,1
27,0.156,883,1
2.857,0.257,123,1
3.125,0.405,151,1
2.6,0.354,200,1
1.333,0.407,95,1
4.75,0.339,233,1
4.7,0.223,332,1
27.455,0.379,2670,1
1.5,0.396,93,1
4.571,0.308,174,1
12.2,0.294,840,1
5.167,0.318,4382,1
2.8,0.257,57,1
3.125,0.515,163,1
4.667,0.384,309,1
1.286,0.333,60,1
2.167,0.269,52,1
8.5,0.454,250,1
1,0.306,20,1
2,0.344,115,1
40,0.4,40,1
24.5,0.523,384,1
2.7,0.63,225,1
38.111,0.162,2091,1
1.571,0.325,64,1
9.75,0.251,891,1
2.5,0.32,162,1
4.9,0.196,368,1
22.091,0.117,914,1
4.444,0.275,315,1
6,0.495,215,1
17.556,0.217,761,1
5.222,0.371,366,1
20.556,0.417,1309,1
4.111,0.381,269,1
2.167,0.551,72,1
28.2,0.191,1977,1
74,0.189,74,1
2.875,0.451,153,1
17.222,0.376,1007,1
1,0.25,43,1
1.634,0.441,1452,1
19.444,0.19,894,1
0.667,0.667,41,1
3.4,0.356,253,1
13.25,0.358,592,1
4.889,0.258,239,1
15.286,0.27,490,1
2.333,0.497,181,1
23.143,0.096,266,1
2,0.357,85,1
2.429,0.454,103,1
5.6,0.307,114,1
4.75,0.128,135,1
20.143,0.16,747,1
1.424,0.659,3517,1
30.625,0.198,1088,1
23.727,0.257,1849,1
1,0.408,42,1
1.9,0.311,190,1
12.875,0.425,769,1
23.375,0.155,1118,1
6,0.635,812,1
7.857,0.374,316,1
4.286,0.352,166,1
4,0.42,288,1
8,0.336,433,1
3.333,0.258,117,1
4,0.395,218,1
0.667,0.417,14,1
1.5,0.427,89,1
13.222,0.422,1033,1
3.338,0.465,9689,1
31.222,0.272,2164,1
9.286,0.404,421,1
3.6,0.367,304,1
2,0.286,98,1
7.417,0.483,3987,1
5.3,0.306,471,1
26,0.194,817,1
5.875,0.362,331,1
1.5,0.396,89,1
2,0.319,47,1
9.222,0.391,594,1
15.75,0.209,578,1
6.667,0.221,149,1
1.25,0.238,74,1
70,0.2,70,1
7.429,0.272,287,1
5.375,0.392,319,1
1.143,0.375,54,1
1.833,0.197,56,1
3.286,0.329,151,1
8,0.541,485,1
1.2,0.333,29,1
10,0.197,492,1
18.929,0.354,2097,1
3.4,0.321,290,1
14.5,0.268,1083,1
3.6,0.319,294,1
0.333,0.583,12,1
0.667,0.458,24,1
5.75,0.318,301,1
1.9,0.3,172,1
2,0.344,25,1
57.556,0.096,2001,1
1.286,0.333,31,1
1.4,0.371,26,1
1.167,0.262,33,1
2.111,0.55,147,1
2.909,0.301,315,1
95,0.379,95,1
6.5,0.389,800,1
24.727,0.275,2222,1
9,0.328,668,1
1.75,0.223,74,1
19.333,0.316,1957,1
1,0.889,8,1
9.111,0.329,643,1
2,0.293,193,1
16,0.238,448,1
4.1,0.312,301,1
1.9,0.6,170,1
29.125,0.151,1239,1
0.556,0.378,42,1
15.647,0.921,4522,1
9.455,0.377,891,1
50.6,0.15,2980,1
4.857,0.462,224,1
2.571,0.119,57,1
18.75,0.205,753,1
2.333,0.298,52,1
1.5,0.375,76,1
1.6,0.35,39,1
5,0.279,318,1
8,0.275,348,1
2,0.286,74,1
20.286,0.236,2777,1
7.75,0.514,4410,1
4.462,0.336,452,1
1.571,0.364,77,1
25,0.287,1928,1
2.875,0.31,162,1
1.083,0.391,153,1
4.25,0.309,247,1
23,0.417,529,1
14.188,0.41,2654,1
4.857,0.282,186,1
25,0.337,1214,1
2,0.5,42,1
10,0.444,924,1
2,0.337,96,1
2,0.378,98,1
4.6,0.322,115,1
0.75,0.667,11,1
5.2,0.319,417,1
8,0.313,128,1
5.636,0.353,532,1
3,0.346,237,1
13.357,0.265,1248,1
4.429,0.396,187,1
4,0.565,306,1
5.429,0.327,253,1
2.429,0.286,109,1
49.429,0.185,1771,1
46.455,0.17,3023,1
20.375,0.383,1280,1
4.857,0.298,223,1
7.545,0.274,822,1
7.667,0.315,207,1
23.429,0.281,962,1
1.8,0.467,140,1
9.308,0.376,1086,1
11.667,0.236,547,1
24.636,0.176,2001,1
8.667,0.349,606,1
0.727,0.602,88,1
1.125,0.361,57,1
2.286,0.295,103,1
1.143,0.501,667,1
7.875,0.333,370,1
3.625,0.453,231,1
3.8,0.432,357,1
1.333,0.648,80,1
1.667,0.333,45,1
3.8,0.397,337,1
5,0.456,319,1
4.833,0.368,166,1
24.636,0.162,1616,1
3.778,0.386,216,1
1.125,0.375,53,1
1.333,0.444,106,1
5.375,0.34,307,1
3.75,0.225,161,1
1.778,0.375,144,1
1.429,0.286,49,1
4,0.23,157,1
4.2,0.333,83,1
1.571,0.39,59,1
1.125,0.361,57,1
3.222,0.188,131,1
5.6,0.329,122,1
0.357,0.443,36,1
3.889,0.273,206,1
7.12,0.475,3885,1
5.857,0.328,222,1
21.5,0.195,437,1
1.75,0.268,62,1
9.583,0.256,790,1
2.375,0.434,101,1
1.5,0.396,72,1
10.929,0.38,1378,1
2,0.453,87,1
2,0.327,148,1
39.8,0.342,2965,1
0.857,0.405,39,1
2.125,0.346,136,1
5,0.35,290,1
3.6,0.689,90,1
4,0.391,60,1
4,0.252,435,1
11.455,0.273,900,1
16,0.297,467,1
0.5,0.438,21,1
9.4,0.25,678,1
7,1,7,1
30.3,0.179,2028,1
6.25,0.28,71,1
1.857,0.308,75,1
2.143,0.448,87,1
249,0.173,249,1
26.875,0.367,1283,1
9.333,0.329,478,1
19.333,0.178,1154,1
11.333,0.257,274,1
1.143,0.286,41,1
0.286,0.714,10,1
10,0.292,296,1
4.778,0.47,367,1
2.9,0.303,212,1
27.2,0.206,2139,1
3.5,0.308,187,1
18.444,0.336,1080,1
1.75,0.509,86,1
50.8,0.1,1742,1
1.778,0.208,78,1
37,0.237,2011,1
1.125,0.403,52,1
2.778,0.32,159,1
1,0.469,54,1
27.667,0.301,1655,1
17.333,0.099,161,1
3.829,0.296,12923,1
10.727,0.26,1061,1
2.75,0.398,139,1
7,0.305,1576,1
25.9,0.351,2018,1
2.111,0.655,149,1
2.25,0.472,144,1
10.111,0.161,360,1
51.667,0.157,2694,1
4.333,0.519,149,1
11.75,0.443,5944,1
56.667,0.075,1323,1
26.2,0.185,1715,1
2.143,0.4,79,1
0.5,0.25,11,1
33.846,0.255,3983,1
3.25,0.394,208,1
26.8,0.494,2022,1
3.667,0.357,187,1
25.313,0.382,3863,1
27.1,0.239,1668,1
18.444,0.274,905,1
3,0.388,134,1
59.444,0.126,2136,1
2.714,0.286,89,1
1,0.52,25,1
9.3,0.206,738,1
2,0.385,174,1
0.571,0.357,16,1
3,0.385,186,1
2.875,0.337,144,1
2.625,0.363,130,1
17,0.261,1206,1
1.571,0.416,74,1
12.6,0.21,288,1
11.444,0.369,813,1
1.833,0.333,64,1
6.125,0.441,391,1
2.5,0.425,160,1
3.364,0.371,366,1
0.818,0.515,76,1
11,0.464,839,1
3,0.296,18,1
6.76,0.218,4101,1
5.4,0.378,336,1
23.727,0.243,1505,1
10,0.36,203,1
2.286,0.313,109,1
2.167,0.308,76,1
19.375,0.452,1094,1
3,0.32,105,1
5.143,0.567,234,1
0.571,0.321,19,1
0.6,0.6,15,1
1.143,0.411,40,1
15.714,0.21,483,1
2.833,0.451,76,1
2.625,0.262,117,1
1.875,0.517,104,1
4.286,0.324,199,1
4.889,0.341,268,1
16.667,0.237,782,1
10.387,0.689,7519,1
8.1,0.279,656,1
2,0.258,121,1
4.429,0.286,146,1
8,0.143,157,1
3,0.307,282,1
3.455,0.328,356,1
4,0.207,204,1
2.111,0.269,110,1
5.857,0.213,230,1
9.455,0.203,2539,1
25,0.186,1110,1
6,0.235,168,1
56.556,0.123,2297,1
0.9,0.356,84,1
2,0.43,110,1
3.3,0.327,245,1
5,0.408,185,1
0.727,0.409,42,1
2.6,0.292,58,1
3.778,0.412,276,1
2.2,0.591,188,1
9.25,0.412,500,1
5,0.602,373,1
29.667,0.131,1242,1
3,0.293,119,1
1.294,0.425,286,1
5.111,0.316,355,1
6.8,0.224,103,1
0.778,0.286,49,1
2.714,0.361,122,1
1,0.417,34,1
42,0.381,42,1
4.2,0.295,77,1
0.778,0.349,43,1
3.111,0.317,246,1
1.2,0.333,10,1
1.4,0.457,35,1
1.333,0.491,96,1
1.5,0.385,66,1
3.667,0.36,243,1
5.625,0.911,3131,1
27.778,0.366,1727,1
15.2,0.297,1182,1
20.444,0.206,1091,1
5.222,0.362,383,1
1,0.5,64,1
74.143,0.073,1431,1
3.125,0.355,156,1
1.818,0.168,165,1
16,0.198,385,1
2.875,0.348,133,1
5.917,0.631,770,1
2.286,0.42,86,1
0.647,0.326,81,1
24,0.316,1146,1
1.25,0.45,79,1
28.444,0.099,1027,1
1.091,0.455,129,1
33,0.207,2215,1
1.889,0.229,89,1
6.714,0.286,236,1
1.625,0.625,85,1
20.111,0.35,1260,1
12.375,0.211,702,1
0.875,0.268,44,1
4,0.506,292,1
1,0.778,7,1
11.667,0.449,6072,1
4.833,0.343,559,1
6.222,0.343,356,1
23.818,0.251,1951,1
11.333,0.386,822,1
16.857,0.386,718,1
1.9,0.611,166,1
4.571,0.339,176,1
41.417,0.297,4374,1
0.571,0.5,28,1
10,0.298,565,1
6.636,0.27,678,1
4.556,0.336,256,1
5.75,0.245,769,1
6.429,0.381,243,1
15.5,0.314,978,1
12,0.111,368,1
4.8,0.342,97,1
3.556,0.24,263,1
7,1,7,1
63.75,0.144,2166,1
2.778,0.378,211,1
59.556,0.154,2904,1
1.833,0.364,63,1
3.286,0.329,136,1
6.111,0.255,345,1
28.385,0.397,3176,1
0.5,0.469,28,1
13,0.453,1069,1
0.714,0.2,15,1
22.818,0.355,2052,1
1.5,0.479,90,1
23.444,0.219,1343,1
27.1,0.249,1908,1
10.286,0.236,328,1
1.857,0.308,85,1
16.5,0.31,909,1
1.429,0.286,54,1
4.455,0.343,359,1
10.333,0.229,614,1
1.143,0.357,56,1
1.167,0.429,37,1
26.875,0.404,1357,1
1.5,0.385,91,1
26,0.203,790,1
2.2,0.277,131,1
49.75,0.279,2113,1
39.222,0.187,2013,1
54.667,0.209,3457,1
26.063,0.381,4349,1
31.462,0.267,3095,1
10.3,0.25,628,1
9.75,0.2,1002,1
1.9,0.332,132,1
2.111,0.667,153,1
8.125,0.269,377,1
8.667,0.329,629,1
3.7,0.327,353,1
6.625,0.37,382,1
1.857,0.297,76,1
15.182,0.371,1470,1
2.125,0.309,92,1
8.444,0.358,544,1
2.364,0.297,269,1
6.111,0.259,346,1
2.375,0.388,123,1
3.5,0.091,55,1
16.769,0.216,2090,1
8.429,0.228,272,1
3.1,0.284,259,1
18.286,0.265,645,1
34.364,0.33,2846,1
1.143,0.482,56,1
4.9,0.52,471,1
24.727,0.171,1824,1
2,0.357,95,1
4.125,0.371,210,1
0.667,0.5,32,1
1.909,0.411,157,1
8.125,0.302,472,1
2.111,0.251,167,1
11,0.195,532,1
1.625,0.49,95,1
1,0.455,99,1
1.75,0.286,16,1
6.7,0.291,394,1
14,0.254,417,1
1.1,0.409,105,1
1.545,0.321,122,1
2,0.316,83,1
15,0.394,434,1
24.9,0.294,1584,1
5.444,0.222,303,1
5.2,0.269,442,1
3.143,0.325,124,1
12.667,0.353,438,1
5.9,0.403,467,1
3.222,0.234,185,1
11.64,0.466,6963,1
4,0.27,147,1
4.818,0.249,428,1
5.375,0.398,323,1
1.6,0.338,142,1
9,0.778,9,1
1.5,0.385,67,1
4.857,0.273,181,1
0.727,0.443,41,1
7.556,0.335,483,1
2,0.408,92,1
3.111,0.258,153,1
2.8,0.336,238,1
8.875,0.136,218,1
3.7,0.592,267,1
15,0.249,761,1
6.143,0.292,256,1
2.5,0.5,36,1
4.7,0.336,295,1
3.714,0.396,182,1
5.154,0.432,450,1
4.833,0.305,168,1
3.143,0.156,80,1
5.111,0.242,305,1
15,0.252,878,1
3.857,0.259,130,1
3.125,0.355,176,1
1.286,0.46,56,1
1.833,0.568,221,1
11.5,0.24,872,1
4,0.349,229,1
2.833,0.275,84,1
3.556,0.302,194,1
1.2,0.333,104,1
60,0.2,60,1
5,0.4,116,1
3.5,0.268,41,1
7.875,0.321,481,1
4.75,0.421,70,1
3.778,0.225,231,1
2.571,0.167,55,1
0.556,0.244,39,1
3.2,0.425,80,1
21.667,0.253,412,1
2.25,0.361,136,1
17.9,0.2,1356,1
9.8,0.376,844,1
10.222,0.292,698,1
26,0.144,73,1
1.125,0.361,59,1
0.5,0.469,23,1
29,0.183,1686,1
2.222,0.3,175,1
1.571,0.377,74,1
2.286,0.304,78,1
143,0.133,143,1
2.556,0.222,169,1
3.3,0.391,324,1
43,0.351,3318,1
5.917,0.481,645,1
3,0.306,85,1
11.333,0.18,697,1
16.571,0.309,549,1
1.125,0.361,52,1
5.444,0.306,341,1
26.923,0.381,2682,1
23.125,0.265,905,1
4.222,0.313,212,1
2.2,0.345,48,1
1.412,0.36,289,1
1.091,0.5,111,1
31.308,0.266,3435,1
22.667,0.219,1922,1
1.125,0.319,48,1
16.778,0.185,769,1
8.333,0.396,617,1
5.125,0.393,320,1
41.3,0.315,3018,1
13.143,0.292,584,1
10.278,0.163,1193,1
2.875,0.38,182,1
24.769,0.375,2990,1
6.556,0.335,436,1
18.8,0.313,353,1
1.111,0.344,71,1
26.444,0.168,1316,1
6.2,0.239,151,1
6.542,0.905,3609,1
1.5,0.51,81,1
0.647,0.417,121,1
22.471,0.363,3680,1
1.429,0.386,64,1
8.846,0.314,1039,1
20.588,0.363,3433,1
2.167,0.346,45,1
12.625,0.29,790,1
0.714,0.257,35,1
1.8,0.522,139,1
1.875,0.25,97,1
8.889,0.304,603,1
10.44,0.887,6164,1
1.429,0.314,70,1
5.111,0.338,361,1
0.667,0.542,24,1
4.5,0.458,276,1
2.833,0.255,76,1
2.75,0.398,144,1
4.8,0.313,365,1
1.6,0.425,127,1
0.667,0.51,89,1
8.857,0.272,418,1
11.308,0.358,1343,1
5.333,0.365,184,1
9.4,0.286,940,1
1,0.347,31,1
8.778,0.343,639,1
11.625,0.261,697,1
20,0.252,2594,1
3.5,0.337,250,1
22.875,0.185,1112,1
4.727,0.262,491,1
6,0.281,697,1
5.625,0.367,323,1
1.2,0.4,26,1
1.167,0.333,40,1
0.8,0.45,9,1
27.1,0.193,1878,1
2.5,0.392,226,1
33.667,0.334,3267,1
25.1,0.281,1776,1
