@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4-5,9,11'

@attribute Eccen numeric
@attribute P_black numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
5.1,0.41,340,1
5.75,0.4,613,1
6.5,0.466,208,1
2.667,0.227,875,1
1.889,0.144,70,5
27.2,0.232,1767,1
0.933,0.11,71,5
27.1,0.267,1892,1
2,0.139,37,5
34,0.187,1236,1
27.1,0.187,1632,1
27.1,0.176,1556,1
9.75,0.244,465,1
2,0.357,85,1
27.1,0.168,1659,1
18.286,0.203,594,1
3,0.4,71,1
6,0.36,142,1
2.75,0.364,42,1
15,0.259,325,1
1.778,0.208,78,1
2.167,0.295,68,1
6.4,0.431,158,1
2.833,0.255,76,1
2.6,0.246,54,1
22,0.5,22,2
3,0.296,27,1
11.889,0.204,658,1
2.111,0.269,110,1
3.2,0.425,80,1
6.111,0.251,400,1
3.667,0.326,132,1
2,0.388,83,1
1.857,0.297,76,1
3,0.327,107,1
3.286,0.248,152,1
2.143,0.314,105,1
3.375,0.236,148,1
0.5,0.375,32,1
5.429,0.226,170,1
5.5,0.268,168,1
1.857,0.374,89,1
3.714,0.269,169,1
1,0.36,25,1
5.333,0.273,296,1
3.556,0.24,263,1
1.167,0.262,33,1
2.625,0.232,108,1
2.714,0.248,83,1
1,0.347,48,1
3.5,0.349,126,1
2.667,0.198,73,1
2.429,0.261,113,1
3.6,0.4,73,1
4.286,0.3,186,1
1.571,0.247,47,1
2.286,0.241,71,1
2.222,0.294,104,1
0.571,0.25,24,1
6.143,0.292,256,1
1,0.306,44,1
3.111,0.25,194,1
3.167,0.307,103,1
1.571,0.416,74,1
4.778,0.274,234,1
2.167,0.333,71,1
4.9,0.165,318,1
1.833,0.394,63,1
2,0.347,98,1
25.1,0.179,1293,1
3.429,0.268,119,1
1.571,0.325,64,1
2.8,0.386,60,1
8,0.319,325,1
1.833,0.333,64,1
0.556,0.244,28,1
2.444,0.212,151,1
1.571,0.416,75,1
1,0.327,49,1
1.6,0.55,38,1
1.8,0.333,45,1
3.714,0.374,154,1
2.333,0.298,52,1
5.5,0.303,173,1
11.333,0.257,274,1
1.286,0.302,53,1
3.571,0.331,156,1
1,0.234,61,1
1.857,0.286,79,1
4.556,0.201,241,1
22.444,0.087,462,1
2.833,0.294,88,1
1.571,0.221,71,1
3.286,0.298,141,1
0.6,0.6,14,1
1.857,0.275,75,1
2.714,0.263,88,1
65,0.646,65,2
1.125,0.361,57,1
1,0.107,229,5
0.125,0.875,8,4
1.655,0.116,373,5
3,0.333,223,1
1.5,0.417,90,1
2.286,0.446,106,1
0.19,0.31,54,5
2.474,0.078,100,5
1.364,0.358,124,1
1.125,0.403,52,1
1.125,0.319,48,1
12.889,0.339,919,1
1.5,0.448,85,1
3.6,0.367,304,1
1.333,0.646,44,1
17,1,17,2
0.875,0.411,56,1
3.625,0.453,231,1
4,0.395,218,1
0.667,0.625,19,1
1.25,0.425,73,1
6.125,0.441,391,1
1.714,0.464,84,1
3,0.358,208,1
6.25,0.428,296,1
0.75,0.396,39,1
5.429,0.414,225,1
0.8,0.7,16,1
1.5,0.479,90,1
24.727,0.281,2036,1
1.75,0.446,112,1
2.182,0.307,210,1
2,0.438,114,1
3,0.307,282,1
2,0.43,110,1
5,0.268,382,1
6,0.495,215,1
2.75,0.403,176,1
4.1,0.312,301,1
0.7,0.329,69,1
1.5,0.417,93,1
11.455,0.273,900,1
4.556,0.374,325,1
5,0.408,185,1
0.5,0.438,21,1
2.6,0.3,248,1
1.125,0.361,52,1
4.625,0.392,223,1
3.25,0.409,194,1
5.2,0.306,358,1
6.5,0.393,217,1
13.273,0.238,932,1
5.25,0.375,302,1
2.143,0.4,79,1
12.667,0.272,760,1
6.1,0.29,401,1
15.571,0.283,414,1
0.448,0.169,924,5
2.4,0.6,54,1
5.5,0.295,416,1
14.4,0.256,900,1
4.909,0.273,464,1
5.375,0.387,262,1
6.2,0.265,407,1
0.735,0.256,454,5
4.125,0.375,259,1
1.333,0.604,43,1
3.667,0.357,187,1
2.778,0.329,113,1
4.375,0.425,236,1
3.6,0.367,284,1
7.9,0.244,586,1
2.375,0.395,107,1
4.875,0.423,298,1
2.3,0.287,142,1
1.9,0.326,146,1
3,0.26,129,1
1.5,0.396,95,1
1.5,0.479,96,1
3.875,0.375,179,1
2.6,0.354,200,1
2.875,0.375,162,1
4.875,0.369,309,1
1.5,0.427,87,1
1.6,0.675,39,1
0.667,0.583,19,1
1.125,0.375,71,1
6.222,0.343,356,1
1.625,0.452,101,1
1.625,0.423,96,1
1.4,0.686,35,1
0.625,0.475,40,1
8.818,0.266,678,1
4.444,0.275,315,1
2.625,0.417,161,1
3.667,0.36,243,1
1.75,0.42,88,1
2.3,0.37,191,1
1.286,0.429,42,1
3.125,0.3,118,1
3.571,0.349,129,1
0.857,0.357,42,1
4.6,0.452,105,1
1.5,0.427,72,1
2.25,0.354,109,1
13.667,0.346,819,1
18.333,0.337,1059,1
3,0.296,18,1
33.778,0.202,2049,1
13.667,0.274,455,1
59.111,0.154,3073,1
2.167,0.256,76,1
3,0.25,38,1
19.6,0.341,313,1
11.667,0.456,6134,1
9.125,0.433,511,1
30.571,0.461,1296,1
34,0.192,2069,1
21.75,0.161,1002,1
29.667,0.131,1242,1
36.571,0.135,1081,1
249,0.173,249,1
59.333,0.163,3043,1
200,0.13,200,1
2.846,0.322,477,1
20.222,0.378,1292,1
12,0.329,672,1
4.833,0.42,163,1
53.5,0.166,3646,1
30.714,0.548,1500,1
9.222,0.376,513,1
11.333,0.183,738,1
7.625,0.207,392,1
31.286,0.182,1224,1
24.75,0.215,1318,1
17.538,0.24,2765,1
2.846,0.306,449,1
7.417,0.483,3987,1
186,0.828,186,2
23,0.177,1178,1
11.444,0.164,715,1
42.875,0.129,1661,1
62,0.984,62,2
7.12,0.49,3988,1
3.5,0.474,1758,1
26.875,0.416,1389,1
21.222,0.328,1284,1
5.333,0.365,184,1
56.667,0.075,1323,1
46.455,0.17,3023,1
268.5,0.538,596,2
19.444,0.177,983,1
179,0.353,587,2
16.214,0.237,2667,1
12.333,0.218,809,1
268.5,0.621,802,2
59.556,0.126,2377,1
139.5,0.075,304,1
19.75,0.102,437,1
7.12,0.475,3885,1
12.444,0.213,842,1
13.778,0.367,787,1
20.667,0.425,1315,1
5.333,0.286,146,1
11,0.189,664,1
2,0.347,93,1
56.667,0.171,3190,1
13.5,0.282,414,1
10.143,0.193,334,1
56.667,0.149,2717,1
17.462,0.226,2470,1
11.333,0.357,796,1
74,0.189,74,1
59.444,0.157,2861,1
50.4,0.139,3352,1
53.571,0.092,1124,1
1.033,0.587,15491,3
3.337,0.18,8387,5
1.795,0.388,5838,3
0.026,1,39,4
180,0.983,180,2
6.154,0.434,557,1
3.727,0.337,286,1
3.1,0.645,240,1
0.024,1,42,4
0.692,0.402,80,1
1,0.918,47,1
16.273,0.33,1444,1
2.25,0.611,22,2
5.917,0.631,770,1
28.714,0.399,3554,1
27.5,0.369,3022,1
0.9,0.644,62,1
1,0.889,8,1
34,0.353,34,2
16.727,0.455,1539,1
31.273,0.446,2694,1
2,0.623,140,1
6.107,0.258,4369,1
15.5,0.329,931,1
9.556,0.394,546,1
20.25,0.435,1213,1
23.75,0.411,2421,1
1,0.889,8,1
1.778,0.556,138,1
17.889,0.432,1347,1
14.5,0.362,1904,1
27.857,0.358,3224,1
11.875,0.466,687,1
2.222,0.628,154,1
13.818,0.365,1278,1
1,0.52,53,1
16.889,0.379,1047,1
18.143,0.377,2022,1
5.739,0.95,3036,1
16.385,0.359,1821,1
10.231,0.36,1247,1
0.077,1,13,4
12,0.604,428,1
7,1,7,1
17.111,0.406,1008,1
34.083,0.302,2966,1
28,0.464,28,2
25.938,0.389,4480,1
7.083,0.924,4068,1
21.313,0.378,3949,1
5.9,0.403,467,1
1.833,0.621,208,1
23.412,0.32,4117,1
14.188,0.41,2654,1
1.818,0.577,194,1
23.667,0.325,2471,1
26.5,0.371,4879,1
6,0.638,793,1
26.063,0.381,4349,1
0.143,0.536,15,4
2,0.624,213,1
0.111,1,9,4
31.222,0.272,2164,1
39.778,0.385,2782,1
2.714,0.662,123,1
26.9,0.306,1335,1
18,0.254,769,1
18.111,0.263,805,1
0.714,0.829,29,1
1.333,0.406,4194,1
2.727,0.467,272,1
1.235,0.373,219,1
1.353,0.419,316,1
18.444,0.274,905,1
33,0.26,1035,1
1.412,0.426,323,1
32.429,0.217,809,1
1.667,0.533,12,1
13.857,0.196,313,1
30.429,0.235,1112,1
14,0.254,417,1
2.013,0.319,4623,1
24.846,0.256,2340,1
15.667,0.184,527,1
16.167,0.232,496,1
16,0.309,533,1
16,0.335,405,1
16,0.319,405,1
16.4,0.361,329,1
36.778,0.222,2056,1
28.2,0.191,1977,1
16,0.198,385,1
16,0.217,459,1
1,0.321,32,1
17,0.285,726,1
41,0.39,41,1
42,0.405,42,1
8.429,0.462,413,1
17.857,0.29,643,1
16.125,0.232,849,1
10.857,0.301,457,1
8.333,0.24,189,1
47,0.426,47,1
4.286,0.271,183,1
29,0.183,1686,1
4,0.145,1126,1
3,0.286,125,1
9.833,0.237,312,1
7.5,0.422,238,1
5.4,0.267,84,1
8.625,0.216,355,1
4.8,0.342,97,1
4,0.27,147,1
1.4,0.314,30,1
5.974,0.304,5593,1
0.632,0.303,100,1
2.2,0.323,179,1
2.3,0.261,181,1
25.917,0.195,2914,1
29,0.178,3655,1
2,0.29,159,1
24.857,0.169,3293,1
9.875,0.316,616,1
7.375,0.186,317,1
37.75,0.211,1763,1
17.667,0.129,531,1
49.429,0.173,1733,1
19.286,0.114,499,1
42.75,0.163,1702,1
8,1,8,2
95,1,95,2
8.2,0.3,682,1
1,0.537,106,1
3.1,0.281,188,1
0.125,1,8,4
1.2,0.55,105,1
1.368,0.452,1801,1
13.357,0.265,1248,1
1,0.455,99,1
17,0.261,1206,1
11.5,0.24,872,1
5.857,0.213,230,1
