@relation page-blocks

@attribute Eccen numeric
@attribute Blackand numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
1.5,90,20,1
4.778,369,59,1
2.7,225,28,1
4,363,79,1
11.333,650,151,1
26.2,1715,369,1
34,2069,378,1
11.333,514,96,1
4.125,219,52,1
9.111,619,96,1
4.375,276,59,1
23.2,455,100,1
13.667,1097,154,1
10.579,2164,439,1
2.429,87,27,1
2.929,895,70,1
1.25,61,16,1
7.818,723,140,1
6.2,407,75,1
2.571,122,23,1
1.286,62,9,1
23.727,1898,361,1
9.778,575,131,1
37.462,3988,745,1
1,22,3,1
2,98,18,1
3.7,256,65,1
1.857,90,15,1
2.571,109,21,1
9.333,664,112,1
10.4,141,40,1
9.556,546,107,1
5.167,105,20,1
10.143,476,105,1
30.111,1774,374,1
1.25,80,17,1
19.8,366,78,1
4.5,153,39,1
1.833,208,17,1
20.25,1213,188,1
2.889,206,40,1
12.286,500,116,1
20,653,100,1
1.2,105,14,1
6.625,382,89,1
10,910,172,1
5.556,311,75,1
5.091,431,77,1
17.778,1098,197,1
18.071,2924,302,1
5.875,331,68,1
10.25,501,107,1
5.778,305,73,1
2.091,211,18,1
3.375,165,45,1
0.875,24,3,1
3.125,176,41,1
1.125,48,10,1
2,86,19,1
1,25,6,1
3.667,276,40,1
18.5,858,198,1
0.647,81,6,1
5.3,481,89,1
1.444,103,19,1
7.875,481,89,1
1.111,48,8,1
1.571,74,20,1
4.4,100,27,1
7,446,84,1
1.778,118,19,1
29,3655,548,1
1.75,85,16,1
5.222,316,48,1
6.857,276,77,1
4.556,241,57,1
34,1236,288,1
2.5,193,44,1
11.111,762,130,1
15.25,634,154,1
6.6,436,93,1
6.727,511,98,1
2.8,65,19,1
21.25,1210,236,1
8.167,204,61,1
12.375,524,114,1
3,132,28,1
31.143,951,171,1
45,546,110,1
34.25,1277,244,1
1.1,93,12,1
1.5,96,21,1
6.111,345,91,1
19.286,692,134,1
4.833,163,38,1
3.926,1368,137,1
4.444,320,57,1
30.111,1724,382,1
2.444,185,28,1
2.714,84,23,1
60,60,12,1
25.889,1441,274,1
28.778,1745,370,1
1.875,92,14,1
1.8,180,30,1
5.429,240,46,1
8.429,238,45,1
32.538,4191,632,1
49,49,2,1
1.5,72,20,1
4.9,368,76,1
11.444,615,159,1
2.556,118,28,1
9.556,586,119,1
6.3,501,109,1
3.125,151,41,1
1.5,91,25,1
63.875,1380,261,1
3.4,308,71,1
22.583,1818,433,1
22.583,2241,423,1
9.571,257,71,1
1.091,108,13,1
26.875,1283,243,1
0.75,38,5,1
0.5,23,3,1
4.75,230,55,1
1.333,46,8,1
13.444,845,169,1
17.167,562,124,1
24.75,373,83,1
2,92,16,1
22.846,2318,318,1
2.25,144,36,1
5.75,613,95,1
10.375,624,123,1
2.364,269,42,1
2.3,181,34,1
16.667,782,183,1
9.7,807,165,1
2.375,110,18,1
0.571,28,4,1
31.222,2164,398,1
3.875,182,48,1
15.5,537,101,1
15.5,32,6,1
7.889,573,114,1
2.167,259,39,1
1.375,85,21,1
5.818,393,83,1
11.071,1386,238,1
2.286,78,25,1
33.846,3983,669,1
1.571,75,21,1
1.6,127,9,1
2,114,21,1
1.889,140,13,1
109,109,19,1
14.357,1804,217,1
2.273,256,36,1
3.75,161,44,1
118,118,21,1
27.5,3022,412,1
9.833,1028,181,1
2.714,54,12,1
0.75,40,8,1
0.667,89,7,1
0.8,71,5,1
2,97,12,1
1.143,45,10,1
23.8,1730,295,1
1.6,39,11,1
2.5,26,4,1
6,364,91,1
3.286,109,29,1
4.8,267,67,1
36.222,1882,385,1
8.708,4976,269,1
6.76,4101,586,1
6,733,133,1
9.111,674,125,1
12.286,422,105,1
9,668,117,1
1.333,48,11,1
10.1,902,156,1
1.571,74,20,1
14.7,809,191,1
3,234,46,1
2.222,104,35,1
16.818,1796,220,1
2,159,15,1
1.412,342,34,1
1.4,23,6,1
4.1,283,60,1
1.3,119,17,1
4.429,187,41,1
14,7729,455,1
2.429,93,26,1
12.455,982,177,1
2.167,70,14,1
5.739,3036,139,1
1.167,42,11,1
2.143,87,27,1
4.571,174,55,1
2,138,12,1
2.125,113,25,1
10.222,759,140,1
3.8,74,15,1
2.111,110,31,1
1.571,71,16,1
6.111,495,77,1
16.875,725,116,1
10.889,584,103,1
8.6,215,69,1
2.143,87,22,1
3.667,201,40,1
2.222,180,32,1
5.714,211,23,1
4.125,186,39,1
11.455,900,180,1
14.625,653,130,1
18.75,713,154,1
66.875,2566,520,1
4.375,280,53,1
2.2,48,13,1
1.5,96,22,1
1.571,60,14,1
4.545,308,74,1
10.333,1293,228,1
12.429,359,111,1
7.875,370,106,1
10.778,849,168,1
5.75,350,78,1
0.444,31,3,1
1.75,94,20,1
2.6,44,7,1
2,115,23,1
1.571,69,19,1
34.5,3646,675,1
28.875,1052,257,1
5.125,286,67,1
4.071,759,49,1
9.091,842,156,1
1.571,67,15,1
1.75,62,10,1
1.571,71,14,1
23.818,1643,373,1
59.111,3073,572,1
1.667,51,16,1
3.6,86,21,1
3.909,414,64,1
34.5,70,10,1
12.1,1056,186,1
21.313,3949,394,1
2,25,6,1
1.25,73,14,1
27.778,1727,317,1
7.333,214,57,1
74.429,1409,260,1
14.1,910,148,1
0.8,80,6,1
4.667,311,72,1
5.25,302,61,1
26.125,1384,228,1
0.857,42,7,1
2.111,167,32,1
5.429,167,48,1
11.833,408,89,1
5.545,412,48,1
5.444,303,77,1
0.727,88,9,1
1.5,88,25,1
9.583,790,203,1
2,95,21,1
2,209,19,1
6.714,249,54,1
4.556,325,61,1
13.818,1278,212,1
2,146,31,1
1.222,77,13,1
21.571,459,61,1
1,46,1,1
1.9,155,13,1
30.125,960,182,1
27.2,2101,401,1
18.111,805,137,1
1,9,1,1
4.167,118,35,1
0.75,39,12,1
17.538,2765,235,1
4.333,256,50,1
1,8,1,1
7.8,172,38,1
30.9,2257,441,1
3.5,41,9,1
2,97,20,1
1,44,11,1
2.286,112,14,1
3.3,213,40,1
4.667,356,60,1
21.846,2040,405,1
0.583,84,9,1
2.143,103,17,1
4.111,321,56,1
3.875,208,44,1
10.333,72,10,1
2.7,217,39,1
5.444,440,88,1
27.667,2626,356,1
26,2865,396,1
1,7,1,1
2.167,69,17,1
3,107,22,1
13.5,593,126,1
5.391,2852,156,1
6.5,219,39,1
5.111,305,68,1
24.875,915,155,1
3.2,252,58,1
66.875,2984,575,1
7.667,222,30,1
5.25,336,67,1
2.429,93,26,1
1.917,228,21,1
14.286,594,157,1
9,9,1,1
5.714,272,60,1
10.111,599,123,1
2.5,66,10,1
14.167,3822,643,1
7.111,471,84,1
8.4,713,121,1
8.1,656,107,1
8.625,456,82,1
20.25,1024,149,1
99,99,18,1
6.1,509,95,1
54.667,3457,697,1
9.444,621,127,1
3.5,397,66,1
13.25,2349,222,1
7,7,1,1
4.111,283,65,1
16.667,1020,218,1
3.5,177,40,1
1.143,54,13,1
4.125,259,62,1
5.857,230,45,1
5,310,60,1
2,100,23,1
16,485,100,1
1.222,203,10,1
5.889,282,84,1
9,602,94,1
39.8,2965,557,1
0.833,95,10,1
1.6,142,26,1
3.857,140,16,1
6,355,75,1
1.5,86,21,1
24.222,1141,203,1
1.556,113,22,1
4.667,369,59,1
2.4,197,31,1
15,878,183,1
2.368,498,69,1
3,279,56,1
2.889,223,42,1
9.5,30,5,1
6.462,644,121,1
18.615,1932,312,1
3.364,366,75,1
249,249,42,1
2.143,93,15,1
6.4,256,57,1
11.364,1105,196,1
0.714,29,1,1
2.444,138,29,1
4.4,375,55,1
0.5,32,6,1
1.333,108,27,1
5.375,325,81,1
2.923,462,42,1
0.667,96,10,1
6.4,159,49,1
1.714,44,12,1
5.5,416,82,1
34.286,904,221,1
3.333,117,24,1
9.286,363,71,1
10.387,7519,408,1
8.889,658,115,1
24.727,2103,431,1
1.286,51,13,1
4.667,147,38,1
3.222,252,45,1
3.75,180,42,1
30.636,2361,296,1
3.4,301,59,1
7.5,682,141,1
1.8,134,20,1
3,107,28,1
1.5,77,19,1
3.5,217,42,1
1,47,2,1
1.571,42,7,1
4.286,183,43,1
2,142,29,1
31.9,2149,458,1
3.286,87,11,1
2.111,153,15,1
5.5,237,70,1
2.923,473,43,1
1.625,97,23,1
9.222,594,91,1
1.667,39,6,1
5.8,113,25,1
7.417,939,131,1
2.333,166,25,1
25.778,1633,326,1
20.667,1303,255,1
14,14,3,1
1.25,73,9,1
4.667,213,65,1
5,406,86,1
27.286,1000,247,1
33.889,2003,375,1
3.25,177,36,1
1.125,36,7,1
27.1,1892,369,1
500,17,4,1
2.526,3051,478,1
2.375,152,34,1
2.429,111,25,1
29.125,1562,309,1
3.125,176,42,1
4.6,388,83,1
10.667,1132,179,1
6.286,140,33,1
18,1981,248,1
1.9,159,28,1
3,186,41,1
1,64,10,1
3,123,26,1
2.667,216,40,1
2.429,102,17,1
4.222,192,32,1
4.444,333,61,1
0.875,56,11,1
16.727,1789,213,1
0.875,53,11,1
5.917,743,79,1
16,448,99,1
1,89,18,1
4.875,236,69,1
12.75,721,138,1
2,93,19,1
8.5,237,61,1
26.769,3262,543,1
4.125,224,43,1
1.429,70,13,1
8.667,946,170,1
0.857,32,3,1
5,245,55,1
1.167,23,2,1
27.917,2722,348,1
9.222,683,96,1
21.75,1768,358,1
8,439,80,1
1.917,218,16,1
1.571,77,21,1
5.125,316,60,1
7.571,215,53,1
8.182,800,127,1
1.2,30,8,1
3,231,43,1
13.444,918,181,1
34.714,817,227,1
1.5,19,4,1
4.5,323,69,1
5.333,296,83,1
16.727,1791,213,1
7.857,316,69,1
9.6,851,161,1
1.4,33,8,1
12.875,769,129,1
1.375,73,17,1
17.333,161,31,1
43.571,1069,191,1
4.25,213,57,1
5,258,69,1
0.727,88,8,1
10.714,1430,114,1
0.8,56,8,1
9.5,21,2,1
59.556,2377,456,1
2.125,120,25,1
2.273,173,40,1
16.5,922,163,1
10.545,1026,194,1
17.1,773,121,1
4.333,120,28,1
1.4,34,11,1
18.444,1121,195,1
1.75,105,21,1
1.667,12,2,1
5.1,436,68,1
2.571,120,28,1
1.4,23,6,1
1.5,86,21,1
1.25,54,13,1
20.111,1205,213,1
16.2,392,97,1
1.5,81,18,1
9.364,653,123,1
1.4,124,18,1
2.909,270,45,1
1,20,3,1
3,27,6,1
24.286,2819,503,1
8.625,465,90,1
1.75,112,6,1
4.833,152,39,1
56.556,1736,328,1
8.3,714,121,1
11.667,6134,400,1
16.778,1279,236,1
1.8,161,14,1
16.444,743,167,1
5.222,349,57,1
1,7,1,1
15.556,953,177,1
1.25,68,16,1
1,34,10,1
2.778,159,32,1
31.857,823,142,1
3.3,324,63,1
3.889,260,58,1
5,230,50,1
8.167,737,135,1
2.286,71,11,1
17,1168,203,1
1.857,82,20,1
0.818,68,8,1
6,215,56,1
7.6,188,57,1
0.571,28,6,1
6,214,55,1
8.111,412,77,1
2.333,155,24,1
5.333,45,8,1
2.571,126,21,1
9,654,117,1
13.071,1745,205,1
11.182,887,113,1
2.571,124,28,1
30.667,2102,373,1
5.5,161,41,1
0.857,37,11,1
4.418,5649,1134,1
16.5,1147,258,1
6.286,226,53,1
33.222,1545,274,1
20.333,1225,239,1
0.818,72,8,1
19.5,2681,310,1
3.519,15523,885,1
2.5,160,29,1
12.818,1225,199,1
5.125,309,73,1
2.857,120,26,1
10,10,2,1
8.6,548,103,1
2.667,453,53,1
13.364,1230,264,1
0.833,26,4,1
40.333,1738,326,1
6.714,251,66,1
3.667,405,58,1
3.778,196,42,1
18.8,353,77,1
5,144,46,1
3.342,4199,657,1
1,43,10,1
3.6,294,58,1
5.917,645,70,1
1.364,147,28,1
4.333,324,57,1
0.714,33,4,1
1.9,166,13,1
13.214,1687,289,1
15.75,690,149,1
16.214,2667,226,1
5.1,429,87,1
1.143,42,11,1
2.6,52,12,1
15.846,7118,1142,1
2.833,76,18,1
41,41,15,1
17.429,535,139,1
5.25,316,54,1
3.227,1302,75,1
6.471,1128,224,1
0.462,35,1,1
6.625,375,80,1
11.111,817,143,1
6.571,189,12,1
23.75,957,223,1
2.333,78,21,1
8.875,489,95,1
5.286,247,43,1
24.636,1752,353,1
17.25,265,57,1
6.818,560,107,1
8.909,649,138,1
8.286,305,35,1
1.5,43,13,1
0.632,100,9,1
4.6,115,28,1
3.875,216,51,1
3.556,248,57,1
37.889,935,165,1
6.75,322,82,1
3.6,90,20,1
3,119,32,1
0.571,27,1,1
39.636,3623,564,1
15.75,578,146,1
4.625,223,60,1
5.9,467,80,1
22.5,85,6,1
1.75,88,25,1
4.6,105,29,1
10,565,111,1
1.6,19,1,1
7.48,4390,306,1
19.625,1240,220,1
5.2,102,27,1
7.667,242,60,1
1.571,71,17,1
8.923,992,183,1
15.5,840,163,1
3.889,291,60,1
1,141,26,1
15,518,111,1
1.778,132,27,1
6.5,208,52,1
3.125,165,35,1
4.833,160,34,1
16,405,80,1
21.714,777,179,1
11.333,738,132,1
1.4,35,9,1
21.5,3146,358,1
15.5,1919,383,1
5.25,254,50,1
1.353,316,25,1
8,433,81,1
4.9,462,88,1
1.625,103,25,1
12.3,1092,149,1
31.286,1224,222,1
3.182,251,60,1
7.111,485,89,1
1.4,35,8,1
6.1,582,110,1
7.625,472,76,1
10.036,4339,530,1
2,81,16,1
21.667,673,144,1
7,784,149,1
3,109,27,1
1.4,35,9,1
9.857,364,71,1
18.4,278,96,1
3,208,47,1
6.625,384,67,1
66.5,3066,636,1
1.5,66,19,1
0.75,39,4,1
1.5,64,12,1
3.6,558,107,1
3.5,126,33,1
2.375,101,27,1
1.75,85,23,1
4.889,239,74,1
2,56,13,1
1.5,78,9,1
27.1,2027,386,1
19.333,1957,375,1
5.2,358,81,1
1.125,70,15,1
4.5,272,53,1
27,932,237,1
3.833,123,35,1
0.286,13,4,1
23.5,3490,401,1
1.4,126,23,1
2.375,110,30,1
24.571,1164,171,1
27.222,1338,254,1
26,817,196,1
4.778,371,55,1
0.857,143,12,1
28.714,3554,473,1
2.857,140,31,1
4.714,221,56,1
4.9,481,93,1
11,693,135,1
6.25,366,89,1
10.333,317,64,1
4.857,186,45,1
14.25,372,73,1
1.923,93,7,1
1.5,77,17,1
10.222,575,123,1
6.625,388,86,1
26.2,2163,432,1
1.9,146,12,1
5.75,338,65,1
10.231,1247,127,1
4.714,195,14,1
26.875,1389,243,1
34.125,1764,369,1
0.818,62,10,1
50.6,2980,564,1
2,123,22,1
7.636,629,131,1
11.68,6670,454,1
7.8,176,49,1
5.75,225,70,1
2.2,51,14,1
59.444,2399,470,1
1,49,12,1
4.458,2523,138,1
0.667,24,2,1
2,92,19,1
2,42,12,1
8.5,574,122,1
4.893,2163,201,1
7.417,3987,258,1
4.889,315,66,1
56.111,2847,654,1
3.889,210,29,1
4,307,55,1
2.727,272,37,1
2.5,75,12,1
4.556,274,69,1
4.909,464,74,1
1.286,47,12,1
9.111,603,124,1
4.9,318,60,1
4.111,195,60,1
1.909,157,24,1
3.778,276,66,1
1.333,97,27,1
2,122,30,1
1.286,54,12,1
1.333,108,29,1
10,702,146,1
1,32,2,1
2.222,132,10,1
21.286,2962,247,1
8.4,753,142,1
2,128,27,1
2,115,27,1
13,1113,199,1
24.75,1318,260,1
9.273,862,163,1
19.75,437,97,1
1.5,89,23,1
4.429,186,39,1
6,340,63,1
1.833,64,14,1
59.556,2904,547,1
8.583,895,171,1
14.042,8088,418,1
2.083,193,37,1
2.375,129,19,1
1.4,35,8,1
4.444,315,62,1
5.857,223,64,1
2.333,181,30,1
1.2,29,8,1
9.8,844,175,1
0.139,147,15,1
6.455,567,120,1
10.818,1045,181,1
4.5,263,65,1
2.75,160,32,1
15.125,949,134,1
2,69,14,1
59.333,3524,661,1
20.222,1292,210,1
1.857,79,19,1
6.333,467,105,1
2.125,117,21,1
8.429,413,82,1
11.182,695,173,1
11,714,132,1
5.583,557,99,1
3.25,197,43,1
5.875,264,66,1
18.5,1272,237,1
3.857,189,41,1
7.9,619,122,1
4.5,78,9,1
2.923,463,42,1
9.286,386,95,1
7.125,437,68,1
10.25,624,104,1
5,317,51,1
18.556,1093,197,1
59.222,3853,612,1
1.625,85,10,1
34.364,2846,465,1
8.429,283,56,1
39.364,3365,460,1
2.556,66,12,1
2.857,98,27,1
21.857,1039,182,1
2.6,54,12,1
7.375,3939,268,1
29.111,1657,356,1
2.143,64,7,1
50.8,3189,578,1
2,124,25,1
6.125,298,84,1
5.857,246,55,1
4.429,215,41,1
8.714,422,77,1
2.222,90,26,1
14.583,1625,198,1
0.667,19,4,1
7.5,261,75,1
1.667,51,14,1
2.2,179,34,1
5.333,184,42,1
2.2,131,35,1
2.75,160,37,1
7.583,644,125,1
7.273,776,87,1
1.444,101,17,1
8.727,718,160,1
8.75,512,95,1
9,6053,275,1
0.9,80,11,1
10.2,212,49,1
10.667,704,124,1
1.2,26,6,1
0.571,28,3,1
27.111,1758,327,1
2.286,86,14,1
0.7,30,1,1
5.625,261,30,1
8.875,492,95,1
2.857,140,30,1
3.182,225,27,1
3.818,302,68,1
2.3,182,42,1
5.375,307,64,1
20.714,668,140,1
6.4,618,116,1
3.3,285,62,1
8.556,388,93,1
13.625,443,76,1
0.727,88,15,1
0.857,42,9,1
0.857,42,10,1
9.8,832,154,1
6,674,110,1
3.25,203,43,1
13.778,787,144,1
4.778,234,63,1
2.182,192,14,1
16,417,81,1
17.6,1026,263,1
26.444,1316,285,1
3.136,1287,74,1
11.222,625,136,1
7.417,4141,267,1
8.3,602,121,1
4.143,753,46,1
2.9,166,18,1
8.889,632,119,1
3.6,256,51,1
3.333,253,46,1
2.875,173,40,1
2.667,73,8,1
1.125,71,13,1
2.889,199,48,1
10.111,633,119,1
5.8,138,33,1
7,252,71,1
12,12,2,1
24.563,4103,418,1
1.167,161,26,1
36.167,890,214,1
4.889,374,59,1
13.375,628,139,1
31.462,3095,637,1
3.167,101,20,1
1.167,35,9,1
6.2,147,34,1
10.222,733,123,1
56.444,2425,461,1
10.1,864,153,1
5.5,173,41,1
56.667,2484,561,1
13.556,1040,145,1
6.538,700,131,1
5.7,410,61,1
4,1161,151,1
7.9,586,108,1
18.222,959,221,1
1.1,110,21,1
16,458,79,1
7.571,344,86,1
2.3,178,34,1
1.125,72,13,1
1.5,81,19,1
23,1178,255,1
29.786,3262,467,1
11,829,177,1
3.556,171,35,1
26.5,3066,407,1
1.6,36,8,1
18.5,850,181,1
1,49,11,1
0.556,40,3,1
17.545,1451,325,1
8.889,625,114,1
14.111,776,154,1
6.235,1802,115,1
11.889,811,156,1
1.333,108,29,1
11.852,4845,613,1
1.333,108,28,1
3,100,21,1
16.833,531,129,1
0.727,88,8,1
5,318,52,1
26.667,1542,336,1
0.818,76,6,1
22.875,1112,190,1
10.462,1375,160,1
4.909,437,77,1
14.875,876,189,1
8.143,380,87,1
11.545,959,166,1
6.143,243,58,1
1.182,112,24,1
36.778,1570,308,1
16.875,317,54,1
1.75,112,26,1
5,374,61,1
1.778,114,27,1
1.833,52,15,1
36.571,1081,178,1
39.778,2782,525,1
7.714,302,58,1
2.222,157,35,1
8.2,566,108,1
2,196,17,1
2.429,111,27,1
3.3,277,51,1
6.143,285,56,1
15,718,145,1
9,710,116,1
4.5,288,62,1
4.72,2198,392,1
3.857,179,40,1
6.1,401,82,1
1.5,96,25,1
1.143,54,13,1
5.25,273,59,1
8.75,471,98,1
4.429,170,39,1
5.778,387,70,1
4,157,42,1
47,47,14,1
2.167,45,6,1
8.9,441,69,1
2.923,462,41,1
2,65,18,1
8.6,169,43,1
39.875,1765,353,1
2.444,167,40,1
2.818,283,53,1
2.5,160,30,1
1.286,60,15,1
1.167,41,10,1
5.8,518,83,1
4.571,180,40,1
1.333,108,20,1
7.9,332,103,1
7.556,483,88,1
3.778,294,68,1
0.727,87,6,1
0.875,53,10,1
5,279,62,1
12.333,570,133,1
2.333,162,28,1
1.7,90,14,1
27.778,1600,314,1
7.111,530,88,1
5.545,493,89,1
2.714,133,31,1
20.444,1091,251,1
5.4,84,21,1
1.75,108,18,1
13.8,218,57,1
12.813,2622,245,1
0.6,60,10,1
3,125,31,1
5.857,247,46,1
38.625,1593,325,1
18.84,10437,678,1
2.833,88,26,1
2.444,151,26,1
7,441,83,1
1.625,96,25,1
1.167,33,7,1
50,50,9,1
1.9,132,17,1
2.308,253,43,1
1.4,35,9,1
12.5,1078,195,1
1.875,119,22,1
2.714,88,26,1
6.538,4017,542,1
34.714,898,230,1
1.778,107,24,1
14.182,1219,253,1
3.143,154,33,1
2,215,17,1
1.571,72,11,1
2.5,32,6,1
0.667,93,10,1
4.333,149,36,1
1,25,7,1
16.167,409,80,1
8.444,598,114,1
7.875,350,85,1
3.5,111,5,1
1.182,140,27,1
4.444,347,59,1
0.5,7,1,1
74,74,13,1
1.625,101,24,1
6.25,296,74,1
11.75,139,24,1
5.125,310,77,1
11.941,3448,225,1
1.4,35,8,1
6.429,223,62,1
15.9,1213,192,1
18.385,1912,343,1
5,319,59,1
1.75,86,19,1
6.571,250,51,1
4.714,196,40,1
13.143,584,122,1
7,422,91,1
8.091,691,61,1
9,75,22,1
1,31,6,1
6.222,347,85,1
4.333,329,50,1
7.125,382,78,1
24,1971,334,1
0.625,40,6,1
1.143,41,9,1
4,292,58,1
12.375,702,113,1
3.9,304,62,1
28.846,2531,521,1
6.7,435,90,1
11.76,6663,448,1
3.818,351,70,1
6.556,426,81,1
0.7,53,9,1
8.182,711,101,1
5.333,319,79,1
10.727,800,80,1
1.5,12,1,1
1.5,72,16,1
3.227,1317,72,1
7.833,127,31,1
20.375,1280,179,1
3.889,262,65,1
8.125,377,100,1
1.1,110,28,1
2,94,19,1
1.571,70,16,1
1.167,40,4,1
16.429,567,128,1
9.444,569,121,1
55.571,1591,381,1
2.1,126,20,1
31.429,3857,632,1
14.188,2654,300,1
7.714,332,77,1
2.111,156,30,1
34.556,1629,340,1
1.7,129,12,1
37.375,1643,338,1
3.778,216,49,1
15.875,838,161,1
3.714,182,47,1
51.667,2694,532,1
4.467,610,82,1
9.667,259,82,1
7.714,230,69,1
2.111,130,19,1
24.846,2340,449,1
25.1,1559,287,1
2,171,33,1
8,640,116,1
2.375,149,31,1
2,89,16,1
2.667,21,6,1
18.667,84,8,1
13.143,577,106,1
27.556,1622,308,1
1.571,50,13,1
8.857,328,64,1
26.429,3357,554,1
3.25,194,39,1
6.222,311,80,1
5.286,259,54,1
