@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4-5,11'

@attribute Eccen numeric
@attribute P_black numeric
@attribute Class {1,2,3,4,5}

@data
1.5,0.427,1
2.25,0.354,1
13.667,0.346,1
18.333,0.337,1
3,0.296,1
33.778,0.202,1
13.667,0.274,1
59.111,0.154,1
2.167,0.256,1
3,0.25,1
19.6,0.341,1
11.667,0.456,1
9.125,0.433,1
30.571,0.461,1
34,0.192,1
21.75,0.161,1
29.667,0.131,1
36.571,0.135,1
249,0.173,1
59.333,0.163,1
200,0.13,1
2.846,0.322,1
20.222,0.378,1
12,0.329,1
4.833,0.42,1
53.5,0.166,1
30.714,0.548,1
9.222,0.376,1
11.333,0.183,1
7.625,0.207,1
31.286,0.182,1
24.75,0.215,1
17.538,0.24,1
2.846,0.306,1
7.417,0.483,1
186,0.828,2
23,0.177,1
11.444,0.164,1
42.875,0.129,1
62,0.984,2
7.12,0.49,1
3.5,0.474,1
26.875,0.416,1
21.222,0.328,1
5.333,0.365,1
56.667,0.075,1
46.455,0.17,1
268.5,0.538,2
19.444,0.177,1
179,0.353,2
16.214,0.237,1
12.333,0.218,1
268.5,0.621,2
59.556,0.126,1
139.5,0.075,1
19.75,0.102,1
7.12,0.475,1
12.444,0.213,1
13.778,0.367,1
20.667,0.425,1
5.333,0.286,1
11,0.189,1
2,0.347,1
56.667,0.171,1
13.5,0.282,1
10.143,0.193,1
56.667,0.149,1
17.462,0.226,1
11.333,0.357,1
74,0.189,1
59.444,0.157,1
50.4,0.139,1
53.571,0.092,1
1.033,0.587,3
3.337,0.18,5
1.795,0.388,3
0.026,1,4
180,0.983,2
6.154,0.434,1
3.727,0.337,1
3.1,0.645,1
0.024,1,4
0.692,0.402,1
1,0.918,1
16.273,0.33,1
2.25,0.611,2
5.917,0.631,1
28.714,0.399,1
27.5,0.369,1
0.9,0.644,1
1,0.889,1
34,0.353,2
16.727,0.455,1
31.273,0.446,1
2,0.623,1
6.107,0.258,1
15.5,0.329,1
9.556,0.394,1
20.25,0.435,1
23.75,0.411,1
1,0.889,1
1.778,0.556,1
17.889,0.432,1
14.5,0.362,1
27.857,0.358,1
11.875,0.466,1
2.222,0.628,1
13.818,0.365,1
1,0.52,1
16.889,0.379,1
18.143,0.377,1
5.739,0.95,1
16.385,0.359,1
10.231,0.36,1
0.077,1,4
12,0.604,1
7,1,1
17.111,0.406,1
34.083,0.302,1
28,0.464,2
25.938,0.389,1
7.083,0.924,1
21.313,0.378,1
5.9,0.403,1
1.833,0.621,1
23.412,0.32,1
14.188,0.41,1
1.818,0.577,1
23.667,0.325,1
26.5,0.371,1
6,0.638,1
26.063,0.381,1
0.143,0.536,4
2,0.624,1
0.111,1,4
31.222,0.272,1
39.778,0.385,1
2.714,0.662,1
26.9,0.306,1
18,0.254,1
18.111,0.263,1
0.714,0.829,1
1.333,0.406,1
2.727,0.467,1
1.235,0.373,1
1.353,0.419,1
18.444,0.274,1
33,0.26,1
1.412,0.426,1
32.429,0.217,1
1.667,0.533,1
13.857,0.196,1
30.429,0.235,1
14,0.254,1
2.013,0.319,1
24.846,0.256,1
15.667,0.184,1
16.167,0.232,1
16,0.309,1
16,0.335,1
16,0.319,1
16.4,0.361,1
36.778,0.222,1
28.2,0.191,1
16,0.198,1
16,0.217,1
1,0.321,1
17,0.285,1
41,0.39,1
42,0.405,1
8.429,0.462,1
17.857,0.29,1
16.125,0.232,1
10.857,0.301,1
8.333,0.24,1
47,0.426,1
4.286,0.271,1
29,0.183,1
4,0.145,1
3,0.286,1
9.833,0.237,1
7.5,0.422,1
5.4,0.267,1
8.625,0.216,1
4.8,0.342,1
4,0.27,1
1.4,0.314,1
5.974,0.304,1
0.632,0.303,1
2.2,0.323,1
2.3,0.261,1
25.917,0.195,1
29,0.178,1
2,0.29,1
24.857,0.169,1
9.875,0.316,1
7.375,0.186,1
37.75,0.211,1
17.667,0.129,1
49.429,0.173,1
19.286,0.114,1
42.75,0.163,1
8,1,2
95,1,2
8.2,0.3,1
1,0.537,1
3.1,0.281,1
0.125,1,4
1.2,0.55,1
1.368,0.452,1
13.357,0.265,1
1,0.455,1
17,0.261,1
11.5,0.24,1
5.857,0.213,1
