@relation page-blocks

@attribute Height numeric
@attribute Area numeric
@attribute Class {1,2,3,4,5}

@data
7,189,1
5,20,1
7,140,1
8,296,1
9,189,1
8,152,1
8,56,1
9,297,1
7,126,1
6,1122,1
8,160,1
11,2981,1
1,70,1
10,1080,1
10,470,1
8,56,1
10,340,1
9,423,1
7,329,1
11,583,1
11,1111,1
1,40,1
10,490,1
10,5080,1
9,4815,1
10,370,1
14,5894,1
11,2035,1
11,275,1
8,352,1
8,288,1
11,1100,1
8,168,1
3,81,1
11,275,1
10,2510,1
7,91,1
11,2992,1
6,108,1
7,224,1
9,1440,1
16,6832,1
7,147,1
5,15,1
9,324,1
9,189,1
5,35,1
9,162,1
7,343,1
8,360,1
12,1416,1
23,2875,1
7,357,1
4,28,1
24,2568,1
5,35,1
5,290,1
7,252,1
8,224,1
7,49,1
7,84,1
9,306,1
11,275,1
9,162,1
9,441,1
9,819,1
9,648,1
2,90,1
11,242,1
10,180,1
25,7275,1
10,650,1
6,576,1
17,391,1
7,77,1
10,570,1
7,63,1
5,160,1
9,504,1
9,2691,1
7,217,1
10,1450,1
14,6062,1
7,518,1
5,15,1
11,869,1
8,4200,1
7,350,1
11,88,1
8,152,1
12,96,1
9,441,1
5,35,1
8,24,1
11,143,1
11,572,1
8,168,1
9,675,1
6,42,1
10,90,1
11,55,1
7,56,1
14,5726,1
7,112,1
9,297,1
7,98,1
7,105,1
8,568,1
7,294,1
7,98,1
5,20,1
10,100,1
10,200,1
6,72,1
10,620,1
9,1332,1
7,175,1
9,1422,1
8,112,1
9,333,1
7,56,1
11,935,1
9,2448,1
7,49,1
24,4224,1
6,168,1
10,470,1
9,4176,1
10,460,1
8,152,1
10,2880,1
3,27,1
10,630,1
10,210,1
9,288,1
8,304,1
12,996,1
8,1128,1
23,2760,1
7,77,1
12,852,1
7,119,1
12,3732,1
6,78,1
11,451,1
10,90,1
7,287,1
9,819,1
8,56,1
10,720,1
13,4043,1
8,592,1
11,660,1
9,909,1
8,264,1
9,963,1
6,102,1
8,336,1
8,136,1
10,250,1
7,112,1
7,91,1
10,520,1
6,66,1
15,6285,1
8,344,1
7,91,1
5,85,1
9,1089,1
10,780,1
9,324,1
9,567,1
7,1386,1
10,940,1
7,490,1
9,189,1
6,480,1
8,64,1
8,1720,1
15,4410,1
14,5838,1
18,1422,1
13,1911,1
7,504,1
6,582,1
6,354,1
7,63,1
13,845,1
5,155,1
9,306,1
8,1184,1
9,882,1
10,160,1
4,68,1
9,594,1
9,738,1
9,207,1
10,170,1
7,91,1
7,49,1
7,1001,1
7,161,1
13,325,1
11,1375,1
8,280,1
8,120,1
9,324,1
7,231,1
13,5382,1
9,351,1
9,207,1
8,72,1
26,10712,1
13,4875,1
7,28,1
6,108,1
11,231,1
5,195,1
8,152,1
7,49,1
7,287,1
7,784,1
9,288,1
12,1404,1
10,440,1
5,315,1
11,319,1
9,738,1
9,684,1
7,42,1
8,112,1
8,1672,1
12,276,1
10,1300,1
5,70,1
11,440,1
11,2981,1
11,99,1
11,572,1
9,441,1
7,112,1
7,147,1
8,264,1
7,245,1
7,91,1
8,64,1
7,77,1
8,200,1
9,225,1
11,220,1
8,640,1
7,287,1
10,120,1
9,1215,1
9,216,1
6,270,1
3,27,1
12,396,1
11,1078,1
9,891,1
6,576,1
7,133,1
10,540,1
16,6672,1
7,945,1
10,630,1
9,513,1
7,301,1
24,4464,1
5,155,1
7,287,1
9,675,1
9,423,1
10,170,1
8,560,1
6,192,1
10,340,1
7,56,1
9,1647,1
3,9,1
10,190,1
6,24,1
9,72,1
8,104,1
15,435,1
10,670,1
7,182,1
10,1230,1
7,770,1
10,1970,1
9,1818,1
1,104,1
8,288,1
9,243,1
7,98,1
1,167,1
15,4500,1
9,4410,1
8,400,1
8,232,1
11,1111,1
8,512,1
10,120,1
7,301,1
12,1536,1
7,182,1
10,960,1
9,45,1
7,28,1
5,55,1
7,826,1
1,13,1
7,126,1
9,171,1
9,351,1
17,323,1
6,144,1
4,16,1
9,99,1
13,2613,1
6,582,1
10,840,1
9,333,1
9,315,1
7,2135,1
12,276,1
9,585,1
5,35,1
9,756,1
9,189,1
17,2907,1
6,60,1
7,28,1
9,477,1
14,5194,1
11,1001,1
14,1750,1
8,4064,1
9,369,1
8,1712,1
6,90,1
8,120,1
10,880,1
10,1550,1
8,72,1
7,49,1
8,520,1
7,238,1
8,104,1
9,3384,1
9,414,1
7,91,1
9,756,1
7,3633,1
7,140,1
6,18,1
7,28,1
8,1304,1
13,1105,1
7,315,1
13,2769,1
7,56,1
8,208,1
7,238,1
9,621,1
7,91,1
6,24,1
1,12,1
6,126,1
8,816,1
8,872,1
19,228,1
8,896,1
5,20,1
8,144,1
10,2710,1
9,126,1
8,152,1
5,345,1
9,2754,1
12,516,1
9,1512,1
12,804,1
25,11775,1
10,120,1
10,1190,1
9,1107,1
7,98,1
9,1449,1
7,63,1
8,136,1
16,1472,1
11,2882,1
7,126,1
8,120,1
9,765,1
10,380,1
10,150,1
10,420,1
7,679,1
10,2610,1
9,180,1
10,1410,1
10,380,1
9,2412,1
7,133,1
8,80,1
8,40,1
8,208,1
9,2196,1
7,336,1
8,176,1
5,35,1
10,660,1
6,48,1
7,105,1
12,480,1
7,357,1
14,5586,1
16,6016,1
10,220,1
6,42,1
9,1044,1
8,96,1
9,2745,1
7,161,1
6,234,1
10,640,1
9,1395,1
10,250,1
8,504,1
6,102,1
9,396,1
9,2205,1
8,128,1
9,333,1
7,98,1
10,630,1
8,632,1
12,96,1
11,4037,1
9,1107,1
5,410,1
5,470,1
10,1310,1
10,270,1
8,1864,1
6,108,1
8,664,1
6,570,1
5,25,1
3,12,1
5,195,1
7,98,1
9,261,1
8,464,1
1,118,1
6,48,1
9,81,1
9,4572,1
9,288,1
5,35,1
13,2964,1
8,560,1
11,1672,1
7,1015,1
10,310,1
5,290,1
8,424,1
6,48,1
8,232,1
3,12,1
9,2412,1
11,2871,1
7,210,1
8,168,1
14,5138,1
9,1494,1
7,336,1
8,256,1
11,132,1
9,72,1
9,2349,1
9,171,1
8,48,1
7,252,1
11,99,1
25,1775,1
7,1344,1
7,1148,1
6,174,1
10,80,1
8,120,1
25,7275,1
8,120,1
7,1183,1
10,3160,1
8,72,1
8,1440,1
10,490,1
12,5976,1
10,2710,1
8,104,1
7,266,1
8,320,1
7,105,1
2,34,1
8,224,1
7,217,1
10,5080,1
7,861,1
8,120,1
10,300,1
8,640,1
7,217,1
10,1260,1
7,126,1
11,2343,1
33,5940,1
7,105,1
9,774,1
8,96,1
7,126,1
5,35,1
10,2620,1
8,40,1
15,2070,1
9,540,1
10,800,1
5,35,1
9,2430,1
14,70,1
7,721,1
9,1467,1
7,161,1
10,110,1
4,72,1
9,1332,1
12,516,1
7,105,1
10,380,1
8,112,1
7,63,1
9,450,1
10,2500,1
7,273,1
10,830,1
8,192,1
9,972,1
24,1536,1
11,814,1
6,198,1
9,81,1
4,76,1
5,15,1
13,2067,1
7,98,1
8,96,1
5,90,1
9,4824,1
9,189,1
5,495,1
10,1070,1
10,250,1
19,247,1
7,42,1
10,160,1
7,140,1
9,4428,1
12,312,1
10,90,1
8,744,1
10,170,1
10,170,1
19,532,1
8,136,1
8,96,1
10,370,1
7,266,1
9,432,1
8,2176,1
11,121,1
5,230,1
7,98,1
5,100,1
7,847,1
9,2979,1
7,77,1
9,288,1
8,240,1
8,128,1
11,682,1
8,160,1
15,4020,1
7,77,1
10,190,1
10,930,1
9,747,1
9,1089,1
7,336,1
9,972,1
8,192,1
7,126,1
8,2720,1
11,913,1
38,15580,1
7,77,1
9,1629,1
8,488,1
5,280,1
6,96,1
7,56,1
8,32,1
9,108,1
6,42,1
24,2976,1
9,2025,1
7,441,1
10,2590,1
8,128,1
8,200,1
8,112,1
8,608,1
10,120,1
10,170,1
11,2706,1
14,812,1
5,215,1
9,2160,1
11,660,1
9,828,1
11,2013,1
9,72,1
11,88,1
8,2472,1
13,1794,1
12,3984,1
7,91,1
8,48,1
6,570,1
9,1188,1
11,2035,1
10,2930,1
8,88,1
11,627,1
7,252,1
9,207,1
8,24,1
8,352,1
9,486,1
7,238,1
10,90,1
11,385,1
4,72,1
4,16,1
9,531,1
8,112,1
7,189,1
10,2720,1
10,5100,1
7,602,1
10,220,1
9,189,1
8,32,1
9,927,1
8,184,1
11,1705,1
9,981,1
7,112,1
9,873,1
8,312,1
4,392,1
9,306,1
5,35,1
8,168,1
6,156,1
5,115,1
12,3624,1
6,570,1
5,145,1
9,972,1
6,192,1
9,747,1
25,4650,1
12,156,1
7,294,1
8,96,1
7,392,1
9,738,1
7,147,1
8,96,1
9,1170,1
9,171,1
11,1111,1
8,184,1
13,4901,1
12,3252,1
10,540,1
6,84,1
9,4815,1
8,136,1
8,640,1
10,300,1
8,320,1
10,230,1
8,152,1
5,100,1
10,2580,1
7,105,1
9,918,1
8,280,1
7,56,1
11,242,1
10,350,1
7,98,1
9,351,1
9,4392,1
10,300,1
10,190,1
7,56,1
5,55,1
9,4824,1
10,1300,1
9,747,1
8,144,1
10,190,1
5,70,1
9,153,1
25,7300,1
13,6474,1
10,520,1
10,530,1
1,35,1
12,3840,1
7,735,1
9,126,1
10,2420,1
9,117,1
10,1770,1
8,128,1
7,105,1
7,91,1
8,352,1
10,2340,1
7,126,1
7,861,1
6,24,1
5,25,1
5,195,1
7,385,1
5,45,1
7,112,1
5,70,1
7,77,1
6,360,1
8,136,1
10,640,1
5,140,1
7,91,1
7,329,1
6,72,1
11,550,1
11,143,1
9,360,1
9,963,1
6,576,1
8,1584,1
7,1715,1
10,120,1
9,45,1
9,378,1
25,4675,1
1,12,1
11,1925,1
9,342,1
9,405,1
9,963,1
8,192,1
11,935,1
10,330,1
7,707,1
10,380,1
6,576,1
2,42,1
18,3024,1
10,220,1
9,324,1
8,64,1
6,66,1
8,384,1
5,180,1
10,100,1
12,504,1
19,2337,1
16,5632,1
24,7416,1
9,774,1
5,150,1
6,78,1
8,208,1
10,160,1
5,15,1
9,1521,1
7,700,1
10,190,1
2,38,1
8,120,1
8,72,1
11,2024,1
11,1265,1
8,64,1
8,320,1
8,96,1
7,1834,1
7,931,1
21,2226,1
8,160,1
8,144,1
10,640,1
7,105,1
7,203,1
23,5727,1
8,400,1
11,4763,1
8,552,1
9,243,1
8,664,1
8,72,1
7,1092,1
6,120,1
8,56,1
8,176,1
5,45,1
7,119,1
6,342,1
8,112,1
11,77,1
7,532,1
7,378,1
7,217,1
12,480,1
11,594,1
7,364,1
5,175,1
11,3322,1
9,2448,1
8,296,1
6,54,1
11,671,1
8,608,1
7,154,1
12,3252,1
7,266,1
8,64,1
8,72,1
7,133,1
9,1683,1
9,738,1
5,160,1
5,215,1
8,880,1
11,627,1
10,1030,1
11,1034,1
18,432,1
8,400,1
7,812,1
8,312,1
11,1144,1
7,98,1
13,5304,1
5,130,1
7,42,1
6,174,1
11,88,1
9,378,1
9,1521,1
6,156,1
5,10,1
7,133,1
5,100,1
16,3888,1
11,220,1
9,315,1
8,96,1
10,510,1
1,14,1
9,891,1
11,946,1
8,216,1
8,1296,1
10,2710,1
11,1111,1
14,5880,1
2,138,1
10,190,1
6,90,1
11,99,1
8,184,1
7,1225,1
15,165,1
7,1281,1
8,664,1
10,5040,1
9,234,1
5,60,1
10,790,1
1,60,1
11,88,1
8,168,1
9,288,1
8,136,1
7,217,1
7,98,1
8,912,1
7,945,1
9,2520,1
7,735,1
9,549,1
10,190,1
9,819,1
9,90,1
10,1450,1
12,96,1
6,78,1
8,216,1
10,220,1
16,1792,1
9,1629,1
9,738,1
11,99,1
9,324,1
9,819,1
9,738,1
8,344,1
8,120,1
8,128,1
9,531,1
7,189,1
6,576,1
10,130,1
6,576,1
10,2560,1
9,918,1
8,960,1
14,4214,1
7,91,1
9,873,1
9,1170,1
8,1008,1
8,80,1
9,918,1
13,494,1
6,234,1
7,245,1
8,872,1
10,390,1
12,5964,1
9,81,1
7,679,1
9,441,1
7,133,1
8,264,1
7,1701,1
9,441,1
11,957,1
9,108,1
8,96,1
7,301,1
8,384,1
7,203,1
9,261,1
11,1122,1
7,63,1
11,594,1
10,190,1
8,208,1
8,264,1
8,112,1
14,252,1
14,2100,1
7,217,1
10,540,1
9,3177,1
5,60,1
8,552,1
10,200,1
10,450,1
7,1330,1
5,35,1
8,304,1
10,110,1
8,1184,1
10,150,1
8,1936,1
9,1143,1
10,400,1
8,136,1
11,88,1
11,418,1
13,5499,1
8,208,1
7,1792,1
7,14,1
11,363,1
8,312,1
8,80,1
9,369,1
9,333,1
8,96,1
12,576,1
8,856,1
12,2592,1
1,91,1
8,1296,1
7,140,1
4,112,1
9,963,1
8,248,1
7,245,1
9,45,1
7,189,1
8,96,1
14,4760,1
5,20,1
7,98,1
5,480,1
10,600,1
8,56,1
7,28,1
7,455,1
7,315,1
10,270,1
1,49,1
10,400,1
8,704,1
9,2412,1
10,280,1
11,2882,1
7,343,1
8,4088,1
6,168,1
5,55,1
25,12350,1
7,987,1
9,4662,1
9,306,1
8,80,1
9,747,1
6,36,1
21,273,1
10,70,1
10,190,1
16,3280,1
7,266,1
6,108,1
12,1176,1
11,682,1
11,1078,1
6,42,1
9,342,1
10,230,1
23,2852,1
9,108,1
7,2422,1
7,91,1
8,80,1
9,945,1
13,5733,1
10,2630,1
7,700,1
8,328,1
5,45,1
22,1034,1
10,70,1
9,2079,1
8,104,1
24,2880,1
7,329,1
14,4760,1
13,1001,1
16,2928,1
8,672,1
10,380,1
9,585,1
12,96,1
7,119,1
9,495,1
7,112,1
9,180,1
6,78,1
7,182,1
7,1386,1
7,308,1
24,2376,1
8,112,1
10,1080,1
8,1112,1
8,80,1
8,312,1
5,150,1
11,396,1
7,84,1
8,200,1
7,105,1
24,3192,1
17,1870,1
12,672,1
1,95,1
11,242,1
9,4815,1
8,144,1
7,462,1
8,120,1
6,576,1
6,192,1
8,496,1
7,525,1
8,96,1
13,871,1
5,30,1
10,520,1
41,2747,1
6,300,1
20,600,1
12,4920,1
9,1620,1
10,70,1
8,200,1
77,18865,1
5,30,1
4,32,1
10,2710,1
9,2232,1
9,2475,1
10,1520,1
11,1452,1
10,2490,1
7,189,1
10,1550,1
6,84,1
9,1629,1
7,371,1
28,3836,1
10,980,1
7,91,1
9,2556,1
38,2622,1
5,120,1
6,600,1
11,1353,1
7,686,1
6,486,1
8,96,1
9,2412,1
9,4815,1
7,231,1
7,119,1
6,372,1
10,230,1
7,140,1
9,288,1
10,3270,1
6,576,1
7,49,1
7,70,1
22,1562,1
19,855,1
10,490,1
9,1413,1
12,264,1
8,1296,1
9,63,1
10,790,1
12,1548,1
8,344,1
9,720,1
8,8,1
10,200,1
10,840,1
7,483,1
10,5110,1
6,102,1
10,180,1
2,12,1
9,117,1
7,56,1
4,72,1
7,77,1
11,1771,1
6,156,1
7,448,1
10,80,1
15,810,1
5,490,1
12,312,1
16,6480,1
7,1491,1
5,70,1
12,1020,1
6,60,1
10,320,1
8,376,1
10,190,1
9,2142,1
6,114,1
10,1710,1
6,600,1
9,180,1
8,128,1
7,77,1
8,368,1
7,63,1
9,576,1
7,63,1
6,66,1
7,56,1
9,495,1
12,1392,1
7,560,1
8,656,1
9,351,1
10,350,1
17,1666,1
10,370,1
8,2392,1
9,378,1
10,800,1
8,64,1
71,2414,1
7,175,1
9,297,1
7,77,1
11,297,1
8,192,1
7,378,1
14,3710,1
10,5340,1
1,18,1
11,374,1
8,48,1
7,217,1
7,700,1
9,324,1
8,336,1
8,104,1
6,36,1
7,28,1
11,99,1
9,738,1
8,168,1
10,180,1
7,189,1
8,440,1
10,100,1
7,91,1
14,2590,1
7,560,1
7,77,1
10,570,1
9,135,1
8,96,1
5,70,1
7,63,1
8,1536,1
11,1133,1
5,80,1
6,42,1
8,136,1
1,32,1
9,882,1
11,220,1
13,481,1
10,130,1
9,2439,1
6,138,1
9,369,1
6,24,1
9,2241,1
6,180,1
9,297,1
8,216,1
10,410,1
1,263,1
7,49,1
8,168,1
8,48,1
12,3264,1
10,420,1
5,30,1
13,2925,1
8,384,1
9,2979,1
5,85,1
9,4806,1
10,400,1
10,80,1
11,1078,1
7,126,1
8,96,1
9,2754,1
8,2048,1
9,270,1
14,4760,1
1,40,1
11,1078,1
5,70,1
7,168,1
9,108,1
11,4158,1
7,217,1
8,656,1
9,891,1
5,215,1
9,333,1
7,637,1
12,852,1
24,4488,1
9,4590,1
5,135,1
9,468,1
9,927,1
8,56,1
10,1010,1
10,1190,1
9,333,1
9,882,1
7,119,1
8,104,1
7,322,1
8,936,1
3,9,1
5,480,1
10,150,1
7,259,1
6,300,1
10,4300,1
8,16,1
6,534,1
10,760,1
13,572,1
8,168,1
8,368,1
6,486,1
6,300,1
17,6494,1
9,891,1
10,5090,1
7,315,1
8,320,1
6,168,1
9,684,1
16,5504,1
8,96,1
23,3036,1
7,28,1
6,48,1
8,152,1
10,330,1
8,56,1
10,360,1
9,1350,1
8,32,1
9,171,1
5,150,1
8,352,1
6,492,1
7,91,1
9,63,1
8,952,1
8,112,1
5,20,1
7,119,1
6,498,1
7,875,1
12,1260,1
8,208,1
9,837,1
7,245,1
10,1440,1
8,288,1
9,4815,1
10,330,1
10,390,1
10,180,1
10,370,1
9,738,1
9,414,1
5,25,1
10,370,1
8,864,1
6,408,1
6,78,1
9,2979,1
7,287,1
9,909,1
8,600,1
8,80,1
1,9,1
17,408,1
10,350,1
9,1395,1
38,12996,1
11,253,1
9,4599,1
24,5016,1
11,924,1
8,264,1
12,1224,1
14,4466,1
9,108,1
38,1976,1
10,660,1
10,970,1
9,4113,1
12,804,1
7,553,1
6,24,1
8,2200,1
8,224,1
11,462,1
7,77,1
11,242,1
8,768,1
14,2842,1
10,190,1
9,4185,1
7,112,1
7,98,1
7,21,1
11,88,1
9,2565,1
13,4381,1
7,210,1
9,747,1
9,1530,1
7,140,1
8,56,1
5,60,1
10,1260,1
8,328,1
8,328,1
9,4572,1
12,1404,1
6,576,1
8,2168,1
10,4740,1
9,81,1
11,1298,1
12,2100,1
8,656,1
5,95,1
9,1107,1
5,440,1
11,1969,1
6,576,1
7,1036,1
8,176,1
7,119,1
8,128,1
25,4650,1
10,1810,1
9,387,1
6,198,1
8,112,1
9,189,1
10,5110,1
7,49,1
8,120,1
8,672,1
12,864,1
8,272,1
6,606,1
13,689,1
4,396,1
14,3178,1
7,84,1
7,49,1
8,320,1
7,77,1
6,114,1
2,38,1
20,780,1
10,200,1
9,756,1
14,3542,1
12,696,1
16,3632,1
11,979,1
8,1216,1
3,312,1
1,42,1
9,162,1
8,456,1
7,189,1
6,294,1
9,981,1
14,5908,1
9,1116,1
8,512,1
25,4625,1
9,4815,1
9,972,1
10,340,1
1,74,1
11,88,1
9,396,1
11,1309,1
10,250,1
9,1971,1
1,99,1
13,1352,1
24,11232,1
10,330,1
6,156,1
10,450,1
8,384,1
10,220,1
9,918,1
7,35,1
8,96,1
6,216,1
10,1300,1
14,5026,1
9,1359,1
11,5621,1
10,190,1
8,80,1
10,350,1
7,357,1
10,400,1
9,423,1
7,812,1
10,870,1
8,2176,1
7,105,1
24,2808,1
9,360,1
8,456,1
25,2875,1
14,5866,1
8,1464,1
9,2556,1
8,600,1
7,91,1
9,1125,1
5,35,1
11,132,1
8,112,1
8,208,1
9,324,1
8,96,1
8,112,1
10,160,1
6,30,1
7,147,1
7,49,1
27,8640,1
9,144,1
25,4950,1
7,147,1
9,477,1
10,2620,1
9,819,1
8,200,1
9,1395,1
7,168,1
7,182,1
7,42,1
10,1000,1
5,230,1
9,306,1
8,432,1
6,174,1
5,70,1
5,445,1
10,330,1
13,5629,1
6,66,1
7,77,1
8,760,1
7,140,1
6,48,1
10,250,1
9,405,1
9,153,1
8,2240,1
8,336,1
10,530,1
10,2720,1
8,40,1
8,96,1
12,3420,1
6,42,1
7,161,1
8,56,1
11,1606,1
9,135,1
10,310,1
10,260,1
17,4522,1
5,50,1
7,126,1
10,1700,1
11,165,1
11,1716,1
10,310,1
7,518,1
7,91,1
7,3647,1
22,1562,1
8,1048,1
5,135,1
12,1212,1
12,528,1
9,189,1
9,882,1
6,72,1
7,91,1
8,192,1
7,140,1
10,1150,1
4,16,1
6,168,1
9,261,1
12,132,1
5,80,1
7,168,1
11,88,1
7,42,1
9,423,1
7,42,1
2,208,1
9,153,1
10,2620,1
9,2376,1
9,774,1
6,60,1
6,78,1
3,12,1
10,580,1
9,162,1
10,1210,1
8,112,1
9,180,1
15,2040,1
8,72,1
1,45,1
7,63,1
11,1122,1
6,240,1
5,55,1
11,693,1
7,287,1
8,160,1
8,824,1
8,1496,1
9,927,1
25,12375,1
11,88,1
7,84,1
8,48,1
7,224,1
7,42,1
8,80,1
6,354,1
8,424,1
10,490,1
8,208,1
8,320,1
22,1474,1
12,516,1
7,98,1
7,140,1
7,245,1
11,1298,1
11,1111,1
6,102,1
9,2502,1
7,371,1
7,77,1
7,35,1
8,160,1
10,2710,1
8,120,1
6,102,1
8,88,1
8,504,1
11,704,1
6,582,1
7,84,1
9,288,1
23,2714,1
8,480,1
5,75,1
10,3230,1
8,432,1
7,637,1
7,378,1
9,1359,1
10,130,1
7,294,1
8,136,1
7,497,1
11,946,1
16,2896,1
8,168,1
11,2596,1
10,2720,1
8,256,1
4,56,1
11,1298,1
7,112,1
11,352,1
7,63,1
9,2376,1
5,215,1
12,864,1
8,544,1
9,108,1
8,128,1
8,1200,1
12,84,1
9,729,1
9,4815,1
7,1512,1
9,1665,1
9,396,1
17,6766,1
10,800,1
9,1143,1
6,42,1
14,5180,1
9,1377,1
8,360,1
9,1440,1
12,852,1
24,8064,1
8,992,1
7,77,1
8,1464,1
5,200,1
6,78,1
5,195,1
7,77,1
5,30,1
7,175,1
6,564,1
10,5110,1
9,963,1
8,184,1
6,576,1
8,256,1
8,4256,1
8,192,1
9,2331,1
14,3766,1
8,1056,1
12,1248,1
16,5456,1
6,78,1
9,333,1
10,510,1
9,4572,1
9,4806,1
8,120,1
2,104,1
7,91,1
6,108,1
6,96,1
6,24,1
8,1440,1
1,249,1
5,65,1
8,592,1
10,380,1
8,32,1
10,860,1
11,770,1
7,56,1
8,144,1
10,990,1
7,91,1
7,84,1
4,356,1
10,2690,1
9,963,1
13,4537,1
6,1104,1
6,42,1
18,396,1
8,568,1
10,980,1
10,90,1
7,217,1
9,216,1
8,152,1
9,189,1
14,5208,1
9,2826,1
5,30,1
8,208,1
9,405,1
7,266,1
7,154,1
8,96,1
10,1000,1
4,380,1
13,3861,1
10,80,1
5,30,1
9,999,1
7,77,1
5,1015,1
5,110,1
12,4848,1
8,240,1
6,426,1
9,180,1
11,1298,1
24,4272,1
8,96,1
7,1106,1
8,208,1
9,567,1
9,747,1
6,102,1
10,410,1
1,47,1
10,1510,1
4,176,1
10,200,1
11,462,1
10,970,1
8,200,1
10,820,1
8,224,1
8,504,1
10,1260,1
9,4815,1
10,3180,1
9,315,1
7,203,1
4,188,1
8,96,1
8,248,1
9,558,1
7,77,1
8,736,1
8,96,1
8,216,1
10,1830,1
9,4815,1
7,672,1
9,108,1
10,670,1
5,460,1
6,60,1
9,837,1
7,140,1
9,864,1
6,162,1
6,270,1
10,120,1
9,108,1
10,260,1
4,68,1
13,1378,1
8,384,1
8,208,1
8,200,1
10,230,1
10,160,1
8,552,1
7,301,1
17,187,1
6,42,1
7,91,1
9,423,1
9,81,1
7,84,1
8,64,1
6,78,1
28,896,1
5,160,1
9,369,1
9,405,1
7,168,1
11,473,1
8,360,1
8,248,1
10,510,1
8,192,1
9,378,1
7,98,1
8,1160,1
7,63,1
8,216,1
6,132,1
8,112,1
7,98,1
8,1720,1
10,100,1
16,6528,1
7,469,1
12,3192,1
11,1617,1
10,100,1
6,48,1
