@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R3-5,10-11'

@attribute Area numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
78,2.167,0.308,15,1
120,1.2,0.225,10,1
580,5.8,0.081,29,1
657,8.111,0.174,79,1
162,2,0.278,27,1
189,2.333,0.243,35,1
85,3.4,0.412,20,1
133,2.714,0.331,31,1
210,4.286,0.352,48,1
414,5.111,0.242,70,1
378,7.714,0.254,69,1
56,1.143,0.375,13,1
36,1,0.417,10,1
161,3.286,0.329,38,1
88,1.375,0.25,17,1
105,2.143,0.229,17,1
119,2.429,0.286,26,1
91,1.857,0.297,23,1
49,1,0.245,7,1
217,4.429,0.313,43,1
55,2.2,0.455,15,1
522,6.444,0.203,79,1
171,2.111,0.222,29,1
200,3.125,0.285,42,1
161,3.286,0.329,32,1
91,1.857,0.308,17,1
120,4.8,0.375,31,1
70,1.429,0.329,13,1
224,4.571,0.277,44,1
217,4.429,0.318,51,1
130,1.3,0.231,17,1
77,1.571,0.299,14,1
78,2.167,0.269,14,1
63,1.286,0.238,10,1
84,1.714,0.357,18,1
98,2,0.408,23,1
144,4,0.292,31,1
266,5.429,0.286,45,1
99,1.222,0.253,13,1
180,5,0.311,46,1
252,5.143,0.278,56,1
42,0.857,0.333,8,1
119,2.429,0.311,24,1
294,6,0.235,52,1
32,0.5,0.25,1,1
238,4.857,0.298,54,1
77,1.571,0.39,17,1
518,10.571,0.276,91,1
114,3.167,0.333,30,1
585,7.222,0.265,93,1
77,1.571,0.377,20,1
66,1.833,0.379,15,1
49,1,0.347,12,1
215,8.6,0.456,69,1
30,1.2,0.433,8,1
1413,17.444,0.222,198,1
96,2.667,0.354,23,1
20,0.8,0.45,3,1
432,5.333,0.227,69,1
210,4.286,0.324,44,1
217,4.429,0.281,39,1
175,3.571,0.371,40,1
153,1.889,0.307,34,1
266,5.429,0.252,48,1
2358,29.111,0.209,356,1
114,3.167,0.316,20,1
328,5.125,0.21,48,1
126,1.556,0.238,22,1
98,2,0.337,17,1
144,1.778,0.215,20,1
117,1.444,0.308,21,1
222,6.167,0.306,48,1
45,1.8,0.444,14,1
63,0.778,0.286,9,1
217,4.429,0.313,45,1
477,5.889,0.218,84,1
261,3.222,0.188,33,1
120,1.875,0.467,25,1
330,3.3,0.321,43,1
48,0.75,0.458,8,1
64,0.25,0.156,2,5
72,1.125,0.458,11,1
344,5.375,0.398,57,1
104,1.625,0.423,25,1
333,4.111,0.3,50,1
56,0.875,0.375,10,1
790,7.9,0.324,117,1
108,0.148,0.333,14,4
322,6.571,0.177,7,2
144,1.778,0.375,26,1
506,4.182,0.283,79,1
819,10.111,0.32,119,1
190,1.9,0.379,34,1
108,3,0.5,22,1
135,1.667,0.407,24,1
78,2.167,0.103,2,5
234,2.889,0.385,48,1
84,2.333,0.571,20,1
924,7.636,0.279,110,1
2992,24.727,0.275,392,1
272,4.25,0.426,63,1
280,2.8,0.375,45,1
408,6.375,0.37,69,1
288,4.5,0.427,60,1
182,3.714,0.445,36,1
180,2.222,0.361,28,1
576,7.111,0.345,87,1
561,4.636,0.294,80,1
660,5.455,0.32,105,1
96,1.5,0.438,22,1
260,2.6,0.296,35,1
180,1.8,0.383,30,1
2343,19.364,0.264,317,1
1056,8.727,0.277,160,1
610,6.1,0.305,94,1
520,5.2,0.319,89,1
370,3.7,0.324,65,1
64,1,0.359,15,1
96,1.5,0.396,23,1
216,3.375,0.343,42,1
416,6.5,0.325,77,1
180,1.8,0.294,28,1
512,8,0.385,102,1
126,3.5,0.246,1,2
240,3.75,0.354,42,1
72,2,0.486,16,1
1694,14,0.187,163,1
70,0.7,0.314,12,1
100,1,0.35,18,1
300,3,0.33,52,1
140,2.857,0.4,30,1
32,0.5,0.469,4,1
312,4.875,0.378,72,1
70,2.8,0.329,9,1
390,3.9,0.295,55,1
610,6.1,0.333,110,1
310,3.1,0.316,59,1
160,2.5,0.406,35,1
96,1.5,0.406,25,1
290,2.9,0.303,42,1
248,3.875,0.351,44,1
96,1.5,0.396,20,1
280,2.8,0.311,49,1
120,1.875,0.475,24,1
156,4.333,0.423,28,1
568,8.875,0.289,100,1
160,1.6,0.338,26,1
175,3.571,0.354,29,1
128,2,0.383,21,1
20,0.8,0.7,6,1
112,1.75,0.509,19,1
160,2.5,0.363,30,1
272,4.25,0.357,52,1
240,3.75,0.342,41,1
72,1.125,0.361,12,1
801,9.889,0.3,110,1
128,2,0.422,29,1
96,1.5,0.417,23,1
2620,26.2,0.281,390,1
98,2,0.5,18,1
530,5.3,0.294,89,1
640,10,0.347,127,1
261,3.222,0.318,48,1
2882,23.818,0.242,364,1
104,1.625,0.365,23,1
162,2,0.327,29,1
200,3.125,0.38,42,1
42,1.167,0.5,12,1
344,5.375,0.34,64,1
112,2.286,0.438,24,1
370,3.7,0.33,61,1
410,4.1,0.266,55,1
315,6.429,0.381,54,1
128,2,0.406,31,1
98,2,0.408,16,1
126,2.571,0.413,28,1
232,3.625,0.341,41,1
368,5.75,0.356,73,1
21,0.429,0.571,3,1
112,2.286,0.42,24,1
192,5.333,0.286,39,1
1188,14.667,0.168,149,1
91,1.857,0.242,15,1
2412,29.778,0.183,341,1
72,2,0.278,9,1
4185,51.667,0.157,532,1
89,89,0.191,16,1
72,2,0.292,13,1
3087,38.111,0.162,401,1
4572,56.444,0.164,614,1
4662,57.556,0.096,360,1
1800,2,0.154,150,5
880,13.75,0.23,122,1
2448,30.222,0.137,252,1
2475,30.556,0.202,359,1
4172,21.286,0.207,247,1
664,10.375,0.404,104,1
2200,34.375,0.209,351,1
4572,56.444,0.184,640,1
2192,34.25,0.15,244,1
4990,49.9,0.147,575,1
496,7.75,0.296,81,1
981,12.111,0.219,129,1
664,10.375,0.437,115,1
3141,38.778,0.125,306,1
12350,19.76,0.462,776,1
896,1.143,0.488,62,3
2392,37.375,0.186,338,1
664,10.375,0.393,108,1
214,214,1,1,2
2520,31.111,0.165,336,1
413,8.429,0.15,45,1
434,8.857,0.189,64,1
3180,31.8,0.128,344,1
945,11.667,0.334,144,1
1076,269,0.637,23,2
1760,17.6,0.181,235,1
3090,30.9,0.2,441,1
5110,51.1,0.161,575,1
4875,28.846,0.154,521,1
120,1.875,0.317,19,1
120,1.875,0.283,15,1
912,14.25,0.116,73,1
494,2.923,0.324,42,1
4248,7.375,0.514,272,1
738,9.111,0.383,108,1
1494,18.444,0.386,195,1
4650,7.44,0.456,263,1
1629,20.111,0.369,201,1
1548,19.111,0.167,202,1
3177,39.222,0.187,411,1
1296,16,0.123,120,1
891,11,0.21,135,1
1074,268.5,0.523,9,2
1476,18.222,0.189,221,1
2184,34.125,0.215,369,1
792,12.375,0.211,113,1
1720,26.875,0.367,243,1
4113,50.778,0.173,555,1
1176,24,0.081,83,1
2934,36.222,0.171,385,1
786,21.833,0.106,60,1
104,104,0.192,19,1
54,0.019,1,1,4
550,5.5,0.678,59,1
1620,16.2,0.454,124,1
11,11,1,1,2
180,1.8,0.55,13,1
2035,16.818,0.356,246,1
4446,26.308,0.231,477,1
78,2.167,0.346,8,1
379,379,0.963,6,2
500,5,0.602,54,1
800,8,0.275,56,1
3025,25,0.287,307,1
252,5.143,0.567,57,1
15,15,0.733,3,2
1128,17.625,0.447,206,1
8064,14,0.898,455,1
7,0.143,1,1,2
72204,4.144,0.37,1292,3
32,32,0.438,7,1
1550,15.5,0.314,184,1
39,39,0.308,7,2
2976,5.167,0.902,161,1
190,1.9,0.568,11,1
6285,27.933,0.345,482,1
19278,6.611,0.324,1003,5
747,9.222,0.391,91,1
10,0.1,1,1,4
1802,6.235,0.927,115,1
4522,15.647,0.921,325,1
153,1.889,0.627,15,1
193,193,0.57,37,2
400,6.25,0.528,70,1
1540,15.4,0.315,192,1
2400,24,0.383,334,1
5866,29.929,0.373,485,1
171,2.111,0.62,14,1
4466,22.786,0.37,364,1
324,9,0.549,53,1
9,0.111,1,1,4
32,32,0.469,8,2
4763,39.364,0.449,460,1
5880,30,0.376,449,1
4752,8.25,0.911,274,1
2250,27.778,0.366,317,1
4080,7.083,0.931,223,1
190,1.9,0.611,13,1
5950,20.588,0.363,414,1
3192,22.167,0.338,397,1
2896,11.313,0.4,227,1
553,11.286,0.566,88,1
1550,15.5,0.332,208,1
702,8.667,0.464,98,1
770,6.364,0.381,83,1
852,5.917,0.608,81,1
7416,12.875,0.921,390,1
5392,21.063,0.363,377,1
3392,13.25,0.376,222,1
1272,141.33,0.537,5,1
87234,2.522,0.378,1481,3
1395,17.222,0.346,198,1
3151,5.957,0.855,162,1
957,7.909,0.319,115,1
1395,17.222,0.376,207,1
14,14,0.5,3,2
2310,10.267,0.423,167,1
2592,18,0.507,248,1
6851,23.706,0.349,440,1
4158,34.364,0.33,465,1
1350,16.667,0.284,218,1
104,1.625,0.635,8,1
560,11.429,0.361,124,1
1048,16.375,0.246,177,1
1648,25.75,0.236,237,1
1848,28.875,0.228,257,1
76,4.75,0.421,18,1
374,1.294,0.425,34,1
945,19.286,0.156,120,1
936,14.625,0.173,125,1
126,3.5,0.198,15,4
124,7.75,0.419,33,1
558,15.5,0.238,78,1
18,18,0.389,2,1
3230,32.3,0.198,465,1
2384,37.25,0.242,383,1
3190,31.9,0.239,458,1
576,16,0.297,76,1
576,16,0.302,79,1
582,16.167,0.266,85,1
3030,30.3,0.179,410,1
276,17.25,0.377,57,1
32,0.031,1,1,4
342,4.222,0.377,47,1
1440,17.778,0.215,196,1
960,15,0.25,145,1
35,35,0.429,14,1
217,4.429,0.336,48,1
63,63,0.952,3,2
735,15,0.256,111,1
371,7.571,0.089,22,1
675,8.333,0.194,90,1
552,8.625,0.261,98,1
47,47,0.34,14,1
234,6.5,0.226,32,1
136,2.125,0.228,21,1
1440,22.5,0.213,220,1
280,5.714,0.25,44,1
672,13.714,0.271,118,1
756,15.429,0.362,130,1
184,184,0.967,4,2
1650,183.33,0.329,20,2
180,1.8,0.289,20,1
242,2,0.281,35,1
230,2.3,0.313,30,1
1389,154.33,0.296,30,2
162,2,0.309,19,1
8,8,1,1,2
2834,16.769,0.216,344,1
25,1,0.72,1,1
872,13.625,0.271,129,1
2799,34.556,0.163,340,1
104,26,0.231,16,2
26386,1.057,0.16,511,5
1629,20.111,0.217,213,1
301,6.143,0.219,52,1
528,4.364,0.237,17,5
2079,25.667,0.196,274,1
595,12.143,0.192,88,1
172,172,0.465,77,2
665,13.571,0.268,114,1
602,12.286,0.281,109,1
420,8.571,0.286,80,1
720,11.25,0.207,97,1
95,3.8,0.211,15,1
861,17.571,0.139,95,1
445,17.8,0.169,66,1
60,2.4,0.2,6,1
224,3.5,0.438,5,1
100,1,0.56,14,1
138,138,1,1,2
261,3.222,0.31,38,1
50,12.5,0.36,4,2
48,12,0.354,5,2
121,1,0.43,11,1
159,159,0.994,1,2
199,199,0.99,1,2
3420,0.95,0.46,403,1
1716,14.182,0.224,253,1
132,1.091,0.5,16,1
