@relation page-blocks

@attribute Height numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
4,139,1
7,198,1
16,2713,1
9,1240,1
9,331,1
9,108,1
9,471,1
5,11,1
7,868,1
9,825,1
9,108,1
9,1324,1
10,2101,1
5,13,1
9,195,1
7,189,1
7,726,1
6,317,1
9,215,1
8,988,1
10,1556,1
7,344,1
5,114,1
12,1999,1
5,16,1
6,151,1
4,41,1
6,18,1
12,1782,1
8,336,1
10,383,1
7,124,1
7,123,1
7,107,1
10,382,1
11,244,1
10,665,1
6,189,1
6,82,1
10,108,1
10,997,1
7,1081,1
14,3224,1
5,44,1
10,2126,1
8,128,1
10,179,1
7,577,1
10,205,1
25,4395,1
8,364,1
9,320,1
10,471,1
7,539,1
4,38,1
10,407,1
9,116,1
11,1282,1
10,157,1
10,524,1
6,69,1
8,86,1
8,109,1
6,135,1
9,101,1
7,103,1
7,344,1
8,767,1
16,3747,1
10,115,1
9,1738,1
11,2103,1
6,51,1
6,10,1
9,823,1
7,49,1
7,1346,1
8,1704,1
10,714,1
9,769,1
9,829,1
7,139,1
9,355,1
9,1202,1
7,42,1
6,173,1
9,230,1
9,99,1
17,1802,1
10,257,1
6,426,1
8,310,1
12,408,1
14,3293,1
8,222,1
8,316,1
9,812,1
6,531,1
4,15,1
24,875,1
7,186,1
11,1503,1
14,750,1
9,1204,1
11,2063,1
6,334,1
8,317,1
7,60,1
9,271,1
6,296,1
9,205,1
6,106,1
16,4204,1
13,3301,1
5,60,1
8,107,1
10,518,1
1,60,1
24,2877,1
6,75,1
9,1517,1
10,564,1
8,83,1
20,210,1
8,72,1
5,38,1
7,183,1
9,272,1
10,107,1
5,146,1
9,446,1
6,54,1
12,895,1
9,621,1
8,690,1
8,634,1
12,1100,1
10,250,1
11,412,1
9,234,1
10,887,1
9,668,1
8,74,1
18,1190,1
9,383,1
9,693,1
9,1961,1
8,227,1
8,65,1
34,1166,1
7,92,1
9,303,1
11,124,1
12,407,1
7,1854,1
8,153,1
10,818,1
12,1975,1
9,151,1
8,176,1
8,189,1
8,889,1
11,1007,1
9,1558,1
8,127,1
12,405,1
10,126,1
8,450,1
7,85,1
11,695,1
8,96,1
7,113,1
11,601,1
11,621,1
9,1008,1
13,1178,1
6,126,1
9,113,1
12,221,1
8,108,1
9,288,1
10,1248,1
9,347,1
12,284,1
10,1022,1
11,758,1
17,81,1
9,70,1
8,162,1
11,240,1
7,86,1
8,1153,1
11,2036,1
11,308,1
14,3478,1
12,2722,1
9,1542,1
7,40,1
7,83,1
2,85,1
9,597,1
10,285,1
7,91,1
5,42,1
8,247,1
7,151,1
7,56,1
8,1763,1
8,200,1
23,3036,1
11,978,1
6,402,1
10,1063,1
9,719,1
10,240,1
9,110,1
8,230,1
11,88,1
9,360,1
7,42,1
11,963,1
8,1886,1
7,594,1
11,1647,1
10,230,1
6,119,1
9,2379,1
5,211,1
7,49,1
8,89,1
2,15,1
7,97,1
9,233,1
6,14,1
1,40,1
7,83,1
16,2622,1
8,840,1
8,120,1
9,1000,1
8,762,1
9,1323,1
8,1380,1
9,293,1
7,236,1
8,187,1
9,1545,1
8,1593,1
9,153,1
8,183,1
7,121,1
8,57,1
9,2484,1
10,252,1
9,2399,1
8,321,1
8,79,1
9,274,1
10,159,1
9,1686,1
7,200,1
7,159,1
4,446,1
10,396,1
9,1098,1
9,388,1
23,1342,1
10,159,1
9,736,1
6,185,1
9,783,1
8,319,1
7,256,1
6,63,1
8,179,1
10,2022,1
6,55,1
10,272,1
7,336,1
9,586,1
7,252,1
16,3643,1
11,3623,1
8,194,1
7,398,1
10,574,1
8,48,1
6,139,1
13,1086,1
8,236,1
8,834,1
10,224,1
9,195,1
7,27,1
7,78,1
7,104,1
10,1767,1
8,268,1
6,40,1
6,78,1
11,210,1
8,294,1
11,77,1
6,236,1
10,245,1
9,756,1
8,897,1
8,1775,1
8,232,1
5,325,1
38,5593,1
7,213,1
9,682,1
6,17,1
8,56,1
10,150,1
8,1220,1
9,232,1
27,4845,1
8,144,1
8,203,1
7,169,1
11,678,1
8,352,1
11,1928,1
9,478,1
12,208,1
8,109,1
9,983,1
8,225,1
7,49,1
12,743,1
10,159,1
10,357,1
9,225,1
9,625,1
8,176,1
7,686,1
7,747,1
10,1971,1
11,383,1
8,223,1
17,330,1
13,3591,1
7,498,1
7,55,1
11,89,1
9,760,1
10,1703,1
11,1796,1
9,118,1
6,380,1
7,653,1
7,98,1
11,3232,1
8,470,1
10,2028,1
6,43,1
9,341,1
2,13,1
9,2003,1
7,98,1
8,616,1
8,112,1
11,147,1
6,76,1
6,68,1
9,123,1
22,1287,1
82,12923,1
11,414,1
9,1758,1
17,219,1
11,63,1
11,856,1
5,31,1
6,52,1
10,233,1
6,380,1
7,1500,1
7,751,1
8,124,1
7,422,1
7,192,1
24,3609,1
7,57,1
5,31,1
7,537,1
15,216,1
7,535,1
10,267,1
5,25,1
6,78,1
7,56,1
4,38,1
5,37,1
5,19,1
1,40,1
10,852,1
5,151,1
7,79,1
8,134,1
7,380,1
9,742,1
8,219,1
7,168,1
4,12,1
38,6053,1
10,1065,1
8,86,1
7,89,1
8,113,1
10,262,1
10,332,1
7,184,1
10,126,1
9,542,1
7,112,1
9,72,1
7,254,1
9,866,1
7,64,1
6,456,1
10,119,1
6,136,1
9,821,1
8,551,1
7,653,1
15,3342,1
5,71,1
10,1086,1
1,74,1
11,2171,1
8,168,1
9,637,1
7,121,1
2,21,1
11,982,1
24,6072,1
9,569,1
8,905,1
9,349,1
11,2084,1
10,174,1
7,80,1
10,1343,1
8,211,1
7,259,1
5,392,1
7,72,1
8,145,1
10,2772,1
6,171,1
10,357,1
12,392,1
3,709,1
22,251,1
6,63,1
8,425,1
8,124,1
14,2962,1
9,129,1
10,807,1
8,280,1
9,149,1
9,108,1
10,253,1
6,507,1
7,60,1
13,678,1
6,24,1
8,188,1
10,1113,1
8,53,1
9,748,1
7,85,1
7,90,1
7,476,1
7,82,1
4,265,1
9,420,1
1,12,1
11,987,1
12,1736,1
10,790,1
9,305,1
6,65,1
7,610,1
8,257,1
9,3257,1
11,173,1
9,629,1
9,1882,1
9,276,1
16,3863,1
1,12,1
5,18,1
12,1293,1
12,375,1
9,288,1
10,170,1
8,154,1
9,206,1
9,1675,1
8,165,1
9,574,1
7,91,1
7,293,1
9,989,1
12,651,1
11,122,1
12,49,1
9,3043,1
10,356,1
10,308,1
7,137,1
9,2482,1
10,190,1
7,813,1
9,294,1
9,2091,1
11,854,1
7,98,1
7,417,1
7,141,1
9,653,1
5,45,1
4,8,1
24,3085,1
16,3731,1
7,94,1
7,103,1
9,206,1
8,1010,1
7,76,1
9,144,1
7,76,1
8,86,1
8,510,1
8,77,1
8,111,1
11,350,1
7,691,1
8,107,1
9,100,1
7,36,1
8,224,1
6,61,1
11,1444,1
9,811,1
7,114,1
14,3262,1
6,52,1
7,140,1
25,4433,1
8,181,1
9,1077,1
5,70,1
8,279,1
7,39,1
7,197,1
9,1029,1
9,54,1
9,1649,1
9,263,1
7,247,1
7,147,1
8,120,1
7,166,1
13,2299,1
10,2183,1
9,237,1
9,2211,1
6,132,1
10,178,1
16,4349,1
1,89,1
24,5944,1
18,203,1
7,51,1
8,129,1
14,3400,1
11,578,1
10,142,1
7,140,1
9,2297,1
7,500,1
8,78,1
10,16,1
8,64,1
11,598,1
11,947,1
8,160,1
10,460,1
8,300,1
11,269,1
8,1172,1
23,8533,1
10,1771,1
9,1156,1
8,184,1
7,499,1
10,434,1
10,105,1
8,217,1
7,84,1
8,56,1
9,126,1
25,11777,1
8,32,1
7,170,1
8,384,1
9,143,1
8,119,1
9,175,1
17,1101,1
7,223,1
10,444,1
7,241,1
8,114,1
9,97,1
9,776,1
9,502,1
11,473,1
6,46,1
7,77,1
7,89,1
10,209,1
11,1676,1
7,29,1
13,1039,1
9,9,1
8,92,1
12,205,1
9,95,1
10,1014,1
4,372,1
8,975,1
9,436,1
10,281,1
15,2940,1
9,473,1
10,1742,1
10,153,1
10,467,1
26,5737,1
5,133,1
9,40,1
8,282,1
9,1775,1
3,7,1
8,1384,1
1,45,1
10,949,1
16,1182,1
8,134,1
8,1865,1
2,11,1
10,569,1
8,74,1
8,218,1
5,14,1
8,524,1
3,8,1
5,169,1
9,187,1
11,272,1
9,544,1
11,515,1
4,42,1
8,174,1
10,903,1
8,23,1
10,240,1
10,928,1
6,412,1
7,567,1
6,209,1
9,147,1
12,1572,1
9,2136,1
9,855,1
15,3309,1
9,180,1
22,779,1
7,1093,1
7,184,1
5,145,1
10,1276,1
8,525,1
8,465,1
9,271,1
11,195,1
18,812,1
8,56,1
6,78,1
12,991,1
9,634,1
5,15,1
8,79,1
7,21,1
28,895,1
7,44,1
9,256,1
8,133,1
9,627,1
7,110,1
8,153,1
10,581,1
8,109,1
4,284,1
10,1056,1
6,497,1
8,377,1
16,2198,1
12,1857,1
7,81,1
7,230,1
10,3238,1
10,207,1
10,2157,1
7,57,1
10,61,1
6,532,1
8,260,1
11,265,1
5,30,1
9,770,1
7,1409,1
10,1293,1
8,814,1
9,180,1
6,397,1
8,257,1
6,405,1
11,532,1
8,168,1
12,735,1
12,207,1
7,170,1
7,1082,1
11,356,1
6,173,1
9,1152,1
10,80,1
9,3793,1
7,688,1
7,1431,1
10,1103,1
8,301,1
10,119,1
7,10,1
6,308,1
17,323,1
11,654,1
11,252,1
7,230,1
8,168,1
10,2044,1
7,94,1
9,113,1
8,101,1
8,397,1
8,129,1
10,394,1
9,400,1
8,331,1
7,427,1
6,68,1
9,465,1
9,1097,1
6,259,1
12,94,1
7,28,1
7,325,1
1,25,1
8,111,1
8,53,1
9,156,1
9,1343,1
6,131,1
9,839,1
9,286,1
9,61,1
6,371,1
12,790,1
9,625,1
8,1114,1
12,438,1
24,2282,1
4,56,1
5,46,1
7,126,1
5,30,1
11,200,1
9,3190,1
10,136,1
10,517,1
8,565,1
9,1323,1
8,255,1
7,109,1
13,1276,1
9,311,1
14,36,1
9,412,1
11,225,1
10,110,1
9,1508,1
8,217,1
13,3049,1
12,734,1
5,341,1
7,42,1
6,45,1
9,1659,1
9,829,1
9,514,1
10,407,1
9,1026,1
8,404,1
9,38,1
23,2239,1
6,435,1
7,106,1
8,155,1
7,70,1
5,147,1
21,84,1
10,1659,1
11,1036,1
8,48,1
10,128,1
14,1248,1
10,628,1
9,1600,1
10,1160,1
7,434,1
7,126,1
11,718,1
10,224,1
10,256,1
7,123,1
7,74,1
9,321,1
8,41,1
7,610,1
6,89,1
8,552,1
8,1362,1
7,44,1
9,1058,1
9,143,1
8,495,1
12,2771,1
10,163,1
7,108,1
10,429,1
10,209,1
7,520,1
9,575,1
5,30,1
9,647,1
11,108,1
9,185,1
9,682,1
8,196,1
9,327,1
27,1368,1
6,198,1
11,776,1
8,95,1
9,928,1
11,76,1
7,183,1
7,96,1
10,184,1
9,787,1
7,171,1
6,24,1
9,171,1
7,185,1
8,292,1
14,260,1
8,293,1
9,277,1
13,484,1
9,726,1
8,258,1
10,372,1
7,109,1
9,102,1
9,1570,1
10,1437,1
7,221,1
10,304,1
8,849,1
8,44,1
10,844,1
10,205,1
7,547,1
12,891,1
9,207,1
8,100,1
11,75,1
18,324,1
9,487,1
6,36,1
11,3365,1
8,1195,1
15,2594,1
5,29,1
8,273,1
6,81,1
11,196,1
7,517,1
9,299,1
7,988,1
8,366,1
7,378,1
5,74,1
9,316,1
22,1290,1
11,401,1
7,1214,1
12,153,1
6,72,1
7,69,1
5,83,1
8,64,1
8,207,1
7,136,1
9,327,1
10,279,1
6,533,1
9,153,1
9,110,1
8,208,1
8,485,1
24,4413,1
8,216,1
8,702,1
8,76,1
7,1296,1
12,1265,1
5,60,1
5,66,1
2,73,1
10,530,1
6,90,1
7,75,1
9,232,1
10,245,1
9,1020,1
11,188,1
10,115,1
10,314,1
9,621,1
10,878,1
5,73,1
5,20,1
9,606,1
11,734,1
10,978,1
8,81,1
4,70,1
10,124,1
7,257,1
6,118,1
5,129,1
25,6967,1
7,217,1
8,400,1
8,61,1
9,325,1
22,1302,1
8,316,1
10,193,1
7,618,1
9,328,1
9,307,1
6,54,1
5,176,1
4,112,1
8,81,1
22,1354,1
9,304,1
7,24,1
9,147,1
10,284,1
11,1643,1
8,144,1
9,1091,1
8,117,1
9,1195,1
13,2612,1
8,59,1
16,2654,1
6,35,1
12,798,1
8,128,1
5,216,1
13,463,1
6,111,1
11,1681,1
10,1183,1
10,645,1
7,112,1
9,761,1
9,110,1
11,887,1
10,675,1
7,199,1
33,3627,1
8,25,1
7,932,1
20,355,1
6,408,1
9,1485,1
11,2235,1
8,89,1
13,3655,1
9,1422,1
7,1771,1
6,385,1
10,2018,1
7,156,1
8,129,1
13,2340,1
11,198,1
23,2943,1
5,101,1
8,231,1
9,2397,1
10,60,1
5,78,1
7,148,1
8,184,1
11,240,1
9,361,1
10,91,1
10,588,1
9,55,1
9,918,1
10,277,1
8,117,1
9,1421,1
10,38,1
10,147,1
10,278,1
7,140,1
9,2717,1
10,1078,1
10,910,1
9,369,1
8,1389,1
26,4017,1
10,481,1
7,230,1
7,92,1
10,283,1
10,1746,1
6,416,1
11,326,1
6,219,1
22,1317,1
9,1657,1
4,44,1
8,1828,1
6,465,1
7,43,1
7,140,1
9,942,1
8,92,1
7,133,1
8,36,1
9,632,1
10,1293,1
9,142,1
9,160,1
10,2741,1
11,88,1
9,575,1
11,366,1
25,6963,1
8,111,1
9,756,1
10,1349,1
10,242,1
8,350,1
9,162,1
7,643,1
7,220,1
24,4670,1
10,118,1
8,65,1
9,919,1
10,3318,1
6,161,1
6,39,1
8,120,1
10,2149,1
10,984,1
10,577,1
10,1005,1
9,753,1
6,274,1
13,3514,1
7,331,1
8,257,1
22,1306,1
8,316,1
5,95,1
9,143,1
9,2419,1
8,1318,1
12,2125,1
7,182,1
10,248,1
7,49,1
7,28,1
8,84,1
12,259,1
7,71,1
5,74,1
13,1887,1
11,2846,1
13,1932,1
2,34,1
10,53,1
87,4194,1
7,521,1
8,62,1
9,1207,1
10,1479,1
11,639,1
11,315,1
5,54,1
10,162,1
8,1506,1
8,157,1
5,79,1
6,941,1
3,11,1
7,193,1
6,68,1
6,184,1
8,117,1
7,93,1
12,3818,1
6,85,1
8,189,1
10,130,1
14,2480,1
12,773,1
13,2990,1
8,534,1
7,42,1
12,2842,1
13,1375,1
4,48,1
7,136,1
10,90,1
8,49,1
7,263,1
1,167,1
77,15523,1
8,53,1
7,94,1
8,260,1
25,10437,1
8,312,1
1,7,1
7,16,1
9,223,1
10,462,1
7,243,1
16,3279,1
5,39,1
7,92,1
5,67,1
9,858,1
8,345,1
9,2377,1
7,93,1
7,50,1
10,607,1
10,1575,1
8,233,1
6,56,1
12,96,1
5,39,1
24,10409,1
8,593,1
8,1198,1
7,38,1
7,54,1
10,202,1
24,4141,1
6,112,1
12,2130,1
8,173,1
9,842,1
7,98,1
12,770,1
7,46,1
16,3544,1
6,155,1
8,317,1
7,242,1
10,2846,1
26,4241,1
8,148,1
10,176,1
8,690,1
9,2887,1
12,218,1
7,285,1
6,134,1
7,192,1
11,346,1
8,99,1
23,1126,1
8,234,1
10,337,1
13,2437,1
12,939,1
7,60,1
6,217,1
8,138,1
9,471,1
8,100,1
6,131,1
77,9689,1
11,2222,1
12,604,1
16,1109,1
79,4623,1
10,415,1
7,224,1
7,72,1
9,295,1
5,90,1
3,12,1
9,441,1
8,96,1
77,9871,1
9,124,1
10,1162,1
1,9,1
8,2307,1
10,1715,1
10,430,1
7,42,1
8,1277,1
9,2732,1
8,601,1
7,88,1
9,148,1
8,317,1
8,116,1
7,69,1
10,140,1
11,493,1
8,96,1
7,97,1
11,393,1
9,117,1
10,324,1
9,1651,1
6,214,1
11,177,1
9,554,1
5,25,1
8,745,1
7,87,1
14,2577,1
10,1027,1
8,73,1
6,84,1
7,21,1
13,3029,1
8,2002,1
11,1752,1
9,768,1
9,2904,1
8,103,1
10,2097,1
7,174,1
6,34,1
6,453,1
7,538,1
13,448,1
9,440,1
9,646,1
9,2056,1
8,261,1
8,254,1
8,1307,1
10,729,1
8,16,1
8,388,1
9,2005,1
60,2843,1
8,90,1
10,250,1
13,864,1
6,186,1
13,741,1
12,946,1
6,82,1
9,1800,1
9,1015,1
8,86,1
7,219,1
8,416,1
8,922,1
10,724,1
5,23,1
10,1841,1
9,131,1
5,65,1
13,2090,1
7,29,1
8,275,1
8,511,1
9,48,1
9,108,1
5,35,1
5,218,1
7,72,1
11,425,1
12,222,1
4,92,1
3,9,1
9,847,1
9,348,1
1,33,1
9,1121,1
12,845,1
7,96,1
10,435,1
5,69,1
9,905,1
10,1624,1
8,718,1
8,492,1
8,659,1
17,1666,1
14,2962,1
5,392,1
10,1115,1
8,1002,1
9,804,1
9,192,1
9,759,1
8,105,1
7,310,1
10,1083,1
8,53,1
6,81,1
6,51,1
5,39,1
14,2682,1
8,100,1
7,664,1
8,320,1
13,3168,1
7,75,1
11,165,1
11,1683,1
10,436,1
6,63,1
7,44,1
4,337,1
8,120,1
9,749,1
8,84,1
6,56,1
8,139,1
9,375,1
7,1042,1
5,113,1
10,56,1
10,161,1
13,331,1
12,1625,1
8,77,1
11,88,1
8,28,1
8,173,1
9,197,1
6,477,1
10,156,1
12,491,1
9,764,1
10,864,1
10,480,1
9,679,1
8,334,1
10,172,1
5,54,1
11,1061,1
9,426,1
5,345,1
11,1824,1
9,66,1
8,310,1
7,408,1
9,229,1
11,213,1
9,323,1
9,619,1
10,1668,1
7,56,1
8,108,1
10,1390,1
11,198,1
9,978,1
9,311,1
13,1060,1
14,3869,1
8,123,1
10,36,1
13,2292,1
8,1599,1
6,108,1
9,238,1
8,173,1
8,753,1
7,117,1
10,155,1
8,184,1
8,641,1
10,670,1
7,459,1
12,1028,1
8,101,1
14,3315,1
10,201,1
9,232,1
9,80,1
3,21,1
6,42,1
14,2353,1
9,151,1
10,639,1
8,38,1
6,103,1
9,1047,1
1,45,1
8,501,1
13,700,1
9,843,1
11,420,1
7,49,1
8,83,1
7,39,1
9,179,1
14,1386,1
10,695,1
14,1323,1
3,8,1
10,125,1
9,65,1
4,164,1
7,325,1
28,654,1
11,197,1
9,869,1
9,1338,1
5,23,1
6,47,1
7,414,1
8,337,1
9,826,1
8,125,1
8,943,1
9,2323,1
9,92,1
8,149,1
7,178,1
8,52,1
7,165,1
9,573,1
9,97,1
10,93,1
9,744,1
12,945,1
9,107,1
11,891,1
10,273,1
10,582,1
1,7,1
16,2349,1
8,533,1
8,39,1
4,7,1
10,3018,1
9,2102,1
7,29,1
7,67,1
9,256,1
5,292,1
8,225,1
6,207,1
24,4122,1
8,182,1
7,415,1
7,77,1
9,676,1
10,150,1
9,664,1
9,3154,1
7,96,1
5,40,1
11,431,1
7,35,1
11,244,1
8,82,1
7,105,1
7,143,1
9,1200,1
4,16,1
11,272,1
11,2001,1
11,88,1
8,64,1
11,634,1
5,114,1
9,1640,1
5,35,1
7,478,1
8,431,1
7,430,1
10,897,1
8,53,1
7,412,1
9,348,1
8,141,1
11,1791,1
11,625,1
38,9403,1
7,1495,1
14,1430,1
8,260,1
7,126,1
10,2001,1
8,549,1
10,3352,1
10,90,1
8,43,1
14,1054,1
10,1632,1
10,188,1
8,472,1
5,48,1
10,62,1
25,1722,1
8,604,1
11,1505,1
12,903,1
8,148,1
7,83,1
8,71,1
8,677,1
10,1121,1
6,663,1
19,2164,1
10,1026,1
9,127,1
10,337,1
7,313,1
8,89,1
6,84,1
2,70,1
10,1507,1
38,3051,1
9,312,1
9,1242,1
5,27,1
7,170,1
9,169,1
23,2129,1
9,3312,1
10,1206,1
9,307,1
7,961,1
11,209,1
12,556,1
9,1704,1
11,492,1
7,218,1
25,1868,1
7,253,1
9,71,1
7,121,1
9,633,1
7,475,1
7,318,1
8,427,1
5,403,1
8,703,1
8,67,1
8,2984,1
6,24,1
8,179,1
9,138,1
8,112,1
9,953,1
11,2271,1
10,784,1
27,2087,1
7,13,1
9,108,1
7,105,1
8,64,1
8,1102,1
8,407,1
7,311,1
7,19,1
9,626,1
12,1768,1
8,69,1
8,186,1
8,85,1
7,426,1
13,35,1
7,828,1
7,305,1
6,72,1
5,35,1
7,186,1
8,110,1
10,127,1
11,2435,1
7,78,1
6,261,1
9,3670,1
7,476,1
11,192,1
8,291,1
2,27,1
11,732,1
24,2048,1
9,2694,1
8,127,1
7,252,1
8,738,1
8,96,1
8,522,1
7,75,1
6,161,1
9,440,1
9,2013,1
10,219,1
12,566,1
7,1124,1
7,133,1
10,171,1
8,152,1
10,55,1
7,929,1
11,836,1
11,99,1
9,658,1
9,496,1
9,414,1
7,79,1
7,140,1
10,71,1
9,729,1
7,183,1
7,56,1
9,621,1
12,1810,1
9,1501,1
11,800,1
9,589,1
8,1277,1
9,761,1
7,102,1
9,269,1
11,3023,1
9,288,1
12,1002,1
9,196,1
5,59,1
12,3254,1
9,116,1
7,79,1
14,3050,1
8,514,1
9,1279,1
8,909,1
10,104,1
8,54,1
9,462,1
16,3225,1
9,292,1
11,1278,1
10,70,1
10,135,1
5,71,1
8,811,1
7,1035,1
10,205,1
7,41,1
8,492,1
9,1131,1
16,3377,1
5,43,1
10,290,1
10,1984,1
6,1400,1
8,54,1
10,1584,1
6,56,1
13,565,1
6,117,1
10,340,1
10,1977,1
9,763,1
5,81,1
5,55,1
24,4976,1
8,161,1
8,246,1
