@relation page-blocks

@attribute Height numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
9,62,1
1,9,1
7,4,1
25,776,1
7,16,1
9,53,1
11,36,1
1,11,1
9,29,1
12,33,1
7,18,1
11,546,1
8,63,1
7,18,1
10,348,1
6,64,1
6,2,1
9,448,1
6,25,1
7,167,1
10,29,1
7,114,1
8,154,1
9,41,1
5,70,1
10,175,1
8,54,1
6,227,1
9,79,1
14,472,1
7,160,1
7,179,1
6,52,1
6,108,1
9,84,1
7,64,1
10,388,1
7,341,1
6,45,1
6,123,1
10,51,1
7,135,1
8,125,1
8,150,1
9,255,1
77,885,1
8,33,1
8,1,1
10,37,1
7,15,1
6,75,1
5,6,1
10,39,1
10,56,1
9,374,1
14,49,1
9,87,1
23,92,1
7,41,1
10,257,1
6,13,1
9,119,1
8,42,1
9,23,1
7,63,1
6,35,1
9,61,1
10,65,1
11,239,1
16,245,1
3,1,1
15,481,1
8,6,1
8,74,1
8,48,1
9,55,1
12,43,1
7,110,1
10,6,1
10,564,1
8,48,1
7,53,1
2,40,1
6,14,1
10,30,1
9,3,1
9,385,1
7,131,1
10,56,1
6,80,1
9,35,1
8,77,1
9,13,1
9,68,1
6,22,1
5,2,1
10,199,1
9,360,1
8,58,1
5,6,1
6,2,1
11,146,1
8,37,1
8,67,1
9,83,1
10,57,1
9,105,1
6,4,1
3,1,1
9,27,1
7,6,1
9,242,1
8,26,1
11,16,1
8,84,1
10,8,1
9,307,1
5,13,1
9,29,1
4,29,1
7,13,1
10,68,1
10,52,1
11,11,1
7,18,1
7,22,1
9,341,1
10,41,1
7,4,1
10,239,1
9,12,1
8,82,1
11,9,1
6,20,1
7,9,1
9,613,1
10,93,1
7,19,1
8,23,1
12,26,1
9,238,1
11,163,1
8,82,1
9,176,1
8,111,1
14,5,1
9,33,1
13,7,1
10,1,1
7,70,1
11,61,1
8,18,1
10,181,1
8,59,1
7,56,1
5,9,1
5,20,1
7,54,1
11,19,1
8,62,1
10,30,1
10,55,1
12,76,1
7,33,1
7,51,1
8,4,1
5,51,1
7,111,1
7,9,1
8,62,1
17,2,1
10,121,1
8,236,1
7,14,1
10,10,1
8,31,1
9,13,1
9,125,1
5,2,1
6,19,1
20,9,1
9,81,1
1,2,1
8,81,1
7,63,1
10,6,1
22,71,1
28,59,1
10,28,1
10,73,1
5,8,1
7,33,1
41,36,1
12,90,1
10,25,1
8,90,1
9,359,1
24,258,1
10,48,1
7,35,1
8,35,1
6,7,1
10,160,1
7,12,1
22,72,1
13,78,1
8,220,1
9,91,1
8,11,1
5,187,1
16,418,1
8,53,1
7,25,1
12,149,1
8,22,1
11,256,1
7,27,1
8,44,1
6,39,1
13,235,1
6,11,1
17,115,1
10,177,1
3,6,1
8,135,1
11,27,1
8,104,1
9,21,1
7,16,1
23,139,1
9,150,1
6,14,1
7,20,1
10,46,1
10,322,1
13,177,1
8,10,1
14,172,1
8,20,1
10,23,1
4,18,1
4,5,1
9,154,1
8,87,1
7,26,1
7,16,1
9,286,1
7,14,1
6,100,1
5,54,1
8,40,1
9,61,1
11,27,1
37,432,1
8,20,1
18,93,1
7,42,1
7,22,1
4,21,1
7,118,1
9,163,1
8,9,1
7,51,1
12,443,1
10,153,1
8,75,1
12,29,1
7,22,1
5,74,1
13,238,1
7,6,1
5,8,1
7,9,1
7,35,1
1,18,1
4,33,1
11,105,1
11,13,1
8,75,1
25,303,1
8,59,1
6,58,1
8,12,1
6,15,1
17,408,1
5,22,1
5,21,1
2,2,1
10,107,1
7,31,1
7,13,1
9,50,1
8,41,1
9,534,1
8,108,1
10,29,1
8,248,1
5,20,1
8,30,1
6,9,1
8,92,1
7,84,1
9,254,1
10,12,1
9,6,1
5,10,1
23,385,1
8,16,1
7,11,1
11,15,1
9,83,1
9,80,1
2,2,1
9,349,1
9,21,1
9,12,1
8,18,1
11,48,1
12,70,1
25,1218,1
9,156,1
5,1,1
9,64,1
1,31,1
7,28,1
9,84,1
7,1,1
10,86,1
10,390,1
6,32,1
10,16,1
8,1,1
9,63,1
23,282,1
10,48,1
7,32,1
9,150,1
5,6,1
7,19,1
9,96,1
5,1,1
8,20,1
7,8,1
9,12,1
10,210,1
16,222,1
9,34,1
7,46,1
8,111,1
6,48,1
9,158,1
10,192,1
9,111,1
7,76,1
10,527,1
10,178,1
7,37,1
9,122,1
6,14,1
8,23,1
7,46,1
10,56,1
5,29,1
16,424,1
11,160,1
12,675,1
9,53,1
6,94,1
10,26,1
10,116,1
8,120,1
8,71,1
9,27,1
5,1,1
6,78,1
8,13,1
11,6,1
7,60,1
13,44,1
16,278,1
7,67,1
9,93,1
10,261,1
8,177,1
15,174,1
11,83,1
7,56,1
9,23,1
10,273,1
6,35,1
4,83,1
5,3,1
11,5,1
17,224,1
10,174,1
9,57,1
11,17,1
13,127,1
9,12,1
7,81,1
24,305,1
10,410,1
5,38,1
8,9,1
9,45,1
9,31,1
13,157,1
10,95,1
8,44,1
9,43,1
9,220,1
6,19,1
25,392,1
12,87,1
1,6,1
10,69,1
7,44,1
8,29,1
9,393,1
8,31,1
3,10,1
9,68,1
8,10,1
8,203,1
1,15,1
6,73,1
10,147,1
5,53,1
9,87,1
5,57,1
7,141,1
4,26,1
10,51,1
25,276,1
8,31,1
10,72,1
12,95,1
6,14,1
8,21,1
5,70,1
7,77,1
7,71,1
8,1,1
6,44,1
10,22,1
14,228,1
9,169,1
10,17,1
7,61,1
7,31,1
3,2,1
8,7,1
10,344,1
15,482,1
9,144,1
5,18,1
15,258,1
9,19,1
8,6,1
9,114,1
8,243,1
7,13,1
22,74,1
10,122,1
8,136,1
6,14,1
9,46,1
10,298,1
4,4,1
8,69,1
9,125,1
9,555,1
16,14,1
10,60,1
8,92,1
8,11,1
6,14,1
6,123,1
8,76,1
10,333,1
5,17,1
7,38,1
8,87,1
3,1,1
5,14,1
9,252,1
8,73,1
7,16,1
9,70,1
8,91,1
8,89,1
11,1,1
5,39,1
10,1,1
7,24,1
8,9,1
8,31,1
10,12,1
12,105,1
10,380,1
10,330,1
7,11,1
11,194,1
7,17,1
9,111,1
8,29,1
9,59,1
10,108,1
6,22,1
9,76,1
10,575,1
13,124,1
9,29,1
12,10,1
7,230,1
6,99,1
8,34,1
9,654,1
9,123,1
6,124,1
7,247,1
8,41,1
8,19,1
11,74,1
9,27,1
10,39,1
8,57,1
9,51,1
10,54,1
7,13,1
8,276,1
11,371,1
12,89,1
6,26,1
11,58,1
8,189,1
8,44,1
8,178,1
59,22,1
6,88,1
5,98,1
9,43,1
8,49,1
8,24,1
10,84,1
5,40,1
8,9,1
7,99,1
7,4,1
11,9,1
10,16,1
14,285,1
9,56,1
12,79,1
10,2,1
9,57,1
8,325,1
6,50,1
9,68,1
10,2,1
12,431,1
7,19,1
12,608,1
12,101,1
9,2,1
8,181,1
8,23,1
6,14,1
7,20,1
12,515,1
10,22,1
11,7,1
12,423,1
12,645,1
5,92,1
6,82,1
8,29,1
11,128,1
7,58,1
7,19,1
8,276,1
11,460,1
7,18,1
8,104,1
7,7,1
7,14,1
11,54,1
6,49,1
12,375,1
8,25,1
10,86,1
38,370,1
7,12,1
7,81,1
8,228,1
5,23,1
11,80,1
26,1142,1
8,20,1
11,205,1
8,112,1
10,268,1
7,9,1
6,41,1
10,87,1
6,8,1
8,23,1
7,62,1
10,28,1
8,9,1
7,73,1
9,85,1
7,7,1
7,7,1
6,4,1
8,14,1
21,20,1
7,24,1
5,21,1
7,40,1
9,133,1
8,40,1
8,99,1
8,11,1
7,17,1
7,1,1
7,40,1
7,21,1
7,53,1
7,9,1
9,47,1
13,45,1
9,26,1
5,1,1
10,18,1
8,9,1
12,731,1
9,124,1
9,49,1
8,19,1
12,90,1
9,513,1
10,6,1
10,89,1
7,8,1
10,56,1
3,1,1
9,121,1
9,234,1
24,186,1
8,59,1
5,20,1
7,38,1
10,344,1
9,146,1
9,30,1
8,32,1
7,4,1
8,26,1
7,19,1
8,133,1
12,20,1
8,520,1
14,275,1
8,86,1
9,16,1
7,29,1
8,93,1
12,397,1
7,10,1
33,182,1
8,52,1
10,34,1
13,449,1
25,448,1
24,384,1
8,27,1
9,470,1
9,57,1
8,84,1
7,27,1
8,20,1
10,18,1
9,30,1
9,572,1
9,285,1
7,33,1
8,42,1
9,77,1
7,76,1
7,70,1
11,37,1
5,28,1
9,4,1
11,26,1
9,24,1
9,8,1
5,8,1
9,77,1
10,40,1
1,21,1
6,61,1
22,82,1
9,152,1
27,388,1
10,26,1
6,60,1
8,7,1
10,159,1
8,115,1
7,67,1
16,450,1
9,33,1
9,128,1
9,29,1
9,104,1
9,112,1
10,401,1
9,461,1
7,16,1
9,75,1
8,145,1
10,49,1
9,186,1
8,23,1
6,8,1
8,45,1
7,14,1
9,93,1
14,302,1
9,547,1
10,140,1
6,35,1
9,88,1
4,4,1
7,22,1
5,1,1
7,55,1
8,208,1
8,21,1
10,59,1
8,19,1
10,555,1
8,11,1
9,398,1
8,12,1
8,33,1
6,14,1
6,4,1
5,25,1
6,22,1
7,187,1
8,521,1
9,56,1
6,21,1
8,68,1
7,67,1
6,33,1
7,45,1
6,53,1
23,270,1
7,5,1
8,24,1
10,167,1
9,62,1
10,287,1
8,130,1
7,112,1
10,19,1
10,59,1
7,20,1
11,27,1
8,11,1
10,14,1
5,49,1
8,11,1
9,71,1
7,64,1
7,32,1
10,409,1
17,250,1
9,189,1
6,9,1
7,352,1
7,16,1
7,44,1
6,134,1
8,23,1
8,196,1
10,18,1
9,53,1
10,88,1
8,5,1
5,9,1
7,10,1
12,646,1
8,19,1
9,67,1
16,100,1
10,33,1
8,38,1
23,155,1
8,32,1
8,125,1
7,81,1
8,257,1
8,65,1
7,84,1
7,139,1
8,72,1
11,209,1
10,170,1
11,349,1
9,156,1
6,26,1
5,43,1
7,40,1
11,166,1
7,20,1
6,27,1
7,120,1
11,211,1
11,41,1
25,310,1
9,61,1
8,25,1
10,44,1
7,19,1
8,40,1
8,26,1
9,70,1
5,9,1
7,13,1
5,46,1
7,80,1
8,44,1
7,12,1
10,212,1
9,573,1
10,14,1
11,122,1
6,112,1
10,95,1
10,82,1
7,36,1
5,18,1
8,219,1
7,71,1
7,39,1
3,19,1
10,425,1
7,105,1
9,2,1
6,7,1
11,420,1
11,75,1
7,10,1
9,129,1
9,197,1
11,373,1
9,89,1
39,454,1
11,208,1
8,43,1
8,125,1
12,429,1
8,43,1
10,156,1
9,13,1
7,18,1
25,306,1
6,102,1
7,28,1
11,144,1
7,185,1
16,111,1
8,340,1
25,187,1
9,58,1
9,132,1
10,58,1
10,30,1
11,83,1
10,253,1
8,317,1
8,23,1
8,42,1
8,32,1
9,97,1
9,60,1
9,456,1
6,37,1
10,463,1
8,45,1
7,8,1
8,32,1
9,42,1
10,18,1
7,24,1
9,249,1
8,57,1
9,117,1
17,37,1
9,479,1
8,18,1
7,237,1
8,18,1
9,55,1
5,34,1
9,52,1
10,48,1
9,164,1
7,1,1
5,35,1
7,2,1
8,234,1
5,3,1
11,6,1
12,67,1
10,44,1
16,477,1
8,27,1
8,25,1
13,215,1
10,87,1
8,43,1
10,36,1
9,121,1
24,418,1
9,201,1
8,32,1
9,162,1
25,773,1
5,6,1
2,1,1
6,61,1
8,139,1
8,183,1
10,63,1
8,11,1
12,89,1
10,57,1
8,48,1
7,91,1
9,129,1
3,1,1
9,110,1
8,22,1
10,46,1
9,38,1
8,25,1
8,50,1
12,752,1
10,54,1
23,420,1
9,86,1
7,154,1
9,607,1
9,274,1
8,169,1
8,20,1
9,48,1
6,76,1
7,45,1
9,71,1
12,386,1
9,40,1
9,119,1
7,32,1
4,2,1
11,353,1
8,102,1
14,49,1
2,14,1
9,202,1
12,393,1
8,39,1
12,364,1
9,227,1
10,217,1
7,77,1
9,108,1
10,195,1
7,175,1
11,334,1
7,27,1
8,243,1
8,10,1
5,33,1
5,12,1
7,24,1
12,37,1
7,21,1
6,75,1
7,16,1
7,95,1
9,69,1
8,36,1
6,1,1
10,28,1
8,20,1
8,43,1
9,55,1
12,170,1
9,20,1
8,12,1
8,70,1
9,375,1
9,151,1
1,1,1
8,10,1
10,186,1
9,20,1
9,178,1
6,109,1
10,39,1
1,1,1
9,83,1
10,527,1
7,30,1
8,122,1
8,129,1
8,47,1
1,11,1
8,149,1
7,18,1
24,138,1
7,24,1
12,189,1
9,138,1
7,91,1
7,116,1
7,50,1
8,124,1
10,13,1
8,310,1
3,1,1
8,40,1
10,55,1
8,122,1
8,3,1
5,2,1
6,71,1
11,108,1
5,7,1
11,75,1
9,44,1
8,11,1
7,28,1
7,75,1
4,6,1
9,80,1
22,84,1
1,19,1
11,143,1
1,16,1
7,63,1
6,73,1
38,275,1
7,43,1
9,17,1
8,66,1
5,2,1
9,144,1
9,225,1
11,155,1
10,76,1
8,83,1
9,274,1
8,289,1
9,20,1
10,369,1
1,6,1
8,21,1
10,58,1
9,46,1
11,9,1
6,22,1
25,462,1
12,113,1
9,255,1
12,9,1
23,149,1
6,37,1
8,109,1
7,17,1
9,596,1
6,13,1
10,60,1
11,67,1
8,21,1
12,265,1
11,448,1
10,103,1
8,15,1
8,311,1
8,100,1
8,36,1
9,126,1
8,17,1
14,485,1
9,14,1
12,135,1
8,21,1
7,70,1
13,403,1
4,1,1
8,34,1
9,66,1
8,14,1
9,351,1
6,28,1
8,125,1
6,16,1
9,14,1
14,481,1
8,44,1
11,165,1
5,42,1
9,134,1
10,18,1
10,58,1
7,5,1
7,55,1
7,38,1
8,19,1
10,66,1
8,95,1
11,17,1
8,36,1
11,16,1
8,85,1
8,60,1
7,46,1
11,28,1
5,12,1
2,5,1
11,189,1
5,4,1
10,196,1
9,217,1
5,1,1
11,102,1
4,29,1
8,61,1
9,58,1
9,61,1
12,66,1
6,17,1
5,16,1
9,196,1
6,40,1
7,100,1
8,110,1
10,258,1
10,39,1
6,12,1
9,33,1
11,113,1
9,235,1
10,61,1
8,11,1
5,16,1
12,390,1
10,51,1
7,58,1
9,35,1
6,156,1
71,119,1
7,31,1
9,99,1
6,56,1
9,119,1
24,151,1
7,146,1
9,141,1
7,44,1
8,51,1
9,2,1
19,69,1
9,98,1
13,81,1
11,84,1
7,3,1
10,27,1
12,187,1
6,39,1
10,88,1
9,61,1
8,21,1
11,279,1
9,14,1
9,45,1
8,52,1
6,81,1
7,7,1
11,307,1
7,38,1
7,45,1
12,69,1
8,22,1
7,45,1
9,170,1
10,14,1
9,358,1
10,148,1
7,13,1
6,14,1
8,18,1
10,112,1
8,27,1
8,101,1
7,173,1
9,159,1
14,183,1
8,163,1
9,216,1
7,20,1
8,39,1
12,175,1
4,70,1
9,27,1
11,392,1
10,41,1
13,79,1
1,25,1
10,145,1
16,467,1
9,132,1
10,399,1
8,12,1
9,40,1
7,34,1
7,22,1
14,284,1
8,27,1
6,33,1
3,1,1
8,19,1
9,84,1
9,401,1
10,399,1
12,573,1
7,223,1
7,19,1
7,77,1
7,40,1
5,3,1
8,195,1
7,13,1
8,9,1
25,444,1
6,25,1
9,120,1
7,26,1
7,61,1
10,66,1
10,237,1
10,142,1
6,10,1
7,41,1
6,82,1
8,105,1
5,28,1
10,26,1
9,54,1
7,7,1
10,141,1
8,23,1
6,18,1
8,198,1
8,14,1
11,188,1
12,129,1
8,39,1
9,211,1
7,26,1
34,157,1
5,6,1
9,40,1
12,234,1
5,85,1
11,110,1
8,60,1
7,88,1
9,48,1
8,99,1
7,71,1
9,143,1
7,109,1
11,317,1
7,41,1
5,66,1
6,31,1
1,1,1
6,7,1
7,1,1
8,100,1
10,212,1
13,183,1
12,39,1
10,368,1
13,632,1
9,26,1
9,215,1
8,27,1
4,2,1
8,59,1
10,60,1
11,143,1
8,25,1
10,70,1
10,1,1
10,295,1
7,58,1
10,116,1
12,10,1
8,69,1
8,31,1
8,67,1
7,31,1
8,167,1
12,416,1
12,16,1
8,383,1
7,140,1
8,86,1
8,64,1
12,125,1
7,4,1
10,36,1
5,3,1
7,29,1
5,6,1
14,43,1
11,391,1
9,264,1
5,8,1
7,64,1
9,60,1
8,16,1
4,40,1
8,108,1
10,55,1
5,4,1
6,177,1
10,14,1
13,27,1
10,362,1
8,50,1
9,26,1
9,16,1
7,17,1
8,81,1
11,318,1
10,208,1
7,19,1
10,31,1
8,29,1
10,151,1
9,17,1
11,131,1
23,156,1
7,25,1
8,87,1
13,160,1
6,15,1
9,94,1
10,187,1
8,40,1
8,21,1
22,86,1
8,78,1
7,27,1
1,13,1
9,166,1
7,17,1
8,21,1
7,93,1
10,198,1
8,23,1
9,101,1
6,39,1
8,106,1
8,46,1
10,161,1
11,14,1
5,8,1
10,46,1
12,160,1
10,45,1
10,465,1
10,71,1
9,167,1
10,65,1
10,31,1
20,15,1
7,14,1
9,133,1
14,46,1
11,164,1
24,397,1
9,193,1
5,55,1
9,22,1
8,34,1
10,340,1
3,4,1
8,30,1
9,229,1
8,39,1
9,96,1
10,119,1
10,85,1
9,34,1
10,45,1
8,52,1
6,14,1
10,27,1
12,47,1
8,37,1
9,5,1
11,126,1
7,171,1
14,35,1
11,45,1
8,92,1
11,42,1
6,33,1
7,15,1
8,4,1
4,22,1
8,60,1
10,166,1
7,10,1
7,33,1
6,15,1
7,118,1
8,64,1
9,194,1
9,31,1
6,10,1
7,41,1
7,50,1
6,4,1
13,556,1
8,56,1
7,13,1
12,10,1
7,23,1
10,119,1
9,177,1
5,28,1
11,41,1
6,2,1
7,31,1
8,21,1
9,161,1
7,243,1
9,178,1
5,61,1
11,1,1
5,41,1
8,25,1
3,1,1
7,56,1
10,29,1
7,23,1
4,7,1
10,11,1
8,36,1
7,115,1
12,99,1
9,35,1
7,62,1
7,234,1
7,62,1
11,77,1
10,15,1
9,106,1
4,1,1
7,54,1
25,586,1
17,414,1
8,30,1
12,10,1
6,13,1
11,70,1
7,29,1
7,69,1
10,52,1
9,44,1
10,151,1
9,11,1
9,127,1
9,336,1
7,20,1
7,222,1
4,3,1
8,19,1
7,38,1
8,44,1
10,213,1
10,130,1
9,317,1
9,167,1
8,164,1
6,27,1
11,196,1
9,63,1
9,251,1
9,59,1
6,39,1
9,91,1
6,24,1
5,6,1
17,34,1
7,63,1
7,32,1
9,130,1
5,21,1
10,28,1
8,63,1
9,77,1
9,241,1
8,106,1
8,23,1
11,35,1
8,20,1
5,18,1
16,499,1
9,105,1
10,34,1
8,54,1
11,167,1
10,27,1
6,9,1
10,109,1
10,388,1
11,386,1
25,326,1
3,1,1
5,96,1
8,60,1
10,143,1
12,123,1
9,112,1
1,15,1
9,62,1
7,21,1
6,89,1
7,26,1
9,56,1
9,55,1
10,71,1
10,185,1
1,31,1
7,42,1
9,197,1
6,79,1
7,53,1
12,20,1
18,228,1
5,6,1
7,18,1
7,123,1
8,10,1
10,57,1
17,6,1
6,97,1
11,40,1
11,88,1
10,21,1
8,187,1
8,25,1
9,65,1
7,12,1
10,59,1
10,398,1
7,66,1
3,1,1
8,31,1
9,320,1
11,355,1
10,45,1
14,299,1
7,21,1
25,263,1
13,43,1
10,61,1
11,316,1
6,14,1
9,13,1
7,10,1
7,11,1
8,49,1
7,119,1
8,309,1
9,69,1
9,11,1
7,27,1
8,181,1
8,60,1
11,352,1
10,164,1
5,31,1
5,33,1
15,495,1
12,9,1
5,12,1
4,2,1
8,575,1
10,76,1
8,220,1
7,8,1
14,383,1
5,1,1
5,12,1
9,48,1
10,90,1
7,25,1
13,418,1
9,26,1
12,324,1
9,140,1
7,223,1
28,64,1
11,207,1
8,68,1
10,369,1
7,56,1
7,1,1
9,86,1
13,41,1
6,34,1
7,40,1
11,109,1
9,73,1
13,477,1
10,65,1
8,8,1
9,40,1
11,91,1
6,35,1
12,433,1
5,37,1
7,116,1
8,62,1
9,113,1
6,8,1
8,114,1
5,57,1
8,91,1
18,10,1
9,30,1
10,207,1
9,123,1
12,104,1
8,19,1
11,253,1
7,41,1
10,86,1
20,19,1
8,8,1
7,39,1
10,121,1
6,10,1
8,40,1
11,348,1
5,12,1
9,29,1
8,34,1
5,36,1
25,784,1
11,13,1
8,36,1
17,440,1
8,151,1
12,198,1
6,9,1
9,117,1
6,59,1
11,264,1
9,130,1
9,13,1
7,44,1
11,139,1
4,78,1
9,120,1
9,119,1
8,11,1
6,40,1
23,132,1
7,2,1
14,441,1
7,29,1
7,60,1
8,26,1
7,31,1
2,4,1
14,205,1
6,66,1
6,6,1
11,217,1
13,235,1
8,260,1
9,421,1
14,98,1
9,58,1
7,9,1
11,325,1
8,8,1
5,10,1
9,382,1
7,27,1
7,355,1
6,89,1
8,46,1
8,50,1
11,40,1
8,130,1
9,135,1
5,69,1
6,38,1
9,64,1
7,14,1
9,314,1
9,135,1
12,171,1
8,44,1
10,45,1
10,69,1
10,42,1
6,21,1
8,41,1
10,71,1
9,327,1
8,29,1
6,49,1
9,159,1
7,24,1
7,50,1
7,85,1
10,47,1
8,290,1
11,87,1
7,126,1
26,650,1
6,43,1
8,22,1
6,16,1
9,41,1
11,28,1
8,36,1
7,88,1
8,63,1
8,33,1
12,172,1
10,11,1
9,84,1
11,6,1
5,14,1
9,213,1
10,161,1
7,5,1
7,17,1
7,13,1
5,34,1
7,19,1
10,422,1
24,108,1
6,26,1
7,27,1
24,267,1
15,330,1
6,56,1
6,8,1
6,21,1
7,15,1
10,13,1
10,21,1
12,7,1
13,74,1
13,14,1
7,142,1
10,11,1
7,130,1
8,353,1
10,232,1
11,41,1
9,82,1
6,16,1
6,64,1
8,62,1
1,19,1
8,45,1
10,342,1
11,123,1
13,214,1
10,199,1
9,49,1
11,15,1
8,158,1
5,1,1
9,72,1
7,18,1
11,671,1
11,168,1
11,378,1
25,306,1
8,127,1
11,135,1
9,15,1
10,14,1
5,46,1
7,39,1
6,17,1
7,9,1
5,14,1
5,29,1
10,35,1
6,65,1
8,146,1
9,128,1
10,33,1
7,19,1
6,100,1
8,55,1
6,24,1
7,2,1
13,57,1
7,28,1
7,246,1
7,31,1
9,122,1
8,49,1
7,16,1
9,55,1
13,623,1
8,9,1
9,9,1
13,438,1
8,10,1
8,42,1
10,316,1
6,14,1
8,9,1
11,235,1
12,66,1
3,22,1
9,86,1
9,52,1
8,95,1
6,85,1
9,57,1
6,56,1
22,155,1
9,114,1
1,6,1
8,239,1
10,35,1
14,360,1
5,10,1
11,15,1
7,42,1
6,3,1
10,172,1
8,110,1
10,159,1
6,214,1
7,21,1
14,364,1
7,139,1
8,74,1
7,8,1
19,24,1
11,168,1
14,396,1
14,25,1
7,18,1
5,12,1
9,44,1
9,40,1
10,38,1
7,9,1
14,236,1
11,107,1
6,42,1
6,91,1
8,76,1
8,8,1
8,17,1
8,14,1
5,25,1
9,378,1
8,18,1
10,120,1
9,409,1
5,8,1
8,10,1
9,32,1
7,4,1
8,15,1
9,135,1
14,226,1
5,11,1
17,34,1
10,35,1
