@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,8-9,11'

@attribute Height numeric
@attribute Blackpix numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
10,301,1507,1
1,73,81,2
9,476,1054,1
8,32,92,1
10,886,2740,1
10,827,2741,1
9,201,749,1
8,33,96,1
9,221,673,1
8,198,437,1
7,149,440,1
7,63,178,1
9,755,2339,1
7,333,1409,1
2,578,638,2
8,232,850,1
9,740,2732,1
7,149,415,1
8,705,1290,1
8,285,492,1
2,13,110,1
9,760,2960,1
9,143,420,1
9,117,375,1
9,478,1536,1
9,196,650,1
7,75,336,1
24,2099,4141,1
25,2207,4408,1
9,184,770,1
8,250,1277,1
9,582,2323,1
8,113,456,1
1,19,99,1
8,179,943,1
9,345,1441,1
1,22,118,1
1,10,50,1
11,438,995,1
95,5966,7968,3
9,212,298,1
15,83,113,1
13,251,331,1
10,317,410,1
9,42,70,1
13,384,723,1
1,14,14,2
13,2144,3582,1
10,869,1672,1
13,1579,2318,1
10,108,156,1
1,114,117,2
1,25,47,2
14,2010,3273,1
14,1865,2865,1
10,645,1434,1
7,223,408,1
24,2333,2523,1
11,567,1225,1
1,10,10,2
1,32,44,2
10,94,125,1
10,781,1451,1
12,1259,2062,1
26,2252,5737,1
12,12,12,4
11,937,1693,1
10,87,140,1
13,733,1375,1
10,121,159,1
10,116,171,1
14,2152,3467,1
10,105,153,1
10,114,146,1
8,617,1280,1
13,1007,1532,1
7,164,293,1
3,9,9,1
14,1584,2621,1
9,810,1649,1
10,105,161,1
24,4645,4976,1
11,609,1238,1
12,159,218,1
11,125,197,1
83,7353,16139,5
17,597,1101,1
16,2268,3544,1
14,376,561,1
16,1890,2713,1
11,140,195,1
3,10,11,1
11,125,198,1
11,14,14,4
3,11,11,1
8,69,85,1
9,573,1633,1
10,461,1226,1
8,56,78,1
9,387,748,1
8,424,1024,1
15,228,422,1
24,10359,11341,2
9,356,866,1
7,372,898,1
8,191,519,1
5,40,67,1
8,142,490,1
8,331,792,1
6,89,242,1
5,86,218,1
17,163,342,1
18,196,324,1
7,135,247,1
16,151,359,1
17,166,330,1
16,158,335,1
9,359,989,1
6,174,408,1
4,160,289,1
7,248,868,1
160,9199,10347,5
10,218,431,1
7,12,20,1
6,25,82,1
7,109,242,1
7,90,170,1
7,19,88,1
7,17,43,1
1,25,77,1
7,100,283,1
9,111,326,1
9,266,628,1
9,403,1421,1
5,20,75,1
5,7,7,4
9,123,345,1
7,38,111,1
5,40,113,1
17,328,1128,1
11,2657,2676,2
6,30,36,1
23,233,309,1
10,240,1002,1
9,51,137,1
12,721,2880,1
1,217,235,2
1,93,107,2
13,811,3291,1
2,7,21,1
6,18,38,1
8,459,1828,1
20,260,358,1
20,176,210,1
20,275,355,1
8,103,127,1
7,119,287,1
9,31,48,1
8,454,1195,1
7,28,52,1
12,89,199,1
11,48,102,1
1,192,196,2
2,193,202,2
38,1574,3051,1
1,9,9,2
14,505,1285,1
9,146,467,1
1,128,131,2
11,516,1451,1
4,1136,1264,2
