@relation page-blocks

@attribute Height numeric
@attribute Lenght numeric
@attribute Eccen numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
22,71,3.227,10.13,1
1,40,40,12,1
6,8,1.333,3.22,1
13,147,11.308,3.6,1
10,19,1.9,3,1
9,17,1.889,2.46,1
23,92,4,1.44,1
10,12,1.2,2.29,1
7,36,5.143,2.51,1
7,38,5.429,1.5,1
9,250,27.778,2.56,1
8,21,2.625,1.68,1
12,118,9.833,2.98,1
9,186,20.667,1.26,1
10,83,8.3,2.1,1
10,20,2,9,1
8,32,4,2.04,1
11,98,8.909,2.8,1
7,17,2.429,1.73,1
5,11,2.2,2.75,1
10,55,5.5,1.98,1
9,16,1.778,1.32,1
7,15,2.143,1.6,1
6,20,3.333,1.52,1
6,46,7.667,1.48,1
7,13,1.857,6,1
6,10,1.667,1.19,1
9,32,3.556,1.5,1
5,7,1.4,1.17,1
9,281,31.222,1.73,1
12,67,5.583,2.84,1
8,12,1.5,2.3,1
9,110,12.222,2.08,1
9,75,8.333,1.46,1
8,22,2.75,1.94,1
12,43,3.583,2.29,1
6,18,3,2.64,1
8,19,2.375,2.19,1
7,343,49,1.45,1
7,3,0.429,3,1
8,12,1.5,6.22,1
8,39,4.875,1.64,1
9,301,33.444,1.3,1
3,104,34.667,9.95,1
9,13,1.444,1.71,1
6,17,2.833,1.56,1
8,7,0.875,2.18,1
8,40,5,1.63,1
6,14,2.333,1.2,1
11,70,6.364,3.53,1
10,30,3,2.29,1
7,9,1.286,1.46,1
8,18,2.25,1.84,1
10,22,2.2,2.15,1
6,96,16,1.69,1
2,11,5.5,9,1
11,60,5.455,1.97,1
11,35,3.182,4.78,1
3,3,1,7,1
6,14,2.333,1.8,1
5,29,5.8,2.36,1
15,419,27.933,4.5,1
14,12,0.857,6.55,1
5,13,2.6,1.18,1
7,14,2,2.53,1
10,240,24,2.75,1
7,218,31.143,1.26,1
6,96,16,1.73,1
5,13,2.6,1.46,1
9,4,0.444,8,1
8,41,5.125,2.19,1
7,27,3.857,1.44,1
8,16,2,2,1
11,64,5.818,2,1
5,2,0.4,7,1
7,5,0.714,4.25,1
8,309,38.625,1.41,1
12,117,9.75,1.6,1
10,61,6.1,1.98,1
8,78,9.75,1.35,1
7,39,5.571,1.67,1
9,75,8.333,2.21,1
7,110,15.714,1.38,1
5,14,2.8,2.28,1
8,12,1.5,1.95,1
8,33,4.125,1.72,1
10,35,3.5,2.34,1
8,3,0.375,10,1
11,63,5.727,2.77,1
7,65,9.286,1.38,1
13,225,17.308,3.27,1
7,5,0.714,9,1
11,118,10.727,6.63,1
10,126,12.6,2.63,1
6,7,1.167,7.5,1
10,145,14.5,1.83,1
7,198,28.286,1.36,1
8,104,13,3.71,1
10,271,27.1,1.96,1
11,165,15,3.38,1
9,166,18.444,1.88,1
8,28,3.5,2.2,1
7,46,6.571,1.53,1
6,6,1,3.17,1
5,31,6.2,2.06,1
24,96,4,3.18,1
8,9,1.125,2,1
8,53,6.625,1.93,1
7,18,2.571,1.31,1
8,6,0.75,1.58,1
8,108,13.5,1.34,1
9,535,59.444,1.21,1
8,26,3.25,1.93,1
11,94,8.545,2.03,1
9,32,3.556,2.17,1
8,73,9.125,1.47,1
1,60,60,1.08,1
8,12,1.5,2,1
9,13,1.444,3.26,1
8,14,1.75,3.11,1
8,21,2.625,1.97,1
4,253,63.25,1.41,1
7,54,7.714,1.53,1
8,16,2,1.8,1
7,15,2.143,3.09,1
10,127,12.7,2.35,1
5,17,3.4,1.75,1
8,17,2.125,2.88,1
9,58,6.444,1.34,1
9,535,59.444,1.35,1
6,23,3.833,1.11,1
2,6,3,7,1
5,3,0.6,4.5,1
6,8,1.333,2,1
7,33,4.714,1.57,1
11,152,13.818,2.88,1
8,34,4.25,2,1
9,39,4.333,2.58,1
10,67,6.7,2.27,1
9,55,6.111,1.47,1
9,23,2.556,1.82,1
10,116,11.6,1.6,1
10,121,12.1,2.7,1
7,17,2.429,1.48,1
11,272,24.727,1.97,1
9,46,5.111,1.67,1
7,53,7.571,1.5,1
6,32,5.333,1.67,1
6,68,11.333,1.15,1
13,349,26.846,4.36,1
25,169,6.76,1.58,1
14,326,23.286,4.4,1
9,49,5.444,1.82,1
8,102,12.75,1.25,1
9,47,5.222,2.75,1
8,69,8.625,1.47,1
7,14,2,1.57,1
11,8,0.727,4.13,1
11,34,3.091,2.47,1
5,25,5,1.52,1
11,19,1.727,7.56,1
3,3,1,8,1
5,8,1.6,1.83,1
10,38,3.8,1.48,1
9,44,4.889,3.35,1
1,7,7,7,1
8,23,2.875,1.84,1
8,12,1.5,1.81,1
10,327,32.7,2.75,1
6,16,2.667,2.14,1
17,110,6.471,1.46,1
10,19,1.9,8.92,1
13,84,6.462,3.16,1
7,54,7.714,3.42,1
9,63,7,1.96,1
9,32,3.556,1.72,1
11,30,2.727,4.16,1
5,14,2.8,2.79,1
14,440,31.429,1.54,1
8,155,19.375,2.78,1
9,128,14.222,1.44,1
9,155,17.222,2.53,1
5,7,1.4,1.45,1
9,61,6.778,1.6,1
10,256,25.6,2.95,1
5,23,4.6,1.79,1
9,103,11.444,2.98,1
10,33,3.3,1.83,1
9,19,2.111,1.52,1
11,74,6.727,2.21,1
11,83,7.545,1.71,1
6,93,15.5,1.71,1
10,21,2.1,2.91,1
9,33,3.667,2.02,1
8,195,24.375,1.24,1
7,46,6.571,1.46,1
8,15,1.875,2.14,1
8,26,3.25,1.37,1
7,197,28.143,1.5,1
10,44,4.4,2.94,1
25,292,11.68,7.58,1
8,133,16.625,1.78,1
25,178,7.12,7.95,1
10,23,2.3,2.3,1
5,10,2,1.29,1
9,21,2.333,1.9,1
8,15,1.875,2.17,1
8,21,2.625,1.38,1
7,18,2.571,1.57,1
9,80,8.889,2.09,1
6,18,3,1.32,1
11,21,1.909,3.96,1
5,7,1.4,1.45,1
7,16,2.286,2,1
7,15,2.143,1.77,1
7,20,2.857,1.48,1
10,63,6.3,1.72,1
13,242,18.615,2.33,1
8,39,4.875,1.74,1
17,171,10.059,2.42,1
36,186,5.167,7.28,1
10,122,12.2,2.1,1
9,49,5.444,1.38,1
11,33,3,1.98,1
9,83,9.222,2.42,1
9,508,56.444,1.22,1
6,100,16.667,1.68,1
6,28,4.667,2.12,1
10,288,28.8,1.5,1
4,2,0.5,7,1
9,23,2.556,1.92,1
10,28,2.8,1.78,1
7,23,3.286,1.59,1
9,120,13.333,1.98,1
5,3,0.6,2.67,1
11,213,19.364,1.95,1
5,12,2.4,3,1
9,536,59.556,1.34,1
8,12,1.5,1.61,1
10,272,27.2,1.43,1
6,33,5.5,1.39,1
14,319,22.786,4.54,1
7,14,2,1.65,1
7,9,1.286,1.64,1
11,100,9.091,1.9,1
8,20,2.5,2.45,1
7,16,2.286,1.41,1
3,3,1,8,1
10,47,4.7,1.62,1
7,158,22.571,1.33,1
5,43,8.6,1.45,1
16,393,24.563,5.13,1
9,69,7.667,1.75,1
5,13,2.6,3,1
9,81,9,2.22,1
9,341,37.889,1.35,1
9,47,5.222,2.39,1
41,67,1.634,33.67,1
9,108,12,2.27,1
7,17,2.429,2.22,1
9,158,17.556,1.45,1
7,16,2.286,2.14,1
9,34,3.778,1.56,1
5,7,1.4,2.5,1
8,21,2.625,1.94,1
13,85,6.538,2.76,1
14,321,22.929,4.71,1
9,69,7.667,1.38,1
7,40,5.714,1.43,1
7,13,1.857,1.33,1
10,7,0.7,2.78,1
13,227,17.462,3.11,1
1,33,33,1.09,1
13,188,14.462,1.67,1
11,243,22.091,1.41,1
16,341,21.313,5.23,1
11,19,1.727,1.93,1
9,29,3.222,2.13,1
9,183,20.333,1.42,1
8,19,2.375,1.76,1
8,22,2.75,1.78,1
9,117,13,2.48,1
11,89,8.091,2.72,1
8,44,5.5,1.43,1
10,31,3.1,1.69,1
5,4,0.8,2.67,1
9,39,4.333,1.64,1
8,41,5.125,1.61,1
6,96,16,2.44,1
8,215,26.875,2.91,1
8,14,1.75,2.6,1
8,55,6.875,1.77,1
9,264,29.333,1.34,1
7,35,5,2.47,1
9,82,9.111,1.48,1
8,19,2.375,1.97,1
7,80,11.429,1.18,1
9,81,9,2.22,1
25,340,13.6,16.57,1
8,117,14.625,1.3,1
14,44,3.143,2.5,1
6,37,6.167,1.42,1
10,15,1.5,2.08,1
5,4,0.8,10,1
11,97,8.818,2.04,1
10,262,26.2,1.79,1
38,69,1.816,4.27,1
8,14,1.75,3,1
9,24,2.667,2.9,1
24,468,19.5,7.69,1
8,25,3.125,1.73,1
7,12,1.714,1.62,1
9,41,4.556,2.88,1
10,144,14.4,1.8,1
10,101,10.1,3.02,1
8,33,4.125,1.92,1
1,118,118,1.05,1
10,18,1.8,7.62,1
8,242,30.25,1.72,1
7,29,4.143,1.46,1
10,17,1.7,7.58,1
9,99,11,2.52,1
11,26,2.364,2.19,1
7,521,74.429,1.28,1
6,21,3.5,1.33,1
10,508,50.8,1.27,1
10,128,12.8,2.25,1
10,84,8.4,1.65,1
5,52,10.4,1.35,1
8,53,6.625,1.76,1
7,20,2.857,1.33,1
12,232,19.333,2.34,1
8,32,4,1.23,1
13,409,31.462,2.65,1
7,49,7,1.54,1
8,15,1.875,1.96,1
7,39,5.571,1.43,1
10,131,13.1,2.79,1
25,291,11.64,7.29,1
9,111,12.333,1.6,1
8,42,5.25,2.07,1
9,10,1.111,2.07,1
6,22,3.667,1.3,1
9,76,8.444,2.27,1
11,146,13.273,1.83,1
6,33,5.5,1.46,1
6,7,1.167,1.75,1
10,29,2.9,1.85,1
7,63,9,1.8,1
13,115,8.846,2.62,1
6,7,1.167,1.38,1
5,51,10.2,1.63,1
11,9,0.818,6,1
8,10,1.25,2,1
10,22,2.2,1.79,1
8,15,1.875,1.84,1
9,98,10.889,1.58,1
5,32,6.4,1.47,1
10,510,51,1.47,1
10,38,3.8,2.13,1
11,22,2,8.59,1
5,2,0.4,7,1
7,156,22.286,2.37,1
8,4,0.5,4.67,1
6,13,2.167,1.65,1
10,9,0.9,58,1
10,38,3.8,2.83,1
14,301,21.5,2.37,1
14,433,30.929,4.44,1
6,71,11.833,1.3,1
8,43,5.375,2.4,1
8,62,7.75,1.57,1
9,34,3.778,2.41,1
9,33,3.667,2.24,1
12,71,5.917,5.95,1
7,24,3.429,1.48,1
7,15,2.143,1.83,1
7,37,5.286,1.46,1
6,8,1.333,2.44,1
8,13,1.625,2.1,1
9,70,7.778,2.79,1
6,19,3.167,1.8,1
7,11,1.571,1.61,1
14,420,30,4.92,1
9,16,1.778,1.55,1
8,8,1,2.91,1
7,61,8.714,1.78,1
9,78,8.667,2.17,1
9,37,4.111,2.05,1
6,263,43.833,1.11,1
9,59,6.556,3.22,1
14,62,4.429,5.97,1
7,41,5.857,1.51,1
9,262,29.111,1.19,1
5,23,4.6,2.42,1
9,124,13.778,2.85,1
7,243,34.714,1.62,1
7,151,21.571,1.33,1
10,24,2.4,2.06,1
7,60,8.571,1.5,1
7,128,18.286,1.33,1
11,9,0.818,8.5,1
1,50,50,1.11,1
10,34,3.4,2.01,1
11,183,16.636,4.66,1
3,4,1.333,9,1
8,82,10.25,2.41,1
10,27,2.7,1.87,1
12,11,0.917,1.63,1
7,35,5,2.38,1
12,409,34.083,2.88,1
8,12,1.5,2.19,1
7,108,15.429,2.11,1
11,35,3.182,6.13,1
9,11,1.222,1.92,1
10,57,5.7,1.98,1
9,48,5.333,1.42,1
8,24,3,1.7,1
7,80,11.429,1.39,1
14,183,13.071,4.87,1
8,215,26.875,2.86,1
10,79,7.9,2.19,1
9,535,59.444,1.38,1
10,9,0.9,1.6,1
7,110,15.714,1.25,1
9,46,5.111,1.92,1
8,26,3.25,2.31,1
10,41,4.1,1.93,1
10,130,13,2.79,1
6,18,3,1.62,1
7,182,26,1.27,1
16,212,13.25,5.75,1
2,31,15.5,2,1
8,50,6.25,2.31,1
28,333,11.893,4.55,1
9,306,34,1.38,1
7,31,4.429,1.51,1
7,17,2.429,1.81,1
10,8,0.8,9,1
8,16,2,1.91,1
11,103,9.364,1.44,1
8,12,1.5,2.17,1
7,11,1.571,1.4,1
7,216,30.857,3.11,1
10,115,11.5,1.48,1
5,56,11.2,1.31,1
8,68,8.5,3.03,1
1,40,40,1.07,1
7,30,4.286,1.43,1
8,28,3.5,1.93,1
10,171,17.1,1.78,1
12,25,2.083,2.59,1
7,47,6.714,1.74,1
6,13,2.167,1.57,1
10,40,4,1.82,1
9,40,4.444,2.44,1
10,49,4.9,3.11,1
7,53,7.571,1.29,1
7,17,2.429,1.5,1
7,21,3,2.09,1
9,9,1,13,1
8,9,1.125,1.86,1
7,346,49.429,1.17,1
8,126,15.75,1.45,1
6,32,5.333,2.11,1
10,177,17.7,1.77,1
10,242,24.2,2.08,1
6,26,4.333,1.33,1
4,10,2.5,4,1
6,27,4.5,2.33,1
8,229,28.625,1.57,1
6,31,5.167,1.85,1
4,44,11,1.42,1
1,45,45,1.07,1
7,95,13.571,1.64,1
7,23,3.286,1.95,1
6,6,1,3.67,1
8,15,1.875,2,1
9,232,25.778,1.76,1
8,32,4,2.09,1
8,23,2.875,1.76,1
20,39,1.95,3.42,1
8,80,10,1.72,1
9,47,5.222,1.95,1
9,14,1.556,1.36,1
3,9,3,2,1
9,111,12.333,1.7,1
8,16,2,2.9,1
7,11,1.571,1.75,1
9,132,14.667,1.54,1
11,125,11.364,3.03,1
9,82,9.111,2.39,1
8,20,2.5,1.86,1
25,294,11.76,7.72,1
10,29,2.9,2.47,1
8,16,2,2.2,1
9,14,1.556,6.17,1
10,284,28.4,1.43,1
6,57,9.5,2.46,1
8,15,1.875,1.57,1
5,81,16.2,1.3,1
8,48,6,1.76,1
10,15,1.5,1.41,1
8,8,1,2.54,1
6,39,6.5,1.66,1
13,369,28.385,4.79,1
8,9,1.125,2.08,1
10,99,9.9,2.64,1
16,415,25.938,5.17,1
9,274,30.444,1.31,1
6,45,7.5,1.73,1
9,123,13.667,2.84,1
10,49,4.9,2.97,1
3,5,1.667,4,1
7,211,30.143,1.7,1
7,100,14.286,1.63,1
7,62,8.857,1.46,1
10,80,8,2.06,1
87,116,1.333,104.95,1
7,49,7,1.34,1
7,97,13.857,1.68,1
12,8,0.667,3.11,1
9,21,2.333,1.31,1
10,17,1.7,3.86,1
77,271,3.519,11.28,1
11,20,1.818,2.58,1
8,126,15.75,1.27,1
11,118,10.727,2.71,1
10,29,2.9,3.56,1
8,15,1.875,2.5,1
9,135,15,1.56,1
9,11,1.222,1.56,1
6,39,6.5,2.1,1
10,47,4.7,2.3,1
7,19,2.714,1.74,1
9,54,6,1.49,1
9,32,3.556,1.68,1
4,6,1.5,5.5,1
7,17,2.429,2.71,1
9,22,2.444,3.31,1
4,31,7.75,1.58,1
6,11,1.833,1.33,1
22,208,9.455,1.59,1
9,62,6.889,3.26,1
8,52,6.5,2.88,1
6,10,1.667,1.78,1
7,23,3.286,1.29,1
9,17,1.889,8.36,1
7,14,2,2.72,1
8,12,1.5,2.56,1
8,25,3.125,1.83,1
8,26,3.25,2.44,1
8,10,1.25,1.53,1
10,41,4.1,2.07,1
7,4,0.571,2.2,1
9,49,5.444,3.12,1
11,62,5.636,1.62,1
7,29,4.143,1.33,1
14,348,24.857,1.56,1
8,39,4.875,1.21,1
9,81,9,1.97,1
7,11,1.571,1.48,1
12,58,4.833,3.85,1
10,271,27.1,1.28,1
7,27,3.857,1.32,1
9,46,5.111,1.43,1
10,292,29.2,1.5,1
10,99,9.9,1.92,1
10,97,9.7,2.48,1
38,127,3.342,3.41,1
3,4,1.333,11,1
6,13,2.167,1.54,1
9,27,3,1.95,1
4,12,3,1,1
6,11,1.833,1.53,1
7,8,1.143,2.86,1
6,8,1.333,1.07,1
7,20,2.857,1.46,1
10,10,1,3.17,1
7,38,5.429,1.38,1
5,27,5.4,3.08,1
10,35,3.5,2.23,1
9,100,11.111,1.91,1
9,35,3.889,1.37,1
7,135,19.286,1.09,1
11,141,12.818,2.85,1
9,99,11,2.52,1
9,314,34.889,1.25,1
8,4,0.5,1.5,1
7,11,1.571,2.57,1
9,99,11,2.65,1
8,30,3.75,2.02,1
11,303,27.545,7.49,1
7,14,2,1.94,1
8,43,5.375,1.4,1
37,101,2.73,2.44,1
5,39,7.8,2.09,1
8,75,9.375,3.02,1
7,42,6,1.79,1
8,65,8.125,1.4,1
8,508,63.5,1.28,1
10,317,31.7,1.32,1
15,154,10.267,5.84,1
9,107,11.889,1.94,1
6,51,8.5,1.48,1
28,32,1.143,7.02,1
5,27,5.4,2.18,1
5,5,1,5,1
7,14,2,2.5,1
11,25,2.273,1.9,1
14,284,20.286,5.1,1
9,34,3.778,1.42,1
7,92,13.143,1.88,1
7,47,6.714,1.29,1
8,40,5,2.47,1
16,376,23.5,5.57,1
7,59,8.429,1.79,1
8,37,4.625,2.22,1
11,123,11.182,5.74,1
9,20,2.222,2.2,1
7,19,2.714,1.37,1
9,98,10.889,2.06,1
11,112,10.182,1.73,1
7,25,3.571,1.22,1
9,103,11.444,2.47,1
9,12,1.333,4.79,1
14,422,30.143,1.7,1
17,245,14.412,12.97,1
6,6,1,1.88,1
9,18,2,8.8,1
9,26,2.889,1.74,1
13,67,5.154,6.6,1
11,161,14.636,3.05,1
13,386,29.692,2.19,1
8,28,3.5,3.14,1
7,21,3,1.68,1
7,17,2.429,1.74,1
5,12,2.4,2,1
14,410,29.286,2.4,1
24,124,5.167,16.66,1
11,94,8.545,2.18,1
12,102,8.5,2.09,1
9,43,4.778,2.25,1
9,37,4.111,2.03,1
11,42,3.818,1.93,1
12,115,9.583,1.74,1
10,318,31.8,1.18,1
7,25,3.571,1.81,1
8,64,8,1.63,1
10,534,53.4,1.28,1
8,4,0.5,2.17,1
9,33,3.667,1.85,1
9,536,59.556,1.38,1
9,532,59.111,1.29,1
24,336,14,15.91,1
3,4,1.333,10,1
7,35,5,2.81,1
10,67,6.7,2.14,1
10,64,6.4,2.25,1
7,38,5.429,2.04,1
10,21,2.1,2.11,1
12,12,1,1.69,1
10,16,1.6,2.14,1
8,83,10.375,1.76,1
12,80,6.667,2.45,1
8,12,1.5,2.05,1
7,13,1.857,1.89,1
8,215,26.875,2.6,1
7,6,0.857,2.29,1
9,108,12,2.22,1
11,22,2,1.86,1
9,18,2,1.84,1
8,31,3.875,1.87,1
11,271,24.636,1.35,1
8,9,1.125,2.15,1
8,28,3.5,19.6,1
24,166,6.917,17.08,1
7,59,8.429,1.38,1
9,47,5.222,1.99,1
11,20,1.818,8.86,1
12,8,0.667,7,1
9,28,3.111,1.47,1
11,132,12,2.04,1
14,320,22.857,4.46,1
7,20,2.857,1.19,1
8,135,16.875,1.54,1
8,53,6.625,1.63,1
9,55,6.111,1.92,1
12,50,4.167,2.72,1
13,291,22.385,2.68,1
5,13,2.6,1.87,1
11,272,24.727,1.47,1
5,17,3.4,1.83,1
10,10,1,28,1
7,14,2,1.84,1
8,100,12.5,1.58,1
9,161,17.889,2.41,1
11,8,0.727,9,1
5,43,8.6,1.42,1
9,82,9.111,2.11,1
9,44,4.889,2.97,1
7,2,0.286,7,1
14,298,21.286,3.49,1
14,419,29.929,4.51,1
8,14,1.75,1.55,1
6,18,3,4.43,1
8,17,2.125,2.22,1
9,29,3.222,2.4,1
9,84,9.333,2.08,1
6,83,13.833,1.58,1
8,271,33.875,1.82,1
1,89,89,1.06,1
8,19,2.375,1.83,1
10,38,3.8,3.12,1
10,73,7.3,1.84,1
6,14,2.333,2.4,1
10,12,1.2,1.82,1
10,23,2.3,2.35,1
8,63,7.875,2.41,1
4,24,6,2.04,1
6,32,5.333,1.37,1
8,26,3.25,2.41,1
6,4,0.667,3.5,1
9,108,12,1.73,1
7,10,1.429,1.25,1
9,75,8.333,2.19,1
9,343,38.111,1.24,1
7,6,0.857,1.4,1
12,311,25.917,1.64,1
10,31,3.1,6.67,1
6,14,2.333,1.79,1
11,80,7.273,4.98,1
10,93,9.3,1.48,1
12,257,21.417,3,1
8,41,5.125,1.63,1
7,183,26.143,1.88,1
7,133,19,1.75,1
12,22,1.833,8.35,1
7,148,21.143,1.2,1
10,9,0.9,2.82,1
10,27,2.7,6.07,1
9,37,4.111,1.54,1
7,143,20.429,1.47,1
4,47,11.75,2.33,1
5,16,3.2,2.65,1
9,52,5.778,1.84,1
11,22,2,7.78,1
7,13,1.857,2.25,1
10,100,10,2.82,1
6,13,2.167,3,1
9,83,9.222,2.94,1
10,323,32.3,1.38,1
7,4,0.571,1.75,1
1,40,40,1.14,1
18,64,3.556,3.24,1
9,9,1,7.38,1
10,26,2.6,2.09,1
9,181,20.111,1.66,1
6,27,4.5,2,1
7,9,1.286,1.5,1
23,26,1.13,1.8,1
6,96,16,2.01,1
9,121,13.444,2.4,1
8,20,2.5,1.88,1
5,6,1.2,1.63,1
5,5,1,1.29,1
10,15,1.5,1.61,1
8,19,2.375,1.94,1
8,35,4.375,1.96,1
11,90,8.182,4.6,1
12,410,34.167,2.47,1
10,271,27.1,1.39,1
14,359,25.643,4.56,1
9,95,10.556,2.1,1
9,84,9.333,1.81,1
10,262,26.2,1.8,1
8,5,0.625,1.55,1
9,91,10.111,1.71,1
11,82,7.455,1.97,1
9,130,14.444,2.86,1
5,10,2,2.33,1
11,271,24.636,1.99,1
12,118,9.833,2.42,1
7,41,5.857,1.36,1
7,43,6.143,1.29,1
8,36,4.5,2.03,1
7,7,1,1.27,1
7,24,3.429,1.22,1
9,56,6.222,1.26,1
8,53,6.625,1.64,1
7,163,23.286,1.31,1
25,71,2.84,2.22,1
5,12,2.4,1.71,1
5,14,2.8,2,1
8,23,2.875,2.09,1
12,84,7,1.91,1
8,20,2.5,2.25,1
11,9,0.818,4.44,1
5,6,1.2,1.63,1
9,25,2.778,2.25,1
8,15,1.875,1.86,1
10,98,9.8,2.1,1
9,106,11.778,2.8,1
7,11,1.571,1.64,1
4,8,2,1.83,1
10,251,25.1,1.29,1
8,8,1,2.73,1
7,14,2,1.6,1
7,375,53.571,1.21,1
7,23,3.286,1.39,1
7,16,2.286,1.75,1
11,344,31.273,4.71,1
31,322,10.387,16.87,1
7,11,1.571,1.59,1
9,105,11.667,1.91,1
9,34,3.778,1.57,1
7,44,6.286,1.58,1
12,67,5.583,3.68,1
16,90,5.625,1.39,1
12,8,0.667,2.11,1
8,18,2.25,2.38,1
7,41,5.857,1.73,1
9,505,56.111,1.32,1
11,53,4.818,3.45,1
16,417,26.063,5.29,1
10,20,2,2.13,1
7,2,0.286,10,1
10,183,18.3,1.67,1
9,102,11.333,2.81,1
8,83,10.375,2.17,1
7,22,3.143,1.32,1
10,52,5.2,1.87,1
8,272,34,1.32,1
8,32,4,34.33,1
11,43,3.909,2.18,1
11,32,2.909,2.69,1
7,33,4.714,1.2,1
8,7,0.875,1.55,1
5,11,2.2,1.7,1
9,22,2.444,2.48,1
7,3,0.429,4,1
10,51,5.1,1.66,1
9,33,3.667,2.47,1
7,34,4.857,1.31,1
9,101,11.222,2.68,1
10,20,2,2.9,1
8,16,2,2.54,1
5,19,3.8,1.5,1
14,5,0.357,6.2,1
7,15,2.143,6.17,1
8,62,7.75,3.03,1
8,20,2.5,2,1
6,131,21.833,1.38,1
