@relation page-blocks

@attribute Eccen numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
2,23,1
3,20,1
0.8,8,1
13.5,144,1
0.857,11,1
7.3,108,1
1.429,15,1
34.083,515,1
2.444,16,1
1,10,1
9.222,90,1
26.214,398,1
20.667,220,1
2.429,21,1
16,98,1
5.857,70,1
5.25,74,1
1.8,8,1
27.667,344,1
1.889,24,1
7.375,272,1
1.889,28,1
20.333,252,1
4.143,34,1
2.333,25,1
40,3,1
4.667,58,1
26.875,243,1
11.875,106,1
10.6,46,1
6.25,44,1
26.182,386,1
17.25,57,1
3.3,43,1
4.5,62,1
1.222,13,1
16.889,187,1
12,142,1
1.571,18,1
10.222,118,1
2,19,1
1,10,1
4.848,182,1
4.2,21,1
0.714,1,1
8.667,170,1
8,78,1
1.75,20,1
0.571,4,1
24.846,449,1
2.167,6,1
5.222,80,1
5.167,35,1
1.25,18,1
38.625,325,1
51.1,596,1
3.875,55,1
1.167,4,1
3.417,69,1
1,6,1
6.3,83,1
1.5,21,1
2.857,26,1
1.75,23,1
8.875,102,1
8.8,21,1
2.556,41,1
3.714,40,1
8.909,122,1
2.875,25,1
18.8,79,1
21.5,239,1
1.5,15,1
2.571,23,1
25.917,443,1
4.222,47,1
25.5,482,1
4.4,27,1
0.917,30,1
2.667,36,1
24.375,221,1
2.818,53,1
5.667,58,1
1.857,19,1
10.5,110,1
1.625,25,1
6.167,39,1
3.25,32,1
11.444,159,1
1.182,24,1
5.375,69,1
3.778,53,1
2.25,32,1
3.4,71,1
1.5,32,1
7.273,87,1
1,2,1
65.625,297,1
13.1,206,1
1.714,14,1
3.143,33,1
1.571,16,1
7.375,80,1
1.412,25,1
4.667,61,1
2.375,37,1
54.667,476,1
2.714,26,1
9.833,189,1
15.4,192,1
19,70,1
29.667,307,1
1.571,20,1
3.857,5,1
7,83,1
1.091,16,1
2.875,39,1
3.8,59,1
2.167,21,1
2.375,18,1
1.875,26,1
0.75,3,1
2.375,22,1
1.167,6,1
2.2,29,1
12,141,1
2.667,35,1
2.875,40,1
1,9,1
1.5,20,1
18.556,197,1
1.5,13,1
6.25,70,1
3.6,51,1
1.714,21,1
4.091,66,1
9.375,115,1
6.556,91,1
16.778,236,1
4.5,53,1
0.429,3,1
26.2,390,1
1.286,1,1
2.75,35,1
2.167,17,1
2.6,40,1
5.714,44,1
4,56,1
6.429,57,1
10.231,127,1
8.875,95,1
1.25,13,1
2.7,39,1
1.5,20,1
33.222,385,1
6.625,76,1
24.286,503,1
3.2,10,1
2.222,12,1
11.364,196,1
23.412,408,1
1.125,16,1
5.1,81,1
1.9,14,1
4.125,62,1
2.286,27,1
12.6,58,1
6.429,54,1
24.286,356,1
2.6,15,1
14.412,293,1
3.857,34,1
1.929,25,1
3.909,61,1
0.75,9,1
5.154,74,1
10.5,5,1
21.9,270,1
5.833,42,1
8.545,126,1
26.2,391,1
22.583,391,1
13.571,114,1
5.143,52,1
9.308,159,1
3,47,1
1.5,14,1
11,129,1
20.714,140,1
2.556,39,1
0.75,5,1
4.1,68,1
4.429,45,1
3.5,22,1
1.5,20,1
3.3,63,1
3.583,66,1
17.25,292,1
34.286,221,1
5,33,1
14,163,1
18.5,237,1
4,38,1
1,1,1
2.222,33,1
25.643,405,1
8.364,159,1
2.444,23,1
3.778,57,1
16.727,211,1
34,299,1
7.286,70,1
29.2,397,1
10,146,1
46.455,671,1
11.5,151,1
0.571,3,1
27.231,398,1
4.545,74,1
5.143,56,1
6.2,36,1
6.429,65,1
2.167,43,1
2.375,19,1
24.875,155,1
2,23,1
7,120,1
4.125,43,1
1.333,8,1
6,110,1
3.286,29,1
5,44,1
3.136,74,1
12.375,114,1
12.889,190,1
25,253,1
2.667,8,1
3,28,1
16.5,123,1
10.667,124,1
35,175,1
3,4,1
26.429,554,1
6.143,68,1
22.7,311,1
4.6,24,1
7.44,310,1
3.5,45,1
1.667,2,1
17,158,1
11.889,146,1
4.4,72,1
3.222,47,1
22.882,455,1
3.5,19,1
31.5,227,1
59.444,596,1
6.667,37,1
10,159,1
6.4,47,1
4.143,43,1
1.2,3,1
16.769,344,1
9.222,111,1
29.286,576,1
8.75,112,1
1.167,6,1
1.143,13,1
16,81,1
8.714,77,1
1.429,6,1
20.111,213,1
9.9,136,1
3.5,43,1
21.308,407,1
0.857,10,1
5.222,56,1
8.167,129,1
4.4,66,1
5.5,38,1
13.5,150,1
8.167,135,1
1.125,12,1
8.444,112,1
15,111,1
17.9,254,1
9.286,82,1
3.667,46,1
4.1,66,1
21.5,458,1
10.714,63,1
13.273,209,1
0.8,3,1
12.286,109,1
20.25,85,1
17.375,82,1
7.364,109,1
27.571,203,1
1.286,9,1
8.143,61,1
1,11,1
7.833,31,1
1.727,26,1
1.875,25,1
9.375,100,1
3.4,61,1
9.375,105,1
1.4,6,1
1.083,26,1
28.875,236,1
4.333,64,1
1.5,16,1
1.667,14,1
2.75,37,1
5.4,21,1
19.286,99,1
12.1,131,1
18.889,218,1
10.44,326,1
0.667,4,1
0.667,2,1
10,2,1
19.667,227,1
1.6,9,1
2,19,1
3.3,40,1
23.444,282,1
7.875,106,1
12.375,113,1
20.222,210,1
12.5,195,1
19.5,689,1
3.5,66,1
3.222,38,1
2,16,1
3.143,32,1
1.286,13,1
2.273,40,1
9,82,1
6.667,52,1
3.25,44,1
36.778,452,1
7.75,81,1
5.75,62,1
51,612,1
9.3,140,1
0.75,11,1
4.571,52,1
7.667,60,1
4.889,64,1
1.8,12,1
6.7,94,1
8.75,160,1
6,96,1
0.889,4,1
1.833,17,1
0.5,1,1
4.857,42,1
1.75,7,1
1.778,27,1
5.4,34,1
8.444,114,1
4.071,49,1
2,31,1
26.667,306,1
3,27,1
1.143,10,1
8.875,100,1
1.909,24,1
3.857,12,1
9.143,76,1
2.857,31,1
4.143,42,1
8.8,124,1
1.333,28,1
51.1,534,1
2.857,24,1
3.25,43,1
1,7,1
8.429,76,1
10,93,1
3.125,41,1
1.667,14,1
1.5,19,1
21.75,364,1
1.2,6,1
30.636,318,1
0.714,6,1
0.727,10,1
60,12,1
21.143,159,1
6.667,81,1
2.667,35,1
8.167,32,1
14.1,148,1
1.556,17,1
5,22,1
0.857,12,1
17.545,325,1
12.6,200,1
25.167,429,1
0.8,1,1
36.889,393,1
4.429,33,1
1.571,17,1
1,8,1
4.418,1134,1
4.286,48,1
6,67,1
2.167,16,1
50.9,401,1
2,12,1
2.429,10,1
3.333,33,1
18.667,221,1
12.6,45,1
4.429,39,1
12.182,179,1
2.333,29,1
1.182,27,1
6.7,86,1
4.333,50,1
1.2,22,1
2.875,34,1
3.222,45,1
6.474,1,1
11.9,169,1
7.563,137,1
0.733,8,1
6.6,95,1
7,1,1
23.706,440,1
1.8,11,1
3.556,57,1
0.6,3,1
14.167,643,1
4,56,1
5.583,88,1
4.167,34,1
16.667,120,1
2.714,28,1
8.5,57,1
2.714,29,1
1.143,14,1
8.75,115,1
0.455,3,1
3.571,40,1
16.778,181,1
11.778,150,1
1.167,8,1
8.923,177,1
3.8,52,1
1.143,12,1
1.125,13,1
16.167,80,1
6,90,1
3.8,22,1
0.647,8,1
2.333,14,1
39.111,486,1
1.333,27,1
1.571,18,1
2.222,32,1
1,8,1
2,15,1
2,14,1
6.083,108,1
13.143,106,1
2.6,16,1
4.5,7,1
5.571,63,1
4,58,1
36,7,1
4.6,333,1
5.8,31,1
28.667,175,1
6.625,67,1
2.625,34,1
5.6,31,1
2.857,33,1
9.182,178,1
4.5,59,1
8.375,82,1
1.5,19,1
14.667,146,1
1.5,24,1
0.375,4,1
1.857,17,1
12.2,164,1
19.8,784,1
2.889,48,1
2,14,1
12.5,113,1
2,19,1
4.375,56,1
4.143,37,1
12,2,1
16.4,70,1
2.923,43,1
13.5,109,1
1.75,23,1
14,100,1
3,54,1
10,139,1
10.286,110,1
4.429,43,1
7.111,95,1
15.833,73,1
3.5,63,1
9.273,173,1
4,65,1
7.75,305,1
2,14,1
30.222,365,1
21.818,348,1
5.857,62,1
2.143,7,1
4.111,57,1
1.917,21,1
17.308,226,1
1.333,28,1
19.214,276,1
2.75,37,1
4.727,84,1
0.833,10,1
2.286,22,1
10.375,123,1
5.222,76,1
1.5,18,1
26.444,285,1
14.8,258,1
4.5,69,1
51.1,555,1
3.25,39,1
2,23,1
7.375,63,1
3.143,15,1
15.667,66,1
3.889,52,1
6,52,1
22.583,423,1
5.111,68,1
89,14,1
6,75,1
2,24,1
8.167,61,1
10,84,1
22.571,198,1
3.4,18,1
4.857,45,1
24.444,316,1
4.833,39,1
23.125,199,1
6.5,32,1
5.5,1,1
27.9,389,1
10.1,156,1
14.4,205,1
7.818,143,1
7.083,223,1
3.829,703,1
15.75,149,1
22.5,230,1
5,50,1
5.429,45,1
3.778,66,1
7.571,53,1
3.556,41,1
8.75,95,1
3.571,41,1
10.333,125,1
20.571,75,1
1.5,28,1
0.818,12,1
35,6,1
21.889,278,1
1.286,9,1
4.9,93,1
1.2,1,1
5.125,59,1
56.444,461,1
4.75,18,1
2.9,42,1
7.375,268,1
14,45,1
23.923,537,1
3.6,58,1
17.077,221,1
56.667,513,1
3.286,35,1
41.778,569,1
0.9,1,1
3.667,67,1
8.625,90,1
4,31,1
1.4,6,1
2.3,30,1
3.333,29,1
27.1,318,1
3.375,45,1
3.818,68,1
2.25,31,1
16,102,1
6.5,112,1
12,64,1
22.571,146,1
17.6,263,1
0.818,9,1
24.667,266,1
5.286,43,1
1.875,19,1
4.75,55,1
4,55,1
1.125,13,1
0.75,9,1
6.714,54,1
4,212,1
25,283,1
59.444,617,1
23.2,100,1
3,46,1
2.333,21,1
2.6,21,1
1.429,16,1
5.8,83,1
5.8,33,1
5,54,1
10.778,174,1
7.727,135,1
0.727,7,1
9.556,105,1
4.857,50,1
29.929,485,1
20.091,312,1
1.167,9,1
3.429,32,1
23.727,361,1
4,35,1
1.556,12,1
3.25,33,1
1.571,19,1
1.75,19,1
12,171,1
1,18,1
5,68,1
8.286,38,1
1.286,12,1
15,67,1
1.5,25,1
5.727,83,1
0.636,8,1
10,67,1
3.9,62,1
7.8,21,1
1.833,13,1
1.294,34,1
10.727,168,1
31.556,286,1
31.462,556,1
0.875,10,1
2.222,20,1
2.455,37,1
5.222,48,1
2.125,26,1
24.8,340,1
23.727,381,1
5,56,1
4.111,50,1
2,13,1
1.727,17,1
10.7,161,1
13,92,1
6.6,41,1
19.333,193,1
1.857,15,1
16.636,207,1
11.222,150,1
24.727,423,1
1.571,19,1
7.571,63,1
2,20,1
41,409,1
3,32,1
1.6,16,1
5,125,1
1.5,21,1
57.556,360,1
0.556,6,1
3.111,41,1
35.4,117,1
2.571,28,1
1.333,27,1
5.875,68,1
3.3,60,1
10.222,123,1
0.857,10,1
4.875,72,1
35,333,1
25.857,242,1
3.4,26,1
9.4,138,1
2.333,35,1
9.111,118,1
12.75,138,1
7,3,1
22.25,74,1
3.6,55,1
27.545,67,1
3,28,1
2.25,9,1
11.68,459,1
10.111,71,1
2.125,9,1
12,63,1
25.25,276,1
2.714,30,1
11.2,26,1
19,108,1
1.368,256,1
16,100,1
9.3,130,1
19.6,330,1
2,23,1
31.222,398,1
1,18,1
1.833,20,1
1.25,17,1
18.8,53,1
9.556,109,1
2.75,14,1
1.167,9,1
5.375,56,1
3.556,47,1
3.714,23,1
9.462,156,1
4.571,55,1
16.636,208,1
2.473,58,1
20.462,286,1
1,8,1
24.727,392,1
18.3,293,1
1.889,25,1
1.9,14,1
2.013,78,1
2,23,1
8.333,49,1
21.417,291,1
2.167,15,1
1.3,25,1
14.875,189,1
2.125,25,1
3.75,42,1
17.111,192,1
5.333,83,1
32.5,463,1
1.412,34,1
7.375,76,1
13.667,39,1
6,27,1
8.286,207,1
7.92,270,1
5.182,73,1
9.375,84,1
3.8,15,1
1.875,14,1
2.778,40,1
3.75,49,1
19.25,190,1
1,12,1
4.9,86,1
6.842,267,1
7.727,145,1
3.222,46,1
3,56,1
0.8,8,1
10.556,116,1
6.571,44,1
66.875,520,1
8.909,164,1
2.125,22,1
59.444,470,1
12.5,170,1
2,19,1
2.067,24,1
2.25,10,1
18.444,190,1
8.25,274,1
1.5,22,1
3.571,42,1
4.556,58,1
37.462,745,1
4.125,60,1
3.25,43,1
11.889,135,1
1.933,55,1
2,13,1
4.5,35,1
5.375,69,1
5.714,64,1
30.714,253,1
24.727,420,1
13.667,153,1
1.2,10,1
5.5,105,1
2.556,33,1
0.714,7,1
18.111,137,1
17.6,96,1
5.333,39,1
2.286,14,1
25.583,444,1
1.8,31,1
16,120,1
2.3,31,1
56.111,654,1
3.333,66,1
0.571,3,1
6.857,64,1
30,593,1
17.538,238,1
2.923,39,1
8.6,61,1
8.6,55,1
13,121,1
0.6,3,1
5,60,1
6.154,81,1
15,193,1
2.714,26,1
7.636,155,1
1.923,19,1
30.25,195,1
2.286,14,1
5.571,56,1
37,452,1
15.9,192,1
5.625,19,1
1.875,25,1
1.571,20,1
13.5,182,1
7.222,96,1
1.429,18,1
3.625,30,1
1.333,1,1
6.222,84,1
1.857,21,1
0.75,4,1
0.778,13,1
2.6,49,1
1.143,7,1
9.8,171,1
14.833,89,1
0.8,3,1
22.667,404,1
7.333,96,1
8.5,96,1
5.8,36,1
3.222,41,1
6.333,105,1
8.818,139,1
3.857,16,1
30.222,353,1
5.75,65,1
7.48,303,1
1.857,19,1
1.8,16,1
1.6,13,1
27.1,380,1
3.75,41,1
4.375,51,1
2.636,42,1
8.2,108,1
36.778,421,1
6.625,218,1
4.125,39,1
1.222,18,1
1.3,17,1
66.875,575,1
4.3,55,1
11.5,83,1
4.5,50,1
2.2,15,1
6,85,1
1.1,31,1
3.833,35,1
3,31,1
22,5,1
19.75,97,1
9.222,89,1
5.444,72,1
16.5,181,1
2.8,9,1
2.25,32,1
1.625,20,1
3.1,52,1
10.789,1651,1
3.227,72,1
25.6,327,1
1,4,1
0.571,2,1
5.125,67,1
6.875,56,1
1,11,1
3.8,28,1
1.75,9,1
2.2,13,1
7.5,103,1
1.5,21,1
12.8,202,1
5.875,64,1
3.625,43,1
16.714,121,1
7.111,84,1
28.286,62,1
10.25,105,1
36.778,308,1
2.556,28,1
8.182,158,1
24.727,352,1
2.125,24,1
24.313,424,1
0.5,4,1
18,248,1
7.875,85,1
8.75,98,1
0.692,14,1
2.444,40,1
1.9,14,1
1.625,27,1
3,25,1
1.4,8,1
3.571,27,1
43,559,1
10.385,157,1
1.5,23,1
2.222,35,1
30.111,382,1
2.286,14,1
4.667,14,1
2.4,13,1
6.111,77,1
7,149,1
8.875,112,1
30.222,252,1
3.556,39,1
5.875,56,1
21.714,179,1
4,31,1
0.75,6,1
31.7,298,1
7.7,137,1
6.455,65,1
10.889,122,1
22.667,397,1
4.9,88,1
3.222,44,1
16.818,246,1
19.2,74,1
23.875,444,1
4.071,48,1
8,81,1
4.556,65,1
4.6,79,1
2.875,32,1
10,111,1
17.571,95,1
1,13,1
37.429,218,1
5,50,1
3.333,51,1
3.167,26,1
4,61,1
2.429,43,1
13.857,79,1
47.4,585,1
15.333,144,1
26,412,1
2.143,27,1
4.167,35,1
20.111,216,1
6.833,46,1
3.818,70,1
11.889,152,1
17.625,227,1
29.111,356,1
5,68,1
21.429,462,1
7.75,80,1
5.857,45,1
1.143,12,1
2.556,41,1
9.111,125,1
1.778,27,1
3.5,40,1
19.6,85,1
1.75,23,1
0.571,3,1
3.333,44,1
4.875,55,1
5.571,24,1
1.571,16,1
0.286,4,1
2.833,26,1
5.4,35,1
2,1,1
11.308,456,1
2.75,34,1
12.6,196,1
21.222,264,1
1.625,23,1
6.625,80,1
5.714,51,1
22.333,216,1
2.167,14,1
10.929,183,1
10.25,95,1
2.3,34,1
3.111,43,1
2.286,19,1
4.818,75,1
7.909,128,1
2.538,27,1
6.455,120,1
2.75,31,1
6.625,86,1
2.333,21,1
34,311,1
3.778,42,1
1.4,8,1
2.667,23,1
1,1,1
8.6,149,1
19.625,679,1
1.9,16,1
0.75,6,1
6.2,37,1
20.111,201,1
2,18,1
7.333,101,1
18.444,217,1
2.714,32,1
0.833,6,1
10.333,122,1
9.2,164,1
9.75,113,1
7.714,69,1
3.286,41,1
2.368,69,1
4.5,65,1
9.182,165,1
3.5,33,1
14.25,73,1
3.182,257,1
1.875,24,1
29.125,309,1
8.5,171,1
1.5,20,1
3,22,1
4.833,37,1
11.333,56,1
1.889,34,1
1.111,15,1
9.364,123,1
21.571,61,1
16,100,1
1.625,20,1
21.182,349,1
10.571,91,1
4.7,69,1
0.5,6,1
18.111,170,1
3.286,38,1
15.667,65,1
4.875,58,1
3.75,47,1
24.636,388,1
4,62,1
3.273,82,1
22.5,220,1
0.625,6,1
24,203,1
18.8,77,1
22.786,364,1
2.429,17,1
4.429,47,1
1.5,20,1
14.583,198,1
54.444,212,1
17.571,137,1
0.625,9,1
33,518,1
10.3,146,1
4.182,79,1
9,117,1
1.875,26,1
7.4,306,1
1.286,12,1
8.625,83,1
10.111,119,1
0.87,11,1
1.875,22,1
16.727,195,1
7.417,258,1
7.25,65,1
4.1,68,1
41.3,527,1
1.625,23,1
7,49,1
15.833,82,1
27.1,388,1
1.8,29,1
4.333,55,1
56.556,328,1
8.625,82,1
2.6,7,1
4,20,1
2,17,1
2.222,26,1
30,279,1
34.143,177,1
3,18,1
0.4,1,1
17.182,256,1
21.5,358,1
2.5,39,1
6.889,87,1
4.625,77,1
11.833,43,1
31.444,389,1
33.846,669,1
2.75,32,1
8.714,77,1
5.625,158,1
59.444,555,1
22.273,344,1
2.714,32,1
2.2,27,1
5.143,56,1
1.333,7,1
3.222,33,1
30,449,1
3,7,1
109,19,1
18.778,217,1
17.333,111,1
2.4,6,1
2.8,19,1
3.375,43,1
14.636,191,1
13.889,140,1
1.714,20,1
49,2,1
1,9,1
12.455,177,1
1.167,5,1
13.5,126,1
18.333,197,1
2,20,1
26.063,481,1
1.556,12,1
0.667,10,1
1.8,10,1
2.5,35,1
5.75,65,1
2.714,31,1
0.625,6,1
1,2,1
3.5,51,1
0.889,15,1
3.143,98,1
6.9,103,1
13.6,444,1
6,91,1
4.429,39,1
19.167,130,1
3.778,49,1
6,33,1
4.625,50,1
2.5,28,1
5.111,63,1
4.875,65,1
2.125,27,1
1.333,28,1
8.333,119,1
0.857,1,1
5.125,77,1
4.077,61,1
5.217,149,1
2.167,8,1
6.556,81,1
17.667,72,1
2.5,12,1
10.267,167,1
6.3,84,1
13.75,122,1
18.5,198,1
3.8,50,1
4.875,56,1
16,76,1
2,29,1
0.619,20,1
9.111,99,1
5.625,204,1
6.625,86,1
4.778,55,1
2.909,52,1
2.286,24,1
4.429,51,1
4.5,55,1
1.3,23,1
11.111,121,1
2.143,22,1
4.857,42,1
2.625,27,1
1.8,23,1
4.909,77,1
0.917,7,1
7.286,75,1
24.75,260,1
27.889,317,1
4.5,60,1
1.333,18,1
2.571,12,1
1.8,7,1
7.2,25,1
21.556,238,1
27.778,316,1
2.167,17,1
6.75,82,1
4,58,1
6.625,87,1
1.5,19,1
4.6,66,1
2.75,12,1
6.4,109,1
6.143,21,1
0.714,1,1
0.7,13,1
1.8,37,1
10.818,177,1
11.615,229,1
1.857,7,1
33.875,375,1
20.556,222,1
4.143,52,1
6,43,1
3.8,20,1
2.857,31,1
37.889,165,1
1.25,17,1
40,6,1
26.2,369,1
5.333,42,1
5,56,1
3.286,33,1
5.391,156,1
10.5,125,1
16,67,1
2.923,42,1
4.1,69,1
11.692,220,1
5.556,54,1
1.286,9,1
11.5,187,1
0.625,8,1
0.571,1,1
2.875,40,1
5.222,86,1
1.5,18,1
1.444,19,1
1.9,14,1
7.417,131,1
4.5,33,1
1.5,20,1
30,264,1
3,28,1
1.714,19,1
2.714,27,1
1.286,15,1
2.8,21,1
12.222,148,1
9.25,108,1
2.833,27,1
1.75,20,1
30,59,1
8.333,121,1
3,35,1
12.25,156,1
3.778,47,1
19,191,1
2.167,17,1
28,380,1
6.75,69,1
1.333,27,1
4.143,39,1
16.13,477,1
3.857,42,1
31.9,458,1
2.333,26,1
6.857,60,1
30.556,359,1
5.3,79,1
7.333,267,1
29,8,1
3.714,41,1
6.455,84,1
6.917,144,1
1.167,8,1
1.9,32,1
1.571,17,1
1.286,10,1
1.125,13,1
10.278,228,1
25.667,274,1
2.889,40,1
11.75,384,1
1.333,28,1
2.3,26,1
4.429,27,1
