@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4,8-9,11'

@attribute Eccen numeric
@attribute Blackpix numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
4.7,159,328,1
1.3,50,107,1
2,66,128,1
3.25,77,136,1
1.625,41,95,1
6.7,215,543,1
1.5,44,89,1
5.333,80,185,1
6.909,212,575,1
2.7,93,217,1
6.875,99,284,1
1.5,44,90,1
3.875,103,248,1
4.545,140,308,1
2,59,119,1
6.9,191,469,1
2,57,146,1
5.25,124,336,1
1.8,24,41,1
21.75,698,1810,1
3.875,92,194,1
2.222,65,157,1
3.818,131,302,1
1.75,42,94,1
4.625,111,273,1
2.333,47,78,1
2.375,54,145,1
1,26,61,1
2.6,71,212,1
2,51,89,2
1.75,54,85,1
1,14,28,1
15.5,427,1244,1
3,80,183,1
7,7,7,1
0.4,7,7,1
3,38,59,1
2.4,28,36,1
4,47,73,1
2.6,36,52,1
3.4,49,81,1
3,57,166,1
26.1,676,2001,1
1,29,59,1
1.5,36,89,1
2.8,96,273,1
0.5,10,10,1
3.3,116,246,1
0.875,28,44,1
5,81,150,1
5.2,64,102,1
4.4,59,100,1
2.2,33,45,1
1.75,54,76,1
4.5,86,153,1
4.6,58,90,1
1.5,42,96,1
1.4,52,124,1
1.727,64,165,1
0.75,16,47,1
3.625,93,205,1
0.857,21,42,1
1.8,56,127,1
8.857,170,378,1
1.75,44,79,1
23.818,747,2271,1
2.5,85,204,1
1,34,93,1
3.857,76,141,1
4.375,100,258,1
5.125,124,310,1
4.5,133,251,1
7.5,161,439,1
2,46,100,1
4.6,138,278,1
6.125,162,298,1
0.875,27,53,1
7.625,167,427,1
2.875,85,184,1
1.125,31,72,1
1.25,29,73,1
3.571,76,175,1
0.9,27,70,1
3.4,95,272,1
6.727,201,566,1
4.375,111,276,1
1.167,20,41,1
1.5,50,92,1
2.7,81,174,1
1.4,21,35,1
4,96,251,1
6.5,158,366,1
0.429,12,21,1
23.818,685,1643,1
4.429,100,200,1
4.3,110,304,1
0.375,12,24,1
3.143,61,154,1
6,136,332,1
7,109,210,1
6.625,161,388,1
17.6,452,1026,1
1.714,34,83,1
5.125,106,211,1
1.143,411,654,1
30.571,672,1346,1
44.125,197,825,1
13,10,13,1
16.2,126,392,1
1.571,18,72,1
8.625,54,190,1
36.778,374,1570,1
7.44,2221,4433,1
56.444,732,2379,1
59.333,629,2482,1
53.4,703,2771,1
2.923,164,462,1
12,216,756,1
18.778,537,1129,1
7.667,130,502,1
27.571,278,1099,1
7.75,153,470,1
207.5,419,480,2
31.5,43,64,2
56.667,681,2465,1
33.222,358,1545,1
59.444,655,2399,1
237.5,479,517,2
537,537,537,2
13.625,174,745,1
1.143,414,647,3
18.778,507,1104,1
26.125,290,1384,1
278,263,278,2
25,301,1507,1
81,73,81,2
18.667,476,1054,1
1.875,32,92,1
47.4,886,2740,1
51,827,2741,1
11.889,201,749,1
1.75,33,96,1
21.667,221,673,1
7.125,198,437,1
9,149,440,1
4.857,63,178,1
56.778,755,2339,1
74.429,333,1409,1
268.5,578,638,2
18.5,232,850,1
56.667,740,2732,1
9,149,415,1
27,705,1290,1
10.25,285,492,1
52,13,110,1
41.778,760,2960,1
7.333,143,420,1
6.778,117,375,1
29.778,478,1536,1
11.333,196,650,1
7.143,75,336,1
7.417,2099,4141,1
7.48,2207,4408,1
12.333,184,770,1
65.375,250,1277,1
36.778,582,2323,1
8.625,113,456,1
99,19,99,1
23.75,179,943,1
25.889,345,1441,1
118,22,118,1
50,10,50,1
14.091,438,995,1
0.979,5966,7968,3
4,212,298,1
0.733,83,113,1
3.462,251,331,1
5.7,317,410,1
0.889,42,70,1
5.154,384,723,1
14,14,14,2
33.923,2144,3582,1
25.8,869,1672,1
22.846,1579,2318,1
2,108,156,1
117,114,117,2
47,25,47,2
29.071,2010,3273,1
26,1865,2865,1
18.6,645,1434,1
9.143,223,408,1
4.458,2333,2523,1
12.818,567,1225,1
10,10,10,2
44,32,44,2
1.8,94,125,1
20.5,781,1451,1
21,1259,2062,1
14.538,2252,5737,1
0.083,12,12,4
16.636,937,1693,1
1.6,87,140,1
10.462,733,1375,1
2,121,159,1
1.9,116,171,1
30.929,2152,3467,1
1.9,105,153,1
1.9,114,146,1
24.125,617,1280,1
14.692,1007,1532,1
6.143,164,293,1
1.333,9,9,1
22.857,1584,2621,1
27.778,810,1649,1
1.8,105,161,1
8.708,4645,4976,1
14,609,1238,1
1.917,159,218,1
1.818,125,197,1
3.783,7353,16139,5
5.647,597,1101,1
24.313,2268,3544,1
4.429,376,561,1
19.313,1890,2713,1
2,140,195,1
1.333,10,11,1
1.727,125,198,1
0.182,14,14,4
1.333,11,11,1
1.625,69,85,1
25.778,573,1633,1
17.7,461,1226,1
1.5,56,78,1
18.111,387,748,1
20.25,424,1024,1
1.933,228,422,1
21.25,10359,11341,2
17.667,356,866,1
34.714,372,898,1
13.625,191,519,1
5.4,40,67,1
11.875,142,490,1
30.25,331,792,1
7.667,89,242,1
13.8,86,218,1
1.412,163,342,1
1.333,196,324,1
5.286,135,247,1
1.5,151,359,1
1.412,166,330,1
1.5,158,335,1
20.333,359,989,1
16.167,174,408,1
24,160,289,1
20,248,868,1
1.788,9199,10347,5
8.8,218,431,1
0.571,12,20,1
2.833,25,82,1
5.429,109,242,1
4.429,90,170,1
2.429,19,88,1
1.143,17,43,1
77,25,77,1
8.429,100,283,1
5.444,111,326,1
10.889,266,628,1
24.667,403,1421,1
3.2,20,75,1
0.4,7,7,4
5.111,123,345,1
2.429,38,111,1
5.8,40,113,1
6.471,328,1128,1
38.818,2657,2676,2
1.167,30,36,1
0.87,233,309,1
11.9,240,1002,1
1.889,51,137,1
25.167,721,2880,1
235,217,235,2
107,93,107,2
25.923,811,3291,1
9.5,7,21,1
2.167,18,38,1
43.25,459,1828,1
1.5,260,358,1
0.9,176,210,1
1.6,275,355,1
4,103,127,1
6,119,287,1
1.111,31,48,1
19.375,454,1195,1
1.286,28,52,1
2.333,89,199,1
0.909,48,102,1
196,192,196,2
99.5,193,202,2
2.526,1574,3051,1
9,9,9,2
8.929,505,1285,1
6.333,146,467,1
131,128,131,2
17.545,516,1451,1
131,1136,1264,2
