@relation ring

@attribute A1 numeric
@attribute A5 numeric
@attribute A7 numeric
@attribute A12 numeric
@attribute A16 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute Class {0,1}

@data
1467,-3377,4947,474,4747,-656,-904,0
2669,1511,-1493,-108,-107,-3243,137,0
121,-289,-2188,163,-7,-1283,-1504,0
-552,-24,-1148,1747,239,-4124,-2396,0
2859,2948,863,1294,1021,1768,1908,0
-137,19,-111,1833,2124,742,-354,0
5794,3753,-794,-294,-2987,-1897,2377,0
-12,-1991,579,-1679,-416,-3434,-907,0
183,6032,951,2041,1439,-401,-1356,0
-808,1886,1561,282,-3202,165,2309,0
1109,-319,-84,2121,-2353,-1538,-893,0
874,3174,1514,1109,3334,2343,243,0
-3736,-758,3156,-2796,2603,226,42,0
239,-667,1239,-237,882,-662,-2661,0
1609,-1021,-1353,884,-13,94,-2256,0
-994,1557,-473,727,1902,-4327,-1777,0
17,39,1792,171,883,-1349,-1822,0
-243,-2532,-593,385,1567,3139,244,0
-2507,2104,-47,-344,245,-5094,-1382,0
5,-313,-2681,-1005,-784,-178,455,0
-2083,2084,-1856,681,1116,-2133,2954,0
-5793,3418,-776,583,-2054,609,-1708,0
3052,-315,497,-1399,-1188,18,-267,0
909,2218,-427,2905,-58,-556,-2999,0
157,3773,62,-48,-2125,1265,197,0
761,208,-303,-3959,1014,1443,-722,0
134,657,31,1306,2542,-1972,151,0
2745,-644,581,-152,-1732,1832,-504,0
-89,-2887,577,1906,126,-2119,1113,0
3153,-1132,-2313,302,-1046,58,519,0
91,-757,-5006,-2901,-988,-2328,908,0
6073,1051,-2513,-4403,2922,-1134,-42,0
-3776,-928,935,2182,1283,-997,-1856,0
172,-754,2014,2925,-1261,-2082,-251,0
-2196,-1934,-589,-2185,-606,155,-731,0
-2287,-3971,-586,-154,-2077,113,-2783,0
-1581,-569,1428,-251,3337,-1572,-13,0
-878,2508,2,1712,1434,3452,3756,0
668,-2187,-517,-396,-1024,-1556,-2147,0
3486,251,-2005,101,1357,-886,-894,0
4922,302,-258,-2445,-1243,-1992,-3286,0
-3167,-1668,-3702,243,-1351,-2042,3815,0
-5227,301,-1465,-2637,1981,1073,-95,0
1212,1093,-3144,-1503,-2891,-159,-1064,0
-56,4215,-374,82,-4561,1351,-3749,0
1024,1954,3761,-3821,-592,-1168,-1634,0
-897,481,-2382,2089,-2752,-3996,-1654,0
2613,1566,-2053,1442,907,-213,-25,0
-1104,-1398,1478,2665,-252,-2112,102,0
-2281,581,843,65,-1527,323,-1212,0
2076,111,89,3962,-29,-825,1484,0
25,-1023,-4042,1651,793,3965,-26,0
-1267,-105,3965,1257,657,1981,2598,0
523,-111,1194,274,-4242,-3272,1137,0
423,62,-2956,-2654,1432,1467,-2101,0
985,537,1329,2474,-917,-496,2338,0
-1352,1756,-2531,2854,994,1071,-24,0
-2038,-3321,-61,-1096,217,-2592,427,0
-1954,-2664,1482,-408,1808,586,-1421,0
-1598,2644,499,-116,388,4007,-3657,0
-1129,2897,554,-1744,3165,-239,1632,0
214,731,538,715,833,-4826,1155,0
307,-174,1287,-1264,-1426,902,-501,0
1085,2042,135,197,2439,267,-2399,0
1574,165,-1369,-3512,-1761,-46,-5,0
3173,-143,-975,-2568,378,-1876,-1096,0
67,-1164,2529,-607,17,3082,725,0
486,128,501,-181,2243,-1859,-25,0
-1176,1719,-3102,-1228,-203,-743,142,0
-1144,-2134,-2918,3784,-2644,-447,341,0
-434,3162,-999,136,1913,1298,-129,0
-212,-2353,2,382,704,1389,625,0
6,2946,-2518,-2901,2191,-2768,-386,0
-3167,991,-741,-2456,1233,-3881,-258,0
1591,-2249,1642,1843,183,-3768,-251,0
-2709,694,-1815,-1821,1903,-712,34,0
564,-153,-6068,-262,214,-2283,1766,0
-2339,-6134,-865,-263,-16,3253,2162,0
-1683,-532,2656,873,916,701,2849,0
-86,15,2163,871,665,1007,-1677,0
2365,-2539,425,2534,4425,996,1304,0
-1608,-159,707,96,-1404,1801,1338,0
-113,1122,-201,-57,-1361,-502,1474,0
-675,1435,803,107,3095,21,2294,0
291,-1589,-67,-3187,3298,-279,-822,0
-685,-786,-4189,292,757,-3805,2551,0
683,14,-252,-1639,-85,3181,-2169,0
4,-163,661,2445,-3314,1571,133,0
922,-1244,-244,-2837,-281,-1962,4156,0
-4683,-4107,3238,2401,286,-3663,-242,0
1868,-632,179,-446,-49,1578,1299,0
698,-3062,1617,1504,-1006,1534,-1907,0
-1459,-484,-175,3126,-131,1489,-3586,0
-432,-2158,3508,2878,-1258,3764,376,0
-5265,-1627,1243,843,-77,-47,1693,0
82,108,-1683,302,-1636,1741,-1882,0
-956,1132,-1518,-662,2133,-1426,-293,0
-268,4981,-902,-338,195,1212,-1119,0
188,1735,-1862,805,465,-843,-3244,0
3707,-833,2392,33,-188,212,-105,0
81,2038,1162,2706,2399,-2579,-971,0
-197,519,1232,927,-338,5267,14,0
111,239,579,-2004,225,3387,53,0
-3835,-2134,3769,-395,1201,-3614,1136,0
-1309,2546,-296,672,-93,1275,1314,0
-1612,2477,1419,-19,1069,-3138,-3142,0
277,723,5125,342,-1092,-132,247,0
74,1066,-1002,1365,3233,-3574,-2424,0
-2506,-1561,-4853,1804,-3426,1457,-5519,0
-4189,802,-1001,518,1285,-1525,-2603,0
-874,-3575,-1248,2394,-1218,19,-2791,0
-2372,266,2961,-2125,1133,847,457,0
998,189,-111,-107,-1804,937,-684,0
2152,-139,-1662,-1821,2149,235,-841,0
2776,-2384,3308,1934,-1615,1908,-794,0
-1134,939,157,1675,-542,1412,416,0
1481,544,-144,2371,-4718,-437,-233,0
605,-1125,2692,143,-1164,2076,-2808,0
1754,-392,-49,669,-888,-3255,3524,0
-58,1678,-1536,2158,-171,-258,-1788,0
-963,2363,-5043,4699,-497,-1457,-2466,0
782,84,1939,787,-116,3059,-1442,0
3543,2302,1926,-1669,-414,-1658,-2199,0
521,1517,2774,3827,-807,-3153,-771,0
461,1455,523,-2858,2025,3056,-2451,0
3597,-1212,3068,-218,-47,-1689,777,0
-6168,2369,-3152,-1211,-86,1048,-1677,0
-898,2104,2059,-1212,-516,-1082,2703,0
-15,-2167,-1206,-1335,1324,2378,1398,0
1346,-196,2186,199,208,1138,3141,0
2378,-1179,2513,-2409,-2444,1191,-123,0
-1916,1799,1268,1955,2683,1734,309,0
-214,2309,2849,-1894,-2095,-3178,2218,0
-1184,-1438,-1734,-4,-1456,-1345,-3163,0
2185,793,869,1865,-3038,405,-1178,0
2336,-1846,-37,-2223,-213,2205,-371,0
1695,2687,742,1068,-228,-2876,-308,0
-937,-4455,-1245,2954,-1661,-1827,334,0
-2799,-4665,-1602,-423,1447,53,-2354,0
4634,-1747,2885,1459,1411,2383,1036,0
-1968,1345,-311,-3482,-1017,17,-147,0
-3339,-3044,53,-3237,-372,2761,-236,0
-407,-3761,-3255,693,-1638,-804,-1628,0
-856,-236,-3789,371,3407,-1045,-241,0
-1396,393,-2646,4245,3008,-3357,1718,0
-358,-102,-1265,-771,-2817,-2771,-865,0
84,-1199,-1283,-2064,1311,34,-429,0
-2964,825,998,-2892,2063,1239,-1772,0
1884,-2139,-2272,-1574,96,2106,-228,0
-919,-563,1675,-816,-1307,-2075,-221,0
45,3264,2783,3255,1263,-1685,-392,0
179,-1593,-61,168,-2707,2731,86,0
-11,-472,-823,-1268,-407,-266,-3404,0
-3241,-1552,-554,2065,-686,1015,2123,0
-487,-2886,1323,-1345,162,-4135,-1539,0
3341,288,-2384,643,3174,1155,-1015,0
102,-1989,-1733,-3358,-1072,-1602,77,0
361,-197,2928,-1138,-2022,-103,2198,0
2928,5037,132,-37,1078,-2964,1127,0
-312,683,-1042,4509,1327,4606,2056,0
36,442,-3226,-2035,864,-3588,-42,0
-269,1542,-2655,904,1252,479,165,0
2532,1637,-133,1745,-3086,1194,-3607,0
2243,386,-1047,-2908,-1957,-2788,-3275,0
-1772,2911,2577,1414,-6779,-98,382,0
1491,-2121,-354,61,-1555,-1412,3205,0
444,-334,-1149,-432,175,-4326,1066,0
2126,3212,-1728,-1561,1883,58,2014,0
1799,764,2024,-1093,1653,-1623,-115,0
-117,2954,265,-1441,-1752,2256,-748,0
33,2052,-1098,505,246,501,-3939,0
2563,-1027,556,3128,2122,-2612,-473,0
-1152,858,4302,-2104,-15,3678,674,0
-57,-3692,-2143,-115,2319,-2026,343,0
-97,-515,-1497,-686,-1182,-1447,1699,0
3356,-93,-1089,-1348,1241,207,-279,0
1471,-1747,1038,1741,1787,-2058,2663,0
743,233,2173,-1661,-222,-2023,2087,0
2014,2044,-3604,394,-37,-4272,1646,0
3008,-2321,2614,1395,-1194,-1816,-158,0
-2795,-117,122,141,4,-2806,2237,0
-772,-1998,283,2362,-957,65,4,0
-41,-111,2831,3163,63,3422,2191,0
-4059,-13,-1144,1997,2777,-8,1075,0
29,14,1427,-828,-1051,-2997,-723,0
329,799,-3168,2162,-1548,-1338,369,0
-272,549,286,-2506,148,1096,786,0
-572,78,3082,-529,-582,-836,-121,0
-1825,1621,-292,-4568,1012,-3526,1689,0
-1721,476,2574,-1728,1942,-81,-833,0
132,-1286,77,266,-373,973,-3528,0
4154,1749,-3101,25,3546,1208,-1032,0
1076,1843,106,-852,1336,-2049,-2501,0
105,3264,-176,2292,-3547,-798,1447,0
-531,-1751,2778,634,4528,-613,-1185,0
118,139,5391,-1512,361,-395,224,0
2482,238,4387,228,-3724,-1828,-127,0
-4474,-918,-1156,3665,2281,3,-291,0
-2119,-422,1896,-3927,-422,47,619,0
-318,-1934,-2503,695,-69,3583,837,0
3047,-321,-197,-4279,-1776,619,-653,0
-523,-199,-731,-3394,-1864,-1376,1402,0
423,-98,8,1602,-922,28,1312,0
-1463,-703,-5377,-1284,2094,-338,2425,0
-411,134,-2871,3033,-1086,2241,-355,0
-1194,-1139,56,-2199,-1763,901,-1202,0
2274,664,1067,1306,1577,-2749,2341,0
-52,-3083,669,-92,-986,-452,726,0
-504,2906,36,2938,445,-744,-1989,0
-4,-242,-382,1652,3325,-2343,-1399,0
-475,1821,-2703,-2004,-5721,-652,-792,0
5497,166,-2534,1474,-2534,-1406,-1454,0
-4396,1254,-1413,-1065,1906,116,-379,0
112,-493,1704,1708,1277,951,309,0
253,-27,2051,-14,-5596,-1058,2565,0
-763,169,-1326,416,-584,477,-583,0
168,276,-1901,1135,-3599,2218,-1303,0
21,2402,-8,-796,499,-809,-222,0
-3499,494,-45,1785,1898,184,163,0
-1447,1794,3059,859,-1735,1803,1061,0
3908,56,-3108,445,-625,119,-334,0
2545,-1,1461,239,218,-1486,1234,0
-1446,-1107,2082,-1054,-2386,821,1294,0
354,64,-2313,-2956,-3142,-3656,2185,0
-1344,-2858,-473,1204,1822,-1753,4016,0
3917,149,-3521,909,478,-1204,1526,0
2305,282,-2242,1722,1605,-2029,-742,0
-1223,2176,1367,511,-1171,4242,3755,0
2678,-66,-2271,1516,257,167,-2299,0
-841,1418,64,313,-797,1626,-2489,0
992,923,1088,-524,1193,2836,1383,0
-919,-788,15,-239,2585,-1657,-164,0
1078,-819,-2474,583,504,-167,-1108,0
-1053,105,-1296,-626,194,-1181,-1614,0
1798,323,2125,-548,1256,695,-859,0
-314,529,1972,-433,-1583,-5221,-852,0
-378,-767,2073,-508,5918,-2933,1165,0
948,1642,3684,-761,2303,626,412,0
2539,2005,-583,723,3167,-2482,732,0
2541,3147,-1385,-4185,1676,1024,-1241,0
2514,944,702,2649,224,-2272,522,0
2143,-582,-1912,-697,654,366,-472,0
1745,224,-2374,1247,-27,874,1,0
-1212,2057,187,-1013,486,155,-2884,0
2518,2485,-243,1259,112,3075,1571,0
-494,-684,51,-2659,1778,-1583,521,0
-714,2096,2393,-3563,-1854,2685,594,0
-2349,92,1635,1526,147,3801,399,0
1536,1527,-3164,2823,-3234,137,-1777,0
611,352,2385,-1932,1193,527,4306,0
-119,-1861,-1458,-2722,1698,996,1456,0
2127,2708,-374,-99,3516,-7,-2413,0
2097,1657,3973,618,2467,-4864,2397,0
-1119,-387,-2489,-77,4112,-91,3456,0
615,-2592,-4306,-3495,-601,-2549,2895,0
-1636,3194,-896,1524,-2676,4808,951,0
1712,1244,-1788,-4704,2023,-1233,-152,0
-1866,2004,-4528,-78,-663,-1928,-1261,0
-3609,-381,-1519,1258,-1448,872,-142,0
-818,1098,3439,-153,519,-29,-198,0
1076,494,5643,1257,1027,382,2334,0
1237,-14,2954,-1944,1362,3412,-389,0
5561,2946,2727,1054,2972,-172,-398,0
2648,1926,1857,-1436,2839,-844,297,0
2353,-234,283,314,-2935,5465,-312,0
-643,1153,168,-1966,-1664,1285,4651,0
811,1614,-2186,-1332,758,-784,-2905,0
2558,-2184,-57,-267,5092,3327,1628,0
529,-111,2225,395,415,3247,-2833,0
3305,1354,-332,-455,1,1016,1049,0
-7,-3024,1632,1154,-27,-1824,172,0
-766,-2183,1658,1834,357,-3166,-2038,0
-1991,-1788,4111,1986,-955,6086,-2004,0
-82,-4457,-2278,-209,-354,-622,-2927,0
-3433,-808,-1639,1257,-212,-468,-2148,0
2878,-669,1739,3425,637,-1352,994,0
-312,1045,-168,-2773,-654,-1771,-338,0
2359,-1616,-1041,-2351,3,-817,-2703,0
2994,-676,-2284,662,-1121,382,-1723,0
-937,1471,1806,-84,46,1664,356,0
-2289,1894,2015,447,61,-148,1812,0
3508,2538,-25,1159,-2531,968,2549,0
332,-2464,-892,-589,-466,-3167,1144,0
1969,1368,1823,2776,408,-1138,-2252,0
697,-2565,-892,-512,155,-1083,124,0
-1219,-609,-413,-94,366,-2367,-385,0
1083,1068,-3906,-2273,-1812,-1488,-173,0
1697,-95,-1502,592,542,2845,2245,0
-208,-929,-2695,1788,-201,-2185,55,0
-3249,-1703,-3186,303,128,344,1269,0
3454,1187,1583,-1285,1734,-776,3229,0
2284,-2253,501,1492,-527,2648,551,0
118,1643,292,3046,318,72,-2556,0
717,-327,689,1224,-4427,-468,-1391,0
4759,472,1629,-503,2147,1682,-1874,0
2021,-2055,-3909,803,2042,16,-1367,0
2934,-885,-2725,3907,-1615,1495,641,0
-4888,34,112,2913,2262,-2002,1096,0
-694,-1823,-1836,1278,1488,-149,-464,0
1771,3568,2821,75,-4326,377,-1958,0
-2818,75,-75,3557,-1375,158,-2809,0
-2994,2618,-2692,-27,-1622,2617,831,0
-1626,-552,-551,2112,-2962,-2365,-368,0
2088,602,-1264,-1868,763,678,404,0
574,-2441,486,-2314,-2684,1379,1602,0
1221,885,-3066,-1957,-2222,1795,98,0
-289,-3177,-1317,1466,-1818,572,-2124,0
1795,3297,-1485,438,-766,-2395,-4029,0
794,-25,185,-461,956,222,4363,0
-2809,-911,-2228,581,-357,183,-697,0
2153,-2088,1051,-299,2281,661,-625,0
-981,-16,-1215,1436,-742,866,5148,0
214,2857,2391,-143,446,1798,-1603,0
-1548,-5,2306,1794,1009,461,1602,0
-506,-197,1967,375,555,2433,-1089,0
184,365,926,1576,2429,26,141,0
267,1631,3643,-495,-3367,335,-1547,0
4018,-193,-1089,1245,1549,1691,-607,0
3151,538,845,251,-416,28,-183,0
-1084,14,633,-92,-1,-157,1475,0
368,-1234,2742,-3161,162,2509,1121,0
-2355,-741,106,127,596,-1085,659,0
489,757,124,-174,2827,36,-1755,0
-156,-308,-1831,-82,-1071,-1237,752,0
172,-644,-4684,-46,-2652,1731,2617,0
-845,186,1324,-89,-2215,-427,-151,0
19,-2583,-2749,-163,2187,-1096,1476,0
2027,1331,1104,447,2164,2355,-47,0
1649,49,-2237,3266,141,-2179,2272,0
1466,-17,4179,-327,-1179,-1765,-622,0
887,1002,-71,-72,275,2987,1384,0
-1627,382,878,-2637,-696,121,-2281,0
91,5993,-47,-2828,-1567,-3562,1521,0
491,616,-2138,488,-1585,-38,889,0
994,-907,-1805,3846,-615,5202,202,0
-892,2992,152,2303,1313,-218,-1709,0
3065,1129,3591,-1478,-2525,933,978,0
-763,-337,14,-916,1197,3436,-2213,0
-1131,-94,-1209,616,-3326,2451,166,0
2864,2074,-2306,-1426,-2762,-214,774,0
2949,-1257,-2114,-1706,-3265,-118,1459,0
-2908,-2167,544,-2663,-2112,-135,1246,0
1123,735,344,-1726,-746,-195,2057,0
-1396,3154,-164,553,-1519,4869,1321,0
-424,-2708,-1319,2695,832,-1919,-82,0
-2992,-51,-1558,-1099,6465,1307,277,0
-1955,4082,-2543,1163,-17,627,-1731,0
-973,-688,-92,-1105,-3111,-177,924,0
422,126,-1168,293,5161,-1277,2201,0
-142,261,-513,-815,4339,-1917,932,0
-755,3209,-4068,-306,4257,-1327,1599,0
22,27,2815,-396,-493,-3503,1309,0
-2289,-348,214,1742,-13,-224,-618,0
2667,3429,-2234,-93,2367,-139,35,0
-637,1494,105,-263,-2349,-1064,-2051,0
-2489,1081,-393,152,1002,2871,746,0
-1,-95,93,-2926,486,1632,1208,0
1555,-1699,2326,-353,-295,-4319,281,0
739,1434,275,-1679,-356,-829,973,0
2464,176,-717,314,76,-883,-1674,0
-1043,-2166,-3652,-399,1003,-536,1026,0
-621,-846,1505,308,347,2091,-177,0
-892,-5195,909,55,1128,3145,2795,0
23,383,-111,-201,-1937,-1267,-4708,0
175,-1916,-129,-618,344,2844,-262,0
-224,-2152,-177,-1098,-765,-207,-333,0
-537,-1624,-5092,-421,2054,-2877,-9,0
581,-1751,232,-683,512,-1967,-275,0
1481,-3418,-43,409,1029,-718,-3277,0
-909,1659,3221,3203,1738,2566,-4375,0
-2892,-91,-42,2634,-2327,-3685,359,0
-2275,-653,2105,-1722,2154,3049,-787,0
1976,-999,-1794,-1873,1503,1775,766,0
3394,-246,-2122,181,4574,1113,-5663,0
-5373,1448,-2428,4786,1283,1081,-905,0
-262,788,1653,1055,1866,-26,458,0
-219,2487,-2314,2936,-2269,658,234,0
139,-33,-5804,452,-248,-1814,3248,0
1603,2112,22,3959,-1047,-896,2931,0
-397,-287,3923,1083,-88,1258,575,0
1831,-116,1142,2467,3403,2033,-1259,0
757,-266,23,1653,-147,2476,-424,0
414,526,-461,-962,-2078,-104,-2076,0
1129,-3584,-1585,375,-2902,315,1831,0
312,2536,3135,-1518,1944,2316,-229,0
-1099,447,-2572,2902,1401,2732,-2419,0
3148,-1663,-193,2152,-1362,-3331,543,0
606,-538,503,-177,-2334,1969,1093,0
3312,-2843,-799,799,2577,271,824,0
1556,636,-831,2393,2864,21,876,0
-981,605,-816,2663,981,2021,1296,0
522,-1737,369,633,267,-369,1902,0
1167,-1715,-2122,4152,-1832,-2528,972,0
-2285,-1593,91,117,996,-858,2194,0
111,-174,-57,859,-1915,1989,1772,0
-2457,2497,1756,-555,711,4467,-2329,0
-2461,2212,4652,2347,-1115,-1928,-8,0
2558,1438,1165,-2863,-567,-974,-234,0
-284,-3606,-805,2783,1054,-1105,-3443,0
1848,1569,883,-532,1806,-16,76,0
-2576,-798,2743,-1064,-2003,-734,-1193,0
683,-719,-4261,-1654,-914,452,377,0
1437,1676,879,-437,2511,4024,4011,0
1221,-982,2142,-867,1315,2016,-2186,0
1102,231,2289,-1551,-234,-23,1286,0
501,-504,-16,9,2816,3336,1784,0
4573,-1716,-1034,-2732,607,-782,-892,0
-1805,-2264,-258,787,388,635,355,0
5716,1482,-3101,11,-163,-585,-2884,0
2944,1714,1218,2871,3984,-1071,-1779,0
-9,-395,-2158,-2394,999,-373,709,0
4504,388,2752,-25,912,2886,-3081,0
295,-246,2692,372,-2129,-2597,-2574,0
1681,-7,-595,-1958,2128,-872,-2135,0
-1377,-672,179,5991,-322,-2534,761,0
2738,-2705,2111,-738,1656,578,-44,0
515,937,-2238,1034,2804,-342,-18,0
-1275,1,3157,246,3101,4897,186,0
243,-117,2068,1031,-6244,-1251,203,0
376,-2915,725,783,1685,-228,-1226,0
-304,778,2063,-147,-621,1045,-1049,0
-2065,1278,-2727,2453,-2532,1239,-2271,0
3055,-183,1455,34,-2115,-78,1047,0
3094,964,-1078,657,-639,2422,-1781,0
2072,3967,-604,-618,-114,5532,17,0
1711,-1132,-352,-556,-1195,2247,-5342,0
3293,555,-4155,2218,1707,-1033,-2828,0
-2911,2344,1411,-588,1675,-646,-263,0
-1144,366,1403,-667,679,-3433,-133,0
-412,53,-4302,-1595,1026,3799,-3968,0
547,469,-121,-18,2734,322,-2163,0
-935,565,1428,3323,1723,213,362,0
-25,-379,-1494,8,253,755,1181,0
4535,-1747,-738,-1515,-1573,-295,-1174,0
-451,1971,-2605,1033,1852,378,-1314,0
-1451,1752,194,-2694,-1168,-2508,-1089,0
-956,356,1068,215,-683,1118,859,0
2995,-1209,-1686,-155,4215,166,-2605,0
-1925,-702,-3439,12,1811,563,-306,0
472,3089,-135,-3998,557,-1982,1248,0
