@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,3,5-6'

@attribute Aa numeric
@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.531,-0.592,-0.165,0
0.45,1.903,1.565,1
0.647,-0.483,-0.146,0
0.339,2.217,0.628,0
0.436,1.097,0,0
0.298,1.496,-0.607,1
0.912,0.893,0.563,1
1.472,-0.13,0.121,0
1.766,0.509,0.797,0
2.544,0.363,0.533,0
0.205,0.782,-0.534,0
0.273,0.817,0.162,0
-0.174,1.45,0.387,0
2.619,-0.161,-0.048,0
2.954,0.729,-0.126,0
1.067,-0.336,0.106,0
0.953,1.895,-0.372,0
0.595,-0.345,-0.084,0
0.459,-0.37,-0.102,0
0.823,-0.414,-0.225,0
0.33,2.637,0,0
0.2,1.458,1.286,1
0.219,1.079,-0.635,1
1.577,0.78,0.394,0
0.158,0.389,1.464,0
0.657,0.812,-0.561,0
2.348,0.143,-0.064,0
0.191,0.724,-0.758,0
-0.235,-1.258,-0.58,1
0.308,-0.397,0.114,0
0.158,0.468,0,0
0.592,-0.353,0.158,0
0.706,1.569,-0.173,0
0.234,0.888,0,1
0.325,2.461,-0.458,0
0.243,2.191,0,0
1.858,-0.308,0.738,0
0.142,1.504,0,0
3.17,-0.143,-0.064,0
0.46,0.488,0,1
0.273,-0.435,-0.093,0
1.906,0.154,0.071,0
0.768,0.929,0.63,1
1.851,-0.072,-0.074,0
0.499,0.358,1.371,1
0.534,-0.476,1.087,0
0.841,-0.488,0,0
0.09,0.43,1.135,0
0.257,1.865,0,0
2.426,-0.135,0.083,0
2.88,0.196,0.108,0
0.233,0.936,-0.9,1
0.062,0.244,0,0
0.849,0.464,0,0
2.761,-0.15,-0.036,0
0.384,0.751,-0.161,0
0.15,0.536,-0.833,0
-0.126,1.508,0,0
2.555,0.209,-0.095,0
0.199,-0.829,0.194,0
0.111,-0.51,-0.752,0
0.43,-0.579,-0.151,0
0.213,1.485,0,1
0.391,1.66,0,0
0.395,2.53,-0.314,0
0.1,0.771,0,1
0.763,-0.381,0.106,0
0.996,0.315,0.078,0
0.609,1.198,1.245,0
0.256,0.877,-0.706,0
-0.165,0.662,-1.284,1
2.99,-0.153,-0.13,0
0.212,0.597,0,0
0.303,1.895,0,1
0.579,-0.709,-0.211,0
0.279,2.174,-0.46,0
1.297,-0.26,0,0
1.305,1.715,0.562,1
0.967,-0.413,0.813,0
0.103,0.788,-0.904,1
0.478,-0.605,-0.331,0
0.283,1.121,-0.448,0
2.065,-0.115,-0.076,0
1.719,-0.264,0,0
0.415,1.53,1.131,1
2.259,-0.264,-0.08,0
0.439,1.934,0,1
0.437,1.163,-0.29,0
0.598,0.797,0.19,0
2.51,0.213,-0.092,0
0.386,1.853,-0.264,0
0.555,-0.546,-0.174,0
0.286,2.5,0,0
1.476,1.524,-0.122,1
0.4,-0.563,-0.152,0
0.255,1.591,0.7,0
2.783,-0.098,-0.061,0
0.944,0.308,0.072,0
0.208,0.625,1.572,1
2.08,-0.111,0.063,0
0.159,1.135,0,0
0.211,1.741,0,0
0.395,3.005,0.52,1
0.204,1.795,-0.283,0
0.782,-0.43,0.108,0
0.279,1.856,0,0
0.78,1.042,1.255,1
0.195,0.755,0.758,1
2.504,0.21,-0.066,0
0.476,0.832,-0.518,1
3.467,0.408,-0.111,0
0.513,-0.436,0.322,0
0.257,2.417,1.29,0
-0.129,2.569,-0.416,0
0.401,1.217,-0.284,0
0.98,-0.404,-0.836,0
2.131,0.131,0.06,0
0.457,1.066,0,1
0.304,-0.445,-0.118,0
0.38,-0.502,0.594,0
0.89,-0.538,0.337,0
-0.118,1.462,0,1
1.509,-0.166,0.069,0
3.236,-0.148,-0.057,0
0.789,1.1,-0.593,1
0.24,0.396,0.561,0
0.246,2.52,1.263,0
0.225,1.494,1.451,1
2.796,0.577,0.401,0
2.763,0.479,-0.163,0
2.981,0.158,0.056,0
0.21,2.42,1.277,1
0.189,0.518,1.297,1
3.269,1.015,-0.091,0
0.476,0.978,-0.173,0
0.182,1.385,-0.639,1
0.193,2.144,0,0
2.003,-0.15,-0.063,0
3.222,-0.151,-0.06,0
0.121,0.467,-1.052,0
0.211,2.555,1.181,1
0.214,0.847,-0.415,0
1.858,0.135,-0.177,0
0.367,-0.319,-0.081,0
1.196,-0.342,0.307,0
1.109,1.666,-0.145,1
0.262,2.382,-0.416,0
0.081,0.424,1.923,1
0.364,-0.373,-0.341,0
0.396,1.525,0,1
0.128,0.52,0,0
0.125,0.66,0,1
0.682,-0.443,-0.246,0
0.175,1.442,-0.184,0
0.264,0.623,0.869,1
0.397,-0.637,0,0
0.193,0.794,0,0
0.59,-0.43,0.774,0
1.322,0.156,-0.163,0
0.173,0.855,-0.792,0
0.473,-0.413,-0.099,0
0.499,0.358,1.371,1
3.087,1.064,-0.094,0
0.271,-0.485,-0.14,0
1.239,0.585,0.742,0
0.25,3.155,-0.363,0
0.304,-0.623,-0.164,0
0.157,0.706,-0.625,0
0.461,-0.492,-0.411,0
0.782,1.536,0,0
0.327,-0.574,-0.19,0
2.221,0.37,0.063,0
0.834,0.955,-0.456,1
0.316,1.614,1.062,0
0.329,-0.432,-0.117,0
0.543,1.485,1.757,1
0.893,1.39,1.392,1
0.85,-0.238,-0.051,0
0.291,0.781,-0.814,1
0.459,1.448,-0.351,1
0.587,1.733,-0.215,0
0.295,2.28,0,0
0.525,1.83,-0.478,1
0.261,0.61,0.929,1
0.239,2.516,0.418,0
0.94,1.846,0.542,0
1.116,-0.415,-0.225,0
0.62,1.31,0.994,0
3.459,-0.121,0.055,0
0.367,0.717,-0.427,0
0.169,0.539,0,1
0.172,0.899,-0.247,1
0.262,2.179,-0.56,1
0.924,-0.479,-0.109,0
3.074,-0.12,-0.049,0
2.741,1.029,-0.117,0
0.5,1.223,-0.18,0
0.318,1.373,-0.238,0
0.219,2.676,-0.438,0
0.458,0.527,0.997,1
2.15,0.261,0,0
1.444,0.326,0.12,0
0.142,0.613,1.886,1
0.355,1.279,-0.231,0
2.745,0.387,-0.129,0
1.363,-0.318,-0.079,0
0.514,-0.689,-0.183,0
1.369,-0.365,0.183,0
0.276,1.977,-0.452,0
1.553,0.646,-0.119,0
0.132,0.825,0,0
1.01,-0.24,0,0
0.832,0.552,0.156,0
0.106,0.536,-0.435,0
1.14,1.219,-0.672,1
0.361,1.085,-0.341,0
1.041,0.505,-0.263,0
0.216,0.371,1.464,0
3.43,0.239,0.286,0
0.289,1.597,-0.796,1
0.414,2.164,-0.212,1
0.864,-0.484,-0.12,0
0.043,0.423,0,0
0.197,1.924,-0.48,0
3.085,-0.104,0.065,0
3.172,-0.207,-0.056,0
-0.887,-0.431,-0.076,0
1.636,1.094,-0.172,0
0.191,1.806,1.11,0
1.317,1.56,-0.503,1
1.079,1.781,-0.172,1
0.921,0.559,0,1
0.48,1.364,-0.978,1
1.875,0.752,0.152,0
2.115,0.919,0.148,0
0.959,1.611,1.499,1
0.394,-0.586,-0.456,1
0.411,0.669,-0.332,1
0.74,1.721,-0.17,1
0.318,0.619,1.099,0
1.474,1.588,-0.123,1
0.87,0.874,-0.154,0
1.404,-0.376,0.188,0
0.135,-0.153,1.232,1
0.9,0.327,-0.067,0
1.283,1.223,0.221,1
0.562,-0.598,0.491,1
0.107,0.631,-0.632,1
0.079,0.514,0,0
0.548,1.954,-0.361,1
0.284,1.263,-0.379,1
0.138,1.175,0,0
-1.7,0.451,0,0
0.589,1.452,0.376,1
0.697,1.942,1.487,1
0.146,1.573,0,0
3.052,1.173,-0.102,0
2.662,0.444,-0.295,0
2.459,0.129,0.061,0
0.206,1.4,0,0
1.125,-0.363,0,0
0.256,1.359,0,0
0.281,3.079,-0.362,0
1.215,-0.241,-0.06,0
0.655,1.617,-0.19,0
0.796,0.822,0.89,1
0.721,0.438,-0.302,0
1.466,0.44,-0.439,0
0.392,1.052,0,0
2.725,-0.101,-0.045,0
0.665,-0.492,-0.123,0
0.554,1.504,0.627,1
-0.084,1.053,0,0
2.6,0.221,-0.116,0
0.354,0.552,-0.115,0
0.794,1.248,-0.652,0
0.401,1.245,-0.234,0
0.393,-0.275,-0.079,0
3.537,-0.117,0.066,0
2.639,-0.253,-0.25,0
2.334,0.251,-0.097,0
0.378,1.887,0.937,0
0.157,1.566,0,0
1.191,-0.432,0.223,0
-0.316,1.792,0.561,0
0.199,1.878,-0.339,0
0.702,1.742,0.243,0
1.463,0.626,-0.118,0
0.694,0.716,-0.564,1
0.857,1.612,0.767,1
0.572,1.182,-0.371,1
0.3,2.633,0,0
-0.188,2.054,-0.373,0
0.539,2.151,-0.311,0
0.188,0.22,1.675,1
0.155,0.534,-0.889,1
1.902,0.354,-0.293,0
0.245,0.79,1.037,1
0.18,0.731,-0.725,0
0.119,0.257,0.873,1
0.108,0.45,-0.36,1
1.123,-0.331,-0.174,0
3.009,1.192,-0.115,0
0.834,1.692,-0.182,1
0.19,0.769,0.877,1
0.907,0.369,0,0
0.558,2.098,1.547,1
3.154,-0.149,-0.049,0
0.267,1.753,-0.25,0
0.401,1.93,-0.434,0
0.337,0.799,1.867,1
0.981,0.604,-0.439,0
-0.217,-0.519,-0.768,1
0.661,1.355,-1.107,1
1.258,0.45,1.599,0
0.184,2.459,-0.384,0
0.325,0.736,-0.677,1
0.518,-0.303,-0.073,0
0.744,1.878,-0.768,1
0.623,-0.495,0.186,0
0.773,-0.344,-0.115,0
0.109,0.772,0.638,1
0.269,0.661,-0.705,0
1.075,0.578,-0.355,0
2.111,0.371,0.515,0
-0.59,-0.549,0,1
0.408,1.91,-0.244,0
0.75,-0.41,0,0
0.789,-0.55,-0.318,0
0.625,0.764,0.187,0
2.441,0.14,-0.065,0
0.231,1.658,0.361,0
0.155,2.279,0,0
0.778,0.904,-0.164,0
0.099,0.363,0.65,1
3.052,0.24,0.48,0
0.468,1.877,0,0
2.191,0.149,-0.155,0
0.794,1.044,-0.633,1
0.249,0.914,0,0
1.121,-0.142,0.091,0
0.204,0.407,-0.714,1
0.873,0.827,-0.149,0
3.065,-0.112,-0.05,0
0.435,0.772,1.157,1
2.793,1.283,0.296,0
0.122,1.288,-0.849,0
1.936,-0.422,-0.093,1
0.763,0.466,-0.234,0
0.241,0.576,0.977,0
0.87,0.956,-0.156,0
3.617,0.34,-0.073,0
1.041,-0.384,-0.107,0
3.246,-0.14,-0.06,0
0.403,-0.784,0,0
0.889,1.282,-0.14,1
1.195,-0.344,-0.083,0
0.959,1.852,0.965,1
0.218,1.531,0,0
0.52,0.535,0.998,1
0.671,-0.494,0,0
2.441,0.14,-0.065,0
0.079,0.331,0.598,0
1.585,2.018,-0.268,1
0.492,1.24,0.192,0
0.572,1.464,-0.501,1
0.794,0.782,0.12,0
2.956,0.73,-0.087,0
0.134,0.877,1.302,1
0.191,1.295,-0.619,1
2.239,-0.147,0.093,0
0.472,-0.375,1.611,0
0.166,1.742,0,1
0.179,1.648,1.107,1
0.436,2.479,-0.472,0
1.573,0.42,1.306,0
0.162,0.97,-0.849,1
2.318,-0.356,-0.285,0
3.192,0.813,-0.083,0
-0.188,2.108,-0.332,0
1.533,-0.331,1.298,0
2.909,1.263,-0.142,0
0.172,0.53,0.9,1
1.322,0.403,-0.395,0
0.755,-0.469,-0.152,0
0.796,-0.437,1.473,0
2.708,-0.143,0.139,0
1.973,-0.319,-0.101,0
1.473,-0.362,-0.181,0
1.046,0.865,-0.214,1
1.555,-0.42,0.848,0
0.127,2.136,0,0
0.757,-0.461,0.151,0
1.496,-0.356,0.746,0
-0.064,0.744,-0.992,1
0.661,1.079,-0.159,1
0.3,0.781,-1.148,1
0.324,0.741,-0.908,1
0.6,2.006,0.348,0
0.47,-0.535,-0.351,0
1.609,-0.492,0,0
0.441,2.27,0.602,1
0.306,1.177,1.005,1
2.509,0.176,-0.068,0
1.262,-0.414,0.166,0
0.36,1.417,-0.364,1
0.645,1.681,1.106,1
0.515,0.964,1.732,1
0.11,0.73,0,0
0.453,1.49,0,0
0.465,0.827,-0.55,1
0.591,1.02,-0.174,0
0.288,1.059,0,1
0.486,1.508,0,0
3.496,0.18,-0.06,0
0.713,1,-0.379,0
1.458,-0.129,0.118,0
0.821,-0.405,0.159,0
1.064,-0.546,-0.583,0
0.316,1.632,-0.285,0
0.387,0.643,-0.136,0
0.134,0.443,1.551,0
0.378,2.602,-0.331,0
0.65,-0.366,0,0
0.383,-0.561,-0.35,1
0.226,0.639,1.018,1
0.185,1.31,-0.782,1
1.107,1.012,0.316,0
0.22,2.32,-0.359,0
0.117,0.742,0,1
0.542,1.083,-1.045,1
0.175,-0.75,1.037,1
0.38,0.644,-0.128,0
1.466,0.485,-0.18,0
2.389,0.691,-0.24,0
0.227,0.548,1.184,1
0.705,-0.386,-0.086,0
0.299,1.871,0,0
1.909,-0.08,-0.07,0
0.119,0.866,-0.765,1
0.826,-0.271,-0.131,0
1.218,-0.246,0.099,0
0.838,1.82,0.429,1
0.141,0.36,1.855,0
1.869,0.206,0.105,0
0.087,1.102,0,0
2.571,0.2,-0.132,0
1.669,-0.334,-0.094,0
0.56,1.354,-0.224,0
2.01,-0.519,0.285,0
0.094,0.561,-0.46,0
1.44,-0.385,0.209,0
0.14,0.563,1.222,0
2.057,-0.077,-0.098,0
0.636,-0.573,-0.269,1
0.603,1.57,0.357,1
2.756,0.158,-0.063,0
0.156,0.696,-0.688,1
0.633,2.23,0,1
