@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Class {0,1}

@data
0.159,0.701,0
0.111,0.59,0
0.911,1.413,1
0.864,2.73,0
0.195,1.464,0
0.292,1.056,0
0.307,2.799,0
0.235,0.368,0
-0.202,2.328,0
0.446,0.769,1
0.624,1.052,1
0.361,2.402,0
1.237,1.274,0
1.203,1.319,0
1.518,1.187,0
0.069,-0.166,1
1.814,1.24,0
1.177,2.212,0
0.151,0.509,1
0.238,1.615,0
0.17,0.581,0
0.979,1.247,0
0.266,0.593,0
1.126,0.909,1
1.021,0.494,1
0.591,1.121,1
1.117,2.55,0
0.511,1.961,0
0.175,0.414,1
1.988,1.974,0
1.322,1.284,1
0.284,1.424,0
3.097,0.575,0
0.596,0.496,1
1.083,0.761,0
0.21,1.452,0
0.316,0.783,1
3.348,-0.276,0
0.738,0.57,1
0.287,1.607,1
1.162,0.738,0
1.041,1.631,0
2.99,0.309,0
0.21,0.606,1
1.57,1.472,0
2.648,0.638,0
0.825,1.944,0
0.339,1.855,0
0.377,1.73,0
0.085,0.387,0
0.182,0.418,0
0.354,1.407,1
0.238,0.967,0
0.554,1.308,1
0.386,0.998,0
0.49,3.202,0
1.857,1.13,0
3.772,-0.274,0
0.438,3.303,0
0.085,0.346,0
0.593,2.737,0
0.237,0.789,1
2.275,0.69,0
0.533,3.131,0
0.642,2.75,0
0.324,1.719,0
1.482,1.502,0
0.42,2.529,0
1.063,1.705,0
-0.829,-1.062,0
0.279,1.511,0
0.873,1.694,1
0.311,1.393,0
0.736,2.7,0
0.842,1.87,0
0.107,0.622,1
0.421,3.022,0
0.314,0.497,0
0.762,3.061,0
2.056,1.155,0
-0.085,0.562,1
0.641,1.983,0
0.292,1.029,0
1.645,0.996,0
0.173,0.63,1
0.095,0.413,0
0.47,0.637,1
0.148,0.495,0
0.357,1.663,0
0.46,3.218,1
0.35,1.186,0
2.198,0.512,0
1.021,2.361,0
3.603,0.538,0
0.45,3.288,0
0.348,0.602,1
0.437,0.561,0
0.713,2.688,0
0.975,1.07,1
0.155,0.799,0
0.215,0.549,0
0.257,1.155,0
0.976,2.689,0
2.059,1.637,0
1.014,0.492,1
0.1,0.508,1
0.269,1.497,0
0.284,1.945,0
0.399,0.824,0
0.626,2.343,0
0.36,2.56,0
0.538,0.834,1
2.059,1.344,0
0.734,2.346,0
0.155,1.232,1
-0.426,-0.741,1
0.643,2.529,0
0.238,0.899,0
1.126,2.533,0
0.902,2.825,0
0.286,1.386,0
0.289,0.806,0
0.352,0.733,1
0.624,1.283,1
0.567,0.908,1
0.25,0.849,1
0.184,0.556,1
0.69,0.606,1
2.234,0.711,0
-0.059,0.345,0
1.631,1.369,0
1.825,2.402,0
0.643,1.066,1
2.705,0.539,0
0.355,1.988,1
1.413,2.811,0
0.308,1.441,0
0.147,0.789,0
0.246,0.603,0
0.274,0.75,1
0.171,0.958,0
1.499,0.69,0
-0.137,0.587,1
1.209,1.761,0
0.367,0.768,1
0.162,0.451,1
0.255,0.496,0
1.266,2.537,0
0.236,0.368,0
0.231,0.471,0
1.846,0.467,0
1.198,2.3,0
0.154,0.643,1
0.405,1.153,0
0.334,2.68,1
0.143,0.542,0
1.02,0.605,1
0.47,1.373,1
0.089,0.509,1
0.617,1.621,1
-0.632,-0.881,1
0.062,0.311,0
0.62,1.855,0
2.547,0.766,0
1.854,0.906,0
0.441,1.428,0
0.384,0.852,1
0.211,1.327,0
0.249,0.381,1
0.495,2.469,1
0.257,0.596,1
0.374,1.217,0
1.304,2.43,0
1.898,0.651,0
0.271,0.596,1
0.115,0.375,0
0.693,3.104,0
1.443,1.953,1
2.181,1.505,0
0.254,2.392,0
