@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-3,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Dcl numeric
@attribute Class {0,1}

@data
0.723,1.59,-0.364,0
0.257,1.09,1.917,0
0.373,1.299,1.945,1
1.943,1.012,0.188,0
0.391,0.905,0.689,1
0.96,0.431,1.293,1
0.6,2.234,1.442,0
0.27,2.186,0.949,0
0.469,1.774,-0.391,0
0.382,1.752,0.792,0
0.331,1.163,1.909,1
1.086,1.046,0.254,0
1.301,2.515,1.07,0
0.625,2.852,-0.563,0
0.724,2.438,-0.479,0
0.249,0.569,0.933,1
1.824,0.597,0.173,0
3.347,0.482,0.237,0
1.036,2.396,-0.503,0
1.547,1.178,-0.218,0
0.158,0.378,1.059,1
0.313,1.268,2.852,0
0.316,0.62,1.236,1
0.276,0.904,2.035,0
1.461,1.555,0.384,0
0.048,0.234,0.294,0
1.205,0.721,2.708,1
1.84,-0.254,0.245,0
0.086,0.308,0.272,0
0.298,0.642,1.59,1
0.575,2.035,0.566,0
0.282,1.739,0.825,0
2.287,-0.234,0.215,0
0.377,0.522,1.817,0
1.115,2.261,-0.346,0
0.462,2.139,-0.388,0
0.636,0.675,1.915,1
0.416,0.399,0.933,0
0.165,1.198,1.256,0
0.374,1.266,2.692,0
1.078,0.9,2.517,1
0.074,0.373,0.308,0
0.327,1.581,0.726,0
0.351,2.237,1.065,0
0.525,0.974,1.819,0
0.252,0.623,1.68,1
0.29,1.224,2.774,0
0.288,0.765,0.644,0
1.158,2.391,1.307,1
0.101,0.629,0.293,1
0.37,0.81,0.888,1
0.578,1.929,-0.437,0
0.229,1.118,1.829,0
1.569,1.44,-0.223,0
1.11,0.729,-0.13,0
0.27,1.806,1.146,0
0.205,0.629,0.904,0
0.675,1.505,1.339,0
3.432,-0.312,0.137,0
-0.199,-0.562,1.513,0
0.687,1.871,0.637,1
2.56,1.439,0.356,0
0.234,0.48,1.111,1
0.32,1.062,2.934,0
2.91,0.359,0.285,0
2.708,0.925,-0.223,0
0.206,1.121,1.296,0
2.116,0.488,0.105,0
0.185,1.098,2.485,0
0.411,0.736,2.119,1
0.765,2.815,-0.525,0
-0.144,-0.563,-1.041,1
1.411,2.01,-0.329,0
3.644,-0.294,0.159,0
-0.309,0.907,1.961,0
0.169,1.034,0.889,1
0.539,0.653,2.008,1
0.496,1.171,2.48,1
1.058,2.479,-0.455,1
0.681,1.257,2.31,1
3.164,0.728,-0.145,0
2.429,0.968,0.646,0
0.417,0.567,0.905,1
0.642,1.871,-0.317,0
0.385,0.67,2.206,1
0.832,3.36,-0.573,0
0.978,1.539,0.567,0
0.313,1.214,0.8,1
0.44,0.728,0.847,1
2.839,1.081,0.315,0
1.232,1.285,1.167,1
0.166,0.589,0.587,0
0.22,0.535,0.665,1
2.377,0.65,-0.122,0
1.098,1.264,2.397,1
-0.132,-0.333,-0.785,0
0.518,0.819,2.246,1
1.257,2.24,-0.391,0
1.146,2.519,-0.43,0
0.215,0.523,0.517,1
0.582,0.401,1.882,1
0.139,0.384,0.803,0
0.95,0.555,1.311,1
0.608,3.531,-0.689,0
0.273,1.982,1.041,0
0.639,2.884,0.871,0
0.336,1.536,2.01,0
0.224,0.558,0.638,1
2.347,0.928,0.413,0
2.475,1.325,0.652,0
0.912,1.59,0.28,0
0.096,0.61,0.542,0
0.427,-1.045,-1.089,0
0.265,2.037,0.992,0
0.251,0.542,0.61,0
0.936,2.357,1.622,1
1.843,1.023,0.369,0
0.119,0.604,0.831,0
0.521,1.331,2.356,1
0.512,0.87,-1.3,1
1.798,1.851,-0.275,0
0.621,1.749,-0.436,0
0.228,0.881,0.792,1
2.063,1.161,-0.167,0
1.136,0.603,1.704,1
0.568,0.892,1.698,0
0.09,0.314,0.445,0
0.355,1.816,2.572,0
1.492,0.795,-0.142,0
0.771,2.719,-0.412,0
0.412,2.118,-0.434,0
0.227,1.27,1.582,0
0.222,1.017,2.425,0
0.106,0.635,0.252,1
0.58,2.541,-0.342,0
0.445,0.965,2.056,1
1.099,1.843,1.035,1
1.466,1.697,0.485,0
0.302,0.697,0.709,1
3.414,-0.301,0.136,0
0.266,3.155,-0.48,0
1.256,2.372,1.134,1
0.701,2.062,-0.513,0
0.391,1.276,2.268,0
1.796,0.858,0.313,0
0.322,1.754,0.628,0
1.199,2.525,1.24,1
0.572,2.469,1.182,1
1.396,1.149,0.981,1
0.121,0.635,0.584,0
2.437,1.018,-0.281,0
0.329,2.133,0.924,1
2.611,0.661,0.164,0
0.562,1.253,2.338,1
1.601,0.836,0.433,0
0.131,0.617,0.545,0
3.359,-0.241,0.195,0
0.598,2.171,0.671,0
0.365,0.433,0.894,0
0.465,1.193,1.433,1
0.18,0.679,0.923,1
2.101,1.502,-0.196,0
0.134,0.651,1.536,0
0.126,0.732,1.483,0
0.699,2.221,1.728,0
0.385,2.111,-0.414,0
1.414,1.694,0.626,0
0.327,0.659,0.765,1
3.132,0.557,-0.134,0
0.147,0.625,0.666,1
0.044,0.301,0.313,0
0.281,0.867,1.923,0
1.309,0.768,1.78,1
0.228,1.054,0.309,0
0.131,0.263,0.266,1
-0.102,-0.549,-1.168,0
2.21,1.84,0.387,0
1.031,1.627,-0.29,0
1.296,2.241,-0.417,0
1.079,2.734,0.668,1
0.533,2.235,0.944,0
1.228,0.904,0.271,0
0.365,0.882,1.195,1
0.301,1.934,1.666,0
0.918,0.758,-0.161,0
0.361,2.716,0.915,0
0.216,0.376,0.622,1
0.917,2.238,-0.446,0
0.555,2.557,1.385,0
0.127,0.522,0.881,1
0.299,0.849,1.679,1
2.781,0.932,0.3,0
0.477,1.051,1.546,1
0.283,1.008,2.195,0
0.308,1.214,0.546,0
1.821,1.432,0.518,0
1.781,1.995,-0.36,0
0.09,0.324,0.286,0
0.113,0.409,0.382,0
0.273,1.03,1.515,0
0.403,0.357,1.871,1
0.885,0.328,1.847,1
0.205,0.765,-0.71,1
0.726,2.701,1.131,0
1.284,1.71,-0.321,0
0.333,0.427,0.952,0
0.228,0.845,1.897,0
0.315,1.222,2.196,0
1.304,1.082,0.306,0
1.198,2.258,0.673,0
0.596,2.869,-0.439,0
0.349,1.248,2.225,0
2.473,0.334,0.206,0
0.885,1.789,1.276,1
1.364,1.941,-0.341,0
0.345,2.885,-0.651,0
0.137,0.621,1.369,0
2.406,-0.221,0.216,0
2.039,0.855,0.166,0
0.477,0.953,1.616,0
0.091,0.283,0.337,0
0.139,1.504,1.462,0
0.638,3.104,-0.52,0
0.65,3.308,-0.468,0
0.144,0.888,1.537,0
0.34,2.16,-0.488,0
0.338,1.216,2.052,0
0.737,2.989,0.968,0
0.326,2.129,-0.537,0
2.817,0.729,-0.147,0
0.725,2.566,-0.518,0
-0.053,4.32,-0.486,0
1.181,1.305,0.7,0
0.234,0.727,1.28,1
0.245,2.125,1.012,0
0.555,2.793,-0.465,0
0.179,0.426,0.679,0
0.138,0.65,1.206,1
1.575,1.624,0.778,0
0.2,0.561,2.212,0
0.438,3.131,-0.521,0
1.017,1.215,1.091,1
1.977,1.376,-0.303,0
0.438,0.442,1.164,0
2.884,1.03,0.349,0
0.613,2.804,0.67,1
0.195,0.587,0.56,1
0.348,1.224,1.643,0
0.455,2.047,0.878,0
0.148,0.435,0.924,0
0.623,0.613,1.414,1
1.446,2.873,-0.521,0
3.226,-0.214,0.15,0
2.089,0.673,0.148,0
2.023,1.543,-0.38,0
1.078,2.567,-0.399,0
1.517,1.186,0.444,0
1.156,1.86,-0.268,0
0.137,0.714,1.35,1
