@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,5-6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.739,1.87,-0.084,0
0.868,2.002,-0.137,0
0.126,0.333,-0.791,0
0.367,1.673,0.624,1
0.417,1.73,0,0
0.229,2.188,-0.24,0
0.81,1.545,-0.087,0
0.157,0.514,1.984,0
0.234,0.576,-1.009,1
2.558,1.196,-0.143,0
0.287,0.816,0.354,1
0.356,3.227,0.814,0
0.328,0.765,-0.35,0
2.398,1.156,0,0
0.18,0.944,0,0
0.232,0.776,0,1
1.108,1.63,1.796,0
0.328,0.774,0,1
0.688,2.617,0.48,0
1.349,2.589,0.441,0
0.483,0.926,-0.34,1
0.508,3.092,-0.255,1
0.162,0.705,-0.602,0
2.92,0.446,-0.049,0
0.234,0.973,-0.353,0
0.079,0.327,0,0
0.812,3.116,-0.227,0
0.308,0.943,-0.234,0
1.957,1.328,-0.258,0
-0.101,-0.372,1.853,0
0.446,0.59,0.666,1
2.799,1.275,-0.236,0
1.109,2.796,0.278,0
0.92,1.144,0.471,1
0.23,0.724,0.64,1
0.822,2.76,-0.126,0
0.326,1.646,-0.284,0
0.577,0.895,1.464,1
0.904,0.617,0.585,0
0.578,2.614,1.169,0
0.296,0.735,0.677,0
0.598,2.118,1.555,0
0.118,0.561,0,0
1.499,2.131,0.803,0
0.161,0.177,-0.937,1
1.158,2.622,0.23,0
0.296,1.257,-0.372,0
0.59,0.973,1.441,1
-1.044,1.572,0,0
0.198,0.677,-0.513,1
0.257,0.392,0.786,1
0.222,0.433,0,1
1.004,0.527,0.718,1
0.404,2.028,-0.096,0
0.358,1.812,-0.189,0
0.558,0.41,0.44,1
0.334,1.489,0,0
0.774,1.042,0.796,1
1.612,2.319,0.164,0
0.947,1.114,0.072,0
2.267,2.222,0.214,0
2.331,0.652,-0.051,0
0.317,0.804,-0.378,0
0.409,0.753,1.234,1
0.136,0.922,-0.322,0
3.509,0.553,-0.161,0
0.511,2.031,-0.132,0
0.532,3.369,0,0
0.435,2.454,-0.295,0
0.803,0.396,0.5,1
0.99,2.64,-0.271,1
-0.115,0.619,-0.828,1
0.319,1.231,-0.735,1
0.538,1.104,-0.268,1
1.977,1.376,-0.094,0
0.215,0.771,0,1
0.403,3.058,-0.189,0
0.4,0.887,-0.716,1
0.657,1.763,0,0
3.461,0.457,-0.042,0
0.565,1.954,1.881,0
0.618,2.662,0,0
0.298,0.611,1.02,1
0.659,1.949,-0.125,0
0.165,1.307,-0.211,0
1.091,2.127,-0.152,0
-0.504,1.951,-0.175,0
0.554,0.219,-0.602,1
0.409,3.187,-0.187,0
1.72,1.719,0.846,0
3.086,1.188,0.274,0
0.301,1.256,-0.71,1
0.2,0.506,0,1
2.56,-0.244,-0.058,0
2.245,1.11,-0.058,0
1.565,0.867,0.559,0
0.242,0.723,0,1
0.279,0.701,0,1
2.827,0.825,0.653,0
0.324,1.101,-0.406,0
0.2,0.666,1.391,1
0.343,0.927,1.546,1
0.922,2.302,-0.127,0
1.509,1.557,-0.169,0
0.395,2.376,-0.181,0
0.128,0.5,1.031,0
0.259,0.381,-0.833,0
0.351,0.607,0.353,0
2.53,-0.211,-0.058,0
1.363,1.641,-0.153,1
0.123,0.469,-0.998,0
1.071,2.521,-0.208,0
0.676,2.231,-0.307,1
0.647,0.483,-0.599,0
0.239,0.753,0,1
-0.104,-0.52,0,0
0.455,0.842,1.512,1
0.242,0.859,0,0
0.413,1.597,-0.304,0
1.048,1.933,0.118,0
0.262,2.524,0.168,0
0.484,2.633,0.163,0
-0.05,0.42,-0.357,1
2.602,0.423,0.119,0
0.608,1.52,-0.074,0
0.737,2.504,-0.257,0
0.383,0.711,0.636,1
0.522,1.165,-0.24,0
0.231,0.661,1.191,1
0.273,1.057,0,0
0.283,1.349,-0.119,0
2.767,0.315,0.269,0
0.172,0.391,0,0
-0.233,0.69,-0.532,0
0.35,1.239,0.566,0
0.157,0.985,0,0
0.556,3.059,-0.238,0
0.489,2.921,-0.161,0
0.156,0.564,0,0
0.242,0.797,0,1
0.234,0.854,0.549,0
-0.103,0.929,-0.424,0
0.099,0.534,0,1
0.156,1.034,0,0
0.285,1.467,-0.106,0
0.099,0.258,1.838,0
0.363,0.994,-0.384,0
0.205,0.673,-0.4,0
1.707,1.574,0,1
0.326,1.658,0,0
0.417,1.5,-0.103,0
0.598,1.595,-0.257,1
0.258,1.825,-0.344,0
0.508,2.252,-0.207,0
0.474,1.093,-0.376,1
1.236,1.986,-0.167,1
0.52,2.213,-0.195,0
-0.222,-0.565,-0.407,1
0.159,0.329,-0.873,1
1.013,2.312,-0.162,1
0.719,3.563,-0.141,0
0.245,0.354,0,0
1.084,1.697,-0.102,0
0.159,0.686,0,1
0.366,0.414,-0.584,0
0.161,0.552,-0.933,1
2.399,0.797,-0.045,0
0.151,0.577,0,0
0.223,1.533,0,0
0.131,0.858,-0.411,0
0.926,1.532,-0.244,1
1.097,2.087,0.245,0
0.329,0.8,0.873,1
0.891,0.909,-0.23,1
0.474,1.277,0.791,1
0.545,0.513,-0.728,0
0.279,1.93,0,1
0.965,2.664,-0.381,0
3.619,-0.356,-0.065,0
1.041,1.968,-0.412,0
0.066,0.295,0,0
0.27,1.134,-0.235,0
2.906,0.775,0.25,0
0.326,0.458,1.481,1
0.348,2.567,-0.383,0
3.015,0.337,-0.052,0
0.511,2.783,-0.156,0
1.997,2.309,0.533,0
1.268,1.104,-0.208,0
0.086,0.353,-0.418,0
0.278,0.534,0.771,1
0.691,2.603,1.17,0
0.637,2.446,0,0
2.702,-0.236,-0.143,0
-0.15,1.436,0,0
0.562,1.04,-0.33,1
2.653,0.448,0.092,0
1.362,1.301,-0.277,0
0.409,0.79,-0.517,0
0.116,0.478,0,1
0.266,1.229,-0.326,0
0.222,0.577,-1.143,1
1.099,2.428,-0.112,0
0.942,1.88,0.725,0
0.243,0.917,-1.078,1
0.121,0.575,0,1
3.256,1.141,0.132,0
-0.221,3.016,-0.171,0
3.773,-0.306,-0.065,0
0.401,2.322,-0.093,0
0.155,0.773,0.553,0
0.116,0.318,1.304,0
0.364,1.863,-0.248,0
0.473,1.072,0.91,1
0.174,0.453,-0.601,0
0.227,0.987,0.616,0
1.23,1.569,0.285,0
0.842,2.641,-0.123,0
0.223,0.367,1.503,1
0.266,1.268,0,0
0.424,2.375,0.792,0
0.295,1.883,-0.434,0
0.832,3.085,0.314,0
0.504,2.585,-0.158,0
0.405,0.866,-0.4,0
0.301,1.249,0,0
1.274,1.404,0.119,0
0.895,0.559,1.516,1
0.12,0.342,-0.634,0
0.169,0.397,-0.651,0
0.564,3.344,-0.27,0
0.733,0.594,0.414,1
0.074,0.333,2.377,0
0.624,2.416,-0.297,0
0.476,2.54,0,0
0.331,2.335,-0.117,0
0.214,0.744,-1.086,1
1.765,1.217,0.164,0
0.686,1.069,1.84,1
0.13,0.56,-0.43,0
0.181,1.368,-0.421,0
0.593,3.003,-0.142,0
0.8,1.932,0.318,0
0.259,0.688,0,0
0.189,1.314,0,0
0.323,1.315,-0.44,0
0.246,0.477,0.48,0
0.226,0.672,0,0
2.365,0.282,-0.059,0
0.116,0.477,0,1
1.013,1.772,0.137,0
2.17,-0.458,-0.124,0
2.937,0.357,-0.132,0
0.375,2.21,0,0
1.051,2.749,0.619,0
3.15,0.54,-0.061,0
0.764,2.524,-0.179,0
0.212,0.746,1.21,1
0.485,1.094,0.992,1
1.022,2.181,0,0
3.239,0.65,0.058,0
0.151,1.008,0,0
0.249,0.964,0,1
2.663,-0.253,0.063,0
0.154,0.52,0,0
0.029,-0.188,0,0
0.258,1.188,-0.424,1
1.508,1.749,0,0
0.562,1.013,0.528,0
3.328,-0.317,0.055,0
0.411,1.587,-0.479,0
0.437,1.43,0.388,1
0.626,2.386,-0.136,0
-0.125,1.264,0,0
0.4,1.334,0,1
0.341,1.523,-0.13,0
0.21,0.847,-0.732,0
0.333,1.453,0,0
3.232,0.906,-0.121,0
