@relation phoneme

@attribute Aa numeric
@attribute Iy numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.128,2.105,-0.626,0
0.145,0.792,0,0
1.706,0.568,0.504,0
0.254,-0.318,0.438,0
2.91,0.149,-0.081,0
0.155,1.076,0.553,0
0.662,-0.417,-0.239,0
0.509,0.189,0.219,0
0.478,-0.191,-0.116,0
0.147,0,0,0
2.441,0.176,-0.065,0
2.829,0.337,0.359,0
0.582,0.702,-0.25,0
2.909,-0.33,-0.142,0
0.277,-0.688,0,0
1.479,0.208,-0.094,0
0.724,0.3,-0.289,0
0.146,1.066,-0.592,0
0.404,1.005,0,0
0.185,0.872,0,0
0.336,-0.623,-0.394,0
1.198,-0.462,0.786,0
1.44,0.249,0.209,0
0.108,1.854,1.152,0
0.478,-0.682,0,0
0.348,2.294,-0.962,0
0.486,0.674,0,0
2.374,0.187,0.2,0
0.283,-0.753,-0.405,0
0.249,-0.459,-0.233,0
2.078,0.126,0.083,0
3.115,-0.074,-0.043,0
0.222,-0.514,0,0
0.486,-0.202,0,0
3.132,0.18,-0.066,0
2.999,-0.072,-0.048,0
0.912,-0.121,-0.067,0
0.424,0.388,-0.194,0
0.762,-0.209,0.159,0
2.699,0.094,-0.049,0
0.608,0.293,-0.151,0
0.816,0.084,0.085,0
0.425,-0.182,0.178,0
1.386,0.109,0.095,0
0.258,-0.68,-0.338,0
1.404,0.249,0.188,0
0.841,0.206,0,0
0.269,-0.469,0.338,0
0.636,0.31,0.274,0
1.538,0.084,0.071,0
0.308,0.273,0.114,0
0.417,-0.154,0,0
2.072,0.081,-0.082,0
0.19,-0.656,-0.279,0
3.498,-0.064,-0.041,0
0.262,-0.794,-0.416,0
0.687,-0.354,-0.167,0
0.193,1.37,0,0
0.675,0.753,0.385,0
0.899,0.367,1.19,0
0.302,0.32,-0.172,0
0.093,-0.461,1.012,0
2.555,0.188,-0.095,0
3.367,-0.242,-0.095,0
0.713,1.202,-0.379,0
0.637,-0.376,-0.135,0
1.636,0.594,-0.172,0
0.356,-0.396,-0.193,0
0.531,-0.239,-0.165,0
1.081,-0.111,0.103,0
0.924,-0.175,-0.109,0
0.573,0.78,0.487,0
0.206,0.498,-0.246,0
0.156,-0.448,-0.214,0
0.972,-0.101,0.101,0
0.133,2.193,0,0
2.035,-0.165,0.153,0
0.303,0.221,0.157,0
2.167,0.074,-0.104,0
2.334,0.213,-0.097,0
0.164,2.022,0,0
0.653,0.247,-0.266,0
2.399,-0.116,-0.045,0
0.368,-0.459,-0.282,0
0.141,0.969,1.855,0
0.395,0.499,-0.181,0
1.04,0.067,0,0
2.308,0.199,-0.095,0
1.568,0.129,-0.079,0
2.723,-0.071,0.089,0
0.265,0.37,0,0
0.9,-0.1,-0.067,0
0.437,1.17,-0.385,0
0.967,-0.337,0.813,0
0.469,-0.157,-0.101,0
0.128,0.777,1.814,0
0.835,-0.144,0,0
0.212,1.481,0,0
0.316,0.688,-0.285,0
0.618,0.446,1.001,0
0.705,-0.152,-0.086,0
0.36,0.319,-0.182,0
0.118,0.973,1.363,0
0.352,0.621,-0.535,0
0.387,-0.772,0,0
0.621,-0.183,-0.103,0
0.442,-0.532,-0.387,0
2.486,0.087,0.071,0
1.141,-0.207,-0.138,0
0.625,-0.207,-0.101,0
0.235,1.219,2.13,0
0.058,-0.348,1.112,0
1.806,-0.111,0.11,0
0.339,-0.443,0,0
0.114,-0.74,2.273,0
0.368,0.372,0,0
3.5,-0.086,-0.085,0
0.152,2.32,-0.756,0
2.534,-0.356,-0.135,0
0.636,0.737,0.362,0
0.295,-0.574,0,0
1.909,0.102,-0.07,0
0.743,-0.426,0.343,0
0.67,-0.285,-0.366,0
2.043,0.394,-0.131,0
0.352,0.97,1.126,0
0.268,0.28,-0.11,0
0.286,0.468,0.277,0
0.432,-0.592,-0.313,0
0.331,-0.269,-0.134,0
0.522,-0.565,-0.24,0
1.838,0.091,0.062,0
2.437,0.15,0.309,0
0.567,-0.564,0,0
0.612,0.425,0.225,0
0.333,1.46,-0.751,0
0.237,-0.848,0.614,0
2.203,0.437,-0.235,0
0.979,1.861,-0.517,0
0.079,0.427,0,0
0.967,-0.145,-0.107,0
2.51,0.72,-0.21,0
0.101,2.347,0,0
0.534,0.345,1.087,0
2.741,-0.273,-0.117,0
0.5,-0.176,-0.099,0
0.872,-0.248,1.372,0
0.283,-0.895,0,0
0.251,-0.517,-0.262,0
0.688,0.483,0.48,0
0.221,0.504,-0.197,0
0.264,-0.669,-0.305,0
1.301,-0.246,-0.286,0
0.498,-0.242,0,0
2.99,-0.171,-0.13,0
0.333,2.152,-0.796,0
3.698,-0.082,-0.042,0
0.17,-0.848,0,0
0.239,0.992,-0.478,0
0.366,-0.413,-0.182,0
-0.504,-0.28,-0.175,0
2.328,0.077,-0.038,0
0.296,0.807,-0.361,0
0.699,0.403,-0.391,0
0.277,1.371,-0.449,0
1.056,0.211,0.134,0
0.892,-0.118,-0.069,0
0.391,0.371,0.953,0
0.634,0.876,-0.329,0
3.246,0.111,-0.06,0
0.267,-0.485,-0.25,0
3.892,-0.127,-0.066,0
0.33,-0.73,0,0
0.65,-0.148,0,0
-1.046,-0.149,-0.126,0
0.64,0.387,-0.215,0
0.533,0.241,-0.1,0
2.531,1.019,-0.337,0
0.445,-0.228,-0.133,0
1.075,1.461,-0.355,0
2.431,0.083,0.086,0
0.741,0.512,0.602,0
1.142,-0.161,-0.11,0
2.164,1.024,-0.274,0
0.873,-0.275,-0.149,0
2.196,1.841,-0.528,0
1.287,-0.476,1.222,0
1.379,0.171,-0.074,0
1.141,0.088,0.089,0
1.456,0.309,0.398,0
0.736,0.255,-0.22,0
0.341,-0.985,-0.459,0
0.155,-0.625,0,0
2.082,-0.1,0,0
0.278,0.468,-0.191,0
0.755,-0.426,1.903,0
3.144,0.12,-0.114,0
0.584,0.302,0.848,0
0.205,1.773,-0.534,0
1.079,1.475,-0.455,0
3.359,-0.085,0.085,0
0.885,-0.173,-0.117,0
2.173,0.137,-0.101,0
0.967,-0.337,0.813,0
1.171,-0.094,0.087,0
2.525,0.356,0.448,0
1.622,0.13,0.151,0
3.414,-0.074,-0.053,0
0.357,-0.658,0,0
1.151,-0.104,0.086,0
0.075,0.424,0,0
0.296,-0.974,0,0
0.124,2.196,-0.645,0
0.35,-0.26,-0.136,0
0.738,0.261,-0.261,0
0.904,0.864,0.585,0
0.699,-0.341,0,0
0.119,1.762,0,0
0.154,-0.782,0,0
0.362,-0.636,0,0
0.303,-0.434,-0.216,0
0.264,-0.512,-0.233,0
0.245,0.971,1.058,0
0.233,1.742,0.843,0
0.555,0.578,0,0
1.334,1.109,0.682,0
0.159,-0.353,0,0
1.001,-0.094,0.095,0
0.131,0.916,0.899,0
0.626,0.264,-0.277,0
0.982,-0.151,-0.105,0
0.363,1.578,-0.523,0
0.203,-0.6,0,0
0.229,1.47,1.046,0
0.32,-0.216,-0.139,0
2.45,-0.081,0.082,0
2.56,0.112,-0.058,0
0.342,0.294,-0.122,0
2.428,-0.073,0.046,0
0.849,0.186,0,0
0.136,0.508,1.165,0
0.233,0.656,-0.307,0
0.256,-0.532,-0.244,0
1.197,0.184,0.119,0
0.346,0.897,0.552,0
0.288,-0.618,0,0
1.79,-0.115,0.088,0
0.554,-0.513,1.205,0
0.262,0.238,0.168,0
0.085,1.604,-0.792,0
3,0.112,0.112,0
2.721,-0.063,0.056,0
1.022,-0.223,0,0
0.245,0.718,-0.4,0
0.472,-0.356,-0.173,0
0.219,0.347,0.227,0
0.794,-0.201,0.12,0
0.557,-0.511,1.753,0
0.709,-0.405,1.618,0
1.781,-0.139,-0.105,0
0.438,1.157,0.813,0
0.368,0.634,-0.3,0
0.125,0.623,-0.857,0
1,0.369,-0.599,0
0.767,-0.1,-0.065,0
2.17,0.264,-0.124,0
0.134,2.024,0,0
0.2,1.958,-0.605,0
0.4,-0.789,0.429,0
0.156,-0.555,0,0
3.24,-0.19,-0.089,0
-0.144,-0.826,-0.474,0
1.222,-0.099,-0.054,0
0.635,-0.274,-0.393,0
1.236,-0.177,-0.107,0
0.179,1.854,-0.77,0
2.025,-0.076,-0.047,0
2.744,0.098,0.074,0
0.279,0.77,-0.388,0
2.639,0.674,-0.25,0
1.851,0.097,-0.074,0
2.398,-0.077,0,0
0.805,0.222,0.206,0
0.259,-0.363,1.546,0
0.387,-0.648,-0.342,0
0.354,-0.236,-0.115,0
1.242,-0.362,1.29,0
3.505,0.296,0.126,0
0.639,-0.377,-0.143,0
0.123,2.082,-0.998,0
0.602,-0.199,-0.121,0
0.235,1.603,1.161,0
0.918,0.075,-0.044,0
0.195,-0.373,-0.152,0
0.644,-0.51,0.436,0
0.682,-0.433,-0.517,0
-0.202,0.592,0,0
0.886,-0.184,-0.124,0
0.364,-0.622,-0.32,0
0.495,-0.156,-0.088,0
0.476,0.691,-0.217,0
2.56,0.391,0.324,0
1.517,0.248,-0.18,0
-0.117,-1.156,0,0
1.945,1.071,-0.285,0
0.2,-0.644,0.327,0
0.702,-0.424,0.243,0
0.667,-0.226,-0.128,0
0.301,1.884,-0.639,0
3.639,-0.095,-0.056,0
1.466,0.284,-0.18,0
0.422,-0.203,-0.133,0
0.173,1.051,-0.38,0
0.944,-0.109,0.072,0
1.558,0.08,0.062,0
0.229,-0.488,-0.223,0
0.199,-0.621,0.324,0
0.85,0.381,1.378,0
0.76,-0.221,0.15,0
1.305,-0.152,-0.109,0
0.225,0.278,0.175,0
0.055,0.486,1.356,0
0.75,-0.193,0,0
0.253,-0.454,-0.214,0
0.424,0.523,0.792,0
0.192,-0.678,0.399,0
0.342,-0.665,0,0
0.26,1.209,0,0
1.018,0.075,0.081,0
0.241,0.379,-0.141,0
0.643,0.423,0.218,0
2.32,0.161,-0.075,0
3.272,-0.085,-0.052,0
0.749,-0.428,-0.219,0
2.705,-0.084,0.138,0
0.121,2.225,0,0
0.66,0.298,0.15,0
0.473,-0.222,-0.158,0
0.271,-0.702,0,0
0.578,0.512,1.169,0
0.273,1.064,-0.499,0
0.119,1.522,0.934,0
0.115,0.719,0.731,0
0.245,-0.767,-0.36,0
1.532,0.28,-0.155,0
0.29,-0.656,-0.308,0
0.074,-0.872,2.377,0
3.168,-0.205,0.589,0
0.149,2.015,-0.673,0
2.235,0.366,0.617,0
0.259,1.092,0,0
0.237,2.177,-0.769,0
0.614,0.553,-0.184,0
0.189,-0.406,0,0
1.936,0.14,-0.206,0
0.219,-0.868,-0.375,0
0.922,0.227,-0.127,0
0.389,-0.204,-0.136,0
0.309,-0.213,-0.305,0
0.594,-0.196,-0.137,0
0.557,0.348,-0.259,0
0.675,0.248,-0.121,0
2.046,-0.445,-0.161,0
0.282,-0.726,0,0
1.21,-0.457,-0.185,0
0.179,1.786,-0.631,0
0.403,-0.682,0,0
1.325,-0.096,0.075,0
3.239,-0.067,0.058,0
0.307,-0.19,0.205,0
1.134,0.07,0.078,0
1.207,-0.083,-0.055,0
2.848,-0.31,-0.125,0
0.273,1.731,0,0
0.284,1.726,0,0
0.859,0.236,-0.187,0
0.397,-0.616,0,0
0.256,0.77,0,0
0.155,1.949,-0.667,0
0.219,-0.736,-0.438,0
0.502,-0.253,-0.158,0
3.104,0.122,-0.103,0
2.203,0.067,0.048,0
1.396,0.617,0.98,0
0.216,0.981,1.464,0
0.564,0.751,-0.27,0
2.956,-0.266,-0.128,0
-0.083,-1.581,0,0
0.269,-0.754,-0.349,0
-0.802,0.341,-0.452,0
0.053,0.483,0,0
1.439,-0.168,-0.103,0
0.57,0.604,1.309,0
0.268,-0.614,-0.269,0
3.542,0.077,0.064,0
0.669,-0.248,-0.124,0
0.165,0.551,-0.211,0
1.793,1.043,-0.324,0
2.18,0.427,-0.234,0
1.094,0.33,0.929,0
3.5,-0.045,-0.032,0
0.686,-0.225,0.157,0
0.948,0.42,1.126,0
0.371,0.687,-0.474,0
1.109,-0.199,0.278,0
1.757,1.579,-0.45,0
0.815,0.217,-0.304,0
2.168,0.709,-0.195,0
0.578,-0.193,0,0
0.723,-0.667,0.401,0
-0.993,-0.151,-0.112,0
0.273,0.465,1.47,0
1.807,-0.082,0.068,0
0.981,0.189,-0.161,0
0.266,0.408,-0.143,0
1.666,0.164,0.116,0
0.996,-0.202,0,0
0.243,-0.554,-0.275,0
0.216,0.981,1.464,0
2.601,-0.08,0.119,0
0.191,1.965,-0.617,0
0.301,0.695,-0.315,0
0.266,-0.527,-0.319,0
1.165,0.367,0.355,0
0.226,-0.703,0.395,0
0.977,1.041,-0.288,0
1.84,0.153,-0.101,0
0.06,0.264,0.912,0
0.269,2.266,-0.705,0
1.825,-0.143,-0.097,0
0.996,-0.108,0.078,0
2.654,0.394,0.218,0
2.637,0.133,-0.05,0
0.069,0.931,1.571,0
0.675,0.665,0.878,0
0.359,0.928,0.925,0
1.488,1.191,-0.329,0
0.864,-0.13,0.097,0
1.304,0.257,0.342,0
0.764,-0.32,-0.179,0
1.183,-0.114,0.095,0
2.348,0.163,-0.064,0
0.231,1.862,0.899,0
0.723,-0.365,-0.17,0
1.509,0.283,-0.169,0
1.177,0.66,-0.401,0
0.734,0.415,-0.179,0
1.246,0.569,0.291,0
0.741,0.473,0.233,0
0.383,0.575,-0.212,0
1.998,-0.08,0.104,0
0.66,-0.264,0.15,0
0.102,0.842,0.8,0
0.697,-0.429,1.618,0
0.317,1.61,1.167,0
2.437,0.182,0.2,0
2.348,0.164,-0.065,0
1.363,-0.133,-0.079,0
-0.211,1.065,0,0
0.277,-0.536,0.551,0
0.18,1.056,0,0
0.421,-0.188,-0.211,0
0.551,-0.189,-0.122,0
0.117,1.128,-0.35,0
1.23,0.332,0.285,0
0.415,0.789,0.885,0
0.716,-0.226,0.132,0
1.164,0.67,-0.265,0
0.137,-0.765,0,0
0.717,-0.257,0.209,0
0.253,0.262,-0.106,0
1.4,0.265,0.143,0
1.115,0.275,-0.156,0
0.204,-0.649,0.398,0
0.301,0.867,-0.439,0
0.412,0.509,0,0
0.066,-0.621,0,0
0.228,1.183,0.704,0
0.389,0.602,1.173,0
0.719,-0.141,0.107,0
0.268,0.629,0,0
0.966,-0.149,-0.116,0
0.062,0.579,0,0
0.243,1.039,0,0
3.347,0.666,-0.18,0
0.182,0.965,-0.41,0
2.938,-0.287,-0.131,0
0.511,-0.342,0,0
0.324,0.543,-0.183,0
2.676,0.983,-0.226,0
1.903,0.122,0.098,0
0.789,1.265,-0.318,0
0.555,-0.182,-0.125,0
0.56,-0.599,-0.315,0
0.619,0.951,-0.329,0
0.107,1.426,1.803,0
0.262,-0.76,0.65,0
0.22,-0.376,-0.236,0
3.603,-0.097,-0.057,0
0.157,-0.747,0,0
3.343,0.077,-0.052,0
0.477,-0.288,-0.154,0
0.907,-0.155,-0.101,0
0.936,-0.368,-0.145,0
0.331,-0.58,-0.278,0
0.266,0.837,-0.38,0
0.536,-0.303,0.253,0
0.479,-0.524,-0.247,0
0.314,0.866,1.159,0
0.845,-0.211,0,0
1.007,0.422,0.617,0
0.504,0.412,-0.189,0
0.279,-0.738,0,0
1.126,0.236,-0.176,0
2.675,0.984,-0.225,0
0.58,-0.391,0.541,0
-0.385,-0.102,-0.069,0
3.429,0.139,0.349,0
0.83,0.547,0.288,0
0.54,-0.261,0,0
0.126,2.343,0,0
0.204,-0.612,-0.283,0
0.249,0.379,0,0
2.865,0.099,-0.093,0
0.832,-0.203,0.156,0
0.284,1.276,0,0
0.316,1.259,1.062,0
0.334,-0.842,0,0
2.133,-0.073,0.09,0
0.997,1.479,-0.4,0
2.106,0.182,-0.065,0
0.363,-0.692,-0.384,0
0.094,-0.223,-0.46,0
2.976,-0.139,-0.083,0
0.251,0.472,0.444,0
0.338,1.274,0.984,0
-0.101,0.878,1.853,0
1.309,-0.508,-0.211,0
0.213,-0.609,-0.229,0
0.267,0.563,0,0
0.371,0.645,0,0
1.471,0.155,-0.226,0
2.384,-0.118,-0.051,0
2.045,-0.445,-0.161,0
1.214,-0.108,0.1,0
2.766,-0.304,0.269,0
1.116,-0.193,-0.225,0
0.352,0.314,-0.135,0
0.162,2.347,-0.777,0
1.509,1.513,-0.407,0
1.312,0.534,-0.175,0
0.922,-0.255,-0.163,0
0.416,1.108,0.775,0
1.925,0.315,1.147,0
1.104,1.452,-0.314,0
1.215,-0.082,-0.06,0
3.025,0.27,-0.095,0
-0.982,-0.136,-0.086,0
0.774,-0.123,0,0
0.856,0.366,0,0
0.634,-0.353,0.193,0
1.051,0.231,-0.132,0
0.555,0.199,-0.146,0
0.154,-0.534,0,0
0.381,1.183,0.648,0
2.191,0.124,-0.155,0
1.906,-0.09,0.071,0
0.472,0.716,-0.3,0
0.598,0.332,0.201,0
1.162,0.208,-0.088,0
1.411,-0.128,0.12,0
0.314,0.564,0.272,0
0.959,0.513,0.83,0
2.51,0.215,-0.068,0
0.407,-0.535,-0.257,0
0.136,1.567,0,0
0.144,1.668,0,0
1.667,0.204,0.163,0
1.644,1.395,-0.389,0
-0.201,-0.403,0.201,0
0.289,-0.756,-0.331,0
0.189,-0.704,0.382,0
0.71,-0.255,0.662,0
0.083,1.171,1.321,0
0.147,0.928,1.595,0
0.802,-0.49,0,0
0.288,1.42,-0.454,0
2.112,-0.097,0.077,0
0.103,0,0,0
0.179,-0.639,-0.268,0
0.338,-0.824,-0.381,0
0.836,-0.336,2.016,0
0.347,0.423,-0.164,0
0.571,-0.37,-0.155,0
1.481,-0.385,1.379,0
0.071,0.439,0.422,0
0.976,-0.091,0.111,0
1.086,-0.118,-0.06,0
0.397,1.183,0.535,0
-0.099,-0.724,0,0
1.297,0.322,0,0
0.541,-0.44,-0.212,0
1.445,-0.122,0.107,0
0.523,0.345,0,0
0.285,0.243,-0.106,0
0.519,-0.173,-0.095,0
1.962,0.143,-0.079,0
1.466,-0.073,0.076,0
0.144,0.775,0,0
-0.18,0.489,-0.208,0
-0.307,-0.277,-0.151,0
1.518,0.248,-0.18,0
1.064,1.599,-0.583,0
0.279,0.453,0,0
0.212,-0.561,0,0
0.381,-0.163,-0.091,0
0.642,0.322,0.188,0
0.167,-0.607,1.807,0
0.121,-0.611,-1.052,0
3.772,0.11,0.198,0
0.144,-0.718,-0.535,0
0.62,1.097,0.994,0
1.928,-0.138,-0.097,0
0.303,0.305,-0.123,0
-0.134,-0.822,0,0
0.205,-0.499,-0.2,0
0.264,-0.575,1.967,0
0.514,-0.289,-0.183,0
0.985,1.548,-0.434,0
0.311,-0.45,-0.255,0
0.481,0.789,-0.24,0
0.322,0.269,-0.096,0
0.723,-0.139,0.101,0
0.269,-0.589,1.974,0
1.335,-0.089,-0.055,0
1.529,-0.072,0.066,0
0.492,0.313,-0.147,0
0.771,0.426,-0.3,0
0.513,-0.358,0.257,0
0.524,0.329,0,0
0.782,-0.43,0,0
3.056,-0.219,-0.093,0
2.785,-0.073,0.081,0
2.256,-0.066,-0.046,0
2.839,-0.237,0.313,0
0.305,-0.131,-0.088,0
1.645,-0.58,-0.221,0
0.398,-0.521,-0.282,0
2.941,-0.331,-0.123,0
0.144,1.646,-0.601,0
0.486,-0.26,-0.159,0
0.159,-0.601,1.794,0
0.142,-0.564,0,0
0.434,-0.374,-0.193,0
0.475,-0.248,-0.149,0
0.108,1.134,1.297,0
2.074,0.601,-0.227,0
0.227,0.993,1.152,0
1.483,0.921,0.707,0
0.101,1.505,1.15,0
0.934,-0.421,0.547,0
3.516,0.084,0.069,0
1.422,-0.21,0.114,0
0.409,0.427,-0.187,0
0.145,-0.794,0,0
-0.645,-0.195,-0.124,0
1.553,-0.188,-0.119,0
0.232,1.597,-0.482,0
0.229,1.062,0,0
0.413,0.998,-0.369,0
0.79,0.264,-0.166,0
1.528,0.149,0.07,0
3.598,0.078,-0.054,0
0.832,0.497,0.314,0
0.267,-0.911,0,0
-0.221,-0.33,-0.171,0
0.392,-0.6,0.559,0
0.246,1.542,-0.597,0
2.051,0.18,-0.062,0
1.228,0.108,0.082,0
0.364,0.215,0.149,0
0.52,0.287,0.271,0
0.156,1.842,0,0
0.821,0.845,-0.233,0
1.688,-0.348,-0.164,0
1.841,0.199,-0.323,0
0.378,1.017,0.937,0
1.033,0.28,0.607,0
0.637,-0.338,0,0
-0.166,-0.493,0,0
2.646,-0.092,-0.039,0
1.349,0.251,0.441,0
2.545,0.087,0.062,0
0.573,0.452,-0.19,0
0.199,-0.314,0.194,0
1.622,-0.136,0.141,0
0.951,0.438,0.924,0
2.239,1.549,-0.453,0
1.237,-0.1,-0.061,0
2.852,0.11,0.099,0
2.267,0.413,0.214,0
0.597,0.647,-0.192,0
0.276,1.18,0,0
0.341,-0.772,0.391,0
0.234,-0.693,-0.27,0
1.362,0.385,-0.277,0
0.53,0.683,0.671,0
0.592,0.295,-0.231,0
-0.121,-0.798,0,0
0.545,1.904,-0.728,0
1.156,-0.115,-0.084,0
0.279,0.443,-0.189,0
0.16,0.436,-0.179,0
1.274,0.185,0.119,0
0.174,1.701,-0.601,0
3.087,-0.072,0.057,0
1.836,0.195,-0.137,0
0.245,2.27,0,0
1.843,0.204,-0.137,0
0.26,1.181,0,0
0.055,-0.469,0,0
1.877,0.191,-0.116,0
1.508,0.801,0.942,0
0.245,0.99,0,0
0.776,-0.194,0.145,0
0.659,-0.251,-0.125,0
3.66,0.362,-0.11,0
0.482,-0.484,-0.246,0
1.05,1.541,-0.359,0
3.079,-0.084,0.071,0
0.679,1.162,-0.432,0
1.493,-0.175,-0.104,0
1.905,0.079,0.072,0
0.252,0.26,0.168,0
0.361,-0.475,-0.19,0
2.602,-0.08,0.119,0
0.985,-0.146,0.113,0
2.807,0.191,0.561,0
0.389,0.688,1.2,0
0.183,-0.517,0,0
0.111,2.262,-0.752,0
0.238,2.113,0,0
1.413,-0.216,-0.131,0
1.288,0.095,0.106,0
0.207,2.152,-0.641,0
1.957,0.45,-0.258,0
3.074,-0.069,-0.049,0
1.84,0.153,-0.101,0
0.312,-0.686,-0.423,0
0.77,-0.19,-0.145,0
3.13,0.181,-0.065,0
1.845,-0.149,-0.119,0
2.558,0.476,0.341,0
0.158,1.576,-0.531,0
0.638,-0.249,-0.125,0
1.612,0.22,0.163,0
0.096,1.757,0,0
3.414,-0.081,0.082,0
1.405,0.423,0.299,0
0.108,-0.664,-1.016,0
0.636,-0.162,0,0
1.657,0.226,0.161,0
2.954,0.086,-0.061,0
0.27,1.038,-0.456,0
0.103,2.012,0,0
0.902,-0.171,-0.128,0
0.369,-0.448,0,0
0.286,-0.732,0,0
3.576,0.095,-0.065,0
0.335,-0.168,-0.104,0
3.273,0.576,0.307,0
1.719,-0.088,0,0
0.735,0.478,0.19,0
1.607,0.222,0.163,0
0.134,-0.788,1.599,0
0.764,-0.218,-0.132,0
1.963,-0.109,0.102,0
0.965,1.316,-0.404,0
0.766,-0.239,-0.136,0
2.963,0.088,0.11,0
0.705,-0.286,0.215,0
0.886,0.195,-0.126,0
0.27,-0.518,-0.235,0
3.097,0.275,-0.077,0
0.837,-0.271,-0.136,0
0.349,-0.73,0.393,0
0.135,2.355,0,0
0.289,0.835,0.489,0
3.097,0.275,-0.078,0
1.631,0.218,0.161,0
2.092,0.242,-0.067,0
2.822,0.091,-0.062,0
0.283,-0.77,0,0
0.427,-0.444,-0.286,0
0.34,0.361,0,0
1.229,0.332,0.285,0
1.92,0.113,-0.065,0
0.257,-0.601,0,0
0.562,-0.265,-0.188,0
0.243,-0.814,0,0
0.192,-0.695,-0.374,0
0.197,-0.848,-0.299,0
1.131,-0.158,0.22,0
0.706,-0.202,-0.111,0
0.801,-0.359,0,0
0.88,0.306,-0.234,0
-1.595,-0.127,-0.092,0
0.586,-0.267,-0.166,0
1.033,-0.101,0,0
0.352,0.647,-0.518,0
0.773,-0.179,-0.115,0
0.146,1.818,0,0
3.21,-0.086,-0.06,0
1.896,0.138,-0.072,0
0.226,1.814,0,0
1.044,-0.155,-0.107,0
2.119,0.116,-0.062,0
2.783,0.085,-0.061,0
0.655,-0.39,-0.19,0
0.524,0.695,0.653,0
0.381,1.204,-0.368,0
0.254,1.828,-0.544,0
0.508,0.273,0.237,0
0.298,-0.314,-0.624,0
3.177,0.09,-0.074,0
1.645,-0.137,-0.052,0
1.472,-0.123,-0.077,0
1.509,0.283,-0.169,0
2.539,0.146,0.269,0
2.467,0.149,0.28,0
0.367,1.01,1.05,0
2.544,0.243,0.533,0
0.597,-0.261,-0.162,0
0.99,-0.164,0.148,0
0.312,-0.184,-0.108,0
0.891,0.537,0.432,0
1.023,-0.085,-0.06,0
1.483,0.92,0.706,0
0.455,0.573,1.14,0
0.814,0.301,-0.159,0
0.165,0.781,0,0
1.126,0.236,-0.176,0
0.356,0.395,0.814,0
2.463,0.113,0.08,0
2.817,0.22,-0.088,0
2.628,0.299,0.703,0
1.036,1.399,-0.376,0
