@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2,4,6'

@attribute Ao numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
1.676,0.197,0
0.539,0.08,0
0.831,0.081,0
1.867,0.139,0
2.223,-0.417,0
0.994,1.183,0
-0.26,-0.078,0
0.381,0.984,0
2.15,0.39,0
0.526,0,0
1.091,0.105,0
0.316,0.087,0
0.583,0.091,0
0.988,0.094,0
2.098,1.39,0
2.511,0.97,1
2.724,0.423,0
2.261,-0.224,0
0.651,0.131,0
0.735,0.143,0
-0.23,0.113,0
0.921,2.318,1
1.876,0.306,0
2.276,-0.189,0
0.267,0.16,0
1.503,-0.319,0
0.831,0.87,0
3.144,-0.261,0
0.483,2.132,0
1.139,0.825,0
1.44,-0.478,0
0.722,-0.999,1
1.919,0.274,0
0.675,1.033,1
1.023,-0.1,0
0.591,0.236,0
1.334,0.556,0
1.952,-0.345,0
0.87,2.123,1
0.61,0.163,0
2.031,0.737,0
0.888,0.375,0
0.57,1.559,0
1.543,1.724,1
3.04,-0.265,0
2.759,-0.184,0
0.566,-0.748,1
1.38,0.535,0
0.513,1.332,1
0.972,1.579,0
-0.863,-0.577,0
1.3,0.385,0
1.144,1.914,1
1.253,-0.772,0
2.34,0.404,0
2.716,1.009,0
0.82,1.641,1
0.653,-0.73,0
0.619,1.262,0
2.823,-0.127,0
1.633,0.733,1
0.551,-0.624,0
0.267,1.007,0
0.378,2.463,1
2.06,0.441,0
2.579,-0.213,0
1.189,-0.638,1
0.773,-0.596,1
2.09,0.867,0
0.4,1.914,0
2.033,-0.682,0
1.763,0.454,0
1.73,0.171,0
0.845,2.423,1
0.259,-0.469,0
0.458,0.664,1
1.407,-0.434,0
0.741,-0.842,1
0.608,2.548,0
-0.285,-0.082,0
0.514,0.813,1
1.018,1.108,1
1.129,0.569,0
1.266,0.484,0
1.721,2.044,0
1.734,-0.217,1
0.889,1.105,0
1.044,-0.076,0
2.689,-0.337,0
0.796,-0.114,0
1.92,0.27,0
1.056,0.866,0
0.813,1.662,1
-0.361,0.084,0
2.657,0.417,0
3.055,-0.226,0
1.723,-0.641,0
0.449,1.624,1
2.122,-0.249,0
0.776,0.191,0
0.585,1.343,1
1.163,0.814,1
2.79,-0.266,0
0.67,0.122,0
2.959,-0.184,0
1.133,-0.478,0
1.024,0.812,0
0.688,2.2,1
1.773,1.043,0
2.759,-0.179,0
2.745,0.231,0
0.422,1.307,1
1.179,-0.294,0
1.442,0.306,0
0.548,0,0
0.434,0.618,0
2.239,1.064,0
2.816,-0.24,0
0.642,0.761,1
0.441,-0.08,0
0.911,0.199,0
1.183,-0.473,1
1.895,-0.229,0
1.152,-0.646,1
2.166,-0.248,0
1.599,0.329,0
0.557,1.121,1
0.381,-0.469,0
0.496,0.344,0
-0.251,1.239,0
0.632,1.443,0
0.554,-0.278,0
1.073,1.101,1
0.282,0.402,0
0.664,1.207,1
1.194,0.114,0
0.78,0.084,0
1.305,1.809,0
1.238,0.45,0
0.649,2.198,1
0.88,1.361,0
2.728,0.492,0
3.256,0.3,0
1.254,0.698,1
1.369,1.131,1
0.884,0.341,0
-0.583,-1.156,0
1.38,-0.522,1
0.57,-0.58,0
0.454,-0.731,1
0.714,1.345,1
1.035,1.289,1
0.615,2.074,1
2.146,0.312,0
1.251,-0.554,1
0.586,2.496,0
0.295,0.215,0
1.794,-0.179,0
1.179,0.712,1
1.817,-0.461,1
2.187,0.606,0
0.285,-0.314,0
0.638,0.85,1
0.563,0.703,1
0.557,1.846,1
3.107,0.303,0
3.332,-0.292,0
0.773,1.222,1
0.633,0.488,0
0.824,-0.694,0
0.721,0.791,1
1.078,-0.072,0
2.41,0.484,1
1.75,0.226,0
0.787,-0.741,0
1.111,0.106,0
0.834,1.409,1
0.815,1.691,0
2.816,0.33,0
2.163,0.261,0
1.647,1.16,1
1.234,-0.554,0
1.171,1.831,1
0.612,0.969,1
3.022,0.588,0
0.504,0.099,0
0.701,2.069,0
0.59,2.544,0
1.413,1.071,1
2.73,-0.199,0
1.464,0.714,0
1.056,-0.652,0
2.799,0.388,0
0.368,1.219,0
2.328,0.592,0
0.769,1.576,1
1.052,1.287,1
2.402,-0.654,0
1.274,-0.1,0
1.319,0.196,0
1.187,0.248,0
-0.166,-0.408,1
1.24,0.129,0
2.212,0.66,0
0.509,-0.312,1
1.615,-0.487,0
0.581,1.124,0
1.247,1.861,0
0.593,-0.569,0
0.909,-0.595,1
0.494,0.887,1
1.121,-0.657,1
2.55,-0.222,0
1.961,-0.342,0
0.414,1.345,1
1.974,-0.18,0
1.284,-0.441,1
1.424,-0.685,0
0.575,0.275,0
0.496,0.652,1
0.761,0.076,0
1.452,0.63,0
0.783,1.369,1
-0.276,-0.07,0
0.57,-0.591,1
1.607,1.297,1
0.738,0.208,0
1.631,0.34,0
0.309,-0.171,0
0.606,1.168,1
1.472,-0.09,0
0.638,0.08,0
1.944,0.167,0
1.855,0.288,0
1.73,0.345,0
0.387,0.6,0
0.418,1.724,0
1.407,1.962,1
0.967,-0.368,0
1.308,0.99,1
0.998,-0.665,0
3.202,-0.301,0
1.13,-0.068,0
-0.274,-0.08,0
3.303,-0.186,0
0.346,0.454,0
2.737,-0.336,0
0.789,2.106,1
0.69,0.103,0
3.131,-0.27,0
2.75,0.322,0
1.719,0.254,0
1.502,0.413,0
2.529,0.237,0
1.705,-0.277,0
-1.062,0.403,0
1.511,-0.466,0
1.694,-0.52,1
1.393,-0.666,0
2.7,0.255,0
1.87,0.327,0
0.622,0.944,1
3.022,-0.188,0
0.497,0.866,0
3.061,-0.209,0
1.155,0.227,0
0.562,0.957,1
1.983,-0.238,0
1.029,-0.663,0
0.996,-0.137,0
0.63,0.917,1
0.413,1.258,0
0.637,1.189,1
0.495,0.907,0
1.663,-0.196,0
3.218,0.71,1
1.186,-0.584,0
0.512,0.095,0
2.361,0.228,0
0.538,-0.097,0
3.288,0.424,0
0.602,-0.748,1
0.561,1.811,0
2.688,-0.438,0
1.07,-0.61,1
0.799,1.596,0
0.549,1.732,0
1.155,-0.601,0
2.689,0.853,0
1.637,-0.169,0
0.492,0.847,1
0.508,1.837,1
1.497,-0.727,0
1.945,0.609,0
0.824,-0.686,0
2.343,-0.212,0
2.56,-0.568,0
0.834,-0.72,1
1.344,-0.103,0
2.346,-0.346,0
1.232,1.047,1
-0.741,-0.53,1
2.529,0.423,0
0.899,2.113,0
2.533,0.183,0
2.825,-0.171,0
1.386,0.468,0
0.806,-0.756,0
0.733,1.247,1
1.283,0.79,1
0.908,-0.616,1
0.849,1.753,1
0.556,1.136,1
0.606,1.305,1
0.711,-0.215,0
0.345,-0.648,0
1.369,0.218,0
2.402,-0.143,0
1.066,1.371,1
0.539,-0.084,0
1.988,0.51,1
2.811,-0.216,0
1.441,-0.593,0
0.789,0.672,0
0.603,1.518,0
0.75,0.397,1
0.958,-0.762,0
0.69,-0.053,0
0.587,-0.668,1
1.761,0.176,0
0.768,1.582,1
0.451,0.79,1
0.496,0.936,0
2.537,0.607,0
0.368,1.22,0
0.471,1.862,0
0.467,0.114,0
2.3,-0.17,0
0.643,2.048,1
1.153,-0.772,0
2.68,1.172,1
0.542,1.501,0
0.605,1.409,1
1.373,1.264,1
0.509,1.248,1
1.621,-0.6,1
-0.881,-0.868,1
0.311,-0.534,0
1.855,0.241,0
0.766,0.747,0
0.906,0.2,0
1.428,-0.608,0
0.852,1.245,1
1.327,-0.647,0
0.381,0.869,1
2.469,-0.278,1
0.596,-0.782,1
1.217,0.693,0
2.43,0.643,0
0.651,0.203,0
0.596,1.056,1
0.375,1.742,0
3.104,0.303,0
1.953,0.559,1
1.505,0.698,0
2.392,1.828,0
