@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,4-6'

@attribute Aa numeric
@attribute Iy numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.099,1.996,-0.781,0
0.269,1.374,0.893,1
1.415,-0.101,0.092,0
0.441,0.962,1.607,1
0.573,-0.445,0.642,1
0.215,1.861,1.246,1
0.48,1.496,1.357,1
0.096,1.419,1.145,0
0.54,-0.242,-0.157,0
0.983,-0.662,-0.197,1
0.162,-0.687,0,0
0.567,-0.617,-0.492,1
0.424,1.114,0.792,0
0.278,0.58,0.271,0
0.962,-0.71,1.043,1
0.898,-0.161,-0.106,0
-0.152,-0.991,0,0
0.265,-0.627,-0.34,0
-0.142,1.203,-0.848,1
0.465,0.758,-0.313,1
2.013,0.522,0.291,0
0.675,0.413,-0.177,0
-0.132,1.183,-0.413,0
0.583,0.676,0.537,1
0.171,1.027,-0.347,0
0.072,0.507,0.438,0
1.092,-0.383,0.898,0
0.564,0.906,0.501,1
0.321,0.677,-0.201,1
0.5,1.347,-0.397,1
0.29,-0.602,0.402,1
0.494,0.233,-0.134,0
0.421,1.341,1.099,1
1.957,0.232,-0.102,0
0.236,-0.652,-0.303,0
0.132,1.318,-0.437,0
-0.12,0.598,-0.285,0
0.257,0.757,1.26,1
0.089,0.406,0.447,0
0.356,1.552,-1.006,1
0.266,-0.819,0,0
2.761,-0.215,-0.097,0
0.436,1.081,-0.321,1
0.41,0.483,-0.278,0
0.629,0.313,0,0
1.439,0.216,-0.099,0
0.236,-0.608,0.365,1
0.137,1.63,0,1
0.814,-0.651,-0.394,1
0.228,1.282,0.712,0
0.367,1.073,0.757,1
0.226,0.327,-0.119,0
0.216,-0.65,0,0
0.233,0.724,0,0
1.037,-0.107,0.097,0
0.236,-0.919,-0.514,0
2.254,0.624,-0.185,0
0.984,0.781,-0.23,1
0.517,0.534,-0.177,0
0.339,-0.334,-0.194,0
3.041,0.089,0.077,0
0.361,0.264,0.132,0
2.064,0.107,0.074,0
0.128,0.602,1.315,1
-0.067,1.797,-0.687,1
0.365,0.918,0.957,1
0.679,1.737,0.847,1
1.037,-0.16,-0.101,0
0.326,1.601,1.48,1
0.453,-0.508,-0.21,0
0.333,0.638,0,0
0.456,-0.238,-0.123,0
0.714,-0.571,-0.206,0
2.41,0.162,-0.062,0
0.253,1.567,1.672,0
1.549,0.215,0.596,0
2.843,0.154,-0.08,0
0.209,1.936,-0.74,1
-0.323,-0.9,-0.738,1
0.504,-0.378,-0.239,1
0.34,1.236,1.018,0
1.973,0.222,-0.101,0
-0.195,-0.779,-0.477,1
2.918,0.508,-0.253,0
0.149,1.416,0,0
0.42,0.416,-0.231,0
0.58,-0.255,-0.169,0
0.078,-0.538,-1.026,0
1.378,-0.126,0.229,0
0.27,0.247,0.156,0
0.31,1.496,1.734,1
-0.106,1.628,-0.863,0
0.675,-0.216,-0.12,0
0.56,0.354,0.2,0
1.857,-0.289,0.194,0
0.21,-0.557,0,0
0.127,0.52,0,1
0.43,-0.482,0,0
0.187,-0.565,-0.21,0
0.443,0.943,0.927,1
1.134,0.4,0.601,0
0.058,-0.427,0,0
0.204,0.336,0,0
0.899,-0.202,0.25,0
0.688,-0.289,0.169,0
1.593,0.153,0.075,0
0.201,2.001,0,1
2.697,0.091,0.078,0
0.174,-0.748,0.448,0
2.652,0.083,-0.052,0
0.542,0.796,1.37,1
2.366,1.008,-0.275,0
3.36,0.697,-0.178,0
2.898,-0.234,-0.099,0
0.587,0.56,-0.322,0
1.224,-0.488,-0.188,0
0.271,-0.854,0.656,0
0.384,1.008,-0.408,1
0.226,1.347,0,1
0.184,1.109,0,0
0.074,1.879,-0.616,1
-0.115,-0.875,0,1
0.315,1.181,1.419,1
0.559,0.487,0.942,0
0.646,0.369,0.56,1
2.925,0.509,-0.197,0
0.628,0.148,-0.066,0
0.389,-0.153,-0.105,0
0.671,0.742,1.02,1
0.198,-0.384,1.48,1
1.304,-0.199,0.177,0
0.099,1.861,0,0
1.988,0.141,0.128,0
0.966,0.741,0.612,1
0.422,0.617,0.503,0
0.659,0.666,-0.268,0
1.894,0.257,0.292,0
0.407,-0.406,-0.186,1
0.064,-0.607,2.128,0
0.528,1.062,-0.239,1
0.229,0.246,0.162,0
0.123,1.984,-0.806,1
1.633,-0.309,1.274,0
0.193,-0.523,-0.188,0
2.841,0.154,-0.079,0
0.207,1.796,1.316,1
2.815,0.537,0.408,0
0.385,0.532,-0.406,0
0.106,0.842,0.416,0
0.14,-0.703,-0.562,0
1.909,0.129,-0.074,0
0.284,-0.796,0.434,0
0.825,1.281,-0.436,1
0.336,0.783,-0.39,0
1.798,-0.14,-0.103,0
2.515,1.463,-0.372,0
0.284,0.668,0.874,1
0.412,-0.183,-0.103,0
0.161,2.134,-0.854,1
0.612,1.406,1.257,1
0.501,0.308,-0.146,0
3.258,-0.17,0.648,0
0.281,0.255,0.281,0
1.313,0.375,-0.391,0
0.136,0.663,0.73,0
0.567,0.363,-0.154,0
0.122,2.338,0,0
0.327,0.321,-0.126,0
0.068,1.286,0,0
1.347,0.094,0,0
1.398,0.217,-0.1,0
0.61,-0.317,0.971,0
0.148,1.526,0.648,1
2.391,0.13,-0.053,0
0.426,1.009,-0.356,1
1.524,-0.127,-0.097,0
1.482,-0.209,-0.117,0
0.896,-0.279,1.408,0
0.124,-0.89,0,0
0.118,0.954,1.411,1
0.218,0.661,-0.224,0
1.974,0.072,-0.091,0
0.729,-0.183,0.165,0
2.255,0.448,-0.257,0
1.878,1.609,-0.446,0
2.51,0.159,-0.092,0
0.24,1.91,-0.567,0
0.674,0.315,-0.161,0
0.735,-0.19,0.202,0
0.351,0.488,-0.213,0
1.03,-0.409,1.116,1
0.135,0.546,0,1
2.303,-0.171,0.19,0
0.71,-0.203,0,0
-0.193,-0.661,-0.348,0
3.868,-0.066,-0.044,0
0.26,-0.781,0,0
2.879,0.08,-0.055,0
0.107,1.758,1.26,0
0.225,1.63,-0.97,1
0.236,0.909,0.646,0
0.409,2.168,-0.728,1
2.724,0.222,-0.084,0
1.034,0.198,-0.09,0
1.302,-0.159,0.225,0
0.248,-0.804,2.286,0
1.37,0.214,0.23,0
0.703,0.915,1.496,1
0.236,1.402,2.043,0
0.297,1.054,1.12,0
0.77,0.764,0.957,1
1.24,0.231,0.158,0
0.225,0.732,-0.22,0
2.94,0.337,-0.161,0
-0.197,0.477,0,0
0.252,-0.701,0,0
3.624,0.171,-0.069,0
0.849,1.274,-0.446,1
0.791,-0.12,0,0
0.602,0.889,-0.435,1
0.269,-0.671,-0.328,0
0.273,-0.523,0.519,0
0.208,-0.784,-0.537,0
1.166,0.706,0.375,1
0.231,0.322,-0.184,0
2.026,-0.085,0.088,0
0.674,0.622,-0.205,0
1.634,0.122,-0.173,0
0.42,-0.719,0.917,1
0.892,1.399,1.392,1
0.479,0.323,-0.15,0
0.606,-0.615,-0.322,0
0.414,0.511,-0.258,0
-0.139,1.597,-1.029,1
0.665,1.359,-0.365,0
0.243,-0.575,0,0
0.109,1.118,-0.446,0
0.234,1.06,0,1
1.027,1.064,0.469,1
0.214,-0.597,-0.244,0
2.493,-0.096,-0.07,0
1.801,0.236,-0.124,0
0.607,0.694,-0.247,1
0.231,1.579,0,1
0.642,-0.395,0,0
0.365,0.918,0.958,1
0.493,1.384,-0.442,1
1.471,0.695,1.08,1
0.195,0.713,0.72,1
0.892,0.118,0.069,0
0.181,1.203,0,0
0.195,0.713,0.72,1
0.869,0.308,-0.296,0
0.149,0.296,0.958,1
1.611,0.548,-0.153,0
0.917,0.633,-0.2,1
1.565,-0.156,0.145,0
2.039,0.228,0.507,0
0.228,1.282,0.712,0
2.217,0.776,-0.223,0
1.021,0.887,-0.244,1
2.019,0.312,1.019,0
0.475,0.788,1.902,1
0.486,-0.48,-0.233,0
2.544,-0.081,-0.054,0
0.345,-0.692,-0.304,0
0.813,0.476,0.942,0
0.289,-0.784,-0.337,0
2.603,0.486,-0.139,0
2.833,0.178,0.105,0
0.36,1.179,1.337,1
0.951,-0.634,0.34,1
0.714,0.246,-0.159,0
1.613,-0.185,0.236,0
0.141,1.052,1.666,0
2.508,0.158,0.299,0
0.356,-0.575,-0.644,1
0.412,0.425,-0.137,0
0.241,2.272,-0.859,0
0.691,0.243,-0.23,0
0.074,-0.594,0,0
0.321,-0.297,-0.264,0
1.025,0.259,0.435,0
1.338,0.517,1.038,0
0.586,-0.367,-0.168,0
0.588,-0.412,-0.188,0
0.145,-0.761,-0.559,0
-0.966,-0.176,-0.15,0
0.567,1.233,1.604,1
1.024,0.258,0.434,0
0.105,2.321,0,0
0.097,0,0,1
0.579,0.495,0.699,1
0.99,0.833,-0.224,0
0.287,1.884,0,1
1.311,0.201,-0.252,0
-0.784,-0.183,-0.185,0
1.214,-0.398,-0.16,1
0.603,0.914,0.517,1
0.223,1.208,1.386,0
0.322,2.289,2.125,1
0.515,-0.564,0,0
0.135,-0.37,1.116,1
0.299,0.851,0.706,1
1.092,-0.263,0.162,0
0.516,0.783,-0.478,0
1.298,-0.147,0.19,0
0.293,2.263,-0.624,1
