@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.212,0.368,1.029,0
0.303,1.333,-0.562,1
0.579,3.262,-0.285,0
0.279,0.929,1.115,0
1.297,1.473,0.322,0
1.305,0.795,0.884,1
0.967,2.69,-0.337,0
0.103,0.453,2.483,1
0.478,3.147,-0.303,0
0.283,2.093,0.57,0
2.065,0.519,0.14,0
1.719,1.625,-0.088,0
0.415,1.692,0.901,1
2.259,1.52,-0.145,0
0.439,0.896,0.769,1
0.437,1.932,0.588,0
0.598,2.389,0.305,0
2.51,-0.217,0.159,0
0.386,1.576,-0.535,0
0.555,1.681,-0.238,0
0.286,1.034,-0.732,0
1.476,1.929,-0.3,1
0.4,3.424,-0.259,0
0.255,0.659,1.318,0
2.783,0.299,0.085,0
0.944,1.258,-0.109,0
0.208,0.406,1.704,1
2.08,0.707,-0.067,0
0.159,1.248,-0.353,0
0.211,1.067,-0.564,0
0.395,0.644,-0.542,1
0.204,1.385,-0.612,0
0.782,1.778,-0.158,0
0.279,1.879,-0.597,0
0.78,1.52,1.115,1
0.195,0.443,0.65,1
2.504,0.461,0.17,0
0.476,1.125,1.147,1
3.467,-0.319,0.405,0
0.513,3.256,-0.268,0
0.257,1.182,-0.7,0
-0.129,1.094,-0.844,0
0.401,1.784,0.458,0
0.98,-0.688,-1.3,0
2.131,0.528,0.072,0
0.457,1.035,0.84,1
0.304,1.88,0.322,0
0.38,2.927,0.367,0
0.89,3.092,0.417,0
-0.118,0.62,0.949,1
1.509,1.113,-0.076,0
3.236,0.591,-0.069,0
0.789,1.414,1.857,1
0.24,1.01,0.449,0
0.246,1.187,-0.672,0
0.225,0.618,0.633,1
2.796,0.551,0.687,0
2.763,1.039,0.679,0
2.981,0.333,-0.073,0
0.21,0.822,1.258,1
0.189,0.61,0.791,1
3.269,0.614,-0.201,0
0.476,2.52,-0.317,0
0.182,0.796,1.726,1
0.193,0.996,-0.867,0
2.003,0.997,0.117,0
3.222,0.51,0.16,0
0.121,0.268,-0.611,0
0.211,0.874,1.074,1
0.214,1.294,1.085,0
1.858,0.758,0.139,0
0.367,2.259,-0.148,0
1.196,2.373,-0.155,0
1.109,2.194,-0.357,1
0.262,1.304,-0.794,0
0.081,0.332,-0.699,1
0.364,2.511,0.233,0
0.396,0.629,1.985,1
0.128,0.442,2.045,0
0.125,0.794,2.03,1
0.682,2.257,-0.238,0
0.175,1.247,0.482,0
0.264,0.984,0.73,1
0.397,2.921,0.523,0
0.193,0.788,1.37,0
0.59,1.933,0.487,0
1.322,0.603,0.145,0
0.173,0.407,2.415,0
0.473,1.57,0.305,0
0.499,0.351,1.423,1
3.087,0.57,-0.254,0
0.271,2.481,0.312,0
1.239,1.892,0.715,0
0.25,1.016,-0.745,0
0.304,3.327,-0.266,0
0.157,0.557,2.038,0
0.461,2.512,1.421,0
0.782,2.546,-0.43,0
0.327,2.3,0.333,0
2.221,0.327,-0.084,0
0.834,2.046,1.252,1
0.316,0.736,1.259,0
0.329,2.302,0.322,0
0.543,0.509,1.332,1
0.893,0.6,1.399,1
0.85,1.384,-0.112,0
0.291,0.9,2.319,1
0.459,0.973,0.678,1
0.587,2.481,-0.49,0
0.295,1.277,-0.574,0
0.525,1.542,1.723,1
0.261,0.293,1.27,1
0.239,0.618,0.937,0
0.94,2.129,-0.441,0
1.116,1.999,-0.193,0
0.62,1.865,1.097,0
3.459,0.695,-0.081,0
0.367,2.32,0.539,0
0.169,0.523,1.885,1
0.172,0.768,0.826,1
0.262,1.101,-0.672,1
0.924,2.334,-0.175,0
3.074,0.471,-0.069,0
2.741,0.927,-0.273,0
0.5,1.762,0.454,0
0.318,1.72,-0.39,0
0.219,1.133,-0.736,0
0.458,0.77,1.142,1
2.15,0.376,-0.065,0
1.444,1.336,-0.104,0
0.142,0.308,1.503,1
0.355,1.684,0.477,0
2.745,0.709,0.406,0
1.363,1.704,-0.133,0
0.514,3.04,-0.289,0
1.369,2.204,0.252,0
0.276,0.542,0.902,0
1.553,1.483,-0.188,0
0.132,0.575,0.514,0
1.01,0.987,-0.096,0
0.832,1.744,-0.203,0
0.106,0.318,-0.195,0
1.14,1.366,1.11,1
0.361,2.265,0.677,0
1.041,1.631,0.34,0
0.216,0.365,0.981,0
3.43,0.548,0.161,0
0.289,0.869,2.632,1
0.414,2.453,-0.4,1
0.864,2.681,-0.181,0
0.043,0.276,-0.545,0
0.197,0.858,1.41,0
3.085,-0.229,0.071,0
3.172,0.774,-0.092,0
-0.887,0.963,-0.154,0
1.636,2.166,0.594,0
0.191,0.609,0.81,0
1.317,0.82,1.641,1
1.079,2.082,-0.401,1
0.921,1.678,0.668,1
0.48,0.509,1.578,1
1.875,2.182,-0.222,0
2.115,1.932,-0.192,0
0.959,0.755,0.942,1
0.394,2.694,1.585,1
0.411,1.046,0.982,1
0.74,2.402,-0.458,1
0.318,0.67,1.042,0
1.474,1.911,-0.271,1
0.87,2.786,-0.276,0
1.404,2.192,0.249,0
0.135,0.142,-0.663,1
0.9,1.372,-0.1,0
1.283,2.381,-0.348,1
0.562,2.578,0.433,1
0.107,0.415,1.861,1
0.079,0.341,0.608,0
0.548,0.611,-0.61,1
0.284,0.742,1.047,1
0.138,0.753,1.894,0
-1.7,-1.279,0.202,0
0.589,0.656,0.485,1
0.697,1.043,0.84,1
0.146,0.771,1.818,0
3.052,0.359,-0.221,0
2.662,0.624,1.052,0
2.459,0.293,0.075,0
0.206,1.328,-0.406,0
1.125,1.616,-0.138,0
0.256,1.733,0.77,0
0.281,1.518,-0.893,0
1.215,1.101,-0.082,0
0.655,2.031,-0.39,0
0.796,1.215,0.415,1
0.721,1.818,0.264,0
1.466,1.585,1.371,0
0.392,1.443,0.423,0
2.725,-0.239,-0.06,0
0.665,2.039,-0.188,0
0.554,0.624,1.151,1
-0.084,0.438,0,0
2.6,0.644,0.133,0
0.354,1.769,-0.236,0
0.794,0.514,2.127,0
0.401,1.813,0.505,0
0.393,1.802,-0.123,0
3.537,0.411,-0.073,0
2.639,1.46,0.674,0
2.334,1.326,0.213,0
0.378,1.681,1.017,0
0.157,0.678,1.131,0
1.191,2.054,-0.203,0
-0.316,1.418,-0.596,0
0.199,1.424,-0.653,0
0.702,2.288,-0.424,0
1.463,1.71,-0.171,0
0.694,0.627,2.079,1
0.857,0.542,1.853,1
0.572,2.468,0.83,1
0.3,1.64,-0.795,0
-0.188,1.167,-0.745,0
0.539,2.177,-0.598,0
0.188,0.518,0.999,1
0.155,0.328,1.662,1
1.902,0.911,0.189,0
0.245,0.521,1.135,1
0.18,0.636,1.762,0
0.119,0.654,0.404,1
0.108,0.397,0.421,1
1.123,2.281,0.287,0
3.009,0.349,-0.276,0
0.834,2.202,0.436,1
0.19,0.846,1.299,1
0.907,1.536,0.114,0
0.558,0.474,0.861,1
3.154,0.61,-0.08,0
0.267,1.123,-0.485,0
0.401,0.831,-1.208,0
0.337,0.682,2.159,1
0.981,2.208,1.5,0
-0.217,0.793,1.583,1
0.661,0.798,0.796,1
1.258,1.761,-0.319,0
0.184,1.203,-0.691,0
0.325,0.765,1.373,1
0.518,1.251,-0.118,0
0.744,0.889,1.601,1
0.623,2.432,-0.203,0
0.773,2.061,-0.179,0
0.109,0.472,0.685,1
0.269,0.362,2.266,0
1.075,2.002,1.461,0
2.111,0.901,0.268,0
-0.59,-1.327,-0.647,1
0.408,0.949,-0.481,0
0.75,2.069,-0.193,0
0.789,2.739,1.265,0
0.625,1.85,0.319,0
2.441,0.306,0.176,0
0.231,1.78,0.697,0
0.155,1.012,-0.747,0
0.778,1.038,-0.317,0
0.099,0.661,0.649,1
3.052,0.536,-0.165,0
0.468,1.63,-0.571,0
2.191,0.438,0.124,0
0.794,1.392,-0.629,1
0.249,1.876,0.379,0
1.121,0.72,0.088,0
0.204,0.527,1.66,1
0.873,2.74,-0.275,0
3.065,-0.264,-0.067,0
0.435,0.761,1.192,1
2.793,0.285,-0.314,0
0.122,0.592,2.546,0
1.936,2.328,-0.148,1
0.763,1.929,0.255,0
0.241,0.522,-0.368,0
0.87,1.801,-0.251,0
3.617,-0.272,0.224,0
1.041,2.6,-0.157,0
3.246,-0.32,0.111,0
0.403,3.743,-0.361,0
0.889,1.66,-0.371,1
1.195,1.537,-0.115,0
0.959,0.934,-0.615,1
0.218,1.463,-0.523,0
0.52,0.38,1.64,1
0.671,2.214,-0.219,0
2.441,0.306,0.176,0
0.079,0.372,0.48,0
1.585,1.259,-0.585,1
0.492,1.782,0.448,0
0.572,1.309,1.936,1
0.794,1.828,0.201,0
2.956,0.996,-0.175,0
0.134,0.462,1.248,1
0.191,0.787,1.728,1
2.239,0.958,0.125,0
0.472,2.162,-0.357,0
0.166,0.724,1.007,1
0.179,0.742,1.419,1
0.436,0.822,1.382,0
1.573,1.128,-0.215,0
0.162,0.522,2.073,1
2.318,1.826,0.991,0
3.192,0.675,-0.202,0
-0.188,1.595,0.716,0
1.533,1.716,0.433,0
2.909,0.521,-0.33,0
0.172,0.714,0.353,1
1.322,1.153,0.371,0
0.755,3.309,0.254,0
0.796,2.222,-0.362,0
2.708,0.54,-0.084,0
1.973,1.482,0.222,0
1.473,2.268,0.19,0
1.046,2.514,0.812,1
1.555,2.057,0.286,0
0.127,0.79,-0.854,0
0.757,2.97,-0.192,0
1.496,2.131,-0.297,0
-0.064,0.499,1.58,1
0.661,1.665,-0.371,1
0.3,0.715,2.231,1
0.324,0.712,1.91,1
0.6,0.791,0.733,0
0.47,2.984,1.012,0
1.609,2.165,-0.547,0
0.441,0.596,0.923,1
0.306,0.593,0.805,1
2.509,0.294,0.214,0
1.262,2.093,0.213,0
0.36,0.984,1.034,1
0.645,0.607,0.867,1
0.515,1.152,1.276,1
0.11,0.469,0.647,0
0.453,1.694,0.667,0
0.465,1.111,1.238,1
0.591,2.437,-0.387,0
0.288,0.715,0.849,1
0.486,2.345,0.674,0
3.496,-0.273,0.11,0
0.713,2.034,1.202,0
1.458,0.693,0.131,0
0.821,1.984,-0.147,0
1.064,-1.012,1.599,0
0.316,2.05,0.688,0
0.387,2.211,0.32,0
0.134,0.329,1.537,0
0.378,0.982,-0.623,0
0.65,1.803,-0.148,0
0.383,2.978,1.06,1
0.226,1.179,0.92,1
0.185,0.746,1.934,1
1.107,1.683,0.521,0
0.22,1.013,1.102,0
0.117,0.557,-1.242,1
0.542,1.044,-0.775,1
0.175,0.548,-1.084,1
0.38,1.585,-0.244,0
1.466,1.697,0.283,0
2.389,1.318,0.912,0
0.227,0.878,1.898,1
0.705,1.8,-0.152,0
0.299,0.891,-0.51,0
1.909,0.249,0.102,0
0.119,0.614,2.237,1
0.826,0.824,-0.182,0
1.218,1.73,-0.11,0
0.838,0.259,0.769,1
0.141,0.345,0.969,0
1.869,0.81,0.153,0
0.087,0.425,1.916,0
2.571,-0.235,0.137,0
1.669,1.822,-0.116,0
0.56,2.19,-0.512,0
2.01,2.213,0.45,0
0.094,0.342,-0.223,0
1.44,2.132,0.249,0
0.14,0.351,0.552,0
2.057,0.308,0.071,0
0.636,1.279,-0.331,1
0.603,0.722,-0.392,1
2.756,0.266,0.194,0
0.156,0.416,2.056,1
0.633,0.802,-0.659,1
