@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,4,6'

@attribute Aa numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.419,1.045,1
0.723,-0.667,0
0.211,1.488,0
0.115,0.725,1
0.352,0.314,0
0.984,-0.149,0
0.279,0.331,0
1.274,-0.111,0
0.452,1.077,1
2.582,-0.076,0
0.152,0.862,1
0.291,2.1,0
2.686,-0.081,0
0.334,0.65,0
0.764,-0.219,0
1.657,0.226,0
1.084,-0.113,0
0.344,-0.627,0
0.134,1.404,1
0.626,-0.32,0
0.214,1.696,1
0.947,0.399,0
0.087,2.38,0
1.246,0.208,0
0.455,-0.353,0
0.191,-0.708,0
0.43,2.424,0
0.469,1.319,1
0.722,-0.935,1
1.175,-0.469,1
0.349,-0.151,0
1.164,0.67,0
0.434,-0.228,0
1.998,-0.08,0
0.612,0.85,1
3.13,0.181,0
0.959,0.513,0
0.249,1.658,0
0.652,-0.463,1
0.163,0.721,0
0.551,0.91,1
0.635,0.489,0
0.28,0.287,0
0.72,-0.227,0
2.185,0.104,0
0.076,0.383,0
0.296,0.807,0
0.479,2.1,0
0.367,0.886,1
1.116,0.228,0
0.25,2.313,1
0.405,0.482,0
0.354,-0.609,0
0.492,0.448,0
0.53,-0.81,1
3.137,0.443,0
0.907,-0.114,0
-1.046,-0.149,0
2.703,0.119,0
0.403,1.809,1
1.302,-0.388,0
0.44,0.244,0
0.625,-0.207,0
0.609,0.539,1
0.648,1.265,1
0.598,-0.177,0
0.929,-0.369,0
0.111,0.683,1
1.677,2.004,0
0.927,0.798,1
0.205,-0.499,0
1.21,-0.457,0
2.721,-0.063,0
2.954,0.086,0
0.245,-0.767,0
0.471,1.503,1
0.826,0.232,0
0.306,1.904,1
1.392,-0.102,0
0.666,-0.137,0
0.369,1.401,1
0.791,0.279,0
1.087,0.25,0
0.737,0.437,0
0.098,0.712,1
0.217,-0.606,0
0.114,0.882,1
0.25,-0.724,0
3.24,-0.19,0
2.039,0.35,0
1.053,1.495,1
1.439,-0.168,0
0.817,-0.066,0
0.798,-0.189,0
0.647,0.993,1
0.189,-0.406,0
0.266,-0.833,0
0.148,0.754,0
1.213,1.233,1
0.403,-0.682,0
0.351,1.792,1
0.279,0.77,0
0.983,-0.082,0
0.23,1.72,1
0.501,1.562,1
0.124,2.196,0
0.367,1.386,1
1.12,0.569,0
1.396,-0.369,1
0.568,1.003,1
0.216,0.773,0
0.274,2.06,1
1.79,-0.115,0
0.997,1.479,0
0.379,0.557,0
0.422,1.155,1
0.807,0.84,1
0.686,-0.225,0
0.249,-0.459,0
0.327,0.307,0
0.264,-0.609,1
3.139,0.915,0
1.471,0.155,0
1.229,0.332,0
1.586,0.196,0
0.171,-0.47,0
1.782,0.115,0
2.503,0.17,0
0.143,1.11,1
2.32,0.161,0
1.093,0.529,0
0.085,0.552,0
1.107,-0.113,0
0.987,1.578,0
0.693,0.312,0
1.91,-0.097,0
1.137,0.636,1
0.58,-0.391,0
0.932,-0.202,0
1.568,0.156,0
0.521,0.445,0
0.337,-0.41,0
0.796,-0.101,0
0.716,-0.226,0
0.53,0.905,1
0.203,-0.546,0
0.705,-0.286,0
2.078,0.126,0
0.72,-0.221,0
1.039,-0.156,0
-0.079,-0.597,1
0.219,-0.68,0
0.252,-0.331,0
0.757,0.268,0
0.316,-0.54,0
0.254,-0.318,0
1.182,-0.178,0
0.443,0.769,1
0.815,0.217,0
0.362,-0.284,0
0.412,-0.533,0
1.185,-0.171,0
0.176,2.42,0
0.762,-0.299,1
1.201,0.458,1
0.683,-0.873,1
0.152,1.101,1
0.331,-0.233,0
0.264,-0.635,0
0.103,0.82,1
0.365,0.581,1
0.157,-0.406,1
1.364,-0.511,1
3.087,-0.072,0
0.801,-0.359,0
1.033,0.28,0
0.253,1.081,0
0.966,-0.149,0
0.168,-0.483,0
0.256,-0.547,1
0.442,2.105,1
0.92,-0.448,1
0.584,0.302,0
3.553,-0.076,0
0.404,0.831,0
0.342,0.294,0
