@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-6'

@attribute Ao numeric
@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
1.226,0.508,-0.135,0
1.413,0.913,1.283,1
2.248,-0.622,-0.145,0
2.076,0.841,-0.414,1
0.317,0.61,-0.794,0
0.422,-0.144,0.119,0
1.345,1.822,0,0
0.45,0.747,0,1
2.681,-0.614,-0.178,0
0.41,0.827,0.478,0
0.873,2.163,-0.398,0
2.692,-0.521,0.166,0
0.51,1.476,1.941,1
0.506,1.022,-0.477,1
3.076,-0.424,0.399,0
1.72,0.6,-0.119,0
3.296,-0.577,-0.272,0
1.059,1.928,1.442,1
0.811,0.193,0.171,0
0.463,0.585,0,0
0.359,0.12,0.087,0
2.015,0.735,-0.427,0
0.526,1.47,1.876,1
0.966,2.033,-0.266,0
1.518,0.68,0.826,0
-0.297,-0.468,0,1
0.661,1.404,0,0
0.537,0.204,-0.04,0
1.555,0.496,1.038,0
2.138,0.619,-0.149,0
0.326,0.478,1.599,0
0.572,0.336,-0.114,0
1.147,1.63,-0.518,0
2.32,2.095,-0.313,0
0.543,1.111,-0.551,1
0.584,0.741,0,0
1.147,3.108,0,0
0.901,2.62,-0.555,0
1.495,1.543,-0.4,0
0.444,-0.433,0,0
0.411,1.494,-0.777,0
1.222,1.661,0,0
0.65,-0.112,-0.052,0
0.991,1.616,0.765,1
0.581,0.279,0.081,0
1.414,1.484,-0.313,1
2.568,0.851,-0.275,0
0.604,-0.12,-0.061,0
0.754,1.966,1.399,1
1.354,-0.184,0.077,0
0.472,1.928,0,1
1.881,1.522,-0.476,1
1.455,0.504,-0.131,0
0.99,1.292,2.049,1
2.984,-0.793,-0.202,0
2.277,1.469,-0.167,0
1.797,0.708,0,0
1.375,-0.208,0.087,0
0.358,1.359,-0.126,0
0.837,1.422,1.748,1
2.081,-0.428,-0.181,0
0.528,1.125,0,0
1.688,-0.517,-0.178,1
0.56,0.572,0.341,0
2.345,-0.471,-0.391,0
1.906,1.197,1.378,1
1.647,-0.274,-0.06,0
0.286,0.428,0,0
0.362,0.693,-0.804,1
0.579,-0.091,0.073,0
0.544,0.494,1.522,1
0.402,-0.122,-0.051,0
0.582,-0.132,0.106,0
1.555,2.311,-0.228,1
0.562,0.563,0,0
-0.256,-0.448,0,1
1.568,1.605,-0.131,0
0.699,0.836,0,1
1.798,0.666,0.707,0
2.521,1.509,-0.272,0
1.876,1.048,-0.158,0
0.815,1.529,1.95,1
0.512,0.828,0,1
1.034,0.256,0.2,0
0.579,1.385,-0.912,0
1.119,2.004,0,1
2.8,-0.421,0.239,0
1.389,-0.242,-0.069,0
0.671,1.581,0.583,1
1.136,-0.243,0,0
2.328,-0.359,0.175,0
0.794,2.317,1.411,1
2.943,-0.451,-0.213,0
0.497,0.8,0.776,1
1.01,0.296,-0.166,0
1.097,-0.78,-0.315,0
0.77,-0.12,0.081,0
0.578,-0.193,-0.1,0
0.691,2.491,0.758,1
1.088,1.85,0.436,0
0.751,0.152,-0.158,0
0.577,0.743,1.1,1
0.92,1.713,0.487,0
2.506,-0.347,0.181,0
0.546,1.548,-0.757,1
0.808,0.61,1.497,1
0.624,1.886,-0.393,0
0.892,0.909,-0.476,1
1.677,-0.332,0.102,0
0.781,2.473,1.537,1
1.674,1.574,-0.164,0
-0.28,-0.102,-0.052,0
0.407,0.231,-0.049,0
0.633,2.839,-0.249,1
1.413,0.316,-0.141,0
1.334,0.504,-0.081,0
0.535,1.803,-0.646,1
1.42,-0.349,-0.072,0
0.861,1.896,0,1
0.573,1.927,-0.636,1
0.533,0.693,-0.668,1
3.296,-0.577,-0.272,0
0.877,-0.15,0.198,0
1.044,2.337,0,0
1.034,2.48,-0.38,0
0.635,0.881,1.014,1
1.59,-0.28,-0.067,0
1.14,-0.16,0.066,0
1.99,0.772,-0.208,0
1.985,-0.362,0,0
1.661,-0.247,0.107,0
0.599,0.826,-0.635,1
2.278,0.537,-0.415,0
0.905,2.106,-0.519,1
1.839,-0.26,0.091,0
1.628,2.141,-0.275,0
0.65,1.298,-0.499,1
3.042,-0.487,-0.206,0
0.894,2.246,-0.441,0
0.749,2.928,-0.491,1
2.197,1.185,-0.195,0
2.441,-0.475,0.355,0
0.271,0.34,0,0
0.586,0.256,-0.183,0
2.183,-0.357,-0.073,0
1.33,-0.291,0,0
0.627,0.716,-0.564,1
2.596,-0.575,-0.163,0
1.602,1.669,-0.203,1
2.539,1.364,-0.193,0
0.827,0.947,0,1
0.658,1.056,1.462,1
0.91,1.412,0,0
1.291,-0.294,0,0
0.333,0.743,1.056,0
-0.515,-0.666,0,1
1.307,-0.225,-0.059,0
3.439,-0.486,0.284,0
1.921,-0.791,0.217,0
1.762,1.497,-0.482,0
2.19,1.004,0,0
0.797,0.211,-0.076,0
0.529,2.646,0.382,0
-0.391,-0.537,0,1
1.935,1.325,-0.183,1
3.018,-0.484,0.581,0
1.068,2.042,-0.447,0
2.169,0.845,-0.158,0
0.78,0.364,-0.06,0
1.848,-0.283,-0.075,0
1.155,0.3,-0.065,0
0.598,1.717,-0.247,1
1.148,2.085,0,0
1.168,1.752,-0.229,1
0.732,-0.095,0.047,0
0.724,1.25,-0.496,1
1.651,2.21,-0.289,0
2.253,1.342,-0.158,1
0.517,0.571,0,0
-0.273,-0.57,1.274,1
2.259,-0.485,0.343,0
1.398,0.578,0.206,0
1.042,2.066,0.797,1
0.292,0.551,0.978,1
1.469,2.062,1.114,0
3.054,0.796,0.201,0
1.247,-0.263,0.269,0
1.736,1.384,0.304,0
1.938,2.365,-0.329,0
0.385,1.589,2.106,1
1.608,-0.257,-0.071,0
1.275,1.554,-0.364,0
0.351,0.582,-0.626,0
2.073,0.627,0,0
0.406,0.588,0,0
1.655,-0.413,-0.078,0
0.822,0.849,0.824,1
1.041,2.988,-0.349,0
2.151,-0.388,-0.094,0
1.511,0.535,0,0
3.21,-0.507,0.834,0
2.696,-0.693,0,0
2.018,2.318,-0.291,0
2.956,-0.539,-0.144,0
0.9,2.589,-0.544,0
0.854,1.639,1.817,1
-0.263,-0.581,1.145,1
0.356,0.443,-0.792,0
0.75,1.83,-0.552,1
-0.364,-0.131,-0.072,0
1.199,1.959,-0.714,1
0.745,-0.168,-0.093,0
0.601,1.127,0.554,1
0.723,2.263,0.401,0
0.679,0.932,0,0
0.514,0.733,0,1
2.01,0.611,-0.135,0
2.472,-0.289,-0.103,0
1.643,0.865,-0.118,0
1.755,-0.254,0.103,0
0.759,0.523,0.982,1
0.47,-0.132,0.119,0
0.526,0.835,0.997,1
0.678,1.448,-0.546,0
-0.32,-0.113,0.082,0
1.78,1.431,-0.232,0
2.766,-0.449,-0.132,0
2.263,-0.374,0.161,0
1.32,0.354,0.077,0
1.797,2.33,-0.283,0
0.399,0.524,0,1
2.139,1.102,-0.167,0
0.954,0.683,-0.645,1
2.345,-0.401,1.167,0
0.585,-0.67,0,0
1.017,0.35,0.131,0
3.902,-0.637,-0.15,0
1.054,2.259,0,0
0.597,1.02,-0.746,0
0.548,1.694,1.587,1
1.094,1.433,1.467,1
1.208,2.314,-0.284,1
2.027,-0.418,-0.091,0
2.083,-0.419,-0.265,0
1.224,-0.374,0.183,0
1.349,-0.185,0.104,0
3.149,-0.747,-0.389,1
0.557,-0.134,-0.065,0
2.757,-0.421,0.83,0
0.553,1.892,-0.571,0
1.177,1.718,0.681,1
0.854,0.431,0.982,0
0.418,2.13,0.485,1
3.075,-0.657,-0.19,0
2.032,0.499,-0.125,0
1.788,-0.475,0.303,0
0.637,-0.117,0.063,0
0.254,0.229,-0.375,0
1.004,1.78,-0.361,0
0.493,1.424,0,0
0.51,0.946,0.64,1
2.458,-0.385,-0.124,0
0.891,0.891,0,1
2.204,0.864,1.072,0
2.077,1.173,1.314,0
1.782,1.24,-0.192,0
0.921,2.206,0.587,1
1.237,-0.209,-0.148,0
1.536,-0.369,0,0
-1.081,-0.35,-0.126,0
-0.236,0.189,-0.143,0
1.026,1.205,1.525,1
1.719,-0.343,1.409,0
1.846,0.747,0.124,0
2.31,-0.523,-0.101,0
0.63,1.411,-0.389,1
0.754,1.926,-0.528,1
1.798,0.479,0,0
2.558,-0.44,0.716,0
0.397,0.8,0,1
0.791,-0.41,-0.434,0
2.496,1.039,-0.242,1
1.163,1.643,-0.2,0
1.167,2.284,-0.185,0
0.652,-0.1,0.056,0
0.435,-0.11,-0.061,0
1,3.109,-0.36,0
1.471,1.614,-0.515,1
1.872,-0.313,-0.322,0
1.124,0.888,-0.735,1
1.632,-0.259,0.09,0
1.782,-0.37,-0.079,0
2.829,0.701,-0.329,1
2.125,-0.418,-0.188,0
1.908,-0.373,-0.18,0
3.178,-0.741,0.186,0
0.692,0.303,0,1
0.598,2.218,0.329,0
0.501,0.939,-0.52,1
1.051,2.859,0,0
0.43,0.801,-0.089,0
1.226,0.508,-0.135,0
0.573,1.926,-0.636,1
2.014,-0.531,-0.103,0
0.796,0.222,0.053,0
2.84,-0.49,-0.12,0
0.86,1.755,1.422,1
1.169,1.42,0,0
1.04,2.761,0.651,0
1.48,1.646,0,0
0.697,1.807,0.647,1
1.292,2.157,0,0
0.785,1.03,0,1
0.985,1.634,-0.388,0
1.108,0.327,0.062,0
0.398,0.533,1.699,1
0.462,1.551,1.704,1
0.346,0.598,-0.645,0
0.788,0.858,1.212,1
1.69,1.087,0.385,0
1.668,1.742,-0.138,1
2.557,0.811,-0.411,1
1.604,2.018,0.715,0
0.798,1.154,-1.064,1
1.505,-0.213,0.088,0
1.896,0.829,-0.4,0
2.85,0.735,1.132,0
1.478,1.702,-0.505,1
2.168,0.714,0.58,1
3.259,-0.525,0.157,0
1.423,1.518,-0.233,0
2.711,0.738,0.191,0
0.906,2.213,-0.372,1
0.704,0.245,-0.227,0
1.344,0.444,-0.226,0
1.569,0.535,0.285,0
2.256,-0.352,-0.224,0
1.122,1.58,-0.204,0
0.786,-0.151,0.081,0
0.461,0.21,-0.065,0
0.546,0.624,0.548,1
1.249,0.329,-0.075,0
1.612,-0.366,0.511,0
0.296,0.295,0,0
1.532,-0.338,-0.081,0
1.977,-0.433,-0.482,0
2.371,-0.586,0.159,0
1.253,-0.21,-0.062,0
0.603,1.704,-0.26,1
1.03,2.133,0.541,0
2.3,-0.49,0,0
1.363,0.414,0,0
2.947,0.989,0,0
1.81,1.486,-0.259,0
1.331,-0.325,-0.062,0
1.75,0.852,0.132,0
0.257,1.625,-0.513,1
1.205,2.009,0,0
1.796,1.078,0.215,0
0.918,0.159,0.083,0
2.762,0.788,-0.116,0
2.521,-0.385,-0.107,0
-0.329,0.634,0,1
1.027,2.399,0,0
1.357,0.976,0.216,0
2.007,-0.42,-0.212,0
1.008,1.844,-0.305,0
1.347,-0.268,0.438,0
2.344,-0.414,-0.119,0
1.345,1.675,0.708,1
1.8,-0.29,-0.304,0
2.421,-0.499,-0.193,0
1.1,1.979,-0.241,0
2.24,-0.477,0,0
0.438,0.842,-0.849,0
1.414,1.483,-0.313,1
1.655,1.1,-0.223,1
-1.082,1.528,-0.347,1
0.582,0.581,-0.482,1
2.978,-0.486,-0.152,0
1.276,2.683,-0.376,0
0.576,0.331,0,1
1.356,0.965,0.381,1
0.511,1.162,0.342,1
0.808,1.355,-0.38,1
-0.304,0.15,0.057,0
2.874,1.081,0,0
2.488,-0.491,0.607,0
1.762,1.652,-0.507,0
2.286,-0.293,-0.116,0
1.108,1.706,-0.201,0
1.233,2.04,-0.292,1
0.52,1.071,0,1
1.932,2.113,-0.189,1
3.106,-0.421,0.848,0
-0.281,0.17,0.062,0
0.913,2.575,-0.295,0
2.176,-0.339,-0.122,0
