@relation glass

@attribute RI numeric
@attribute Na numeric
@attribute Si numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.51926,13.19715,72.358,1
1.522221,13.21045,71.9884,1
1.526663,13.9885,71.5684,1
1.517938,12.7915,73.03,1
1.51762,12.81145,73.2372,1
1.516276,12.99765,72.8284,2
1.517096,12.99765,72.722,2
1.516731,13.2969,72.5316,2
1.518713,12.93115,72.5092,2
1.516458,13.4033,72.6492,2
1.516731,12.8713,73.142,2
1.515911,13.0176,73.1196,2
1.518485,13.6427,71.9604,2
1.526139,13.70255,71.238,2
1.515911,13.23705,73.0972,2
1.514089,14.24785,72.2796,2
1.522221,14.4274,72.6716,2
1.515957,13.0176,73.1084,2
1.517437,12.19965,73.5508,2
1.518462,13.0974,72.442,2
1.521765,13.19715,72.75,2
1.518007,13.7092,71.8092,2
1.518417,12.93115,72.2796,2
1.52664,11.22875,73.2092,2
1.517073,13.7225,72.0612,2
1.531242,10.73,69.81,2
1.516458,13.40995,72.8116,2
1.517301,12.3526,72.8676,2
1.516321,13.3368,72.8676,2
1.516594,12.991,72.9684,2
1.516891,12.6718,73.2092,2
1.515729,14.85965,71.8708,2
1.516526,13.5629,72.4476,2
1.520194,13.98185,71.7588,2
1.524089,13.8289,71.1484,2
1.520672,13.5496,72.1788,2
1.518417,13.0176,72.3412,2
1.527779,12.63855,72.022,2
1.52475,11.4482,72.19,2
1.518189,13.7225,74.4524,2
1.518121,13.33015,72.778,2
1.515934,13.25035,73.17,2
1.516617,12.85135,73.0076,2
1.516868,13.2304,72.8396,2
1.516549,12.7516,73.2708,2
1.515888,13.11735,73.2596,2
1.516048,12.8979,73.58,2
1.516458,13.4432,72.3916,2
1.518121,13.4299,72.4924,2
1.517893,13.1905,72.33,2
1.520809,13.78235,71.9884,2
1.517073,13.4831,72.5204,2
1.521765,13.7491,72.19,2
1.518508,13.19715,72.8284,2
1.518599,13.35675,72.2628,2
1.516731,12.7915,73.3604,2
1.515911,12.8181,72.862,2
1.515934,13.09075,73.0972,2
1.51828,13.23705,72.33,2
1.517118,12.89125,72.9572,2
1.527255,13.8023,70.5716,2
1.518189,12.6186,73.8084,2
1.516891,13.33015,72.5428,2
1.516139,13.922,72.8788,2
1.51844,13.25035,72.4028,2
1.51664,12.93115,72.9572,2
1.518121,12.95775,72.918,2
1.515934,13.09075,72.8676,2
1.516253,13.35675,72.722,2
1.515683,13.23705,73.2484,2
1.518918,13.46315,72.5484,2
1.53393,12.2994,70.1628,2
1.516184,13.01095,72.89,2
1.522107,14.188,71.3612,3
1.516549,13.40995,72.638,3
1.516093,13.42325,72.6884,3
1.516936,12.858,72.61,3
1.518326,13.33015,72.1396,3
1.517688,13.64935,72.7724,3
1.517779,13.6427,73.002,3
1.516458,13.03755,73.0076,3
1.521219,14.0284,71.7924,3
1.51664,13.1373,72.4812,3
1.517961,13.50305,71.938,3
1.517756,13.52965,72.0388,3
1.521264,14.321,71.5012,3
1.516708,13.23705,72.6996,3
1.516435,12.15975,72.89,3
1.523679,13.4432,72.218,5
1.519146,12.73165,72.6884,5
1.520581,12.85135,72.1788,5
1.516663,12.858,73.8812,5
1.521515,11.02925,73.4388,5
1.519692,12.63855,73.7524,5
1.519943,13.2703,73.03,5
1.521196,12.97105,73.3884,5
1.520421,13.3767,72.2516,5
1.515137,14.00845,69.8884,5
1.5132,12.99765,70.7004,5
1.519169,14.1481,72.7388,6
1.519374,13.789,72.7612,6
1.519692,14.5604,73.478,6
1.519055,14.0018,72.3692,6
1.512995,14.4008,74.5476,6
1.518872,14.99265,72.498,6
1.51828,14.46065,72.3804,6
1.518531,14.08825,72.6716,6
1.516458,14.93945,73.1084,7
1.516822,14.5604,73.2876,7
1.517323,14.95275,72.9908,7
1.522472,14.85965,70.258,7
1.516526,11.94695,75.1804,7
1.515455,14.14145,73.3884,7
1.516025,14.853,73.282,7
1.511309,13.68925,72.8116,7
1.523656,15.79065,70.4316,7
1.516503,14.38085,73.6124,7
1.517118,14.2279,73.3604,7
1.516572,14.7998,73.1084,7
1.518371,14.321,71.2492,7
1.516389,14.36755,72.8508,7
1.515319,14.38085,73.0972,7
1.515569,13.8688,73.2316,7
1.516845,14.9195,73.58,7
1.516093,15.126,73.0524,7
1.516139,13.8821,73.0972,7
1.51623,14.14145,72.61,7
1.51623,14.2013,73.4612,7
1.517278,14.70005,73.282,7
1.515091,15.15225,73.5004,7
1.523155,13.4432,72.3804,7
1.515137,14.853,73.7188,7
1.516162,14.95275,73.2988,7
