@relation glass

@attribute Na numeric
@attribute Mg numeric
@attribute Si numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
14.4274,0,72.6716,2
12.85135,3.51118,73.0076,2
13.11735,3.40791,73.2596,2
13.0176,3.56057,73.1084,2
13.01095,3.5022,72.89,2
12.99765,3.79854,73.0692,2
13.4299,3.97814,72.4924,2
12.2994,0,70.1628,2
12.6718,2.87809,73.2092,2
13.0176,3.57853,73.1196,2
13.8023,3.15198,70.5716,2
12.99765,3.57853,72.8284,2
12.3526,2.72094,72.8676,2
12.93115,3.74017,72.2796,2
13.25035,3.44832,73.17,2
12.93115,3.53812,72.9572,2
13.5496,2.08785,72.1788,2
13.70255,0,71.238,2
13.40995,3.55159,72.8116,2
13.1905,3.90181,72.33,2
12.19965,3.25076,73.5508,2
12.6186,2.76135,73.8084,2
11.4482,0,72.19,2
12.95775,2.95891,72.918,2
13.35675,3.57853,72.722,2
12.9378,3.60996,72.75,2
13.2304,3.53812,72.8396,2
13.09075,3.592,73.0972,2
13.5629,3.56955,72.4476,2
12.85135,3.66833,72.5708,2
12.8979,3.43934,73.58,2
11.22875,0,73.2092,2
13.23705,3.90181,72.33,2
13.6427,3.87038,71.9604,2
13.0974,3.96916,72.442,2
13.7092,3.92875,71.8092,2
12.7117,3.33158,73.282,2
13.7225,0,74.4524,2
12.5521,3.47975,73.2316,2
10.73,0,69.81,2
12.63855,0,72.022,2
13.7225,3.6818,72.0612,2
13.4432,3.60996,72.3916,2
13.25035,3.75813,72.4028,2
13.35675,3.43036,72.2628,2
13.19715,3.6818,72.75,2
12.858,3.52016,72.6604,2
13.64935,3.65935,72.7724,3
14.321,3.90181,71.5012,3
13.23705,3.56955,72.6996,3
13.6427,3.53812,72.6492,3
13.33015,3.52914,72.6716,3
13.6427,3.65037,73.002,3
13.42325,3.39893,72.6884,3
13.1373,3.44832,72.4812,3
12.15975,3.52016,72.89,3
13.52965,3.40791,72.0388,3
13.03755,3.39893,73.0076,3
13.40995,3.38995,72.638,3
12.858,3.57853,72.61,3
14.188,3.78058,71.3612,3
13.50305,3.35852,71.938,3
13.3767,0,72.2516,5
13.0176,0,70.482,5
13.2703,0,73.03,5
12.85135,1.61191,72.1788,5
11.56125,1.88131,72.862,5
12.858,0,73.8812,5
14.00845,2.68053,69.8884,5
12.97105,0.32777,73.3884,5
12.63855,0,73.7524,5
12.73165,1.84988,72.6884,5
13.4432,0,72.218,5
12.99765,0,70.7004,5
14.1481,0,72.7388,6
17.38,0,75.41,6
14.0018,2.38868,72.3692,6
14.08825,2.19112,72.6716,6
14.99265,0.78126,72.498,6
13.789,2.41113,72.7612,6
14.5604,0,73.478,6
14.4008,1.74212,74.5476,6
14.38085,0,73.6124,7
13.4432,3.34056,72.3804,7
15.126,0,73.0524,7
14.14145,0,72.61,7
14.853,0,73.7188,7
14.7998,0,73.1084,7
14.9195,0,73.58,7
14.5604,0,73.2876,7
14.38085,0,73.0972,7
14.321,3.25974,71.2492,7
14.95275,0,73.2988,7
14.95275,0,72.9908,7
14.75325,0,73.0188,7
14.3609,0,73.422,7
14.14145,0,73.3884,7
11.94695,0,75.1804,7
14.2013,0,73.4612,7
13.68925,3.20137,72.8116,7
14.85965,2.2001,70.258,7
14.36755,0,72.8508,7
15.15225,0,73.5004,7
14.853,0,73.282,7
14.3875,0,72.862,7
14.93945,0,73.1084,7
15.79065,1.83192,70.4316,7
13.8821,1.77804,73.0972,7
